DOMNAME,AS4LOCAL,AS4VERS,VALPOS,DDLANGUAGE,VALUE,DDTEXT
Value,A,0000,112,D,,
CO_IASMG,A,0000,113,D,,
CO_ABARB,A,0000,114,D,,
CO_TEILNET,A,0000,115,D,,
CO_AUFPL,A,0000,116,D,,
CO_APLZL,A,0000,117,D,,
NO_DISP_PLUS,A,0000,118,D,,
Value,A,0000,119,D,,
CSPLIT,A,0000,120,D,,
AENNR,A,0000,121,D,,
CY_SEQNR,A,0000,122,D,,
BREAKS,A,0000,123,D,,
Value,A,0000,124,D,,
VORGZ_TRM,A,0000,125,D,,
SICHZ_TRM,A,0000,126,D,,
TRMDT,A,0000,127,D,,
CO_GLUZP,A,0000,128,D,,
CO_GSUZP,A,0000,129,D,,
CO_GSUZI,A,0000,130,D,,
CO_GEUZI,A,0000,131,D,,
CO_GLUPP,A,0000,132,D,,
CO_GSUPP,A,0000,133,D,,
CO_GLUPS,A,0000,134,D,,
CO_GSUPS,A,0000,135,D,,
KALSMA_CH,A,0000,136,D,,
KAPT_VORGZ,A,0000,137,D,,
KAPT_SICHZ,A,0000,138,D,,
CO_LAUFNR,A,0000,139,D,,
CO_PSTARTD,A,0000,140,D,,
CO_PSTARTT,A,0000,141,D,,
CO_PENDD,A,0000,142,D,,
CO_PENDT,A,0000,143,D,,
KBED_D,A,0000,144,D,,
Value,A,0000,145,D,,
COMP_CALC,A,0000,146,D,,
Value,A,0000,147,D,,
CO_PRODPRF,A,0000,148,D,,
RMNGA,A,0000,149,D,,
CO_GSBTR,A,0000,150,D,,
CO_VFMNG,A,0000,151,D,,
CO_NOPCOST,A,0000,152,D,,
Value,A,0000,153,D,,
NETZKONT,A,0000,154,D,,
Value,A,0000,155,D,,
ATRKZ,A,0000,156,D,,
Value,A,0000,157,D,,
OCM_OBJ_TYPE,A,0000,158,D,,
Value,A,0000,159,D,,
OCM_CH_PROC,A,0000,160,D,,
Value,A,0000,161,D,,
KAPVERSA,A,0000,162,D,,
CO_COLORDPRC,A,0000,163,D,,
Value,A,0000,164,D,,
PS_KZERB,A,0000,165,D,,
Value,A,0000,166,D,,
CC_CONF_KEY,A,0000,167,D,,
OBJEKTID,A,0000,168,D,,
VSNMR_V,A,0000,169,D,,
TERHW,A,0000,170,D,,
Value,A,0000,171,D,,
SPLIT_STAT,A,0000,172,D,,
Value,A,0000,173,D,,
CN_COSTUPD,A,0000,174,D,,
Value,A,0000,175,D,,
CO_MES_MAX_GAMNG,A,0000,176,D,,
CO_MES_INT_ROUTINGID,A,0000,177,D,,
ADCOMPARE,A,0000,178,D,,
VBELN,A,0000,179,D,,
POSNR,A,0000,180,D,,
POSNR,A,0000,181,D,,
MAXLZ,A,0000,182,D,,
LZEIH,A,0000,183,D,,
CFB_ADTDAYS,A,0000,184,D,,
CFB_DATOFM,A,0000,185,D,,
CFB_BBD_PPPI,A,0000,186,D,,
OIH_HANTYP,A,0000,187,D,,
MILL_RATIO,A,0000,188,D,,
MEINS,A,0000,189,D,,
BASMN,A,0000,190,D,,
MILL_OC_ZUSKZ,A,0000,191,D,,
Value,A,0000,192,D,,
Field,A,0000,193,D,,
AENNR,A,0000,194,D,,
AENNR,A,0000,195,D,,
AUFNR,A,0000,196,D,,
AUFNR,A,0000,197,D,,
CFB_LZEIH,A,0000,198,D,,
CFB_LZEIH,A,0000,199,D,,
CHSCH,A,0000,200,D,,
CHSCH,A,0000,201,D,,
CSPLIT,A,0000,202,D,,
CSPLIT,A,0000,203,D,,
CSPLIT,A,0000,204,D,,
CSPLIT,A,0000,205,D,,
DISPO,A,0000,206,D,,
DISPO,A,0000,207,D,,
DISPO,A,0000,208,D,,
FEVOR,A,0000,209,D,,
FEVOR,A,0000,210,D,,
FEVOR,A,0000,211,D,,
FHORI,A,0000,212,D,,
FHORI,A,0000,213,D,,
FHORI,A,0000,214,D,,
GMEIN,A,0000,215,D,,
GMEIN,A,0000,216,D,,
LEAD_AUFNR,A,0000,217,D,,
LEAD_AUFNR,A,0000,218,D,,
MANDT,A,0000,219,D,,
NTZUE,A,0000,220,D,,
NTZUE,A,0000,221,D,,
PAENR,A,0000,222,D,,
PAENR,A,0000,223,D,,
PLGRP,A,0000,224,D,,
PLGRP,A,0000,225,D,,
PLGRP,A,0000,226,D,,
PLNAW,A,0000,227,D,,
PLNAW,A,0000,228,D,,
PLNBEZ,A,0000,229,D,,
PLNBEZ,A,0000,230,D,,
PLNME,A,0000,231,D,,
PLNME,A,0000,232,D,,
PROFID,A,0000,233,D,,
PROFID,A,0000,234,D,,
PROFID,A,0000,235,D,,
PRONR,A,0000,236,D,,
PRONR,A,0000,237,D,,
PVERW,A,0000,238,D,,
PVERW,A,0000,239,D,,
RSHID,A,0000,240,D,,
RSHID,A,0000,241,D,,
RSHID,A,0000,242,D,,
RSNID,A,0000,243,D,,
RSNID,A,0000,244,D,,
RSNID,A,0000,245,D,,
SAENR,A,0000,246,D,,
SAENR,A,0000,247,D,,
SBMEH,A,0000,248,D,,
SBMEH,A,0000,249,D,,
SFCPF,A,0000,250,D,,
SFCPF,A,0000,251,D,,
SFCPF,A,0000,252,D,,
STLAN,A,0000,253,D,,
STLAN,A,0000,254,D,,
STLBEZ,A,0000,255,D,,
STLBEZ,A,0000,256,D,,
STLST,A,0000,257,D,,
STLST,A,0000,258,D,,
TERKZ,A,0000,259,D,,
TERKZ,A,0000,260,D,,
MANDT,A,0000,1,D,,
AUFNR,A,0000,2,D,,
CO_POSNR,A,0000,3,D,,
SOBES,A,0000,4,D,,
Value,A,0000,5,D,,
QUNUM,A,0000,6,D,,
QUPOS,A,0000,7,D,,
PS_PSP_ELE,A,0000,8,D,,
PLNUM,A,0000,9,D,,
CO_STRMP,A,0000,10,D,,
CO_ETRMP,A,0000,11,D,,
CO_KDAUF,A,0000,12,D,,
CO_KDPOS,A,0000,13,D,,
KDEIN,A,0000,14,D,,
BESKZ,A,0000,15,D,,
Value,A,0000,16,D,,
CO_PSAMG,A,0000,17,D,,
CO_PSMNG,A,0000,18,D,,
CO_WEMNG,A,0000,19,D,,
CO_IAMNG,A,0000,20,D,,
CO_AUFME,A,0000,21,D,,
LAGME,A,0000,22,D,,
CO_MATNR,A,0000,23,D,,
AVMNG,A,0000,24,D,,
GSMNG,A,0000,25,D,,
KNTTP,A,0000,26,D,,
TPAUF,A,0000,27,D,,
CO_LTRMI,A,0000,28,D,,
CO_LTRMP,A,0000,29,D,,
CK_KALNR,A,0000,30,D,,
UEBTO,A,0000,31,D,,
UEBTK,A,0000,32,D,,
Value,A,0000,33,D,,
UNTTO,A,0000,34,D,,
INSMK,A,0000,35,D,,
Value,A,0000,36,D,,
WEPOS,A,0000,37,D,,
Value,A,0000,38,D,,
BWTAR_D,A,0000,39,D,,
BWTTY_D,A,0000,40,D,,
CO_PWERK,A,0000,41,D,,
LGORT_D,A,0000,42,D,,
UMREZ,A,0000,43,D,,
UMREN,A,0000,44,D,,
PLWEZ,A,0000,45,D,,
ELIKZ,A,0000,46,D,,
Value,A,0000,47,D,,
SA_AUFNR,A,0000,48,D,,
VERID,A,0000,49,D,,
SERNR,A,0000,50,D,,
TECHS,A,0000,51,D,,
WERKS_D,A,0000,52,D,,
AUFTYP,A,0000,53,D,,
Value,A,0000,54,D,,
AUFART,A,0000,55,D,,
CO_GLTRP,A,0000,56,D,,
CO_GLTRS,A,0000,57,D,,
CO_FREI,A,0000,58,D,,
CO_DNREL,A,0000,59,D,,
SA_VERTL,A,0000,60,D,,
SOBKZ,A,0000,61,D,,
KZVBR,A,0000,62,D,,
Value,A,0000,63,D,,
WEWRT,A,0000,64,D,,
WEUNB,A,0000,65,D,,
Value,A,0000,66,D,,
ABLAD,A,0000,67,D,,
WEMPF,A,0000,68,D,,
CHARG_D,A,0000,69,D,,
GSBER,A,0000,70,D,,
CO_WEAE,A,0000,71,D,,
Value,A,0000,72,D,,
CUOBJ,A,0000,73,D,,
KBNKZ,A,0000,74,D,,
Value,A,0000,75,D,,
ARSNR,A,0000,76,D,,
ARSPS,A,0000,77,D,,
RSNUM,A,0000,78,D,,
RSPOS,A,0000,79,D,,
CCKEY,A,0000,80,D,,
RTP01,A,0000,81,D,,
Value,A,0000,82,D,,
RTP02,A,0000,83,D,,
Value,A,0000,84,D,,
RTP03,A,0000,85,D,,
Value,A,0000,86,D,,
RTP04,A,0000,87,D,,
Value,A,0000,88,D,,
KSVON,A,0000,89,D,,
KSBIS,A,0000,90,D,,
J_OBJNR,A,0000,91,D,,
CO_NDISR,A,0000,92,D,,
CO_VFMNG,A,0000,93,D,,
CO_GSBTR,A,0000,94,D,,
KZAVC,A,0000,95,D,,
Value,A,0000,96,D,,
KZBWS,A,0000,97,D,,
Value,A,0000,98,D,,
AUFLOEKZ,A,0000,99,D,,
Value,A,0000,100,D,,
SERAIL,A,0000,101,D,,
ANZSN,A,0000,102,D,,
OCM_OBJ_TYPE,A,0000,103,D,,
Value,A,0000,104,D,,
OCM_CH_PROC,A,0000,105,D,,
Value,A,0000,106,D,,
CK_FIXPRKU,A,0000,107,D,,
Value,A,0000,108,D,,
CUOBJ,A,0000,109,D,,
BERID,A,0000,110,D,,
TECHS,A,0000,111,D,,
KUNNR,A,0000,112,D,,
MILL_OC_AUFNR_U,A,0000,113,D,,
MILL_OC_RUMNG,A,0000,114,D,,
MILL_OC_SORT,A,0000,115,D,,
OIH_HANTYP,A,0000,116,D,,
Field,A,0000,117,D,,
AMEIN,A,0000,118,D,,
AMEIN,A,0000,119,D,,
AUFNR,A,0000,120,D,,
AUFNR,A,0000,121,D,,
BWTAR,A,0000,122,D,,
BWTAR,A,0000,123,D,,
BWTTY,A,0000,124,D,,
BWTTY,A,0000,125,D,,
CHARG,A,0000,126,D,,
CHARG,A,0000,127,D,,
CHARG,A,0000,128,D,,
CHARG,A,0000,129,D,,
DAUAT,A,0000,130,D,,
DAUAT,A,0000,131,D,,
DWERK,A,0000,132,D,,
DWERK,A,0000,133,D,,
GSBER,A,0000,134,D,,
GSBER,A,0000,135,D,,
KALNR,A,0000,136,D,,
KALNR,A,0000,137,D,,
KALNR,A,0000,138,D,,
KALNR,A,0000,139,D,,
KALNR,A,0000,140,D,,
KALNR,A,0000,141,D,,
KALNR,A,0000,142,D,,
KALNR,A,0000,143,D,,
KALNR,A,0000,144,D,,
KDAUF,A,0000,145,D,,
KDAUF,A,0000,146,D,,
KDPOS,A,0000,147,D,,
KDPOS,A,0000,148,D,,
KDPOS,A,0000,149,D,,
KNTTP,A,0000,150,D,,
KNTTP,A,0000,151,D,,
LGORT,A,0000,152,D,,
LGORT,A,0000,153,D,,
LGORT,A,0000,154,D,,
MANDT,A,0000,155,D,,
MATNR,A,0000,156,D,,
MATNR,A,0000,157,D,,
MEINS,A,0000,158,D,,
MEINS,A,0000,159,D,,
OBJNP,A,0000,160,D,,
OBJNP,A,0000,161,D,,
OIHANTYPI,A,0000,162,D,,
OIHANTYPI,A,0000,163,D,,
PROJN,A,0000,164,D,,
PROJN,A,0000,165,D,,
PWERK,A,0000,166,D,,
PWERK,A,0000,167,D,,
SERNP,A,0000,168,D,,
SERNP,A,0000,169,D,,
SERNR,A,0000,170,D,,
SERNR,A,0000,171,D,,
SOBKZ,A,0000,172,D,,
SOBKZ,A,0000,173,D,,
VERTO,A,0000,174,D,,
VERTO,A,0000,175,D,,
VERTO,A,0000,176,D,,
MANDT,A,0000,1,D,,
CO_AUFPL,A,0000,2,D,,
CO_APLZL,A,0000,3,D,,
PLNFOLGE,A,0000,4,D,,
PLNKN,A,0000,5,D,,
PLNAL,A,0000,6,D,,
PLNTY,A,0000,7,D,,
VINTV,A,0000,8,D,,
PLNNR,A,0000,9,D,,
CIM_COUNT,A,0000,10,D,,
VORNR,A,0000,11,D,,
STEUS,A,0000,12,D,,
CR_OBJID,A,0000,13,D,,
CR_PDEST,A,0000,14,D,,
WERKS_D,A,0000,15,D,,
KTSCH,A,0000,16,D,,
LTXA1,A,0000,17,D,,
LTXA2,A,0000,18,D,,
SPRAS,A,0000,19,D,,
VPLNTY,A,0000,20,D,,
VPLNNR,A,0000,21,D,,
VPLNAL,A,0000,22,D,,
VPLBFL,A,0000,23,D,,
VORGSCHL,A,0000,24,D,,
LSTAR,A,0000,25,D,,
LSTAR,A,0000,26,D,,
LSTAR,A,0000,27,D,,
LSTAR,A,0000,28,D,,
LSTAR,A,0000,29,D,,
LSTAR,A,0000,30,D,,
DZERMA,A,0000,31,D,,
DZGDAT,A,0000,32,D,,
DZCODE,A,0000,33,D,,
DZULNR,A,0000,34,D,,
LOHNANZ,A,0000,35,D,,
LOHNART,A,0000,36,D,,
CR_RS_ANZ,A,0000,37,D,,
QUALF,A,0000,38,D,,
ANZMS,A,0000,39,D,,
RUEFAGRP,A,0000,40,D,,
RUEFASCHLU,A,0000,41,D,,
RUEARSCHLU,A,0000,42,D,,
AUSCHUFAK,A,0000,43,D,,
LOHNGRP,A,0000,44,D,,
UEMUSKZ,A,0000,45,D,,
Value,A,0000,46,D,,
UEKANKZ,A,0000,47,D,,
Value,A,0000,48,D,,
FLIESSKZ,A,0000,49,D,,
Value,A,0000,50,D,,
SPLITTUNG,A,0000,51,D,,
Value,A,0000,52,D,,
SPLITTANZ,A,0000,53,D,,
ABLIPKZ,A,0000,54,D,,
Value,A,0000,55,D,,
RSTRA,A,0000,56,D,,
SUMKNTNR,A,0000,57,D,,
SORTI,A,0000,58,D,,
LIFNR,A,0000,59,D,,
PREIS,A,0000,60,D,,
PEINH,A,0000,61,D,,
KSTAR,A,0000,62,D,,
WAERS,A,0000,63,D,,
INFNR,A,0000,64,D,,
ESOKZ,A,0000,65,D,,
Value,A,0000,66,D,,
EKORG,A,0000,67,D,,
VG_EKGRP,A,0000,68,D,,
KZLGF,A,0000,69,D,,
Value,A,0000,70,D,,
KZWRTF,A,0000,71,D,,
Value,A,0000,72,D,,
MATKL,A,0000,73,D,,
DAUDEHN,A,0000,74,D,,
Value,A,0000,75,D,,
ANZKAP,A,0000,76,D,,
APROZENT,A,0000,77,D,,
MILESTONE,A,0000,78,D,,
PRIORITAET,A,0000,79,D,,
BUKRS,A,0000,80,D,,
ANFKO,A,0000,81,D,,
ANFKOKRS,A,0000,82,D,,
INDET,A,0000,83,D,,
Value,A,0000,84,D,,
LSTAR,A,0000,85,D,,
PRKST,A,0000,86,D,,
PLNFOLGE,A,0000,87,D,,
CO_RUECK,A,0000,88,D,,
CO_RMZHL,A,0000,89,D,,
PS_PSP_ELE,A,0000,90,D,,
J_OBJNR,A,0000,91,D,,
SPLITTERM,A,0000,92,D,,
BEDID,A,0000,93,D,,
CIM_COUNT,A,0000,94,D,,
CO_BANFN,A,0000,95,D,,
CO_BNFPO,A,0000,96,D,,
CO_LEIKZ,A,0000,97,D,,
Value,A,0000,98,D,,
CO_LEIKZ,A,0000,99,D,,
Value,A,0000,100,D,,
CO_LEIKZ,A,0000,101,D,,
Value,A,0000,102,D,,
CO_LEIKZ,A,0000,103,D,,
Value,A,0000,104,D,,
CO_LEIKZ,A,0000,105,D,,
Value,A,0000,106,D,,
CO_LEIKZ,A,0000,107,D,,
Value,A,0000,108,D,,
CO_SELKZ,A,0000,109,D,,
WFCID,A,0000,110,D,,
FRSP,A,0000,111,D,,
Value,A,0000,112,D,,
STDKN,A,0000,113,D,,
ANLZU,A,0000,114,D,,
ISTRU,A,0000,115,D,,
STLTY,A,0000,116,D,,
Value,A,0000,117,D,,
STNUM,A,0000,118,D,,
STLKN,A,0000,119,D,,
CIM_COUNT,A,0000,120,D,,
UPOSZ,A,0000,121,D,,
EBORT,A,0000,122,D,,
CR_VERTN,A,0000,123,D,,
LEKNW,A,0000,124,D,,
Value,A,0000,125,D,,
NW_PRIO,A,0000,126,D,,
CO_APLZL,A,0000,127,D,,
PHFLG,A,0000,128,D,,
Value,A,0000,129,D,,
PHSEQ,A,0000,130,D,,
KNOBJ,A,0000,131,D,,
QERFSICHT,A,0000,132,D,,
Value,A,0000,133,D,,
QPPKTABS,A,0000,134,D,,
Value,A,0000,135,D,,
OTYPE,A,0000,136,D,,
OBJEKTID,A,0000,137,D,,
QL_KAPART,A,0000,138,D,,
RSTUF,A,0000,139,D,,
Value,A,0000,140,D,,
TXTKY,A,0000,141,D,,
QEIFSUBSYS,A,0000,142,D,,
PS_SPS_ELE,A,0000,143,D,,
PACKNO,A,0000,144,D,,
TXJCD,A,0000,145,D,,
SCOPE_CV,A,0000,146,D,,
Value,A,0000,147,D,,
GSBER,A,0000,148,D,,
PRCTR,A,0000,149,D,,
NO_DISP_PLUS,A,0000,150,D,,
Value,A,0000,151,D,,
QKZPRZEIT,A,0000,152,D,,
Value,A,0000,153,D,,
QKZZTMG1,A,0000,154,D,,
Value,A,0000,155,D,,
QKZPRMENG,A,0000,156,D,,
Value,A,0000,157,D,,
QKZPRFREI,A,0000,158,D,,
Value,A,0000,159,D,,
QKZFEAT,A,0000,160,D,,
Value,A,0000,161,D,,
QKZTLSBEST,A,0000,162,D,,
Value,A,0000,163,D,,
AENNR,A,0000,164,D,,
CUOBJ,A,0000,165,D,,
EV_WEIGHTD,A,0000,166,D,,
CR_OBJID_I,A,0000,167,D,,
WERKS_I,A,0000,168,D,,
CY_SEQNRV,A,0000,169,D,,
KAPT_PUFFR,A,0000,170,D,,
EBELN,A,0000,171,D,,
EBELP,A,0000,172,D,,
WEMPF,A,0000,173,D,,
ABLAD,A,0000,174,D,,
CLASF,A,0000,175,D,,
Value,A,0000,176,D,,
FRUNV,A,0000,177,D,,
Value,A,0000,178,D,,
AUFZSCHL,A,0000,179,D,,
AUFKALSM,A,0000,180,D,,
SCEND_ACT,A,0000,181,D,,
Value,A,0000,182,D,,
NETZKONT,A,0000,183,D,,
Value,A,0000,184,D,,
OWAERS,A,0000,185,D,,
AFNAM,A,0000,186,D,,
BEDNR,A,0000,187,D,,
CN_KZFIX,A,0000,188,D,,
Value,A,0000,189,D,,
CO_PERNR,A,0000,190,D,,
CO_FRDLB,A,0000,191,D,,
QPART,A,0000,192,D,,
AUFLOEKZ,A,0000,193,D,,
Value,A,0000,194,D,,
WKURS,A,0000,195,D,,
PROD_ACT,A,0000,196,D,,
Value,A,0000,197,D,,
FPLNR,A,0000,198,D,,
OCM_OBJ_TYPE,A,0000,199,D,,
Value,A,0000,200,D,,
OCM_CH_PROC,A,0000,201,D,,
Value,A,0000,202,D,,
CK_KLVAR,A,0000,203,D,,
CK_KALNR,A,0000,204,D,,
SFORDN,A,0000,205,D,,
FORDP,A,0000,206,D,,
MAT_PRKST,A,0000,207,D,,
CO_PRZNR,A,0000,208,D,,
CN_RFPNT,A,0000,209,D,,
FKBER,A,0000,210,D,,
TECHS,A,0000,211,D,,
ADDCOMPARE_CORE,A,0000,212,D,,
CN_RPIP,A,0000,213,D,,
CO_MES_INT_OPERID,A,0000,214,D,,
CO_MES_INT_STEPID,A,0000,215,D,,
SYSUUID_X,A,0000,216,D,,
J_OBJNR,A,0000,217,D,,
ACTCMB_DELE,A,0000,218,D,,
MILL_OC_AUFNR_MO,A,0000,219,D,,
OIO_HOLD,A,0000,220,D,,
Value,A,0000,221,D,,
WTYSC_WTY_INDICATOR,A,0000,222,D,,
Value,A,0000,223,D,,
TPLNR,A,0000,224,D,,
EQUNR,A,0000,225,D,,
/CPD/PFP_TSTMP,A,0000,226,D,,
Field,A,0000,227,D,,
/CUM/CUGUID,A,0000,228,D,,
/CUM/CUGUID,A,0000,229,D,,
AENNR,A,0000,230,D,,
AENNR,A,0000,231,D,,
AFVC_STATUS,A,0000,232,D,,
AFVC_STATUS,A,0000,233,D,,
ANFKO,A,0000,234,D,,
ANFKO,A,0000,235,D,,
ANFKO,A,0000,236,D,,
ANFKO,A,0000,237,D,,
ANFKOKRS,A,0000,238,D,,
ANFKOKRS,A,0000,239,D,,
ANLZU,A,0000,240,D,,
ANLZU,A,0000,241,D,,
ARBID,A,0000,242,D,,
ARBID,A,0000,243,D,,
ARBID,A,0000,244,D,,
ARBII,A,0000,245,D,,
ARBII,A,0000,246,D,,
ARBII,A,0000,247,D,,
BNFPO,A,0000,248,D,,
BNFPO,A,0000,249,D,,
BNFPO,A,0000,250,D,,
BUKRS,A,0000,251,D,,
BUKRS,A,0000,252,D,,
EBELN,A,0000,253,D,,
EBELN,A,0000,254,D,,
EBELP,A,0000,255,D,,
EBELP,A,0000,256,D,,
EBELP,A,0000,257,D,,
EKGRP,A,0000,258,D,,
EKGRP,A,0000,259,D,,
EKORG,A,0000,260,D,,
EKORG,A,0000,261,D,,
FUNC_AREA,A,0000,262,D,,
FUNC_AREA,A,0000,263,D,,
GSBER,A,0000,264,D,,
GSBER,A,0000,265,D,,
INFNR,A,0000,266,D,,
INFNR,A,0000,267,D,,
ISTRU,A,0000,268,D,,
ISTRU,A,0000,269,D,,
KALID,A,0000,270,D,,
KTSCH,A,0000,271,D,,
KTSCH,A,0000,272,D,,
LAR01,A,0000,273,D,,
LAR01,A,0000,274,D,,
LAR01,A,0000,275,D,,
LAR01,A,0000,276,D,,
LAR02,A,0000,277,D,,
LAR02,A,0000,278,D,,
LAR02,A,0000,279,D,,
LAR02,A,0000,280,D,,
LAR03,A,0000,281,D,,
LAR03,A,0000,282,D,,
LAR03,A,0000,283,D,,
LAR03,A,0000,284,D,,
LAR04,A,0000,285,D,,
LAR04,A,0000,286,D,,
LAR04,A,0000,287,D,,
LAR04,A,0000,288,D,,
LAR05,A,0000,289,D,,
LAR05,A,0000,290,D,,
LAR05,A,0000,291,D,,
LAR05,A,0000,292,D,,
LAR06,A,0000,293,D,,
LAR06,A,0000,294,D,,
LAR06,A,0000,295,D,,
LAR06,A,0000,296,D,,
LARNT,A,0000,297,D,,
LARNT,A,0000,298,D,,
LARNT,A,0000,299,D,,
LARNT,A,0000,300,D,,
LIFNR,A,0000,301,D,,
LIFNR,A,0000,302,D,,
LOGRP,A,0000,303,D,,
LOGRP,A,0000,304,D,,
LOGRP,A,0000,305,D,,
MANDT,A,0000,306,D,,
MATKL,A,0000,307,D,,
MATKL,A,0000,308,D,,
MLSTN,A,0000,309,D,,
MLSTN,A,0000,310,D,,
NPRIO,A,0000,311,D,,
NPRIO,A,0000,312,D,,
OBJNR,A,0000,313,D,,
OBJNR,A,0000,314,D,,
OTYPE,A,0000,315,D,,
OTYPE,A,0000,316,D,,
OWAER,A,0000,317,D,,
OWAER,A,0000,318,D,,
PDEST,A,0000,319,D,,
PHSEQ,A,0000,320,D,,
PHSEQ,A,0000,321,D,,
PHSEQ,A,0000,322,D,,
PLNTY,A,0000,323,D,,
PLNTY,A,0000,324,D,,
PRCTR,A,0000,325,D,,
PRCTR,A,0000,326,D,,
PROJN,A,0000,327,D,,
PROJN,A,0000,328,D,,
QLKAPAR,A,0000,329,D,,
QLKAPAR,A,0000,330,D,,
QPART,A,0000,331,D,,
QPART,A,0000,332,D,,
QUALF,A,0000,333,D,,
QUALF,A,0000,334,D,,
QUALF,A,0000,335,D,,
RASCH,A,0000,336,D,,
RASCH,A,0000,337,D,,
RASCH,A,0000,338,D,,
RFGRP,A,0000,339,D,,
RFGRP,A,0000,340,D,,
RFGRP,A,0000,341,D,,
RFIPPNT,A,0000,342,D,,
RFIPPNT,A,0000,343,D,,
RFPNT,A,0000,344,D,,
RFPNT,A,0000,345,D,,
RFSCH,A,0000,346,D,,
RFSCH,A,0000,347,D,,
RFSCH,A,0000,348,D,,
RFSCH,A,0000,349,D,,
RSTRA,A,0000,350,D,,
RSTRA,A,0000,351,D,,
RSTRA,A,0000,352,D,,
SAKTO,A,0000,353,D,,
SAKTO,A,0000,354,D,,
SAKTO,A,0000,355,D,,
SELKZ,A,0000,356,D,,
SELKZ,A,0000,357,D,,
STEUS,A,0000,358,D,,
