TABNAME,FIELDNAME,AS4LOCAL,AS4VERS,FORTABLE,FORKEY,CHECKTABLE,CHECKFIELD
AFKO,AUFPL,A,0000,,,,AUFPL
AFKO,FEVOR,A,0000,,,T024F,FEVOR
AFKO,FHORI,A,0000,,,T436A,FHORI
AFKO,TERKZ,A,0000,,,T482,TERKZ
AFKO,REDKZ,A,0000,,,,REDKZ
AFKO,Value,A,0000,,,Description,Value
AFKO,APRIO,A,0000,,,,APRIO
AFKO,NTZUE,A,0000,,,AUFK,NTZUE
AFKO,VORUE,A,0000,,,,VORUE
AFKO,PROFID,A,0000,,,TCN41,PROFID
AFKO,VORGZ,A,0000,,,,VORGZ
AFKO,SICHZ,A,0000,,,,SICHZ
AFKO,FREIZ,A,0000,,,,FREIZ
AFKO,UPTER,A,0000,,,,UPTER
AFKO,BEDID,A,0000,,,,BEDID
AFKO,PRONR,A,0000,,,PROJ,PRONR
AFKO,ZAEHL,A,0000,,,,ZAEHL
AFKO,MZAEHL,A,0000,,,,MZAEHL
AFKO,ZKRIZ,A,0000,,,,ZKRIZ
AFKO,PRUEFLOS,A,0000,,,,PRUEFLOS
AFKO,KLVARP,A,0000,,,,KLVARP
AFKO,KLVARI,A,0000,,,,KLVARI
AFKO,RGEKZ,A,0000,,,,RGEKZ
AFKO,Value,A,0000,,,Description,Value
AFKO,PLART,A,0000,,,,PLART
AFKO,Value,A,0000,,,Description,Value
AFKO,FLG_AOB,A,0000,,,,FLG_AOB
AFKO,Value,A,0000,,,Description,Value
AFKO,FLG_ARBEI,A,0000,,,,FLG_ARBEI
AFKO,Value,A,0000,,,Description,Value
AFKO,GLTPP,A,0000,,,,GLTPP
AFKO,GSTPP,A,0000,,,,GSTPP
AFKO,GLTPS,A,0000,,,,GLTPS
AFKO,GSTPS,A,0000,,,,GSTPS
AFKO,FTRPS,A,0000,,,,FTRPS
AFKO,RDKZP,A,0000,,,,RDKZP
AFKO,Value,A,0000,,,Description,Value
AFKO,TRKZP,A,0000,,,,TRKZP
AFKO,RUECK,A,0000,,,,RUECK
AFKO,RMZHL,A,0000,,,,RMZHL
AFKO,IGMNG,A,0000,,,,IGMNG
AFKO,RATID,A,0000,,,,RATID
AFKO,GROID,A,0000,,,,GROID
AFKO,CUOBJ,A,0000,,,,CUOBJ
AFKO,GLUZS,A,0000,,,,GLUZS
AFKO,GSUZS,A,0000,,,,GSUZS
AFKO,REVLV,A,0000,,,,REVLV
AFKO,RSHTY,A,0000,,,,RSHTY
AFKO,Value,A,0000,,,Description,Value
AFKO,RSHID,A,0000,,,CRID,RSHID
AFKO,RSNTY,A,0000,,,,RSNTY
AFKO,Value,A,0000,,,Description,Value
AFKO,RSNID,A,0000,,,CRID,RSNID
AFKO,NAUTERM,A,0000,,,,NAUTERM
AFKO,Value,A,0000,,,Description,Value
AFKO,NAUCOST,A,0000,,,,NAUCOST
AFKO,Value,A,0000,,,Description,Value
AFKO,STUFE,A,0000,,,,STUFE
AFKO,WEGXX,A,0000,,,,WEGXX
AFKO,VWEGX,A,0000,,,,VWEGX
AFKO,ARSNR,A,0000,,,,ARSNR
AFKO,ARSPS,A,0000,,,,ARSPS
AFKO,MAUFNR,A,0000,,,,MAUFNR
AFKO,LKNOT,A,0000,,,,LKNOT
AFKO,RKNOT,A,0000,,,,RKNOT
AFKO,PRODNET,A,0000,,,,PRODNET
AFKO,Value,A,0000,,,Description,Value
AFKO,IASMG,A,0000,,,,IASMG
AFKO,ABARB,A,0000,,,,ABARB
AFKO,AUFNT,A,0000,,,,AUFNT
AFKO,AUFPT,A,0000,,,,AUFPT
AFKO,APLZT,A,0000,,,,APLZT
AFKO,NO_DISP,A,0000,,,,NO_DISP
AFKO,Value,A,0000,,,Description,Value
AFKO,CSPLIT,A,0000,,,MAKV,CSPLIT
AFKO,AENNR,A,0000,,,AENR,AENNR
AFKO,CY_SEQNR,A,0000,,,,CY_SEQNR
AFKO,BREAKS,A,0000,,,,BREAKS
AFKO,Value,A,0000,,,Description,Value
AFKO,VORGZ_TRM,A,0000,,,,VORGZ_TRM
AFKO,SICHZ_TRM,A,0000,,,,SICHZ_TRM
AFKO,TRMDT,A,0000,,,,TRMDT
AFKO,GLUZP,A,0000,,,,GLUZP
AFKO,GSUZP,A,0000,,,,GSUZP
AFKO,GSUZI,A,0000,,,,GSUZI
AFKO,GEUZI,A,0000,,,,GEUZI
AFKO,GLUPP,A,0000,,,,GLUPP
AFKO,GSUPP,A,0000,,,,GSUPP
AFKO,GLUPS,A,0000,,,,GLUPS
AFKO,GSUPS,A,0000,,,,GSUPS
AFKO,CHSCH,A,0000,,,T683,CHSCH
AFKO,KAPT_VORGZ,A,0000,,,,KAPT_VORGZ
AFKO,KAPT_SICHZ,A,0000,,,,KAPT_SICHZ
AFKO,LEAD_AUFNR,A,0000,,,AUFK,LEAD_AUFNR
AFKO,PNETSTARTD,A,0000,,,,PNETSTARTD
AFKO,PNETSTARTT,A,0000,,,,PNETSTARTT
AFKO,PNETENDD,A,0000,,,,PNETENDD
AFKO,PNETENDT,A,0000,,,,PNETENDT
AFKO,KBED,A,0000,,,,KBED
AFKO,Value,A,0000,,,Description,Value
AFKO,KKALKR,A,0000,,,,KKALKR
AFKO,Value,A,0000,,,Description,Value
AFKO,SFCPF,A,0000,,,TCO43,SFCPF
AFKO,RMNGA,A,0000,,,,RMNGA
AFKO,GSBTR,A,0000,,,,GSBTR
AFKO,VFMNG,A,0000,,,,VFMNG
AFKO,NOPCOST,A,0000,,,,NOPCOST
AFKO,Value,A,0000,,,Description,Value
AFKO,NETZKONT,A,0000,,,,NETZKONT
AFKO,Value,A,0000,,,Description,Value
AFKO,ATRKZ,A,0000,,,,ATRKZ
AFKO,Value,A,0000,,,Description,Value
AFKO,OBJTYPE,A,0000,,,,OBJTYPE
AFKO,Value,A,0000,,,Description,Value
AFKO,CH_PROC,A,0000,,,,CH_PROC
AFKO,Value,A,0000,,,Description,Value
AFKO,KAPVERSA,A,0000,,,,KAPVERSA
AFKO,COLORDPROC,A,0000,,,,COLORDPROC
AFKO,Value,A,0000,,,Description,Value
AFKO,KZERB,A,0000,,,,KZERB
AFKO,Value,A,0000,,,Description,Value
AFKO,CONF_KEY,A,0000,,,,CONF_KEY
AFKO,ST_ARBID,A,0000,,,,ST_ARBID
AFKO,VSNMR_V,A,0000,,,,VSNMR_V
AFKO,TERHW,A,0000,,,,TERHW
AFKO,Value,A,0000,,,Description,Value
AFKO,SPLSTAT,A,0000,,,,SPLSTAT
AFKO,Value,A,0000,,,Description,Value
AFKO,COSTUPD,A,0000,,,,COSTUPD
AFKO,Value,A,0000,,,Description,Value
AFKO,MAX_GAMNG,A,0000,,,,MAX_GAMNG
AFKO,MES_ROUTINGID,A,0000,,,,MES_ROUTINGID
AFKO,ADPSP,A,0000,,,,ADPSP
AFKO,RMANR,A,0000,,,,RMANR
AFKO,POSNR_RMA,A,0000,,,,POSNR_RMA
AFKO,POSNV_RMA,A,0000,,,,POSNV_RMA
AFKO,CFB_MAXLZ,A,0000,,,,CFB_MAXLZ
AFKO,CFB_LZEIH,A,0000,,,T006,CFB_LZEIH
AFKO,CFB_ADTDAYS,A,0000,,,,CFB_ADTDAYS
AFKO,CFB_DATOFM,A,0000,,,,CFB_DATOFM
AFKO,CFB_BBDPI,A,0000,,,,CFB_BBDPI
AFKO,OIHANTYP,A,0000,,,,OIHANTYP
AFKO,MILL_RATIO,A,0000,,,,MILL_RATIO
AFKO,BMEINS,A,0000,,,,BMEINS
AFKO,BMENGE,A,0000,,,,BMENGE
AFKO,MILL_OC_ZUSKZ,A,0000,,,,MILL_OC_ZUSKZ
AFKO,Value,A,0000,,,Description,Value
AFKO,Table,A,0000,,,Foreign key table,Table
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,SYST,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AUFK,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFKO,AFKO,A,0000,,,AFKO,AFKO
AFPO,MANDT,A,0000,,,T000,MANDT
AFPO,AUFNR,A,0000,,,AUFK,AUFNR
AFPO,POSNR,A,0000,,,,POSNR
AFPO,PSOBS,A,0000,,,,PSOBS
AFPO,Value,A,0000,,,Description,Value
AFPO,QUNUM,A,0000,,,,QUNUM
AFPO,QUPOS,A,0000,,,,QUPOS
AFPO,PROJN,A,0000,,,PRPS,PROJN
AFPO,PLNUM,A,0000,,,,PLNUM
AFPO,STRMP,A,0000,,,,STRMP
AFPO,ETRMP,A,0000,,,,ETRMP
AFPO,KDAUF,A,0000,,,VBUK,KDAUF
AFPO,KDPOS,A,0000,,,VBUP,KDPOS
AFPO,KDEIN,A,0000,,,,KDEIN
AFPO,BESKZ,A,0000,,,,BESKZ
AFPO,Value,A,0000,,,Description,Value
AFPO,PSAMG,A,0000,,,,PSAMG
AFPO,PSMNG,A,0000,,,,PSMNG
AFPO,WEMNG,A,0000,,,,WEMNG
AFPO,IAMNG,A,0000,,,,IAMNG
AFPO,AMEIN,A,0000,,,T006,AMEIN
AFPO,MEINS,A,0000,,,T006,MEINS
AFPO,MATNR,A,0000,,,MARA,MATNR
AFPO,PAMNG,A,0000,,,,PAMNG
AFPO,PGMNG,A,0000,,,,PGMNG
AFPO,KNTTP,A,0000,,,T163K,KNTTP
AFPO,TPAUF,A,0000,,,,TPAUF
AFPO,LTRMI,A,0000,,,,LTRMI
AFPO,LTRMP,A,0000,,,,LTRMP
AFPO,KALNR,A,0000,,,CKHS,KALNR
AFPO,UEBTO,A,0000,,,,UEBTO
AFPO,UEBTK,A,0000,,,,UEBTK
AFPO,Value,A,0000,,,Description,Value
AFPO,UNTTO,A,0000,,,,UNTTO
AFPO,INSMK,A,0000,,,,INSMK
AFPO,Value,A,0000,,,Description,Value
AFPO,WEPOS,A,0000,,,,WEPOS
AFPO,Value,A,0000,,,Description,Value
AFPO,BWTAR,A,0000,,,T149D,BWTAR
AFPO,BWTTY,A,0000,,,T149C,BWTTY
AFPO,PWERK,A,0000,,,T001W,PWERK
AFPO,LGORT,A,0000,,,T001L,LGORT
AFPO,UMREZ,A,0000,,,,UMREZ
AFPO,UMREN,A,0000,,,,UMREN
AFPO,WEBAZ,A,0000,,,,WEBAZ
AFPO,ELIKZ,A,0000,,,,ELIKZ
AFPO,Value,A,0000,,,Description,Value
AFPO,SAFNR,A,0000,,,,SAFNR
AFPO,VERID,A,0000,,,,VERID
AFPO,SERNR,A,0000,,,SNUM,SERNR
AFPO,TECHS,A,0000,,,,TECHS
AFPO,DWERK,A,0000,,,T001W,DWERK
AFPO,DAUTY,A,0000,,,,DAUTY
AFPO,Value,A,0000,,,Description,Value
AFPO,DAUAT,A,0000,,,T003O,DAUAT
AFPO,DGLTP,A,0000,,,,DGLTP
AFPO,DGLTS,A,0000,,,,DGLTS
AFPO,DFREI,A,0000,,,,DFREI
AFPO,DNREL,A,0000,,,,DNREL
AFPO,VERTO,A,0000,,,T437V,VERTO
AFPO,SOBKZ,A,0000,,,T148,SOBKZ
AFPO,KZVBR,A,0000,,,,KZVBR
AFPO,Value,A,0000,,,Description,Value
AFPO,WEWRT,A,0000,,,,WEWRT
AFPO,WEUNB,A,0000,,,,WEUNB
AFPO,Value,A,0000,,,Description,Value
AFPO,ABLAD,A,0000,,,,ABLAD
AFPO,WEMPF,A,0000,,,,WEMPF
AFPO,CHARG,A,0000,,,MCHA,CHARG
AFPO,GSBER,A,0000,,,TGSB,GSBER
AFPO,WEAED,A,0000,,,,WEAED
AFPO,Value,A,0000,,,Description,Value
AFPO,CUOBJ,A,0000,,,,CUOBJ
AFPO,KBNKZ,A,0000,,,,KBNKZ
AFPO,Value,A,0000,,,Description,Value
AFPO,ARSNR,A,0000,,,,ARSNR
AFPO,ARSPS,A,0000,,,,ARSPS
AFPO,KRSNR,A,0000,,,,KRSNR
AFPO,KRSPS,A,0000,,,,KRSPS
AFPO,KCKEY,A,0000,,,,KCKEY
AFPO,RTP01,A,0000,,,,RTP01
AFPO,Value,A,0000,,,Description,Value
AFPO,RTP02,A,0000,,,,RTP02
AFPO,Value,A,0000,,,Description,Value
AFPO,RTP03,A,0000,,,,RTP03
AFPO,Value,A,0000,,,Description,Value
AFPO,RTP04,A,0000,,,,RTP04
AFPO,Value,A,0000,,,Description,Value
AFPO,KSVON,A,0000,,,,KSVON
AFPO,KSBIS,A,0000,,,,KSBIS
AFPO,OBJNP,A,0000,,,ONR00,OBJNP
AFPO,NDISR,A,0000,,,,NDISR
AFPO,VFMNG,A,0000,,,,VFMNG
AFPO,GSBTR,A,0000,,,,GSBTR
AFPO,KZAVC,A,0000,,,,KZAVC
AFPO,Value,A,0000,,,Description,Value
AFPO,KZBWS,A,0000,,,,KZBWS
AFPO,Value,A,0000,,,Description,Value
AFPO,XLOEK,A,0000,,,,XLOEK
AFPO,Value,A,0000,,,Description,Value
AFPO,SERNP,A,0000,,,T377P,SERNP
AFPO,ANZSN,A,0000,,,,ANZSN
AFPO,OBJTYPE,A,0000,,,,OBJTYPE
AFPO,Value,A,0000,,,Description,Value
AFPO,CH_PROC,A,0000,,,,CH_PROC
AFPO,Value,A,0000,,,Description,Value
AFPO,FXPRU,A,0000,,,,FXPRU
AFPO,Value,A,0000,,,Description,Value
AFPO,CUOBJ_ROOT,A,0000,,,,CUOBJ_ROOT
AFPO,BERID,A,0000,,,,BERID
AFPO,TECHS_COPY,A,0000,,,,TECHS_COPY
AFPO,KUNNR2,A,0000,,,,KUNNR2
AFPO,MILL_OC_AUFNR_U,A,0000,,,,MILL_OC_AUFNR_U
AFPO,MILL_OC_RUMNG,A,0000,,,,MILL_OC_RUMNG
AFPO,MILL_OC_SORT,A,0000,,,,MILL_OC_SORT
AFPO,OIHANTYPI,A,0000,,,OIH5,OIHANTYPI
AFPO,Table,A,0000,,,Foreign key table,Table
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,CKHS,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,SYST,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFPO,AFPO,A,0000,,,AFPO,AFPO
AFVC,MANDT,A,0000,,,T000,MANDT
AFVC,AUFPL,A,0000,,,,AUFPL
AFVC,APLZL,A,0000,,,,APLZL
AFVC,PLNFL,A,0000,,,,PLNFL
AFVC,PLNKN,A,0000,,,,PLNKN
AFVC,PLNAL,A,0000,,,,PLNAL
AFVC,PLNTY,A,0000,,,TCA01,PLNTY
AFVC,VINTV,A,0000,,,,VINTV
AFVC,PLNNR,A,0000,,,,PLNNR
AFVC,ZAEHL,A,0000,,,,ZAEHL
AFVC,VORNR,A,0000,,,,VORNR
AFVC,STEUS,A,0000,,,T430,STEUS
AFVC,ARBID,A,0000,,,CRID,ARBID
AFVC,PDEST,A,0000,,,TSP03,PDEST
AFVC,WERKS,A,0000,,,T001W,WERKS
AFVC,KTSCH,A,0000,,,T435,KTSCH
AFVC,LTXA1,A,0000,,,,LTXA1
AFVC,LTXA2,A,0000,,,,LTXA2
AFVC,TXTSP,A,0000,,,T002,TXTSP
AFVC,VPLTY,A,0000,,,TCA01,VPLTY
AFVC,VPLNR,A,0000,,,,VPLNR
AFVC,VPLAL,A,0000,,,,VPLAL
AFVC,VPLFL,A,0000,,,,VPLFL
AFVC,VGWTS,A,0000,,,TC21,VGWTS
AFVC,LAR01,A,0000,,,CSLA,LAR01
AFVC,LAR02,A,0000,,,CSLA,LAR02
AFVC,LAR03,A,0000,,,CSLA,LAR03
AFVC,LAR04,A,0000,,,CSLA,LAR04
AFVC,LAR05,A,0000,,,CSLA,LAR05
AFVC,LAR06,A,0000,,,CSLA,LAR06
AFVC,ZERMA,A,0000,,,T429,ZERMA
AFVC,ZGDAT,A,0000,,,,ZGDAT
AFVC,ZCODE,A,0000,,,,ZCODE
AFVC,ZULNR,A,0000,,,,ZULNR
AFVC,LOANZ,A,0000,,,,LOANZ
AFVC,LOART,A,0000,,,,LOART
AFVC,RSANZ,A,0000,,,,RSANZ
AFVC,QUALF,A,0000,,,T423,QUALF
AFVC,ANZMA,A,0000,,,,ANZMA
AFVC,RFGRP,A,0000,,,T426,RFGRP
AFVC,RFSCH,A,0000,,,T425,RFSCH
AFVC,RASCH,A,0000,,,T428,RASCH
AFVC,AUFAK,A,0000,,,,AUFAK
AFVC,LOGRP,A,0000,,,T421,LOGRP
AFVC,UEMUS,A,0000,,,,UEMUS
AFVC,Value,A,0000,,,Description,Value
AFVC,UEKAN,A,0000,,,,UEKAN
AFVC,Value,A,0000,,,Description,Value
AFVC,FLIES,A,0000,,,,FLIES
AFVC,Value,A,0000,,,Description,Value
AFVC,SPMUS,A,0000,,,,SPMUS
AFVC,Value,A,0000,,,Description,Value
AFVC,SPLIM,A,0000,,,,SPLIM
AFVC,ABLIPKZ,A,0000,,,,ABLIPKZ
AFVC,Value,A,0000,,,Description,Value
AFVC,RSTRA,A,0000,,,T499Q,RSTRA
AFVC,SUMNR,A,0000,,,,SUMNR
AFVC,SORTL,A,0000,,,,SORTL
AFVC,LIFNR,A,0000,,,LFA1,LIFNR
AFVC,PREIS,A,0000,,,,PREIS
AFVC,PEINH,A,0000,,,,PEINH
AFVC,SAKTO,A,0000,,,CSKA,SAKTO
AFVC,WAERS,A,0000,,,TCURC,WAERS
AFVC,INFNR,A,0000,,,EINA,INFNR
AFVC,ESOKZ,A,0000,,,,ESOKZ
AFVC,Value,A,0000,,,Description,Value
AFVC,EKORG,A,0000,,,T024E,EKORG
AFVC,EKGRP,A,0000,,,T024,EKGRP
AFVC,KZLGF,A,0000,,,,KZLGF
AFVC,Value,A,0000,,,Description,Value
AFVC,KZWRTF,A,0000,,,,KZWRTF
AFVC,Value,A,0000,,,Description,Value
AFVC,MATKL,A,0000,,,T023,MATKL
AFVC,DDEHN,A,0000,,,,DDEHN
AFVC,Value,A,0000,,,Description,Value
AFVC,ANZZL,A,0000,,,,ANZZL
AFVC,PRZNT,A,0000,,,,PRZNT
AFVC,MLSTN,A,0000,,,T433,MLSTN
AFVC,PPRIO,A,0000,,,,PPRIO
AFVC,BUKRS,A,0000,,,T001,BUKRS
AFVC,ANFKO,A,0000,,,CSKS,ANFKO
AFVC,ANFKOKRS,A,0000,,,TKA01,ANFKOKRS
AFVC,INDET,A,0000,,,,INDET
AFVC,Value,A,0000,,,Description,Value
AFVC,LARNT,A,0000,,,CSLA,LARNT
AFVC,PRKST,A,0000,,,,PRKST
AFVC,APLFL,A,0000,,,,APLFL
AFVC,RUECK,A,0000,,,,RUECK
AFVC,RMZHL,A,0000,,,,RMZHL
AFVC,PROJN,A,0000,,,PRPS,PROJN
AFVC,OBJNR,A,0000,,,ONR00,OBJNR
AFVC,SPANZ,A,0000,,,,SPANZ
AFVC,BEDID,A,0000,,,,BEDID
AFVC,BEDZL,A,0000,,,,BEDZL
AFVC,BANFN,A,0000,,,,BANFN
AFVC,BNFPO,A,0000,,,EBAN,BNFPO
AFVC,LEK01,A,0000,,,,LEK01
AFVC,Value,A,0000,,,Description,Value
AFVC,LEK02,A,0000,,,,LEK02
AFVC,Value,A,0000,,,Description,Value
AFVC,LEK03,A,0000,,,,LEK03
AFVC,Value,A,0000,,,Description,Value
