ROLLNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
DZKRIZ,A,0000,D,ZKRIZ
QPLOS,A,0000,D,PRUEFLOS
KALKVARPLN,A,0000,D,KLVARP
KALKVARIST,A,0000,D,KLVARI
CO_RGEKZ,A,0000,D,RGEKZ
Value,A,0000,D,Value
PS_PLART,A,0000,D,PLART
Value,A,0000,D,Value
FLG_AOB,A,0000,D,FLG_AOB
Value,A,0000,D,Value
FLG_ARBEI,A,0000,D,FLG_ARBEI
Value,A,0000,D,Value
CO_GLTPP,A,0000,D,GLTPP
CO_GSTPP,A,0000,D,GSTPP
CO_GLTPS,A,0000,D,GLTPS
CO_GSTPS,A,0000,D,GSTPS
CO_FTRPS,A,0000,D,FTRPS
REDKZP,A,0000,D,RDKZP
Value,A,0000,D,Value
TERMKZP,A,0000,D,TRKZP
CO_RUECK,A,0000,D,RUECK
CIM_COUNT,A,0000,D,RMZHL
CO_IGMNG,A,0000,D,IGMNG
BEDID,A,0000,D,RATID
BEDID,A,0000,D,GROID
CUOBJ,A,0000,D,CUOBJ
CO_GLUZS,A,0000,D,GLUZS
CO_GSUZS,A,0000,D,GSUZS
REVLV,A,0000,D,REVLV
CR_OBJTY,A,0000,D,RSHTY
Value,A,0000,D,Value
CR_OBJID,A,0000,D,RSHID
CR_OBJTY,A,0000,D,RSNTY
Value,A,0000,D,Value
CR_OBJID,A,0000,D,RSNID
CO_NAUTERM,A,0000,D,NAUTERM
Value,A,0000,D,Value
CO_NAUCOST,A,0000,D,NAUCOST
Value,A,0000,D,Value
HISTU,A,0000,D,STUFE
WEGXX,A,0000,D,WEGXX
WEGXX,A,0000,D,VWEGX
RSNUM,A,0000,D,ARSNR
CO_POSNR,A,0000,D,ARSPS
MAUFNR,A,0000,D,MAUFNR
CO_LKNOT,A,0000,D,LKNOT
CO_RKNOT,A,0000,D,RKNOT
CO_PRODNET,A,0000,D,PRODNET
Value,A,0000,D,Value
CO_IASMG,A,0000,D,IASMG
CO_ABARB,A,0000,D,ABARB
CO_TEILNET,A,0000,D,AUFNT
CO_AUFPL,A,0000,D,AUFPT
CO_APLZL,A,0000,D,APLZT
NO_DISP_PLUS,A,0000,D,NO_DISP
Value,A,0000,D,Value
CSPLIT,A,0000,D,CSPLIT
AENNR,A,0000,D,AENNR
CY_SEQNR,A,0000,D,CY_SEQNR
BREAKS,A,0000,D,BREAKS
Value,A,0000,D,Value
VORGZ_TRM,A,0000,D,VORGZ_TRM
SICHZ_TRM,A,0000,D,SICHZ_TRM
TRMDT,A,0000,D,TRMDT
CO_GLUZP,A,0000,D,GLUZP
CO_GSUZP,A,0000,D,GSUZP
CO_GSUZI,A,0000,D,GSUZI
CO_GEUZI,A,0000,D,GEUZI
CO_GLUPP,A,0000,D,GLUPP
CO_GSUPP,A,0000,D,GSUPP
CO_GLUPS,A,0000,D,GLUPS
CO_GSUPS,A,0000,D,GSUPS
KALSMA_CH,A,0000,D,CHSCH
KAPT_VORGZ,A,0000,D,KAPT_VORGZ
KAPT_SICHZ,A,0000,D,KAPT_SICHZ
CO_LAUFNR,A,0000,D,LEAD_AUFNR
CO_PSTARTD,A,0000,D,PNETSTARTD
CO_PSTARTT,A,0000,D,PNETSTARTT
CO_PENDD,A,0000,D,PNETENDD
CO_PENDT,A,0000,D,PNETENDT
KBED_D,A,0000,D,KBED
Value,A,0000,D,Value
COMP_CALC,A,0000,D,KKALKR
Value,A,0000,D,Value
CO_PRODPRF,A,0000,D,SFCPF
RMNGA,A,0000,D,RMNGA
CO_GSBTR,A,0000,D,GSBTR
CO_VFMNG,A,0000,D,VFMNG
CO_NOPCOST,A,0000,D,NOPCOST
Value,A,0000,D,Value
NETZKONT,A,0000,D,NETZKONT
Value,A,0000,D,Value
ATRKZ,A,0000,D,ATRKZ
Value,A,0000,D,Value
OCM_OBJ_TYPE,A,0000,D,OBJTYPE
Value,A,0000,D,Value
OCM_CH_PROC,A,0000,D,CH_PROC
Value,A,0000,D,Value
KAPVERSA,A,0000,D,KAPVERSA
CO_COLORDPRC,A,0000,D,COLORDPROC
Value,A,0000,D,Value
PS_KZERB,A,0000,D,KZERB
Value,A,0000,D,Value
CC_CONF_KEY,A,0000,D,CONF_KEY
OBJEKTID,A,0000,D,ST_ARBID
VSNMR_V,A,0000,D,VSNMR_V
TERHW,A,0000,D,TERHW
Value,A,0000,D,Value
SPLIT_STAT,A,0000,D,SPLSTAT
Value,A,0000,D,Value
CN_COSTUPD,A,0000,D,COSTUPD
Value,A,0000,D,Value
CO_MES_MAX_GAMNG,A,0000,D,MAX_GAMNG
CO_MES_INT_ROUTINGID,A,0000,D,MES_ROUTINGID
ADCOMPARE,A,0000,D,ADPSP
VBELN,A,0000,D,RMANR
POSNR,A,0000,D,POSNR_RMA
POSNR,A,0000,D,POSNV_RMA
MAXLZ,A,0000,D,CFB_MAXLZ
LZEIH,A,0000,D,CFB_LZEIH
CFB_ADTDAYS,A,0000,D,CFB_ADTDAYS
CFB_DATOFM,A,0000,D,CFB_DATOFM
CFB_BBD_PPPI,A,0000,D,CFB_BBDPI
OIH_HANTYP,A,0000,D,OIHANTYP
MILL_RATIO,A,0000,D,MILL_RATIO
MEINS,A,0000,D,BMEINS
BASMN,A,0000,D,BMENGE
MILL_OC_ZUSKZ,A,0000,D,MILL_OC_ZUSKZ
Value,A,0000,D,Value
Field,A,0000,D,Table
AENNR,A,0000,D,AFKO
AENNR,A,0000,D,AFKO
AUFNR,A,0000,D,AFKO
AUFNR,A,0000,D,AFKO
CFB_LZEIH,A,0000,D,AFKO
CFB_LZEIH,A,0000,D,AFKO
CHSCH,A,0000,D,AFKO
CHSCH,A,0000,D,AFKO
CSPLIT,A,0000,D,AFKO
CSPLIT,A,0000,D,AFKO
CSPLIT,A,0000,D,AFKO
CSPLIT,A,0000,D,AFKO
DISPO,A,0000,D,AFKO
DISPO,A,0000,D,AFKO
DISPO,A,0000,D,AFKO
FEVOR,A,0000,D,AFKO
FEVOR,A,0000,D,AFKO
FEVOR,A,0000,D,AFKO
FHORI,A,0000,D,AFKO
FHORI,A,0000,D,AFKO
FHORI,A,0000,D,AFKO
GMEIN,A,0000,D,AFKO
GMEIN,A,0000,D,AFKO
LEAD_AUFNR,A,0000,D,AFKO
LEAD_AUFNR,A,0000,D,AFKO
MANDT,A,0000,D,AFKO
NTZUE,A,0000,D,AFKO
NTZUE,A,0000,D,AFKO
PAENR,A,0000,D,AFKO
PAENR,A,0000,D,AFKO
PLGRP,A,0000,D,AFKO
PLGRP,A,0000,D,AFKO
PLGRP,A,0000,D,AFKO
PLNAW,A,0000,D,AFKO
PLNAW,A,0000,D,AFKO
PLNBEZ,A,0000,D,AFKO
PLNBEZ,A,0000,D,AFKO
PLNME,A,0000,D,AFKO
PLNME,A,0000,D,AFKO
PROFID,A,0000,D,AFKO
PROFID,A,0000,D,AFKO
PROFID,A,0000,D,AFKO
PRONR,A,0000,D,AFKO
PRONR,A,0000,D,AFKO
PVERW,A,0000,D,AFKO
PVERW,A,0000,D,AFKO
RSHID,A,0000,D,AFKO
RSHID,A,0000,D,AFKO
RSHID,A,0000,D,AFKO
RSNID,A,0000,D,AFKO
RSNID,A,0000,D,AFKO
RSNID,A,0000,D,AFKO
SAENR,A,0000,D,AFKO
SAENR,A,0000,D,AFKO
SBMEH,A,0000,D,AFKO
SBMEH,A,0000,D,AFKO
SFCPF,A,0000,D,AFKO
SFCPF,A,0000,D,AFKO
SFCPF,A,0000,D,AFKO
STLAN,A,0000,D,AFKO
STLAN,A,0000,D,AFKO
STLBEZ,A,0000,D,AFKO
STLBEZ,A,0000,D,AFKO
STLST,A,0000,D,AFKO
STLST,A,0000,D,AFKO
TERKZ,A,0000,D,AFKO
TERKZ,A,0000,D,AFKO
MANDT,A,0000,D,MANDT
AUFNR,A,0000,D,AUFNR
CO_POSNR,A,0000,D,POSNR
SOBES,A,0000,D,PSOBS
Value,A,0000,D,Value
QUNUM,A,0000,D,QUNUM
QUPOS,A,0000,D,QUPOS
PS_PSP_ELE,A,0000,D,PROJN
PLNUM,A,0000,D,PLNUM
CO_STRMP,A,0000,D,STRMP
CO_ETRMP,A,0000,D,ETRMP
CO_KDAUF,A,0000,D,KDAUF
CO_KDPOS,A,0000,D,KDPOS
KDEIN,A,0000,D,KDEIN
BESKZ,A,0000,D,BESKZ
Value,A,0000,D,Value
CO_PSAMG,A,0000,D,PSAMG
CO_PSMNG,A,0000,D,PSMNG
CO_WEMNG,A,0000,D,WEMNG
CO_IAMNG,A,0000,D,IAMNG
CO_AUFME,A,0000,D,AMEIN
LAGME,A,0000,D,MEINS
CO_MATNR,A,0000,D,MATNR
AVMNG,A,0000,D,PAMNG
GSMNG,A,0000,D,PGMNG
KNTTP,A,0000,D,KNTTP
TPAUF,A,0000,D,TPAUF
CO_LTRMI,A,0000,D,LTRMI
CO_LTRMP,A,0000,D,LTRMP
CK_KALNR,A,0000,D,KALNR
UEBTO,A,0000,D,UEBTO
UEBTK,A,0000,D,UEBTK
Value,A,0000,D,Value
UNTTO,A,0000,D,UNTTO
INSMK,A,0000,D,INSMK
Value,A,0000,D,Value
WEPOS,A,0000,D,WEPOS
Value,A,0000,D,Value
BWTAR_D,A,0000,D,BWTAR
BWTTY_D,A,0000,D,BWTTY
CO_PWERK,A,0000,D,PWERK
LGORT_D,A,0000,D,LGORT
UMREZ,A,0000,D,UMREZ
UMREN,A,0000,D,UMREN
PLWEZ,A,0000,D,WEBAZ
ELIKZ,A,0000,D,ELIKZ
Value,A,0000,D,Value
SA_AUFNR,A,0000,D,SAFNR
VERID,A,0000,D,VERID
SERNR,A,0000,D,SERNR
TECHS,A,0000,D,TECHS
WERKS_D,A,0000,D,DWERK
AUFTYP,A,0000,D,DAUTY
Value,A,0000,D,Value
AUFART,A,0000,D,DAUAT
CO_GLTRP,A,0000,D,DGLTP
CO_GLTRS,A,0000,D,DGLTS
CO_FREI,A,0000,D,DFREI
CO_DNREL,A,0000,D,DNREL
SA_VERTL,A,0000,D,VERTO
SOBKZ,A,0000,D,SOBKZ
KZVBR,A,0000,D,KZVBR
Value,A,0000,D,Value
WEWRT,A,0000,D,WEWRT
WEUNB,A,0000,D,WEUNB
Value,A,0000,D,Value
ABLAD,A,0000,D,ABLAD
WEMPF,A,0000,D,WEMPF
CHARG_D,A,0000,D,CHARG
GSBER,A,0000,D,GSBER
CO_WEAE,A,0000,D,WEAED
Value,A,0000,D,Value
CUOBJ,A,0000,D,CUOBJ
KBNKZ,A,0000,D,KBNKZ
Value,A,0000,D,Value
ARSNR,A,0000,D,ARSNR
ARSPS,A,0000,D,ARSPS
RSNUM,A,0000,D,KRSNR
RSPOS,A,0000,D,KRSPS
CCKEY,A,0000,D,KCKEY
RTP01,A,0000,D,RTP01
Value,A,0000,D,Value
RTP02,A,0000,D,RTP02
Value,A,0000,D,Value
RTP03,A,0000,D,RTP03
Value,A,0000,D,Value
RTP04,A,0000,D,RTP04
Value,A,0000,D,Value
KSVON,A,0000,D,KSVON
KSBIS,A,0000,D,KSBIS
J_OBJNR,A,0000,D,OBJNP
CO_NDISR,A,0000,D,NDISR
CO_VFMNG,A,0000,D,VFMNG
CO_GSBTR,A,0000,D,GSBTR
KZAVC,A,0000,D,KZAVC
Value,A,0000,D,Value
KZBWS,A,0000,D,KZBWS
Value,A,0000,D,Value
AUFLOEKZ,A,0000,D,XLOEK
Value,A,0000,D,Value
SERAIL,A,0000,D,SERNP
ANZSN,A,0000,D,ANZSN
OCM_OBJ_TYPE,A,0000,D,OBJTYPE
Value,A,0000,D,Value
OCM_CH_PROC,A,0000,D,CH_PROC
Value,A,0000,D,Value
CK_FIXPRKU,A,0000,D,FXPRU
Value,A,0000,D,Value
CUOBJ,A,0000,D,CUOBJ_ROOT
BERID,A,0000,D,BERID
TECHS,A,0000,D,TECHS_COPY
KUNNR,A,0000,D,KUNNR2
MILL_OC_AUFNR_U,A,0000,D,MILL_OC_AUFNR_U
MILL_OC_RUMNG,A,0000,D,MILL_OC_RUMNG
MILL_OC_SORT,A,0000,D,MILL_OC_SORT
OIH_HANTYP,A,0000,D,OIHANTYPI
Field,A,0000,D,Table
AMEIN,A,0000,D,AFPO
AMEIN,A,0000,D,AFPO
AUFNR,A,0000,D,AFPO
AUFNR,A,0000,D,AFPO
BWTAR,A,0000,D,AFPO
BWTAR,A,0000,D,AFPO
BWTTY,A,0000,D,AFPO
BWTTY,A,0000,D,AFPO
CHARG,A,0000,D,AFPO
CHARG,A,0000,D,AFPO
CHARG,A,0000,D,AFPO
CHARG,A,0000,D,AFPO
DAUAT,A,0000,D,AFPO
DAUAT,A,0000,D,AFPO
DWERK,A,0000,D,AFPO
DWERK,A,0000,D,AFPO
GSBER,A,0000,D,AFPO
GSBER,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KALNR,A,0000,D,AFPO
KDAUF,A,0000,D,AFPO
KDAUF,A,0000,D,AFPO
KDPOS,A,0000,D,AFPO
KDPOS,A,0000,D,AFPO
KDPOS,A,0000,D,AFPO
KNTTP,A,0000,D,AFPO
KNTTP,A,0000,D,AFPO
LGORT,A,0000,D,AFPO
LGORT,A,0000,D,AFPO
LGORT,A,0000,D,AFPO
MANDT,A,0000,D,AFPO
MATNR,A,0000,D,AFPO
MATNR,A,0000,D,AFPO
MEINS,A,0000,D,AFPO
MEINS,A,0000,D,AFPO
OBJNP,A,0000,D,AFPO
OBJNP,A,0000,D,AFPO
OIHANTYPI,A,0000,D,AFPO
OIHANTYPI,A,0000,D,AFPO
PROJN,A,0000,D,AFPO
PROJN,A,0000,D,AFPO
PWERK,A,0000,D,AFPO
PWERK,A,0000,D,AFPO
SERNP,A,0000,D,AFPO
SERNP,A,0000,D,AFPO
SERNR,A,0000,D,AFPO
SERNR,A,0000,D,AFPO
SOBKZ,A,0000,D,AFPO
SOBKZ,A,0000,D,AFPO
VERTO,A,0000,D,AFPO
VERTO,A,0000,D,AFPO
VERTO,A,0000,D,AFPO
MANDT,A,0000,D,MANDT
CO_AUFPL,A,0000,D,AUFPL
CO_APLZL,A,0000,D,APLZL
PLNFOLGE,A,0000,D,PLNFL
PLNKN,A,0000,D,PLNKN
PLNAL,A,0000,D,PLNAL
PLNTY,A,0000,D,PLNTY
VINTV,A,0000,D,VINTV
PLNNR,A,0000,D,PLNNR
CIM_COUNT,A,0000,D,ZAEHL
VORNR,A,0000,D,VORNR
STEUS,A,0000,D,STEUS
CR_OBJID,A,0000,D,ARBID
CR_PDEST,A,0000,D,PDEST
WERKS_D,A,0000,D,WERKS
KTSCH,A,0000,D,KTSCH
LTXA1,A,0000,D,LTXA1
LTXA2,A,0000,D,LTXA2
SPRAS,A,0000,D,TXTSP
VPLNTY,A,0000,D,VPLTY
VPLNNR,A,0000,D,VPLNR
VPLNAL,A,0000,D,VPLAL
VPLBFL,A,0000,D,VPLFL
VORGSCHL,A,0000,D,VGWTS
LSTAR,A,0000,D,LAR01
LSTAR,A,0000,D,LAR02
LSTAR,A,0000,D,LAR03
LSTAR,A,0000,D,LAR04
LSTAR,A,0000,D,LAR05
LSTAR,A,0000,D,LAR06
DZERMA,A,0000,D,ZERMA
DZGDAT,A,0000,D,ZGDAT
DZCODE,A,0000,D,ZCODE
DZULNR,A,0000,D,ZULNR
LOHNANZ,A,0000,D,LOANZ
LOHNART,A,0000,D,LOART
CR_RS_ANZ,A,0000,D,RSANZ
QUALF,A,0000,D,QUALF
ANZMS,A,0000,D,ANZMA
RUEFAGRP,A,0000,D,RFGRP
RUEFASCHLU,A,0000,D,RFSCH
RUEARSCHLU,A,0000,D,RASCH
AUSCHUFAK,A,0000,D,AUFAK
LOHNGRP,A,0000,D,LOGRP
UEMUSKZ,A,0000,D,UEMUS
Value,A,0000,D,Value
UEKANKZ,A,0000,D,UEKAN
Value,A,0000,D,Value
FLIESSKZ,A,0000,D,FLIES
Value,A,0000,D,Value
SPLITTUNG,A,0000,D,SPMUS
Value,A,0000,D,Value
SPLITTANZ,A,0000,D,SPLIM
ABLIPKZ,A,0000,D,ABLIPKZ
Value,A,0000,D,Value
RSTRA,A,0000,D,RSTRA
SUMKNTNR,A,0000,D,SUMNR
SORTI,A,0000,D,SORTL
LIFNR,A,0000,D,LIFNR
PREIS,A,0000,D,PREIS
PEINH,A,0000,D,PEINH
KSTAR,A,0000,D,SAKTO
WAERS,A,0000,D,WAERS
INFNR,A,0000,D,INFNR
ESOKZ,A,0000,D,ESOKZ
Value,A,0000,D,Value
EKORG,A,0000,D,EKORG
VG_EKGRP,A,0000,D,EKGRP
KZLGF,A,0000,D,KZLGF
Value,A,0000,D,Value
KZWRTF,A,0000,D,KZWRTF
Value,A,0000,D,Value
MATKL,A,0000,D,MATKL
DAUDEHN,A,0000,D,DDEHN
Value,A,0000,D,Value
ANZKAP,A,0000,D,ANZZL
APROZENT,A,0000,D,PRZNT
MILESTONE,A,0000,D,MLSTN
PRIORITAET,A,0000,D,PPRIO
BUKRS,A,0000,D,BUKRS
ANFKO,A,0000,D,ANFKO
ANFKOKRS,A,0000,D,ANFKOKRS
INDET,A,0000,D,INDET
Value,A,0000,D,Value
LSTAR,A,0000,D,LARNT
PRKST,A,0000,D,PRKST
PLNFOLGE,A,0000,D,APLFL
CO_RUECK,A,0000,D,RUECK
CO_RMZHL,A,0000,D,RMZHL
PS_PSP_ELE,A,0000,D,PROJN
J_OBJNR,A,0000,D,OBJNR
SPLITTERM,A,0000,D,SPANZ
BEDID,A,0000,D,BEDID
CIM_COUNT,A,0000,D,BEDZL
CO_BANFN,A,0000,D,BANFN
CO_BNFPO,A,0000,D,BNFPO
CO_LEIKZ,A,0000,D,LEK01
Value,A,0000,D,Value
CO_LEIKZ,A,0000,D,LEK02
Value,A,0000,D,Value
CO_LEIKZ,A,0000,D,LEK03
Value,A,0000,D,Value
CO_LEIKZ,A,0000,D,LEK04
Value,A,0000,D,Value
CO_LEIKZ,A,0000,D,LEK05
Value,A,0000,D,Value
CO_LEIKZ,A,0000,D,LEK06
Value,A,0000,D,Value
CO_SELKZ,A,0000,D,SELKZ
WFCID,A,0000,D,KALID
FRSP,A,0000,D,FRSP
Value,A,0000,D,Value
STDKN,A,0000,D,STDKN
ANLZU,A,0000,D,ANLZU
ISTRU,A,0000,D,ISTRU
STLTY,A,0000,D,ISTTY
Value,A,0000,D,Value
STNUM,A,0000,D,ISTNR
STLKN,A,0000,D,ISTKN
CIM_COUNT,A,0000,D,ISTPO
UPOSZ,A,0000,D,IUPOZ
EBORT,A,0000,D,EBORT
CR_VERTN,A,0000,D,VERTL
LEKNW,A,0000,D,LEKNW
Value,A,0000,D,Value
NW_PRIO,A,0000,D,NPRIO
CO_APLZL,A,0000,D,PVZKN
PHFLG,A,0000,D,PHFLG
Value,A,0000,D,Value
PHSEQ,A,0000,D,PHSEQ
KNOBJ,A,0000,D,KNOBJ
QERFSICHT,A,0000,D,ERFSICHT
Value,A,0000,D,Value
QPPKTABS,A,0000,D,QPPKTABS
Value,A,0000,D,Value
OTYPE,A,0000,D,OTYPE
OBJEKTID,A,0000,D,OBJEKTID
QL_KAPART,A,0000,D,QLKAPAR
RSTUF,A,0000,D,RSTUF
Value,A,0000,D,Value
TXTKY,A,0000,D,NPTXTKY
QEIFSUBSYS,A,0000,D,SUBSYS
PS_SPS_ELE,A,0000,D,PSPNR
PACKNO,A,0000,D,PACKNO
TXJCD,A,0000,D,TXJCD
SCOPE_CV,A,0000,D,SCOPE
Value,A,0000,D,Value
GSBER,A,0000,D,GSBER
PRCTR,A,0000,D,PRCTR
NO_DISP_PLUS,A,0000,D,NO_DISP
Value,A,0000,D,Value
QKZPRZEIT,A,0000,D,QKZPRZEIT
Value,A,0000,D,Value
QKZZTMG1,A,0000,D,QKZZTMG1
Value,A,0000,D,Value
QKZPRMENG,A,0000,D,QKZPRMENG
Value,A,0000,D,Value
QKZPRFREI,A,0000,D,QKZPRFREI
Value,A,0000,D,Value
QKZFEAT,A,0000,D,KZFEAT
Value,A,0000,D,Value
QKZTLSBEST,A,0000,D,QKZTLSBEST
Value,A,0000,D,Value
AENNR,A,0000,D,AENNR
CUOBJ,A,0000,D,CUOBJ_ARB
EV_WEIGHTD,A,0000,D,EVGEW
CR_OBJID_I,A,0000,D,ARBII
WERKS_I,A,0000,D,WERKI
CY_SEQNRV,A,0000,D,CY_SEQNRV
KAPT_PUFFR,A,0000,D,KAPT_PUFFR
EBELN,A,0000,D,EBELN
EBELP,A,0000,D,EBELP
WEMPF,A,0000,D,WEMPF
ABLAD,A,0000,D,ABLAD
CLASF,A,0000,D,CLASF
Value,A,0000,D,Value
FRUNV,A,0000,D,FRUNV
Value,A,0000,D,Value
AUFZSCHL,A,0000,D,ZSCHL
AUFKALSM,A,0000,D,KALSM
SCEND_ACT,A,0000,D,SCHED_END
Value,A,0000,D,Value
NETZKONT,A,0000,D,NETZKONT
Value,A,0000,D,Value
OWAERS,A,0000,D,OWAER
AFNAM,A,0000,D,AFNAM
BEDNR,A,0000,D,BEDNR
CN_KZFIX,A,0000,D,KZFIX
Value,A,0000,D,Value
CO_PERNR,A,0000,D,PERNR
CO_FRDLB,A,0000,D,FRDLB
QPART,A,0000,D,QPART
AUFLOEKZ,A,0000,D,LOEKZ
Value,A,0000,D,Value
WKURS,A,0000,D,WKURS
PROD_ACT,A,0000,D,PROD_ACT
Value,A,0000,D,Value
FPLNR,A,0000,D,FPLNR
OCM_OBJ_TYPE,A,0000,D,OBJTYPE
Value,A,0000,D,Value
OCM_CH_PROC,A,0000,D,CH_PROC
Value,A,0000,D,Value
CK_KLVAR,A,0000,D,KLVAR
CK_KALNR,A,0000,D,KALNR
SFORDN,A,0000,D,FORDN
FORDP,A,0000,D,FORDP
MAT_PRKST,A,0000,D,MAT_PRKST
CO_PRZNR,A,0000,D,PRZ01
CN_RFPNT,A,0000,D,RFPNT
FKBER,A,0000,D,FUNC_AREA
TECHS,A,0000,D,TECHS
ADDCOMPARE_CORE,A,0000,D,ADPSP
CN_RPIP,A,0000,D,RFIPPNT
CO_MES_INT_OPERID,A,0000,D,MES_OPERID
CO_MES_INT_STEPID,A,0000,D,MES_STEPID
SYSUUID_X,A,0000,D,/CUM/CUGUID
J_OBJNR,A,0000,D,/ISDFPS/OBJNR
ACTCMB_DELE,A,0000,D,AFVC_STATUS
MILL_OC_AUFNR_MO,A,0000,D,MILL_OC_AUFNR_MO
OIO_HOLD,A,0000,D,OIO_HOLD
Value,A,0000,D,Value
WTYSC_WTY_INDICATOR,A,0000,D,WTY_IND
Value,A,0000,D,Value
TPLNR,A,0000,D,TPLNR
EQUNR,A,0000,D,EQUNR
/CPD/PFP_TSTMP,A,0000,D,CPD_UPDAT
Field,A,0000,D,Table
/CUM/CUGUID,A,0000,D,AFVC
/CUM/CUGUID,A,0000,D,AFVC
AENNR,A,0000,D,AFVC
AENNR,A,0000,D,AFVC
AFVC_STATUS,A,0000,D,AFVC
AFVC_STATUS,A,0000,D,AFVC
ANFKO,A,0000,D,AFVC
ANFKO,A,0000,D,AFVC
ANFKO,A,0000,D,AFVC
ANFKO,A,0000,D,AFVC
ANFKOKRS,A,0000,D,AFVC
ANFKOKRS,A,0000,D,AFVC
ANLZU,A,0000,D,AFVC
ANLZU,A,0000,D,AFVC
ARBID,A,0000,D,AFVC
ARBID,A,0000,D,AFVC
ARBID,A,0000,D,AFVC
ARBII,A,0000,D,AFVC
ARBII,A,0000,D,AFVC
ARBII,A,0000,D,AFVC
BNFPO,A,0000,D,AFVC
BNFPO,A,0000,D,AFVC
BNFPO,A,0000,D,AFVC
BUKRS,A,0000,D,AFVC
BUKRS,A,0000,D,AFVC
EBELN,A,0000,D,AFVC
EBELN,A,0000,D,AFVC
EBELP,A,0000,D,AFVC
EBELP,A,0000,D,AFVC
EBELP,A,0000,D,AFVC
EKGRP,A,0000,D,AFVC
EKGRP,A,0000,D,AFVC
EKORG,A,0000,D,AFVC
EKORG,A,0000,D,AFVC
FUNC_AREA,A,0000,D,AFVC
FUNC_AREA,A,0000,D,AFVC
GSBER,A,0000,D,AFVC
GSBER,A,0000,D,AFVC
INFNR,A,0000,D,AFVC
INFNR,A,0000,D,AFVC
ISTRU,A,0000,D,AFVC
ISTRU,A,0000,D,AFVC
KALID,A,0000,D,AFVC
KTSCH,A,0000,D,AFVC
KTSCH,A,0000,D,AFVC
LAR01,A,0000,D,AFVC
LAR01,A,0000,D,AFVC
LAR01,A,0000,D,AFVC
LAR01,A,0000,D,AFVC
LAR02,A,0000,D,AFVC
LAR02,A,0000,D,AFVC
LAR02,A,0000,D,AFVC
LAR02,A,0000,D,AFVC
LAR03,A,0000,D,AFVC
LAR03,A,0000,D,AFVC
LAR03,A,0000,D,AFVC
LAR03,A,0000,D,AFVC
LAR04,A,0000,D,AFVC
LAR04,A,0000,D,AFVC
LAR04,A,0000,D,AFVC
LAR04,A,0000,D,AFVC
LAR05,A,0000,D,AFVC
LAR05,A,0000,D,AFVC
LAR05,A,0000,D,AFVC
LAR05,A,0000,D,AFVC
