TABNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
EKPO,A,0000,D,EKPO - Purchasing Document Item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back 
FAGLFLEXA,A,0000,D,FAGLFLEXA - General Ledger: Actual Line Items Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP p
HRP1000,A,0000,D,HRP1000 - Infotype 1000 DB Table Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
HRP1001,A,0000,D,HRP1001 - Infotype 1001 DB Table Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
HRP1002,A,0000,D,HRP1002 - Infotype 1002 DB Table Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
JEST,A,0000,D,JEST - Individual Object Status Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back 
KEKO,A,0000,D,KEKO - Product Costing - Header Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
KEPH,A,0000,D,KEPH - Product Costing: Cost Components for Cost of Goods Mfd Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for
KNA1,A,0000,D,KNA1 - General Data in Customer Master Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project 
KNVV,A,0000,D,KNVV - Customer Master Sales Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Bac
KONV,A,0000,D,KONV - Conditions (Transaction Data) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
LAGP,A,0000,D,LAGP - Storage bins Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Se
LEIN,A,0000,D,LEIN - Storage unit header records Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
LFA1,A,0000,D,LFA1 - Vendor Master (General Section) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project 
LFB1,A,0000,D,LFB1 - Vendor Master (Company Code) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← B
LFM1,A,0000,D,LFM1 - Vendor master record purchasing organization data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your
LIKP,A,0000,D,LIKP - SD Document: Delivery Header Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP projec
LIPS,A,0000,D,LIPS - SD document: Delivery: Item data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project
LQUA,A,0000,D,LQUA - Quants Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Search S
LTAK,A,0000,D,LTAK - WM transfer order header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back 
LTAP,A,0000,D,LTAP - Transfer order item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Se
LTBK,A,0000,D,LTBK - Transfer requirement header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
LTBP,A,0000,D,LTBP - Transfer requirement item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
MAKT,A,0000,D,MAKT - Material Descriptions Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to 
MAPL,A,0000,D,MAPL - Assignment of Task Lists to Materials Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP pr
MARA,A,0000,D,MARA - General Material Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to 
MARC,A,0000,D,MARC - Plant Data for Material Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
MARD,A,0000,D,MARD - Storage Location Data for Material Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP proje
MAST,A,0000,D,MAST - Material to BOM Link Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
MDKP,A,0000,D,MDKP - Header Data for MRP Document Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← B
MDTB,A,0000,D,MDTB - MRP Table Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Searc
MKPF,A,0000,D,MKPF - Header: Material Document Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
MLCD,A,0000,D,MLCD - Material Ledger: Summarization Record (from Documents) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for
MSEG,A,0000,D,MSEG - Document Segment: Material Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Bac
OBJK,A,0000,D,OBJK - Plant Maintenance Object List Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
PA0000,A,0000,D,PA0000 - HR Master Record: Infotype 0000 (Actions) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next 
PA0001,A,0000,D,PA0001 - HR Master Record: Infotype 0001 (Org. Assignment) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for yo
PA0002,A,0000,D,PA0002 - HR Master Record: Infotype 0002 (Personal Data) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your
PA0006,A,0000,D,PA0006 - HR Master Record: Infotype 0006 (Addresses) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your nex
PA0007,A,0000,D,PA0007 - HR Master Record: Infotype 0007 (Planned Working Time) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn f
PA0008,A,0000,D,PA0008 - HR Master Record: Infotype 0008 (Basic Pay) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your nex
PA0014,A,0000,D,PA0014 - HR Master Record: Infotype 0014 (Recur. Payments/Deds.) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn 
PA0015,A,0000,D,PA0015 - HR Master Record: Infotype 0015 (Additional Payments) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn fo
PA2001,A,0000,D,PA2001 - HR Time Record: Infotype 2001 (Absences) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next S
PA2002,A,0000,D,PA2002 - HR Time Record: Infotype 2002 (Attendances) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your nex
PA2006,A,0000,D,PA2006 - HR Time Record: Infotype 2006 (Absence Quotas) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your 
PBED,A,0000,D,PBED - Independent Requirements Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
PBIM,A,0000,D,PBIM - Independent Requirements for Material Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP pr
PLAF,A,0000,D,PLAF - Planned Order Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search S
PLKO,A,0000,D,PLKO - Task list - header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sea
PLPO,A,0000,D,PLPO - Task list - operation/activity Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ←
QMEL,A,0000,D,QMEL - Quality Notification Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
RBKP,A,0000,D,RBKP - Document Header: Invoice Receipt Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project
RESB,A,0000,D,RESB - Reservation/dependent requirements Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP proje
RLGRAP,A,0000,D,RLGRAP - Program Fields/Screen Fields for SAPLGRAP Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next 
RSEG,A,0000,D,RSEG - Document Item: Incoming Invoice Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project 
SER01,A,0000,D,SER01 - Document Header for Serial Numbers for Delivery Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your 
STKO,A,0000,D,STKO - BOM Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Sear
STPO,A,0000,D,STPO - BOM item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Search
T000,A,0000,D,T000 - Clients Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Search 
T001L,A,0000,D,T001L - Storage Locations Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sea
T001W,A,0000,D,T001W - Plants/Branches Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Searc
T156,A,0000,D,T156 - Movement Type Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search S
T156T,A,0000,D,T156T - Movement Type Text Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Se
T161,A,0000,D,T161 - Purchasing Document Types Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
T161T,A,0000,D,T161T - Texts for Purchasing Document Types Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP pro
T300,A,0000,D,T300 - WM Warehouse Numbers Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
T300T,A,0000,D,T300T - Warehouse Number Descriptions Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ←
T527X,A,0000,D,T527X - Organizational Units Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to 
T529T,A,0000,D,T529T - Personnel Action Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
T554T,A,0000,D,T554T - Absence and Attendance Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
T556T,A,0000,D,T556T - Substitution Type Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back 
T685,A,0000,D,T685 - Conditions: Types Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sear
T685T,A,0000,D,T685T - Conditions: Types: Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
TBDLS,A,0000,D,TBDLS - Logical system Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search
TCURC,A,0000,D,TCURC - Currency Codes Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search
TCURT,A,0000,D,TCURT - Currency Code Names Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
TCURX,A,0000,D,TCURX - Decimal Places in Currencies Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
TJ02,A,0000,D,TJ02 - System status Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search S
TJ02T,A,0000,D,TJ02T - System status texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
TKA01,A,0000,D,TKA01 - Controlling Areas Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sea
TTDS,A,0000,D,TTDS - Organizational Unit: Transportation Scheduling Point Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for y
TTDST,A,0000,D,TTDST - Organizational Unit: Transportation Scheduling Point: Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on Linked
TVAK,A,0000,D,TVAK - Sales Document Types Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
TVAKT,A,0000,D,TVAKT - Sales Document Types: Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← B
TVAP,A,0000,D,TVAP - Sales Document: Item Categories Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project 
TVAPT,A,0000,D,TVAPT - Sales document item categories: Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP p
TVLK,A,0000,D,TVLK - Delivery Types Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search 
TVLKT,A,0000,D,TVLKT - Delivery: Types: Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
USR02,A,0000,D,USR02 - Logon Data (Kernel-Side Use) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
VBAK,A,0000,D,VBAK - Sales Document: Header Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
VBAP,A,0000,D,VBAP - Sales Document: Item Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
VBEP,A,0000,D,VBEP - Sales Document: Schedule Line Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP proje
VBFA,A,0000,D,VBFA - Sales Document Flow Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Se
VBKD,A,0000,D,VBKD - Sales Document: Business Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
VBPA,A,0000,D,VBPA - Sales Document: Partner Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
VBRK,A,0000,D,VBRK - Billing Document: Header Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
VBRP,A,0000,D,VBRP - Billing Document: Item Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
VBUK,A,0000,D,VBUK - Sales Document: Header Status and Administrative Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for 
VBUP,A,0000,D,VBUP - Sales Document: Item Status Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
VFKN,A,0000,D,VFKN - Account Determination in Shipment Costs Item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next
VFKP,A,0000,D,VFKP - Shipment Costs: Item Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
VTFA,A,0000,D,VTFA - Shipment Document Flow Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to
VTTK,A,0000,D,VTTK - Shipment Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search
