TABNAME,FIELDNAME,AS4LOCAL,AS4VERS,POSITION,KEYFLAG,DATATYPE,LENG,DECIMALS,DOMNAME,ROLLNAME
AFKO,STLAN,A,0000,41,,CHAR,1,0,STLAN,STLAN
AFKO,SLSVN,A,0000,42,,QUAN,13,3,LOSVN,LOSVN
AFKO,SLSBS,A,0000,43,,QUAN,13,3,LOSBS,LOSBS
AFKO,AUFLD,A,0000,44,,DATS,8,0,CO_AUFLD,CO_AUFLD
AFKO,DISPO,A,0000,45,,CHAR,3,0,CO_DISPO,CO_DISPO
AFKO,AUFPL,A,0000,46,,NUMC,10,0,CO_AUFPL,CO_AUFPL
AFKO,FEVOR,A,0000,47,,CHAR,3,0,FEVOR,FEVOR
AFKO,FHORI,A,0000,48,,CHAR,3,0,FHORI,FHORI
AFKO,TERKZ,A,0000,49,,CHAR,1,0,TERMKZ,TERMKZ
AFKO,REDKZ,A,0000,50,,CHAR,1,0,REDKZ,REDKZ
AFKO,Value,A,0000,51,,NULL,No reduction carried out,1,Value,Value
AFKO,APRIO,A,0000,52,,CHAR,1,0,CO_APRIO,CO_APRIO
AFKO,NTZUE,A,0000,53,,CHAR,12,0,NETZ_UEBER,NETZ_UEBER
AFKO,VORUE,A,0000,54,,CHAR,4,0,VORG_UEBER,VORG_UEBER
AFKO,PROFID,A,0000,55,,CHAR,7,0,PROFIDNZPL,PROFIDNZPL
AFKO,VORGZ,A,0000,56,,NUMC,3,0,VORGZ,VORGZ
AFKO,SICHZ,A,0000,57,,NUMC,3,0,SICHZ,SICHZ
AFKO,FREIZ,A,0000,58,,NUMC,3,0,FREIZ,FREIZ
AFKO,UPTER,A,0000,59,,CHAR,1,0,CO_UPTER,CO_UPTER
AFKO,BEDID,A,0000,60,,NUMC,12,0,BEDID,BEDID
AFKO,PRONR,A,0000,61,,NUMC,8,0,PS_PSP_PRO,PS_PSP_PRO
AFKO,ZAEHL,A,0000,62,,NUMC,8,0,CIM_COUNT,CIM_COUNT
AFKO,MZAEHL,A,0000,63,,NUMC,8,0,CIM_COUNT,CIM_COUNT
AFKO,ZKRIZ,A,0000,64,,NUMC,7,0,DZKRIZ,DZKRIZ
AFKO,PRUEFLOS,A,0000,65,,NUMC,12,0,QPLOS,QPLOS
AFKO,KLVARP,A,0000,66,,CHAR,4,0,KALKVARPLN,KALKVARPLN
AFKO,KLVARI,A,0000,67,,CHAR,4,0,KALKVARIST,KALKVARIST
AFKO,RGEKZ,A,0000,68,,CHAR,1,0,CO_RGEKZ,CO_RGEKZ
AFKO,Value,A,0000,69,,1,Backflush components during goods receipt,2,Value,Value
AFKO,PLART,A,0000,70,,CHAR,1,0,PS_PLART,PS_PLART
AFKO,Value,A,0000,71,,1,Basic dates,2,Value,Value
AFKO,FLG_AOB,A,0000,72,,CHAR,1,0,FLG_AOB,FLG_AOB
AFKO,Value,A,0000,73,,X,Flag set. Event has occurred.,NULL,Value,Value
AFKO,FLG_ARBEI,A,0000,74,,CHAR,1,0,FLG_ARBEI,FLG_ARBEI
AFKO,Value,A,0000,75,,X,Flag set. Event has occurred.,NULL,Value,Value
AFKO,GLTPP,A,0000,76,,DATS,8,0,CO_GLTPP,CO_GLTPP
AFKO,GSTPP,A,0000,77,,DATS,8,0,CO_GSTPP,CO_GSTPP
AFKO,GLTPS,A,0000,78,,DATS,8,0,CO_GLTPS,CO_GLTPS
AFKO,GSTPS,A,0000,79,,DATS,8,0,CO_GSTPS,CO_GSTPS
AFKO,FTRPS,A,0000,80,,DATS,8,0,CO_FTRPS,CO_FTRPS
AFKO,RDKZP,A,0000,81,,CHAR,1,0,REDKZP,REDKZP
AFKO,Value,A,0000,82,,NULL,No reduction carried out,1,Value,Value
AFKO,TRKZP,A,0000,83,,CHAR,1,0,TERMKZP,TERMKZP
AFKO,RUECK,A,0000,84,,NUMC,10,0,CO_RUECK,CO_RUECK
AFKO,RMZHL,A,0000,85,,NUMC,8,0,CIM_COUNT,CIM_COUNT
AFKO,IGMNG,A,0000,86,,QUAN,13,3,CO_IGMNG,CO_IGMNG
AFKO,RATID,A,0000,87,,NUMC,12,0,BEDID,BEDID
AFKO,GROID,A,0000,88,,NUMC,12,0,BEDID,BEDID
AFKO,CUOBJ,A,0000,89,,NUMC,18,0,CUOBJ,CUOBJ
AFKO,GLUZS,A,0000,90,,TIMS,6,0,CO_GLUZS,CO_GLUZS
AFKO,GSUZS,A,0000,91,,TIMS,6,0,CO_GSUZS,CO_GSUZS
AFKO,REVLV,A,0000,92,,CHAR,2,0,REVLV,REVLV
AFKO,RSHTY,A,0000,93,,CHAR,2,0,CR_OBJTY,CR_OBJTY
AFKO,Value,A,0000,94,,A,Work center,AA,Value,Value
AFKO,RSHID,A,0000,95,,NUMC,8,0,CR_OBJID,CR_OBJID
AFKO,RSNTY,A,0000,96,,CHAR,2,0,CR_OBJTY,CR_OBJTY
AFKO,Value,A,0000,97,,A,Work center,AA,Value,Value
AFKO,RSNID,A,0000,98,,NUMC,8,0,CR_OBJID,CR_OBJID
AFKO,NAUTERM,A,0000,99,,CHAR,1,0,CO_NAUTERM,CO_NAUTERM
AFKO,Value,A,0000,100,,X,,NULL,Value,Value
AFKO,NAUCOST,A,0000,101,,CHAR,1,0,CO_NAUCOST,CO_NAUCOST
AFKO,Value,A,0000,102,,X,,NULL,Value,Value
AFKO,STUFE,A,0000,103,,DEC,2,0,HISTU,HISTU
AFKO,WEGXX,A,0000,104,,DEC,4,0,WEGXX,WEGXX
AFKO,VWEGX,A,0000,105,,DEC,4,0,WEGXX,WEGXX
AFKO,ARSNR,A,0000,106,,NUMC,10,0,RSNUM,RSNUM
AFKO,ARSPS,A,0000,107,,NUMC,4,0,CO_POSNR,CO_POSNR
AFKO,MAUFNR,A,0000,108,,CHAR,12,0,MAUFNR,MAUFNR
AFKO,LKNOT,A,0000,109,,CHAR,12,0,CO_LKNOT,CO_LKNOT
AFKO,RKNOT,A,0000,110,,CHAR,12,0,CO_RKNOT,CO_RKNOT
AFKO,PRODNET,A,0000,111,,CHAR,1,0,CO_PRODNET,CO_PRODNET
AFKO,Value,A,0000,112,,X,,NULL,Value,Value
AFKO,IASMG,A,0000,113,,QUAN,13,3,CO_IASMG,CO_IASMG
AFKO,ABARB,A,0000,114,,NUMC,3,0,CO_ABARB,CO_ABARB
AFKO,AUFNT,A,0000,115,,CHAR,12,0,CO_TEILNET,CO_TEILNET
AFKO,AUFPT,A,0000,116,,NUMC,10,0,CO_AUFPL,CO_AUFPL
AFKO,APLZT,A,0000,117,,NUMC,8,0,CO_APLZL,CO_APLZL
AFKO,NO_DISP,A,0000,118,,CHAR,1,0,NO_DISP_PLUS,NO_DISP_PLUS
AFKO,Value,A,0000,119,,1,Not relevant to materials planning,X,Value,Value
AFKO,CSPLIT,A,0000,120,,CHAR,4,0,CSPLIT,CSPLIT
AFKO,AENNR,A,0000,121,,CHAR,12,0,AENNR,AENNR
AFKO,CY_SEQNR,A,0000,122,,NUMC,14,0,CY_SEQNR,CY_SEQNR
AFKO,BREAKS,A,0000,123,,CHAR,1,0,BREAKS,BREAKS
AFKO,Value,A,0000,124,,X,Yes,NULL,Value,Value
AFKO,VORGZ_TRM,A,0000,125,,DEC,6,3,VORGZ_TRM,VORGZ_TRM
AFKO,SICHZ_TRM,A,0000,126,,DEC,6,3,SICHZ_TRM,SICHZ_TRM
AFKO,TRMDT,A,0000,127,,DATS,8,0,TRMDT,TRMDT
AFKO,GLUZP,A,0000,128,,TIMS,6,0,CO_GLUZP,CO_GLUZP
AFKO,GSUZP,A,0000,129,,TIMS,6,0,CO_GSUZP,CO_GSUZP
AFKO,GSUZI,A,0000,130,,TIMS,6,0,CO_GSUZI,CO_GSUZI
AFKO,GEUZI,A,0000,131,,TIMS,6,0,CO_GEUZI,CO_GEUZI
AFKO,GLUPP,A,0000,132,,TIMS,6,0,CO_GLUPP,CO_GLUPP
AFKO,GSUPP,A,0000,133,,TIMS,6,0,CO_GSUPP,CO_GSUPP
AFKO,GLUPS,A,0000,134,,TIMS,6,0,CO_GLUPS,CO_GLUPS
AFKO,GSUPS,A,0000,135,,TIMS,6,0,CO_GSUPS,CO_GSUPS
AFKO,CHSCH,A,0000,136,,CHAR,6,0,KALSMA_CH,KALSMA_CH
AFKO,KAPT_VORGZ,A,0000,137,,NUMC,3,0,KAPT_VORGZ,KAPT_VORGZ
AFKO,KAPT_SICHZ,A,0000,138,,NUMC,3,0,KAPT_SICHZ,KAPT_SICHZ
AFKO,LEAD_AUFNR,A,0000,139,,CHAR,12,0,CO_LAUFNR,CO_LAUFNR
AFKO,PNETSTARTD,A,0000,140,,DATS,8,0,CO_PSTARTD,CO_PSTARTD
AFKO,PNETSTARTT,A,0000,141,,TIMS,6,0,CO_PSTARTT,CO_PSTARTT
AFKO,PNETENDD,A,0000,142,,DATS,8,0,CO_PENDD,CO_PENDD
AFKO,PNETENDT,A,0000,143,,TIMS,6,0,CO_PENDT,CO_PENDT
AFKO,KBED,A,0000,144,,CHAR,1,0,KBED_D,KBED_D
AFKO,Value,A,0000,145,,X,Yes,NULL,Value,Value
AFKO,KKALKR,A,0000,146,,CHAR,1,0,COMP_CALC,COMP_CALC
AFKO,Value,A,0000,147,,X,Yes,NULL,Value,Value
AFKO,SFCPF,A,0000,148,,CHAR,6,0,CO_PRODPRF,CO_PRODPRF
AFKO,RMNGA,A,0000,149,,QUAN,13,3,RMNGA,RMNGA
AFKO,GSBTR,A,0000,150,,DATS,8,0,CO_GSBTR,CO_GSBTR
AFKO,VFMNG,A,0000,151,,QUAN,13,3,CO_VFMNG,CO_VFMNG
AFKO,NOPCOST,A,0000,152,,CHAR,1,0,CO_NOPCOST,CO_NOPCOST
AFKO,Value,A,0000,153,,X,Yes,NULL,Value,Value
AFKO,NETZKONT,A,0000,154,,CHAR,1,0,NETZKONT,NETZKONT
AFKO,Value,A,0000,155,,NULL,Account assignment determined by status,1,Value,Value
AFKO,ATRKZ,A,0000,156,,CHAR,1,0,ATRKZ,ATRKZ
AFKO,Value,A,0000,157,,NULL,Standard request,,Value,Value
AFKO,OBJTYPE,A,0000,158,,CHAR,1,0,OCM_OBJ_TYPE,OCM_OBJ_TYPE
AFKO,Value,A,0000,159,,+,Object created,-,Value,Value
AFKO,CH_PROC,A,0000,160,,CHAR,1,0,OCM_CH_PROC,OCM_CH_PROC
AFKO,Value,A,0000,161,,NULL,Not changed,1,Value,Value
AFKO,KAPVERSA,A,0000,162,,NUMC,2,0,KAPVERSA,KAPVERSA
AFKO,COLORDPROC,A,0000,163,,CHAR,1,0,CO_COLORDPRC,CO_COLORDPRC
AFKO,Value,A,0000,164,,NULL,Collective order without automatic goods movement,X,Value,Value
AFKO,KZERB,A,0000,165,,CHAR,1,0,PS_KZERB,PS_KZERB
AFKO,Value,A,0000,166,,X,Yes,NULL,Value,Value
AFKO,CONF_KEY,A,0000,167,,NUMC,8,0,CC_CONF_KEY,CC_CONF_KEY
AFKO,ST_ARBID,A,0000,168,,NUMC,8,0,OBJEKTID,OBJEKTID
AFKO,VSNMR_V,A,0000,169,,CHAR,12,0,VSNMR_V,VSNMR_V
AFKO,TERHW,A,0000,170,,CHAR,1,0,TERHW,TERHW
AFKO,Value,A,0000,171,,NULL,No scheduling note,1,Value,Value
AFKO,SPLSTAT,A,0000,172,,CHAR,1,0,SPLIT_STAT,SPLIT_STAT
AFKO,Value,A,0000,173,,NULL,"not split, not created by splitting",1,Value,Value
AFKO,COSTUPD,A,0000,174,,CHAR,1,0,CN_COSTUPD,CN_COSTUPD
AFKO,Value,A,0000,175,,X,Yes,NULL,Value,Value
AFKO,MAX_GAMNG,A,0000,176,,QUAN,13,3,CO_MES_MAX_GAMNG,CO_MES_MAX_GAMNG
AFKO,MES_ROUTINGID,A,0000,177,,CHAR,64,0,CO_MES_INT_ROUTINGID,CO_MES_INT_ROUTINGID
AFKO,ADPSP,A,0000,178,,CHAR,40,0,ADCOMPARE,ADCOMPARE
AFKO,RMANR,A,0000,179,,CHAR,10,0,VBELN,VBELN
AFKO,POSNR_RMA,A,0000,180,,NUMC,6,0,POSNR,POSNR
AFKO,POSNV_RMA,A,0000,181,,NUMC,6,0,POSNR,POSNR
AFKO,CFB_MAXLZ,A,0000,182,,DEC,5,0,MAXLZ,MAXLZ
AFKO,CFB_LZEIH,A,0000,183,,UNIT,3,0,LZEIH,LZEIH
AFKO,CFB_ADTDAYS,A,0000,184,,DEC,4,0,CFB_ADTDAYS,CFB_ADTDAYS
AFKO,CFB_DATOFM,A,0000,185,,DATS,8,0,CFB_DATOFM,CFB_DATOFM
AFKO,CFB_BBDPI,A,0000,186,,DATS,8,0,CFB_BBD_PPPI,CFB_BBD_PPPI
AFKO,OIHANTYP,A,0000,187,,CHAR,2,0,OIH_HANTYP,OIH_HANTYP
AFKO,MILL_RATIO,A,0000,188,,INT4,10,0,MILL_RATIO,MILL_RATIO
AFKO,BMEINS,A,0000,189,,UNIT,3,0,MEINS,MEINS
AFKO,BMENGE,A,0000,190,,QUAN,13,3,BASMN,BASMN
AFKO,MILL_OC_ZUSKZ,A,0000,191,,CHAR,1,0,MILL_OC_ZUSKZ,MILL_OC_ZUSKZ
AFKO,Value,A,0000,192,,H,Combination by Order,O,Value,Value
AFKO,Table,A,0000,193,,Foreign key field,Check table,Check field,Field,Field
AFKO,AFKO,A,0000,194,,MANDT,AENR Change Master,MANDT,AENNR,AENNR
AFKO,AFKO,A,0000,195,,AENNR,AENR Change Master,AENNR,AENNR,AENNR
AFKO,AFKO,A,0000,196,,MANDT,AUFK Order master data,MANDT,AUFNR,AUFNR
AFKO,AFKO,A,0000,197,,AUFNR,AUFK Order master data,AUFNR,AUFNR,AUFNR
AFKO,AFKO,A,0000,198,,MANDT,T006 Units of Measurement,MANDT,CFB_LZEIH,CFB_LZEIH
AFKO,AFKO,A,0000,199,,CFB_LZEIH,T006 Units of Measurement,MSEHI,CFB_LZEIH,CFB_LZEIH
AFKO,AFKO,A,0000,200,,CHSCH,T683 Pricing procedures,KALSM,CHSCH,CHSCH
AFKO,AFKO,A,0000,201,,MANDT,T683 Pricing procedures,MANDT,CHSCH,CHSCH
AFKO,AFKO,A,0000,202,,MANDT,MAKV Material Cost Distribution,MANDT,CSPLIT,CSPLIT
AFKO,AFKO,A,0000,203,,STLBEZ,MAKV Material Cost Distribution,MATNR,CSPLIT,CSPLIT
AFKO,AFKO,A,0000,204,,WERKS,MAKV Material Cost Distribution,WERKS,CSPLIT,CSPLIT
AFKO,AFKO,A,0000,205,,CSPLIT,MAKV Material Cost Distribution,CSPLIT,CSPLIT,CSPLIT
AFKO,AFKO,A,0000,206,,MANDT,T024D MRP controllers,MANDT,DISPO,DISPO
AFKO,AFKO,A,0000,207,,WERKS,T024D MRP controllers,WERKS,DISPO,DISPO
AFKO,AFKO,A,0000,208,,DISPO,T024D MRP controllers,DISPO,DISPO,DISPO
AFKO,AFKO,A,0000,209,,MANDT,T024F Production scheduler,MANDT,FEVOR,FEVOR
AFKO,AFKO,A,0000,210,,WERKS,T024F Production scheduler,WERKS,FEVOR,FEVOR
AFKO,AFKO,A,0000,211,,FEVOR,T024F Production scheduler,FEVOR,FEVOR,FEVOR
AFKO,AFKO,A,0000,212,,FHORI,T436A Floats for scheduling,FHORI,FHORI,FHORI
AFKO,AFKO,A,0000,213,,MANDT,T436A Floats for scheduling,MANDT,FHORI,FHORI
AFKO,AFKO,A,0000,214,,WERKS,T436A Floats for scheduling,WERKS,FHORI,FHORI
AFKO,AFKO,A,0000,215,,GMEIN,T006 Units of Measurement,MSEHI,GMEIN,GMEIN
AFKO,AFKO,A,0000,216,,MANDT,T006 Units of Measurement,MANDT,GMEIN,GMEIN
AFKO,AFKO,A,0000,217,,MANDT,AUFK Order master data,MANDT,LEAD_AUFNR,LEAD_AUFNR
AFKO,AFKO,A,0000,218,,LEAD_AUFNR,AUFK Order master data,AUFNR,LEAD_AUFNR,LEAD_AUFNR
AFKO,AFKO,A,0000,219,,MANDT,T000 Clients,MANDT,MANDT,MANDT
AFKO,AFKO,A,0000,220,,NTZUE,AUFK Order master data,AUFNR,NTZUE,NTZUE
AFKO,AFKO,A,0000,221,,MANDT,AUFK Order master data,MANDT,NTZUE,NTZUE
AFKO,AFKO,A,0000,222,,MANDT,AENR Change Master,MANDT,PAENR,PAENR
AFKO,AFKO,A,0000,223,,PAENR,AENR Change Master,AENNR,PAENR,PAENR
AFKO,AFKO,A,0000,224,,WERKS,T024A Planner group,WERKS,PLGRP,PLGRP
AFKO,AFKO,A,0000,225,,PLGRP,T024A Planner group,FEVOR,PLGRP,PLGRP
AFKO,AFKO,A,0000,226,,MANDT,T024A Planner group,MANDT,PLGRP,PLGRP
AFKO,AFKO,A,0000,227,,MANDT,TCA09 Task list applications,MANDT,PLNAW,PLNAW
AFKO,AFKO,A,0000,228,,PLNAW,TCA09 Task list applications,PLNAW,PLNAW,PLNAW
AFKO,AFKO,A,0000,229,,MANDT,MARA General Material Data,MANDT,PLNBEZ,PLNBEZ
AFKO,AFKO,A,0000,230,,PLNBEZ,MARA General Material Data,MATNR,PLNBEZ,PLNBEZ
AFKO,AFKO,A,0000,231,,MANDT,T006 Units of Measurement,MANDT,PLNME,PLNME
AFKO,AFKO,A,0000,232,,PLNME,T006 Units of Measurement,MSEHI,PLNME,PLNME
AFKO,AFKO,A,0000,233,,PLNAW,TCN41 Network Defaults,PLNAW,PROFID,PROFID
AFKO,AFKO,A,0000,234,,PROFID,TCN41 Network Defaults,PROFIDNETZ,PROFID,PROFID
AFKO,AFKO,A,0000,235,,MANDT,TCN41 Network Defaults,MANDT,PROFID,PROFID
AFKO,AFKO,A,0000,236,,PRONR,PROJ Project definition,PSPNR,PRONR,PRONR
AFKO,AFKO,A,0000,237,,MANDT,PROJ Project definition,MANDT,PRONR,PRONR
AFKO,AFKO,A,0000,238,,MANDT,T411 Task list usage,MANDT,PVERW,PVERW
AFKO,AFKO,A,0000,239,,PVERW,T411 Task list usage,VERWE,PVERW,PVERW
AFKO,AFKO,A,0000,240,,MANDT,CRID CIM Resource - Entities,MANDT,RSHID,RSHID
AFKO,AFKO,A,0000,241,,RSHTY,CRID CIM Resource - Entities,OBJTY,RSHID,RSHID
AFKO,AFKO,A,0000,242,,RSHID,CRID CIM Resource - Entities,OBJID,RSHID,RSHID
AFKO,AFKO,A,0000,243,,RSNTY,CRID CIM Resource - Entities,OBJTY,RSNID,RSNID
AFKO,AFKO,A,0000,244,,RSNID,CRID CIM Resource - Entities,OBJID,RSNID,RSNID
AFKO,AFKO,A,0000,245,,MANDT,CRID CIM Resource - Entities,MANDT,RSNID,RSNID
AFKO,AFKO,A,0000,246,,MANDT,AENR Change Master,MANDT,SAENR,SAENR
AFKO,AFKO,A,0000,247,,SAENR,AENR Change Master,AENNR,SAENR,SAENR
AFKO,AFKO,A,0000,248,,MANDT,T006 Units of Measurement,MANDT,SBMEH,SBMEH
AFKO,AFKO,A,0000,249,,SBMEH,T006 Units of Measurement,MSEHI,SBMEH,SBMEH
AFKO,AFKO,A,0000,250,,MANDT,TCO43 PP-SFC Order Profile,MANDT,SFCPF,SFCPF
AFKO,AFKO,A,0000,251,,WERKS,TCO43 PP-SFC Order Profile,WERKS,SFCPF,SFCPF
AFKO,AFKO,A,0000,252,,SFCPF,TCO43 PP-SFC Order Profile,CO_PRODPRF,SFCPF,SFCPF
AFKO,AFKO,A,0000,253,,MANDT,T416 BOM Usage - Item Statuses,MANDT,STLAN,STLAN
AFKO,AFKO,A,0000,254,,STLAN,T416 BOM Usage - Item Statuses,STLAN,STLAN,STLAN
AFKO,AFKO,A,0000,255,,MANDT,MARA General Material Data,MANDT,STLBEZ,STLBEZ
AFKO,AFKO,A,0000,256,,STLBEZ,MARA General Material Data,MATNR,STLBEZ,STLBEZ
AFKO,AFKO,A,0000,257,,MANDT,T415S BOM status,MANDT,STLST,STLST
AFKO,AFKO,A,0000,258,,STLST,T415S BOM status,STLST,STLST,STLST
AFKO,AFKO,A,0000,259,,MANDT,T482 Table of scheduling types,MANDT,TERKZ,TERKZ
AFKO,AFKO,A,0000,260,,TERKZ,T482 Table of scheduling types,TERMKZ,TERKZ,TERKZ
AFPO,MANDT,A,0000,1,X,CLNT,3,0,MANDT,MANDT
AFPO,AUFNR,A,0000,2,,CHAR,12,0,AUFNR,AUFNR
AFPO,POSNR,A,0000,3,,NUMC,4,0,CO_POSNR,CO_POSNR
AFPO,PSOBS,A,0000,4,,CHAR,1,0,SOBES,SOBES
AFPO,Value,A,0000,5,,NULL,Standard external procurement,2,Value,Value
AFPO,QUNUM,A,0000,6,,CHAR,10,0,QUNUM,QUNUM
AFPO,QUPOS,A,0000,7,,NUMC,3,0,QUPOS,QUPOS
AFPO,PROJN,A,0000,8,,NUMC,8,0,PS_PSP_ELE,PS_PSP_ELE
AFPO,PLNUM,A,0000,9,,CHAR,10,0,PLNUM,PLNUM
AFPO,STRMP,A,0000,10,,DATS,8,0,CO_STRMP,CO_STRMP
AFPO,ETRMP,A,0000,11,,DATS,8,0,CO_ETRMP,CO_ETRMP
AFPO,KDAUF,A,0000,12,,CHAR,10,0,CO_KDAUF,CO_KDAUF
AFPO,KDPOS,A,0000,13,,NUMC,6,0,CO_KDPOS,CO_KDPOS
AFPO,KDEIN,A,0000,14,,NUMC,4,0,KDEIN,KDEIN
AFPO,BESKZ,A,0000,15,,CHAR,1,0,BESKZ,BESKZ
AFPO,Value,A,0000,16,,E,In-house production,F,Value,Value
AFPO,PSAMG,A,0000,17,,QUAN,13,3,CO_PSAMG,CO_PSAMG
AFPO,PSMNG,A,0000,18,,QUAN,13,3,CO_PSMNG,CO_PSMNG
AFPO,WEMNG,A,0000,19,,QUAN,13,3,CO_WEMNG,CO_WEMNG
AFPO,IAMNG,A,0000,20,,QUAN,13,3,CO_IAMNG,CO_IAMNG
AFPO,AMEIN,A,0000,21,,UNIT,3,0,CO_AUFME,CO_AUFME
AFPO,MEINS,A,0000,22,,UNIT,3,0,LAGME,LAGME
AFPO,MATNR,A,0000,23,,CHAR,18,0,CO_MATNR,CO_MATNR
AFPO,PAMNG,A,0000,24,,QUAN,13,3,AVMNG,AVMNG
AFPO,PGMNG,A,0000,25,,QUAN,13,3,GSMNG,GSMNG
AFPO,KNTTP,A,0000,26,,CHAR,1,0,KNTTP,KNTTP
AFPO,TPAUF,A,0000,27,,CHAR,1,0,TPAUF,TPAUF
AFPO,LTRMI,A,0000,28,,DATS,8,0,CO_LTRMI,CO_LTRMI
AFPO,LTRMP,A,0000,29,,DATS,8,0,CO_LTRMP,CO_LTRMP
AFPO,KALNR,A,0000,30,,NUMC,12,0,CK_KALNR,CK_KALNR
AFPO,UEBTO,A,0000,31,,DEC,3,1,UEBTO,UEBTO
AFPO,UEBTK,A,0000,32,,CHAR,1,0,UEBTK,UEBTK
AFPO,Value,A,0000,33,,X,Yes,NULL,Value,Value
AFPO,UNTTO,A,0000,34,,DEC,3,1,UNTTO,UNTTO
AFPO,INSMK,A,0000,35,,CHAR,1,0,INSMK,INSMK
AFPO,Value,A,0000,36,,NULL,Unrestricted use,X,Value,Value
AFPO,WEPOS,A,0000,37,,CHAR,1,0,WEPOS,WEPOS
AFPO,Value,A,0000,38,,X,Yes,NULL,Value,Value
AFPO,BWTAR,A,0000,39,,CHAR,10,0,BWTAR_D,BWTAR_D
AFPO,BWTTY,A,0000,40,,CHAR,1,0,BWTTY_D,BWTTY_D
AFPO,PWERK,A,0000,41,,CHAR,4,0,CO_PWERK,CO_PWERK
AFPO,LGORT,A,0000,42,,CHAR,4,0,LGORT_D,LGORT_D
AFPO,UMREZ,A,0000,43,,DEC,5,0,UMREZ,UMREZ
AFPO,UMREN,A,0000,44,,DEC,5,0,UMREN,UMREN
AFPO,WEBAZ,A,0000,45,,DEC,3,0,PLWEZ,PLWEZ
AFPO,ELIKZ,A,0000,46,,CHAR,1,0,ELIKZ,ELIKZ
AFPO,Value,A,0000,47,,X,Yes,NULL,Value,Value
AFPO,SAFNR,A,0000,48,,CHAR,12,0,SA_AUFNR,SA_AUFNR
AFPO,VERID,A,0000,49,,CHAR,4,0,VERID,VERID
AFPO,SERNR,A,0000,50,,CHAR,8,0,SERNR,SERNR
AFPO,TECHS,A,0000,51,,CHAR,12,0,TECHS,TECHS
AFPO,DWERK,A,0000,52,,CHAR,4,0,WERKS_D,WERKS_D
