TABNAME,AS4LOCAL,AS4VERS,TABCLASS,SQLTAB,AUTHCLASS,MASTERLANG,CONTFLAG,MATEFLAG,BUFFERED,EXCLASS
LTAP,A,0000,TRANSP,LTAP,00,D,A,,,
LTBK,A,0000,TRANSP,LTBK,00,D,A,,,
LTBP,A,0000,TRANSP,LTBP,00,D,A,,,
MAKT,A,0000,TRANSP,MAKT,00,D,A,,,
MAPL,A,0000,TRANSP,MAPL,00,D,A,,,
MARA,A,0000,TRANSP,MARA,00,D,A,,,
MARC,A,0000,TRANSP,MARC,00,D,A,,,
MARD,A,0000,TRANSP,MARD,00,D,A,,,
MAST,A,0000,TRANSP,MAST,00,D,A,,,
MDKP,A,0000,TRANSP,MDKP,00,D,A,,,
MDTB,A,0000,TRANSP,MDTB,00,D,A,,,
MKPF,A,0000,TRANSP,MKPF,00,D,A,,,
MLCD,A,0000,TRANSP,MLCD,00,D,A,,,
MSEG,A,0000,TRANSP,MSEG,00,D,A,,,
OBJK,A,0000,TRANSP,OBJK,00,D,A,,,
PA0000,A,0000,TRANSP,PA0000,00,D,A,,,
PA0001,A,0000,TRANSP,PA0001,00,D,A,,,
PA0002,A,0000,TRANSP,PA0002,00,D,A,,,
PA0006,A,0000,TRANSP,PA0006,00,D,A,,,
PA0007,A,0000,TRANSP,PA0007,00,D,A,,,
PA0008,A,0000,TRANSP,PA0008,00,D,A,,,
PA0014,A,0000,TRANSP,PA0014,00,D,A,,,
PA0015,A,0000,TRANSP,PA0015,00,D,A,,,
PA2001,A,0000,TRANSP,PA2001,00,D,A,,,
PA2002,A,0000,TRANSP,PA2002,00,D,A,,,
PA2006,A,0000,TRANSP,PA2006,00,D,A,,,
PBED,A,0000,TRANSP,PBED,00,D,A,,,
PBIM,A,0000,TRANSP,PBIM,00,D,A,,,
PLAF,A,0000,TRANSP,PLAF,00,D,A,,,
PLKO,A,0000,TRANSP,PLKO,00,D,A,,,
PLPO,A,0000,TRANSP,PLPO,00,D,A,,,
QMEL,A,0000,TRANSP,QMEL,00,D,A,,,
RBKP,A,0000,TRANSP,RBKP,00,D,A,,,
RESB,A,0000,TRANSP,RESB,00,D,A,,,
RLGRAP,A,0000,TRANSP,RLGRAP,00,D,A,,,
RSEG,A,0000,TRANSP,RSEG,00,D,A,,,
SER01,A,0000,TRANSP,SER01,00,D,A,,,
STKO,A,0000,TRANSP,STKO,00,D,A,,,
STPO,A,0000,TRANSP,STPO,00,D,A,,,
T000,A,0000,TRANSP,T000,00,D,A,,,
T001L,A,0000,TRANSP,T001L,00,D,A,,,
T001W,A,0000,TRANSP,T001W,00,D,A,,,
T156,A,0000,TRANSP,T156,00,D,A,,,
T156T,A,0000,TRANSP,T156T,00,D,A,,,
T161,A,0000,TRANSP,T161,00,D,A,,,
T161T,A,0000,TRANSP,T161T,00,D,A,,,
T300,A,0000,TRANSP,T300,00,D,A,,,
T300T,A,0000,TRANSP,T300T,00,D,A,,,
T527X,A,0000,TRANSP,T527X,00,D,A,,,
T529T,A,0000,TRANSP,T529T,00,D,A,,,
T554T,A,0000,TRANSP,T554T,00,D,A,,,
T556T,A,0000,TRANSP,T556T,00,D,A,,,
T685,A,0000,TRANSP,T685,00,D,A,,,
T685T,A,0000,TRANSP,T685T,00,D,A,,,
TBDLS,A,0000,TRANSP,TBDLS,00,D,A,,,
TCURC,A,0000,TRANSP,TCURC,00,D,A,,,
TCURT,A,0000,TRANSP,TCURT,00,D,A,,,
TCURX,A,0000,TRANSP,TCURX,00,D,A,,,
TJ02,A,0000,TRANSP,TJ02,00,D,A,,,
TJ02T,A,0000,TRANSP,TJ02T,00,D,A,,,
TKA01,A,0000,TRANSP,TKA01,00,D,A,,,
TTDS,A,0000,TRANSP,TTDS,00,D,A,,,
TTDST,A,0000,TRANSP,TTDST,00,D,A,,,
TVAK,A,0000,TRANSP,TVAK,00,D,A,,,
TVAKT,A,0000,TRANSP,TVAKT,00,D,A,,,
TVAP,A,0000,TRANSP,TVAP,00,D,A,,,
TVAPT,A,0000,TRANSP,TVAPT,00,D,A,,,
TVLK,A,0000,TRANSP,TVLK,00,D,A,,,
TVLKT,A,0000,TRANSP,TVLKT,00,D,A,,,
USR02,A,0000,TRANSP,USR02,00,D,A,,,
VBAK,A,0000,TRANSP,VBAK,00,D,A,,,
VBAP,A,0000,TRANSP,VBAP,00,D,A,,,
VBEP,A,0000,TRANSP,VBEP,00,D,A,,,
VBFA,A,0000,TRANSP,VBFA,00,D,A,,,
VBKD,A,0000,TRANSP,VBKD,00,D,A,,,
VBPA,A,0000,TRANSP,VBPA,00,D,A,,,
VBRK,A,0000,TRANSP,VBRK,00,D,A,,,
VBRP,A,0000,TRANSP,VBRP,00,D,A,,,
VBUK,A,0000,TRANSP,VBUK,00,D,A,,,
VBUP,A,0000,TRANSP,VBUP,00,D,A,,,
VFKN,A,0000,TRANSP,VFKN,00,D,A,,,
VFKP,A,0000,TRANSP,VFKP,00,D,A,,,
VTFA,A,0000,TRANSP,VTFA,00,D,A,,,
VTTK,A,0000,TRANSP,VTTK,00,D,A,,,
VTTP,A,0000,TRANSP,VTTP,00,D,A,,,
VTTS,A,0000,TRANSP,VTTS,00,D,A,,,
