DOMNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DATATYPE,LENG,OUTPUTLEN,DECIMALS,SIGNFLAG
ATRKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Standard request,Standard request,,
OCM_OBJ_TYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,+,Object created,Object created,-,
OCM_CH_PROC,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Not changed,Not changed,1,
KAPVERSA,A,0000,D,NUMC,2,2,0,
CO_COLORDPRC,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Collective order without automatic goods movement,Collective order without automatic goods movement,X,
PS_KZERB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
CC_CONF_KEY,A,0000,D,NUMC,8,8,0,
OBJEKTID,A,0000,D,NUMC,8,8,0,
VSNMR_V,A,0000,D,CHAR,12,12,0,
TERHW,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No scheduling note,No scheduling note,1,
SPLIT_STAT,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,"not split, not created by splitting","not split, not created by splitting",1,
CN_COSTUPD,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
CO_MES_MAX_GAMNG,A,0000,D,QUAN,13,13,3,
CO_MES_INT_ROUTINGID,A,0000,D,CHAR,64,64,0,
ADCOMPARE,A,0000,D,CHAR,40,40,0,
VBELN,A,0000,D,CHAR,10,10,0,
POSNR,A,0000,D,NUMC,6,6,0,
POSNR,A,0000,D,NUMC,6,6,0,
MAXLZ,A,0000,D,DEC,5,5,0,
LZEIH,A,0000,D,UNIT,3,3,0,
CFB_ADTDAYS,A,0000,D,DEC,4,4,0,
CFB_DATOFM,A,0000,D,DATS,8,8,0,
CFB_BBD_PPPI,A,0000,D,DATS,8,8,0,
OIH_HANTYP,A,0000,D,CHAR,2,2,0,
MILL_RATIO,A,0000,D,INT4,10,10,0,
MEINS,A,0000,D,UNIT,3,3,0,
BASMN,A,0000,D,QUAN,13,13,3,
MILL_OC_ZUSKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,H,Combination by Order,Combination by Order,O,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
AENNR,A,0000,D,MANDT,AENR Change Master,AENR Change Master,MANDT,
AENNR,A,0000,D,AENNR,AENR Change Master,AENR Change Master,AENNR,
AUFNR,A,0000,D,MANDT,AUFK Order master data,AUFK Order master data,MANDT,
AUFNR,A,0000,D,AUFNR,AUFK Order master data,AUFK Order master data,AUFNR,
CFB_LZEIH,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
CFB_LZEIH,A,0000,D,CFB_LZEIH,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
CHSCH,A,0000,D,CHSCH,T683 Pricing procedures,T683 Pricing procedures,KALSM,
CHSCH,A,0000,D,MANDT,T683 Pricing procedures,T683 Pricing procedures,MANDT,
CSPLIT,A,0000,D,MANDT,MAKV Material Cost Distribution,MAKV Material Cost Distribution,MANDT,
CSPLIT,A,0000,D,STLBEZ,MAKV Material Cost Distribution,MAKV Material Cost Distribution,MATNR,
CSPLIT,A,0000,D,WERKS,MAKV Material Cost Distribution,MAKV Material Cost Distribution,WERKS,
CSPLIT,A,0000,D,CSPLIT,MAKV Material Cost Distribution,MAKV Material Cost Distribution,CSPLIT,
DISPO,A,0000,D,MANDT,T024D MRP controllers,T024D MRP controllers,MANDT,
DISPO,A,0000,D,WERKS,T024D MRP controllers,T024D MRP controllers,WERKS,
DISPO,A,0000,D,DISPO,T024D MRP controllers,T024D MRP controllers,DISPO,
FEVOR,A,0000,D,MANDT,T024F Production scheduler,T024F Production scheduler,MANDT,
FEVOR,A,0000,D,WERKS,T024F Production scheduler,T024F Production scheduler,WERKS,
FEVOR,A,0000,D,FEVOR,T024F Production scheduler,T024F Production scheduler,FEVOR,
FHORI,A,0000,D,FHORI,T436A Floats for scheduling,T436A Floats for scheduling,FHORI,
FHORI,A,0000,D,MANDT,T436A Floats for scheduling,T436A Floats for scheduling,MANDT,
FHORI,A,0000,D,WERKS,T436A Floats for scheduling,T436A Floats for scheduling,WERKS,
GMEIN,A,0000,D,GMEIN,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
GMEIN,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
LEAD_AUFNR,A,0000,D,MANDT,AUFK Order master data,AUFK Order master data,MANDT,
LEAD_AUFNR,A,0000,D,LEAD_AUFNR,AUFK Order master data,AUFK Order master data,AUFNR,
MANDT,A,0000,D,MANDT,T000 Clients,T000 Clients,MANDT,
NTZUE,A,0000,D,NTZUE,AUFK Order master data,AUFK Order master data,AUFNR,
NTZUE,A,0000,D,MANDT,AUFK Order master data,AUFK Order master data,MANDT,
PAENR,A,0000,D,MANDT,AENR Change Master,AENR Change Master,MANDT,
PAENR,A,0000,D,PAENR,AENR Change Master,AENR Change Master,AENNR,
PLGRP,A,0000,D,WERKS,T024A Planner group,T024A Planner group,WERKS,
PLGRP,A,0000,D,PLGRP,T024A Planner group,T024A Planner group,FEVOR,
PLGRP,A,0000,D,MANDT,T024A Planner group,T024A Planner group,MANDT,
PLNAW,A,0000,D,MANDT,TCA09 Task list applications,TCA09 Task list applications,MANDT,
PLNAW,A,0000,D,PLNAW,TCA09 Task list applications,TCA09 Task list applications,PLNAW,
PLNBEZ,A,0000,D,MANDT,MARA General Material Data,MARA General Material Data,MANDT,
PLNBEZ,A,0000,D,PLNBEZ,MARA General Material Data,MARA General Material Data,MATNR,
PLNME,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
PLNME,A,0000,D,PLNME,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
PROFID,A,0000,D,PLNAW,TCN41 Network Defaults,TCN41 Network Defaults,PLNAW,
PROFID,A,0000,D,PROFID,TCN41 Network Defaults,TCN41 Network Defaults,PROFIDNETZ,
PROFID,A,0000,D,MANDT,TCN41 Network Defaults,TCN41 Network Defaults,MANDT,
PRONR,A,0000,D,PRONR,PROJ Project definition,PROJ Project definition,PSPNR,
PRONR,A,0000,D,MANDT,PROJ Project definition,PROJ Project definition,MANDT,
PVERW,A,0000,D,MANDT,T411 Task list usage,T411 Task list usage,MANDT,
PVERW,A,0000,D,PVERW,T411 Task list usage,T411 Task list usage,VERWE,
RSHID,A,0000,D,MANDT,CRID CIM Resource - Entities,CRID CIM Resource - Entities,MANDT,
RSHID,A,0000,D,RSHTY,CRID CIM Resource - Entities,CRID CIM Resource - Entities,OBJTY,
RSHID,A,0000,D,RSHID,CRID CIM Resource - Entities,CRID CIM Resource - Entities,OBJID,
RSNID,A,0000,D,RSNTY,CRID CIM Resource - Entities,CRID CIM Resource - Entities,OBJTY,
RSNID,A,0000,D,RSNID,CRID CIM Resource - Entities,CRID CIM Resource - Entities,OBJID,
RSNID,A,0000,D,MANDT,CRID CIM Resource - Entities,CRID CIM Resource - Entities,MANDT,
SAENR,A,0000,D,MANDT,AENR Change Master,AENR Change Master,MANDT,
SAENR,A,0000,D,SAENR,AENR Change Master,AENR Change Master,AENNR,
SBMEH,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
SBMEH,A,0000,D,SBMEH,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
SFCPF,A,0000,D,MANDT,TCO43 PP-SFC Order Profile,TCO43 PP-SFC Order Profile,MANDT,
SFCPF,A,0000,D,WERKS,TCO43 PP-SFC Order Profile,TCO43 PP-SFC Order Profile,WERKS,
SFCPF,A,0000,D,SFCPF,TCO43 PP-SFC Order Profile,TCO43 PP-SFC Order Profile,CO_PRODPRF,
STLAN,A,0000,D,MANDT,T416 BOM Usage - Item Statuses,T416 BOM Usage - Item Statuses,MANDT,
STLAN,A,0000,D,STLAN,T416 BOM Usage - Item Statuses,T416 BOM Usage - Item Statuses,STLAN,
STLBEZ,A,0000,D,MANDT,MARA General Material Data,MARA General Material Data,MANDT,
STLBEZ,A,0000,D,STLBEZ,MARA General Material Data,MARA General Material Data,MATNR,
STLST,A,0000,D,MANDT,T415S BOM status,T415S BOM status,MANDT,
STLST,A,0000,D,STLST,T415S BOM status,T415S BOM status,STLST,
TERKZ,A,0000,D,MANDT,T482 Table of scheduling types,T482 Table of scheduling types,MANDT,
TERKZ,A,0000,D,TERKZ,T482 Table of scheduling types,T482 Table of scheduling types,TERMKZ,
MANDT,A,0000,D,CLNT,3,3,0,
AUFNR,A,0000,D,CHAR,12,12,0,
CO_POSNR,A,0000,D,NUMC,4,4,0,
SOBES,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Standard external procurement,Standard external procurement,2,
QUNUM,A,0000,D,CHAR,10,10,0,
QUPOS,A,0000,D,NUMC,3,3,0,
PS_PSP_ELE,A,0000,D,NUMC,8,8,0,
PLNUM,A,0000,D,CHAR,10,10,0,
CO_STRMP,A,0000,D,DATS,8,8,0,
CO_ETRMP,A,0000,D,DATS,8,8,0,
CO_KDAUF,A,0000,D,CHAR,10,10,0,
CO_KDPOS,A,0000,D,NUMC,6,6,0,
KDEIN,A,0000,D,NUMC,4,4,0,
BESKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,E,In-house production,In-house production,F,
CO_PSAMG,A,0000,D,QUAN,13,13,3,
CO_PSMNG,A,0000,D,QUAN,13,13,3,
CO_WEMNG,A,0000,D,QUAN,13,13,3,
CO_IAMNG,A,0000,D,QUAN,13,13,3,
CO_AUFME,A,0000,D,UNIT,3,3,0,
LAGME,A,0000,D,UNIT,3,3,0,
CO_MATNR,A,0000,D,CHAR,18,18,0,
AVMNG,A,0000,D,QUAN,13,13,3,
GSMNG,A,0000,D,QUAN,13,13,3,
KNTTP,A,0000,D,CHAR,1,1,0,
TPAUF,A,0000,D,CHAR,1,1,0,
CO_LTRMI,A,0000,D,DATS,8,8,0,
CO_LTRMP,A,0000,D,DATS,8,8,0,
CK_KALNR,A,0000,D,NUMC,12,12,0,
UEBTO,A,0000,D,DEC,3,3,1,
UEBTK,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
UNTTO,A,0000,D,DEC,3,3,1,
INSMK,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Unrestricted use,Unrestricted use,X,
WEPOS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
BWTAR_D,A,0000,D,CHAR,10,10,0,
BWTTY_D,A,0000,D,CHAR,1,1,0,
CO_PWERK,A,0000,D,CHAR,4,4,0,
LGORT_D,A,0000,D,CHAR,4,4,0,
UMREZ,A,0000,D,DEC,5,5,0,
UMREN,A,0000,D,DEC,5,5,0,
PLWEZ,A,0000,D,DEC,3,3,0,
ELIKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
SA_AUFNR,A,0000,D,CHAR,12,12,0,
VERID,A,0000,D,CHAR,4,4,0,
SERNR,A,0000,D,CHAR,8,8,0,
TECHS,A,0000,D,CHAR,12,12,0,
WERKS_D,A,0000,D,CHAR,4,4,0,
AUFTYP,A,0000,D,NUMC,2,2,0,
Value,A,0000,D,01,Internal Order (Controlling),Internal Order (Controlling),02,
AUFART,A,0000,D,CHAR,4,4,0,
CO_GLTRP,A,0000,D,DATS,8,8,0,
CO_GLTRS,A,0000,D,DATS,8,8,0,
CO_FREI,A,0000,D,CHAR,1,1,0,
CO_DNREL,A,0000,D,CHAR,1,1,0,
SA_VERTL,A,0000,D,CHAR,4,4,0,
SOBKZ,A,0000,D,CHAR,1,1,0,
KZVBR,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No consumption,No consumption,V,
WEWRT,A,0000,D,CURR,13,13,2,
WEUNB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
ABLAD,A,0000,D,CHAR,25,25,0,
WEMPF,A,0000,D,CHAR,12,12,0,
CHARG_D,A,0000,D,CHAR,10,10,0,
GSBER,A,0000,D,CHAR,4,4,0,
CO_WEAE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
CUOBJ,A,0000,D,NUMC,18,18,0,
KBNKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Replenishment Element for Kanban,Replenishment Element for Kanban,Y,
ARSNR,A,0000,D,NUMC,10,10,0,
ARSPS,A,0000,D,NUMC,4,4,0,
RSNUM,A,0000,D,NUMC,10,10,0,
RSPOS,A,0000,D,NUMC,4,4,0,
CCKEY,A,0000,D,CHAR,23,23,0,
RTP01,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
RTP02,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
RTP03,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
RTP04,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
KSVON,A,0000,D,DATS,8,8,0,
KSBIS,A,0000,D,DATS,8,8,0,
J_OBJNR,A,0000,D,CHAR,22,22,0,
CO_NDISR,A,0000,D,CHAR,1,1,0,
CO_VFMNG,A,0000,D,QUAN,13,13,3,
CO_GSBTR,A,0000,D,DATS,8,8,0,
KZAVC,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,1,ATP check,ATP check,2,
KZBWS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No stock valuation,No stock valuation,M,
AUFLOEKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
SERAIL,A,0000,D,CHAR,4,4,0,
ANZSN,A,0000,D,INT4,10,10,0,
OCM_OBJ_TYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,+,Object created,Object created,-,
OCM_CH_PROC,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Not changed,Not changed,1,
CK_FIXPRKU,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
CUOBJ,A,0000,D,NUMC,18,18,0,
BERID,A,0000,D,CHAR,10,10,0,
TECHS,A,0000,D,CHAR,12,12,0,
KUNNR,A,0000,D,CHAR,10,10,0,
MILL_OC_AUFNR_U,A,0000,D,CHAR,12,12,0,
MILL_OC_RUMNG,A,0000,D,QUAN,13,13,3,
MILL_OC_SORT,A,0000,D,NUMC,8,8,0,
OIH_HANTYP,A,0000,D,CHAR,2,2,0,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
AMEIN,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
AMEIN,A,0000,D,AMEIN,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
AUFNR,A,0000,D,MANDT,AUFK Order master data,AUFK Order master data,MANDT,
AUFNR,A,0000,D,AUFNR,AUFK Order master data,AUFK Order master data,AUFNR,
BWTAR,A,0000,D,MANDT,T149D Global Valuation Types,T149D Global Valuation Types,MANDT,
BWTAR,A,0000,D,BWTAR,T149D Global Valuation Types,T149D Global Valuation Types,BWTAR,
BWTTY,A,0000,D,MANDT,T149C Global Valuation Categories,T149C Global Valuation Categories,MANDT,
BWTTY,A,0000,D,BWTTY,T149C Global Valuation Categories,T149C Global Valuation Categories,BWTTY,
CHARG,A,0000,D,CHARG,MCHA Batches,MCHA Batches,CHARG,
CHARG,A,0000,D,MANDT,MCHA Batches,MCHA Batches,MANDT,
CHARG,A,0000,D,MATNR,MCHA Batches,MCHA Batches,MATNR,
CHARG,A,0000,D,DWERK,MCHA Batches,MCHA Batches,WERKS,
DAUAT,A,0000,D,MANDT,T003O Order Types,T003O Order Types,CLIENT,
DAUAT,A,0000,D,DAUAT,T003O Order Types,T003O Order Types,AUART,
DWERK,A,0000,D,MANDT,T001W Plants/Branches,T001W Plants/Branches,MANDT,
DWERK,A,0000,D,DWERK,T001W Plants/Branches,T001W Plants/Branches,WERKS,
GSBER,A,0000,D,MANDT,TGSB Business Areas,TGSB Business Areas,MANDT,
GSBER,A,0000,D,GSBER,TGSB Business Areas,TGSB Business Areas,GSBER,
KALNR,A,0000,D,KALKA,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),KALKA,
KALNR,A,0000,D,KADKY,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),KADKY,
KALNR,A,0000,D,MANDT,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),MANDT,
KALNR,A,0000,D,TVERS,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),TVERS,
KALNR,A,0000,D,LEDNR,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),LEDNR,
KALNR,A,0000,D,BWVAR,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),BWVAR,
KALNR,A,0000,D,BZOBJ,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),BZOBJ,
KALNR,A,0000,D,KKZMA,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),KKZMA,
KALNR,A,0000,D,KALNR,CKHS Header: Unit Costing (Control + Totals),CKHS Header: Unit Costing (Control + Totals),KALNR,
KDAUF,A,0000,D,MANDT,VBUK Sales Document: Header Status and Administrative Data,VBUK Sales Document: Header Status and Administrative Data,MANDT,
KDAUF,A,0000,D,KDAUF,VBUK Sales Document: Header Status and Administrative Data,VBUK Sales Document: Header Status and Administrative Data,VBELN,
KDPOS,A,0000,D,MANDT,VBUP Sales Document: Item Status,VBUP Sales Document: Item Status,MANDT,
KDPOS,A,0000,D,KDAUF,VBUP Sales Document: Item Status,VBUP Sales Document: Item Status,VBELN,
KDPOS,A,0000,D,KDPOS,VBUP Sales Document: Item Status,VBUP Sales Document: Item Status,POSNR,
KNTTP,A,0000,D,MANDT,T163K Account Assignment Categories in Purchasing Document,T163K Account Assignment Categories in Purchasing Document,MANDT,
KNTTP,A,0000,D,KNTTP,T163K Account Assignment Categories in Purchasing Document,T163K Account Assignment Categories in Purchasing Document,KNTTP,
LGORT,A,0000,D,PWERK,T001L Storage Locations,T001L Storage Locations,WERKS,
LGORT,A,0000,D,LGORT,T001L Storage Locations,T001L Storage Locations,LGORT,
LGORT,A,0000,D,MANDT,T001L Storage Locations,T001L Storage Locations,MANDT,
MANDT,A,0000,D,MANDT,T000 Clients,T000 Clients,MANDT,
MATNR,A,0000,D,MANDT,MARA General Material Data,MARA General Material Data,MANDT,
MATNR,A,0000,D,MATNR,MARA General Material Data,MARA General Material Data,MATNR,
MEINS,A,0000,D,MEINS,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
MEINS,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
OBJNP,A,0000,D,MANDT,ONR00 General Object Number,ONR00 General Object Number,MANDT,
OBJNP,A,0000,D,OBJNP,ONR00 General Object Number,ONR00 General Object Number,OBJNR,
OIHANTYPI,A,0000,D,MANDT,OIH5 Definition of Excise Duty Handling Type (IS-OIL-TDP),OIH5 Definition of Excise Duty Handling Type (IS-OIL-TDP),MANDT,
