Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Demand and Supply Planning,Demand by Region,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Demand by Region,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Demand by Region,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,External Source Integration,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,External Source Integration,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,External Source Integration,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,External Source Integration,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,External Source Integration,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,External Source Integration,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,External Source Integration,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,External Source Integration,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,External Source Integration,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,External Source Integration,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Lost Sales Tracking,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Lost Sales Tracking,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Lost Sales Tracking,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Lost Sales Tracking,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Lost Sales Tracking,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Lost Sales Tracking,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Lost Sales Tracking,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Lost Sales Tracking,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Lost Sales Tracking,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Lost Sales Tracking,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Lead Time Analysis,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Lead Time Analysis,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Lead Time Analysis,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Lead Time Analysis,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Lead Time Analysis,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Lead Time Analysis,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Lead Time Analysis,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Lead Time Analysis,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Lead Time Analysis,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Lead Time Analysis,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Scenario forecasting,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Scenario forecasting,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Scenario forecasting,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Scenario forecasting,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Scenario forecasting,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Scenario forecasting,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Scenario forecasting,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Scenario forecasting,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Scenario forecasting,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Scenario forecasting,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Inventory Accuracy,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Inventory Accuracy,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Inventory Accuracy,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Inventory Accuracy,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Inventory Accuracy,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Inventory Accuracy,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Inventory Accuracy,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Inventory Accuracy,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Inventory Accuracy,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Inventory Accuracy,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Overstock Inventory,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Overstock Inventory,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Overstock Inventory,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Overstock Inventory,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Overstock Inventory,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Overstock Inventory,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Overstock Inventory,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Overstock Inventory,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Overstock Inventory,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Overstock Inventory,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Backorder Rates,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Backorder Rates,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Backorder Rates,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Backorder Rates,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Backorder Rates,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Backorder Rates,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Backorder Rates,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Backorder Rates,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Backorder Rates,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Backorder Rates,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Storage Cost per Item,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Storage Cost per Item,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Storage Cost per Item,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Storage Cost per Item,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Storage Cost per Item,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Storage Cost per Item,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Storage Cost per Item,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Storage Cost per Item,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Storage Cost per Item,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Storage Cost per Item,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Obsolete & Block Stock,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Obsolete & Block Stock,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Obsolete & Block Stock,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Obsolete & Block Stock,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Obsolete & Block Stock,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Obsolete & Block Stock,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Obsolete & Block Stock,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Obsolete & Block Stock,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Obsolete & Block Stock,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Obsolete & Block Stock,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Stock Levels and Turnover Rate,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Stock Levels and Turnover Rate,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Stock Levels and Turnover Rate,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Stock Levels and Turnover Rate,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Stock Levels and Turnover Rate,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Stock Levels and Turnover Rate,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Stock Levels and Turnover Rate,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Stock Levels and Turnover Rate,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Stock Levels and Turnover Rate,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Stock Levels and Turnover Rate,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Aging Inventory,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Aging Inventory,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Aging Inventory,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Aging Inventory,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Aging Inventory,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Aging Inventory,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Aging Inventory,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Aging Inventory,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Aging Inventory,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Aging Inventory,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Days Sales of Inventory (DSI),MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Days Sales of Inventory (DSI),MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Days Sales of Inventory (DSI),PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Days Sales of Inventory (DSI),PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Days Sales of Inventory (DSI),PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Days Sales of Inventory (DSI),EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Days Sales of Inventory (DSI),RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Days Sales of Inventory (DSI),MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Days Sales of Inventory (DSI),MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Days Sales of Inventory (DSI),MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Stockout Frequency,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Stockout Frequency,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Stockout Frequency,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Stockout Frequency,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Stockout Frequency,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Stockout Frequency,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Stockout Frequency,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Stockout Frequency,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Stockout Frequency,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Stockout Frequency,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Reorder Point Alerts,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Reorder Point Alerts,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Reorder Point Alerts,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Reorder Point Alerts,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Reorder Point Alerts,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Reorder Point Alerts,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Reorder Point Alerts,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Reorder Point Alerts,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Reorder Point Alerts,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Reorder Point Alerts,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,New Product Demand & Planning,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,New Product Demand & Planning,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,New Product Demand & Planning,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
