Process,Topic,SAP Table
Demand and Supply Planning,Storage Cost per Item,PBIM
Demand and Supply Planning,Storage Cost per Item,PBED
Demand and Supply Planning,Storage Cost per Item,PLAF
Demand and Supply Planning,Storage Cost per Item,EBAN
Demand and Supply Planning,Storage Cost per Item,RESB
Demand and Supply Planning,Storage Cost per Item,MARA
Demand and Supply Planning,Storage Cost per Item,MARC
Demand and Supply Planning,Storage Cost per Item,MARD
Demand and Supply Planning,Obsolete & Block Stock,MDKP
Demand and Supply Planning,Obsolete & Block Stock,MDTB
Demand and Supply Planning,Obsolete & Block Stock,PBIM
Demand and Supply Planning,Obsolete & Block Stock,PBED
Demand and Supply Planning,Obsolete & Block Stock,PLAF
Demand and Supply Planning,Obsolete & Block Stock,EBAN
Demand and Supply Planning,Obsolete & Block Stock,RESB
Demand and Supply Planning,Obsolete & Block Stock,MARA
Demand and Supply Planning,Obsolete & Block Stock,MARC
Demand and Supply Planning,Obsolete & Block Stock,MARD
Demand and Supply Planning,Stock Levels and Turnover Rate,MDKP
Demand and Supply Planning,Stock Levels and Turnover Rate,MDTB
Demand and Supply Planning,Stock Levels and Turnover Rate,PBIM
Demand and Supply Planning,Stock Levels and Turnover Rate,PBED
Demand and Supply Planning,Stock Levels and Turnover Rate,PLAF
Demand and Supply Planning,Stock Levels and Turnover Rate,EBAN
Demand and Supply Planning,Stock Levels and Turnover Rate,RESB
Demand and Supply Planning,Stock Levels and Turnover Rate,MARA
Demand and Supply Planning,Stock Levels and Turnover Rate,MARC
Demand and Supply Planning,Stock Levels and Turnover Rate,MARD
Demand and Supply Planning,Aging Inventory,MDKP
Demand and Supply Planning,Aging Inventory,MDTB
Demand and Supply Planning,Aging Inventory,PBIM
Demand and Supply Planning,Aging Inventory,PBED
Demand and Supply Planning,Aging Inventory,PLAF
Demand and Supply Planning,Aging Inventory,EBAN
Demand and Supply Planning,Aging Inventory,RESB
Demand and Supply Planning,Aging Inventory,MARA
Demand and Supply Planning,Aging Inventory,MARC
Demand and Supply Planning,Aging Inventory,MARD
Demand and Supply Planning,Days Sales of Inventory (DSI),MDKP
Demand and Supply Planning,Days Sales of Inventory (DSI),MDTB
Demand and Supply Planning,Days Sales of Inventory (DSI),PBIM
Demand and Supply Planning,Days Sales of Inventory (DSI),PBED
Demand and Supply Planning,Days Sales of Inventory (DSI),PLAF
Demand and Supply Planning,Days Sales of Inventory (DSI),EBAN
Demand and Supply Planning,Days Sales of Inventory (DSI),RESB
Demand and Supply Planning,Days Sales of Inventory (DSI),MARA
Demand and Supply Planning,Days Sales of Inventory (DSI),MARC
Demand and Supply Planning,Days Sales of Inventory (DSI),MARD
Demand and Supply Planning,Stockout Frequency,MDKP
Demand and Supply Planning,Stockout Frequency,MDTB
Demand and Supply Planning,Stockout Frequency,PBIM
Demand and Supply Planning,Stockout Frequency,PBED
Demand and Supply Planning,Stockout Frequency,PLAF
Demand and Supply Planning,Stockout Frequency,EBAN
Demand and Supply Planning,Stockout Frequency,RESB
Demand and Supply Planning,Stockout Frequency,MARA
Demand and Supply Planning,Stockout Frequency,MARC
Demand and Supply Planning,Stockout Frequency,MARD
Demand and Supply Planning,Reorder Point Alerts,MDKP
Demand and Supply Planning,Reorder Point Alerts,MDTB
Demand and Supply Planning,Reorder Point Alerts,PBIM
Demand and Supply Planning,Reorder Point Alerts,PBED
Demand and Supply Planning,Reorder Point Alerts,PLAF
Demand and Supply Planning,Reorder Point Alerts,EBAN
Demand and Supply Planning,Reorder Point Alerts,RESB
Demand and Supply Planning,Reorder Point Alerts,MARA
Demand and Supply Planning,Reorder Point Alerts,MARC
Demand and Supply Planning,Reorder Point Alerts,MARD
Demand and Supply Planning,New Product Demand & Planning,MDKP
Demand and Supply Planning,New Product Demand & Planning,MDTB
Demand and Supply Planning,New Product Demand & Planning,PBIM
Demand and Supply Planning,New Product Demand & Planning,PBED
Demand and Supply Planning,New Product Demand & Planning,PLAF
Demand and Supply Planning,New Product Demand & Planning,EBAN
Demand and Supply Planning,New Product Demand & Planning,RESB
Demand and Supply Planning,New Product Demand & Planning,MARA
Demand and Supply Planning,New Product Demand & Planning,MARC
Demand and Supply Planning,New Product Demand & Planning,MARD
Demand and Supply Planning,New product development tracking,MDKP
Demand and Supply Planning,New product development tracking,MDTB
Demand and Supply Planning,New product development tracking,PBIM
Demand and Supply Planning,New product development tracking,PBED
Demand and Supply Planning,New product development tracking,PLAF
Demand and Supply Planning,New product development tracking,EBAN
Demand and Supply Planning,New product development tracking,RESB
Demand and Supply Planning,New product development tracking,MARA
Demand and Supply Planning,New product development tracking,MARC
Demand and Supply Planning,New product development tracking,MARD
Procurement and Supplier Management,Supplier Lead Times,EKKO
Procurement and Supplier Management,Supplier Lead Times,EKPO
Procurement and Supplier Management,Supplier Lead Times,EKET
Procurement and Supplier Management,Supplier Lead Times,EKBE
Procurement and Supplier Management,Supplier Lead Times,EBAN
Procurement and Supplier Management,Supplier Lead Times,INFO
Procurement and Supplier Management,Supplier Lead Times,EINA
Procurement and Supplier Management,Supplier Lead Times,EINE
Procurement and Supplier Management,Supplier Lead Times,LFA1
Procurement and Supplier Management,Supplier Lead Times,LFB1
Procurement and Supplier Management,Supplier Lead Times,LFM1
Procurement and Supplier Management,Supplier Lead Times,KONV
Procurement and Supplier Management,Supplier Lead Times,RBKP
Procurement and Supplier Management,Supplier Lead Times,RSEG
Procurement and Supplier Management,Supplier Lead Times,MKPF
Procurement and Supplier Management,Supplier Lead Times,MSEG
Procurement and Supplier Management,Supplier Lead Times,BSIK
Procurement and Supplier Management,Supplier Lead Times,BSAK
Procurement and Supplier Management,Order Fulfillment Rate,EKKO
Procurement and Supplier Management,Order Fulfillment Rate,EKPO
Procurement and Supplier Management,Order Fulfillment Rate,EKET
Procurement and Supplier Management,Order Fulfillment Rate,EKBE
Procurement and Supplier Management,Order Fulfillment Rate,EBAN
Procurement and Supplier Management,Order Fulfillment Rate,INFO
Procurement and Supplier Management,Order Fulfillment Rate,EINA
Procurement and Supplier Management,Order Fulfillment Rate,EINE
Procurement and Supplier Management,Order Fulfillment Rate,LFA1
Procurement and Supplier Management,Order Fulfillment Rate,LFB1
Procurement and Supplier Management,Order Fulfillment Rate,LFM1
Procurement and Supplier Management,Order Fulfillment Rate,KONV
Procurement and Supplier Management,Order Fulfillment Rate,RBKP
Procurement and Supplier Management,Order Fulfillment Rate,RSEG
Procurement and Supplier Management,Order Fulfillment Rate,MKPF
Procurement and Supplier Management,Order Fulfillment Rate,MSEG
Procurement and Supplier Management,Order Fulfillment Rate,BSIK
Procurement and Supplier Management,Order Fulfillment Rate,BSAK
Procurement and Supplier Management,Cost per Supplier,EKKO
Procurement and Supplier Management,Cost per Supplier,EKPO
Procurement and Supplier Management,Cost per Supplier,EKET
Procurement and Supplier Management,Cost per Supplier,EKBE
Procurement and Supplier Management,Cost per Supplier,EBAN
Procurement and Supplier Management,Cost per Supplier,INFO
Procurement and Supplier Management,Cost per Supplier,EINA
Procurement and Supplier Management,Cost per Supplier,EINE
Procurement and Supplier Management,Cost per Supplier,LFA1
Procurement and Supplier Management,Cost per Supplier,LFB1
Procurement and Supplier Management,Cost per Supplier,LFM1
Procurement and Supplier Management,Cost per Supplier,KONV
Procurement and Supplier Management,Cost per Supplier,RBKP
Procurement and Supplier Management,Cost per Supplier,RSEG
Procurement and Supplier Management,Cost per Supplier,MKPF
Procurement and Supplier Management,Cost per Supplier,MSEG
Procurement and Supplier Management,Cost per Supplier,BSIK
Procurement and Supplier Management,Cost per Supplier,BSAK
Procurement and Supplier Management,Quality Compliance,EKKO
Procurement and Supplier Management,Quality Compliance,EKPO
Procurement and Supplier Management,Quality Compliance,EKET
Procurement and Supplier Management,Quality Compliance,EKBE
Procurement and Supplier Management,Quality Compliance,EBAN
Procurement and Supplier Management,Quality Compliance,INFO
Procurement and Supplier Management,Quality Compliance,EINA
Procurement and Supplier Management,Quality Compliance,EINE
Procurement and Supplier Management,Quality Compliance,LFA1
Procurement and Supplier Management,Quality Compliance,LFB1
Procurement and Supplier Management,Quality Compliance,LFM1
Procurement and Supplier Management,Quality Compliance,KONV
Procurement and Supplier Management,Quality Compliance,RBKP
Procurement and Supplier Management,Quality Compliance,RSEG
Procurement and Supplier Management,Quality Compliance,MKPF
Procurement and Supplier Management,Quality Compliance,MSEG
Procurement and Supplier Management,Quality Compliance,BSIK
Procurement and Supplier Management,Quality Compliance,BSAK
Procurement and Supplier Management,Delivery Timeliness,EKKO
Procurement and Supplier Management,Delivery Timeliness,EKPO
Procurement and Supplier Management,Delivery Timeliness,EKET
Procurement and Supplier Management,Delivery Timeliness,EKBE
Procurement and Supplier Management,Delivery Timeliness,EBAN
Procurement and Supplier Management,Delivery Timeliness,INFO
Procurement and Supplier Management,Delivery Timeliness,EINA
Procurement and Supplier Management,Delivery Timeliness,EINE
Procurement and Supplier Management,Delivery Timeliness,LFA1
Procurement and Supplier Management,Delivery Timeliness,LFB1
Procurement and Supplier Management,Delivery Timeliness,LFM1
Procurement and Supplier Management,Delivery Timeliness,KONV
Procurement and Supplier Management,Delivery Timeliness,RBKP
Procurement and Supplier Management,Delivery Timeliness,RSEG
Procurement and Supplier Management,Delivery Timeliness,MKPF
Procurement and Supplier Management,Delivery Timeliness,MSEG
Procurement and Supplier Management,Delivery Timeliness,BSIK
Procurement and Supplier Management,Delivery Timeliness,BSAK
Procurement and Supplier Management,Supplier Performance & Scorecard,EKKO
Procurement and Supplier Management,Supplier Performance & Scorecard,EKPO
Procurement and Supplier Management,Supplier Performance & Scorecard,EKET
Procurement and Supplier Management,Supplier Performance & Scorecard,EKBE
Procurement and Supplier Management,Supplier Performance & Scorecard,EBAN
Procurement and Supplier Management,Supplier Performance & Scorecard,INFO
Procurement and Supplier Management,Supplier Performance & Scorecard,EINA
Procurement and Supplier Management,Supplier Performance & Scorecard,EINE
Procurement and Supplier Management,Supplier Performance & Scorecard,LFA1
Procurement and Supplier Management,Supplier Performance & Scorecard,LFB1
Procurement and Supplier Management,Supplier Performance & Scorecard,LFM1
Procurement and Supplier Management,Supplier Performance & Scorecard,KONV
Procurement and Supplier Management,Supplier Performance & Scorecard,RBKP
Procurement and Supplier Management,Supplier Performance & Scorecard,RSEG
Procurement and Supplier Management,Supplier Performance & Scorecard,MKPF
Procurement and Supplier Management,Supplier Performance & Scorecard,MSEG
Procurement and Supplier Management,Supplier Performance & Scorecard,BSIK
Procurement and Supplier Management,Supplier Performance & Scorecard,BSAK
Procurement and Supplier Management,Volume Discounts,EKKO
Procurement and Supplier Management,Volume Discounts,EKPO
Procurement and Supplier Management,Volume Discounts,EKET
Procurement and Supplier Management,Volume Discounts,EKBE
Procurement and Supplier Management,Volume Discounts,EBAN
Procurement and Supplier Management,Volume Discounts,INFO
Procurement and Supplier Management,Volume Discounts,EINA
Procurement and Supplier Management,Volume Discounts,EINE
Procurement and Supplier Management,Volume Discounts,LFA1
Procurement and Supplier Management,Volume Discounts,LFB1
Procurement and Supplier Management,Volume Discounts,LFM1
Procurement and Supplier Management,Volume Discounts,KONV
Procurement and Supplier Management,Volume Discounts,RBKP
Procurement and Supplier Management,Volume Discounts,RSEG
Procurement and Supplier Management,Volume Discounts,MKPF
Procurement and Supplier Management,Volume Discounts,MSEG
Procurement and Supplier Management,Volume Discounts,BSIK
Procurement and Supplier Management,Volume Discounts,BSAK
Procurement and Supplier Management,Contract Compliance,EKKO
Procurement and Supplier Management,Contract Compliance,EKPO
Procurement and Supplier Management,Contract Compliance,EKET
Procurement and Supplier Management,Contract Compliance,EKBE
Procurement and Supplier Management,Contract Compliance,EBAN
Procurement and Supplier Management,Contract Compliance,INFO
Procurement and Supplier Management,Contract Compliance,EINA
Procurement and Supplier Management,Contract Compliance,EINE
Procurement and Supplier Management,Contract Compliance,LFA1
Procurement and Supplier Management,Contract Compliance,LFB1
Procurement and Supplier Management,Contract Compliance,LFM1
Procurement and Supplier Management,Contract Compliance,KONV
Procurement and Supplier Management,Contract Compliance,RBKP
Procurement and Supplier Management,Contract Compliance,RSEG
Procurement and Supplier Management,Contract Compliance,MKPF
Procurement and Supplier Management,Contract Compliance,MSEG
Procurement and Supplier Management,Contract Compliance,BSIK
Procurement and Supplier Management,Contract Compliance,BSAK
Procurement and Supplier Management,Procurement Cost per Item,EKKO
Procurement and Supplier Management,Procurement Cost per Item,EKPO
Procurement and Supplier Management,Procurement Cost per Item,EKET
Procurement and Supplier Management,Procurement Cost per Item,EKBE
Procurement and Supplier Management,Procurement Cost per Item,EBAN
Procurement and Supplier Management,Procurement Cost per Item,INFO
Procurement and Supplier Management,Procurement Cost per Item,EINA
Procurement and Supplier Management,Procurement Cost per Item,EINE
Procurement and Supplier Management,Procurement Cost per Item,LFA1
Procurement and Supplier Management,Procurement Cost per Item,LFB1
Procurement and Supplier Management,Procurement Cost per Item,LFM1
Procurement and Supplier Management,Procurement Cost per Item,KONV
Procurement and Supplier Management,Procurement Cost per Item,RBKP
Procurement and Supplier Management,Procurement Cost per Item,RSEG
Procurement and Supplier Management,Procurement Cost per Item,MKPF
Procurement and Supplier Management,Procurement Cost per Item,MSEG
Procurement and Supplier Management,Procurement Cost per Item,BSIK
Procurement and Supplier Management,Procurement Cost per Item,BSAK
Procurement and Supplier Management,Sustainable Sourcing Metrics,EKKO
Procurement and Supplier Management,Sustainable Sourcing Metrics,EKPO
Procurement and Supplier Management,Sustainable Sourcing Metrics,EKET
Procurement and Supplier Management,Sustainable Sourcing Metrics,EKBE
Procurement and Supplier Management,Sustainable Sourcing Metrics,EBAN
Procurement and Supplier Management,Sustainable Sourcing Metrics,INFO
Procurement and Supplier Management,Sustainable Sourcing Metrics,EINA
Procurement and Supplier Management,Sustainable Sourcing Metrics,EINE
Procurement and Supplier Management,Sustainable Sourcing Metrics,LFA1
Procurement and Supplier Management,Sustainable Sourcing Metrics,LFB1
Procurement and Supplier Management,Sustainable Sourcing Metrics,LFM1
Procurement and Supplier Management,Sustainable Sourcing Metrics,KONV
Procurement and Supplier Management,Sustainable Sourcing Metrics,RBKP
Procurement and Supplier Management,Sustainable Sourcing Metrics,RSEG
Procurement and Supplier Management,Sustainable Sourcing Metrics,MKPF
Procurement and Supplier Management,Sustainable Sourcing Metrics,MSEG
Procurement and Supplier Management,Sustainable Sourcing Metrics,BSIK
Procurement and Supplier Management,Sustainable Sourcing Metrics,BSAK
Production and Manufacturing,Machine Planned and Unplanned time,AUFK
Production and Manufacturing,Machine Planned and Unplanned time,AFKO
Production and Manufacturing,Machine Planned and Unplanned time,AFPO
Production and Manufacturing,Machine Planned and Unplanned time,AFVC
Production and Manufacturing,Machine Planned and Unplanned time,AFVV
Production and Manufacturing,Machine Planned and Unplanned time,RESB
Production and Manufacturing,Machine Planned and Unplanned time,CRHD
Production and Manufacturing,Machine Planned and Unplanned time,MAPL
Production and Manufacturing,Machine Planned and Unplanned time,PLKO
Production and Manufacturing,Machine Planned and Unplanned time,PLPO
Production and Manufacturing,Machine Planned and Unplanned time,STKO
Production and Manufacturing,Machine Planned and Unplanned time,STPO
Production and Manufacturing,Machine Planned and Unplanned time,MKPF
Production and Manufacturing,Machine Planned and Unplanned time,MSEG
Production and Manufacturing,Machine Planned and Unplanned time,MARA
Production and Manufacturing,Machine Planned and Unplanned time,MARC
Production and Manufacturing,Machine Planned and Unplanned time,MARD
Production and Manufacturing,Machine Utilization,AUFK
Production and Manufacturing,Machine Utilization,AFKO
Production and Manufacturing,Machine Utilization,AFPO
Production and Manufacturing,Machine Utilization,AFVC
Production and Manufacturing,Machine Utilization,AFVV
Production and Manufacturing,Machine Utilization,RESB
Production and Manufacturing,Machine Utilization,CRHD
Production and Manufacturing,Machine Utilization,MAPL
Production and Manufacturing,Machine Utilization,PLKO
Production and Manufacturing,Machine Utilization,PLPO
Production and Manufacturing,Machine Utilization,STKO
Production and Manufacturing,Machine Utilization,STPO
Production and Manufacturing,Machine Utilization,MKPF
Production and Manufacturing,Machine Utilization,MSEG
Production and Manufacturing,Machine Utilization,MARA
Production and Manufacturing,Machine Utilization,MARC
Production and Manufacturing,Machine Utilization,MARD
Production and Manufacturing,Downtime Analysis,AUFK
Production and Manufacturing,Downtime Analysis,AFKO
Production and Manufacturing,Downtime Analysis,AFPO
Production and Manufacturing,Downtime Analysis,AFVC
Production and Manufacturing,Downtime Analysis,AFVV
Production and Manufacturing,Downtime Analysis,RESB
Production and Manufacturing,Downtime Analysis,CRHD
Production and Manufacturing,Downtime Analysis,MAPL
Production and Manufacturing,Downtime Analysis,PLKO
Production and Manufacturing,Downtime Analysis,PLPO
Production and Manufacturing,Downtime Analysis,STKO
Production and Manufacturing,Downtime Analysis,STPO
Production and Manufacturing,Downtime Analysis,MKPF
Production and Manufacturing,Downtime Analysis,MSEG
Production and Manufacturing,Downtime Analysis,MARA
Production and Manufacturing,Downtime Analysis,MARC
Production and Manufacturing,Downtime Analysis,MARD
Production and Manufacturing,Production Cycle Time,AUFK
Production and Manufacturing,Production Cycle Time,AFKO
Production and Manufacturing,Production Cycle Time,AFPO
Production and Manufacturing,Production Cycle Time,AFVC
Production and Manufacturing,Production Cycle Time,AFVV
Production and Manufacturing,Production Cycle Time,RESB
Production and Manufacturing,Production Cycle Time,CRHD
Production and Manufacturing,Production Cycle Time,MAPL
Production and Manufacturing,Production Cycle Time,PLKO
Production and Manufacturing,Production Cycle Time,PLPO
Production and Manufacturing,Production Cycle Time,STKO
Production and Manufacturing,Production Cycle Time,STPO
Production and Manufacturing,Production Cycle Time,MKPF
Production and Manufacturing,Production Cycle Time,MSEG
Production and Manufacturing,Production Cycle Time,MARA
Production and Manufacturing,Production Cycle Time,MARC
Production and Manufacturing,Production Cycle Time,MARD
Production and Manufacturing,First pass production,AUFK
Production and Manufacturing,First pass production,AFKO
Production and Manufacturing,First pass production,AFPO
Production and Manufacturing,First pass production,AFVC
Production and Manufacturing,First pass production,AFVV
Production and Manufacturing,First pass production,RESB
Production and Manufacturing,First pass production,CRHD
Production and Manufacturing,First pass production,MAPL
Production and Manufacturing,First pass production,PLKO
Production and Manufacturing,First pass production,PLPO
Production and Manufacturing,First pass production,STKO
Production and Manufacturing,First pass production,STPO
Production and Manufacturing,First pass production,MKPF
Production and Manufacturing,First pass production,MSEG
Production and Manufacturing,First pass production,MARA
Production and Manufacturing,First pass production,MARC
Production and Manufacturing,First pass production,MARD
Production and Manufacturing,Waste Levels,AUFK
Production and Manufacturing,Waste Levels,AFKO
Production and Manufacturing,Waste Levels,AFPO
Production and Manufacturing,Waste Levels,AFVC
Production and Manufacturing,Waste Levels,AFVV
Production and Manufacturing,Waste Levels,RESB
Production and Manufacturing,Waste Levels,CRHD
Production and Manufacturing,Waste Levels,MAPL
Production and Manufacturing,Waste Levels,PLKO
Production and Manufacturing,Waste Levels,PLPO
Production and Manufacturing,Waste Levels,STKO
Production and Manufacturing,Waste Levels,STPO
Production and Manufacturing,Waste Levels,MKPF
Production and Manufacturing,Waste Levels,MSEG
Production and Manufacturing,Waste Levels,MARA
Production and Manufacturing,Waste Levels,MARC
Production and Manufacturing,Waste Levels,MARD
Production and Manufacturing,Energy Consumption,AUFK
Production and Manufacturing,Energy Consumption,AFKO
Production and Manufacturing,Energy Consumption,AFPO
Production and Manufacturing,Energy Consumption,AFVC
Production and Manufacturing,Energy Consumption,AFVV
Production and Manufacturing,Energy Consumption,RESB
Production and Manufacturing,Energy Consumption,CRHD
Production and Manufacturing,Energy Consumption,MAPL
Production and Manufacturing,Energy Consumption,PLKO
Production and Manufacturing,Energy Consumption,PLPO
Production and Manufacturing,Energy Consumption,STKO
Production and Manufacturing,Energy Consumption,STPO
Production and Manufacturing,Energy Consumption,MKPF
Production and Manufacturing,Energy Consumption,MSEG
Production and Manufacturing,Energy Consumption,MARA
Production and Manufacturing,Energy Consumption,MARC
Production and Manufacturing,Energy Consumption,MARD
Production and Manufacturing,Production Costs per Unit,AUFK
Production and Manufacturing,Production Costs per Unit,AFKO
Production and Manufacturing,Production Costs per Unit,AFPO
Production and Manufacturing,Production Costs per Unit,AFVC
Production and Manufacturing,Production Costs per Unit,AFVV
Production and Manufacturing,Production Costs per Unit,RESB
Production and Manufacturing,Production Costs per Unit,CRHD
Production and Manufacturing,Production Costs per Unit,MAPL
Production and Manufacturing,Production Costs per Unit,PLKO
Production and Manufacturing,Production Costs per Unit,PLPO
Production and Manufacturing,Production Costs per Unit,STKO
Production and Manufacturing,Production Costs per Unit,STPO
Production and Manufacturing,Production Costs per Unit,MKPF
Production and Manufacturing,Production Costs per Unit,MSEG
Production and Manufacturing,Production Costs per Unit,MARA
Production and Manufacturing,Production Costs per Unit,MARC
Production and Manufacturing,Production Costs per Unit,MARD
Production and Manufacturing,Material Utilization,AUFK
Production and Manufacturing,Material Utilization,AFKO
Production and Manufacturing,Material Utilization,AFPO
Production and Manufacturing,Material Utilization,AFVC
Production and Manufacturing,Material Utilization,AFVV
Production and Manufacturing,Material Utilization,RESB
Production and Manufacturing,Material Utilization,CRHD
Production and Manufacturing,Material Utilization,MAPL
Production and Manufacturing,Material Utilization,PLKO
Production and Manufacturing,Material Utilization,PLPO
Production and Manufacturing,Material Utilization,STKO
Production and Manufacturing,Material Utilization,STPO
Production and Manufacturing,Material Utilization,MKPF
