MANDT,VBELN,POSNR,MATNR,KWMENG,VRKME,NETWR,WERKS
100,8000000016,000020,MAT000344,2598,ST,12730.2,1100
100,8000000016,000030,MAT000465,2331,ST,11491.83,1200
100,8000000017,000010,MAT000427,3928,ST,64144.24,1000
100,8000000017,000020,MAT000016,2739,ST,13941.51,1200
100,8000000017,000030,MAT000174,440,ST,10203.6,1000
100,8000000017,000040,MAT000122,186,ST,2674.68,1100
100,8000000017,000050,MAT000282,3213,ST,10249.47,1200
100,8000000018,000010,MAT000231,4764,ST,104093.4,1000
100,8000000019,000010,MAT000111,1728,ST,11456.64,1200
100,8000000019,000020,MAT000428,845,ST,14736.8,1000
100,8000000020,000010,MAT000354,1481,ST,35114.51,1000
100,8000000020,000020,MAT000113,3319,ST,24095.94,1000
100,8000000021,000010,MAT000069,3808,ST,83128.64,1200
100,8000000021,000020,MAT000266,105,ST,453.6,1000
100,8000000021,000030,MAT000376,1852,ST,3778.08,1200
100,8000000022,000010,MAT000315,2454,ST,36638.22,1000
100,8000000022,000020,MAT000412,1524,ST,16809.72,1200
100,8000000023,000010,MAT000433,4425,ST,80844.75,1200
100,8000000023,000020,MAT000086,1490,ST,32422.4,1200
100,8000000024,000010,MAT000166,1330,ST,4734.8,1100
100,8000000025,000010,MAT000001,2044,ST,17496.64,1200
100,8000000026,000010,MAT000258,4975,ST,70396.25,1000
100,8000000026,000020,MAT000010,1550,ST,7486.5,1000
100,8000000027,000010,MAT000310,619,ST,8925.98,1100
100,8000000027,000020,MAT000343,692,ST,16400.4,1200
100,8000000027,000030,MAT000166,588,ST,9578.52,1100
100,8000000028,000010,MAT000117,2601,ST,64556.82,1100
100,8000000029,000010,MAT000416,3342,ST,10193.1,1200
100,8000000029,000020,MAT000197,1208,ST,26479.36,1000
100,8000000030,000010,MAT000093,1449,ST,20097.63,1100
100,8000000030,000020,MAT000404,2868,ST,51509.28,1100
100,8000000030,000030,MAT000013,1408,ST,12629.76,1100
100,8000000031,000010,MAT000293,3916,ST,60384.72,1100
100,8000000031,000020,MAT000095,1178,ST,12251.2,1200
100,8000000031,000030,MAT000266,2050,ST,35752.0,1100
100,8000000031,000040,MAT000347,4124,ST,33981.76,1100
100,8000000032,000010,MAT000219,3340,ST,65497.4,1000
100,8000000032,000020,MAT000070,1362,ST,20457.24,1000
100,8000000032,000030,MAT000003,3483,ST,60639.03,1200
100,8000000032,000040,MAT000411,1031,ST,11371.93,1200
100,8000000033,000010,MAT000250,2010,ST,49968.6,1200
100,8000000033,000020,MAT000335,1390,ST,24116.5,1200
100,8000000034,000010,MAT000310,4069,ST,42358.29,1100
100,8000000034,000020,MAT000413,975,ST,8112.0,1100
100,8000000034,000030,MAT000499,4669,ST,50191.75,1100
100,8000000034,000040,MAT000345,4009,ST,11425.65,1000
100,8000000034,000050,MAT000002,2874,ST,64435.08,1000
100,8000000035,000010,MAT000117,3374,ST,14879.34,1100
100,8000000035,000020,MAT000174,3865,ST,41703.35,1100
100,8000000036,000010,MAT000324,1335,ST,6394.65,1200
100,8000000036,000020,MAT000154,916,ST,5450.2,1000
100,8000000036,000030,MAT000009,1323,ST,22702.68,1100
100,8000000037,000010,MAT000290,4121,ST,76485.76,1200
100,8000000038,000010,MAT000004,1947,ST,5295.84,1100
100,8000000038,000020,MAT000315,3943,ST,32726.9,1100
100,8000000039,000010,MAT000083,2168,ST,53918.16,1000
100,8000000039,000020,MAT000077,4125,ST,65422.5,1000
100,8000000040,000010,MAT000153,1207,ST,13904.64,1200
100,8000000041,000010,MAT000176,1826,ST,17164.4,1100
100,8000000041,000020,MAT000216,911,ST,7133.13,1100
100,8000000041,000030,MAT000013,1498,ST,3685.08,1000
100,8000000042,000010,MAT000365,2988,ST,27967.68,1000
100,8000000043,000010,MAT000262,4834,ST,67337.62,1100
100,8000000043,000020,MAT000280,724,ST,16181.4,1000
100,8000000043,000030,MAT000152,1590,ST,28715.4,1000
100,8000000044,000010,MAT000117,368,ST,1656.0,1100
100,8000000044,000020,MAT000421,2855,ST,64323.15,1100
100,8000000045,000010,MAT000125,4918,ST,39048.92,1000
100,8000000045,000020,MAT000152,3266,ST,42882.58,1200
100,8000000045,000030,MAT000376,3156,ST,46456.32,1100
100,8000000046,000010,MAT000003,4210,ST,51362.0,1200
100,8000000046,000020,MAT000211,2209,ST,31986.32,1000
100,8000000047,000010,MAT000200,1099,ST,8638.14,1000
100,8000000047,000020,MAT000083,21,ST,351.54,1200
100,8000000047,000030,MAT000416,2173,ST,40135.31,1100
100,8000000047,000040,MAT000003,2922,ST,19431.3,1100
100,8000000048,000010,MAT000275,2118,ST,46490.1,1200
100,8000000048,000020,MAT000235,2211,ST,13907.19,1200
100,8000000048,000030,MAT000315,3029,ST,15114.71,1100
100,8000000049,000010,MAT000148,2320,ST,4616.8,1000
100,8000000049,000020,MAT000152,578,ST,2814.86,1100
100,8000000050,000010,MAT000004,4952,ST,19015.68,1100
100,8000000050,000020,MAT000012,1092,ST,8015.28,1000
100,8000000051,000010,MAT000242,706,ST,4412.5,1100
100,8000000051,000020,MAT000219,2727,ST,34769.25,1000
100,8000000052,000010,MAT000077,4471,ST,37869.37,1200
100,8000000052,000020,MAT000007,1866,ST,21533.64,1000
100,8000000052,000030,MAT000280,930,ST,12145.8,1000
100,8000000052,000040,MAT000261,634,ST,10124.98,1000
100,8000000053,000010,MAT000404,2753,ST,42919.27,1200
100,8000000054,000010,MAT000077,2230,ST,51356.9,1200
100,8000000054,000020,MAT000064,27,ST,587.25,1000
100,8000000055,000010,MAT000311,2291,ST,11225.9,1100
100,8000000056,000010,MAT000297,4939,ST,99520.85,1100
100,8000000056,000020,MAT000181,3149,ST,35709.66,1100
100,8000000057,000010,MAT000304,4326,ST,65236.08,1200
100,8000000057,000020,MAT000001,1675,ST,41640.5,1000
100,8000000057,000030,MAT000082,498,ST,11414.16,1100
100,8000000058,000010,MAT000174,467,ST,8896.35,1000
100,8000000058,000020,MAT000310,3054,ST,8459.58,1000
100,8000000059,000010,MAT000065,2017,ST,6676.27,1200
100,8000000059,000020,MAT000108,4330,ST,77593.6,1100
100,8000000060,000010,MAT000117,501,ST,11127.21,1000
100,8000000060,000020,MAT000310,3731,ST,54174.12,1100
100,8000000061,000010,MAT000402,3102,ST,75936.96,1000
100,8000000061,000020,MAT000282,1514,ST,31536.62,1200
100,8000000061,000030,MAT000221,3328,ST,69688.32,1000
100,8000000061,000040,MAT000153,2221,ST,8995.05,1000
100,8000000061,000050,MAT000008,1972,ST,16032.36,1200
100,8000000062,000010,MAT000009,1978,ST,15487.74,1200
100,8000000062,000020,MAT000357,384,ST,1009.92,1000
100,8000000063,000010,MAT000282,2925,ST,71340.75,1200
100,8000000064,000010,MAT000113,204,ST,3121.2,1100
100,8000000064,000020,MAT000206,1330,ST,6729.8,1100
100,8000000064,000030,MAT000176,1776,ST,36372.48,1200
100,8000000064,000040,MAT000372,4239,ST,105211.98,1200
100,8000000065,000010,MAT000312,337,ST,7558.91,1200
100,8000000065,000020,MAT000471,624,ST,14982.24,1200
100,8000000066,000010,MAT000343,2579,ST,14158.71,1100
100,8000000066,000020,MAT000258,740,ST,2345.8,1200
100,8000000067,000010,MAT000093,4669,ST,60556.93,1100
100,8000000067,000020,MAT000100,3621,ST,36644.52,1200
100,8000000067,000030,MAT000375,3697,ST,28392.96,1200
100,8000000067,000040,MAT000181,4604,ST,7780.76,1000
100,8000000068,000010,MAT000070,2868,ST,35706.6,1200
100,8000000068,000020,MAT000066,1486,ST,27788.2,1100
100,8000000068,000030,MAT000222,2815,ST,70149.8,1100
100,8000000068,000040,MAT000200,3733,ST,8959.2,1000
100,8000000069,000010,MAT000016,2971,ST,59568.55,1100
100,8000000069,000020,MAT000310,2220,ST,16472.4,1000
100,8000000069,000030,MAT000065,2453,ST,54039.59,1100
100,8000000070,000010,MAT000311,2811,ST,67857.54,1100
100,8000000071,000010,MAT000124,3588,ST,35305.92,1200
100,8000000071,000020,MAT000453,1636,ST,5447.88,1200
100,8000000071,000030,MAT000222,126,ST,635.04,1100
100,8000000072,000010,MAT000001,3700,ST,87579.0,1000
100,8000000072,000020,MAT000010,1800,ST,34236.0,1000
100,8000000073,000010,MAT000152,4735,ST,113355.9,1100
100,8000000073,000020,MAT000372,1031,ST,18485.83,1200
100,8000000074,000010,MAT000239,938,ST,21827.26,1100
100,8000000074,000020,MAT000124,4456,ST,52313.44,1100
100,8000000074,000030,MAT000075,727,ST,14859.88,1000
100,8000000074,000040,MAT000297,859,ST,11313.03,1200
100,8000000074,000050,MAT000431,277,ST,4761.63,1100
100,8000000075,000010,MAT000093,2882,ST,69859.68,1100
100,8000000075,000020,MAT000289,72,ST,1697.76,1000
100,8000000075,000030,MAT000194,2528,ST,53593.6,1100
100,8000000075,000040,MAT000009,137,ST,290.44,1100
100,8000000076,000010,MAT000179,4562,ST,111221.56,1000
100,8000000076,000020,MAT000428,3525,ST,15968.25,1200
100,8000000076,000030,MAT000222,4247,ST,22169.34,1000
100,8000000076,000040,MAT000086,4736,ST,94388.48,1200
100,8000000076,000050,MAT000231,1679,ST,6195.51,1000
100,8000000077,000010,MAT000065,4694,ST,49240.06,1200
100,8000000077,000020,MAT000261,1538,ST,10965.94,1000
100,8000000077,000030,MAT000274,2143,ST,36409.57,1100
100,8000000078,000010,MAT000453,1015,ST,4080.3,1100
100,8000000079,000010,MAT000365,189,ST,2120.58,1100
100,8000000079,000020,MAT000221,3703,ST,75911.5,1000
100,8000000080,000010,MAT000086,2818,ST,70027.3,1100
100,8000000080,000020,MAT000191,1006,ST,6066.18,1000
100,8000000080,000030,MAT000117,1781,ST,38950.47,1000
100,8000000080,000040,MAT000066,1046,ST,8148.34,1100
100,8000000081,000010,MAT000367,3582,ST,48536.1,1100
100,8000000081,000020,MAT000200,3228,ST,12653.76,1200
100,8000000082,000010,MAT000310,4895,ST,93298.7,1100
100,8000000082,000020,MAT000426,2901,ST,29851.29,1200
100,8000000082,000030,MAT000376,2083,ST,31849.07,1100
100,8000000082,000040,MAT000148,2653,ST,30748.27,1000
100,8000000083,000010,MAT000093,88,ST,791.12,1000
100,8000000083,000020,MAT000231,1915,ST,28150.5,1100
100,8000000083,000030,MAT000077,4605,ST,36978.15,1200
100,8000000084,000010,MAT000154,1624,ST,4336.08,1100
100,8000000084,000020,MAT000086,1026,ST,12455.64,1200
100,8000000084,000030,MAT000006,2345,ST,4502.4,1200
100,8000000084,000040,MAT000293,313,ST,7058.15,1200
100,8000000085,000010,MAT000199,2608,ST,50099.68,1100
100,8000000085,000020,MAT000474,395,ST,4242.3,1200
100,8000000085,000030,MAT000093,3073,ST,72338.42,1000
100,8000000086,000010,MAT000315,1864,ST,10252.0,1000
100,8000000086,000020,MAT000002,440,ST,3344.0,1000
100,8000000086,000030,MAT000194,2707,ST,47832.69,1100
100,8000000086,000040,MAT000433,3784,ST,16346.88,1100
100,8000000087,000010,MAT000402,4332,ST,30973.8,1100
100,8000000087,000020,MAT000357,1860,ST,6807.6,1100
100,8000000087,000030,MAT000181,1696,ST,30239.68,1000
100,8000000088,000010,MAT000077,2798,ST,17907.2,1200
100,8000000089,000010,MAT000375,875,ST,20107.5,1000
100,8000000089,000020,MAT000487,4216,ST,26434.32,1100
100,8000000089,000030,MAT000219,4738,ST,79314.12,1000
100,8000000090,000010,MAT000008,3911,ST,66682.55,1100
100,8000000091,000010,MAT000289,4123,ST,47909.26,1100
100,8000000091,000020,MAT000013,3143,ST,58774.1,1100
100,8000000092,000010,MAT000383,3561,ST,14493.27,1000
100,8000000092,000020,MAT000014,302,ST,4536.04,1000
100,8000000092,000030,MAT000487,3324,ST,35600.04,1000
100,8000000093,000010,MAT000166,2857,ST,47054.79,1200
100,8000000094,000010,MAT000219,1964,ST,10802.0,1200
100,8000000094,000020,MAT000343,1171,ST,28232.81,1200
100,8000000095,000010,MAT000003,4876,ST,47687.28,1100
100,8000000095,000020,MAT000352,906,ST,2319.36,1000
100,8000000095,000030,MAT000175,4313,ST,57449.16,1000
100,8000000096,000010,MAT000414,2118,ST,36196.62,1100
100,8000000096,000020,MAT000216,2743,ST,61580.35,1200
100,8000000096,000030,MAT000006,1221,ST,29914.5,1000
100,8000000097,000010,MAT000069,1597,ST,36954.58,1100
100,8000000097,000020,MAT000414,3690,ST,91143.0,1200
100,8000000098,000010,MAT000199,2543,ST,15207.14,1200
100,8000000098,000020,MAT000093,3560,ST,71876.4,1200
100,8000000099,000010,MAT000113,4295,ST,104024.9,1200
100,8000000099,000020,MAT000205,539,ST,10936.31,1000
100,8000000100,000010,MAT000002,3535,ST,34572.3,1000
100,8000000100,000020,MAT000201,4122,ST,70651.08,1200
100,8000000101,000010,MAT000065,2392,ST,15882.88,1100
100,8000000101,000020,MAT000280,3471,ST,37764.48,1000
100,8000000101,000030,MAT000143,4629,ST,54344.46,1100
100,8000000102,000010,MAT000216,2508,ST,8803.08,1200
100,8000000102,000020,MAT000315,796,ST,3788.96,1100
100,8000000102,000030,MAT000261,3846,ST,37767.72,1100
100,8000000103,000010,MAT000108,2487,ST,49715.13,1200
100,8000000103,000020,MAT000422,2413,ST,6659.88,1100
100,8000000104,000010,MAT000197,886,ST,8275.24,1000
100,8000000105,000010,MAT000376,444,ST,7987.56,1200
100,8000000105,000020,MAT000104,1841,ST,41477.73,1200
100,8000000105,000030,MAT000002,3982,ST,64349.12,1000
100,8000000106,000010,MAT000077,3890,ST,8091.2,1200
100,8000000106,000020,MAT000213,3324,ST,42779.88,1000
100,8000000107,000010,MAT000483,1019,ST,11881.54,1200
100,8000000107,000020,MAT000179,1408,ST,19036.16,1200
100,8000000107,000030,MAT000206,829,ST,19929.16,1100
100,8000000107,000040,MAT000080,3810,ST,43053.0,1100
100,8000000108,000010,MAT000009,3651,ST,9127.5,1100
100,8000000108,000020,MAT000199,84,ST,2063.88,1100
100,8000000108,000030,MAT000255,4311,ST,46041.48,1000
100,8000000109,000010,MAT000108,2290,ST,45685.5,1200
100,8000000109,000020,MAT000357,3094,ST,74627.28,1200
100,8000000110,000010,MAT000231,4833,ST,115750.35,1100
100,8000000111,000010,MAT000071,880,ST,11651.2,1200
100,8000000112,000010,MAT000143,3156,ST,60784.56,1100
100,8000000112,000020,MAT000010,607,ST,7211.16,1100
100,8000000112,000030,MAT000341,3103,ST,14366.89,1200
100,8000000112,000040,MAT000365,3594,ST,62715.3,1000
100,8000000113,000010,MAT000499,798,ST,5011.44,1000
100,8000000113,000020,MAT000414,599,ST,5696.49,1200
100,8000000113,000030,MAT000427,3890,ST,51620.3,1100
100,8000000114,000010,MAT000019,4672,ST,15604.48,1200
100,8000000114,000020,MAT000014,4937,ST,70105.4,1000
100,8000000115,000010,MAT000122,2369,ST,7722.94,1200
100,8000000115,000020,MAT000372,2567,ST,27928.96,1000
100,8000000116,000010,MAT000242,3462,ST,26415.06,1100
100,8000000117,000010,MAT000016,1940,ST,25414.0,1200
100,8000000117,000020,MAT000301,4910,ST,92651.7,1000
100,8000000117,000030,MAT000011,862,ST,2017.08,1200
100,8000000118,000010,MAT000007,1617,ST,22718.85,1100
100,8000000118,000020,MAT000274,1035,ST,12006.0,1100
100,8000000118,000030,MAT000483,3022,ST,29524.94,1100
100,8000000118,000040,MAT000070,4831,ST,8405.94,1100
100,8000000119,000010,MAT000095,3602,ST,20675.48,1000
100,8000000120,000010,MAT000355,1012,ST,17133.16,1000
100,8000000120,000020,MAT000261,1814,ST,21622.88,1100
100,8000000120,000030,MAT000181,4325,ST,97226.0,1100
100,8000000121,000010,MAT000065,1677,ST,38453.61,1200
100,8000000121,000020,MAT000093,3060,ST,56732.4,1000
100,8000000122,000010,MAT000009,2224,ST,17858.72,1100
100,8000000123,000010,MAT000275,3161,ST,37710.73,1000
100,8000000123,000020,MAT000411,438,ST,7454.76,1000
100,8000000124,000010,MAT000451,1783,ST,34411.9,1100
100,8000000124,000020,MAT000015,904,ST,13108.0,1200
100,8000000124,000030,MAT000345,3482,ST,52090.72,1200
100,8000000124,000040,MAT000347,1961,ST,9020.6,1000
100,8000000125,000010,MAT000242,4688,ST,50489.76,1200
100,8000000125,000020,MAT000471,111,ST,490.62,1200
100,8000000126,000010,MAT000347,313,ST,7574.6,1100
100,8000000126,000020,MAT000065,2274,ST,51346.92,1200
100,8000000127,000010,MAT000095,1873,ST,30548.63,1000
100,8000000127,000020,MAT000150,4161,ST,90376.92,1200
100,8000000127,000030,MAT000016,2132,ST,52063.44,1000
100,8000000127,000040,MAT000178,2874,ST,11697.18,1200
100,8000000128,000010,MAT000301,594,ST,9848.52,1100
100,8000000128,000020,MAT000262,2754,ST,67225.14,1200
100,8000000129,000010,MAT000206,1239,ST,28410.27,1000
100,8000000129,000020,MAT000376,4173,ST,83084.43,1200
100,8000000130,000010,MAT000275,652,ST,15615.4,1000
100,8000000130,000020,MAT000416,3434,ST,48659.78,1000
100,8000000130,000030,MAT000403,4272,ST,50665.92,1100
100,8000000131,000010,MAT000262,1901,ST,23211.21,1200
100,8000000131,000020,MAT000294,2974,ST,10022.38,1200
100,8000000131,000030,MAT000357,4967,ST,34321.97,1100
100,8000000132,000010,MAT000294,4800,ST,82320.0,1200
100,8000000132,000020,MAT000086,677,ST,7514.7,1200
100,8000000132,000030,MAT000154,1483,ST,32774.3,1000
100,8000000133,000010,MAT000095,289,ST,6097.9,1000
100,8000000133,000020,MAT000404,3189,ST,72549.75,1100
100,8000000133,000030,MAT000211,985,ST,9268.85,1100
100,8000000134,000010,MAT000258,3687,ST,84432.3,1200
100,8000000134,000020,MAT000355,1112,ST,20838.88,1200
100,8000000134,000030,MAT000066,1257,ST,28345.35,1200
100,8000000135,000010,MAT000440,2298,ST,54462.6,1000
100,8000000136,000010,MAT000311,2346,ST,21325.14,1100
100,8000000136,000020,MAT000167,3536,ST,48443.2,1200
100,8000000136,000030,MAT000086,2368,ST,18801.92,1100
100,8000000137,000010,MAT000176,2292,ST,11024.52,1000
100,8000000138,000010,MAT000413,4416,ST,89556.48,1000
100,8000000138,000020,MAT000166,2318,ST,54774.34,1200
100,8000000138,000030,MAT000343,2426,ST,55967.82,1200
100,8000000138,000040,MAT000194,721,ST,15732.22,1100
100,8000000138,000050,MAT000173,619,ST,5688.61,1200
100,8000000139,000010,MAT000221,324,ST,3784.32,1200
100,8000000140,000010,MAT000497,75,ST,546.0,1200
100,8000000140,000020,MAT000154,2183,ST,27396.65,1100
100,8000000140,000030,MAT000154,736,ST,17546.24,1200
100,8000000140,000040,MAT000419,1718,ST,31233.24,1000
100,8000000141,000010,MAT000357,4355,ST,73773.7,1000
100,8000000141,000020,MAT000358,4025,ST,81385.5,1100
100,8000000141,000030,MAT000173,930,ST,22440.9,1100
100,8000000142,000010,MAT000222,940,ST,9089.8,1100
100,8000000143,000010,MAT000008,2393,ST,18665.4,1000
100,8000000143,000020,MAT000192,2611,ST,29138.76,1100
100,8000000143,000030,MAT000195,3987,ST,74198.07,1100
100,8000000144,000010,MAT000497,913,ST,21711.14,1200
100,8000000144,000020,MAT000006,3116,ST,11279.92,1200
100,8000000145,000010,MAT000167,2976,ST,41902.08,1000
100,8000000146,000010,MAT000171,4539,ST,85015.47,1000
100,8000000146,000020,MAT000403,849,ST,11283.21,1100
100,8000000147,000010,MAT000009,2241,ST,42847.92,1100
100,8000000147,000020,MAT000197,705,ST,2326.5,1200
100,8000000147,000030,MAT000413,4965,ST,114691.5,1000
100,8000000148,000010,MAT000006,2485,ST,19730.9,1000
100,8000000148,000020,MAT000352,3094,ST,25803.96,1000
100,8000000149,000010,MAT000181,3142,ST,5969.8,1100
100,8000000149,000020,MAT000080,3714,ST,25143.78,1000
100,8000000150,000010,MAT000239,1187,ST,24369.11,1000
100,8000000150,000020,MAT000365,4871,ST,35899.27,1000
100,8000000150,000030,MAT000426,1914,ST,5512.32,1100
100,8000000151,000010,MAT000465,3340,ST,73413.2,1100
100,8000000151,000020,MAT000414,4104,ST,36361.44,1200
100,8000000151,000030,MAT000379,4554,ST,98730.72,1200
100,8000000152,000010,MAT000124,4269,ST,81452.52,1000
100,8000000152,000020,MAT000010,3484,ST,45779.76,1200
100,8000000152,000030,MAT000416,3435,ST,37407.15,1100
100,8000000153,000010,MAT000272,4628,ST,77657.84,1000
100,8000000153,000020,MAT000483,3051,ST,41829.21,1100
100,8000000154,000010,MAT000354,90,ST,807.3,1000
100,8000000154,000020,MAT000002,2564,ST,46100.72,1000
100,8000000155,000010,MAT000018,2880,ST,47376.0,1000
100,8000000155,000020,MAT000199,2338,ST,48607.02,1100
100,8000000155,000030,MAT000293,2096,ST,30790.24,1200
100,8000000156,000010,MAT000422,848,ST,3799.04,1200
100,8000000157,000010,MAT000483,3888,ST,24960.96,1000
100,8000000157,000020,MAT000483,1210,ST,5892.7,1100
100,8000000158,000010,MAT000310,3874,ST,35602.06,1200
100,8000000158,000020,MAT000280,3896,ST,38336.64,1200
100,8000000158,000030,MAT000168,1370,ST,32496.4,1100
100,8000000158,000040,MAT000365,2062,ST,36311.82,1200
100,8000000159,000010,MAT000310,1761,ST,28176.0,1000
100,8000000159,000020,MAT000003,1614,ST,19190.46,1200
100,8000000159,000030,MAT000071,3031,ST,69773.62,1200
100,8000000160,000010,MAT000189,2256,ST,36524.64,1200
100,8000000160,000020,MAT000471,3733,ST,48603.66,1100
100,8000000161,000010,MAT000144,1088,ST,3753.6,1000
100,8000000162,000010,MAT000153,146,ST,1360.72,1200
100,8000000162,000020,MAT000440,3010,ST,41026.3,1200
100,8000000163,000010,MAT000372,1218,ST,22691.34,1000
100,8000000163,000020,MAT000154,4150,ST,46148.0,1200
100,8000000163,000030,MAT000086,2807,ST,34975.22,1200
100,8000000163,000040,MAT000083,751,ST,4348.29,1000
100,8000000164,000010,MAT000272,3781,ST,12893.21,1200
100,8000000164,000020,MAT000152,1097,ST,9653.6,1100
100,8000000165,000010,MAT000197,1642,ST,9293.72,1100
100,8000000165,000020,MAT000365,2919,ST,44076.9,1100
100,8000000165,000030,MAT000135,310,ST,7384.2,1200
100,8000000165,000040,MAT000315,2851,ST,47554.68,1200
100,8000000166,000010,MAT000070,4214,ST,82931.52,1100
100,8000000166,000020,MAT000083,4245,ST,72037.65,1000
100,8000000166,000030,MAT000272,4628,ST,48038.64,1200
100,8000000167,000010,MAT000239,2768,ST,46308.64,1000
100,8000000167,000020,MAT000347,4489,ST,26350.43,1000
100,8000000168,000010,MAT000354,2005,ST,14917.2,1100
100,8000000168,000020,MAT000011,1929,ST,37480.47,1200
100,8000000168,000030,MAT000428,3292,ST,50828.48,1000
100,8000000169,000010,MAT000426,1153,ST,5246.15,1100
100,8000000170,000010,MAT000344,16,ST,271.68,1000
100,8000000170,000020,MAT000178,1675,ST,19698.0,1200
100,8000000171,000010,MAT000075,3866,ST,55747.72,1100
100,8000000172,000010,MAT000071,3185,ST,14396.2,1000
100,8000000172,000020,MAT000310,4900,ST,52724.0,1000
100,8000000172,000030,MAT000440,230,ST,1543.3,1200
100,8000000173,000010,MAT000289,642,ST,10702.14,1000
100,8000000173,000020,MAT000315,770,ST,7299.6,1200
100,8000000173,000030,MAT000281,3947,ST,9157.04,1100
100,8000000174,000010,MAT000075,3323,ST,67722.74,1000
100,8000000174,000020,MAT000280,3734,ST,6609.18,1200
100,8000000175,000010,MAT000468,3698,ST,49183.4,1100
100,8000000175,000020,MAT000082,1475,ST,36211.25,1200
100,8000000175,000030,MAT000002,2771,ST,65894.38,1200
100,8000000176,000010,MAT000201,336,ST,1464.96,1100
100,8000000177,000010,MAT000211,202,ST,2878.5,1000
100,8000000177,000020,MAT000235,2448,ST,40269.6,1200
100,8000000178,000010,MAT000411,784,ST,3496.64,1000
100,8000000179,000010,MAT000403,4671,ST,57313.17,1000
100,8000000179,000020,MAT000075,3138,ST,42519.9,1200
100,8000000180,000010,MAT000191,659,ST,13951.03,1100
100,8000000181,000010,MAT000181,410,ST,4218.9,1100
100,8000000181,000020,MAT000150,2277,ST,30261.33,1000
100,8000000182,000010,MAT000301,1073,ST,8541.08,1100
100,8000000182,000020,MAT000235,1820,ST,5460.0,1100
100,8000000183,000010,MAT000419,112,ST,1070.72,1100
100,8000000183,000020,MAT000371,1735,ST,24307.35,1000
100,8000000184,000010,MAT000250,690,ST,4402.2,1200
100,8000000184,000020,MAT000341,3838,ST,8405.22,1200
100,8000000185,000010,MAT000201,4568,ST,86746.32,1000
100,8000000186,000010,MAT000168,916,ST,13657.56,1000
100,8000000186,000020,MAT000290,4516,ST,50127.6,1000
100,8000000187,000010,MAT000500,2613,ST,34752.9,1200
100,8000000187,000020,MAT000345,2355,ST,49243.05,1100
100,8000000187,000030,MAT000205,37,ST,518.74,1100
100,8000000188,000010,MAT000304,3371,ST,20023.74,1000
100,8000000188,000020,MAT000065,4921,ST,73372.11,1100
100,8000000188,000030,MAT000426,3875,ST,68122.5,1100
100,8000000189,000010,MAT000153,1332,ST,16330.32,1200
100,8000000189,000020,MAT000159,2653,ST,12256.86,1000
100,8000000190,000010,MAT000179,1458,ST,35516.88,1200
100,8000000190,000020,MAT000122,2015,ST,24905.4,1000
100,8000000191,000010,MAT000019,3426,ST,82224.0,1200
100,8000000191,000020,MAT000411,204,ST,2409.24,1200
100,8000000191,000030,MAT000011,2986,ST,32517.54,1200
100,8000000191,000040,MAT000111,2160,ST,41709.6,1200
100,8000000192,000010,MAT000357,1731,ST,13363.32,1100
100,8000000192,000020,MAT000181,2139,ST,20427.45,1200
100,8000000192,000030,MAT000192,4664,ST,37172.08,1000
100,8000000192,000040,MAT000173,3048,ST,44927.52,1200
100,8000000193,000010,MAT000324,2425,ST,12440.25,1200
