MANDT,TKNUM,TSNUM,TSRFO,KNESSION
100,0000000066,0002,0002,LOC002
100,0000000067,0001,0001,LOC001
100,0000000067,0002,0002,LOC002
100,0000000068,0001,0001,LOC001
100,0000000068,0002,0002,LOC002
100,0000000069,0001,0001,LOC001
100,0000000069,0002,0002,LOC002
100,0000000070,0001,0001,LOC001
100,0000000070,0002,0002,LOC002
100,0000000071,0001,0001,LOC001
100,0000000071,0002,0002,LOC002
100,0000000072,0001,0001,LOC001
100,0000000072,0002,0002,LOC002
100,0000000073,0001,0001,LOC001
100,0000000073,0002,0002,LOC002
100,0000000074,0001,0001,LOC001
100,0000000074,0002,0002,LOC002
100,0000000075,0001,0001,LOC001
100,0000000075,0002,0002,LOC002
100,0000000076,0001,0001,LOC001
100,0000000076,0002,0002,LOC002
100,0000000077,0001,0001,LOC001
100,0000000077,0002,0002,LOC002
100,0000000078,0001,0001,LOC001
100,0000000078,0002,0002,LOC002
100,0000000079,0001,0001,LOC001
100,0000000079,0002,0002,LOC002
100,0000000080,0001,0001,LOC001
100,0000000080,0002,0002,LOC002
100,0000000081,0001,0001,LOC001
100,0000000081,0002,0002,LOC002
100,0000000082,0001,0001,LOC001
100,0000000082,0002,0002,LOC002
100,0000000083,0001,0001,LOC001
100,0000000083,0002,0002,LOC002
100,0000000084,0001,0001,LOC001
100,0000000084,0002,0002,LOC002
100,0000000085,0001,0001,LOC001
100,0000000085,0002,0002,LOC002
100,0000000086,0001,0001,LOC001
100,0000000086,0002,0002,LOC002
100,0000000087,0001,0001,LOC001
100,0000000087,0002,0002,LOC002
100,0000000088,0001,0001,LOC001
100,0000000088,0002,0002,LOC002
100,0000000089,0001,0001,LOC001
100,0000000089,0002,0002,LOC002
100,0000000090,0001,0001,LOC001
100,0000000090,0002,0002,LOC002
100,0000000091,0001,0001,LOC001
100,0000000091,0002,0002,LOC002
100,0000000092,0001,0001,LOC001
100,0000000092,0002,0002,LOC002
100,0000000093,0001,0001,LOC001
100,0000000093,0002,0002,LOC002
100,0000000094,0001,0001,LOC001
100,0000000094,0002,0002,LOC002
100,0000000095,0001,0001,LOC001
100,0000000095,0002,0002,LOC002
100,0000000096,0001,0001,LOC001
100,0000000096,0002,0002,LOC002
100,0000000097,0001,0001,LOC001
100,0000000097,0002,0002,LOC002
100,0000000098,0001,0001,LOC001
100,0000000098,0002,0002,LOC002
100,0000000099,0001,0001,LOC001
100,0000000099,0002,0002,LOC002
100,0000000100,0001,0001,LOC001
100,0000000100,0002,0002,LOC002
100,0000000101,0001,0001,LOC001
100,0000000101,0002,0002,LOC002
100,0000000102,0001,0001,LOC001
100,0000000102,0002,0002,LOC002
100,0000000103,0001,0001,LOC001
100,0000000103,0002,0002,LOC002
100,0000000104,0001,0001,LOC001
100,0000000104,0002,0002,LOC002
100,0000000105,0001,0001,LOC001
100,0000000105,0002,0002,LOC002
100,0000000106,0001,0001,LOC001
100,0000000106,0002,0002,LOC002
100,0000000107,0001,0001,LOC001
100,0000000107,0002,0002,LOC002
100,0000000108,0001,0001,LOC001
100,0000000108,0002,0002,LOC002
100,0000000109,0001,0001,LOC001
100,0000000109,0002,0002,LOC002
100,0000000110,0001,0001,LOC001
100,0000000110,0002,0002,LOC002
100,0000000111,0001,0001,LOC001
100,0000000111,0002,0002,LOC002
100,0000000112,0001,0001,LOC001
100,0000000112,0002,0002,LOC002
100,0000000113,0001,0001,LOC001
100,0000000113,0002,0002,LOC002
100,0000000114,0001,0001,LOC001
100,0000000114,0002,0002,LOC002
100,0000000115,0001,0001,LOC001
100,0000000115,0002,0002,LOC002
100,0000000116,0001,0001,LOC001
100,0000000116,0002,0002,LOC002
100,0000000117,0001,0001,LOC001
100,0000000117,0002,0002,LOC002
100,0000000118,0001,0001,LOC001
100,0000000118,0002,0002,LOC002
100,0000000119,0001,0001,LOC001
100,0000000119,0002,0002,LOC002
100,0000000120,0001,0001,LOC001
100,0000000120,0002,0002,LOC002
100,0000000121,0001,0001,LOC001
100,0000000121,0002,0002,LOC002
100,0000000122,0001,0001,LOC001
100,0000000122,0002,0002,LOC002
100,0000000123,0001,0001,LOC001
100,0000000123,0002,0002,LOC002
100,0000000124,0001,0001,LOC001
100,0000000124,0002,0002,LOC002
100,0000000125,0001,0001,LOC001
100,0000000125,0002,0002,LOC002
100,0000000126,0001,0001,LOC001
100,0000000126,0002,0002,LOC002
100,0000000127,0001,0001,LOC001
100,0000000127,0002,0002,LOC002
100,0000000128,0001,0001,LOC001
100,0000000128,0002,0002,LOC002
100,0000000129,0001,0001,LOC001
100,0000000129,0002,0002,LOC002
100,0000000130,0001,0001,LOC001
100,0000000130,0002,0002,LOC002
100,0000000131,0001,0001,LOC001
100,0000000131,0002,0002,LOC002
100,0000000132,0001,0001,LOC001
100,0000000132,0002,0002,LOC002
100,0000000133,0001,0001,LOC001
100,0000000133,0002,0002,LOC002
100,0000000134,0001,0001,LOC001
100,0000000134,0002,0002,LOC002
100,0000000135,0001,0001,LOC001
100,0000000135,0002,0002,LOC002
100,0000000136,0001,0001,LOC001
100,0000000136,0002,0002,LOC002
100,0000000137,0001,0001,LOC001
100,0000000137,0002,0002,LOC002
100,0000000138,0001,0001,LOC001
100,0000000138,0002,0002,LOC002
100,0000000139,0001,0001,LOC001
100,0000000139,0002,0002,LOC002
100,0000000140,0001,0001,LOC001
100,0000000140,0002,0002,LOC002
100,0000000141,0001,0001,LOC001
100,0000000141,0002,0002,LOC002
100,0000000142,0001,0001,LOC001
100,0000000142,0002,0002,LOC002
100,0000000143,0001,0001,LOC001
100,0000000143,0002,0002,LOC002
100,0000000144,0001,0001,LOC001
100,0000000144,0002,0002,LOC002
100,0000000145,0001,0001,LOC001
100,0000000145,0002,0002,LOC002
100,0000000146,0001,0001,LOC001
100,0000000146,0002,0002,LOC002
100,0000000147,0001,0001,LOC001
100,0000000147,0002,0002,LOC002
100,0000000148,0001,0001,LOC001
100,0000000148,0002,0002,LOC002
100,0000000149,0001,0001,LOC001
100,0000000149,0002,0002,LOC002
100,0000000150,0001,0001,LOC001
100,0000000150,0002,0002,LOC002
100,0000000151,0001,0001,LOC001
100,0000000151,0002,0002,LOC002
100,0000000152,0001,0001,LOC001
100,0000000152,0002,0002,LOC002
100,0000000153,0001,0001,LOC001
100,0000000153,0002,0002,LOC002
100,0000000154,0001,0001,LOC001
100,0000000154,0002,0002,LOC002
100,0000000155,0001,0001,LOC001
100,0000000155,0002,0002,LOC002
100,0000000156,0001,0001,LOC001
100,0000000156,0002,0002,LOC002
100,0000000157,0001,0001,LOC001
100,0000000157,0002,0002,LOC002
100,0000000158,0001,0001,LOC001
100,0000000158,0002,0002,LOC002
100,0000000159,0001,0001,LOC001
100,0000000159,0002,0002,LOC002
100,0000000160,0001,0001,LOC001
100,0000000160,0002,0002,LOC002
100,0000000161,0001,0001,LOC001
100,0000000161,0002,0002,LOC002
100,0000000162,0001,0001,LOC001
100,0000000162,0002,0002,LOC002
100,0000000163,0001,0001,LOC001
100,0000000163,0002,0002,LOC002
100,0000000164,0001,0001,LOC001
100,0000000164,0002,0002,LOC002
100,0000000165,0001,0001,LOC001
100,0000000165,0002,0002,LOC002
100,0000000166,0001,0001,LOC001
100,0000000166,0002,0002,LOC002
100,0000000167,0001,0001,LOC001
100,0000000167,0002,0002,LOC002
100,0000000168,0001,0001,LOC001
100,0000000168,0002,0002,LOC002
100,0000000169,0001,0001,LOC001
100,0000000169,0002,0002,LOC002
100,0000000170,0001,0001,LOC001
100,0000000170,0002,0002,LOC002
100,0000000171,0001,0001,LOC001
100,0000000171,0002,0002,LOC002
100,0000000172,0001,0001,LOC001
100,0000000172,0002,0002,LOC002
100,0000000173,0001,0001,LOC001
100,0000000173,0002,0002,LOC002
100,0000000174,0001,0001,LOC001
100,0000000174,0002,0002,LOC002
100,0000000175,0001,0001,LOC001
100,0000000175,0002,0002,LOC002
100,0000000176,0001,0001,LOC001
100,0000000176,0002,0002,LOC002
100,0000000177,0001,0001,LOC001
100,0000000177,0002,0002,LOC002
100,0000000178,0001,0001,LOC001
100,0000000178,0002,0002,LOC002
100,0000000179,0001,0001,LOC001
100,0000000179,0002,0002,LOC002
100,0000000180,0001,0001,LOC001
100,0000000180,0002,0002,LOC002
100,0000000181,0001,0001,LOC001
100,0000000181,0002,0002,LOC002
100,0000000182,0001,0001,LOC001
100,0000000182,0002,0002,LOC002
100,0000000183,0001,0001,LOC001
100,0000000183,0002,0002,LOC002
100,0000000184,0001,0001,LOC001
100,0000000184,0002,0002,LOC002
100,0000000185,0001,0001,LOC001
100,0000000185,0002,0002,LOC002
100,0000000186,0001,0001,LOC001
100,0000000186,0002,0002,LOC002
100,0000000187,0001,0001,LOC001
100,0000000187,0002,0002,LOC002
100,0000000188,0001,0001,LOC001
100,0000000188,0002,0002,LOC002
100,0000000189,0001,0001,LOC001
100,0000000189,0002,0002,LOC002
100,0000000190,0001,0001,LOC001
100,0000000190,0002,0002,LOC002
100,0000000191,0001,0001,LOC001
100,0000000191,0002,0002,LOC002
100,0000000192,0001,0001,LOC001
100,0000000192,0002,0002,LOC002
100,0000000193,0001,0001,LOC001
100,0000000193,0002,0002,LOC002
100,0000000194,0001,0001,LOC001
100,0000000194,0002,0002,LOC002
100,0000000195,0001,0001,LOC001
100,0000000195,0002,0002,LOC002
100,0000000196,0001,0001,LOC001
100,0000000196,0002,0002,LOC002
100,0000000197,0001,0001,LOC001
100,0000000197,0002,0002,LOC002
100,0000000198,0001,0001,LOC001
100,0000000198,0002,0002,LOC002
100,0000000199,0001,0001,LOC001
100,0000000199,0002,0002,LOC002
100,0000000200,0001,0001,LOC001
100,0000000200,0002,0002,LOC002
100,0000000201,0001,0001,LOC001
100,0000000201,0002,0002,LOC002
100,0000000202,0001,0001,LOC001
100,0000000202,0002,0002,LOC002
100,0000000203,0001,0001,LOC001
100,0000000203,0002,0002,LOC002
100,0000000204,0001,0001,LOC001
100,0000000204,0002,0002,LOC002
100,0000000205,0001,0001,LOC001
100,0000000205,0002,0002,LOC002
100,0000000206,0001,0001,LOC001
100,0000000206,0002,0002,LOC002
100,0000000207,0001,0001,LOC001
100,0000000207,0002,0002,LOC002
100,0000000208,0001,0001,LOC001
100,0000000208,0002,0002,LOC002
100,0000000209,0001,0001,LOC001
100,0000000209,0002,0002,LOC002
100,0000000210,0001,0001,LOC001
100,0000000210,0002,0002,LOC002
100,0000000211,0001,0001,LOC001
100,0000000211,0002,0002,LOC002
100,0000000212,0001,0001,LOC001
100,0000000212,0002,0002,LOC002
100,0000000213,0001,0001,LOC001
100,0000000213,0002,0002,LOC002
100,0000000214,0001,0001,LOC001
100,0000000214,0002,0002,LOC002
100,0000000215,0001,0001,LOC001
100,0000000215,0002,0002,LOC002
100,0000000216,0001,0001,LOC001
100,0000000216,0002,0002,LOC002
100,0000000217,0001,0001,LOC001
100,0000000217,0002,0002,LOC002
100,0000000218,0001,0001,LOC001
100,0000000218,0002,0002,LOC002
100,0000000219,0001,0001,LOC001
100,0000000219,0002,0002,LOC002
100,0000000220,0001,0001,LOC001
100,0000000220,0002,0002,LOC002
100,0000000221,0001,0001,LOC001
100,0000000221,0002,0002,LOC002
100,0000000222,0001,0001,LOC001
100,0000000222,0002,0002,LOC002
100,0000000223,0001,0001,LOC001
100,0000000223,0002,0002,LOC002
100,0000000224,0001,0001,LOC001
100,0000000224,0002,0002,LOC002
100,0000000225,0001,0001,LOC001
100,0000000225,0002,0002,LOC002
100,0000000226,0001,0001,LOC001
100,0000000226,0002,0002,LOC002
100,0000000227,0001,0001,LOC001
100,0000000227,0002,0002,LOC002
100,0000000228,0001,0001,LOC001
100,0000000228,0002,0002,LOC002
100,0000000229,0001,0001,LOC001
100,0000000229,0002,0002,LOC002
100,0000000230,0001,0001,LOC001
100,0000000230,0002,0002,LOC002
100,0000000231,0001,0001,LOC001
100,0000000231,0002,0002,LOC002
100,0000000232,0001,0001,LOC001
100,0000000232,0002,0002,LOC002
100,0000000233,0001,0001,LOC001
100,0000000233,0002,0002,LOC002
100,0000000234,0001,0001,LOC001
100,0000000234,0002,0002,LOC002
100,0000000235,0001,0001,LOC001
100,0000000235,0002,0002,LOC002
100,0000000236,0001,0001,LOC001
100,0000000236,0002,0002,LOC002
100,0000000237,0001,0001,LOC001
100,0000000237,0002,0002,LOC002
100,0000000238,0001,0001,LOC001
100,0000000238,0002,0002,LOC002
100,0000000239,0001,0001,LOC001
100,0000000239,0002,0002,LOC002
100,0000000240,0001,0001,LOC001
100,0000000240,0002,0002,LOC002
100,0000000241,0001,0001,LOC001
100,0000000241,0002,0002,LOC002
100,0000000242,0001,0001,LOC001
100,0000000242,0002,0002,LOC002
100,0000000243,0001,0001,LOC001
100,0000000243,0002,0002,LOC002
100,0000000244,0001,0001,LOC001
100,0000000244,0002,0002,LOC002
100,0000000245,0001,0001,LOC001
100,0000000245,0002,0002,LOC002
100,0000000246,0001,0001,LOC001
100,0000000246,0002,0002,LOC002
100,0000000247,0001,0001,LOC001
100,0000000247,0002,0002,LOC002
100,0000000248,0001,0001,LOC001
100,0000000248,0002,0002,LOC002
100,0000000249,0001,0001,LOC001
100,0000000249,0002,0002,LOC002
100,0000000250,0001,0001,LOC001
100,0000000250,0002,0002,LOC002
100,0000000251,0001,0001,LOC001
100,0000000251,0002,0002,LOC002
100,0000000252,0001,0001,LOC001
100,0000000252,0002,0002,LOC002
100,0000000253,0001,0001,LOC001
100,0000000253,0002,0002,LOC002
100,0000000254,0001,0001,LOC001
100,0000000254,0002,0002,LOC002
100,0000000255,0001,0001,LOC001
100,0000000255,0002,0002,LOC002
100,0000000256,0001,0001,LOC001
100,0000000256,0002,0002,LOC002
100,0000000257,0001,0001,LOC001
100,0000000257,0002,0002,LOC002
100,0000000258,0001,0001,LOC001
100,0000000258,0002,0002,LOC002
100,0000000259,0001,0001,LOC001
100,0000000259,0002,0002,LOC002
100,0000000260,0001,0001,LOC001
100,0000000260,0002,0002,LOC002
100,0000000261,0001,0001,LOC001
100,0000000261,0002,0002,LOC002
100,0000000262,0001,0001,LOC001
100,0000000262,0002,0002,LOC002
100,0000000263,0001,0001,LOC001
100,0000000263,0002,0002,LOC002
100,0000000264,0001,0001,LOC001
100,0000000264,0002,0002,LOC002
100,0000000265,0001,0001,LOC001
100,0000000265,0002,0002,LOC002
100,0000000266,0001,0001,LOC001
100,0000000266,0002,0002,LOC002
100,0000000267,0001,0001,LOC001
100,0000000267,0002,0002,LOC002
100,0000000268,0001,0001,LOC001
100,0000000268,0002,0002,LOC002
100,0000000269,0001,0001,LOC001
100,0000000269,0002,0002,LOC002
100,0000000270,0001,0001,LOC001
100,0000000270,0002,0002,LOC002
100,0000000271,0001,0001,LOC001
100,0000000271,0002,0002,LOC002
100,0000000272,0001,0001,LOC001
100,0000000272,0002,0002,LOC002
100,0000000273,0001,0001,LOC001
100,0000000273,0002,0002,LOC002
100,0000000274,0001,0001,LOC001
100,0000000274,0002,0002,LOC002
100,0000000275,0001,0001,LOC001
100,0000000275,0002,0002,LOC002
100,0000000276,0001,0001,LOC001
100,0000000276,0002,0002,LOC002
100,0000000277,0001,0001,LOC001
100,0000000277,0002,0002,LOC002
100,0000000278,0001,0001,LOC001
100,0000000278,0002,0002,LOC002
100,0000000279,0001,0001,LOC001
100,0000000279,0002,0002,LOC002
100,0000000280,0001,0001,LOC001
100,0000000280,0002,0002,LOC002
100,0000000281,0001,0001,LOC001
100,0000000281,0002,0002,LOC002
100,0000000282,0001,0001,LOC001
100,0000000282,0002,0002,LOC002
100,0000000283,0001,0001,LOC001
100,0000000283,0002,0002,LOC002
100,0000000284,0001,0001,LOC001
100,0000000284,0002,0002,LOC002
100,0000000285,0001,0001,LOC001
100,0000000285,0002,0002,LOC002
100,0000000286,0001,0001,LOC001
100,0000000286,0002,0002,LOC002
100,0000000287,0001,0001,LOC001
100,0000000287,0002,0002,LOC002
100,0000000288,0001,0001,LOC001
100,0000000288,0002,0002,LOC002
100,0000000289,0001,0001,LOC001
100,0000000289,0002,0002,LOC002
100,0000000290,0001,0001,LOC001
100,0000000290,0002,0002,LOC002
100,0000000291,0001,0001,LOC001
100,0000000291,0002,0002,LOC002
100,0000000292,0001,0001,LOC001
100,0000000292,0002,0002,LOC002
100,0000000293,0001,0001,LOC001
100,0000000293,0002,0002,LOC002
100,0000000294,0001,0001,LOC001
100,0000000294,0002,0002,LOC002
100,0000000295,0001,0001,LOC001
100,0000000295,0002,0002,LOC002
100,0000000296,0001,0001,LOC001
100,0000000296,0002,0002,LOC002
100,0000000297,0001,0001,LOC001
100,0000000297,0002,0002,LOC002
100,0000000298,0001,0001,LOC001
100,0000000298,0002,0002,LOC002
100,0000000299,0001,0001,LOC001
100,0000000299,0002,0002,LOC002
100,0000000300,0001,0001,LOC001
100,0000000300,0002,0002,LOC002
100,0000000301,0001,0001,LOC001
100,0000000301,0002,0002,LOC002
100,0000000302,0001,0001,LOC001
100,0000000302,0002,0002,LOC002
100,0000000303,0001,0001,LOC001
100,0000000303,0002,0002,LOC002
100,0000000304,0001,0001,LOC001
100,0000000304,0002,0002,LOC002
100,0000000305,0001,0001,LOC001
100,0000000305,0002,0002,LOC002
100,0000000306,0001,0001,LOC001
100,0000000306,0002,0002,LOC002
100,0000000307,0001,0001,LOC001
100,0000000307,0002,0002,LOC002
100,0000000308,0001,0001,LOC001
100,0000000308,0002,0002,LOC002
100,0000000309,0001,0001,LOC001
100,0000000309,0002,0002,LOC002
100,0000000310,0001,0001,LOC001
100,0000000310,0002,0002,LOC002
100,0000000311,0001,0001,LOC001
100,0000000311,0002,0002,LOC002
100,0000000312,0001,0001,LOC001
100,0000000312,0002,0002,LOC002
100,0000000313,0001,0001,LOC001
100,0000000313,0002,0002,LOC002
100,0000000314,0001,0001,LOC001
100,0000000314,0002,0002,LOC002
100,0000000315,0001,0001,LOC001
100,0000000315,0002,0002,LOC002
100,0000000316,0001,0001,LOC001
100,0000000316,0002,0002,LOC002
100,0000000317,0001,0001,LOC001
100,0000000317,0002,0002,LOC002
100,0000000318,0001,0001,LOC001
100,0000000318,0002,0002,LOC002
100,0000000319,0001,0001,LOC001
100,0000000319,0002,0002,LOC002
100,0000000320,0001,0001,LOC001
100,0000000320,0002,0002,LOC002
100,0000000321,0001,0001,LOC001
100,0000000321,0002,0002,LOC002
100,0000000322,0001,0001,LOC001
100,0000000322,0002,0002,LOC002
100,0000000323,0001,0001,LOC001
100,0000000323,0002,0002,LOC002
100,0000000324,0001,0001,LOC001
100,0000000324,0002,0002,LOC002
100,0000000325,0001,0001,LOC001
100,0000000325,0002,0002,LOC002
100,0000000326,0001,0001,LOC001
100,0000000326,0002,0002,LOC002
100,0000000327,0001,0001,LOC001
100,0000000327,0002,0002,LOC002
100,0000000328,0001,0001,LOC001
100,0000000328,0002,0002,LOC002
100,0000000329,0001,0001,LOC001
100,0000000329,0002,0002,LOC002
100,0000000330,0001,0001,LOC001
100,0000000330,0002,0002,LOC002
100,0000000331,0001,0001,LOC001
100,0000000331,0002,0002,LOC002
100,0000000332,0001,0001,LOC001
100,0000000332,0002,0002,LOC002
100,0000000333,0001,0001,LOC001
100,0000000333,0002,0002,LOC002
100,0000000334,0001,0001,LOC001
100,0000000334,0002,0002,LOC002
100,0000000335,0001,0001,LOC001
100,0000000335,0002,0002,LOC002
100,0000000336,0001,0001,LOC001
100,0000000336,0002,0002,LOC002
100,0000000337,0001,0001,LOC001
100,0000000337,0002,0002,LOC002
100,0000000338,0001,0001,LOC001
100,0000000338,0002,0002,LOC002
100,0000000339,0001,0001,LOC001
100,0000000339,0002,0002,LOC002
100,0000000340,0001,0001,LOC001
100,0000000340,0002,0002,LOC002
100,0000000341,0001,0001,LOC001
100,0000000341,0002,0002,LOC002
100,0000000342,0001,0001,LOC001
100,0000000342,0002,0002,LOC002
100,0000000343,0001,0001,LOC001
100,0000000343,0002,0002,LOC002
100,0000000344,0001,0001,LOC001
100,0000000344,0002,0002,LOC002
100,0000000345,0001,0001,LOC001
100,0000000345,0002,0002,LOC002
100,0000000346,0001,0001,LOC001
100,0000000346,0002,0002,LOC002
100,0000000347,0001,0001,LOC001
100,0000000347,0002,0002,LOC002
100,0000000348,0001,0001,LOC001
100,0000000348,0002,0002,LOC002
100,0000000349,0001,0001,LOC001
100,0000000349,0002,0002,LOC002
100,0000000350,0001,0001,LOC001
100,0000000350,0002,0002,LOC002
100,0000000351,0001,0001,LOC001
100,0000000351,0002,0002,LOC002
100,0000000352,0001,0001,LOC001
100,0000000352,0002,0002,LOC002
100,0000000353,0001,0001,LOC001
100,0000000353,0002,0002,LOC002
100,0000000354,0001,0001,LOC001
100,0000000354,0002,0002,LOC002
100,0000000355,0001,0001,LOC001
100,0000000355,0002,0002,LOC002
100,0000000356,0001,0001,LOC001
100,0000000356,0002,0002,LOC002
100,0000000357,0001,0001,LOC001
100,0000000357,0002,0002,LOC002
100,0000000358,0001,0001,LOC001
100,0000000358,0002,0002,LOC002
100,0000000359,0001,0001,LOC001
100,0000000359,0002,0002,LOC002
100,0000000360,0001,0001,LOC001
100,0000000360,0002,0002,LOC002
100,0000000361,0001,0001,LOC001
100,0000000361,0002,0002,LOC002
100,0000000362,0001,0001,LOC001
100,0000000362,0002,0002,LOC002
100,0000000363,0001,0001,LOC001
100,0000000363,0002,0002,LOC002
100,0000000364,0001,0001,LOC001
100,0000000364,0002,0002,LOC002
100,0000000365,0001,0001,LOC001
100,0000000365,0002,0002,LOC002
100,0000000366,0001,0001,LOC001
100,0000000366,0002,0002,LOC002
100,0000000367,0001,0001,LOC001
100,0000000367,0002,0002,LOC002
100,0000000368,0001,0001,LOC001
100,0000000368,0002,0002,LOC002
100,0000000369,0001,0001,LOC001
100,0000000369,0002,0002,LOC002
100,0000000370,0001,0001,LOC001
100,0000000370,0002,0002,LOC002
100,0000000371,0001,0001,LOC001
100,0000000371,0002,0002,LOC002
100,0000000372,0001,0001,LOC001
100,0000000372,0002,0002,LOC002
100,0000000373,0001,0001,LOC001
100,0000000373,0002,0002,LOC002
100,0000000374,0001,0001,LOC001
100,0000000374,0002,0002,LOC002
100,0000000375,0001,0001,LOC001
100,0000000375,0002,0002,LOC002
100,0000000376,0001,0001,LOC001
100,0000000376,0002,0002,LOC002
100,0000000377,0001,0001,LOC001
100,0000000377,0002,0002,LOC002
100,0000000378,0001,0001,LOC001
100,0000000378,0002,0002,LOC002
100,0000000379,0001,0001,LOC001
100,0000000379,0002,0002,LOC002
100,0000000380,0001,0001,LOC001
100,0000000380,0002,0002,LOC002
100,0000000381,0001,0001,LOC001
100,0000000381,0002,0002,LOC002
100,0000000382,0001,0001,LOC001
100,0000000382,0002,0002,LOC002
100,0000000383,0001,0001,LOC001
100,0000000383,0002,0002,LOC002
100,0000000384,0001,0001,LOC001
100,0000000384,0002,0002,LOC002
100,0000000385,0001,0001,LOC001
100,0000000385,0002,0002,LOC002
100,0000000386,0001,0001,LOC001
100,0000000386,0002,0002,LOC002
100,0000000387,0001,0001,LOC001
100,0000000387,0002,0002,LOC002
