TABNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
VBRK,A,0000,E,Billing document: header data
VBRP,A,0000,E,Billing document: item data
VBUK,A,0000,E,Sales document: header status and administrative data
VBUP,A,0000,E,Sales document: item status
VFKN,A,0000,E,Shipment costs: item
VFKP,A,0000,E,Shipment costs: header
VTFA,A,0000,E,Shipment document flow
VTTK,A,0000,E,Shipment header
VTTP,A,0000,E,Shipment item
VTTS,A,0000,E,Shipment stage
