MANDT,TKNUM,VFKNI,KSCHL,KBETR,WAERS
100,0000000023,000002,PR00,441.95,EUR
100,0000000024,000001,K004,64.55,EUR
100,0000000024,000002,PR00,218.88,EUR
100,0000000025,000001,K004,462.4,EUR
100,0000000025,000002,K005,312.25,EUR
100,0000000026,000001,PR00,198.21,EUR
100,0000000026,000002,K004,434.1,EUR
100,0000000027,000001,PR00,422.47,EUR
100,0000000027,000002,PR00,498.41,EUR
100,0000000028,000001,K004,150.32,EUR
100,0000000028,000002,K004,465.6,EUR
100,0000000029,000001,PR00,52.03,EUR
100,0000000029,000002,K004,124.51,EUR
100,0000000030,000001,K004,335.05,EUR
100,0000000030,000002,K005,272.75,EUR
100,0000000031,000001,K004,304.31,EUR
100,0000000031,000002,K005,134.9,EUR
100,0000000032,000001,PR00,178.11,EUR
100,0000000032,000002,K004,499.17,EUR
100,0000000033,000001,K004,182.13,EUR
100,0000000033,000002,PR00,334.02,EUR
100,0000000034,000001,K004,382.85,EUR
100,0000000034,000002,PR00,409.24,EUR
100,0000000035,000001,K004,393.86,EUR
100,0000000035,000002,K005,57.86,EUR
100,0000000036,000001,K004,402.42,EUR
100,0000000036,000002,PR00,145.77,EUR
100,0000000037,000001,K004,129.99,EUR
100,0000000037,000002,PR00,494.62,EUR
100,0000000038,000001,K004,430.71,EUR
100,0000000038,000002,K005,268.92,EUR
100,0000000039,000001,PR00,251.85,EUR
100,0000000039,000002,PR00,205.8,EUR
100,0000000040,000001,K005,217.45,EUR
100,0000000040,000002,K005,126.6,EUR
100,0000000041,000001,PR00,119.21,EUR
100,0000000041,000002,PR00,47.47,EUR
100,0000000042,000001,K004,38.62,EUR
100,0000000042,000002,K005,154.13,EUR
100,0000000043,000001,K005,187.94,EUR
100,0000000043,000002,K005,137.34,EUR
100,0000000044,000001,PR00,250.76,EUR
100,0000000044,000002,K004,413.2,EUR
100,0000000045,000001,K005,385.37,EUR
100,0000000045,000002,K004,198.91,EUR
100,0000000046,000001,K005,236.39,EUR
100,0000000046,000002,K004,166.05,EUR
100,0000000047,000001,PR00,453.82,EUR
100,0000000047,000002,PR00,251.27,EUR
100,0000000048,000001,K004,70.14,EUR
100,0000000048,000002,K005,279.3,EUR
100,0000000049,000001,K004,461.77,EUR
100,0000000049,000002,K004,445.35,EUR
100,0000000050,000001,PR00,68.76,EUR
100,0000000050,000002,K005,451.7,EUR
100,0000000051,000001,K005,86.98,EUR
100,0000000051,000002,PR00,409.03,EUR
100,0000000052,000001,K005,114.12,EUR
100,0000000052,000002,PR00,447.36,EUR
100,0000000053,000001,PR00,111.12,EUR
100,0000000053,000002,PR00,110.53,EUR
100,0000000054,000001,K005,177.72,EUR
100,0000000054,000002,K005,391.22,EUR
100,0000000055,000001,PR00,295.42,EUR
100,0000000055,000002,PR00,407.77,EUR
100,0000000056,000001,PR00,67.57,EUR
100,0000000056,000002,PR00,159.57,EUR
100,0000000057,000001,K005,152.28,EUR
100,0000000057,000002,K004,214.52,EUR
100,0000000058,000001,PR00,286.0,EUR
100,0000000058,000002,PR00,391.95,EUR
100,0000000059,000001,K005,265.2,EUR
100,0000000059,000002,K005,220.1,EUR
100,0000000060,000001,K005,59.7,EUR
100,0000000060,000002,K005,44.55,EUR
100,0000000061,000001,K004,277.93,EUR
100,0000000061,000002,K005,298.07,EUR
100,0000000062,000001,K005,207.18,EUR
100,0000000062,000002,PR00,104.01,EUR
100,0000000063,000001,K004,274.68,EUR
100,0000000063,000002,PR00,429.96,EUR
100,0000000064,000001,K004,226.12,EUR
100,0000000064,000002,K004,67.82,EUR
100,0000000065,000001,PR00,416.9,EUR
100,0000000065,000002,K004,185.96,EUR
100,0000000066,000001,PR00,433.45,EUR
100,0000000066,000002,PR00,148.14,EUR
100,0000000067,000001,PR00,340.14,EUR
100,0000000067,000002,K005,22.98,EUR
100,0000000068,000001,PR00,46.22,EUR
100,0000000068,000002,PR00,402.97,EUR
100,0000000069,000001,K005,210.24,EUR
100,0000000069,000002,K004,318.78,EUR
100,0000000070,000001,K005,423.57,EUR
100,0000000070,000002,PR00,375.88,EUR
100,0000000071,000001,PR00,316.96,EUR
100,0000000071,000002,K005,193.45,EUR
100,0000000072,000001,K005,83.17,EUR
100,0000000072,000002,PR00,384.34,EUR
100,0000000073,000001,PR00,44.96,EUR
100,0000000073,000002,K005,443.93,EUR
100,0000000074,000001,PR00,367.27,EUR
100,0000000074,000002,K004,18.47,EUR
100,0000000075,000001,K004,17.21,EUR
100,0000000075,000002,PR00,213.59,EUR
100,0000000076,000001,K005,89.5,EUR
100,0000000076,000002,K005,144.99,EUR
100,0000000077,000001,K004,82.0,EUR
100,0000000077,000002,K005,194.03,EUR
100,0000000078,000001,K005,204.12,EUR
100,0000000078,000002,K004,297.81,EUR
100,0000000079,000001,K004,251.24,EUR
100,0000000079,000002,PR00,358.68,EUR
100,0000000080,000001,K005,459.45,EUR
100,0000000080,000002,PR00,376.67,EUR
100,0000000081,000001,K004,484.01,EUR
100,0000000081,000002,K005,480.69,EUR
100,0000000082,000001,K004,63.6,EUR
100,0000000082,000002,K005,210.23,EUR
100,0000000083,000001,K005,197.1,EUR
100,0000000083,000002,K004,408.92,EUR
100,0000000084,000001,PR00,238.31,EUR
100,0000000084,000002,K004,201.58,EUR
100,0000000085,000001,K005,221.98,EUR
100,0000000085,000002,K005,436.97,EUR
100,0000000086,000001,PR00,383.36,EUR
100,0000000086,000002,PR00,123.02,EUR
100,0000000087,000001,K005,328.57,EUR
100,0000000087,000002,PR00,407.28,EUR
100,0000000088,000001,K005,344.69,EUR
100,0000000088,000002,K004,27.1,EUR
100,0000000089,000001,K004,64.33,EUR
100,0000000089,000002,K004,187.59,EUR
100,0000000090,000001,K004,329.18,EUR
100,0000000090,000002,K004,380.11,EUR
100,0000000091,000001,PR00,355.2,EUR
100,0000000091,000002,PR00,410.28,EUR
100,0000000092,000001,K004,198.06,EUR
100,0000000092,000002,PR00,124.6,EUR
100,0000000093,000001,K004,426.72,EUR
100,0000000093,000002,PR00,337.93,EUR
100,0000000094,000001,PR00,433.11,EUR
100,0000000094,000002,K005,409.7,EUR
100,0000000095,000001,K005,129.86,EUR
100,0000000095,000002,K004,133.16,EUR
100,0000000096,000001,K005,254.43,EUR
100,0000000096,000002,PR00,150.84,EUR
100,0000000097,000001,PR00,203.68,EUR
100,0000000097,000002,K005,463.27,EUR
100,0000000098,000001,K005,20.51,EUR
100,0000000098,000002,K005,445.5,EUR
100,0000000099,000001,K005,481.14,EUR
100,0000000099,000002,PR00,384.99,EUR
100,0000000100,000001,PR00,408.46,EUR
100,0000000100,000002,PR00,477.95,EUR
100,0000000101,000001,K004,435.73,EUR
100,0000000101,000002,K005,365.67,EUR
100,0000000102,000001,K004,195.14,EUR
100,0000000102,000002,PR00,56.54,EUR
100,0000000103,000001,K005,252.17,EUR
100,0000000103,000002,K005,427.17,EUR
100,0000000104,000001,K005,312.76,EUR
100,0000000104,000002,PR00,235.53,EUR
100,0000000105,000001,PR00,289.5,EUR
100,0000000105,000002,PR00,442.65,EUR
100,0000000106,000001,K004,246.53,EUR
100,0000000106,000002,K005,269.46,EUR
100,0000000107,000001,K005,51.75,EUR
100,0000000107,000002,K005,465.86,EUR
100,0000000108,000001,K004,286.6,EUR
100,0000000108,000002,K004,168.92,EUR
100,0000000109,000001,PR00,271.65,EUR
100,0000000109,000002,PR00,446.88,EUR
100,0000000110,000001,K005,176.52,EUR
100,0000000110,000002,K004,117.64,EUR
100,0000000111,000001,PR00,90.75,EUR
100,0000000111,000002,K004,185.02,EUR
100,0000000112,000001,PR00,123.14,EUR
100,0000000112,000002,K005,17.92,EUR
100,0000000113,000001,PR00,271.01,EUR
100,0000000113,000002,K005,274.21,EUR
100,0000000114,000001,K005,265.91,EUR
100,0000000114,000002,K004,54.37,EUR
100,0000000115,000001,K004,410.6,EUR
100,0000000115,000002,K004,328.09,EUR
100,0000000116,000001,PR00,446.36,EUR
100,0000000116,000002,K005,204.25,EUR
100,0000000117,000001,K005,452.11,EUR
100,0000000117,000002,K005,141.73,EUR
100,0000000118,000001,PR00,283.51,EUR
100,0000000118,000002,PR00,289.35,EUR
100,0000000119,000001,K005,130.99,EUR
100,0000000119,000002,PR00,206.08,EUR
100,0000000120,000001,K005,294.76,EUR
100,0000000120,000002,K004,480.04,EUR
100,0000000121,000001,K004,92.61,EUR
100,0000000121,000002,K005,323.61,EUR
100,0000000122,000001,K005,51.34,EUR
100,0000000122,000002,PR00,339.03,EUR
100,0000000123,000001,K004,470.92,EUR
100,0000000123,000002,K004,496.66,EUR
100,0000000124,000001,PR00,408.5,EUR
100,0000000124,000002,K004,286.17,EUR
100,0000000125,000001,K004,280.99,EUR
100,0000000125,000002,PR00,26.44,EUR
100,0000000126,000001,K004,193.29,EUR
100,0000000126,000002,K004,97.54,EUR
100,0000000127,000001,PR00,191.09,EUR
100,0000000127,000002,K005,120.58,EUR
100,0000000128,000001,PR00,90.93,EUR
100,0000000128,000002,K004,233.39,EUR
100,0000000129,000001,K005,57.71,EUR
100,0000000129,000002,K005,82.8,EUR
100,0000000130,000001,PR00,193.43,EUR
100,0000000130,000002,K005,47.96,EUR
100,0000000131,000001,PR00,94.57,EUR
100,0000000131,000002,K005,263.47,EUR
100,0000000132,000001,K005,120.41,EUR
100,0000000132,000002,K005,168.07,EUR
100,0000000133,000001,K005,98.72,EUR
100,0000000133,000002,PR00,135.7,EUR
100,0000000134,000001,K004,150.1,EUR
100,0000000134,000002,K004,88.54,EUR
100,0000000135,000001,K004,291.33,EUR
100,0000000135,000002,PR00,237.73,EUR
100,0000000136,000001,K004,15.3,EUR
100,0000000136,000002,K004,417.75,EUR
100,0000000137,000001,PR00,44.11,EUR
100,0000000137,000002,K004,88.91,EUR
100,0000000138,000001,K005,239.12,EUR
100,0000000138,000002,K005,452.87,EUR
100,0000000139,000001,K005,463.69,EUR
100,0000000139,000002,PR00,475.87,EUR
100,0000000140,000001,K005,386.61,EUR
100,0000000140,000002,PR00,364.36,EUR
100,0000000141,000001,K004,90.86,EUR
100,0000000141,000002,K004,239.48,EUR
100,0000000142,000001,K004,398.11,EUR
100,0000000142,000002,K004,146.77,EUR
100,0000000143,000001,PR00,20.5,EUR
100,0000000143,000002,PR00,352.84,EUR
100,0000000144,000001,PR00,143.77,EUR
100,0000000144,000002,K005,102.05,EUR
100,0000000145,000001,PR00,477.45,EUR
100,0000000145,000002,K004,37.37,EUR
100,0000000146,000001,K004,36.88,EUR
100,0000000146,000002,K004,215.53,EUR
100,0000000147,000001,PR00,465.2,EUR
100,0000000147,000002,PR00,493.14,EUR
100,0000000148,000001,K005,120.79,EUR
100,0000000148,000002,PR00,289.98,EUR
100,0000000149,000001,PR00,44.96,EUR
100,0000000149,000002,K004,361.23,EUR
100,0000000150,000001,PR00,171.76,EUR
100,0000000150,000002,K004,10.06,EUR
100,0000000151,000001,PR00,19.02,EUR
100,0000000151,000002,K005,399.27,EUR
100,0000000152,000001,PR00,105.12,EUR
100,0000000152,000002,PR00,248.24,EUR
100,0000000153,000001,PR00,414.41,EUR
100,0000000153,000002,K004,68.16,EUR
100,0000000154,000001,K004,62.5,EUR
100,0000000154,000002,PR00,357.87,EUR
100,0000000155,000001,PR00,120.08,EUR
100,0000000155,000002,K005,223.15,EUR
100,0000000156,000001,K004,425.61,EUR
100,0000000156,000002,PR00,287.49,EUR
100,0000000157,000001,PR00,53.94,EUR
100,0000000157,000002,PR00,128.44,EUR
100,0000000158,000001,K004,431.21,EUR
100,0000000158,000002,K005,212.43,EUR
100,0000000159,000001,K005,499.44,EUR
100,0000000159,000002,K005,157.12,EUR
100,0000000160,000001,PR00,407.42,EUR
100,0000000160,000002,K005,312.5,EUR
100,0000000161,000001,K004,67.25,EUR
100,0000000161,000002,K004,134.82,EUR
100,0000000162,000001,PR00,286.89,EUR
100,0000000162,000002,K004,320.65,EUR
100,0000000163,000001,K004,319.6,EUR
100,0000000163,000002,K005,414.96,EUR
100,0000000164,000001,K004,33.76,EUR
100,0000000164,000002,K005,11.35,EUR
100,0000000165,000001,K004,156.47,EUR
100,0000000165,000002,K004,484.97,EUR
100,0000000166,000001,PR00,455.28,EUR
100,0000000166,000002,K005,468.95,EUR
100,0000000167,000001,K004,172.15,EUR
100,0000000167,000002,PR00,197.1,EUR
100,0000000168,000001,PR00,479.4,EUR
100,0000000168,000002,K005,34.38,EUR
100,0000000169,000001,PR00,121.32,EUR
100,0000000169,000002,PR00,43.76,EUR
100,0000000170,000001,K004,467.9,EUR
100,0000000170,000002,K005,104.81,EUR
100,0000000171,000001,PR00,409.49,EUR
100,0000000171,000002,PR00,169.2,EUR
100,0000000172,000001,K004,372.12,EUR
100,0000000172,000002,K005,371.36,EUR
100,0000000173,000001,PR00,392.62,EUR
100,0000000173,000002,PR00,275.47,EUR
100,0000000174,000001,PR00,318.84,EUR
100,0000000174,000002,K004,399.02,EUR
100,0000000175,000001,K005,493.05,EUR
100,0000000175,000002,K004,137.06,EUR
100,0000000176,000001,K005,206.82,EUR
100,0000000176,000002,PR00,467.65,EUR
100,0000000177,000001,K005,358.42,EUR
100,0000000177,000002,K005,478.03,EUR
100,0000000178,000001,PR00,498.52,EUR
100,0000000178,000002,K005,89.71,EUR
100,0000000179,000001,K005,140.65,EUR
100,0000000179,000002,K004,409.76,EUR
100,0000000180,000001,PR00,104.89,EUR
100,0000000180,000002,K005,471.04,EUR
100,0000000181,000001,PR00,102.17,EUR
100,0000000181,000002,PR00,280.62,EUR
100,0000000182,000001,K005,25.19,EUR
100,0000000182,000002,K005,324.61,EUR
100,0000000183,000001,K004,115.43,EUR
100,0000000183,000002,PR00,176.96,EUR
100,0000000184,000001,PR00,455.83,EUR
100,0000000184,000002,PR00,225.69,EUR
100,0000000185,000001,PR00,269.1,EUR
100,0000000185,000002,PR00,224.05,EUR
100,0000000186,000001,K004,190.1,EUR
100,0000000186,000002,K005,229.98,EUR
100,0000000187,000001,K004,227.64,EUR
100,0000000187,000002,K004,452.81,EUR
100,0000000188,000001,K004,23.63,EUR
100,0000000188,000002,K004,494.22,EUR
100,0000000189,000001,K005,106.52,EUR
100,0000000189,000002,PR00,212.16,EUR
100,0000000190,000001,PR00,383.07,EUR
100,0000000190,000002,K004,223.46,EUR
100,0000000191,000001,PR00,459.23,EUR
100,0000000191,000002,PR00,357.34,EUR
100,0000000192,000001,PR00,41.2,EUR
100,0000000192,000002,K004,254.94,EUR
100,0000000193,000001,PR00,88.81,EUR
100,0000000193,000002,K005,240.96,EUR
100,0000000194,000001,K004,145.16,EUR
100,0000000194,000002,K004,124.27,EUR
100,0000000195,000001,K005,403.72,EUR
100,0000000195,000002,K005,478.23,EUR
100,0000000196,000001,PR00,288.8,EUR
100,0000000196,000002,PR00,468.31,EUR
100,0000000197,000001,K005,205.42,EUR
100,0000000197,000002,PR00,347.74,EUR
100,0000000198,000001,PR00,205.76,EUR
100,0000000198,000002,K005,213.88,EUR
100,0000000199,000001,PR00,256.83,EUR
100,0000000199,000002,K004,256.85,EUR
100,0000000200,000001,PR00,344.12,EUR
100,0000000200,000002,K005,148.7,EUR
100,0000000201,000001,PR00,197.9,EUR
100,0000000201,000002,K005,345.71,EUR
100,0000000202,000001,K005,348.11,EUR
100,0000000202,000002,K004,249.19,EUR
100,0000000203,000001,K005,67.08,EUR
100,0000000203,000002,K004,258.99,EUR
100,0000000204,000001,PR00,110.67,EUR
100,0000000204,000002,K005,485.47,EUR
100,0000000205,000001,PR00,310.83,EUR
100,0000000205,000002,K005,339.66,EUR
100,0000000206,000001,PR00,151.95,EUR
100,0000000206,000002,K005,81.62,EUR
100,0000000207,000001,K005,311.18,EUR
100,0000000207,000002,K004,244.36,EUR
100,0000000208,000001,K004,50.04,EUR
100,0000000208,000002,PR00,197.42,EUR
100,0000000209,000001,PR00,237.65,EUR
100,0000000209,000002,PR00,183.86,EUR
100,0000000210,000001,K004,160.5,EUR
100,0000000210,000002,PR00,416.42,EUR
100,0000000211,000001,K005,384.96,EUR
100,0000000211,000002,PR00,17.95,EUR
100,0000000212,000001,K005,400.7,EUR
100,0000000212,000002,K004,92.43,EUR
100,0000000213,000001,K005,496.39,EUR
100,0000000213,000002,PR00,401.81,EUR
100,0000000214,000001,PR00,309.81,EUR
100,0000000214,000002,K005,153.89,EUR
100,0000000215,000001,K005,14.41,EUR
100,0000000215,000002,K005,250.31,EUR
100,0000000216,000001,K004,105.37,EUR
100,0000000216,000002,PR00,335.68,EUR
100,0000000217,000001,PR00,417.7,EUR
100,0000000217,000002,K005,100.19,EUR
100,0000000218,000001,K004,440.49,EUR
100,0000000218,000002,K005,369.86,EUR
100,0000000219,000001,K005,357.58,EUR
100,0000000219,000002,K004,359.05,EUR
100,0000000220,000001,K004,478.33,EUR
100,0000000220,000002,K005,90.89,EUR
100,0000000221,000001,PR00,25.99,EUR
100,0000000221,000002,K005,46.57,EUR
100,0000000222,000001,PR00,342.6,EUR
100,0000000222,000002,K004,55.14,EUR
100,0000000223,000001,PR00,333.05,EUR
100,0000000223,000002,K005,15.76,EUR
100,0000000224,000001,PR00,296.71,EUR
100,0000000224,000002,PR00,313.8,EUR
100,0000000225,000001,K005,406.16,EUR
100,0000000225,000002,K005,220.53,EUR
100,0000000226,000001,PR00,317.0,EUR
100,0000000226,000002,PR00,45.46,EUR
100,0000000227,000001,K005,317.2,EUR
100,0000000227,000002,K005,71.87,EUR
100,0000000228,000001,PR00,37.7,EUR
100,0000000228,000002,K004,285.91,EUR
100,0000000229,000001,K004,384.79,EUR
100,0000000229,000002,K004,53.99,EUR
100,0000000230,000001,PR00,69.78,EUR
100,0000000230,000002,K004,236.81,EUR
100,0000000231,000001,K004,90.31,EUR
100,0000000231,000002,PR00,489.65,EUR
100,0000000232,000001,PR00,464.6,EUR
100,0000000232,000002,PR00,168.55,EUR
100,0000000233,000001,PR00,28.4,EUR
100,0000000233,000002,K004,441.83,EUR
100,0000000234,000001,PR00,380.54,EUR
100,0000000234,000002,K004,379.94,EUR
100,0000000235,000001,K004,379.35,EUR
100,0000000235,000002,K005,91.4,EUR
100,0000000236,000001,K004,345.47,EUR
100,0000000236,000002,PR00,155.79,EUR
100,0000000237,000001,K005,172.39,EUR
100,0000000237,000002,PR00,103.26,EUR
100,0000000238,000001,PR00,332.52,EUR
100,0000000238,000002,K005,422.59,EUR
100,0000000239,000001,PR00,261.58,EUR
100,0000000239,000002,K005,154.73,EUR
100,0000000240,000001,PR00,391.07,EUR
100,0000000240,000002,K005,368.09,EUR
100,0000000241,000001,PR00,121.88,EUR
100,0000000241,000002,K005,54.59,EUR
100,0000000242,000001,PR00,231.97,EUR
100,0000000242,000002,K004,438.72,EUR
100,0000000243,000001,PR00,190.49,EUR
100,0000000243,000002,PR00,262.19,EUR
100,0000000244,000001,K005,284.99,EUR
100,0000000244,000002,K005,91.19,EUR
100,0000000245,000001,K005,88.8,EUR
100,0000000245,000002,K005,475.73,EUR
100,0000000246,000001,PR00,29.12,EUR
100,0000000246,000002,PR00,234.06,EUR
100,0000000247,000001,K005,150.37,EUR
100,0000000247,000002,K004,331.86,EUR
100,0000000248,000001,K005,291.07,EUR
100,0000000248,000002,K004,88.28,EUR
100,0000000249,000001,K004,302.02,EUR
100,0000000249,000002,K004,213.55,EUR
100,0000000250,000001,K004,149.96,EUR
100,0000000250,000002,K004,364.51,EUR
100,0000000251,000001,PR00,79.74,EUR
100,0000000251,000002,K005,387.43,EUR
100,0000000252,000001,K005,230.42,EUR
100,0000000252,000002,PR00,36.04,EUR
100,0000000253,000001,K004,134.03,EUR
100,0000000253,000002,K005,403.1,EUR
100,0000000254,000001,K005,25.71,EUR
100,0000000254,000002,PR00,182.0,EUR
100,0000000255,000001,K004,136.27,EUR
100,0000000255,000002,PR00,210.69,EUR
100,0000000256,000001,PR00,78.47,EUR
100,0000000256,000002,K004,486.92,EUR
100,0000000257,000001,PR00,269.32,EUR
100,0000000257,000002,K004,448.45,EUR
100,0000000258,000001,PR00,284.52,EUR
100,0000000258,000002,PR00,374.35,EUR
100,0000000259,000001,PR00,32.61,EUR
100,0000000259,000002,K005,491.27,EUR
100,0000000260,000001,K004,44.95,EUR
100,0000000260,000002,K005,154.27,EUR
100,0000000261,000001,K004,485.46,EUR
100,0000000261,000002,PR00,388.04,EUR
100,0000000262,000001,K004,403.0,EUR
100,0000000262,000002,K004,332.95,EUR
100,0000000263,000001,K005,208.96,EUR
100,0000000263,000002,K004,92.03,EUR
100,0000000264,000001,K004,158.64,EUR
100,0000000264,000002,PR00,265.7,EUR
100,0000000265,000001,PR00,124.99,EUR
100,0000000265,000002,K005,444.55,EUR
100,0000000266,000001,K004,431.0,EUR
100,0000000266,000002,K005,194.18,EUR
100,0000000267,000001,K004,100.31,EUR
100,0000000267,000002,PR00,67.81,EUR
100,0000000268,000001,K004,79.7,EUR
100,0000000268,000002,K005,57.77,EUR
100,0000000269,000001,K005,266.6,EUR
100,0000000269,000002,K005,194.09,EUR
100,0000000270,000001,PR00,236.96,EUR
100,0000000270,000002,K004,156.58,EUR
100,0000000271,000001,K004,278.76,EUR
100,0000000271,000002,K004,443.66,EUR
100,0000000272,000001,K005,288.57,EUR
100,0000000272,000002,K004,232.29,EUR
100,0000000273,000001,K005,165.81,EUR
100,0000000273,000002,K004,150.89,EUR
100,0000000274,000001,PR00,316.64,EUR
100,0000000274,000002,PR00,461.35,EUR
100,0000000275,000001,K005,229.92,EUR
100,0000000275,000002,PR00,417.47,EUR
100,0000000276,000001,K004,442.85,EUR
100,0000000276,000002,PR00,366.18,EUR
100,0000000277,000001,K004,475.81,EUR
100,0000000277,000002,K005,487.87,EUR
100,0000000278,000001,K004,426.4,EUR
100,0000000278,000002,PR00,428.44,EUR
100,0000000279,000001,K004,89.23,EUR
100,0000000279,000002,K005,352.78,EUR
100,0000000280,000001,K005,367.18,EUR
100,0000000280,000002,PR00,47.69,EUR
100,0000000281,000001,K004,432.9,EUR
100,0000000281,000002,K004,115.17,EUR
100,0000000282,000001,K005,244.66,EUR
100,0000000282,000002,K004,369.23,EUR
100,0000000283,000001,K004,422.07,EUR
100,0000000283,000002,K005,473.74,EUR
100,0000000284,000001,K004,38.32,EUR
100,0000000284,000002,K004,234.8,EUR
100,0000000285,000001,K005,473.63,EUR
100,0000000285,000002,PR00,245.84,EUR
100,0000000286,000001,PR00,319.72,EUR
100,0000000286,000002,PR00,338.3,EUR
100,0000000287,000001,K004,58.26,EUR
100,0000000287,000002,K005,218.42,EUR
100,0000000288,000001,K004,367.3,EUR
100,0000000288,000002,K005,400.69,EUR
100,0000000289,000001,K005,163.89,EUR
100,0000000289,000002,PR00,366.4,EUR
100,0000000290,000001,K004,134.49,EUR
100,0000000290,000002,K005,22.83,EUR
100,0000000291,000001,K005,19.29,EUR
100,0000000291,000002,K005,208.1,EUR
100,0000000292,000001,K004,400.17,EUR
100,0000000292,000002,PR00,293.36,EUR
100,0000000293,000001,PR00,308.43,EUR
100,0000000293,000002,K005,55.73,EUR
100,0000000294,000001,PR00,160.64,EUR
100,0000000294,000002,PR00,74.58,EUR
100,0000000295,000001,PR00,165.65,EUR
100,0000000295,000002,K004,44.04,EUR
100,0000000296,000001,K005,412.76,EUR
100,0000000296,000002,K005,164.53,EUR
100,0000000297,000001,PR00,372.25,EUR
100,0000000297,000002,PR00,261.39,EUR
100,0000000298,000001,K005,498.91,EUR
100,0000000298,000002,K005,346.76,EUR
100,0000000299,000001,K004,449.36,EUR
100,0000000299,000002,PR00,134.69,EUR
100,0000000300,000001,K004,249.32,EUR
100,0000000300,000002,PR00,445.07,EUR
100,0000000301,000001,PR00,490.7,EUR
100,0000000301,000002,K004,207.29,EUR
100,0000000302,000001,K004,344.24,EUR
100,0000000302,000002,K005,363.55,EUR
100,0000000303,000001,K005,370.64,EUR
100,0000000303,000002,K005,352.93,EUR
100,0000000304,000001,K004,476.47,EUR
100,0000000304,000002,K005,254.03,EUR
100,0000000305,000001,PR00,51.85,EUR
100,0000000305,000002,K005,355.27,EUR
100,0000000306,000001,K004,169.22,EUR
100,0000000306,000002,PR00,403.4,EUR
100,0000000307,000001,K005,21.73,EUR
100,0000000307,000002,K005,435.81,EUR
100,0000000308,000001,PR00,468.9,EUR
100,0000000308,000002,PR00,379.09,EUR
100,0000000309,000001,PR00,466.7,EUR
100,0000000309,000002,K005,348.14,EUR
100,0000000310,000001,K004,57.81,EUR
100,0000000310,000002,K005,384.7,EUR
100,0000000311,000001,PR00,37.15,EUR
100,0000000311,000002,PR00,154.27,EUR
100,0000000312,000001,K005,444.55,EUR
100,0000000312,000002,K005,15.07,EUR
100,0000000313,000001,K004,274.71,EUR
100,0000000313,000002,PR00,410.64,EUR
100,0000000314,000001,K005,441.37,EUR
100,0000000314,000002,K005,68.69,EUR
100,0000000315,000001,PR00,351.18,EUR
100,0000000315,000002,K004,237.72,EUR
100,0000000316,000001,K005,263.51,EUR
100,0000000316,000002,PR00,95.82,EUR
100,0000000317,000001,K005,270.4,EUR
100,0000000317,000002,PR00,271.5,EUR
100,0000000318,000001,K004,340.47,EUR
100,0000000318,000002,K005,447.4,EUR
100,0000000319,000001,K004,244.13,EUR
100,0000000319,000002,K004,495.73,EUR
100,0000000320,000001,K005,308.53,EUR
100,0000000320,000002,PR00,443.04,EUR
100,0000000321,000001,K004,224.6,EUR
100,0000000321,000002,K004,80.1,EUR
100,0000000322,000001,K004,46.07,EUR
100,0000000322,000002,K004,445.31,EUR
100,0000000323,000001,PR00,436.99,EUR
100,0000000323,000002,K004,352.05,EUR
100,0000000324,000001,PR00,274.86,EUR
100,0000000324,000002,K004,365.15,EUR
100,0000000325,000001,PR00,396.23,EUR
100,0000000325,000002,K004,250.13,EUR
100,0000000326,000001,K004,201.13,EUR
100,0000000326,000002,K004,11.11,EUR
