MANDT,VBELN,POSNR,MATNR,FKIMG,VRKME,NETWR
100,9000000039,000020,MAT000152,3266,ST,15676.8
100,9000000039,000030,MAT000376,3156,ST,78426.6
100,9000000040,000010,MAT000003,4210,ST,92156.9
100,9000000040,000020,MAT000211,2209,ST,44688.07
100,9000000041,000010,MAT000148,2320,ST,10788.0
100,9000000041,000020,MAT000152,578,ST,5652.84
100,9000000042,000010,MAT000242,706,ST,13004.52
100,9000000042,000020,MAT000219,2727,ST,74228.94
100,9000000043,000010,MAT000077,4471,ST,107661.68
100,9000000043,000020,MAT000007,1866,ST,29669.4
100,9000000043,000030,MAT000280,930,ST,17846.7
100,9000000043,000040,MAT000261,634,ST,6390.72
100,9000000044,000010,MAT000404,2753,ST,35376.05
100,9000000045,000010,MAT000077,2230,ST,14182.8
100,9000000045,000020,MAT000064,27,ST,446.58
100,9000000046,000010,MAT000311,2291,ST,28316.76
100,9000000048,000010,MAT000304,4326,ST,42308.28
100,9000000048,000020,MAT000001,1675,ST,16214.0
100,9000000048,000030,MAT000082,498,ST,6772.8
100,9000000049,000010,MAT000174,467,ST,12823.82
100,9000000049,000020,MAT000310,3054,ST,51154.5
100,9000000050,000010,MAT000065,2017,ST,36709.4
100,9000000050,000020,MAT000108,4330,ST,105002.5
100,9000000051,000010,MAT000117,501,ST,10370.7
100,9000000051,000020,MAT000310,3731,ST,84245.98
100,9000000052,000010,MAT000402,3102,ST,8034.18
100,9000000052,000020,MAT000282,1514,ST,17214.18
100,9000000052,000030,MAT000221,3328,ST,50951.68
100,9000000052,000040,MAT000153,2221,ST,53614.94
100,9000000052,000050,MAT000008,1972,ST,6882.28
100,9000000053,000010,MAT000009,1978,ST,29175.5
100,9000000053,000020,MAT000357,384,ST,10448.64
100,9000000054,000010,MAT000282,2925,ST,9418.5
100,9000000055,000010,MAT000113,204,ST,5422.32
100,9000000055,000020,MAT000206,1330,ST,29127.0
100,9000000055,000030,MAT000176,1776,ST,9448.32
100,9000000055,000040,MAT000372,4239,ST,94741.65
100,9000000056,000010,MAT000312,337,ST,6180.58
100,9000000056,000020,MAT000471,624,ST,17297.28
100,9000000057,000010,MAT000343,2579,ST,61896.0
100,9000000057,000020,MAT000258,740,ST,15125.6
100,9000000058,000010,MAT000093,4669,ST,81100.53
100,9000000058,000020,MAT000100,3621,ST,44176.2
100,9000000058,000030,MAT000375,3697,ST,46656.14
100,9000000058,000040,MAT000181,4604,ST,29143.32
100,9000000059,000010,MAT000070,2868,ST,52341.0
100,9000000059,000020,MAT000066,1486,ST,15127.48
100,9000000059,000030,MAT000222,2815,ST,48812.1
100,9000000059,000040,MAT000200,3733,ST,33261.03
100,9000000060,000010,MAT000016,2971,ST,17528.9
100,9000000060,000020,MAT000310,2220,ST,22555.2
100,9000000060,000030,MAT000065,2453,ST,19010.75
100,9000000061,000010,MAT000311,2811,ST,18524.49
100,9000000062,000010,MAT000124,3588,ST,28237.56
100,9000000062,000020,MAT000453,1636,ST,19173.92
100,9000000062,000030,MAT000222,126,ST,3073.14
100,9000000063,000010,MAT000001,3700,ST,101047.0
100,9000000063,000020,MAT000010,1800,ST,35676.0
100,9000000064,000010,MAT000152,4735,ST,46687.1
100,9000000064,000020,MAT000372,1031,ST,17248.63
100,9000000065,000010,MAT000239,938,ST,17334.24
100,9000000065,000020,MAT000124,4456,ST,81723.04
100,9000000065,000030,MAT000075,727,ST,8476.82
100,9000000065,000040,MAT000297,859,ST,6279.29
100,9000000065,000050,MAT000431,277,ST,2321.26
100,9000000066,000010,MAT000093,2882,ST,75076.1
100,9000000066,000020,MAT000289,72,ST,501.12
100,9000000066,000030,MAT000194,2528,ST,6092.48
100,9000000066,000040,MAT000009,137,ST,1382.33
100,9000000067,000010,MAT000179,4562,ST,32162.1
100,9000000067,000020,MAT000428,3525,ST,30738.0
100,9000000067,000030,MAT000222,4247,ST,70712.55
100,9000000067,000040,MAT000086,4736,ST,64551.68
100,9000000067,000050,MAT000231,1679,ST,49731.98
100,9000000068,000010,MAT000065,4694,ST,23986.34
100,9000000068,000020,MAT000261,1538,ST,16456.6
100,9000000068,000030,MAT000274,2143,ST,29466.25
100,9000000069,000010,MAT000365,189,ST,1417.5
100,9000000069,000020,MAT000221,3703,ST,93130.45
100,9000000071,000010,MAT000310,4895,ST,22859.65
100,9000000071,000020,MAT000426,2901,ST,51173.64
100,9000000071,000030,MAT000376,2083,ST,21204.94
100,9000000071,000040,MAT000148,2653,ST,21117.88
100,9000000072,000010,MAT000093,88,ST,2311.76
100,9000000072,000020,MAT000231,1915,ST,15434.9
100,9000000072,000030,MAT000077,4605,ST,86620.05
100,9000000073,000010,MAT000154,1624,ST,8996.96
100,9000000073,000020,MAT000086,1026,ST,4668.3
100,9000000073,000030,MAT000006,2345,ST,10341.45
100,9000000073,000040,MAT000293,313,ST,1283.3
100,9000000074,000010,MAT000199,2608,ST,13796.32
100,9000000074,000020,MAT000474,395,ST,908.5
100,9000000074,000030,MAT000093,3073,ST,68005.49
100,9000000075,000010,MAT000315,1864,ST,21678.32
100,9000000075,000020,MAT000002,440,ST,2591.6
100,9000000075,000030,MAT000194,2707,ST,71518.94
100,9000000075,000040,MAT000433,3784,ST,15590.08
100,9000000076,000010,MAT000402,4332,ST,33183.12
100,9000000076,000020,MAT000357,1860,ST,24124.2
100,9000000076,000030,MAT000181,1696,ST,32088.32
100,9000000077,000010,MAT000077,2798,ST,6155.6
100,9000000078,000010,MAT000375,875,ST,19713.75
100,9000000078,000020,MAT000487,4216,ST,59234.8
100,9000000078,000030,MAT000219,4738,ST,67895.54
100,9000000079,000010,MAT000008,3911,ST,68833.6
100,9000000080,000010,MAT000289,4123,ST,9895.2
100,9000000080,000020,MAT000013,3143,ST,70026.04
100,9000000081,000010,MAT000383,3561,ST,13923.51
100,9000000081,000020,MAT000014,302,ST,1316.72
100,9000000081,000030,MAT000487,3324,ST,57804.36
100,9000000082,000010,MAT000166,2857,ST,13827.88
100,9000000083,000010,MAT000219,1964,ST,16694.0
100,9000000083,000020,MAT000343,1171,ST,18466.67
100,9000000084,000010,MAT000414,2118,ST,18680.76
100,9000000084,000020,MAT000216,2743,ST,71455.15
100,9000000084,000030,MAT000006,1221,ST,29133.06
100,9000000085,000010,MAT000069,1597,ST,15347.17
100,9000000085,000020,MAT000414,3690,ST,52324.2
100,9000000086,000010,MAT000199,2543,ST,36644.63
100,9000000086,000020,MAT000093,3560,ST,48024.4
100,9000000087,000010,MAT000113,4295,ST,111068.7
100,9000000087,000020,MAT000205,539,ST,8866.55
100,9000000088,000010,MAT000002,3535,ST,10817.1
100,9000000088,000020,MAT000201,4122,ST,24319.8
100,9000000089,000010,MAT000065,2392,ST,24613.68
100,9000000089,000020,MAT000280,3471,ST,13988.13
100,9000000089,000030,MAT000143,4629,ST,118919.01
100,9000000090,000010,MAT000216,2508,ST,37193.64
100,9000000090,000020,MAT000315,796,ST,19048.28
100,9000000090,000030,MAT000261,3846,ST,63343.62
100,9000000091,000010,MAT000108,2487,ST,71103.33
100,9000000091,000020,MAT000422,2413,ST,62593.22
100,9000000092,000010,MAT000197,886,ST,10330.76
100,9000000093,000010,MAT000376,444,ST,2770.56
100,9000000093,000020,MAT000104,1841,ST,46485.25
100,9000000093,000030,MAT000002,3982,ST,63831.46
100,9000000094,000010,MAT000077,3890,ST,59672.6
100,9000000094,000020,MAT000213,3324,ST,22470.24
100,9000000096,000010,MAT000108,2290,ST,24571.7
100,9000000096,000020,MAT000357,3094,ST,85239.7
100,9000000097,000010,MAT000231,4833,ST,15610.59
100,9000000098,000010,MAT000071,880,ST,3220.8
100,9000000099,000010,MAT000143,3156,ST,67601.52
100,9000000099,000020,MAT000010,607,ST,3854.45
100,9000000099,000030,MAT000341,3103,ST,89893.91
100,9000000099,000040,MAT000365,3594,ST,37305.72
100,9000000100,000010,MAT000499,798,ST,22024.8
100,9000000100,000020,MAT000414,599,ST,1683.19
100,9000000100,000030,MAT000427,3890,ST,20772.6
100,9000000101,000010,MAT000019,4672,ST,53634.56
100,9000000101,000020,MAT000014,4937,ST,63637.93
100,9000000102,000010,MAT000122,2369,ST,33000.17
100,9000000102,000020,MAT000372,2567,ST,10345.01
100,9000000103,000010,MAT000242,3462,ST,41093.94
100,9000000104,000010,MAT000016,1940,ST,28285.2
100,9000000104,000020,MAT000301,4910,ST,87741.7
100,9000000104,000030,MAT000011,862,ST,22308.56
100,9000000105,000010,MAT000095,3602,ST,71283.58
100,9000000106,000010,MAT000355,1012,ST,10494.44
100,9000000106,000020,MAT000261,1814,ST,31091.96
100,9000000106,000030,MAT000181,4325,ST,56960.25
100,9000000107,000010,MAT000065,1677,ST,44390.19
100,9000000107,000020,MAT000093,3060,ST,70043.4
100,9000000108,000010,MAT000009,2224,ST,50262.4
100,9000000109,000010,MAT000275,3161,ST,64294.74
100,9000000109,000020,MAT000411,438,ST,9583.44
100,9000000110,000010,MAT000451,1783,ST,43772.65
100,9000000110,000020,MAT000015,904,ST,12493.28
100,9000000110,000030,MAT000345,3482,ST,56686.96
100,9000000110,000040,MAT000347,1961,ST,48083.72
100,9000000111,000010,MAT000242,4688,ST,55318.4
100,9000000111,000020,MAT000471,111,ST,949.05
100,9000000112,000010,MAT000095,1873,ST,12624.02
100,9000000112,000020,MAT000150,4161,ST,71902.08
100,9000000112,000030,MAT000016,2132,ST,39164.84
100,9000000112,000040,MAT000178,2874,ST,54059.94
100,9000000113,000010,MAT000301,594,ST,10157.4
100,9000000113,000020,MAT000262,2754,ST,14623.74
100,9000000114,000010,MAT000275,652,ST,14904.72
100,9000000114,000020,MAT000416,3434,ST,8653.68
100,9000000114,000030,MAT000403,4272,ST,97230.72
100,9000000115,000010,MAT000262,1901,ST,31594.62
100,9000000115,000020,MAT000294,2974,ST,70335.1
100,9000000115,000030,MAT000357,4967,ST,82750.22
100,9000000116,000010,MAT000294,4800,ST,22464.0
100,9000000116,000020,MAT000086,677,ST,4881.17
100,9000000116,000030,MAT000154,1483,ST,12368.22
100,9000000117,000010,MAT000095,289,ST,8649.77
100,9000000117,000020,MAT000404,3189,ST,64928.04
100,9000000117,000030,MAT000211,985,ST,10677.4
100,9000000118,000010,MAT000258,3687,ST,56484.84
100,9000000118,000020,MAT000355,1112,ST,14133.52
100,9000000118,000030,MAT000066,1257,ST,37659.72
100,9000000119,000010,MAT000440,2298,ST,34079.34
100,9000000120,000010,MAT000311,2346,ST,28973.1
100,9000000120,000020,MAT000167,3536,ST,54489.76
100,9000000120,000030,MAT000086,2368,ST,23537.92
100,9000000121,000010,MAT000413,4416,ST,117377.28
100,9000000121,000020,MAT000166,2318,ST,65808.02
100,9000000121,000030,MAT000343,2426,ST,15308.06
100,9000000121,000040,MAT000194,721,ST,2336.04
100,9000000121,000050,MAT000173,619,ST,1894.14
100,9000000122,000010,MAT000221,324,ST,1921.32
100,9000000123,000010,MAT000497,75,ST,244.5
100,9000000123,000020,MAT000154,2183,ST,36827.21
100,9000000123,000030,MAT000154,736,ST,3680.0
100,9000000123,000040,MAT000419,1718,ST,36404.42
100,9000000124,000010,MAT000357,4355,ST,16592.55
100,9000000124,000020,MAT000358,4025,ST,44355.5
100,9000000124,000030,MAT000173,930,ST,4212.9
100,9000000125,000010,MAT000222,940,ST,21422.6
100,9000000126,000010,MAT000008,2393,ST,46472.06
100,9000000126,000020,MAT000192,2611,ST,15431.01
100,9000000126,000030,MAT000195,3987,ST,29743.02
100,9000000127,000010,MAT000167,2976,ST,18986.88
100,9000000128,000010,MAT000171,4539,ST,43846.74
100,9000000128,000020,MAT000403,849,ST,21488.19
100,9000000129,000010,MAT000009,2241,ST,32203.17
100,9000000129,000020,MAT000197,705,ST,11745.3
100,9000000129,000030,MAT000413,4965,ST,142495.5
100,9000000130,000010,MAT000006,2485,ST,36628.9
100,9000000130,000020,MAT000352,3094,ST,72709.0
100,9000000131,000010,MAT000181,3142,ST,37641.16
100,9000000131,000020,MAT000080,3714,ST,54447.24
100,9000000132,000010,MAT000239,1187,ST,25793.51
100,9000000132,000020,MAT000365,4871,ST,100293.89
100,9000000132,000030,MAT000426,1914,ST,15216.3
100,9000000133,000010,MAT000465,3340,ST,78356.4
100,9000000133,000020,MAT000414,4104,ST,68126.4
100,9000000133,000030,MAT000379,4554,ST,44583.66
100,9000000134,000010,MAT000124,4269,ST,64632.66
100,9000000134,000020,MAT000010,3484,ST,40553.76
100,9000000134,000030,MAT000416,3435,ST,20129.1
100,9000000135,000010,MAT000354,90,ST,589.5
100,9000000135,000020,MAT000002,2564,ST,39357.4
100,9000000136,000010,MAT000018,2880,ST,37180.8
100,9000000136,000020,MAT000199,2338,ST,58473.38
100,9000000136,000030,MAT000293,2096,ST,6078.4
100,9000000137,000010,MAT000422,848,ST,9980.96
100,9000000138,000010,MAT000483,3888,ST,53771.04
100,9000000138,000020,MAT000483,1210,ST,34267.2
100,9000000139,000010,MAT000310,1761,ST,29584.8
100,9000000139,000020,MAT000003,1614,ST,38235.66
100,9000000139,000030,MAT000071,3031,ST,28946.05
100,9000000140,000010,MAT000144,1088,ST,28124.8
100,9000000141,000010,MAT000153,146,ST,1699.44
100,9000000141,000020,MAT000440,3010,ST,28564.9
100,9000000142,000010,MAT000372,1218,ST,10365.18
100,9000000142,000020,MAT000154,4150,ST,86237.0
100,9000000142,000030,MAT000086,2807,ST,41824.3
100,9000000142,000040,MAT000083,751,ST,20697.56
100,9000000143,000010,MAT000272,3781,ST,10586.8
100,9000000143,000020,MAT000152,1097,ST,31165.77
100,9000000144,000010,MAT000197,1642,ST,29572.42
100,9000000144,000020,MAT000365,2919,ST,58555.14
100,9000000144,000030,MAT000135,310,ST,1965.4
100,9000000144,000040,MAT000315,2851,ST,52287.34
100,9000000145,000010,MAT000070,4214,ST,105139.3
100,9000000145,000020,MAT000083,4245,ST,97592.55
100,9000000145,000030,MAT000272,4628,ST,55443.44
100,9000000146,000010,MAT000239,2768,ST,23306.56
100,9000000146,000020,MAT000347,4489,ST,107466.66
100,9000000147,000010,MAT000354,2005,ST,8721.75
100,9000000147,000020,MAT000011,1929,ST,21334.74
100,9000000147,000030,MAT000428,3292,ST,45495.44
100,9000000148,000010,MAT000426,1153,ST,15992.11
100,9000000149,000010,MAT000344,16,ST,317.92
100,9000000149,000020,MAT000178,1675,ST,28843.5
100,9000000150,000010,MAT000075,3866,ST,60966.82
100,9000000151,000010,MAT000071,3185,ST,91982.8
100,9000000151,000020,MAT000310,4900,ST,137396.0
100,9000000151,000030,MAT000440,230,ST,5713.2
100,9000000152,000010,MAT000289,642,ST,18200.7
100,9000000152,000020,MAT000315,770,ST,21945.0
100,9000000152,000030,MAT000281,3947,ST,20958.57
100,9000000153,000010,MAT000075,3323,ST,12494.48
100,9000000153,000020,MAT000280,3734,ST,90026.74
100,9000000154,000010,MAT000468,3698,ST,68819.78
100,9000000154,000020,MAT000082,1475,ST,36934.0
100,9000000154,000030,MAT000002,2771,ST,55253.74
100,9000000155,000010,MAT000201,336,ST,3292.8
100,9000000156,000010,MAT000211,202,ST,4938.9
100,9000000156,000020,MAT000235,2448,ST,21860.64
100,9000000157,000010,MAT000411,784,ST,12324.48
100,9000000158,000010,MAT000403,4671,ST,133964.28
100,9000000158,000020,MAT000075,3138,ST,66933.54
100,9000000159,000010,MAT000191,659,ST,2385.58
100,9000000161,000010,MAT000419,112,ST,514.08
100,9000000161,000020,MAT000371,1735,ST,31177.95
100,9000000162,000010,MAT000250,690,ST,18850.8
100,9000000162,000020,MAT000341,3838,ST,68393.16
100,9000000163,000010,MAT000168,916,ST,8079.12
100,9000000163,000020,MAT000290,4516,ST,109648.48
100,9000000164,000010,MAT000500,2613,ST,14371.5
100,9000000164,000020,MAT000345,2355,ST,9467.1
100,9000000164,000030,MAT000205,37,ST,764.42
100,9000000165,000010,MAT000304,3371,ST,37890.04
100,9000000165,000020,MAT000065,4921,ST,90743.24
100,9000000165,000030,MAT000426,3875,ST,55102.5
100,9000000166,000010,MAT000153,1332,ST,32527.44
100,9000000166,000020,MAT000159,2653,ST,68792.29
100,9000000167,000010,MAT000179,1458,ST,22292.82
100,9000000167,000020,MAT000122,2015,ST,39070.85
100,9000000168,000010,MAT000019,3426,ST,43475.94
100,9000000168,000020,MAT000411,204,ST,3890.28
100,9000000168,000030,MAT000011,2986,ST,12332.18
100,9000000168,000040,MAT000111,2160,ST,25423.2
100,9000000169,000010,MAT000357,1731,ST,18625.56
100,9000000169,000020,MAT000181,2139,ST,49945.65
100,9000000169,000030,MAT000192,4664,ST,106106.0
100,9000000169,000040,MAT000173,3048,ST,82356.96
100,9000000170,000010,MAT000324,2425,ST,65693.25
100,9000000170,000020,MAT000280,2117,ST,15496.44
100,9000000171,000010,MAT000383,3334,ST,76348.6
100,9000000171,000020,MAT000372,2584,ST,49845.36
100,9000000171,000030,MAT000357,1446,ST,36178.92
100,9000000172,000010,MAT000197,4542,ST,116502.3
100,9000000172,000020,MAT000015,3668,ST,78788.64
100,9000000173,000010,MAT000343,1463,ST,30810.78
100,9000000173,000020,MAT000152,531,ST,8241.12
100,9000000174,000010,MAT000345,815,ST,9559.95
100,9000000174,000020,MAT000355,963,ST,15427.26
100,9000000174,000030,MAT000465,4001,ST,65176.29
100,9000000175,000010,MAT000440,3747,ST,13751.49
100,9000000175,000020,MAT000144,2702,ST,33991.16
100,9000000175,000030,MAT000411,2049,ST,30939.9
100,9000000176,000010,MAT000376,3864,ST,107264.64
100,9000000177,000010,MAT000412,1506,ST,20014.74
100,9000000177,000020,MAT000222,4355,ST,67589.6
100,9000000177,000030,MAT000117,2662,ST,40329.3
100,9000000178,000010,MAT000453,3425,ST,98742.75
100,9000000178,000020,MAT000216,3047,ST,72853.77
100,9000000178,000030,MAT000219,3494,ST,22990.52
100,9000000178,000040,MAT000294,2906,ST,29408.72
100,9000000178,000050,MAT000159,1718,ST,20598.82
100,9000000179,000010,MAT000324,2338,ST,28523.6
100,9000000179,000020,MAT000297,1253,ST,31337.53
100,9000000180,000010,MAT000192,4570,ST,134723.6
100,9000000180,000020,MAT000221,2969,ST,30521.32
100,9000000180,000030,MAT000344,2977,ST,64571.13
100,9000000183,000010,MAT000192,1835,ST,39452.5
100,9000000183,000020,MAT000428,2915,ST,18451.95
100,9000000184,000010,MAT000411,4940,ST,71333.6
100,9000000185,000010,MAT000159,2491,ST,72438.28
100,9000000185,000020,MAT000258,233,ST,3017.35
100,9000000185,000030,MAT000329,1718,ST,47932.2
100,9000000187,000010,MAT000222,3410,ST,56844.7
100,9000000187,000020,MAT000082,3753,ST,24957.45
100,9000000187,000030,MAT000258,2962,ST,6575.64
100,9000000188,000010,MAT000281,3871,ST,70878.01
100,9000000188,000020,MAT000144,4635,ST,19096.2
100,9000000188,000030,MAT000010,511,ST,3009.79
100,9000000189,000010,MAT000383,1250,ST,3262.5
100,9000000190,000010,MAT000293,3067,ST,58365.01
100,9000000190,000020,MAT000008,3864,ST,75966.24
100,9000000191,000010,MAT000004,2866,ST,16766.1
100,9000000192,000010,MAT000412,3617,ST,31359.39
100,9000000192,000020,MAT000191,1060,ST,20224.8
100,9000000192,000030,MAT000071,3924,ST,111480.84
100,9000000192,000040,MAT000109,1857,ST,42469.59
100,9000000193,000010,MAT000150,2476,ST,69947.0
100,9000000193,000020,MAT000195,1088,ST,13328.0
100,9000000194,000010,MAT000154,1502,ST,42176.16
100,9000000195,000010,MAT000357,2827,ST,39860.7
100,9000000195,000020,MAT000491,2162,ST,30138.28
100,9000000195,000030,MAT000242,2772,ST,60457.32
100,9000000196,000010,MAT000249,4262,ST,50334.22
100,9000000197,000010,MAT000082,995,ST,12447.45
100,9000000197,000020,MAT000315,4542,ST,90067.86
100,9000000197,000030,MAT000376,1606,ST,41611.46
100,9000000197,000040,MAT000258,4315,ST,10528.6
100,9000000197,000050,MAT000411,2980,ST,75543.0
100,9000000198,000010,MAT000487,1863,ST,42849.0
100,9000000198,000020,MAT000310,1666,ST,29238.3
100,9000000198,000030,MAT000304,3913,ST,35334.39
100,9000000199,000010,MAT000474,4875,ST,91796.25
100,9000000199,000020,MAT000124,1996,ST,56007.76
100,9000000200,000010,MAT000199,1160,ST,8874.0
100,9000000200,000020,MAT000329,1176,ST,10689.84
100,9000000200,000030,MAT000403,850,ST,5550.5
100,9000000200,000040,MAT000093,4443,ST,19682.49
100,9000000200,000050,MAT000249,2239,ST,46369.69
100,9000000201,000010,MAT000358,2394,ST,63752.22
100,9000000201,000020,MAT000465,2980,ST,15943.0
100,9000000201,000030,MAT000304,474,ST,4668.9
100,9000000202,000010,MAT000261,690,ST,14145.0
100,9000000202,000020,MAT000451,3563,ST,60713.52
100,9000000202,000030,MAT000274,4979,ST,99878.74
100,9000000202,000040,MAT000075,4725,ST,130032.0
100,9000000203,000010,MAT000011,2855,ST,60468.9
100,9000000203,000020,MAT000290,3547,ST,9080.32
100,9000000203,000030,MAT000238,819,ST,21957.39
100,9000000204,000010,MAT000183,2276,ST,16546.52
100,9000000204,000020,MAT000194,1325,ST,32290.25
100,9000000205,000010,MAT000483,4419,ST,109767.96
100,9000000205,000020,MAT000070,3336,ST,18714.96
100,9000000206,000010,MAT000324,2971,ST,87139.43
100,9000000206,000020,MAT000220,4156,ST,102320.72
100,9000000207,000010,MAT000070,751,ST,4843.95
100,9000000208,000010,MAT000280,858,ST,24341.46
100,9000000208,000020,MAT000231,1851,ST,18602.55
100,9000000209,000010,MAT000173,2019,ST,34403.76
100,9000000209,000020,MAT000006,3968,ST,90113.28
100,9000000210,000010,MAT000497,4724,ST,86449.2
100,9000000210,000020,MAT000194,3543,ST,96971.91
100,9000000210,000030,MAT000104,2645,ST,51022.05
100,9000000211,000010,MAT000221,868,ST,20849.36
100,9000000211,000020,MAT000417,1844,ST,46229.08
100,9000000212,000010,MAT000135,191,ST,2477.27
100,9000000212,000020,MAT000111,532,ST,2159.92
100,9000000212,000030,MAT000008,4906,ST,75012.74
100,9000000212,000040,MAT000341,2548,ST,31162.04
100,9000000212,000050,MAT000376,3345,ST,52416.15
100,9000000214,000010,MAT000249,1509,ST,3546.15
100,9000000214,000020,MAT000371,753,ST,15127.77
100,9000000215,000010,MAT000071,4301,ST,123954.82
100,9000000215,000020,MAT000272,792,ST,18509.04
100,9000000216,000010,MAT000018,1422,ST,34355.52
100,9000000216,000020,MAT000250,804,ST,22914.0
100,9000000217,000010,MAT000329,258,ST,2285.88
100,9000000218,000010,MAT000451,4257,ST,72624.42
100,9000000218,000020,MAT000474,2773,ST,32693.67
100,9000000218,000030,MAT000083,4552,ST,70146.32
100,9000000219,000010,MAT000016,3945,ST,54322.65
100,9000000220,000010,MAT000422,4721,ST,136389.69
100,9000000220,000020,MAT000201,2634,ST,35980.44
100,9000000220,000030,MAT000315,3098,ST,46129.22
100,9000000220,000040,MAT000474,3195,ST,30640.05
100,9000000221,000010,MAT000427,4456,ST,109038.32
100,9000000221,000020,MAT000216,3163,ST,8666.62
100,9000000221,000030,MAT000315,4174,ST,107313.54
100,9000000222,000010,MAT000197,3362,ST,59709.12
100,9000000222,000020,MAT000152,4009,ST,74166.5
100,9000000223,000010,MAT000083,954,ST,8118.54
