MANDT,TKNUM,ABESSION,WAESSION,WAERS
100,0000000270,SETTLE0270,1075.74,EUR
100,0000000271,SETTLE0271,4431.56,EUR
100,0000000272,SETTLE0272,2650.12,EUR
100,0000000273,SETTLE0273,4573.7,EUR
100,0000000274,SETTLE0274,1671.93,EUR
100,0000000275,SETTLE0275,3281.21,EUR
100,0000000276,SETTLE0276,3963.26,EUR
100,0000000277,SETTLE0277,3889.19,EUR
100,0000000278,SETTLE0278,2615.2,EUR
100,0000000279,SETTLE0279,583.76,EUR
100,0000000280,SETTLE0280,915.9,EUR
100,0000000281,SETTLE0281,3290.14,EUR
100,0000000282,SETTLE0282,1590.01,EUR
100,0000000283,SETTLE0283,4747.65,EUR
100,0000000284,SETTLE0284,4693.95,EUR
100,0000000285,SETTLE0285,4655.23,EUR
100,0000000286,SETTLE0286,3034.11,EUR
100,0000000287,SETTLE0287,2438.45,EUR
100,0000000288,SETTLE0288,1319.53,EUR
100,0000000289,SETTLE0289,2898.23,EUR
100,0000000290,SETTLE0290,4135.01,EUR
100,0000000291,SETTLE0291,2058.53,EUR
100,0000000292,SETTLE0292,3668.51,EUR
100,0000000293,SETTLE0293,2811.27,EUR
100,0000000294,SETTLE0294,4182.89,EUR
100,0000000295,SETTLE0295,2900.88,EUR
100,0000000296,SETTLE0296,4482.78,EUR
100,0000000297,SETTLE0297,3287.66,EUR
100,0000000298,SETTLE0298,2060.36,EUR
100,0000000299,SETTLE0299,2354.21,EUR
100,0000000300,SETTLE0300,3752.52,EUR
100,0000000301,SETTLE0301,1834.95,EUR
100,0000000302,SETTLE0302,1533.14,EUR
100,0000000303,SETTLE0303,3026.34,EUR
100,0000000304,SETTLE0304,2677.9,EUR
100,0000000305,SETTLE0305,1119.57,EUR
100,0000000306,SETTLE0306,3990.76,EUR
100,0000000307,SETTLE0307,4975.41,EUR
100,0000000308,SETTLE0308,1146.37,EUR
100,0000000309,SETTLE0309,1833.53,EUR
100,0000000310,SETTLE0310,594.66,EUR
100,0000000311,SETTLE0311,1490.3,EUR
100,0000000312,SETTLE0312,2574.76,EUR
100,0000000313,SETTLE0313,4661.32,EUR
100,0000000314,SETTLE0314,1927.33,EUR
100,0000000315,SETTLE0315,852.14,EUR
100,0000000316,SETTLE0316,2290.65,EUR
100,0000000317,SETTLE0317,1612.91,EUR
100,0000000318,SETTLE0318,3945.73,EUR
100,0000000319,SETTLE0319,4564.52,EUR
100,0000000320,SETTLE0320,2829.27,EUR
100,0000000321,SETTLE0321,142.15,EUR
100,0000000322,SETTLE0322,1826.79,EUR
100,0000000323,SETTLE0323,3206.6,EUR
100,0000000324,SETTLE0324,2222.45,EUR
100,0000000325,SETTLE0325,3891.72,EUR
100,0000000326,SETTLE0326,4148.78,EUR
100,0000000327,SETTLE0327,2139.56,EUR
100,0000000328,SETTLE0328,4237.4,EUR
100,0000000329,SETTLE0329,4528.16,EUR
100,0000000330,SETTLE0330,2523.65,EUR
100,0000000331,SETTLE0331,2063.96,EUR
100,0000000332,SETTLE0332,2025.81,EUR
100,0000000333,SETTLE0333,2644.01,EUR
100,0000000334,SETTLE0334,2965.82,EUR
100,0000000335,SETTLE0335,2611.51,EUR
100,0000000336,SETTLE0336,928.37,EUR
100,0000000337,SETTLE0337,1349.52,EUR
100,0000000338,SETTLE0338,2404.2,EUR
100,0000000339,SETTLE0339,1737.67,EUR
100,0000000340,SETTLE0340,1033.7,EUR
100,0000000341,SETTLE0341,2020.46,EUR
100,0000000342,SETTLE0342,1746.53,EUR
100,0000000343,SETTLE0343,3837.77,EUR
100,0000000344,SETTLE0344,143.26,EUR
100,0000000345,SETTLE0345,2176.82,EUR
100,0000000346,SETTLE0346,3579.64,EUR
100,0000000347,SETTLE0347,1685.5,EUR
100,0000000348,SETTLE0348,4317.59,EUR
100,0000000349,SETTLE0349,2246.89,EUR
100,0000000350,SETTLE0350,953.67,EUR
100,0000000351,SETTLE0351,2018.87,EUR
100,0000000352,SETTLE0352,4195.41,EUR
100,0000000353,SETTLE0353,3362.73,EUR
100,0000000354,SETTLE0354,976.59,EUR
100,0000000355,SETTLE0355,706.94,EUR
100,0000000356,SETTLE0356,2554.58,EUR
100,0000000357,SETTLE0357,3869.74,EUR
100,0000000358,SETTLE0358,2247.02,EUR
100,0000000359,SETTLE0359,239.51,EUR
100,0000000360,SETTLE0360,4069.86,EUR
100,0000000361,SETTLE0361,694.99,EUR
100,0000000362,SETTLE0362,4028.4,EUR
100,0000000363,SETTLE0363,299.38,EUR
100,0000000364,SETTLE0364,3680.63,EUR
100,0000000365,SETTLE0365,3180.02,EUR
100,0000000366,SETTLE0366,600.76,EUR
100,0000000367,SETTLE0367,841.16,EUR
100,0000000368,SETTLE0368,3236.76,EUR
100,0000000369,SETTLE0369,1586.9,EUR
100,0000000370,SETTLE0370,4071.21,EUR
100,0000000371,SETTLE0371,892.22,EUR
100,0000000372,SETTLE0372,1934.75,EUR
100,0000000373,SETTLE0373,1649.03,EUR
100,0000000374,SETTLE0374,2621.77,EUR
100,0000000375,SETTLE0375,2008.71,EUR
100,0000000376,SETTLE0376,792.95,EUR
100,0000000377,SETTLE0377,708.93,EUR
100,0000000378,SETTLE0378,3707.18,EUR
100,0000000379,SETTLE0379,4203.96,EUR
100,0000000380,SETTLE0380,2500.27,EUR
100,0000000381,SETTLE0381,2232.99,EUR
100,0000000382,SETTLE0382,808.72,EUR
100,0000000383,SETTLE0383,3193.45,EUR
100,0000000384,SETTLE0384,1643.33,EUR
100,0000000385,SETTLE0385,4813.13,EUR
100,0000000386,SETTLE0386,3661.91,EUR
100,0000000387,SETTLE0387,177.46,EUR
100,0000000388,SETTLE0388,3111.81,EUR
100,0000000389,SETTLE0389,3626.03,EUR
100,0000000390,SETTLE0390,460.52,EUR
100,0000000391,SETTLE0391,2875.85,EUR
100,0000000392,SETTLE0392,1279.76,EUR
100,0000000393,SETTLE0393,1700.32,EUR
100,0000000394,SETTLE0394,3711.81,EUR
100,0000000395,SETTLE0395,4541.88,EUR
100,0000000396,SETTLE0396,3668.59,EUR
100,0000000397,SETTLE0397,4312.62,EUR
100,0000000398,SETTLE0398,3642.12,EUR
100,0000000399,SETTLE0399,768.9,EUR
100,0000000400,SETTLE0400,199.09,EUR
100,0000000401,SETTLE0401,455.58,EUR
100,0000000402,SETTLE0402,2176.72,EUR
100,0000000403,SETTLE0403,2332.24,EUR
100,0000000404,SETTLE0404,150.01,EUR
100,0000000405,SETTLE0405,834.32,EUR
100,0000000406,SETTLE0406,1856.98,EUR
100,0000000407,SETTLE0407,2622.14,EUR
100,0000000408,SETTLE0408,2287.17,EUR
100,0000000409,SETTLE0409,3966.42,EUR
100,0000000410,SETTLE0410,3944.23,EUR
100,0000000411,SETTLE0411,4141.4,EUR
100,0000000412,SETTLE0412,2151.05,EUR
100,0000000413,SETTLE0413,3521.75,EUR
100,0000000414,SETTLE0414,1597.99,EUR
100,0000000415,SETTLE0415,3386.75,EUR
100,0000000416,SETTLE0416,4138.49,EUR
100,0000000417,SETTLE0417,1610.82,EUR
100,0000000418,SETTLE0418,488.05,EUR
100,0000000419,SETTLE0419,362.6,EUR
100,0000000420,SETTLE0420,2968.86,EUR
100,0000000421,SETTLE0421,3541.85,EUR
100,0000000422,SETTLE0422,1105.51,EUR
100,0000000423,SETTLE0423,3977.88,EUR
100,0000000424,SETTLE0424,713.82,EUR
100,0000000425,SETTLE0425,2750.5,EUR
100,0000000426,SETTLE0426,2651.58,EUR
100,0000000427,SETTLE0427,295.1,EUR
100,0000000428,SETTLE0428,287.16,EUR
100,0000000429,SETTLE0429,2900.87,EUR
100,0000000430,SETTLE0430,316.59,EUR
100,0000000431,SETTLE0431,4534.86,EUR
100,0000000432,SETTLE0432,2841.22,EUR
100,0000000433,SETTLE0433,1413.74,EUR
100,0000000434,SETTLE0434,3462.1,EUR
100,0000000435,SETTLE0435,1104.33,EUR
100,0000000436,SETTLE0436,2370.53,EUR
100,0000000437,SETTLE0437,612.05,EUR
100,0000000438,SETTLE0438,1640.08,EUR
100,0000000439,SETTLE0439,3147.97,EUR
100,0000000440,SETTLE0440,3110.32,EUR
100,0000000441,SETTLE0441,1127.51,EUR
100,0000000442,SETTLE0442,1532.54,EUR
100,0000000443,SETTLE0443,498.5,EUR
100,0000000444,SETTLE0444,1466.41,EUR
100,0000000445,SETTLE0445,2862.95,EUR
100,0000000446,SETTLE0446,3361.16,EUR
100,0000000447,SETTLE0447,3687.93,EUR
100,0000000448,SETTLE0448,2961.69,EUR
100,0000000449,SETTLE0449,4215.04,EUR
100,0000000450,SETTLE0450,732.31,EUR
100,0000000451,SETTLE0451,4923.21,EUR
100,0000000452,SETTLE0452,2221.65,EUR
100,0000000453,SETTLE0453,4058.39,EUR
100,0000000454,SETTLE0454,548.8,EUR
100,0000000455,SETTLE0455,4972.2,EUR
100,0000000456,SETTLE0456,4234.49,EUR
100,0000000457,SETTLE0457,4702.21,EUR
100,0000000458,SETTLE0458,4387.54,EUR
100,0000000459,SETTLE0459,1216.13,EUR
100,0000000460,SETTLE0460,109.62,EUR
100,0000000461,SETTLE0461,2179.64,EUR
100,0000000462,SETTLE0462,3950.91,EUR
100,0000000463,SETTLE0463,1977.2,EUR
100,0000000464,SETTLE0464,2577.8,EUR
100,0000000465,SETTLE0465,3637.54,EUR
100,0000000466,SETTLE0466,2806.48,EUR
100,0000000467,SETTLE0467,1659.52,EUR
100,0000000468,SETTLE0468,791.95,EUR
100,0000000469,SETTLE0469,567.71,EUR
100,0000000470,SETTLE0470,1496.55,EUR
100,0000000471,SETTLE0471,3741.92,EUR
100,0000000472,SETTLE0472,4262.45,EUR
100,0000000473,SETTLE0473,4897.14,EUR
100,0000000474,SETTLE0474,402.98,EUR
100,0000000475,SETTLE0475,419.79,EUR
100,0000000476,SETTLE0476,205.81,EUR
100,0000000477,SETTLE0477,3877.47,EUR
100,0000000478,SETTLE0478,4301.74,EUR
100,0000000479,SETTLE0479,3100.83,EUR
100,0000000480,SETTLE0480,662.43,EUR
100,0000000481,SETTLE0481,1360.51,EUR
100,0000000482,SETTLE0482,2306.28,EUR
100,0000000483,SETTLE0483,781.08,EUR
100,0000000484,SETTLE0484,2875.13,EUR
100,0000000485,SETTLE0485,1874.58,EUR
100,0000000486,SETTLE0486,577.08,EUR
100,0000000487,SETTLE0487,4291.75,EUR
100,0000000488,SETTLE0488,746.09,EUR
100,0000000489,SETTLE0489,3048.09,EUR
100,0000000490,SETTLE0490,4000.53,EUR
100,0000000491,SETTLE0491,967.73,EUR
100,0000000492,SETTLE0492,2243.16,EUR
100,0000000493,SETTLE0493,311.41,EUR
100,0000000494,SETTLE0494,2812.93,EUR
100,0000000495,SETTLE0495,2929.18,EUR
100,0000000496,SETTLE0496,3294.82,EUR
100,0000000497,SETTLE0497,173.54,EUR
100,0000000498,SETTLE0498,2980.37,EUR
100,0000000499,SETTLE0499,1163.34,EUR
100,0000000500,SETTLE0500,4363.81,EUR
100,0000000501,SETTLE0501,359.14,EUR
100,0000000502,SETTLE0502,2977.42,EUR
100,0000000503,SETTLE0503,2144.96,EUR
100,0000000504,SETTLE0504,2108.65,EUR
100,0000000505,SETTLE0505,939.38,EUR
100,0000000506,SETTLE0506,1995.15,EUR
100,0000000507,SETTLE0507,200.4,EUR
100,0000000508,SETTLE0508,3235.03,EUR
100,0000000509,SETTLE0509,1029.38,EUR
100,0000000510,SETTLE0510,199.31,EUR
100,0000000511,SETTLE0511,3495.33,EUR
100,0000000512,SETTLE0512,2281.85,EUR
100,0000000513,SETTLE0513,4222.53,EUR
100,0000000514,SETTLE0514,381.43,EUR
100,0000000515,SETTLE0515,1923.91,EUR
100,0000000516,SETTLE0516,2213.85,EUR
100,0000000517,SETTLE0517,3789.4,EUR
100,0000000518,SETTLE0518,1177.33,EUR
100,0000000519,SETTLE0519,1578.76,EUR
100,0000000520,SETTLE0520,1599.35,EUR
100,0000000521,SETTLE0521,403.32,EUR
100,0000000522,SETTLE0522,1915.24,EUR
100,0000000523,SETTLE0523,4863.17,EUR
100,0000000524,SETTLE0524,192.46,EUR
100,0000000525,SETTLE0525,3162.21,EUR
100,0000000526,SETTLE0526,3065.88,EUR
100,0000000527,SETTLE0527,3697.99,EUR
100,0000000528,SETTLE0528,3324.64,EUR
100,0000000529,SETTLE0529,1002.9,EUR
100,0000000530,SETTLE0530,301.19,EUR
100,0000000531,SETTLE0531,756.57,EUR
100,0000000532,SETTLE0532,4566.87,EUR
100,0000000533,SETTLE0533,2679.43,EUR
100,0000000534,SETTLE0534,4558.8,EUR
100,0000000535,SETTLE0535,2588.79,EUR
100,0000000536,SETTLE0536,1871.31,EUR
100,0000000537,SETTLE0537,3195.28,EUR
100,0000000538,SETTLE0538,4644.77,EUR
100,0000000539,SETTLE0539,1795.38,EUR
100,0000000540,SETTLE0540,968.8,EUR
100,0000000541,SETTLE0541,4003.85,EUR
100,0000000542,SETTLE0542,614.09,EUR
100,0000000543,SETTLE0543,4251.47,EUR
100,0000000544,SETTLE0544,491.03,EUR
100,0000000545,SETTLE0545,2647.52,EUR
100,0000000546,SETTLE0546,3097.54,EUR
100,0000000547,SETTLE0547,421.84,EUR
100,0000000548,SETTLE0548,2551.56,EUR
100,0000000549,SETTLE0549,1846.34,EUR
100,0000000550,SETTLE0550,1091.87,EUR
100,0000000551,SETTLE0551,3713.37,EUR
100,0000000552,SETTLE0552,276.02,EUR
100,0000000553,SETTLE0553,2320.77,EUR
100,0000000554,SETTLE0554,401.72,EUR
100,0000000555,SETTLE0555,3491.11,EUR
100,0000000556,SETTLE0556,1555.81,EUR
100,0000000557,SETTLE0557,1205.88,EUR
100,0000000558,SETTLE0558,2631.39,EUR
100,0000000559,SETTLE0559,4436.91,EUR
100,0000000560,SETTLE0560,546.68,EUR
100,0000000561,SETTLE0561,3959.25,EUR
100,0000000562,SETTLE0562,298.42,EUR
100,0000000563,SETTLE0563,3381.42,EUR
100,0000000564,SETTLE0564,532.58,EUR
100,0000000565,SETTLE0565,4269.97,EUR
100,0000000566,SETTLE0566,4820.49,EUR
100,0000000567,SETTLE0567,3665.98,EUR
100,0000000568,SETTLE0568,2374.02,EUR
100,0000000569,SETTLE0569,1503.1,EUR
100,0000000570,SETTLE0570,4863.69,EUR
100,0000000571,SETTLE0571,879.28,EUR
100,0000000572,SETTLE0572,2612.36,EUR
100,0000000573,SETTLE0573,2606.44,EUR
100,0000000574,SETTLE0574,1572.35,EUR
100,0000000575,SETTLE0575,1898.65,EUR
100,0000000576,SETTLE0576,600.21,EUR
100,0000000577,SETTLE0577,4914.32,EUR
100,0000000578,SETTLE0578,151.13,EUR
100,0000000579,SETTLE0579,3628.96,EUR
100,0000000580,SETTLE0580,1070.34,EUR
100,0000000581,SETTLE0581,3728.99,EUR
100,0000000582,SETTLE0582,905.35,EUR
100,0000000583,SETTLE0583,2894.57,EUR
100,0000000584,SETTLE0584,4236.1,EUR
100,0000000585,SETTLE0585,833.42,EUR
