MANDT,KOKRS,PESSION,KUNNR,MATNR,VKORG,WERKS,PERDE,GJAHR,VV010,TWAER
100,1000,0000000077,0000000418,000000000000100026,1000,0003,005,2023,6916.88,EUR
100,1000,0000000078,0000000429,000000000000100120,1000,0002,006,2024,8064.34,EUR
100,1000,0000000079,0000000422,000000000000100333,1000,0010,007,2023,120.85,EUR
100,1000,0000000080,0000000152,000000000000100289,1000,0005,008,2024,8023.0,EUR
100,1000,0000000081,0000000158,000000000000100405,2000,0010,009,2023,9815.66,EUR
100,1000,0000000082,0000000137,000000000000100426,2000,0008,010,2024,4742.48,EUR
100,1000,0000000083,0000000451,000000000000100150,1000,0002,011,2023,7613.24,EUR
100,1000,0000000084,0000000005,000000000000100201,2000,0007,012,2024,6537.95,EUR
100,1000,0000000085,0000000426,000000000000100426,1000,0002,001,2023,3444.83,EUR
100,1000,0000000086,0000000056,000000000000100173,2000,0009,002,2024,2437.51,EUR
100,1000,0000000087,0000000035,000000000000100281,2000,0006,003,2023,2040.66,EUR
100,1000,0000000088,0000000150,000000000000100334,2000,0003,004,2024,3384.46,EUR
100,1000,0000000089,0000000402,000000000000100273,1000,0002,005,2023,4569.04,EUR
100,1000,0000000090,0000000320,000000000000100288,2000,0009,006,2024,1986.0,EUR
100,1000,0000000091,0000000249,000000000000100451,2000,0003,007,2023,7951.42,EUR
100,1000,0000000092,0000000498,000000000000100055,2000,0003,008,2024,6909.49,EUR
100,1000,0000000093,0000000447,000000000000100312,2000,0005,009,2023,1126.12,EUR
100,1000,0000000094,0000000322,000000000000100494,2000,0006,010,2024,5523.9,EUR
100,1000,0000000095,0000000448,000000000000100106,1000,0010,011,2023,4024.75,EUR
100,1000,0000000096,0000000091,000000000000100243,2000,0009,012,2024,1122.81,EUR
100,1000,0000000097,0000000377,000000000000100431,1000,0005,001,2023,1186.02,EUR
100,1000,0000000098,0000000079,000000000000100461,2000,0006,002,2024,5365.73,EUR
100,1000,0000000099,0000000410,000000000000100034,2000,0006,003,2023,2941.61,EUR
100,1000,0000000100,0000000370,000000000000100048,1000,0009,004,2024,5092.57,EUR
100,1000,0000000101,0000000085,000000000000100149,2000,0004,005,2023,8467.29,EUR
100,1000,0000000102,0000000024,000000000000100366,2000,0007,006,2024,3519.58,EUR
100,1000,0000000103,0000000304,000000000000100403,1000,0004,007,2023,8869.95,EUR
100,1000,0000000104,0000000365,000000000000100372,1000,0004,008,2024,6608.83,EUR
100,1000,0000000105,0000000201,000000000000100331,2000,0006,009,2023,9283.32,EUR
100,1000,0000000106,0000000466,000000000000100229,2000,0006,010,2024,8788.61,EUR
100,1000,0000000107,0000000003,000000000000100059,2000,0003,011,2023,7626.93,EUR
100,1000,0000000108,0000000438,000000000000100172,1000,0002,012,2024,2931.51,EUR
100,1000,0000000109,0000000044,000000000000100233,1000,0007,001,2023,409.9,EUR
100,1000,0000000110,0000000333,000000000000100446,1000,0006,002,2024,8430.21,EUR
100,1000,0000000111,0000000032,000000000000100183,1000,0005,003,2023,9177.94,EUR
100,1000,0000000112,0000000331,000000000000100263,1000,0010,004,2024,492.98,EUR
100,1000,0000000113,0000000487,000000000000100039,2000,0001,005,2023,6260.99,EUR
100,1000,0000000114,0000000030,000000000000100024,2000,0007,006,2024,2420.49,EUR
100,1000,0000000115,0000000030,000000000000100214,1000,0005,007,2023,5776.29,EUR
100,1000,0000000116,0000000489,000000000000100238,1000,0008,008,2024,2548.93,EUR
100,1000,0000000117,0000000326,000000000000100484,1000,0002,009,2023,9737.85,EUR
100,1000,0000000118,0000000401,000000000000100301,2000,0005,010,2024,7407.4,EUR
100,1000,0000000119,0000000461,000000000000100042,2000,0009,011,2023,9298.11,EUR
100,1000,0000000120,0000000316,000000000000100066,1000,0005,012,2024,2911.95,EUR
100,1000,0000000121,0000000423,000000000000100029,2000,0010,001,2023,5403.78,EUR
100,1000,0000000122,0000000039,000000000000100246,1000,0004,002,2024,4365.74,EUR
100,1000,0000000123,0000000151,000000000000100022,1000,0005,003,2023,2753.68,EUR
100,1000,0000000124,0000000375,000000000000100300,1000,0007,004,2024,7432.44,EUR
100,1000,0000000125,0000000096,000000000000100025,2000,0007,005,2023,9865.01,EUR
100,1000,0000000126,0000000439,000000000000100442,2000,0001,006,2024,8497.78,EUR
100,1000,0000000127,0000000486,000000000000100407,2000,0010,007,2023,9499.54,EUR
100,1000,0000000128,0000000345,000000000000100343,1000,0005,008,2024,9818.84,EUR
100,1000,0000000129,0000000078,000000000000100378,1000,0004,009,2023,4285.06,EUR
100,1000,0000000130,0000000272,000000000000100414,1000,0008,010,2024,3031.89,EUR
100,1000,0000000131,0000000407,000000000000100295,2000,0005,011,2023,5239.82,EUR
100,1000,0000000132,0000000103,000000000000100413,1000,0007,012,2024,434.26,EUR
100,1000,0000000133,0000000282,000000000000100360,2000,0008,001,2023,6108.63,EUR
100,1000,0000000134,0000000380,000000000000100171,1000,0010,002,2024,4519.97,EUR
100,1000,0000000135,0000000116,000000000000100482,1000,0010,003,2023,2658.84,EUR
100,1000,0000000136,0000000019,000000000000100441,1000,0005,004,2024,5692.42,EUR
100,1000,0000000137,0000000122,000000000000100232,1000,0002,005,2023,5897.58,EUR
100,1000,0000000138,0000000363,000000000000100432,2000,0003,006,2024,6066.12,EUR
100,1000,0000000139,0000000308,000000000000100492,1000,0001,007,2023,1148.55,EUR
100,1000,0000000140,0000000397,000000000000100429,1000,0010,008,2024,6703.44,EUR
100,1000,0000000141,0000000308,000000000000100100,1000,0002,009,2023,1477.85,EUR
100,1000,0000000142,0000000043,000000000000100346,1000,0009,010,2024,1251.09,EUR
100,1000,0000000143,0000000067,000000000000100143,2000,0008,011,2023,9591.14,EUR
100,1000,0000000144,0000000040,000000000000100100,1000,0004,012,2024,9123.41,EUR
100,1000,0000000145,0000000355,000000000000100330,2000,0008,001,2023,4046.26,EUR
100,1000,0000000146,0000000197,000000000000100404,1000,0007,002,2024,6087.95,EUR
100,1000,0000000147,0000000047,000000000000100414,2000,0009,003,2023,8695.05,EUR
100,1000,0000000148,0000000211,000000000000100479,1000,0002,004,2024,2335.02,EUR
100,1000,0000000149,0000000080,000000000000100121,1000,0003,005,2023,6891.75,EUR
100,1000,0000000150,0000000372,000000000000100090,2000,0004,006,2024,5205.78,EUR
100,1000,0000000151,0000000486,000000000000100186,1000,0003,007,2023,6320.88,EUR
100,1000,0000000152,0000000310,000000000000100216,1000,0010,008,2024,5731.6,EUR
100,1000,0000000153,0000000075,000000000000100109,2000,0010,009,2023,8540.07,EUR
100,1000,0000000154,0000000096,000000000000100024,2000,0007,010,2024,8920.84,EUR
100,1000,0000000155,0000000499,000000000000100387,1000,0008,011,2023,6341.09,EUR
100,1000,0000000156,0000000297,000000000000100298,2000,0001,012,2024,5330.04,EUR
100,1000,0000000157,0000000482,000000000000100348,1000,0002,001,2023,1190.41,EUR
100,1000,0000000158,0000000481,000000000000100061,2000,0006,002,2024,4657.93,EUR
100,1000,0000000159,0000000270,000000000000100244,2000,0004,003,2023,4868.68,EUR
100,1000,0000000160,0000000157,000000000000100068,1000,0008,004,2024,8504.07,EUR
100,1000,0000000161,0000000056,000000000000100234,2000,0002,005,2023,407.41,EUR
100,1000,0000000162,0000000348,000000000000100424,2000,0004,006,2024,7297.94,EUR
100,1000,0000000163,0000000460,000000000000100143,1000,0008,007,2023,7683.32,EUR
100,1000,0000000164,0000000254,000000000000100445,1000,0004,008,2024,4053.81,EUR
100,1000,0000000165,0000000154,000000000000100055,1000,0004,009,2023,6421.01,EUR
100,1000,0000000166,0000000045,000000000000100223,1000,0007,010,2024,3265.3,EUR
100,1000,0000000167,0000000062,000000000000100208,1000,0003,011,2023,1418.0,EUR
100,1000,0000000168,0000000247,000000000000100369,1000,0005,012,2024,7334.09,EUR
100,1000,0000000169,0000000042,000000000000100155,2000,0002,001,2023,4690.51,EUR
100,1000,0000000170,0000000377,000000000000100044,1000,0007,002,2024,1668.04,EUR
100,1000,0000000171,0000000294,000000000000100445,1000,0009,003,2023,8085.76,EUR
100,1000,0000000172,0000000234,000000000000100294,1000,0004,004,2024,3728.82,EUR
100,1000,0000000173,0000000309,000000000000100042,1000,0002,005,2023,9384.28,EUR
100,1000,0000000174,0000000308,000000000000100159,1000,0003,006,2024,9909.76,EUR
100,1000,0000000175,0000000276,000000000000100023,2000,0004,007,2023,8917.81,EUR
100,1000,0000000176,0000000489,000000000000100121,1000,0002,008,2024,1302.94,EUR
100,1000,0000000177,0000000171,000000000000100254,2000,0003,009,2023,4695.29,EUR
100,1000,0000000178,0000000266,000000000000100429,2000,0010,010,2024,6528.71,EUR
100,1000,0000000179,0000000327,000000000000100107,2000,0009,011,2023,9329.09,EUR
100,1000,0000000180,0000000079,000000000000100358,2000,0010,012,2024,7708.41,EUR
100,1000,0000000181,0000000467,000000000000100322,2000,0003,001,2023,2996.05,EUR
100,1000,0000000182,0000000329,000000000000100141,2000,0006,002,2024,9039.27,EUR
100,1000,0000000183,0000000175,000000000000100381,2000,0004,003,2023,577.18,EUR
100,1000,0000000184,0000000449,000000000000100250,2000,0004,004,2024,9964.43,EUR
100,1000,0000000185,0000000174,000000000000100449,2000,0010,005,2023,5646.99,EUR
100,1000,0000000186,0000000061,000000000000100492,1000,0009,006,2024,8580.52,EUR
100,1000,0000000187,0000000460,000000000000100327,1000,0007,007,2023,7395.7,EUR
100,1000,0000000188,0000000325,000000000000100164,1000,0003,008,2024,1054.21,EUR
100,1000,0000000189,0000000088,000000000000100314,1000,0008,009,2023,2527.71,EUR
100,1000,0000000190,0000000174,000000000000100017,2000,0004,010,2024,4489.66,EUR
100,1000,0000000191,0000000138,000000000000100071,2000,0006,011,2023,8951.21,EUR
100,1000,0000000192,0000000393,000000000000100358,2000,0006,012,2024,8562.83,EUR
100,1000,0000000193,0000000003,000000000000100198,1000,0001,001,2023,5335.4,EUR
100,1000,0000000194,0000000377,000000000000100209,1000,0010,002,2024,2966.42,EUR
100,1000,0000000195,0000000248,000000000000100337,1000,0006,003,2023,598.85,EUR
100,1000,0000000196,0000000304,000000000000100100,2000,0008,004,2024,2923.54,EUR
100,1000,0000000197,0000000348,000000000000100155,1000,0007,005,2023,1299.13,EUR
100,1000,0000000198,0000000089,000000000000100403,2000,0010,006,2024,1537.45,EUR
100,1000,0000000199,0000000124,000000000000100445,2000,0005,007,2023,4556.71,EUR
100,1000,0000000200,0000000230,000000000000100179,2000,0005,008,2024,1786.75,EUR
100,1000,0000000201,0000000250,000000000000100453,1000,0008,009,2023,2271.83,EUR
100,1000,0000000202,0000000053,000000000000100392,1000,0001,010,2024,8505.15,EUR
100,1000,0000000203,0000000498,000000000000100427,1000,0001,011,2023,5333.44,EUR
100,1000,0000000204,0000000135,000000000000100398,1000,0004,012,2024,2084.34,EUR
100,1000,0000000205,0000000282,000000000000100344,2000,0005,001,2023,5378.02,EUR
100,1000,0000000206,0000000100,000000000000100037,2000,0004,002,2024,5910.85,EUR
100,1000,0000000207,0000000169,000000000000100327,1000,0004,003,2023,3043.75,EUR
100,1000,0000000208,0000000069,000000000000100059,2000,0009,004,2024,7445.75,EUR
100,1000,0000000209,0000000495,000000000000100357,2000,0001,005,2023,2065.19,EUR
100,1000,0000000210,0000000066,000000000000100307,1000,0007,006,2024,4721.51,EUR
100,1000,0000000211,0000000455,000000000000100423,2000,0003,007,2023,7443.82,EUR
100,1000,0000000212,0000000331,000000000000100415,1000,0003,008,2024,8566.45,EUR
100,1000,0000000213,0000000044,000000000000100483,1000,0007,009,2023,8705.12,EUR
100,1000,0000000214,0000000169,000000000000100173,1000,0006,010,2024,4549.03,EUR
100,1000,0000000215,0000000106,000000000000100459,1000,0008,011,2023,8785.73,EUR
100,1000,0000000216,0000000287,000000000000100442,1000,0004,012,2024,4463.4,EUR
100,1000,0000000217,0000000164,000000000000100296,1000,0008,001,2023,6524.62,EUR
100,1000,0000000218,0000000435,000000000000100321,1000,0005,002,2024,8310.48,EUR
100,1000,0000000219,0000000070,000000000000100138,1000,0004,003,2023,4112.21,EUR
100,1000,0000000220,0000000375,000000000000100178,2000,0006,004,2024,2259.01,EUR
100,1000,0000000221,0000000160,000000000000100055,1000,0006,005,2023,9529.59,EUR
100,1000,0000000222,0000000380,000000000000100251,1000,0003,006,2024,830.02,EUR
100,1000,0000000223,0000000377,000000000000100082,2000,0003,007,2023,6441.41,EUR
100,1000,0000000224,0000000056,000000000000100258,2000,0001,008,2024,7598.72,EUR
100,1000,0000000225,0000000132,000000000000100331,1000,0001,009,2023,4679.97,EUR
100,1000,0000000226,0000000181,000000000000100325,2000,0003,010,2024,7188.48,EUR
100,1000,0000000227,0000000214,000000000000100086,1000,0004,011,2023,3482.83,EUR
100,1000,0000000228,0000000190,000000000000100122,1000,0005,012,2024,4370.48,EUR
100,1000,0000000229,0000000357,000000000000100208,2000,0008,001,2023,558.21,EUR
100,1000,0000000230,0000000105,000000000000100415,2000,0001,002,2024,2486.49,EUR
100,1000,0000000231,0000000136,000000000000100287,2000,0006,003,2023,8718.55,EUR
100,1000,0000000232,0000000143,000000000000100042,1000,0008,004,2024,5508.6,EUR
100,1000,0000000233,0000000312,000000000000100204,1000,0002,005,2023,7066.43,EUR
100,1000,0000000234,0000000363,000000000000100138,2000,0006,006,2024,3232.63,EUR
100,1000,0000000235,0000000396,000000000000100434,1000,0006,007,2023,716.0,EUR
100,1000,0000000236,0000000441,000000000000100435,2000,0002,008,2024,6269.86,EUR
100,1000,0000000237,0000000455,000000000000100005,1000,0003,009,2023,847.64,EUR
100,1000,0000000238,0000000347,000000000000100499,2000,0010,010,2024,4881.37,EUR
100,1000,0000000239,0000000478,000000000000100269,1000,0008,011,2023,6581.53,EUR
100,1000,0000000240,0000000309,000000000000100385,2000,0007,012,2024,729.57,EUR
100,1000,0000000241,0000000246,000000000000100258,2000,0007,001,2023,2664.56,EUR
100,1000,0000000242,0000000374,000000000000100319,2000,0008,002,2024,1192.73,EUR
100,1000,0000000243,0000000413,000000000000100048,1000,0007,003,2023,2285.89,EUR
100,1000,0000000244,0000000105,000000000000100051,1000,0002,004,2024,6615.7,EUR
100,1000,0000000245,0000000210,000000000000100412,2000,0006,005,2023,943.76,EUR
100,1000,0000000246,0000000410,000000000000100078,2000,0002,006,2024,7665.93,EUR
100,1000,0000000247,0000000134,000000000000100059,2000,0003,007,2023,636.46,EUR
100,1000,0000000248,0000000238,000000000000100485,1000,0004,008,2024,7006.11,EUR
100,1000,0000000249,0000000231,000000000000100479,2000,0010,009,2023,4405.17,EUR
100,1000,0000000250,0000000082,000000000000100495,2000,0004,010,2024,8516.19,EUR
100,1000,0000000251,0000000422,000000000000100151,1000,0001,011,2023,8536.56,EUR
100,1000,0000000252,0000000140,000000000000100395,2000,0005,012,2024,4824.66,EUR
100,1000,0000000253,0000000281,000000000000100134,1000,0006,001,2023,2481.08,EUR
100,1000,0000000254,0000000430,000000000000100169,2000,0008,002,2024,3552.92,EUR
100,1000,0000000255,0000000481,000000000000100288,2000,0007,003,2023,1744.62,EUR
100,1000,0000000256,0000000432,000000000000100244,1000,0010,004,2024,2179.83,EUR
100,1000,0000000257,0000000041,000000000000100171,1000,0006,005,2023,447.25,EUR
100,1000,0000000258,0000000246,000000000000100200,2000,0009,006,2024,7030.92,EUR
100,1000,0000000259,0000000376,000000000000100404,2000,0004,007,2023,1572.78,EUR
100,1000,0000000260,0000000402,000000000000100459,1000,0006,008,2024,2369.25,EUR
100,1000,0000000261,0000000396,000000000000100019,2000,0002,009,2023,6601.19,EUR
100,1000,0000000262,0000000075,000000000000100392,1000,0002,010,2024,5300.74,EUR
100,1000,0000000263,0000000078,000000000000100455,1000,0006,011,2023,8304.2,EUR
100,1000,0000000264,0000000261,000000000000100149,1000,0010,012,2024,7692.51,EUR
100,1000,0000000265,0000000371,000000000000100447,2000,0007,001,2023,1785.61,EUR
100,1000,0000000266,0000000054,000000000000100249,2000,0005,002,2024,2279.5,EUR
100,1000,0000000267,0000000312,000000000000100276,2000,0009,003,2023,218.78,EUR
100,1000,0000000268,0000000391,000000000000100168,2000,0007,004,2024,7516.8,EUR
100,1000,0000000269,0000000425,000000000000100354,1000,0006,005,2023,4812.89,EUR
100,1000,0000000270,0000000214,000000000000100489,1000,0008,006,2024,7534.44,EUR
100,1000,0000000271,0000000319,000000000000100052,2000,0002,007,2023,3861.66,EUR
100,1000,0000000272,0000000159,000000000000100291,2000,0002,008,2024,5271.53,EUR
100,1000,0000000273,0000000017,000000000000100423,1000,0005,009,2023,4444.13,EUR
100,1000,0000000274,0000000325,000000000000100351,1000,0009,010,2024,4496.0,EUR
100,1000,0000000275,0000000355,000000000000100481,1000,0004,011,2023,7417.9,EUR
100,1000,0000000276,0000000055,000000000000100312,1000,0010,012,2024,7930.83,EUR
100,1000,0000000277,0000000259,000000000000100050,1000,0006,001,2023,9932.96,EUR
100,1000,0000000278,0000000172,000000000000100135,2000,0003,002,2024,4378.93,EUR
100,1000,0000000279,0000000113,000000000000100223,1000,0006,003,2023,8016.39,EUR
100,1000,0000000280,0000000278,000000000000100280,2000,0006,004,2024,6735.29,EUR
100,1000,0000000281,0000000284,000000000000100145,1000,0006,005,2023,8115.7,EUR
100,1000,0000000282,0000000437,000000000000100398,2000,0005,006,2024,6198.78,EUR
100,1000,0000000283,0000000487,000000000000100450,1000,0010,007,2023,1383.1,EUR
100,1000,0000000284,0000000266,000000000000100356,2000,0009,008,2024,5491.23,EUR
100,1000,0000000285,0000000245,000000000000100132,2000,0005,009,2023,2041.36,EUR
100,1000,0000000286,0000000190,000000000000100326,2000,0008,010,2024,2888.42,EUR
100,1000,0000000287,0000000195,000000000000100022,1000,0010,011,2023,7055.18,EUR
100,1000,0000000288,0000000051,000000000000100354,2000,0009,012,2024,7582.93,EUR
100,1000,0000000289,0000000293,000000000000100289,2000,0007,001,2023,4363.4,EUR
100,1000,0000000290,0000000175,000000000000100220,1000,0003,002,2024,4198.4,EUR
100,1000,0000000291,0000000130,000000000000100376,1000,0009,003,2023,7082.11,EUR
100,1000,0000000292,0000000220,000000000000100369,1000,0007,004,2024,8888.32,EUR
100,1000,0000000293,0000000400,000000000000100047,1000,0005,005,2023,5263.1,EUR
100,1000,0000000294,0000000310,000000000000100051,2000,0009,006,2024,5428.09,EUR
100,1000,0000000295,0000000384,000000000000100377,1000,0001,007,2023,3870.05,EUR
100,1000,0000000296,0000000457,000000000000100029,2000,0003,008,2024,6168.95,EUR
100,1000,0000000297,0000000186,000000000000100188,2000,0010,009,2023,5376.96,EUR
100,1000,0000000298,0000000096,000000000000100353,1000,0003,010,2024,9944.92,EUR
100,1000,0000000299,0000000009,000000000000100224,2000,0003,011,2023,1667.87,EUR
100,1000,0000000300,0000000400,000000000000100160,1000,0006,012,2024,8316.19,EUR
100,1000,0000000301,0000000341,000000000000100188,2000,0010,001,2023,5137.95,EUR
100,1000,0000000302,0000000461,000000000000100097,1000,0007,002,2024,750.87,EUR
100,1000,0000000303,0000000208,000000000000100380,2000,0008,003,2023,6192.73,EUR
100,1000,0000000304,0000000333,000000000000100329,2000,0007,004,2024,9253.04,EUR
100,1000,0000000305,0000000331,000000000000100189,1000,0007,005,2023,7526.94,EUR
100,1000,0000000306,0000000293,000000000000100083,1000,0004,006,2024,854.5,EUR
100,1000,0000000307,0000000236,000000000000100144,1000,0009,007,2023,3206.65,EUR
100,1000,0000000308,0000000216,000000000000100460,1000,0001,008,2024,4183.72,EUR
100,1000,0000000309,0000000259,000000000000100465,1000,0006,009,2023,7609.5,EUR
100,1000,0000000310,0000000365,000000000000100440,2000,0002,010,2024,8831.26,EUR
100,1000,0000000311,0000000133,000000000000100292,2000,0008,011,2023,1018.7,EUR
100,1000,0000000312,0000000484,000000000000100323,2000,0001,012,2024,935.36,EUR
100,1000,0000000313,0000000258,000000000000100261,2000,0002,001,2023,5424.78,EUR
100,1000,0000000314,0000000429,000000000000100373,2000,0003,002,2024,9733.27,EUR
100,1000,0000000315,0000000495,000000000000100438,1000,0008,003,2023,7453.59,EUR
100,1000,0000000316,0000000448,000000000000100376,1000,0002,004,2024,5436.04,EUR
100,1000,0000000317,0000000497,000000000000100365,2000,0006,005,2023,2204.27,EUR
100,1000,0000000318,0000000415,000000000000100253,1000,0004,006,2024,4370.53,EUR
100,1000,0000000319,0000000300,000000000000100120,1000,0002,007,2023,2475.2,EUR
100,1000,0000000320,0000000167,000000000000100163,1000,0010,008,2024,7620.17,EUR
100,1000,0000000321,0000000076,000000000000100072,1000,0003,009,2023,5376.55,EUR
100,1000,0000000322,0000000009,000000000000100435,1000,0006,010,2024,7995.82,EUR
100,1000,0000000323,0000000359,000000000000100117,1000,0008,011,2023,8150.08,EUR
100,1000,0000000324,0000000288,000000000000100212,2000,0002,012,2024,3522.39,EUR
100,1000,0000000325,0000000205,000000000000100384,1000,0007,001,2023,4315.73,EUR
100,1000,0000000326,0000000129,000000000000100421,2000,0009,002,2024,4237.01,EUR
100,1000,0000000327,0000000334,000000000000100298,2000,0009,003,2023,8757.64,EUR
100,1000,0000000328,0000000101,000000000000100401,2000,0002,004,2024,1218.64,EUR
100,1000,0000000329,0000000099,000000000000100089,2000,0005,005,2023,1262.7,EUR
100,1000,0000000330,0000000283,000000000000100281,2000,0007,006,2024,9246.88,EUR
100,1000,0000000331,0000000044,000000000000100010,1000,0005,007,2023,1249.0,EUR
