MANDT,VBELN,POSNR,PARVW,KUNNR,LIFNR
100,0000000042,000000,AG,0000000053,
100,0000000042,000000,WE,0000000053,
100,0000000043,000000,AG,0000000014,
100,0000000043,000000,WE,0000000014,
100,0000000044,000000,AG,0000000236,
100,0000000044,000000,WE,0000000236,
100,0000000045,000000,AG,0000000105,
100,0000000045,000000,WE,0000000105,
100,0000000046,000000,AG,0000000032,
100,0000000046,000000,WE,0000000032,
100,0000000047,000000,AG,0000000424,
100,0000000047,000000,WE,0000000424,
100,0000000048,000000,AG,0000000257,
100,0000000048,000000,WE,0000000257,
100,0000000049,000000,AG,0000000238,
100,0000000049,000000,WE,0000000238,
100,0000000050,000000,AG,0000000063,
100,0000000050,000000,WE,0000000063,
100,0000000051,000000,AG,0000000186,
100,0000000051,000000,WE,0000000186,
100,0000000052,000000,AG,0000000197,
100,0000000052,000000,WE,0000000197,
100,0000000053,000000,AG,0000000413,
100,0000000053,000000,WE,0000000413,
100,0000000054,000000,AG,0000000135,
100,0000000054,000000,WE,0000000135,
100,0000000055,000000,AG,0000000387,
100,0000000055,000000,WE,0000000387,
100,0000000056,000000,AG,0000000334,
100,0000000056,000000,WE,0000000334,
100,0000000057,000000,AG,0000000247,
100,0000000057,000000,WE,0000000247,
100,0000000058,000000,AG,0000000273,
100,0000000058,000000,WE,0000000273,
100,0000000059,000000,AG,0000000329,
100,0000000059,000000,WE,0000000329,
100,0000000060,000000,AG,0000000386,
100,0000000060,000000,WE,0000000386,
100,0000000061,000000,AG,0000000118,
100,0000000061,000000,WE,0000000118,
100,0000000062,000000,AG,0000000247,
100,0000000062,000000,WE,0000000247,
100,0000000063,000000,AG,0000000341,
100,0000000063,000000,WE,0000000341,
100,0000000064,000000,AG,0000000371,
100,0000000064,000000,WE,0000000371,
100,0000000065,000000,AG,0000000032,
100,0000000065,000000,WE,0000000032,
100,0000000066,000000,AG,0000000111,
100,0000000066,000000,WE,0000000111,
100,0000000067,000000,AG,0000000051,
100,0000000067,000000,WE,0000000051,
100,0000000068,000000,AG,0000000250,
100,0000000068,000000,WE,0000000250,
100,0000000069,000000,AG,0000000163,
100,0000000069,000000,WE,0000000163,
100,0000000070,000000,AG,0000000158,
100,0000000070,000000,WE,0000000158,
100,0000000071,000000,AG,0000000117,
100,0000000071,000000,WE,0000000117,
100,0000000072,000000,AG,0000000272,
100,0000000072,000000,WE,0000000272,
100,0000000073,000000,AG,0000000009,
100,0000000073,000000,WE,0000000009,
100,0000000074,000000,AG,0000000398,
100,0000000074,000000,WE,0000000398,
100,0000000075,000000,AG,0000000096,
100,0000000075,000000,WE,0000000096,
100,0000000076,000000,AG,0000000455,
100,0000000076,000000,WE,0000000455,
100,0000000077,000000,AG,0000000227,
100,0000000077,000000,WE,0000000227,
100,0000000078,000000,AG,0000000152,
100,0000000078,000000,WE,0000000152,
100,0000000079,000000,AG,0000000421,
100,0000000079,000000,WE,0000000421,
100,0000000080,000000,AG,0000000038,
100,0000000080,000000,WE,0000000038,
100,0000000081,000000,AG,0000000431,
100,0000000081,000000,WE,0000000431,
100,0000000082,000000,AG,0000000155,
100,0000000082,000000,WE,0000000155,
100,0000000083,000000,AG,0000000258,
100,0000000083,000000,WE,0000000258,
100,0000000084,000000,AG,0000000434,
100,0000000084,000000,WE,0000000434,
100,0000000085,000000,AG,0000000167,
100,0000000085,000000,WE,0000000167,
100,0000000086,000000,AG,0000000362,
100,0000000086,000000,WE,0000000362,
100,0000000087,000000,AG,0000000236,
100,0000000087,000000,WE,0000000236,
100,0000000088,000000,AG,0000000344,
100,0000000088,000000,WE,0000000344,
100,0000000089,000000,AG,0000000093,
100,0000000089,000000,WE,0000000093,
100,0000000090,000000,AG,0000000197,
100,0000000090,000000,WE,0000000197,
100,0000000091,000000,AG,0000000026,
100,0000000091,000000,WE,0000000026,
100,0000000092,000000,AG,0000000083,
100,0000000092,000000,WE,0000000083,
100,0000000093,000000,AG,0000000289,
100,0000000093,000000,WE,0000000289,
100,0000000094,000000,AG,0000000089,
100,0000000094,000000,WE,0000000089,
100,0000000095,000000,AG,0000000171,
100,0000000095,000000,WE,0000000171,
100,0000000096,000000,AG,0000000133,
100,0000000096,000000,WE,0000000133,
100,0000000097,000000,AG,0000000395,
100,0000000097,000000,WE,0000000395,
100,0000000098,000000,AG,0000000385,
100,0000000098,000000,WE,0000000385,
100,0000000099,000000,AG,0000000202,
100,0000000099,000000,WE,0000000202,
100,0000000100,000000,AG,0000000351,
100,0000000100,000000,WE,0000000351,
100,0000000101,000000,AG,0000000271,
100,0000000101,000000,WE,0000000271,
100,0000000102,000000,AG,0000000207,
100,0000000102,000000,WE,0000000207,
100,0000000103,000000,AG,0000000076,
100,0000000103,000000,WE,0000000076,
100,0000000104,000000,AG,0000000458,
100,0000000104,000000,WE,0000000458,
100,0000000105,000000,AG,0000000231,
100,0000000105,000000,WE,0000000231,
100,0000000106,000000,AG,0000000096,
100,0000000106,000000,WE,0000000096,
100,0000000107,000000,AG,0000000285,
100,0000000107,000000,WE,0000000285,
100,0000000108,000000,AG,0000000265,
100,0000000108,000000,WE,0000000265,
100,0000000109,000000,AG,0000000427,
100,0000000109,000000,WE,0000000427,
100,0000000110,000000,AG,0000000154,
100,0000000110,000000,WE,0000000154,
100,0000000111,000000,AG,0000000024,
100,0000000111,000000,WE,0000000024,
100,0000000112,000000,AG,0000000230,
100,0000000112,000000,WE,0000000230,
100,0000000113,000000,AG,0000000214,
100,0000000113,000000,WE,0000000214,
100,0000000114,000000,AG,0000000220,
100,0000000114,000000,WE,0000000220,
100,0000000115,000000,AG,0000000129,
100,0000000115,000000,WE,0000000129,
100,0000000116,000000,AG,0000000070,
100,0000000116,000000,WE,0000000070,
100,0000000117,000000,AG,0000000006,
100,0000000117,000000,WE,0000000006,
100,0000000118,000000,AG,0000000229,
100,0000000118,000000,WE,0000000229,
100,0000000119,000000,AG,0000000335,
100,0000000119,000000,WE,0000000335,
100,0000000120,000000,AG,0000000457,
100,0000000120,000000,WE,0000000457,
100,0000000121,000000,AG,0000000194,
100,0000000121,000000,WE,0000000194,
100,0000000122,000000,AG,0000000350,
100,0000000122,000000,WE,0000000350,
100,0000000123,000000,AG,0000000106,
100,0000000123,000000,WE,0000000106,
100,0000000124,000000,AG,0000000074,
100,0000000124,000000,WE,0000000074,
100,0000000125,000000,AG,0000000245,
100,0000000125,000000,WE,0000000245,
100,0000000126,000000,AG,0000000485,
100,0000000126,000000,WE,0000000485,
100,0000000127,000000,AG,0000000035,
100,0000000127,000000,WE,0000000035,
100,0000000128,000000,AG,0000000441,
100,0000000128,000000,WE,0000000441,
100,0000000129,000000,AG,0000000428,
100,0000000129,000000,WE,0000000428,
100,0000000130,000000,AG,0000000362,
100,0000000130,000000,WE,0000000362,
100,0000000131,000000,AG,0000000106,
100,0000000131,000000,WE,0000000106,
100,0000000132,000000,AG,0000000483,
100,0000000132,000000,WE,0000000483,
100,0000000133,000000,AG,0000000174,
100,0000000133,000000,WE,0000000174,
100,0000000134,000000,AG,0000000107,
100,0000000134,000000,WE,0000000107,
100,0000000135,000000,AG,0000000373,
100,0000000135,000000,WE,0000000373,
100,0000000136,000000,AG,0000000281,
100,0000000136,000000,WE,0000000281,
100,0000000137,000000,AG,0000000496,
100,0000000137,000000,WE,0000000496,
100,0000000138,000000,AG,0000000472,
100,0000000138,000000,WE,0000000472,
100,0000000139,000000,AG,0000000206,
100,0000000139,000000,WE,0000000206,
100,0000000140,000000,AG,0000000244,
100,0000000140,000000,WE,0000000244,
100,0000000141,000000,AG,0000000214,
100,0000000141,000000,WE,0000000214,
100,0000000142,000000,AG,0000000355,
100,0000000142,000000,WE,0000000355,
100,0000000143,000000,AG,0000000071,
100,0000000143,000000,WE,0000000071,
100,0000000144,000000,AG,0000000184,
100,0000000144,000000,WE,0000000184,
100,0000000145,000000,AG,0000000310,
100,0000000145,000000,WE,0000000310,
100,0000000146,000000,AG,0000000065,
100,0000000146,000000,WE,0000000065,
100,0000000147,000000,AG,0000000112,
100,0000000147,000000,WE,0000000112,
100,0000000148,000000,AG,0000000458,
100,0000000148,000000,WE,0000000458,
100,0000000149,000000,AG,0000000271,
100,0000000149,000000,WE,0000000271,
100,0000000150,000000,AG,0000000221,
100,0000000150,000000,WE,0000000221,
100,0000000151,000000,AG,0000000370,
100,0000000151,000000,WE,0000000370,
100,0000000152,000000,AG,0000000259,
100,0000000152,000000,WE,0000000259,
100,0000000153,000000,AG,0000000428,
100,0000000153,000000,WE,0000000428,
100,0000000154,000000,AG,0000000244,
100,0000000154,000000,WE,0000000244,
100,0000000155,000000,AG,0000000311,
100,0000000155,000000,WE,0000000311,
100,0000000156,000000,AG,0000000027,
100,0000000156,000000,WE,0000000027,
100,0000000157,000000,AG,0000000209,
100,0000000157,000000,WE,0000000209,
100,0000000158,000000,AG,0000000459,
100,0000000158,000000,WE,0000000459,
100,0000000159,000000,AG,0000000344,
100,0000000159,000000,WE,0000000344,
100,0000000160,000000,AG,0000000356,
100,0000000160,000000,WE,0000000356,
100,0000000161,000000,AG,0000000016,
100,0000000161,000000,WE,0000000016,
100,0000000162,000000,AG,0000000409,
100,0000000162,000000,WE,0000000409,
100,0000000163,000000,AG,0000000135,
100,0000000163,000000,WE,0000000135,
100,0000000164,000000,AG,0000000265,
100,0000000164,000000,WE,0000000265,
100,0000000165,000000,AG,0000000471,
100,0000000165,000000,WE,0000000471,
100,0000000166,000000,AG,0000000480,
100,0000000166,000000,WE,0000000480,
100,0000000167,000000,AG,0000000268,
100,0000000167,000000,WE,0000000268,
100,0000000168,000000,AG,0000000202,
100,0000000168,000000,WE,0000000202,
100,0000000169,000000,AG,0000000303,
100,0000000169,000000,WE,0000000303,
100,0000000170,000000,AG,0000000348,
100,0000000170,000000,WE,0000000348,
100,0000000171,000000,AG,0000000120,
100,0000000171,000000,WE,0000000120,
100,0000000172,000000,AG,0000000091,
100,0000000172,000000,WE,0000000091,
100,0000000173,000000,AG,0000000030,
100,0000000173,000000,WE,0000000030,
100,0000000174,000000,AG,0000000356,
100,0000000174,000000,WE,0000000356,
100,0000000175,000000,AG,0000000172,
100,0000000175,000000,WE,0000000172,
100,0000000176,000000,AG,0000000400,
100,0000000176,000000,WE,0000000400,
100,0000000177,000000,AG,0000000190,
100,0000000177,000000,WE,0000000190,
100,0000000178,000000,AG,0000000399,
100,0000000178,000000,WE,0000000399,
100,0000000179,000000,AG,0000000121,
100,0000000179,000000,WE,0000000121,
100,0000000180,000000,AG,0000000133,
100,0000000180,000000,WE,0000000133,
100,0000000181,000000,AG,0000000004,
100,0000000181,000000,WE,0000000004,
100,0000000182,000000,AG,0000000178,
100,0000000182,000000,WE,0000000178,
100,0000000183,000000,AG,0000000404,
100,0000000183,000000,WE,0000000404,
100,0000000184,000000,AG,0000000014,
100,0000000184,000000,WE,0000000014,
100,0000000185,000000,AG,0000000352,
100,0000000185,000000,WE,0000000352,
100,0000000186,000000,AG,0000000269,
100,0000000186,000000,WE,0000000269,
100,0000000187,000000,AG,0000000484,
100,0000000187,000000,WE,0000000484,
100,0000000188,000000,AG,0000000428,
100,0000000188,000000,WE,0000000428,
100,0000000189,000000,AG,0000000310,
100,0000000189,000000,WE,0000000310,
100,0000000190,000000,AG,0000000396,
100,0000000190,000000,WE,0000000396,
100,0000000191,000000,AG,0000000075,
100,0000000191,000000,WE,0000000075,
100,0000000192,000000,AG,0000000243,
100,0000000192,000000,WE,0000000243,
100,0000000193,000000,AG,0000000103,
100,0000000193,000000,WE,0000000103,
100,0000000194,000000,AG,0000000296,
100,0000000194,000000,WE,0000000296,
100,0000000195,000000,AG,0000000215,
100,0000000195,000000,WE,0000000215,
100,0000000196,000000,AG,0000000381,
100,0000000196,000000,WE,0000000381,
100,0000000197,000000,AG,0000000043,
100,0000000197,000000,WE,0000000043,
100,0000000198,000000,AG,0000000490,
100,0000000198,000000,WE,0000000490,
100,0000000199,000000,AG,0000000464,
100,0000000199,000000,WE,0000000464,
100,0000000200,000000,AG,0000000168,
100,0000000200,000000,WE,0000000168,
100,0000000201,000000,AG,0000000306,
100,0000000201,000000,WE,0000000306,
100,0000000202,000000,AG,0000000438,
100,0000000202,000000,WE,0000000438,
100,0000000203,000000,AG,0000000231,
100,0000000203,000000,WE,0000000231,
100,0000000204,000000,AG,0000000220,
100,0000000204,000000,WE,0000000220,
100,0000000205,000000,AG,0000000488,
100,0000000205,000000,WE,0000000488,
100,0000000206,000000,AG,0000000132,
100,0000000206,000000,WE,0000000132,
100,0000000207,000000,AG,0000000398,
100,0000000207,000000,WE,0000000398,
100,0000000208,000000,AG,0000000005,
100,0000000208,000000,WE,0000000005,
100,0000000209,000000,AG,0000000161,
100,0000000209,000000,WE,0000000161,
100,0000000210,000000,AG,0000000099,
100,0000000210,000000,WE,0000000099,
100,0000000211,000000,AG,0000000350,
100,0000000211,000000,WE,0000000350,
100,0000000212,000000,AG,0000000336,
100,0000000212,000000,WE,0000000336,
100,0000000213,000000,AG,0000000378,
100,0000000213,000000,WE,0000000378,
100,0000000214,000000,AG,0000000165,
100,0000000214,000000,WE,0000000165,
100,0000000215,000000,AG,0000000211,
100,0000000215,000000,WE,0000000211,
100,0000000216,000000,AG,0000000231,
100,0000000216,000000,WE,0000000231,
100,0000000217,000000,AG,0000000030,
100,0000000217,000000,WE,0000000030,
100,0000000218,000000,AG,0000000378,
100,0000000218,000000,WE,0000000378,
100,0000000219,000000,AG,0000000243,
100,0000000219,000000,WE,0000000243,
100,0000000220,000000,AG,0000000257,
100,0000000220,000000,WE,0000000257,
100,0000000221,000000,AG,0000000305,
100,0000000221,000000,WE,0000000305,
100,0000000222,000000,AG,0000000452,
100,0000000222,000000,WE,0000000452,
100,0000000223,000000,AG,0000000238,
100,0000000223,000000,WE,0000000238,
100,0000000224,000000,AG,0000000256,
100,0000000224,000000,WE,0000000256,
100,0000000225,000000,AG,0000000364,
100,0000000225,000000,WE,0000000364,
100,0000000226,000000,AG,0000000174,
100,0000000226,000000,WE,0000000174,
100,0000000227,000000,AG,0000000177,
100,0000000227,000000,WE,0000000177,
100,0000000228,000000,AG,0000000131,
100,0000000228,000000,WE,0000000131,
100,0000000229,000000,AG,0000000082,
100,0000000229,000000,WE,0000000082,
100,0000000230,000000,AG,0000000224,
100,0000000230,000000,WE,0000000224,
100,0000000231,000000,AG,0000000436,
100,0000000231,000000,WE,0000000436,
100,0000000232,000000,AG,0000000040,
100,0000000232,000000,WE,0000000040,
100,0000000233,000000,AG,0000000301,
100,0000000233,000000,WE,0000000301,
100,0000000234,000000,AG,0000000361,
100,0000000234,000000,WE,0000000361,
100,0000000235,000000,AG,0000000442,
100,0000000235,000000,WE,0000000442,
100,0000000236,000000,AG,0000000015,
100,0000000236,000000,WE,0000000015,
100,0000000237,000000,AG,0000000124,
100,0000000237,000000,WE,0000000124,
100,0000000238,000000,AG,0000000426,
100,0000000238,000000,WE,0000000426,
100,0000000239,000000,AG,0000000401,
100,0000000239,000000,WE,0000000401,
100,0000000240,000000,AG,0000000270,
100,0000000240,000000,WE,0000000270,
100,0000000241,000000,AG,0000000133,
100,0000000241,000000,WE,0000000133,
100,0000000242,000000,AG,0000000076,
100,0000000242,000000,WE,0000000076,
100,0000000243,000000,AG,0000000433,
100,0000000243,000000,WE,0000000433,
100,0000000244,000000,AG,0000000093,
100,0000000244,000000,WE,0000000093,
100,0000000245,000000,AG,0000000245,
100,0000000245,000000,WE,0000000245,
100,0000000246,000000,AG,0000000108,
100,0000000246,000000,WE,0000000108,
100,0000000247,000000,AG,0000000441,
100,0000000247,000000,WE,0000000441,
100,0000000248,000000,AG,0000000207,
100,0000000248,000000,WE,0000000207,
100,0000000249,000000,AG,0000000384,
100,0000000249,000000,WE,0000000384,
100,0000000250,000000,AG,0000000429,
100,0000000250,000000,WE,0000000429,
100,0000000251,000000,AG,0000000067,
100,0000000251,000000,WE,0000000067,
100,0000000252,000000,AG,0000000234,
100,0000000252,000000,WE,0000000234,
100,0000000253,000000,AG,0000000374,
100,0000000253,000000,WE,0000000374,
100,0000000254,000000,AG,0000000106,
100,0000000254,000000,WE,0000000106,
100,0000000255,000000,AG,0000000093,
100,0000000255,000000,WE,0000000093,
100,0000000256,000000,AG,0000000031,
100,0000000256,000000,WE,0000000031,
100,0000000257,000000,AG,0000000362,
100,0000000257,000000,WE,0000000362,
100,0000000258,000000,AG,0000000091,
100,0000000258,000000,WE,0000000091,
100,0000000259,000000,AG,0000000090,
100,0000000259,000000,WE,0000000090,
100,0000000260,000000,AG,0000000484,
100,0000000260,000000,WE,0000000484,
100,0000000261,000000,AG,0000000330,
100,0000000261,000000,WE,0000000330,
100,0000000262,000000,AG,0000000076,
100,0000000262,000000,WE,0000000076,
100,0000000263,000000,AG,0000000247,
100,0000000263,000000,WE,0000000247,
100,0000000264,000000,AG,0000000053,
100,0000000264,000000,WE,0000000053,
100,0000000265,000000,AG,0000000055,
100,0000000265,000000,WE,0000000055,
100,0000000266,000000,AG,0000000390,
100,0000000266,000000,WE,0000000390,
100,0000000267,000000,AG,0000000039,
100,0000000267,000000,WE,0000000039,
100,0000000268,000000,AG,0000000428,
100,0000000268,000000,WE,0000000428,
100,0000000269,000000,AG,0000000238,
100,0000000269,000000,WE,0000000238,
100,0000000270,000000,AG,0000000426,
100,0000000270,000000,WE,0000000426,
100,0000000271,000000,AG,0000000190,
100,0000000271,000000,WE,0000000190,
100,0000000272,000000,AG,0000000334,
100,0000000272,000000,WE,0000000334,
100,0000000273,000000,AG,0000000455,
100,0000000273,000000,WE,0000000455,
100,0000000274,000000,AG,0000000251,
100,0000000274,000000,WE,0000000251,
100,0000000275,000000,AG,0000000219,
100,0000000275,000000,WE,0000000219,
100,0000000276,000000,AG,0000000311,
100,0000000276,000000,WE,0000000311,
100,0000000277,000000,AG,0000000062,
100,0000000277,000000,WE,0000000062,
100,0000000278,000000,AG,0000000496,
100,0000000278,000000,WE,0000000496,
100,0000000279,000000,AG,0000000252,
100,0000000279,000000,WE,0000000252,
100,0000000280,000000,AG,0000000055,
100,0000000280,000000,WE,0000000055,
100,0000000281,000000,AG,0000000217,
100,0000000281,000000,WE,0000000217,
100,0000000282,000000,AG,0000000085,
100,0000000282,000000,WE,0000000085,
100,0000000283,000000,AG,0000000030,
100,0000000283,000000,WE,0000000030,
100,0000000284,000000,AG,0000000400,
100,0000000284,000000,WE,0000000400,
100,0000000285,000000,AG,0000000151,
100,0000000285,000000,WE,0000000151,
100,0000000286,000000,AG,0000000081,
100,0000000286,000000,WE,0000000081,
100,0000000287,000000,AG,0000000316,
100,0000000287,000000,WE,0000000316,
100,0000000288,000000,AG,0000000453,
100,0000000288,000000,WE,0000000453,
100,0000000289,000000,AG,0000000279,
100,0000000289,000000,WE,0000000279,
100,0000000290,000000,AG,0000000191,
100,0000000290,000000,WE,0000000191,
100,0000000291,000000,AG,0000000059,
100,0000000291,000000,WE,0000000059,
100,0000000292,000000,AG,0000000148,
100,0000000292,000000,WE,0000000148,
100,0000000293,000000,AG,0000000138,
100,0000000293,000000,WE,0000000138,
100,0000000294,000000,AG,0000000429,
100,0000000294,000000,WE,0000000429,
100,0000000295,000000,AG,0000000283,
100,0000000295,000000,WE,0000000283,
100,0000000296,000000,AG,0000000207,
100,0000000296,000000,WE,0000000207,
100,0000000297,000000,AG,0000000296,
100,0000000297,000000,WE,0000000296,
100,0000000298,000000,AG,0000000284,
100,0000000298,000000,WE,0000000284,
100,0000000299,000000,AG,0000000120,
100,0000000299,000000,WE,0000000120,
100,0000000300,000000,AG,0000000017,
100,0000000300,000000,WE,0000000017,
100,0000000301,000000,AG,0000000192,
100,0000000301,000000,WE,0000000192,
100,0000000302,000000,AG,0000000090,
100,0000000302,000000,WE,0000000090,
100,0000000303,000000,AG,0000000482,
100,0000000303,000000,WE,0000000482,
100,0000000304,000000,AG,0000000054,
100,0000000304,000000,WE,0000000054,
100,0000000305,000000,AG,0000000428,
100,0000000305,000000,WE,0000000428,
100,0000000306,000000,AG,0000000218,
100,0000000306,000000,WE,0000000218,
100,0000000307,000000,AG,0000000490,
100,0000000307,000000,WE,0000000490,
100,0000000308,000000,AG,0000000297,
100,0000000308,000000,WE,0000000297,
100,0000000309,000000,AG,0000000005,
100,0000000309,000000,WE,0000000005,
100,0000000310,000000,AG,0000000107,
100,0000000310,000000,WE,0000000107,
100,0000000311,000000,AG,0000000300,
100,0000000311,000000,WE,0000000300,
100,0000000312,000000,AG,0000000439,
100,0000000312,000000,WE,0000000439,
100,0000000313,000000,AG,0000000413,
100,0000000313,000000,WE,0000000413,
100,0000000314,000000,AG,0000000092,
100,0000000314,000000,WE,0000000092,
100,0000000315,000000,AG,0000000096,
100,0000000315,000000,WE,0000000096,
100,0000000316,000000,AG,0000000016,
100,0000000316,000000,WE,0000000016,
100,0000000317,000000,AG,0000000461,
100,0000000317,000000,WE,0000000461,
100,0000000318,000000,AG,0000000093,
100,0000000318,000000,WE,0000000093,
100,0000000319,000000,AG,0000000383,
100,0000000319,000000,WE,0000000383,
100,0000000320,000000,AG,0000000212,
100,0000000320,000000,WE,0000000212,
100,0000000321,000000,AG,0000000493,
100,0000000321,000000,WE,0000000493,
100,0000000322,000000,AG,0000000292,
100,0000000322,000000,WE,0000000292,
100,0000000323,000000,AG,0000000407,
100,0000000323,000000,WE,0000000407,
100,0000000324,000000,AG,0000000282,
100,0000000324,000000,WE,0000000282,
100,0000000325,000000,AG,0000000008,
100,0000000325,000000,WE,0000000008,
100,0000000326,000000,AG,0000000049,
100,0000000326,000000,WE,0000000049,
100,0000000327,000000,AG,0000000456,
100,0000000327,000000,WE,0000000456,
100,0000000328,000000,AG,0000000137,
100,0000000328,000000,WE,0000000137,
100,0000000329,000000,AG,0000000095,
100,0000000329,000000,WE,0000000095,
100,0000000330,000000,AG,0000000348,
100,0000000330,000000,WE,0000000348,
100,0000000331,000000,AG,0000000204,
100,0000000331,000000,WE,0000000204,
100,0000000332,000000,AG,0000000138,
100,0000000332,000000,WE,0000000138,
100,0000000333,000000,AG,0000000254,
100,0000000333,000000,WE,0000000254,
100,0000000334,000000,AG,0000000425,
100,0000000334,000000,WE,0000000425,
100,0000000335,000000,AG,0000000040,
100,0000000335,000000,WE,0000000040,
100,0000000336,000000,AG,0000000032,
100,0000000336,000000,WE,0000000032,
100,0000000337,000000,AG,0000000217,
100,0000000337,000000,WE,0000000217,
100,0000000338,000000,AG,0000000280,
100,0000000338,000000,WE,0000000280,
100,0000000339,000000,AG,0000000013,
100,0000000339,000000,WE,0000000013,
100,0000000340,000000,AG,0000000445,
100,0000000340,000000,WE,0000000445,
100,0000000341,000000,AG,0000000037,
100,0000000341,000000,WE,0000000037,
100,0000000342,000000,AG,0000000231,
100,0000000342,000000,WE,0000000231,
100,0000000343,000000,AG,0000000238,
100,0000000343,000000,WE,0000000238,
100,0000000344,000000,AG,0000000453,
100,0000000344,000000,WE,0000000453,
100,0000000345,000000,AG,0000000455,
100,0000000345,000000,WE,0000000455,
100,0000000346,000000,AG,0000000389,
100,0000000346,000000,WE,0000000389,
100,0000000347,000000,AG,0000000010,
100,0000000347,000000,WE,0000000010,
100,0000000348,000000,AG,0000000472,
100,0000000348,000000,WE,0000000472,
100,0000000349,000000,AG,0000000111,
100,0000000349,000000,WE,0000000111,
100,0000000350,000000,AG,0000000413,
100,0000000350,000000,WE,0000000413,
100,0000000351,000000,AG,0000000042,
100,0000000351,000000,WE,0000000042,
100,0000000352,000000,AG,0000000205,
100,0000000352,000000,WE,0000000205,
100,0000000353,000000,AG,0000000474,
100,0000000353,000000,WE,0000000474,
100,0000000354,000000,AG,0000000100,
100,0000000354,000000,WE,0000000100,
100,0000000355,000000,AG,0000000229,
100,0000000355,000000,WE,0000000229,
100,0000000356,000000,AG,0000000455,
100,0000000356,000000,WE,0000000455,
100,0000000357,000000,AG,0000000399,
100,0000000357,000000,WE,0000000399,
100,0000000358,000000,AG,0000000021,
100,0000000358,000000,WE,0000000021,
100,0000000359,000000,AG,0000000455,
100,0000000359,000000,WE,0000000455,
100,0000000360,000000,AG,0000000176,
100,0000000360,000000,WE,0000000176,
100,0000000361,000000,AG,0000000351,
100,0000000361,000000,WE,0000000351,
100,0000000362,000000,AG,0000000006,
100,0000000362,000000,WE,0000000006,
100,0000000363,000000,AG,0000000482,
100,0000000363,000000,WE,0000000482,
100,0000000364,000000,AG,0000000017,
100,0000000364,000000,WE,0000000017,
100,0000000365,000000,AG,0000000150,
100,0000000365,000000,WE,0000000150,
100,0000000366,000000,AG,0000000299,
100,0000000366,000000,WE,0000000299,
100,0000000367,000000,AG,0000000102,
