MANDT,DOCNUM,MESTYP,IDOCTP,STATUS,CREDAT,CRETIM,SNDPRT,SNDPRN,RCVPRT,RCVPRN
100,0000000000000023,MATMAS,MATMAS05,14,20220506,215334,LS,SAPCLNT100,LS,EXT003
100,0000000000000024,MATMAS,MATMAS05,15,20240225,142056,LS,SAPCLNT100,LS,EXT004
100,0000000000000025,MATMAS,MATMAS05,12,20220501,151046,LS,SAPCLNT100,LS,EXT005
100,0000000000000026,MATMAS,MATMAS05,13,20230110,193921,LS,SAPCLNT100,LS,EXT001
100,0000000000000027,MATMAS,MATMAS05,14,20230101,152258,LS,SAPCLNT100,LS,EXT002
100,0000000000000028,MATMAS,MATMAS05,15,20221213,114035,LS,SAPCLNT100,LS,EXT003
100,0000000000000029,MATMAS,MATMAS05,12,20240729,142211,LS,SAPCLNT100,LS,EXT004
100,0000000000000030,MATMAS,MATMAS05,13,20230409,025006,LS,SAPCLNT100,LS,EXT005
100,0000000000000031,MATMAS,MATMAS05,14,20221107,143147,LS,SAPCLNT100,LS,EXT001
100,0000000000000032,MATMAS,MATMAS05,15,20230707,171722,LS,SAPCLNT100,LS,EXT002
100,0000000000000033,MATMAS,MATMAS05,12,20240111,132526,LS,SAPCLNT100,LS,EXT003
100,0000000000000034,MATMAS,MATMAS05,13,20220209,042743,LS,SAPCLNT100,LS,EXT004
100,0000000000000035,MATMAS,MATMAS05,14,20230328,105248,LS,SAPCLNT100,LS,EXT005
100,0000000000000036,MATMAS,MATMAS05,15,20220201,054113,LS,SAPCLNT100,LS,EXT001
100,0000000000000037,MATMAS,MATMAS05,12,20240703,161315,LS,SAPCLNT100,LS,EXT002
100,0000000000000038,MATMAS,MATMAS05,13,20240110,020517,LS,SAPCLNT100,LS,EXT003
100,0000000000000039,MATMAS,MATMAS05,14,20221206,165920,LS,SAPCLNT100,LS,EXT004
100,0000000000000040,MATMAS,MATMAS05,15,20221023,072219,LS,SAPCLNT100,LS,EXT005
100,0000000000000041,MATMAS,MATMAS05,12,20240310,073338,LS,SAPCLNT100,LS,EXT001
100,0000000000000042,MATMAS,MATMAS05,13,20241120,094101,LS,SAPCLNT100,LS,EXT002
100,0000000000000043,MATMAS,MATMAS05,14,20220731,034711,LS,SAPCLNT100,LS,EXT003
100,0000000000000044,MATMAS,MATMAS05,15,20231111,180255,LS,SAPCLNT100,LS,EXT004
100,0000000000000045,MATMAS,MATMAS05,12,20240328,031237,LS,SAPCLNT100,LS,EXT005
100,0000000000000046,MATMAS,MATMAS05,13,20240108,225422,LS,SAPCLNT100,LS,EXT001
100,0000000000000047,MATMAS,MATMAS05,14,20220813,034753,LS,SAPCLNT100,LS,EXT002
100,0000000000000048,MATMAS,MATMAS05,15,20241113,072509,LS,SAPCLNT100,LS,EXT003
100,0000000000000049,MATMAS,MATMAS05,12,20220915,175035,LS,SAPCLNT100,LS,EXT004
100,0000000000000050,MATMAS,MATMAS05,13,20230729,203222,LS,SAPCLNT100,LS,EXT005
100,0000000000000051,MATMAS,MATMAS05,14,20230715,151236,LS,SAPCLNT100,LS,EXT001
100,0000000000000052,MATMAS,MATMAS05,15,20240108,214037,LS,SAPCLNT100,LS,EXT002
100,0000000000000053,MATMAS,MATMAS05,12,20231108,153350,LS,SAPCLNT100,LS,EXT003
100,0000000000000054,MATMAS,MATMAS05,13,20240918,211344,LS,SAPCLNT100,LS,EXT004
100,0000000000000055,MATMAS,MATMAS05,14,20230807,144541,LS,SAPCLNT100,LS,EXT005
100,0000000000000056,MATMAS,MATMAS05,15,20230802,225430,LS,SAPCLNT100,LS,EXT001
100,0000000000000057,MATMAS,MATMAS05,12,20220408,182953,LS,SAPCLNT100,LS,EXT002
100,0000000000000058,MATMAS,MATMAS05,13,20231010,144401,LS,SAPCLNT100,LS,EXT003
100,0000000000000059,MATMAS,MATMAS05,14,20240802,144358,LS,SAPCLNT100,LS,EXT004
100,0000000000000060,MATMAS,MATMAS05,15,20231009,192405,LS,SAPCLNT100,LS,EXT005
100,0000000000000061,MATMAS,MATMAS05,12,20241025,223219,LS,SAPCLNT100,LS,EXT001
100,0000000000000062,MATMAS,MATMAS05,13,20240713,030123,LS,SAPCLNT100,LS,EXT002
100,0000000000000063,MATMAS,MATMAS05,14,20230912,095222,LS,SAPCLNT100,LS,EXT003
100,0000000000000064,MATMAS,MATMAS05,15,20220519,180305,LS,SAPCLNT100,LS,EXT004
100,0000000000000065,MATMAS,MATMAS05,12,20220105,153043,LS,SAPCLNT100,LS,EXT005
100,0000000000000066,MATMAS,MATMAS05,13,20240923,195413,LS,SAPCLNT100,LS,EXT001
100,0000000000000067,MATMAS,MATMAS05,14,20241208,052818,LS,SAPCLNT100,LS,EXT002
100,0000000000000068,MATMAS,MATMAS05,15,20231002,003012,LS,SAPCLNT100,LS,EXT003
100,0000000000000069,MATMAS,MATMAS05,12,20240904,211017,LS,SAPCLNT100,LS,EXT004
100,0000000000000070,MATMAS,MATMAS05,13,20240221,013413,LS,SAPCLNT100,LS,EXT005
100,0000000000000071,MATMAS,MATMAS05,14,20240910,113954,LS,SAPCLNT100,LS,EXT001
100,0000000000000072,MATMAS,MATMAS05,15,20221114,001256,LS,SAPCLNT100,LS,EXT002
100,0000000000000073,MATMAS,MATMAS05,12,20240912,174332,LS,SAPCLNT100,LS,EXT003
100,0000000000000074,MATMAS,MATMAS05,13,20240420,040357,LS,SAPCLNT100,LS,EXT004
100,0000000000000075,MATMAS,MATMAS05,14,20240927,010916,LS,SAPCLNT100,LS,EXT005
100,0000000000000076,MATMAS,MATMAS05,15,20241101,153538,LS,SAPCLNT100,LS,EXT001
100,0000000000000077,MATMAS,MATMAS05,12,20230401,102800,LS,SAPCLNT100,LS,EXT002
100,0000000000000078,MATMAS,MATMAS05,13,20240705,071837,LS,SAPCLNT100,LS,EXT003
100,0000000000000079,MATMAS,MATMAS05,14,20220115,060756,LS,SAPCLNT100,LS,EXT004
100,0000000000000080,MATMAS,MATMAS05,15,20240317,065545,LS,SAPCLNT100,LS,EXT005
100,0000000000000081,MATMAS,MATMAS05,12,20240104,221252,LS,SAPCLNT100,LS,EXT001
100,0000000000000082,MATMAS,MATMAS05,13,20220220,200243,LS,SAPCLNT100,LS,EXT002
100,0000000000000083,MATMAS,MATMAS05,14,20240117,191202,LS,SAPCLNT100,LS,EXT003
100,0000000000000084,MATMAS,MATMAS05,15,20231113,165619,LS,SAPCLNT100,LS,EXT004
100,0000000000000085,MATMAS,MATMAS05,12,20221027,182128,LS,SAPCLNT100,LS,EXT005
100,0000000000000086,MATMAS,MATMAS05,13,20230524,184904,LS,SAPCLNT100,LS,EXT001
100,0000000000000087,MATMAS,MATMAS05,14,20240708,215855,LS,SAPCLNT100,LS,EXT002
100,0000000000000088,MATMAS,MATMAS05,15,20220409,212914,LS,SAPCLNT100,LS,EXT003
100,0000000000000089,MATMAS,MATMAS05,12,20220514,053928,LS,SAPCLNT100,LS,EXT004
100,0000000000000090,MATMAS,MATMAS05,13,20220905,031309,LS,SAPCLNT100,LS,EXT005
100,0000000000000091,MATMAS,MATMAS05,14,20221017,024045,LS,SAPCLNT100,LS,EXT001
100,0000000000000092,MATMAS,MATMAS05,15,20221107,225432,LS,SAPCLNT100,LS,EXT002
100,0000000000000093,MATMAS,MATMAS05,12,20220914,150152,LS,SAPCLNT100,LS,EXT003
100,0000000000000094,MATMAS,MATMAS05,13,20240311,192538,LS,SAPCLNT100,LS,EXT004
100,0000000000000095,MATMAS,MATMAS05,14,20221212,190638,LS,SAPCLNT100,LS,EXT005
100,0000000000000096,MATMAS,MATMAS05,15,20240616,181612,LS,SAPCLNT100,LS,EXT001
100,0000000000000097,MATMAS,MATMAS05,12,20240529,143011,LS,SAPCLNT100,LS,EXT002
100,0000000000000098,MATMAS,MATMAS05,13,20231010,125124,LS,SAPCLNT100,LS,EXT003
100,0000000000000099,MATMAS,MATMAS05,14,20221125,204810,LS,SAPCLNT100,LS,EXT004
100,0000000000000100,MATMAS,MATMAS05,15,20231025,032424,LS,SAPCLNT100,LS,EXT005
100,0000000000000101,MATMAS,MATMAS05,12,20220309,110435,LS,SAPCLNT100,LS,EXT001
100,0000000000000102,MATMAS,MATMAS05,13,20240303,074830,LS,SAPCLNT100,LS,EXT002
100,0000000000000103,MATMAS,MATMAS05,14,20220208,022002,LS,SAPCLNT100,LS,EXT003
100,0000000000000104,MATMAS,MATMAS05,15,20230412,175202,LS,SAPCLNT100,LS,EXT004
100,0000000000000105,MATMAS,MATMAS05,12,20220926,084005,LS,SAPCLNT100,LS,EXT005
100,0000000000000106,MATMAS,MATMAS05,13,20241027,040908,LS,SAPCLNT100,LS,EXT001
100,0000000000000107,MATMAS,MATMAS05,14,20241106,042719,LS,SAPCLNT100,LS,EXT002
100,0000000000000108,MATMAS,MATMAS05,15,20230919,122218,LS,SAPCLNT100,LS,EXT003
100,0000000000000109,MATMAS,MATMAS05,12,20230320,100020,LS,SAPCLNT100,LS,EXT004
100,0000000000000110,MATMAS,MATMAS05,13,20230306,152351,LS,SAPCLNT100,LS,EXT005
100,0000000000000111,MATMAS,MATMAS05,14,20221118,100106,LS,SAPCLNT100,LS,EXT001
100,0000000000000112,MATMAS,MATMAS05,15,20240507,195318,LS,SAPCLNT100,LS,EXT002
100,0000000000000113,MATMAS,MATMAS05,12,20220612,145952,LS,SAPCLNT100,LS,EXT003
100,0000000000000114,MATMAS,MATMAS05,13,20220617,193525,LS,SAPCLNT100,LS,EXT004
100,0000000000000115,MATMAS,MATMAS05,14,20220913,224027,LS,SAPCLNT100,LS,EXT005
100,0000000000000116,MATMAS,MATMAS05,15,20231013,153905,LS,SAPCLNT100,LS,EXT001
100,0000000000000117,MATMAS,MATMAS05,12,20230218,012441,LS,SAPCLNT100,LS,EXT002
100,0000000000000118,MATMAS,MATMAS05,13,20241117,104829,LS,SAPCLNT100,LS,EXT003
100,0000000000000119,MATMAS,MATMAS05,14,20240510,104654,LS,SAPCLNT100,LS,EXT004
100,0000000000000120,MATMAS,MATMAS05,15,20240413,172356,LS,SAPCLNT100,LS,EXT005
100,0000000000000121,MATMAS,MATMAS05,12,20231227,192822,LS,SAPCLNT100,LS,EXT001
100,0000000000000122,MATMAS,MATMAS05,13,20241002,212158,LS,SAPCLNT100,LS,EXT002
100,0000000000000123,MATMAS,MATMAS05,14,20221023,165916,LS,SAPCLNT100,LS,EXT003
100,0000000000000124,MATMAS,MATMAS05,15,20240227,002019,LS,SAPCLNT100,LS,EXT004
100,0000000000000125,MATMAS,MATMAS05,12,20220906,114935,LS,SAPCLNT100,LS,EXT005
100,0000000000000126,MATMAS,MATMAS05,13,20230723,044650,LS,SAPCLNT100,LS,EXT001
100,0000000000000127,MATMAS,MATMAS05,14,20220608,035713,LS,SAPCLNT100,LS,EXT002
100,0000000000000128,MATMAS,MATMAS05,15,20230914,141148,LS,SAPCLNT100,LS,EXT003
100,0000000000000129,MATMAS,MATMAS05,12,20240515,153706,LS,SAPCLNT100,LS,EXT004
100,0000000000000130,MATMAS,MATMAS05,13,20220209,205019,LS,SAPCLNT100,LS,EXT005
100,0000000000000131,MATMAS,MATMAS05,14,20220623,133621,LS,SAPCLNT100,LS,EXT001
100,0000000000000132,MATMAS,MATMAS05,15,20220717,092532,LS,SAPCLNT100,LS,EXT002
100,0000000000000133,MATMAS,MATMAS05,12,20220210,134838,LS,SAPCLNT100,LS,EXT003
100,0000000000000134,MATMAS,MATMAS05,13,20220920,181142,LS,SAPCLNT100,LS,EXT004
100,0000000000000135,MATMAS,MATMAS05,14,20220925,040030,LS,SAPCLNT100,LS,EXT005
100,0000000000000136,MATMAS,MATMAS05,15,20240411,191140,LS,SAPCLNT100,LS,EXT001
100,0000000000000137,MATMAS,MATMAS05,12,20220906,223044,LS,SAPCLNT100,LS,EXT002
100,0000000000000138,MATMAS,MATMAS05,13,20230920,040003,LS,SAPCLNT100,LS,EXT003
100,0000000000000139,MATMAS,MATMAS05,14,20241011,115440,LS,SAPCLNT100,LS,EXT004
100,0000000000000140,MATMAS,MATMAS05,15,20240319,164252,LS,SAPCLNT100,LS,EXT005
100,0000000000000141,MATMAS,MATMAS05,12,20220901,152207,LS,SAPCLNT100,LS,EXT001
100,0000000000000142,MATMAS,MATMAS05,13,20240311,023747,LS,SAPCLNT100,LS,EXT002
100,0000000000000143,MATMAS,MATMAS05,14,20240802,114049,LS,SAPCLNT100,LS,EXT003
100,0000000000000144,MATMAS,MATMAS05,15,20221123,204446,LS,SAPCLNT100,LS,EXT004
100,0000000000000145,MATMAS,MATMAS05,12,20240519,130238,LS,SAPCLNT100,LS,EXT005
100,0000000000000146,MATMAS,MATMAS05,13,20231203,030525,LS,SAPCLNT100,LS,EXT001
100,0000000000000147,MATMAS,MATMAS05,14,20240114,192320,LS,SAPCLNT100,LS,EXT002
100,0000000000000148,MATMAS,MATMAS05,15,20241019,103828,LS,SAPCLNT100,LS,EXT003
100,0000000000000149,MATMAS,MATMAS05,12,20220519,085140,LS,SAPCLNT100,LS,EXT004
100,0000000000000150,MATMAS,MATMAS05,13,20230606,185158,LS,SAPCLNT100,LS,EXT005
100,0000000000000151,MATMAS,MATMAS05,14,20240127,144940,LS,SAPCLNT100,LS,EXT001
100,0000000000000152,MATMAS,MATMAS05,15,20241017,211621,LS,SAPCLNT100,LS,EXT002
100,0000000000000153,MATMAS,MATMAS05,12,20230905,000330,LS,SAPCLNT100,LS,EXT003
100,0000000000000154,MATMAS,MATMAS05,13,20241021,180710,LS,SAPCLNT100,LS,EXT004
100,0000000000000155,MATMAS,MATMAS05,14,20221129,184617,LS,SAPCLNT100,LS,EXT005
100,0000000000000156,MATMAS,MATMAS05,15,20240115,135237,LS,SAPCLNT100,LS,EXT001
100,0000000000000157,MATMAS,MATMAS05,12,20230128,101646,LS,SAPCLNT100,LS,EXT002
100,0000000000000158,MATMAS,MATMAS05,13,20230705,093145,LS,SAPCLNT100,LS,EXT003
100,0000000000000159,MATMAS,MATMAS05,14,20230528,171043,LS,SAPCLNT100,LS,EXT004
100,0000000000000160,MATMAS,MATMAS05,15,20240215,073641,LS,SAPCLNT100,LS,EXT005
100,0000000000000161,MATMAS,MATMAS05,12,20230107,205454,LS,SAPCLNT100,LS,EXT001
100,0000000000000162,MATMAS,MATMAS05,13,20230129,145028,LS,SAPCLNT100,LS,EXT002
100,0000000000000163,MATMAS,MATMAS05,14,20221201,162911,LS,SAPCLNT100,LS,EXT003
100,0000000000000164,MATMAS,MATMAS05,15,20221216,045411,LS,SAPCLNT100,LS,EXT004
100,0000000000000165,MATMAS,MATMAS05,12,20240921,071943,LS,SAPCLNT100,LS,EXT005
100,0000000000000166,MATMAS,MATMAS05,13,20220725,054356,LS,SAPCLNT100,LS,EXT001
100,0000000000000167,MATMAS,MATMAS05,14,20240601,121501,LS,SAPCLNT100,LS,EXT002
100,0000000000000168,MATMAS,MATMAS05,15,20220815,180434,LS,SAPCLNT100,LS,EXT003
100,0000000000000169,MATMAS,MATMAS05,12,20220303,212048,LS,SAPCLNT100,LS,EXT004
100,0000000000000170,MATMAS,MATMAS05,13,20230618,234952,LS,SAPCLNT100,LS,EXT005
100,0000000000000171,MATMAS,MATMAS05,14,20220704,164202,LS,SAPCLNT100,LS,EXT001
100,0000000000000172,MATMAS,MATMAS05,15,20241004,062425,LS,SAPCLNT100,LS,EXT002
100,0000000000000173,MATMAS,MATMAS05,12,20240327,051740,LS,SAPCLNT100,LS,EXT003
100,0000000000000174,MATMAS,MATMAS05,13,20231019,151506,LS,SAPCLNT100,LS,EXT004
100,0000000000000175,MATMAS,MATMAS05,14,20231031,113924,LS,SAPCLNT100,LS,EXT005
100,0000000000000176,MATMAS,MATMAS05,15,20241011,073219,LS,SAPCLNT100,LS,EXT001
100,0000000000000177,MATMAS,MATMAS05,12,20241216,220332,LS,SAPCLNT100,LS,EXT002
100,0000000000000178,MATMAS,MATMAS05,13,20220701,014929,LS,SAPCLNT100,LS,EXT003
100,0000000000000179,MATMAS,MATMAS05,14,20221128,215243,LS,SAPCLNT100,LS,EXT004
100,0000000000000180,MATMAS,MATMAS05,15,20230707,185000,LS,SAPCLNT100,LS,EXT005
100,0000000000000181,MATMAS,MATMAS05,12,20230104,215213,LS,SAPCLNT100,LS,EXT001
100,0000000000000182,MATMAS,MATMAS05,13,20220523,165211,LS,SAPCLNT100,LS,EXT002
100,0000000000000183,MATMAS,MATMAS05,14,20220404,191909,LS,SAPCLNT100,LS,EXT003
100,0000000000000184,MATMAS,MATMAS05,15,20221215,095147,LS,SAPCLNT100,LS,EXT004
100,0000000000000185,MATMAS,MATMAS05,12,20220421,143328,LS,SAPCLNT100,LS,EXT005
100,0000000000000186,MATMAS,MATMAS05,13,20241208,231036,LS,SAPCLNT100,LS,EXT001
100,0000000000000187,MATMAS,MATMAS05,14,20231228,020858,LS,SAPCLNT100,LS,EXT002
100,0000000000000188,MATMAS,MATMAS05,15,20240828,135506,LS,SAPCLNT100,LS,EXT003
100,0000000000000189,MATMAS,MATMAS05,12,20231215,201745,LS,SAPCLNT100,LS,EXT004
100,0000000000000190,MATMAS,MATMAS05,13,20220711,090545,LS,SAPCLNT100,LS,EXT005
100,0000000000000191,MATMAS,MATMAS05,14,20241101,063709,LS,SAPCLNT100,LS,EXT001
100,0000000000000192,MATMAS,MATMAS05,15,20240607,085301,LS,SAPCLNT100,LS,EXT002
100,0000000000000193,MATMAS,MATMAS05,12,20241213,061341,LS,SAPCLNT100,LS,EXT003
100,0000000000000194,MATMAS,MATMAS05,13,20240930,193328,LS,SAPCLNT100,LS,EXT004
100,0000000000000195,MATMAS,MATMAS05,14,20230427,043946,LS,SAPCLNT100,LS,EXT005
100,0000000000000196,MATMAS,MATMAS05,15,20241217,095939,LS,SAPCLNT100,LS,EXT001
100,0000000000000197,MATMAS,MATMAS05,12,20220402,171919,LS,SAPCLNT100,LS,EXT002
100,0000000000000198,MATMAS,MATMAS05,13,20230314,085547,LS,SAPCLNT100,LS,EXT003
100,0000000000000199,MATMAS,MATMAS05,14,20220107,015343,LS,SAPCLNT100,LS,EXT004
100,0000000000000200,MATMAS,MATMAS05,15,20231220,152910,LS,SAPCLNT100,LS,EXT005
100,0000000000000201,MATMAS,MATMAS05,12,20230615,223343,LS,SAPCLNT100,LS,EXT001
100,0000000000000202,MATMAS,MATMAS05,13,20240616,173158,LS,SAPCLNT100,LS,EXT002
100,0000000000000203,MATMAS,MATMAS05,14,20230224,022535,LS,SAPCLNT100,LS,EXT003
100,0000000000000204,MATMAS,MATMAS05,15,20240829,163409,LS,SAPCLNT100,LS,EXT004
100,0000000000000205,MATMAS,MATMAS05,12,20240317,002307,LS,SAPCLNT100,LS,EXT005
100,0000000000000206,MATMAS,MATMAS05,13,20220402,062514,LS,SAPCLNT100,LS,EXT001
100,0000000000000207,MATMAS,MATMAS05,14,20231003,104615,LS,SAPCLNT100,LS,EXT002
100,0000000000000208,MATMAS,MATMAS05,15,20230115,215641,LS,SAPCLNT100,LS,EXT003
100,0000000000000209,MATMAS,MATMAS05,12,20221011,001445,LS,SAPCLNT100,LS,EXT004
100,0000000000000210,MATMAS,MATMAS05,13,20220525,123434,LS,SAPCLNT100,LS,EXT005
100,0000000000000211,MATMAS,MATMAS05,14,20230310,031533,LS,SAPCLNT100,LS,EXT001
100,0000000000000212,MATMAS,MATMAS05,15,20230525,104327,LS,SAPCLNT100,LS,EXT002
100,0000000000000213,MATMAS,MATMAS05,12,20240721,193921,LS,SAPCLNT100,LS,EXT003
100,0000000000000214,MATMAS,MATMAS05,13,20230113,191907,LS,SAPCLNT100,LS,EXT004
100,0000000000000215,MATMAS,MATMAS05,14,20220924,104044,LS,SAPCLNT100,LS,EXT005
100,0000000000000216,MATMAS,MATMAS05,15,20220216,212052,LS,SAPCLNT100,LS,EXT001
100,0000000000000217,MATMAS,MATMAS05,12,20221206,070233,LS,SAPCLNT100,LS,EXT002
100,0000000000000218,MATMAS,MATMAS05,13,20220929,210353,LS,SAPCLNT100,LS,EXT003
100,0000000000000219,MATMAS,MATMAS05,14,20240115,003424,LS,SAPCLNT100,LS,EXT004
100,0000000000000220,MATMAS,MATMAS05,15,20230126,170917,LS,SAPCLNT100,LS,EXT005
100,0000000000000221,MATMAS,MATMAS05,12,20240427,085110,LS,SAPCLNT100,LS,EXT001
100,0000000000000222,MATMAS,MATMAS05,13,20240109,204631,LS,SAPCLNT100,LS,EXT002
100,0000000000000223,MATMAS,MATMAS05,14,20230603,164211,LS,SAPCLNT100,LS,EXT003
100,0000000000000224,MATMAS,MATMAS05,15,20230525,160848,LS,SAPCLNT100,LS,EXT004
100,0000000000000225,MATMAS,MATMAS05,12,20230327,204226,LS,SAPCLNT100,LS,EXT005
100,0000000000000226,MATMAS,MATMAS05,13,20240423,053651,LS,SAPCLNT100,LS,EXT001
100,0000000000000227,MATMAS,MATMAS05,14,20231125,110214,LS,SAPCLNT100,LS,EXT002
100,0000000000000228,MATMAS,MATMAS05,15,20230724,155005,LS,SAPCLNT100,LS,EXT003
100,0000000000000229,MATMAS,MATMAS05,12,20221111,110554,LS,SAPCLNT100,LS,EXT004
100,0000000000000230,MATMAS,MATMAS05,13,20220324,195043,LS,SAPCLNT100,LS,EXT005
100,0000000000000231,MATMAS,MATMAS05,14,20230606,055604,LS,SAPCLNT100,LS,EXT001
100,0000000000000232,MATMAS,MATMAS05,15,20240213,014216,LS,SAPCLNT100,LS,EXT002
100,0000000000000233,MATMAS,MATMAS05,12,20230409,011944,LS,SAPCLNT100,LS,EXT003
100,0000000000000234,MATMAS,MATMAS05,13,20220419,174432,LS,SAPCLNT100,LS,EXT004
100,0000000000000235,MATMAS,MATMAS05,14,20230818,210105,LS,SAPCLNT100,LS,EXT005
100,0000000000000236,MATMAS,MATMAS05,15,20221004,192700,LS,SAPCLNT100,LS,EXT001
100,0000000000000237,MATMAS,MATMAS05,12,20231101,142757,LS,SAPCLNT100,LS,EXT002
100,0000000000000238,MATMAS,MATMAS05,13,20241229,200707,LS,SAPCLNT100,LS,EXT003
100,0000000000000239,MATMAS,MATMAS05,14,20230312,000734,LS,SAPCLNT100,LS,EXT004
100,0000000000000240,MATMAS,MATMAS05,15,20230517,205110,LS,SAPCLNT100,LS,EXT005
100,0000000000000241,MATMAS,MATMAS05,12,20240912,164353,LS,SAPCLNT100,LS,EXT001
100,0000000000000242,MATMAS,MATMAS05,13,20231221,232033,LS,SAPCLNT100,LS,EXT002
100,0000000000000243,MATMAS,MATMAS05,14,20220101,045003,LS,SAPCLNT100,LS,EXT003
100,0000000000000244,MATMAS,MATMAS05,15,20240923,184142,LS,SAPCLNT100,LS,EXT004
100,0000000000000245,MATMAS,MATMAS05,12,20220911,104233,LS,SAPCLNT100,LS,EXT005
100,0000000000000246,MATMAS,MATMAS05,13,20240819,014418,LS,SAPCLNT100,LS,EXT001
100,0000000000000247,MATMAS,MATMAS05,14,20220331,191252,LS,SAPCLNT100,LS,EXT002
100,0000000000000248,MATMAS,MATMAS05,15,20240312,150015,LS,SAPCLNT100,LS,EXT003
100,0000000000000249,MATMAS,MATMAS05,12,20241018,180220,LS,SAPCLNT100,LS,EXT004
100,0000000000000250,MATMAS,MATMAS05,13,20220423,114925,LS,SAPCLNT100,LS,EXT005
100,0000000000000251,MATMAS,MATMAS05,14,20230706,111650,LS,SAPCLNT100,LS,EXT001
100,0000000000000252,MATMAS,MATMAS05,15,20220125,043654,LS,SAPCLNT100,LS,EXT002
100,0000000000000253,MATMAS,MATMAS05,12,20230803,053630,LS,SAPCLNT100,LS,EXT003
100,0000000000000254,MATMAS,MATMAS05,13,20240927,214032,LS,SAPCLNT100,LS,EXT004
100,0000000000000255,MATMAS,MATMAS05,14,20230706,013503,LS,SAPCLNT100,LS,EXT005
100,0000000000000256,MATMAS,MATMAS05,15,20230920,152607,LS,SAPCLNT100,LS,EXT001
100,0000000000000257,MATMAS,MATMAS05,12,20241001,081316,LS,SAPCLNT100,LS,EXT002
100,0000000000000258,MATMAS,MATMAS05,13,20240518,162250,LS,SAPCLNT100,LS,EXT003
100,0000000000000259,MATMAS,MATMAS05,14,20221112,141458,LS,SAPCLNT100,LS,EXT004
100,0000000000000260,MATMAS,MATMAS05,15,20230326,124210,LS,SAPCLNT100,LS,EXT005
100,0000000000000261,MATMAS,MATMAS05,12,20220526,192018,LS,SAPCLNT100,LS,EXT001
100,0000000000000262,MATMAS,MATMAS05,13,20240415,022624,LS,SAPCLNT100,LS,EXT002
100,0000000000000263,MATMAS,MATMAS05,14,20220414,070127,LS,SAPCLNT100,LS,EXT003
100,0000000000000264,MATMAS,MATMAS05,15,20221104,132740,LS,SAPCLNT100,LS,EXT004
100,0000000000000265,MATMAS,MATMAS05,12,20220127,075934,LS,SAPCLNT100,LS,EXT005
100,0000000000000266,MATMAS,MATMAS05,13,20220126,163934,LS,SAPCLNT100,LS,EXT001
100,0000000000000267,MATMAS,MATMAS05,14,20230630,013935,LS,SAPCLNT100,LS,EXT002
100,0000000000000268,MATMAS,MATMAS05,15,20241215,115329,LS,SAPCLNT100,LS,EXT003
100,0000000000000269,MATMAS,MATMAS05,12,20240516,174833,LS,SAPCLNT100,LS,EXT004
100,0000000000000270,MATMAS,MATMAS05,13,20220713,213037,LS,SAPCLNT100,LS,EXT005
100,0000000000000271,MATMAS,MATMAS05,14,20240407,161929,LS,SAPCLNT100,LS,EXT001
