MANDT,VBELN,POSNR,MATNR,LFIMG,VRKME,WERKS
100,1800000034,000010,MAT000004,1947,ST,1100
100,1800000034,000020,MAT000315,3943,ST,1100
100,1800000035,000010,MAT000083,2168,ST,1000
100,1800000035,000020,MAT000077,4125,ST,1000
100,1800000036,000010,MAT000153,1207,ST,1200
100,1800000037,000010,MAT000176,1826,ST,1100
100,1800000037,000020,MAT000216,911,ST,1100
100,1800000037,000030,MAT000013,1498,ST,1000
100,1800000038,000010,MAT000365,2988,ST,1000
100,1800000039,000010,MAT000262,4834,ST,1100
100,1800000039,000020,MAT000280,724,ST,1000
100,1800000039,000030,MAT000152,1590,ST,1000
100,1800000040,000010,MAT000125,4918,ST,1000
100,1800000040,000020,MAT000152,3266,ST,1200
100,1800000040,000030,MAT000376,3156,ST,1100
100,1800000041,000010,MAT000003,4210,ST,1200
100,1800000041,000020,MAT000211,2209,ST,1000
100,1800000042,000010,MAT000148,2320,ST,1000
100,1800000042,000020,MAT000152,578,ST,1100
100,1800000043,000010,MAT000242,706,ST,1100
100,1800000043,000020,MAT000219,2727,ST,1000
100,1800000044,000010,MAT000077,4471,ST,1200
100,1800000044,000020,MAT000007,1866,ST,1000
100,1800000044,000030,MAT000280,930,ST,1000
100,1800000044,000040,MAT000261,634,ST,1000
100,1800000045,000010,MAT000404,2753,ST,1200
100,1800000046,000010,MAT000077,2230,ST,1200
100,1800000046,000020,MAT000064,27,ST,1000
100,1800000047,000010,MAT000311,2291,ST,1100
100,1800000048,000010,MAT000297,4939,ST,1100
100,1800000048,000020,MAT000181,3149,ST,1100
100,1800000049,000010,MAT000304,4326,ST,1200
100,1800000049,000020,MAT000001,1675,ST,1000
100,1800000049,000030,MAT000082,498,ST,1100
100,1800000050,000010,MAT000174,467,ST,1000
100,1800000050,000020,MAT000310,3054,ST,1000
100,1800000051,000010,MAT000065,2017,ST,1200
100,1800000051,000020,MAT000108,4330,ST,1100
100,1800000052,000010,MAT000117,501,ST,1000
100,1800000052,000020,MAT000310,3731,ST,1100
100,1800000053,000010,MAT000402,3102,ST,1000
100,1800000053,000020,MAT000282,1514,ST,1200
100,1800000053,000030,MAT000221,3328,ST,1000
100,1800000053,000040,MAT000153,2221,ST,1000
100,1800000053,000050,MAT000008,1972,ST,1200
100,1800000054,000010,MAT000009,1978,ST,1200
100,1800000054,000020,MAT000357,384,ST,1000
100,1800000055,000010,MAT000282,2925,ST,1200
100,1800000056,000010,MAT000113,204,ST,1100
100,1800000056,000020,MAT000206,1330,ST,1100
100,1800000056,000030,MAT000176,1776,ST,1200
100,1800000056,000040,MAT000372,4239,ST,1200
100,1800000057,000010,MAT000312,337,ST,1200
100,1800000057,000020,MAT000471,624,ST,1200
100,1800000058,000010,MAT000343,2579,ST,1100
100,1800000058,000020,MAT000258,740,ST,1200
100,1800000059,000010,MAT000093,4669,ST,1100
100,1800000059,000020,MAT000100,3621,ST,1200
100,1800000059,000030,MAT000375,3697,ST,1200
100,1800000059,000040,MAT000181,4604,ST,1000
100,1800000060,000010,MAT000070,2868,ST,1200
100,1800000060,000020,MAT000066,1486,ST,1100
100,1800000060,000030,MAT000222,2815,ST,1100
100,1800000060,000040,MAT000200,3733,ST,1000
100,1800000061,000010,MAT000016,2971,ST,1100
100,1800000061,000020,MAT000310,2220,ST,1000
100,1800000061,000030,MAT000065,2453,ST,1100
100,1800000062,000010,MAT000311,2811,ST,1100
100,1800000063,000010,MAT000124,3588,ST,1200
100,1800000063,000020,MAT000453,1636,ST,1200
100,1800000063,000030,MAT000222,126,ST,1100
100,1800000064,000010,MAT000001,3700,ST,1000
100,1800000064,000020,MAT000010,1800,ST,1000
100,1800000065,000010,MAT000152,4735,ST,1100
100,1800000065,000020,MAT000372,1031,ST,1200
100,1800000066,000010,MAT000239,938,ST,1100
100,1800000066,000020,MAT000124,4456,ST,1100
100,1800000066,000030,MAT000075,727,ST,1000
100,1800000066,000040,MAT000297,859,ST,1200
100,1800000066,000050,MAT000431,277,ST,1100
100,1800000067,000010,MAT000093,2882,ST,1100
100,1800000067,000020,MAT000289,72,ST,1000
100,1800000067,000030,MAT000194,2528,ST,1100
100,1800000067,000040,MAT000009,137,ST,1100
100,1800000068,000010,MAT000179,4562,ST,1000
100,1800000068,000020,MAT000428,3525,ST,1200
100,1800000068,000030,MAT000222,4247,ST,1000
100,1800000068,000040,MAT000086,4736,ST,1200
100,1800000068,000050,MAT000231,1679,ST,1000
100,1800000069,000010,MAT000065,4694,ST,1200
100,1800000069,000020,MAT000261,1538,ST,1000
100,1800000069,000030,MAT000274,2143,ST,1100
100,1800000070,000010,MAT000365,189,ST,1100
100,1800000070,000020,MAT000221,3703,ST,1000
100,1800000071,000010,MAT000367,3582,ST,1100
100,1800000071,000020,MAT000200,3228,ST,1200
100,1800000072,000010,MAT000310,4895,ST,1100
100,1800000072,000020,MAT000426,2901,ST,1200
100,1800000072,000030,MAT000376,2083,ST,1100
100,1800000072,000040,MAT000148,2653,ST,1000
100,1800000073,000010,MAT000093,88,ST,1000
100,1800000073,000020,MAT000231,1915,ST,1100
100,1800000073,000030,MAT000077,4605,ST,1200
100,1800000074,000010,MAT000154,1624,ST,1100
100,1800000074,000020,MAT000086,1026,ST,1200
100,1800000074,000030,MAT000006,2345,ST,1200
100,1800000074,000040,MAT000293,313,ST,1200
100,1800000075,000010,MAT000199,2608,ST,1100
100,1800000075,000020,MAT000474,395,ST,1200
100,1800000075,000030,MAT000093,3073,ST,1000
100,1800000076,000010,MAT000315,1864,ST,1000
100,1800000076,000020,MAT000002,440,ST,1000
100,1800000076,000030,MAT000194,2707,ST,1100
100,1800000076,000040,MAT000433,3784,ST,1100
100,1800000077,000010,MAT000402,4332,ST,1100
100,1800000077,000020,MAT000357,1860,ST,1100
100,1800000077,000030,MAT000181,1696,ST,1000
100,1800000078,000010,MAT000077,2798,ST,1200
100,1800000079,000010,MAT000375,875,ST,1000
100,1800000079,000020,MAT000487,4216,ST,1100
100,1800000079,000030,MAT000219,4738,ST,1000
100,1800000080,000010,MAT000008,3911,ST,1100
100,1800000081,000010,MAT000289,4123,ST,1100
100,1800000081,000020,MAT000013,3143,ST,1100
100,1800000082,000010,MAT000383,3561,ST,1000
100,1800000082,000020,MAT000014,302,ST,1000
100,1800000082,000030,MAT000487,3324,ST,1000
100,1800000083,000010,MAT000166,2857,ST,1200
100,1800000084,000010,MAT000219,1964,ST,1200
100,1800000084,000020,MAT000343,1171,ST,1200
100,1800000085,000010,MAT000414,2118,ST,1100
100,1800000085,000020,MAT000216,2743,ST,1200
100,1800000085,000030,MAT000006,1221,ST,1000
100,1800000086,000010,MAT000069,1597,ST,1100
100,1800000086,000020,MAT000414,3690,ST,1200
100,1800000087,000010,MAT000199,2543,ST,1200
100,1800000087,000020,MAT000093,3560,ST,1200
100,1800000088,000010,MAT000113,4295,ST,1200
100,1800000088,000020,MAT000205,539,ST,1000
100,1800000089,000010,MAT000002,3535,ST,1000
100,1800000089,000020,MAT000201,4122,ST,1200
100,1800000090,000010,MAT000065,2392,ST,1100
100,1800000090,000020,MAT000280,3471,ST,1000
100,1800000090,000030,MAT000143,4629,ST,1100
100,1800000091,000010,MAT000216,2508,ST,1200
100,1800000091,000020,MAT000315,796,ST,1100
100,1800000091,000030,MAT000261,3846,ST,1100
100,1800000092,000010,MAT000108,2487,ST,1200
100,1800000092,000020,MAT000422,2413,ST,1100
100,1800000093,000010,MAT000197,886,ST,1000
100,1800000094,000010,MAT000376,444,ST,1200
100,1800000094,000020,MAT000104,1841,ST,1200
100,1800000094,000030,MAT000002,3982,ST,1000
100,1800000095,000010,MAT000077,3890,ST,1200
100,1800000095,000020,MAT000213,3324,ST,1000
100,1800000096,000010,MAT000009,3651,ST,1100
100,1800000096,000020,MAT000199,84,ST,1100
100,1800000096,000030,MAT000255,4311,ST,1000
100,1800000097,000010,MAT000108,2290,ST,1200
100,1800000097,000020,MAT000357,3094,ST,1200
100,1800000098,000010,MAT000231,4833,ST,1100
100,1800000099,000010,MAT000071,880,ST,1200
100,1800000100,000010,MAT000143,3156,ST,1100
100,1800000100,000020,MAT000010,607,ST,1100
100,1800000100,000030,MAT000341,3103,ST,1200
100,1800000100,000040,MAT000365,3594,ST,1000
100,1800000101,000010,MAT000499,798,ST,1000
100,1800000101,000020,MAT000414,599,ST,1200
100,1800000101,000030,MAT000427,3890,ST,1100
100,1800000102,000010,MAT000019,4672,ST,1200
100,1800000102,000020,MAT000014,4937,ST,1000
100,1800000103,000010,MAT000122,2369,ST,1200
100,1800000103,000020,MAT000372,2567,ST,1000
100,1800000104,000010,MAT000242,3462,ST,1100
100,1800000105,000010,MAT000016,1940,ST,1200
100,1800000105,000020,MAT000301,4910,ST,1000
100,1800000105,000030,MAT000011,862,ST,1200
100,1800000106,000010,MAT000095,3602,ST,1000
100,1800000107,000010,MAT000355,1012,ST,1000
100,1800000107,000020,MAT000261,1814,ST,1100
100,1800000107,000030,MAT000181,4325,ST,1100
100,1800000108,000010,MAT000065,1677,ST,1200
100,1800000108,000020,MAT000093,3060,ST,1000
100,1800000109,000010,MAT000009,2224,ST,1100
100,1800000110,000010,MAT000275,3161,ST,1000
100,1800000110,000020,MAT000411,438,ST,1000
100,1800000111,000010,MAT000451,1783,ST,1100
100,1800000111,000020,MAT000015,904,ST,1200
100,1800000111,000030,MAT000345,3482,ST,1200
100,1800000111,000040,MAT000347,1961,ST,1000
100,1800000112,000010,MAT000242,4688,ST,1200
100,1800000112,000020,MAT000471,111,ST,1200
100,1800000113,000010,MAT000095,1873,ST,1000
100,1800000113,000020,MAT000150,4161,ST,1200
100,1800000113,000030,MAT000016,2132,ST,1000
100,1800000113,000040,MAT000178,2874,ST,1200
100,1800000114,000010,MAT000301,594,ST,1100
100,1800000114,000020,MAT000262,2754,ST,1200
100,1800000115,000010,MAT000275,652,ST,1000
100,1800000115,000020,MAT000416,3434,ST,1000
100,1800000115,000030,MAT000403,4272,ST,1100
100,1800000116,000010,MAT000262,1901,ST,1200
100,1800000116,000020,MAT000294,2974,ST,1200
100,1800000116,000030,MAT000357,4967,ST,1100
100,1800000117,000010,MAT000294,4800,ST,1200
100,1800000117,000020,MAT000086,677,ST,1200
100,1800000117,000030,MAT000154,1483,ST,1000
100,1800000118,000010,MAT000095,289,ST,1000
100,1800000118,000020,MAT000404,3189,ST,1100
100,1800000118,000030,MAT000211,985,ST,1100
100,1800000119,000010,MAT000258,3687,ST,1200
100,1800000119,000020,MAT000355,1112,ST,1200
100,1800000119,000030,MAT000066,1257,ST,1200
100,1800000120,000010,MAT000440,2298,ST,1000
100,1800000121,000010,MAT000311,2346,ST,1100
100,1800000121,000020,MAT000167,3536,ST,1200
100,1800000121,000030,MAT000086,2368,ST,1100
100,1800000122,000010,MAT000413,4416,ST,1000
100,1800000122,000020,MAT000166,2318,ST,1200
100,1800000122,000030,MAT000343,2426,ST,1200
100,1800000122,000040,MAT000194,721,ST,1100
100,1800000122,000050,MAT000173,619,ST,1200
100,1800000123,000010,MAT000221,324,ST,1200
100,1800000124,000010,MAT000497,75,ST,1200
100,1800000124,000020,MAT000154,2183,ST,1100
100,1800000124,000030,MAT000154,736,ST,1200
100,1800000124,000040,MAT000419,1718,ST,1000
100,1800000125,000010,MAT000357,4355,ST,1000
100,1800000125,000020,MAT000358,4025,ST,1100
100,1800000125,000030,MAT000173,930,ST,1100
100,1800000126,000010,MAT000222,940,ST,1100
100,1800000127,000010,MAT000008,2393,ST,1000
100,1800000127,000020,MAT000192,2611,ST,1100
100,1800000127,000030,MAT000195,3987,ST,1100
100,1800000128,000010,MAT000167,2976,ST,1000
100,1800000129,000010,MAT000171,4539,ST,1000
100,1800000129,000020,MAT000403,849,ST,1100
100,1800000130,000010,MAT000009,2241,ST,1100
100,1800000130,000020,MAT000197,705,ST,1200
100,1800000130,000030,MAT000413,4965,ST,1000
100,1800000131,000010,MAT000006,2485,ST,1000
100,1800000131,000020,MAT000352,3094,ST,1000
100,1800000132,000010,MAT000181,3142,ST,1100
100,1800000132,000020,MAT000080,3714,ST,1000
100,1800000133,000010,MAT000239,1187,ST,1000
100,1800000133,000020,MAT000365,4871,ST,1000
100,1800000133,000030,MAT000426,1914,ST,1100
100,1800000134,000010,MAT000465,3340,ST,1100
100,1800000134,000020,MAT000414,4104,ST,1200
100,1800000134,000030,MAT000379,4554,ST,1200
100,1800000135,000010,MAT000124,4269,ST,1000
100,1800000135,000020,MAT000010,3484,ST,1200
100,1800000135,000030,MAT000416,3435,ST,1100
100,1800000136,000010,MAT000354,90,ST,1000
100,1800000136,000020,MAT000002,2564,ST,1000
100,1800000137,000010,MAT000018,2880,ST,1000
100,1800000137,000020,MAT000199,2338,ST,1100
100,1800000137,000030,MAT000293,2096,ST,1200
100,1800000138,000010,MAT000422,848,ST,1200
100,1800000139,000010,MAT000483,3888,ST,1000
100,1800000139,000020,MAT000483,1210,ST,1100
100,1800000140,000010,MAT000310,1761,ST,1000
100,1800000140,000020,MAT000003,1614,ST,1200
100,1800000140,000030,MAT000071,3031,ST,1200
100,1800000141,000010,MAT000144,1088,ST,1000
100,1800000142,000010,MAT000153,146,ST,1200
100,1800000142,000020,MAT000440,3010,ST,1200
100,1800000143,000010,MAT000372,1218,ST,1000
100,1800000143,000020,MAT000154,4150,ST,1200
100,1800000143,000030,MAT000086,2807,ST,1200
100,1800000143,000040,MAT000083,751,ST,1000
100,1800000144,000010,MAT000272,3781,ST,1200
100,1800000144,000020,MAT000152,1097,ST,1100
100,1800000145,000010,MAT000197,1642,ST,1100
100,1800000145,000020,MAT000365,2919,ST,1100
100,1800000145,000030,MAT000135,310,ST,1200
100,1800000145,000040,MAT000315,2851,ST,1200
100,1800000146,000010,MAT000070,4214,ST,1100
100,1800000146,000020,MAT000083,4245,ST,1000
100,1800000146,000030,MAT000272,4628,ST,1200
100,1800000147,000010,MAT000239,2768,ST,1000
100,1800000147,000020,MAT000347,4489,ST,1000
100,1800000148,000010,MAT000354,2005,ST,1100
100,1800000148,000020,MAT000011,1929,ST,1200
100,1800000148,000030,MAT000428,3292,ST,1000
100,1800000149,000010,MAT000426,1153,ST,1100
100,1800000150,000010,MAT000344,16,ST,1000
100,1800000150,000020,MAT000178,1675,ST,1200
100,1800000151,000010,MAT000075,3866,ST,1100
100,1800000152,000010,MAT000071,3185,ST,1000
100,1800000152,000020,MAT000310,4900,ST,1000
100,1800000152,000030,MAT000440,230,ST,1200
100,1800000153,000010,MAT000289,642,ST,1000
100,1800000153,000020,MAT000315,770,ST,1200
100,1800000153,000030,MAT000281,3947,ST,1100
100,1800000154,000010,MAT000075,3323,ST,1000
100,1800000154,000020,MAT000280,3734,ST,1200
100,1800000155,000010,MAT000468,3698,ST,1100
100,1800000155,000020,MAT000082,1475,ST,1200
100,1800000155,000030,MAT000002,2771,ST,1200
100,1800000156,000010,MAT000201,336,ST,1100
100,1800000157,000010,MAT000211,202,ST,1000
100,1800000157,000020,MAT000235,2448,ST,1200
100,1800000158,000010,MAT000411,784,ST,1000
100,1800000159,000010,MAT000403,4671,ST,1000
100,1800000159,000020,MAT000075,3138,ST,1200
100,1800000160,000010,MAT000191,659,ST,1100
100,1800000161,000010,MAT000181,410,ST,1100
100,1800000161,000020,MAT000150,2277,ST,1000
100,1800000162,000010,MAT000419,112,ST,1100
100,1800000162,000020,MAT000371,1735,ST,1000
100,1800000163,000010,MAT000250,690,ST,1200
100,1800000163,000020,MAT000341,3838,ST,1200
100,1800000164,000010,MAT000168,916,ST,1000
100,1800000164,000020,MAT000290,4516,ST,1000
100,1800000165,000010,MAT000500,2613,ST,1200
100,1800000165,000020,MAT000345,2355,ST,1100
100,1800000165,000030,MAT000205,37,ST,1100
100,1800000166,000010,MAT000304,3371,ST,1000
100,1800000166,000020,MAT000065,4921,ST,1100
100,1800000166,000030,MAT000426,3875,ST,1100
100,1800000167,000010,MAT000153,1332,ST,1200
100,1800000167,000020,MAT000159,2653,ST,1000
100,1800000168,000010,MAT000179,1458,ST,1200
100,1800000168,000020,MAT000122,2015,ST,1000
100,1800000169,000010,MAT000019,3426,ST,1200
100,1800000169,000020,MAT000411,204,ST,1200
100,1800000169,000030,MAT000011,2986,ST,1200
100,1800000169,000040,MAT000111,2160,ST,1200
100,1800000170,000010,MAT000357,1731,ST,1100
100,1800000170,000020,MAT000181,2139,ST,1200
100,1800000170,000030,MAT000192,4664,ST,1000
100,1800000170,000040,MAT000173,3048,ST,1200
100,1800000171,000010,MAT000324,2425,ST,1200
100,1800000171,000020,MAT000280,2117,ST,1000
100,1800000172,000010,MAT000383,3334,ST,1000
100,1800000172,000020,MAT000372,2584,ST,1100
100,1800000172,000030,MAT000357,1446,ST,1100
100,1800000173,000010,MAT000197,4542,ST,1200
100,1800000173,000020,MAT000015,3668,ST,1000
100,1800000174,000010,MAT000343,1463,ST,1200
100,1800000174,000020,MAT000152,531,ST,1000
100,1800000175,000010,MAT000345,815,ST,1000
100,1800000175,000020,MAT000355,963,ST,1100
100,1800000175,000030,MAT000465,4001,ST,1000
100,1800000176,000010,MAT000440,3747,ST,1100
100,1800000176,000020,MAT000144,2702,ST,1200
100,1800000176,000030,MAT000411,2049,ST,1200
100,1800000177,000010,MAT000376,3864,ST,1000
100,1800000178,000010,MAT000412,1506,ST,1000
100,1800000178,000020,MAT000222,4355,ST,1200
100,1800000178,000030,MAT000117,2662,ST,1100
100,1800000179,000010,MAT000453,3425,ST,1100
100,1800000179,000020,MAT000216,3047,ST,1100
100,1800000179,000030,MAT000219,3494,ST,1100
100,1800000179,000040,MAT000294,2906,ST,1000
100,1800000179,000050,MAT000159,1718,ST,1100
100,1800000180,000010,MAT000324,2338,ST,1000
100,1800000180,000020,MAT000297,1253,ST,1200
100,1800000181,000010,MAT000192,4570,ST,1100
100,1800000181,000020,MAT000221,2969,ST,1100
100,1800000181,000030,MAT000344,2977,ST,1200
100,1800000182,000010,MAT000311,3256,ST,1000
100,1800000182,000020,MAT000272,142,ST,1000
100,1800000182,000030,MAT000412,4040,ST,1100
100,1800000183,000010,MAT000379,728,ST,1100
100,1800000184,000010,MAT000192,1835,ST,1100
100,1800000184,000020,MAT000428,2915,ST,1200
100,1800000185,000010,MAT000411,4940,ST,1000
100,1800000186,000010,MAT000159,2491,ST,1100
100,1800000186,000020,MAT000258,233,ST,1100
100,1800000186,000030,MAT000329,1718,ST,1100
100,1800000187,000010,MAT000143,4160,ST,1200
100,1800000188,000010,MAT000222,3410,ST,1000
100,1800000188,000020,MAT000082,3753,ST,1100
100,1800000188,000030,MAT000258,2962,ST,1000
100,1800000189,000010,MAT000281,3871,ST,1100
100,1800000189,000020,MAT000144,4635,ST,1200
100,1800000189,000030,MAT000010,511,ST,1000
100,1800000190,000010,MAT000383,1250,ST,1200
100,1800000191,000010,MAT000293,3067,ST,1100
100,1800000191,000020,MAT000008,3864,ST,1000
100,1800000192,000010,MAT000004,2866,ST,1000
100,1800000193,000010,MAT000412,3617,ST,1200
100,1800000193,000020,MAT000191,1060,ST,1200
100,1800000193,000030,MAT000071,3924,ST,1200
100,1800000193,000040,MAT000109,1857,ST,1200
100,1800000194,000010,MAT000150,2476,ST,1100
100,1800000194,000020,MAT000195,1088,ST,1100
100,1800000195,000010,MAT000154,1502,ST,1200
100,1800000196,000010,MAT000357,2827,ST,1200
100,1800000196,000020,MAT000491,2162,ST,1000
100,1800000196,000030,MAT000242,2772,ST,1000
100,1800000197,000010,MAT000249,4262,ST,1100
100,1800000198,000010,MAT000082,995,ST,1100
100,1800000198,000020,MAT000315,4542,ST,1000
100,1800000198,000030,MAT000376,1606,ST,1200
100,1800000198,000040,MAT000258,4315,ST,1000
100,1800000198,000050,MAT000411,2980,ST,1200
100,1800000199,000010,MAT000487,1863,ST,1200
100,1800000199,000020,MAT000310,1666,ST,1100
100,1800000199,000030,MAT000304,3913,ST,1000
100,1800000200,000010,MAT000474,4875,ST,1000
100,1800000200,000020,MAT000124,1996,ST,1000
100,1800000201,000010,MAT000199,1160,ST,1000
100,1800000201,000020,MAT000329,1176,ST,1100
100,1800000201,000030,MAT000403,850,ST,1200
100,1800000201,000040,MAT000093,4443,ST,1100
100,1800000201,000050,MAT000249,2239,ST,1000
100,1800000202,000010,MAT000358,2394,ST,1000
100,1800000202,000020,MAT000465,2980,ST,1200
100,1800000202,000030,MAT000304,474,ST,1100
100,1800000203,000010,MAT000261,690,ST,1200
100,1800000203,000020,MAT000451,3563,ST,1000
100,1800000203,000030,MAT000274,4979,ST,1200
100,1800000203,000040,MAT000075,4725,ST,1000
100,1800000204,000010,MAT000011,2855,ST,1100
100,1800000204,000020,MAT000290,3547,ST,1000
100,1800000204,000030,MAT000238,819,ST,1100
100,1800000205,000010,MAT000183,2276,ST,1000
100,1800000205,000020,MAT000194,1325,ST,1200
100,1800000206,000010,MAT000483,4419,ST,1000
100,1800000206,000020,MAT000070,3336,ST,1100
100,1800000207,000010,MAT000324,2971,ST,1000
100,1800000207,000020,MAT000220,4156,ST,1200
100,1800000208,000010,MAT000070,751,ST,1200
100,1800000209,000010,MAT000280,858,ST,1200
100,1800000209,000020,MAT000231,1851,ST,1000
100,1800000210,000010,MAT000173,2019,ST,1100
100,1800000210,000020,MAT000006,3968,ST,1100
100,1800000211,000010,MAT000497,4724,ST,1100
100,1800000211,000020,MAT000194,3543,ST,1000
100,1800000211,000030,MAT000104,2645,ST,1200
100,1800000212,000010,MAT000221,868,ST,1200
100,1800000212,000020,MAT000417,1844,ST,1200
100,1800000213,000010,MAT000135,191,ST,1200
100,1800000213,000020,MAT000111,532,ST,1000
100,1800000213,000030,MAT000008,4906,ST,1200
100,1800000213,000040,MAT000341,2548,ST,1200
100,1800000213,000050,MAT000376,3345,ST,1200
100,1800000214,000010,MAT000440,990,ST,1000
100,1800000214,000020,MAT000153,2048,ST,1000
100,1800000214,000030,MAT000086,2728,ST,1100
100,1800000215,000010,MAT000249,1509,ST,1100
100,1800000215,000020,MAT000371,753,ST,1100
100,1800000216,000010,MAT000071,4301,ST,1200
100,1800000216,000020,MAT000272,792,ST,1200
100,1800000217,000010,MAT000018,1422,ST,1200
100,1800000217,000020,MAT000250,804,ST,1000
100,1800000218,000010,MAT000329,258,ST,1200
100,1800000219,000010,MAT000451,4257,ST,1000
100,1800000219,000020,MAT000474,2773,ST,1200
100,1800000219,000030,MAT000083,4552,ST,1000
100,1800000220,000010,MAT000016,3945,ST,1200
100,1800000221,000010,MAT000422,4721,ST,1200
100,1800000221,000020,MAT000201,2634,ST,1000
100,1800000221,000030,MAT000315,3098,ST,1000
100,1800000221,000040,MAT000474,3195,ST,1100
100,1800000222,000010,MAT000427,4456,ST,1100
100,1800000222,000020,MAT000216,3163,ST,1200
100,1800000222,000030,MAT000315,4174,ST,1000
100,1800000223,000010,MAT000197,3362,ST,1100
100,1800000223,000020,MAT000152,4009,ST,1000
100,1800000224,000010,MAT000083,954,ST,1100
100,1800000224,000020,MAT000191,3272,ST,1100
100,1800000225,000010,MAT000419,4089,ST,1200
100,1800000225,000020,MAT000175,321,ST,1000
100,1800000225,000030,MAT000179,3581,ST,1100
100,1800000225,000040,MAT000372,1558,ST,1200
100,1800000225,000050,MAT000117,2806,ST,1100
100,1800000226,000010,MAT000206,4151,ST,1000
100,1800000226,000020,MAT000007,3618,ST,1000
100,1800000227,000010,MAT000017,3368,ST,1000
100,1800000228,000010,MAT000002,3132,ST,1000
100,1800000228,000020,MAT000174,298,ST,1000
100,1800000228,000030,MAT000427,3172,ST,1200
100,1800000229,000010,MAT000500,3737,ST,1000
100,1800000229,000020,MAT000109,2359,ST,1000
100,1800000230,000010,MAT000109,358,ST,1200
100,1800000230,000020,MAT000095,2901,ST,1100
100,1800000230,000030,MAT000341,3646,ST,1100
100,1800000230,000040,MAT000104,4351,ST,1000
100,1800000231,000010,MAT000345,4500,ST,1100
100,1800000231,000020,MAT000109,3862,ST,1200
100,1800000232,000010,MAT000242,4529,ST,1200
100,1800000233,000010,MAT000426,1421,ST,1200
100,1800000233,000020,MAT000428,1630,ST,1100
