MANDT,AUFPL,APLZL,MGVRG,MEINH,DAESSION
100,0000000034,00000001,62.445,EA,42
100,0000000034,00000002,37.56,EA,37
100,0000000034,00000003,3.874,EA,38
100,0000000034,00000004,68.765,EA,32
100,0000000035,00000001,66.418,EA,46
100,0000000035,00000002,45.818,EA,47
100,0000000036,00000001,81.946,EA,20
100,0000000036,00000002,34.384,EA,21
100,0000000037,00000001,26.29,EA,35
100,0000000037,00000002,52.05,EA,32
100,0000000037,00000003,92.968,EA,27
100,0000000037,00000004,16.201,EA,53
100,0000000038,00000001,8.527,EA,59
100,0000000038,00000002,34.414,EA,49
100,0000000038,00000003,31.861,EA,25
100,0000000039,00000001,5.161,EA,45
100,0000000039,00000002,17.954,EA,29
100,0000000039,00000003,97.393,EA,21
100,0000000040,00000001,33.745,EA,56
100,0000000040,00000002,36.538,EA,50
100,0000000040,00000003,26.609,EA,56
100,0000000040,00000004,17.819,EA,30
100,0000000041,00000001,18.324,EA,28
100,0000000041,00000002,98.773,EA,18
100,0000000042,00000001,81.267,EA,22
100,0000000042,00000002,36.33,EA,60
100,0000000042,00000003,91.365,EA,41
100,0000000042,00000004,78.149,EA,9
100,0000000043,00000001,22.692,EA,17
100,0000000043,00000002,81.846,EA,53
100,0000000044,00000001,13.931,EA,34
100,0000000044,00000002,60.449,EA,23
100,0000000044,00000003,77.215,EA,27
100,0000000045,00000001,23.835,EA,6
100,0000000045,00000002,36.373,EA,24
100,0000000045,00000003,24.77,EA,46
100,0000000045,00000004,27.028,EA,26
100,0000000046,00000001,76.317,EA,46
100,0000000046,00000002,19.241,EA,50
100,0000000047,00000001,96.016,EA,40
100,0000000047,00000002,20.749,EA,56
100,0000000047,00000003,14.341,EA,27
100,0000000047,00000004,72.332,EA,47
100,0000000048,00000001,52.603,EA,16
100,0000000048,00000002,6.606,EA,26
100,0000000048,00000003,6.246,EA,53
100,0000000049,00000001,64.023,EA,35
100,0000000049,00000002,17.832,EA,20
100,0000000049,00000003,21.498,EA,45
100,0000000049,00000004,32.625,EA,51
100,0000000050,00000001,99.145,EA,46
100,0000000050,00000002,81.657,EA,13
100,0000000050,00000003,8.871,EA,29
100,0000000051,00000001,64.777,EA,7
100,0000000051,00000002,1.499,EA,26
100,0000000052,00000001,12.9,EA,2
100,0000000052,00000002,2.564,EA,34
100,0000000052,00000003,31.636,EA,2
100,0000000053,00000001,51.833,EA,5
100,0000000053,00000002,54.74,EA,15
100,0000000054,00000001,13.161,EA,29
100,0000000054,00000002,5.381,EA,34
100,0000000055,00000001,69.128,EA,47
100,0000000055,00000002,72.018,EA,55
100,0000000056,00000001,6.811,EA,32
100,0000000056,00000002,62.929,EA,36
100,0000000057,00000001,78.346,EA,7
100,0000000057,00000002,49.076,EA,20
100,0000000057,00000003,51.455,EA,22
100,0000000057,00000004,3.31,EA,13
100,0000000058,00000001,61.508,EA,53
100,0000000058,00000002,8.635,EA,24
100,0000000058,00000003,51.552,EA,15
100,0000000059,00000001,33.542,EA,56
100,0000000059,00000002,97.753,EA,31
100,0000000060,00000001,8.218,EA,18
100,0000000060,00000002,2.033,EA,25
100,0000000061,00000001,23.175,EA,50
100,0000000061,00000002,68.317,EA,17
100,0000000061,00000003,66.707,EA,55
100,0000000062,00000001,73.652,EA,36
100,0000000062,00000002,97.743,EA,45
100,0000000062,00000003,56.548,EA,1
100,0000000062,00000004,80.07,EA,39
100,0000000063,00000001,8.122,EA,26
100,0000000063,00000002,76.408,EA,55
100,0000000063,00000003,53.063,EA,40
100,0000000064,00000001,42.233,EA,31
100,0000000064,00000002,35.569,EA,34
100,0000000064,00000003,97.974,EA,59
100,0000000064,00000004,16.291,EA,3
100,0000000065,00000001,85.463,EA,22
100,0000000065,00000002,94.626,EA,49
100,0000000065,00000003,81.121,EA,30
100,0000000066,00000001,38.004,EA,19
100,0000000066,00000002,64.436,EA,6
100,0000000067,00000001,88.363,EA,12
100,0000000067,00000002,93.761,EA,35
100,0000000067,00000003,28.53,EA,37
100,0000000068,00000001,20.081,EA,12
100,0000000068,00000002,62.819,EA,10
100,0000000068,00000003,78.72,EA,37
100,0000000068,00000004,32.886,EA,47
100,0000000069,00000001,53.857,EA,42
100,0000000069,00000002,72.846,EA,9
100,0000000070,00000001,96.842,EA,12
100,0000000070,00000002,74.464,EA,36
100,0000000070,00000003,20.078,EA,18
100,0000000071,00000001,58.166,EA,39
100,0000000071,00000002,58.157,EA,39
100,0000000071,00000003,82.44,EA,35
100,0000000072,00000001,50.343,EA,11
100,0000000072,00000002,61.635,EA,37
100,0000000073,00000001,56.642,EA,50
100,0000000073,00000002,19.76,EA,18
100,0000000073,00000003,34.953,EA,46
100,0000000073,00000004,42.247,EA,38
100,0000000074,00000001,67.165,EA,19
100,0000000074,00000002,74.024,EA,50
100,0000000075,00000001,3.62,EA,18
100,0000000075,00000002,71.578,EA,9
100,0000000075,00000003,51.3,EA,52
100,0000000076,00000001,98.683,EA,30
100,0000000076,00000002,51.469,EA,37
100,0000000076,00000003,82.613,EA,23
100,0000000077,00000001,84.365,EA,28
100,0000000077,00000002,47.125,EA,27
100,0000000078,00000001,53.456,EA,49
100,0000000078,00000002,93.017,EA,3
100,0000000079,00000001,86.355,EA,60
100,0000000079,00000002,29.941,EA,47
100,0000000079,00000003,89.796,EA,56
100,0000000079,00000004,35.327,EA,3
100,0000000080,00000001,43.68,EA,9
100,0000000080,00000002,10.53,EA,25
100,0000000081,00000001,24.607,EA,60
100,0000000081,00000002,49.337,EA,53
100,0000000081,00000003,70.989,EA,33
100,0000000081,00000004,91.509,EA,15
100,0000000082,00000001,26.92,EA,4
100,0000000082,00000002,33.823,EA,28
100,0000000082,00000003,26.346,EA,2
100,0000000083,00000001,59.421,EA,35
100,0000000083,00000002,29.15,EA,40
100,0000000083,00000003,85.371,EA,40
100,0000000083,00000004,52.495,EA,49
100,0000000084,00000001,44.058,EA,9
100,0000000084,00000002,68.094,EA,18
100,0000000084,00000003,15.682,EA,28
100,0000000085,00000001,62.677,EA,44
100,0000000085,00000002,79.005,EA,41
100,0000000086,00000001,49.592,EA,7
100,0000000086,00000002,79.135,EA,12
100,0000000087,00000001,16.114,EA,15
100,0000000087,00000002,83.101,EA,55
100,0000000088,00000001,49.379,EA,16
100,0000000088,00000002,20.14,EA,49
100,0000000088,00000003,11.686,EA,18
100,0000000089,00000001,4.772,EA,3
100,0000000089,00000002,13.41,EA,57
100,0000000089,00000003,10.699,EA,35
100,0000000089,00000004,82.5,EA,43
100,0000000090,00000001,60.257,EA,53
100,0000000090,00000002,30.607,EA,41
100,0000000090,00000003,66.67,EA,13
100,0000000090,00000004,67.752,EA,13
100,0000000091,00000001,76.665,EA,2
100,0000000091,00000002,86.869,EA,47
100,0000000091,00000003,89.627,EA,9
100,0000000091,00000004,31.041,EA,50
100,0000000092,00000001,62.314,EA,6
100,0000000092,00000002,16.576,EA,36
100,0000000092,00000003,13.958,EA,2
100,0000000093,00000001,4.641,EA,17
100,0000000093,00000002,64.975,EA,10
100,0000000094,00000001,24.468,EA,38
100,0000000094,00000002,6.314,EA,43
100,0000000094,00000003,4.292,EA,22
100,0000000094,00000004,38.621,EA,14
100,0000000095,00000001,91.035,EA,18
100,0000000095,00000002,45.16,EA,50
100,0000000096,00000001,23.309,EA,1
100,0000000096,00000002,15.298,EA,4
100,0000000096,00000003,23.979,EA,15
100,0000000096,00000004,25.53,EA,33
100,0000000097,00000001,1.838,EA,17
100,0000000097,00000002,94.029,EA,37
100,0000000098,00000001,18.576,EA,21
100,0000000098,00000002,89.233,EA,35
100,0000000098,00000003,66.997,EA,23
100,0000000098,00000004,99.459,EA,3
100,0000000099,00000001,8.106,EA,30
100,0000000099,00000002,88.751,EA,56
100,0000000099,00000003,9.207,EA,60
100,0000000099,00000004,42.712,EA,49
100,0000000100,00000001,96.381,EA,33
100,0000000100,00000002,5.943,EA,22
100,0000000101,00000001,83.376,EA,2
100,0000000101,00000002,8.368,EA,46
100,0000000102,00000001,88.065,EA,54
100,0000000102,00000002,13.274,EA,2
100,0000000102,00000003,74.719,EA,16
100,0000000103,00000001,31.356,EA,8
100,0000000103,00000002,4.824,EA,2
100,0000000103,00000003,86.591,EA,56
100,0000000103,00000004,76.484,EA,47
100,0000000104,00000001,81.85,EA,22
100,0000000104,00000002,99.196,EA,39
100,0000000104,00000003,16.106,EA,40
100,0000000105,00000001,89.779,EA,21
100,0000000105,00000002,90.646,EA,9
100,0000000105,00000003,41.481,EA,13
100,0000000106,00000001,17.158,EA,29
100,0000000106,00000002,20.75,EA,42
100,0000000106,00000003,97.062,EA,34
100,0000000107,00000001,95.026,EA,44
100,0000000107,00000002,80.797,EA,20
100,0000000107,00000003,13.357,EA,41
100,0000000107,00000004,6.965,EA,13
100,0000000108,00000001,73.893,EA,25
100,0000000108,00000002,84.178,EA,35
100,0000000109,00000001,90.103,EA,24
100,0000000109,00000002,69.547,EA,52
100,0000000109,00000003,82.683,EA,41
100,0000000109,00000004,80.093,EA,12
100,0000000110,00000001,22.253,EA,12
100,0000000110,00000002,80.791,EA,20
100,0000000111,00000001,86.365,EA,14
100,0000000111,00000002,89.629,EA,58
100,0000000112,00000001,88.583,EA,54
100,0000000112,00000002,60.541,EA,43
100,0000000112,00000003,50.474,EA,1
100,0000000113,00000001,23.156,EA,16
100,0000000113,00000002,22.329,EA,59
100,0000000113,00000003,62.751,EA,23
100,0000000114,00000001,50.864,EA,16
100,0000000114,00000002,40.221,EA,2
100,0000000115,00000001,55.422,EA,18
100,0000000115,00000002,12.536,EA,25
100,0000000115,00000003,44.327,EA,18
100,0000000116,00000001,73.534,EA,11
100,0000000116,00000002,34.001,EA,32
100,0000000117,00000001,84.724,EA,31
100,0000000117,00000002,4.969,EA,55
100,0000000117,00000003,94.036,EA,14
100,0000000118,00000001,72.846,EA,16
100,0000000118,00000002,54.218,EA,18
100,0000000119,00000001,48.991,EA,19
100,0000000119,00000002,11.141,EA,20
100,0000000119,00000003,78.601,EA,2
100,0000000119,00000004,5.825,EA,12
100,0000000120,00000001,16.168,EA,21
100,0000000120,00000002,52.582,EA,48
100,0000000121,00000001,64.476,EA,57
100,0000000121,00000002,79.75,EA,13
100,0000000122,00000001,45.983,EA,14
100,0000000122,00000002,50.341,EA,14
100,0000000122,00000003,4.166,EA,35
100,0000000122,00000004,73.222,EA,20
100,0000000123,00000001,6.135,EA,54
100,0000000123,00000002,16.216,EA,52
100,0000000123,00000003,29.223,EA,11
100,0000000123,00000004,57.642,EA,35
100,0000000124,00000001,43.528,EA,59
100,0000000124,00000002,98.518,EA,33
100,0000000124,00000003,30.639,EA,11
100,0000000125,00000001,88.268,EA,51
100,0000000125,00000002,2.84,EA,29
100,0000000126,00000001,87.097,EA,49
100,0000000126,00000002,47.239,EA,30
100,0000000126,00000003,60.135,EA,37
100,0000000126,00000004,60.253,EA,15
100,0000000127,00000001,72.792,EA,12
100,0000000127,00000002,32.024,EA,18
100,0000000127,00000003,84.588,EA,46
100,0000000127,00000004,77.988,EA,53
100,0000000128,00000001,82.232,EA,17
100,0000000128,00000002,7.155,EA,46
100,0000000129,00000001,91.085,EA,17
100,0000000129,00000002,53.983,EA,45
100,0000000129,00000003,50.273,EA,7
100,0000000129,00000004,2.517,EA,46
100,0000000130,00000001,41.944,EA,30
100,0000000130,00000002,3.228,EA,58
100,0000000130,00000003,44.634,EA,9
100,0000000131,00000001,53.805,EA,14
100,0000000131,00000002,68.436,EA,16
100,0000000131,00000003,3.941,EA,32
100,0000000132,00000001,91.746,EA,52
100,0000000132,00000002,10.23,EA,49
100,0000000132,00000003,26.722,EA,54
100,0000000132,00000004,90.803,EA,23
100,0000000133,00000001,82.738,EA,24
100,0000000133,00000002,50.438,EA,39
100,0000000133,00000003,92.345,EA,12
100,0000000133,00000004,79.512,EA,43
100,0000000134,00000001,31.712,EA,8
100,0000000134,00000002,44.413,EA,51
100,0000000134,00000003,33.305,EA,58
100,0000000134,00000004,83.361,EA,4
100,0000000135,00000001,12.262,EA,52
100,0000000135,00000002,3.164,EA,47
100,0000000135,00000003,30.254,EA,27
100,0000000135,00000004,70.789,EA,54
100,0000000136,00000001,60.998,EA,37
100,0000000136,00000002,82.55,EA,11
100,0000000136,00000003,70.686,EA,14
100,0000000137,00000001,28.63,EA,8
100,0000000137,00000002,12.441,EA,20
100,0000000138,00000001,22.043,EA,18
100,0000000138,00000002,84.37,EA,3
100,0000000138,00000003,9.735,EA,60
100,0000000138,00000004,99.801,EA,1
100,0000000139,00000001,70.009,EA,15
100,0000000139,00000002,9.84,EA,19
100,0000000140,00000001,73.879,EA,55
100,0000000140,00000002,16.434,EA,17
100,0000000140,00000003,62.91,EA,2
100,0000000140,00000004,50.879,EA,43
100,0000000141,00000001,48.789,EA,45
100,0000000141,00000002,99.317,EA,25
100,0000000142,00000001,68.205,EA,33
100,0000000142,00000002,7.083,EA,14
100,0000000143,00000001,64.459,EA,8
100,0000000143,00000002,43.209,EA,44
100,0000000144,00000001,65.496,EA,30
100,0000000144,00000002,22.343,EA,48
100,0000000145,00000001,49.142,EA,39
100,0000000145,00000002,39.438,EA,36
100,0000000145,00000003,96.842,EA,26
100,0000000146,00000001,72.715,EA,18
100,0000000146,00000002,19.985,EA,2
100,0000000146,00000003,87.899,EA,44
100,0000000146,00000004,4.196,EA,23
100,0000000147,00000001,84.413,EA,16
100,0000000147,00000002,83.395,EA,20
100,0000000147,00000003,60.723,EA,32
100,0000000147,00000004,97.372,EA,10
100,0000000148,00000001,10.432,EA,27
100,0000000148,00000002,70.633,EA,29
100,0000000148,00000003,7.403,EA,60
100,0000000149,00000001,45.877,EA,44
100,0000000149,00000002,27.886,EA,18
100,0000000149,00000003,21.127,EA,10
100,0000000150,00000001,58.031,EA,40
100,0000000150,00000002,18.743,EA,43
100,0000000150,00000003,21.839,EA,11
100,0000000150,00000004,57.898,EA,46
100,0000000151,00000001,19.191,EA,55
100,0000000151,00000002,77.174,EA,23
100,0000000152,00000001,37.6,EA,37
100,0000000152,00000002,72.549,EA,24
100,0000000152,00000003,76.738,EA,38
100,0000000152,00000004,25.609,EA,38
100,0000000153,00000001,19.547,EA,19
100,0000000153,00000002,60.766,EA,58
100,0000000153,00000003,64.27,EA,54
100,0000000154,00000001,86.046,EA,24
100,0000000154,00000002,78.625,EA,50
100,0000000154,00000003,42.783,EA,20
100,0000000155,00000001,46.016,EA,37
100,0000000155,00000002,66.056,EA,41
100,0000000155,00000003,8.37,EA,30
100,0000000156,00000001,39.285,EA,2
100,0000000156,00000002,85.904,EA,46
100,0000000156,00000003,11.215,EA,60
100,0000000156,00000004,15.931,EA,32
100,0000000157,00000001,52.76,EA,3
100,0000000157,00000002,82.545,EA,1
100,0000000157,00000003,63.682,EA,28
100,0000000158,00000001,12.246,EA,30
100,0000000158,00000002,16.372,EA,13
100,0000000158,00000003,46.526,EA,41
100,0000000158,00000004,58.54,EA,19
100,0000000159,00000001,31.804,EA,30
100,0000000159,00000002,37.758,EA,19
100,0000000160,00000001,33.965,EA,47
100,0000000160,00000002,73.204,EA,13
100,0000000160,00000003,68.86,EA,1
100,0000000161,00000001,35.454,EA,21
100,0000000161,00000002,98.35,EA,31
100,0000000162,00000001,12.157,EA,38
100,0000000162,00000002,60.279,EA,1
100,0000000162,00000003,20.197,EA,33
100,0000000163,00000001,45.985,EA,8
100,0000000163,00000002,92.746,EA,11
100,0000000163,00000003,43.024,EA,14
100,0000000163,00000004,35.656,EA,44
100,0000000164,00000001,61.236,EA,24
100,0000000164,00000002,58.073,EA,39
100,0000000164,00000003,17.545,EA,26
100,0000000164,00000004,30.101,EA,47
100,0000000165,00000001,49.151,EA,52
100,0000000165,00000002,98.427,EA,18
100,0000000165,00000003,90.03,EA,18
100,0000000166,00000001,47.056,EA,14
100,0000000166,00000002,92.394,EA,34
100,0000000166,00000003,35.14,EA,18
100,0000000167,00000001,28.871,EA,58
100,0000000167,00000002,17.482,EA,40
100,0000000168,00000001,48.868,EA,41
100,0000000168,00000002,32.815,EA,39
100,0000000168,00000003,71.757,EA,53
100,0000000168,00000004,87.063,EA,16
100,0000000169,00000001,53.684,EA,1
100,0000000169,00000002,96.81,EA,7
100,0000000169,00000003,27.751,EA,59
100,0000000170,00000001,17.522,EA,5
100,0000000170,00000002,2.246,EA,48
100,0000000170,00000003,99.926,EA,11
100,0000000170,00000004,39.523,EA,6
100,0000000171,00000001,48.326,EA,26
100,0000000171,00000002,96.037,EA,56
100,0000000171,00000003,50.865,EA,23
100,0000000171,00000004,50.171,EA,50
100,0000000172,00000001,5.518,EA,34
100,0000000172,00000002,75.193,EA,17
100,0000000172,00000003,18.963,EA,34
100,0000000172,00000004,79.726,EA,59
100,0000000173,00000001,60.89,EA,57
100,0000000173,00000002,82.54,EA,53
100,0000000174,00000001,69.552,EA,54
100,0000000174,00000002,94.224,EA,43
100,0000000174,00000003,43.91,EA,54
100,0000000174,00000004,43.166,EA,1
100,0000000175,00000001,30.565,EA,20
100,0000000175,00000002,91.471,EA,49
100,0000000175,00000003,70.832,EA,8
100,0000000175,00000004,15.837,EA,6
100,0000000176,00000001,58.525,EA,12
100,0000000176,00000002,10.77,EA,3
100,0000000176,00000003,46.53,EA,24
100,0000000176,00000004,34.618,EA,54
100,0000000177,00000001,1.9,EA,46
100,0000000177,00000002,88.835,EA,32
100,0000000178,00000001,62.62,EA,44
100,0000000178,00000002,21.344,EA,17
100,0000000179,00000001,96.54,EA,56
100,0000000179,00000002,50.549,EA,4
100,0000000180,00000001,20.698,EA,21
100,0000000180,00000002,68.981,EA,8
100,0000000181,00000001,95.82,EA,36
100,0000000181,00000002,75.75,EA,51
100,0000000182,00000001,82.489,EA,29
100,0000000182,00000002,52.882,EA,26
100,0000000183,00000001,53.539,EA,7
100,0000000183,00000002,62.88,EA,8
100,0000000184,00000001,65.681,EA,29
100,0000000184,00000002,18.457,EA,13
100,0000000184,00000003,79.688,EA,50
100,0000000185,00000001,55.092,EA,14
100,0000000185,00000002,87.728,EA,13
100,0000000185,00000003,1.824,EA,15
100,0000000186,00000001,66.476,EA,35
100,0000000186,00000002,2.311,EA,39
100,0000000187,00000001,7.015,EA,59
100,0000000187,00000002,75.173,EA,35
100,0000000188,00000001,2.611,EA,44
100,0000000188,00000002,5.246,EA,46
100,0000000189,00000001,72.96,EA,23
100,0000000189,00000002,3.288,EA,32
100,0000000189,00000003,71.76,EA,48
100,0000000190,00000001,1.816,EA,48
100,0000000190,00000002,20.588,EA,37
100,0000000190,00000003,43.217,EA,6
100,0000000191,00000001,14.436,EA,40
100,0000000191,00000002,52.481,EA,23
100,0000000191,00000003,13.734,EA,29
100,0000000191,00000004,53.162,EA,42
100,0000000192,00000001,32.764,EA,26
100,0000000192,00000002,82.31,EA,30
100,0000000192,00000003,53.991,EA,4
100,0000000193,00000001,4.51,EA,27
100,0000000193,00000002,37.505,EA,32
100,0000000193,00000003,84.435,EA,54
100,0000000194,00000001,67.216,EA,12
100,0000000194,00000002,78.313,EA,37
100,0000000195,00000001,79.588,EA,14
100,0000000195,00000002,5.216,EA,24
100,0000000195,00000003,1.89,EA,57
100,0000000196,00000001,6.034,EA,25
100,0000000196,00000002,68.947,EA,48
100,0000000197,00000001,4.277,EA,12
100,0000000197,00000002,75.725,EA,49
100,0000000197,00000003,60.841,EA,15
100,0000000198,00000001,96.716,EA,40
100,0000000198,00000002,75.807,EA,39
100,0000000198,00000003,39.783,EA,7
100,0000000199,00000001,87.178,EA,21
100,0000000199,00000002,54.586,EA,18
100,0000000200,00000001,54.728,EA,27
100,0000000200,00000002,33.171,EA,32
100,0000000200,00000003,89.242,EA,16
100,0000000200,00000004,46.824,EA,7
100,0000000201,00000001,78.02,EA,43
100,0000000201,00000002,97.337,EA,54
100,0000000202,00000001,5.631,EA,3
100,0000000202,00000002,48.724,EA,28
100,0000000203,00000001,13.783,EA,41
100,0000000203,00000002,92.665,EA,16
100,0000000203,00000003,68.21,EA,35
100,0000000204,00000001,61.924,EA,23
100,0000000204,00000002,97.453,EA,8
100,0000000205,00000001,88.757,EA,20
100,0000000205,00000002,45.362,EA,33
100,0000000205,00000003,91.83,EA,30
100,0000000206,00000001,10.492,EA,14
100,0000000206,00000002,99.16,EA,18
100,0000000206,00000003,69.646,EA,13
100,0000000206,00000004,46.701,EA,24
100,0000000207,00000001,8.398,EA,55
100,0000000207,00000002,45.119,EA,52
100,0000000208,00000001,26.028,EA,50
100,0000000208,00000002,90.425,EA,2
100,0000000209,00000001,49.735,EA,28
100,0000000209,00000002,55.233,EA,58
100,0000000209,00000003,91.742,EA,40
100,0000000209,00000004,99.27,EA,8
100,0000000210,00000001,20.739,EA,31
100,0000000210,00000002,44.352,EA,39
100,0000000210,00000003,34.65,EA,47
100,0000000210,00000004,3.434,EA,40
100,0000000211,00000001,1.338,EA,5
100,0000000211,00000002,96.306,EA,20
100,0000000211,00000003,18.03,EA,52
100,0000000212,00000001,88.309,EA,21
100,0000000212,00000002,22.848,EA,18
100,0000000212,00000003,97.198,EA,53
100,0000000212,00000004,70.708,EA,42
100,0000000213,00000001,25.76,EA,54
100,0000000213,00000002,75.111,EA,15
100,0000000214,00000001,67.97,EA,29
100,0000000214,00000002,65.566,EA,59
100,0000000214,00000003,57.019,EA,48
100,0000000215,00000001,80.624,EA,14
100,0000000215,00000002,61.313,EA,13
100,0000000215,00000003,78.108,EA,36
100,0000000215,00000004,25.181,EA,34
100,0000000216,00000001,21.122,EA,5
100,0000000216,00000002,95.701,EA,24
100,0000000217,00000001,38.695,EA,30
100,0000000217,00000002,93.857,EA,39
100,0000000217,00000003,19.299,EA,12
100,0000000217,00000004,80.006,EA,34
100,0000000218,00000001,65.466,EA,36
100,0000000218,00000002,81.004,EA,8
100,0000000218,00000003,6.645,EA,16
100,0000000218,00000004,52.38,EA,19
100,0000000219,00000001,57.378,EA,52
100,0000000219,00000002,45.363,EA,48
100,0000000219,00000003,56.214,EA,50
100,0000000220,00000001,49.396,EA,36
100,0000000220,00000002,34.288,EA,16
100,0000000221,00000001,26.528,EA,54
100,0000000221,00000002,54.89,EA,52
100,0000000221,00000003,47.569,EA,54
100,0000000222,00000001,10.561,EA,29
100,0000000222,00000002,32.213,EA,39
100,0000000222,00000003,37.036,EA,12
100,0000000222,00000004,66.758,EA,55
100,0000000223,00000001,49.916,EA,8
100,0000000223,00000002,26.583,EA,23
100,0000000223,00000003,64.333,EA,57
100,0000000223,00000004,79.412,EA,28
100,0000000224,00000001,56.704,EA,3
100,0000000224,00000002,66.426,EA,33
100,0000000224,00000003,68.715,EA,15
100,0000000224,00000004,30.639,EA,51
100,0000000225,00000001,36.92,EA,33
100,0000000225,00000002,69.767,EA,13
100,0000000226,00000001,79.979,EA,44
100,0000000226,00000002,5.315,EA,57
100,0000000227,00000001,79.841,EA,59
100,0000000227,00000002,76.021,EA,37
100,0000000227,00000003,84.095,EA,41
100,0000000227,00000004,23.142,EA,34
100,0000000228,00000001,27.381,EA,23
100,0000000228,00000002,96.503,EA,54
100,0000000228,00000003,48.927,EA,56
100,0000000229,00000001,55.477,EA,42
100,0000000229,00000002,74.166,EA,4
100,0000000229,00000003,66.634,EA,8
100,0000000230,00000001,36.422,EA,5
100,0000000230,00000002,44.857,EA,2
100,0000000231,00000001,88.785,EA,28
100,0000000231,00000002,40.135,EA,43
100,0000000231,00000003,26.627,EA,15
100,0000000231,00000004,99.274,EA,34
100,0000000232,00000001,66.184,EA,37
100,0000000232,00000002,34.612,EA,10
100,0000000232,00000003,59.718,EA,53
100,0000000232,00000004,67.29,EA,9
100,0000000233,00000001,94.321,EA,1
100,0000000233,00000002,87.703,EA,20
100,0000000233,00000003,7.479,EA,5
100,0000000234,00000001,94.075,EA,21
100,0000000234,00000002,38.276,EA,50
100,0000000234,00000003,19.571,EA,37
100,0000000235,00000001,88.704,EA,16
