MANDT,VBELV,POSNV,VBELN,POSNN,VBTYP_N,ERDAT
100,0000000072,000010,0080000071,000010,J,20240625
100,0000000073,000010,0080000072,000010,J,20230815
100,0000000074,000010,0080000073,000010,J,20221202
100,0000000075,000010,0080000074,000010,J,20240518
100,0000000076,000010,0080000075,000010,J,20240428
100,0000000077,000010,0080000076,000010,J,20221013
100,0000000078,000010,0080000077,000010,J,20220626
100,0000000079,000010,0080000078,000010,J,20221022
100,0000000080,000010,0080000079,000010,J,20230302
100,0000000081,000010,0080000080,000010,J,20230914
100,0000000082,000010,0080000081,000010,J,20240830
100,0000000083,000010,0080000082,000010,J,20241211
100,0000000084,000010,0080000083,000010,J,20231118
100,0000000085,000010,0080000084,000010,J,20220516
100,0000000086,000010,0080000085,000010,J,20240209
100,0000000087,000010,0080000086,000010,J,20220701
100,0000000088,000010,0080000087,000010,J,20220114
100,0000000089,000010,0080000088,000010,J,20240418
100,0000000090,000010,0080000089,000010,J,20230714
100,0000000091,000010,0080000090,000010,J,20240428
100,0000000092,000010,0080000091,000010,J,20221225
100,0000000093,000010,0080000092,000010,J,20240804
100,0000000094,000010,0080000093,000010,J,20221008
100,0000000095,000010,0080000094,000010,J,20230213
100,0000000096,000010,0080000095,000010,J,20230116
100,0000000097,000010,0080000096,000010,J,20240221
100,0000000098,000010,0080000097,000010,J,20230816
100,0000000099,000010,0080000098,000010,J,20241001
100,0000000100,000010,0080000099,000010,J,20220328
100,0000000101,000010,0080000100,000010,J,20230911
100,0000000102,000010,0080000101,000010,J,20230915
100,0000000103,000010,0080000102,000010,J,20241008
100,0000000104,000010,0080000103,000010,J,20240807
100,0000000105,000010,0080000104,000010,J,20230405
100,0000000106,000010,0080000105,000010,J,20220224
100,0000000107,000010,0080000106,000010,J,20220106
100,0000000108,000010,0080000107,000010,J,20221112
100,0000000109,000010,0080000108,000010,J,20230622
100,0000000110,000010,0080000109,000010,J,20230907
100,0000000111,000010,0080000110,000010,J,20240825
100,0000000112,000010,0080000111,000010,J,20220912
100,0000000113,000010,0080000112,000010,J,20230813
100,0000000114,000010,0080000113,000010,J,20240504
100,0000000115,000010,0080000114,000010,J,20230103
100,0000000116,000010,0080000115,000010,J,20241004
100,0000000117,000010,0080000116,000010,J,20230517
100,0000000118,000010,0080000117,000010,J,20220228
100,0000000119,000010,0080000118,000010,J,20220902
100,0000000120,000010,0080000119,000010,J,20230722
100,0000000121,000010,0080000120,000010,J,20241006
100,0000000122,000010,0080000121,000010,J,20220517
100,0000000123,000010,0080000122,000010,J,20240111
100,0000000124,000010,0080000123,000010,J,20240911
100,0000000125,000010,0080000124,000010,J,20240612
100,0000000126,000010,0080000125,000010,J,20230613
100,0000000127,000010,0080000126,000010,J,20240901
100,0000000128,000010,0080000127,000010,J,20220902
100,0000000129,000010,0080000128,000010,J,20240204
100,0000000130,000010,0080000129,000010,J,20241115
100,0000000131,000010,0080000130,000010,J,20220205
100,0000000132,000010,0080000131,000010,J,20230616
100,0000000133,000010,0080000132,000010,J,20221130
100,0000000134,000010,0080000133,000010,J,20220430
100,0000000135,000010,0080000134,000010,J,20221027
100,0000000136,000010,0080000135,000010,J,20231017
100,0000000137,000010,0080000136,000010,J,20240802
100,0000000138,000010,0080000137,000010,J,20221005
100,0000000139,000010,0080000138,000010,J,20240102
100,0000000140,000010,0080000139,000010,J,20221201
100,0000000141,000010,0080000140,000010,J,20220419
100,0000000142,000010,0080000141,000010,J,20230713
100,0000000143,000010,0080000142,000010,J,20240110
100,0000000144,000010,0080000143,000010,J,20240509
100,0000000145,000010,0080000144,000010,J,20231231
100,0000000146,000010,0080000145,000010,J,20220410
100,0000000147,000010,0080000146,000010,J,20230817
100,0000000148,000010,0080000147,000010,J,20230821
100,0000000149,000010,0080000148,000010,J,20241220
100,0000000150,000010,0080000149,000010,J,20220607
100,0000000151,000010,0080000150,000010,J,20241118
100,0000000152,000010,0080000151,000010,J,20230201
100,0000000153,000010,0080000152,000010,J,20230111
100,0000000154,000010,0080000153,000010,J,20220713
100,0000000155,000010,0080000154,000010,J,20221209
100,0000000156,000010,0080000155,000010,J,20231023
100,0000000157,000010,0080000156,000010,J,20231010
100,0000000158,000010,0080000157,000010,J,20230909
100,0000000159,000010,0080000158,000010,J,20230710
100,0000000160,000010,0080000159,000010,J,20240113
100,0000000161,000010,0080000160,000010,J,20220716
100,0000000162,000010,0080000161,000010,J,20241230
100,0000000163,000010,0080000162,000010,J,20231222
100,0000000164,000010,0080000163,000010,J,20221022
100,0000000165,000010,0080000164,000010,J,20220127
100,0000000166,000010,0080000165,000010,J,20221008
100,0000000167,000010,0080000166,000010,J,20241127
100,0000000168,000010,0080000167,000010,J,20230731
100,0000000169,000010,0080000168,000010,J,20240203
100,0000000170,000010,0080000169,000010,J,20240920
100,0000000171,000010,0080000170,000010,J,20240423
100,0000000172,000010,0080000171,000010,J,20231128
100,0000000173,000010,0080000172,000010,J,20221130
100,0000000174,000010,0080000173,000010,J,20220729
100,0000000175,000010,0080000174,000010,J,20230323
100,0000000176,000010,0080000175,000010,J,20221113
100,0000000177,000010,0080000176,000010,J,20241027
100,0000000178,000010,0080000177,000010,J,20230329
100,0000000179,000010,0080000178,000010,J,20230121
100,0000000180,000010,0080000179,000010,J,20241212
100,0000000181,000010,0080000180,000010,J,20241225
100,0000000182,000010,0080000181,000010,J,20220822
100,0000000183,000010,0080000182,000010,J,20240504
100,0000000184,000010,0080000183,000010,J,20240801
100,0000000185,000010,0080000184,000010,J,20220606
100,0000000186,000010,0080000185,000010,J,20220827
100,0000000187,000010,0080000186,000010,J,20220926
100,0000000188,000010,0080000187,000010,J,20220205
100,0000000189,000010,0080000188,000010,J,20240909
100,0000000190,000010,0080000189,000010,J,20231215
100,0000000191,000010,0080000190,000010,J,20231001
100,0000000192,000010,0080000191,000010,J,20240113
100,0000000193,000010,0080000192,000010,J,20221012
100,0000000194,000010,0080000193,000010,J,20240624
100,0000000195,000010,0080000194,000010,J,20241207
100,0000000196,000010,0080000195,000010,J,20231202
100,0000000197,000010,0080000196,000010,J,20221219
100,0000000198,000010,0080000197,000010,J,20230916
100,0000000199,000010,0080000198,000010,J,20220228
100,0000000200,000010,0080000199,000010,J,20220831
100,0000000201,000010,0080000200,000010,J,20230401
100,0000000202,000010,0080000201,000010,J,20220921
100,0000000203,000010,0080000202,000010,J,20221019
100,0000000204,000010,0080000203,000010,J,20230410
100,0000000205,000010,0080000204,000010,J,20230922
100,0000000206,000010,0080000205,000010,J,20220914
100,0000000207,000010,0080000206,000010,J,20230306
100,0000000208,000010,0080000207,000010,J,20220924
100,0000000209,000010,0080000208,000010,J,20220610
100,0000000210,000010,0080000209,000010,J,20240520
100,0000000211,000010,0080000210,000010,J,20220817
100,0000000212,000010,0080000211,000010,J,20220609
100,0000000213,000010,0080000212,000010,J,20220208
100,0000000214,000010,0080000213,000010,J,20240918
100,0000000215,000010,0080000214,000010,J,20240602
100,0000000216,000010,0080000215,000010,J,20220329
100,0000000217,000010,0080000216,000010,J,20230207
100,0000000218,000010,0080000217,000010,J,20220809
100,0000000219,000010,0080000218,000010,J,20220309
100,0000000220,000010,0080000219,000010,J,20241117
100,0000000221,000010,0080000220,000010,J,20220502
100,0000000222,000010,0080000221,000010,J,20240818
100,0000000223,000010,0080000222,000010,J,20220901
100,0000000224,000010,0080000223,000010,J,20230603
100,0000000225,000010,0080000224,000010,J,20220330
100,0000000226,000010,0080000225,000010,J,20220516
100,0000000227,000010,0080000226,000010,J,20230910
100,0000000228,000010,0080000227,000010,J,20220122
100,0000000229,000010,0080000228,000010,J,20220717
100,0000000230,000010,0080000229,000010,J,20220911
100,0000000231,000010,0080000230,000010,J,20230225
100,0000000232,000010,0080000231,000010,J,20230214
100,0000000233,000010,0080000232,000010,J,20230114
100,0000000234,000010,0080000233,000010,J,20231221
100,0000000235,000010,0080000234,000010,J,20220301
100,0000000236,000010,0080000235,000010,J,20220705
100,0000000237,000010,0080000236,000010,J,20221026
100,0000000238,000010,0080000237,000010,J,20230723
100,0000000239,000010,0080000238,000010,J,20231214
100,0000000240,000010,0080000239,000010,J,20231223
100,0000000241,000010,0080000240,000010,J,20221125
100,0000000242,000010,0080000241,000010,J,20241022
100,0000000243,000010,0080000242,000010,J,20230511
100,0000000244,000010,0080000243,000010,J,20241031
100,0000000245,000010,0080000244,000010,J,20220520
100,0000000246,000010,0080000245,000010,J,20220722
100,0000000247,000010,0080000246,000010,J,20220129
100,0000000248,000010,0080000247,000010,J,20241219
100,0000000249,000010,0080000248,000010,J,20230321
100,0000000250,000010,0080000249,000010,J,20230128
100,0000000251,000010,0080000250,000010,J,20230801
100,0000000252,000010,0080000251,000010,J,20221218
100,0000000253,000010,0080000252,000010,J,20220109
100,0000000254,000010,0080000253,000010,J,20220722
100,0000000255,000010,0080000254,000010,J,20230315
100,0000000256,000010,0080000255,000010,J,20241029
100,0000000257,000010,0080000256,000010,J,20240830
100,0000000258,000010,0080000257,000010,J,20240121
100,0000000259,000010,0080000258,000010,J,20230115
100,0000000260,000010,0080000259,000010,J,20240619
100,0000000261,000010,0080000260,000010,J,20220808
100,0000000262,000010,0080000261,000010,J,20230106
100,0000000263,000010,0080000262,000010,J,20231228
100,0000000264,000010,0080000263,000010,J,20240217
100,0000000265,000010,0080000264,000010,J,20240518
100,0000000266,000010,0080000265,000010,J,20230315
100,0000000267,000010,0080000266,000010,J,20241119
100,0000000268,000010,0080000267,000010,J,20230412
100,0000000269,000010,0080000268,000010,J,20240414
100,0000000270,000010,0080000269,000010,J,20220820
100,0000000271,000010,0080000270,000010,J,20231006
100,0000000272,000010,0080000271,000010,J,20220911
100,0000000273,000010,0080000272,000010,J,20240812
100,0000000274,000010,0080000273,000010,J,20220814
100,0000000275,000010,0080000274,000010,J,20241130
100,0000000276,000010,0080000275,000010,J,20221006
100,0000000277,000010,0080000276,000010,J,20241012
100,0000000278,000010,0080000277,000010,J,20240110
100,0000000279,000010,0080000278,000010,J,20230814
100,0000000280,000010,0080000279,000010,J,20220325
100,0000000281,000010,0080000280,000010,J,20220618
100,0000000282,000010,0080000281,000010,J,20231103
100,0000000283,000010,0080000282,000010,J,20241008
100,0000000284,000010,0080000283,000010,J,20220825
100,0000000285,000010,0080000284,000010,J,20240228
100,0000000286,000010,0080000285,000010,J,20230804
100,0000000287,000010,0080000286,000010,J,20240724
100,0000000288,000010,0080000287,000010,J,20231001
100,0000000289,000010,0080000288,000010,J,20240628
100,0000000290,000010,0080000289,000010,J,20230408
100,0000000291,000010,0080000290,000010,J,20240414
100,0000000292,000010,0080000291,000010,J,20230819
100,0000000293,000010,0080000292,000010,J,20240526
100,0000000294,000010,0080000293,000010,J,20230122
100,0000000295,000010,0080000294,000010,J,20220523
100,0000000296,000010,0080000295,000010,J,20240901
100,0000000297,000010,0080000296,000010,J,20240123
100,0000000298,000010,0080000297,000010,J,20230103
100,0000000299,000010,0080000298,000010,J,20220127
100,0000000300,000010,0080000299,000010,J,20241003
100,0000000301,000010,0080000300,000010,J,20220804
100,0000000302,000010,0080000301,000010,J,20240322
100,0000000303,000010,0080000302,000010,J,20240616
100,0000000304,000010,0080000303,000010,J,20241206
100,0000000305,000010,0080000304,000010,J,20220624
100,0000000306,000010,0080000305,000010,J,20220902
100,0000000307,000010,0080000306,000010,J,20221021
100,0000000308,000010,0080000307,000010,J,20240319
100,0000000309,000010,0080000308,000010,J,20240331
100,0000000310,000010,0080000309,000010,J,20220728
100,0000000311,000010,0080000310,000010,J,20221212
100,0000000312,000010,0080000311,000010,J,20220513
100,0000000313,000010,0080000312,000010,J,20240115
100,0000000314,000010,0080000313,000010,J,20230212
100,0000000315,000010,0080000314,000010,J,20231125
100,0000000316,000010,0080000315,000010,J,20230215
100,0000000317,000010,0080000316,000010,J,20240407
100,0000000318,000010,0080000317,000010,J,20220909
100,0000000319,000010,0080000318,000010,J,20230422
100,0000000320,000010,0080000319,000010,J,20240519
100,0000000321,000010,0080000320,000010,J,20241019
100,0000000322,000010,0080000321,000010,J,20230725
100,0000000323,000010,0080000322,000010,J,20230714
100,0000000324,000010,0080000323,000010,J,20240330
100,0000000325,000010,0080000324,000010,J,20231231
100,0000000326,000010,0080000325,000010,J,20240901
100,0000000327,000010,0080000326,000010,J,20240408
100,0000000328,000010,0080000327,000010,J,20240919
100,0000000329,000010,0080000328,000010,J,20241113
100,0000000330,000010,0080000329,000010,J,20230726
100,0000000331,000010,0080000330,000010,J,20221029
100,0000000332,000010,0080000331,000010,J,20240720
100,0000000333,000010,0080000332,000010,J,20220810
100,0000000334,000010,0080000333,000010,J,20220908
100,0000000335,000010,0080000334,000010,J,20230529
100,0000000336,000010,0080000335,000010,J,20240929
100,0000000337,000010,0080000336,000010,J,20241015
100,0000000338,000010,0080000337,000010,J,20230418
100,0000000339,000010,0080000338,000010,J,20221003
100,0000000340,000010,0080000339,000010,J,20220302
100,0000000341,000010,0080000340,000010,J,20220723
100,0000000342,000010,0080000341,000010,J,20220419
100,0000000343,000010,0080000342,000010,J,20220520
100,0000000344,000010,0080000343,000010,J,20241017
100,0000000345,000010,0080000344,000010,J,20220224
100,0000000346,000010,0080000345,000010,J,20230102
100,0000000347,000010,0080000346,000010,J,20240223
100,0000000348,000010,0080000347,000010,J,20231101
100,0000000349,000010,0080000348,000010,J,20221109
100,0000000350,000010,0080000349,000010,J,20230913
100,0000000351,000010,0080000350,000010,J,20220717
100,0000000352,000010,0080000351,000010,J,20220606
100,0000000353,000010,0080000352,000010,J,20241130
100,0000000354,000010,0080000353,000010,J,20241005
100,0000000355,000010,0080000354,000010,J,20240812
100,0000000356,000010,0080000355,000010,J,20230218
100,0000000357,000010,0080000356,000010,J,20230825
100,0000000358,000010,0080000357,000010,J,20241016
100,0000000359,000010,0080000358,000010,J,20241001
100,0000000360,000010,0080000359,000010,J,20241030
100,0000000361,000010,0080000360,000010,J,20230620
100,0000000362,000010,0080000361,000010,J,20231205
100,0000000363,000010,0080000362,000010,J,20220206
100,0000000364,000010,0080000363,000010,J,20220306
100,0000000365,000010,0080000364,000010,J,20240531
100,0000000366,000010,0080000365,000010,J,20220901
100,0000000367,000010,0080000366,000010,J,20240225
100,0000000368,000010,0080000367,000010,J,20240710
100,0000000369,000010,0080000368,000010,J,20231007
100,0000000370,000010,0080000369,000010,J,20240210
100,0000000371,000010,0080000370,000010,J,20240625
100,0000000372,000010,0080000371,000010,J,20240730
100,0000000373,000010,0080000372,000010,J,20220315
100,0000000374,000010,0080000373,000010,J,20220309
100,0000000375,000010,0080000374,000010,J,20221229
100,0000000376,000010,0080000375,000010,J,20230913
100,0000000377,000010,0080000376,000010,J,20221203
100,0000000378,000010,0080000377,000010,J,20241003
100,0000000379,000010,0080000378,000010,J,20240601
100,0000000380,000010,0080000379,000010,J,20221003
100,0000000381,000010,0080000380,000010,J,20231002
100,0000000382,000010,0080000381,000010,J,20240307
100,0000000383,000010,0080000382,000010,J,20240925
100,0000000384,000010,0080000383,000010,J,20220813
100,0000000385,000010,0080000384,000010,J,20241001
100,0000000386,000010,0080000385,000010,J,20240820
100,0000000387,000010,0080000386,000010,J,20240901
100,0000000388,000010,0080000387,000010,J,20221117
100,0000000389,000010,0080000388,000010,J,20241103
100,0000000390,000010,0080000389,000010,J,20220425
100,0000000391,000010,0080000390,000010,J,20240312
100,0000000392,000010,0080000391,000010,J,20230624
100,0000000393,000010,0080000392,000010,J,20241010
100,0000000394,000010,0080000393,000010,J,20240213
100,0000000395,000010,0080000394,000010,J,20231224
100,0000000396,000010,0080000395,000010,J,20230806
100,0000000397,000010,0080000396,000010,J,20231019
100,0000000398,000010,0080000397,000010,J,20220506
100,0000000399,000010,0080000398,000010,J,20220227
100,0000000400,000010,0080000399,000010,J,20220403
100,0000000401,000010,0080000400,000010,J,20220920
100,0000000402,000010,0080000401,000010,J,20240121
100,0000000403,000010,0080000402,000010,J,20231216
100,0000000404,000010,0080000403,000010,J,20220225
100,0000000405,000010,0080000404,000010,J,20231130
100,0000000406,000010,0080000405,000010,J,20240219
100,0000000407,000010,0080000406,000010,J,20220719
100,0000000408,000010,0080000407,000010,J,20240526
100,0000000409,000010,0080000408,000010,J,20231208
100,0000000410,000010,0080000409,000010,J,20240102
100,0000000411,000010,0080000410,000010,J,20240423
100,0000000412,000010,0080000411,000010,J,20231221
100,0000000413,000010,0080000412,000010,J,20220426
100,0000000414,000010,0080000413,000010,J,20230516
100,0000000415,000010,0080000414,000010,J,20230523
100,0000000416,000010,0080000415,000010,J,20230426
100,0000000417,000010,0080000416,000010,J,20231002
100,0000000418,000010,0080000417,000010,J,20220623
100,0000000419,000010,0080000418,000010,J,20220515
100,0000000420,000010,0080000419,000010,J,20230917
100,0000000421,000010,0080000420,000010,J,20220823
100,0000000422,000010,0080000421,000010,J,20231123
100,0000000423,000010,0080000422,000010,J,20221214
100,0000000424,000010,0080000423,000010,J,20220210
100,0000000425,000010,0080000424,000010,J,20231030
100,0000000426,000010,0080000425,000010,J,20220318
100,0000000427,000010,0080000426,000010,J,20240801
100,0000000428,000010,0080000427,000010,J,20240515
100,0000000429,000010,0080000428,000010,J,20241120
100,0000000430,000010,0080000429,000010,J,20240512
100,0000000431,000010,0080000430,000010,J,20230701
100,0000000432,000010,0080000431,000010,J,20220211
100,0000000433,000010,0080000432,000010,J,20240819
100,0000000434,000010,0080000433,000010,J,20220215
100,0000000435,000010,0080000434,000010,J,20231011
100,0000000436,000010,0080000435,000010,J,20240213
100,0000000437,000010,0080000436,000010,J,20240310
100,0000000438,000010,0080000437,000010,J,20231023
100,0000000439,000010,0080000438,000010,J,20220720
100,0000000440,000010,0080000439,000010,J,20240927
100,0000000441,000010,0080000440,000010,J,20220724
100,0000000442,000010,0080000441,000010,J,20230226
100,0000000443,000010,0080000442,000010,J,20231120
100,0000000444,000010,0080000443,000010,J,20241014
100,0000000445,000010,0080000444,000010,J,20241026
100,0000000446,000010,0080000445,000010,J,20231127
100,0000000447,000010,0080000446,000010,J,20221208
100,0000000448,000010,0080000447,000010,J,20230906
100,0000000449,000010,0080000448,000010,J,20240115
100,0000000450,000010,0080000449,000010,J,20240611
100,0000000451,000010,0080000450,000010,J,20230218
100,0000000452,000010,0080000451,000010,J,20241014
100,0000000453,000010,0080000452,000010,J,20220604
100,0000000454,000010,0080000453,000010,J,20230315
100,0000000455,000010,0080000454,000010,J,20230812
100,0000000456,000010,0080000455,000010,J,20230628
100,0000000457,000010,0080000456,000010,J,20220408
100,0000000458,000010,0080000457,000010,J,20230901
100,0000000459,000010,0080000458,000010,J,20240403
100,0000000460,000010,0080000459,000010,J,20230408
100,0000000461,000010,0080000460,000010,J,20220708
100,0000000462,000010,0080000461,000010,J,20220714
100,0000000463,000010,0080000462,000010,J,20231121
100,0000000464,000010,0080000463,000010,J,20230714
100,0000000465,000010,0080000464,000010,J,20220518
100,0000000466,000010,0080000465,000010,J,20241223
100,0000000467,000010,0080000466,000010,J,20240831
100,0000000468,000010,0080000467,000010,J,20240524
100,0000000469,000010,0080000468,000010,J,20230306
100,0000000470,000010,0080000469,000010,J,20231213
100,0000000471,000010,0080000470,000010,J,20220607
100,0000000472,000010,0080000471,000010,J,20230911
100,0000000473,000010,0080000472,000010,J,20241030
100,0000000474,000010,0080000473,000010,J,20230907
100,0000000475,000010,0080000474,000010,J,20240605
100,0000000476,000010,0080000475,000010,J,20231004
100,0000000477,000010,0080000476,000010,J,20230214
100,0000000478,000010,0080000477,000010,J,20240428
100,0000000479,000010,0080000478,000010,J,20240403
100,0000000480,000010,0080000479,000010,J,20230530
100,0000000481,000010,0080000480,000010,J,20241121
100,0000000482,000010,0080000481,000010,J,20240717
100,0000000483,000010,0080000482,000010,J,20230105
100,0000000484,000010,0080000483,000010,J,20220208
100,0000000485,000010,0080000484,000010,J,20241123
100,0000000486,000010,0080000485,000010,J,20230118
100,0000000487,000010,0080000486,000010,J,20241019
100,0000000488,000010,0080000487,000010,J,20230313
100,0000000489,000010,0080000488,000010,J,20240815
100,0000000490,000010,0080000489,000010,J,20230703
100,0000000491,000010,0080000490,000010,J,20241227
100,0000000492,000010,0080000491,000010,J,20240607
100,0000000493,000010,0080000492,000010,J,20220503
100,0000000494,000010,0080000493,000010,J,20241205
100,0000000495,000010,0080000494,000010,J,20230215
100,0000000496,000010,0080000495,000010,J,20240117
100,0000000497,000010,0080000496,000010,J,20240805
100,0000000498,000010,0080000497,000010,J,20221030
100,0000000499,000010,0080000498,000010,J,20230508
100,0000000500,000010,0080000499,000010,J,20221105
100,0000000501,000010,0080000500,000010,J,20230907
100,0000000502,000010,0080000501,000010,J,20240610
100,0000000503,000010,0080000502,000010,J,20240420
100,0000000504,000010,0080000503,000010,J,20231015
100,0000000505,000010,0080000504,000010,J,20220512
100,0000000506,000010,0080000505,000010,J,20230221
100,0000000507,000010,0080000506,000010,J,20240424
100,0000000508,000010,0080000507,000010,J,20230701
100,0000000509,000010,0080000508,000010,J,20230811
100,0000000510,000010,0080000509,000010,J,20221125
100,0000000511,000010,0080000510,000010,J,20230610
100,0000000512,000010,0080000511,000010,J,20230429
100,0000000513,000010,0080000512,000010,J,20240411
100,0000000514,000010,0080000513,000010,J,20230504
100,0000000515,000010,0080000514,000010,J,20220821
100,0000000516,000010,0080000515,000010,J,20221104
100,0000000517,000010,0080000516,000010,J,20230129
100,0000000518,000010,0080000517,000010,J,20220226
100,0000000519,000010,0080000518,000010,J,20230518
100,0000000520,000010,0080000519,000010,J,20230928
100,0000000521,000010,0080000520,000010,J,20240808
100,0000000522,000010,0080000521,000010,J,20240921
100,0000000523,000010,0080000522,000010,J,20240612
100,0000000524,000010,0080000523,000010,J,20240514
100,0000000525,000010,0080000524,000010,J,20220317
100,0000000526,000010,0080000525,000010,J,20230218
100,0000000527,000010,0080000526,000010,J,20221123
100,0000000528,000010,0080000527,000010,J,20230713
100,0000000529,000010,0080000528,000010,J,20221007
100,0000000530,000010,0080000529,000010,J,20220301
100,0000000531,000010,0080000530,000010,J,20230614
100,0000000532,000010,0080000531,000010,J,20230723
100,0000000533,000010,0080000532,000010,J,20221227
100,0000000534,000010,0080000533,000010,J,20220328
100,0000000535,000010,0080000534,000010,J,20240922
100,0000000536,000010,0080000535,000010,J,20220210
100,0000000537,000010,0080000536,000010,J,20220424
100,0000000538,000010,0080000537,000010,J,20220621
100,0000000539,000010,0080000538,000010,J,20231005
100,0000000540,000010,0080000539,000010,J,20230903
100,0000000541,000010,0080000540,000010,J,20220511
100,0000000542,000010,0080000541,000010,J,20240413
100,0000000543,000010,0080000542,000010,J,20240115
100,0000000544,000010,0080000543,000010,J,20220704
100,0000000545,000010,0080000544,000010,J,20240323
100,0000000546,000010,0080000545,000010,J,20221015
100,0000000547,000010,0080000546,000010,J,20230429
100,0000000548,000010,0080000547,000010,J,20220818
100,0000000549,000010,0080000548,000010,J,20241021
100,0000000550,000010,0080000549,000010,J,20220905
100,0000000551,000010,0080000550,000010,J,20241204
100,0000000552,000010,0080000551,000010,J,20241211
100,0000000553,000010,0080000552,000010,J,20230531
100,0000000554,000010,0080000553,000010,J,20241013
100,0000000555,000010,0080000554,000010,J,20220704
100,0000000556,000010,0080000555,000010,J,20230503
100,0000000557,000010,0080000556,000010,J,20220908
100,0000000558,000010,0080000557,000010,J,20231004
100,0000000559,000010,0080000558,000010,J,20231106
100,0000000560,000010,0080000559,000010,J,20240309
100,0000000561,000010,0080000560,000010,J,20230429
100,0000000562,000010,0080000561,000010,J,20240516
100,0000000563,000010,0080000562,000010,J,20230323
100,0000000564,000010,0080000563,000010,J,20221023
100,0000000565,000010,0080000564,000010,J,20220807
100,0000000566,000010,0080000565,000010,J,20221225
100,0000000567,000010,0080000566,000010,J,20230315
100,0000000568,000010,0080000567,000010,J,20230717
100,0000000569,000010,0080000568,000010,J,20240619
100,0000000570,000010,0080000569,000010,J,20240416
100,0000000571,000010,0080000570,000010,J,20230605
100,0000000572,000010,0080000571,000010,J,20220425
100,0000000573,000010,0080000572,000010,J,20241001
100,0000000574,000010,0080000573,000010,J,20241228
100,0000000575,000010,0080000574,000010,J,20240207
100,0000000576,000010,0080000575,000010,J,20220820
100,0000000577,000010,0080000576,000010,J,20231011
100,0000000578,000010,0080000577,000010,J,20240517
100,0000000579,000010,0080000578,000010,J,20240830
100,0000000580,000010,0080000579,000010,J,20230520
