MANDT,VBELN,GBSTK,LFSTK
100,0000000146,C,C
100,0000000147,C,C
100,0000000148,C,C
100,0000000149,C,C
100,0000000150,C,C
100,0000000151,C,C
100,0000000152,C,C
100,0000000153,C,C
100,0000000154,C,C
100,0000000155,C,C
100,0000000156,C,C
100,0000000157,C,C
100,0000000158,C,C
100,0000000159,C,C
100,0000000160,C,C
100,0000000161,C,C
100,0000000162,C,C
100,0000000163,C,C
100,0000000164,C,C
100,0000000165,C,C
100,0000000166,C,C
100,0000000167,C,C
100,0000000168,C,C
100,0000000169,C,C
100,0000000170,C,C
100,0000000171,C,C
100,0000000172,C,C
100,0000000173,C,C
100,0000000174,C,C
100,0000000175,C,C
100,0000000176,C,C
100,0000000177,C,C
100,0000000178,C,C
100,0000000179,C,C
100,0000000180,C,C
100,0000000181,C,C
100,0000000182,C,C
100,0000000183,C,C
100,0000000184,C,C
100,0000000185,C,C
100,0000000186,C,C
100,0000000187,C,C
100,0000000188,C,C
100,0000000189,C,C
100,0000000190,C,C
100,0000000191,C,C
100,0000000192,C,C
100,0000000193,C,C
100,0000000194,C,C
100,0000000195,C,C
100,0000000196,C,C
100,0000000197,C,C
100,0000000198,C,C
100,0000000199,C,C
100,0000000200,C,C
100,0000000201,C,C
100,0000000202,C,C
100,0000000203,C,C
100,0000000204,C,C
100,0000000205,C,C
100,0000000206,C,C
100,0000000207,C,C
100,0000000208,C,C
100,0000000209,C,C
100,0000000210,C,C
100,0000000211,C,C
100,0000000212,C,C
100,0000000213,C,C
100,0000000214,C,C
100,0000000215,C,C
100,0000000216,C,C
100,0000000217,C,C
100,0000000218,C,C
100,0000000219,C,C
100,0000000220,C,C
100,0000000221,C,C
100,0000000222,C,C
100,0000000223,C,C
100,0000000224,C,C
100,0000000225,C,C
100,0000000226,C,C
100,0000000227,C,C
100,0000000228,C,C
100,0000000229,C,C
100,0000000230,C,C
100,0000000231,C,C
100,0000000232,C,C
100,0000000233,C,C
100,0000000234,C,C
100,0000000235,C,C
100,0000000236,C,C
100,0000000237,C,C
100,0000000238,C,C
100,0000000239,C,C
100,0000000240,C,C
100,0000000241,C,C
100,0000000242,C,C
100,0000000243,C,C
100,0000000244,C,C
100,0000000245,C,C
100,0000000246,C,C
100,0000000247,C,C
100,0000000248,C,C
100,0000000249,C,C
100,0000000250,C,C
100,0000000251,C,C
100,0000000252,C,C
100,0000000253,C,C
100,0000000254,C,C
100,0000000255,C,C
100,0000000256,C,C
100,0000000257,C,C
100,0000000258,C,C
100,0000000259,C,C
100,0000000260,C,C
100,0000000261,C,C
100,0000000262,C,C
100,0000000263,C,C
100,0000000264,C,C
100,0000000265,C,C
100,0000000266,C,C
100,0000000267,C,C
100,0000000268,C,C
100,0000000269,C,C
100,0000000270,C,C
100,0000000271,C,C
100,0000000272,C,C
100,0000000273,C,C
100,0000000274,C,C
100,0000000275,C,C
100,0000000276,C,C
100,0000000277,C,C
100,0000000278,C,C
100,0000000279,C,C
100,0000000280,C,C
100,0000000281,C,C
100,0000000282,C,C
100,0000000283,C,C
100,0000000284,C,C
100,0000000285,C,C
100,0000000286,C,C
100,0000000287,C,C
100,0000000288,C,C
100,0000000289,C,C
100,0000000290,C,C
100,0000000291,C,C
100,0000000292,C,C
100,0000000293,C,C
100,0000000294,C,C
100,0000000295,C,C
100,0000000296,C,C
100,0000000297,C,C
100,0000000298,C,C
100,0000000299,C,C
100,0000000300,C,C
100,0000000301,C,C
100,0000000302,C,C
100,0000000303,C,C
100,0000000304,C,C
100,0000000305,C,C
100,0000000306,C,C
100,0000000307,C,C
100,0000000308,C,C
100,0000000309,C,C
100,0000000310,C,C
100,0000000311,C,C
100,0000000312,C,C
100,0000000313,C,C
100,0000000314,C,C
100,0000000315,C,C
100,0000000316,C,C
100,0000000317,C,C
100,0000000318,C,C
100,0000000319,C,C
100,0000000320,C,C
100,0000000321,C,C
100,0000000322,C,C
100,0000000323,C,C
100,0000000324,C,C
100,0000000325,C,C
100,0000000326,C,C
100,0000000327,C,C
100,0000000328,C,C
100,0000000329,C,C
100,0000000330,C,C
100,0000000331,C,C
100,0000000332,C,C
100,0000000333,C,C
100,0000000334,C,C
100,0000000335,C,C
100,0000000336,C,C
100,0000000337,C,C
100,0000000338,C,C
100,0000000339,C,C
100,0000000340,C,C
100,0000000341,C,C
100,0000000342,C,C
100,0000000343,C,C
100,0000000344,C,C
100,0000000345,C,C
100,0000000346,C,C
100,0000000347,C,C
100,0000000348,C,C
100,0000000349,C,C
100,0000000350,C,C
100,0000000351,C,C
100,0000000352,C,C
100,0000000353,C,C
100,0000000354,C,C
100,0000000355,C,C
100,0000000356,C,C
100,0000000357,C,C
100,0000000358,C,C
100,0000000359,C,C
100,0000000360,C,C
100,0000000361,C,C
100,0000000362,C,C
100,0000000363,C,C
100,0000000364,C,C
100,0000000365,C,C
100,0000000366,C,C
100,0000000367,C,C
100,0000000368,C,C
100,0000000369,C,C
100,0000000370,C,C
100,0000000371,C,C
100,0000000372,C,C
100,0000000373,C,C
100,0000000374,C,C
100,0000000375,C,C
100,0000000376,C,C
100,0000000377,C,C
100,0000000378,C,C
100,0000000379,C,C
100,0000000380,C,C
100,0000000381,C,C
100,0000000382,C,C
100,0000000383,C,C
100,0000000384,C,C
100,0000000385,C,C
100,0000000386,C,C
100,0000000387,C,C
100,0000000388,C,C
100,0000000389,C,C
100,0000000390,C,C
100,0000000391,C,C
100,0000000392,C,C
100,0000000393,C,C
100,0000000394,C,C
100,0000000395,C,C
100,0000000396,C,C
100,0000000397,C,C
100,0000000398,C,C
100,0000000399,C,C
100,0000000400,C,C
100,0000000401,C,C
100,0000000402,C,C
100,0000000403,C,C
100,0000000404,C,C
100,0000000405,C,C
100,0000000406,C,C
100,0000000407,C,C
100,0000000408,C,C
100,0000000409,C,C
100,0000000410,C,C
100,0000000411,C,C
100,0000000412,C,C
100,0000000413,C,C
100,0000000414,C,C
100,0000000415,C,C
100,0000000416,C,C
100,0000000417,C,C
100,0000000418,C,C
100,0000000419,C,C
100,0000000420,C,C
100,0000000421,C,C
100,0000000422,C,C
100,0000000423,C,C
100,0000000424,C,C
100,0000000425,C,C
100,0000000426,C,C
100,0000000427,C,C
100,0000000428,C,C
100,0000000429,C,C
100,0000000430,C,C
100,0000000431,C,C
100,0000000432,C,C
100,0000000433,C,C
100,0000000434,C,C
100,0000000435,C,C
100,0000000436,C,C
100,0000000437,C,C
100,0000000438,C,C
100,0000000439,C,C
100,0000000440,C,C
100,0000000441,C,C
100,0000000442,C,C
100,0000000443,C,C
100,0000000444,C,C
100,0000000445,C,C
100,0000000446,C,C
100,0000000447,C,C
100,0000000448,C,C
100,0000000449,C,C
100,0000000450,C,C
100,0000000451,C,C
100,0000000452,C,C
100,0000000453,C,C
100,0000000454,C,C
100,0000000455,C,C
100,0000000456,C,C
100,0000000457,C,C
100,0000000458,C,C
100,0000000459,C,C
100,0000000460,C,C
100,0000000461,C,C
100,0000000462,C,C
100,0000000463,C,C
100,0000000464,C,C
100,0000000465,C,C
100,0000000466,C,C
100,0000000467,C,C
100,0000000468,C,C
100,0000000469,C,C
100,0000000470,C,C
100,0000000471,C,C
100,0000000472,C,C
100,0000000473,C,C
100,0000000474,C,C
100,0000000475,C,C
100,0000000476,C,C
100,0000000477,C,C
100,0000000478,C,C
100,0000000479,C,C
100,0000000480,C,C
100,0000000481,C,C
100,0000000482,C,C
100,0000000483,C,C
100,0000000484,C,C
100,0000000485,C,C
100,0000000486,C,C
100,0000000487,C,C
100,0000000488,C,C
100,0000000489,C,C
100,0000000490,C,C
100,0000000491,C,C
100,0000000492,C,C
100,0000000493,C,C
100,0000000494,C,C
100,0000000495,C,C
100,0000000496,C,C
100,0000000497,C,C
100,0000000498,C,C
100,0000000499,C,C
100,0000000500,C,C
100,0000000501,C,C
100,0000000502,C,C
100,0000000503,C,C
100,0000000504,C,C
100,0000000505,C,C
100,0000000506,C,C
100,0000000507,C,C
100,0000000508,C,C
100,0000000509,C,C
100,0000000510,C,C
100,0000000511,C,C
100,0000000512,C,C
100,0000000513,C,C
100,0000000514,C,C
100,0000000515,C,C
100,0000000516,C,C
100,0000000517,C,C
100,0000000518,C,C
100,0000000519,C,C
100,0000000520,C,C
100,0000000521,C,C
100,0000000522,C,C
100,0000000523,C,C
100,0000000524,C,C
100,0000000525,C,C
100,0000000526,C,C
100,0000000527,C,C
100,0000000528,C,C
100,0000000529,C,C
100,0000000530,C,C
100,0000000531,C,C
100,0000000532,C,C
100,0000000533,C,C
100,0000000534,C,C
100,0000000535,C,C
100,0000000536,C,C
100,0000000537,C,C
100,0000000538,C,C
100,0000000539,C,C
100,0000000540,C,C
100,0000000541,C,C
100,0000000542,C,C
100,0000000543,C,C
100,0000000544,C,C
100,0000000545,C,C
100,0000000546,C,C
100,0000000547,C,C
100,0000000548,C,C
100,0000000549,C,C
100,0000000550,C,C
100,0000000551,C,C
100,0000000552,C,C
100,0000000553,C,C
100,0000000554,C,C
100,0000000555,C,C
100,0000000556,C,C
100,0000000557,C,C
100,0000000558,C,C
100,0000000559,C,C
100,0000000560,C,C
100,0000000561,C,C
100,0000000562,C,C
100,0000000563,C,C
100,0000000564,C,C
100,0000000565,C,C
100,0000000566,C,C
100,0000000567,C,C
100,0000000568,C,C
100,0000000569,C,C
100,0000000570,C,C
100,0000000571,C,C
100,0000000572,C,C
100,0000000573,C,C
100,0000000574,C,C
100,0000000575,C,C
100,0000000576,C,C
100,0000000577,C,C
100,0000000578,C,C
100,0000000579,C,C
100,0000000580,C,C
100,0000000581,C,C
100,0000000582,C,C
100,0000000583,C,C
100,0000000584,C,C
100,0000000585,C,C
100,0000000586,C,C
100,0000000587,C,C
100,0000000588,C,C
100,0000000589,C,C
100,0000000590,C,C
100,0000000591,C,C
100,0000000592,C,C
100,0000000593,C,C
100,0000000594,C,C
100,0000000595,C,C
100,0000000596,C,C
100,0000000597,C,C
100,0000000598,C,C
100,0000000599,C,C
100,0000000600,C,C
100,0000000601,C,C
100,0000000602,C,C
100,0000000603,C,C
100,0000000604,C,C
100,0000000605,C,C
100,0000000606,C,C
100,0000000607,C,C
100,0000000608,C,C
100,0000000609,C,C
100,0000000610,C,C
100,0000000611,C,C
100,0000000612,C,C
100,0000000613,C,C
100,0000000614,C,C
100,0000000615,C,C
100,0000000616,C,C
100,0000000617,C,C
100,0000000618,C,C
100,0000000619,C,C
100,0000000620,C,C
100,0000000621,C,C
100,0000000622,C,C
100,0000000623,C,C
100,0000000624,C,C
100,0000000625,C,C
100,0000000626,C,C
100,0000000627,C,C
100,0000000628,C,C
100,0000000629,C,C
100,0000000630,C,C
100,0000000631,C,C
100,0000000632,C,C
100,0000000633,C,C
100,0000000634,C,C
100,0000000635,C,C
100,0000000636,C,C
100,0000000637,C,C
100,0000000638,C,C
100,0000000639,C,C
100,0000000640,C,C
100,0000000641,C,C
100,0000000642,C,C
100,0000000643,C,C
100,0000000644,C,C
100,0000000645,C,C
100,0000000646,C,C
100,0000000647,C,C
100,0000000648,C,C
100,0000000649,C,C
100,0000000650,C,C
100,0000000651,C,C
100,0000000652,C,C
100,0000000653,C,C
100,0000000654,C,C
100,0000000655,C,C
100,0000000656,C,C
100,0000000657,C,C
100,0000000658,C,C
100,0000000659,C,C
100,0000000660,C,C
100,0000000661,C,C
100,0000000662,C,C
100,0000000663,C,C
100,0000000664,C,C
100,0000000665,C,C
100,0000000666,C,C
100,0000000667,C,C
100,0000000668,C,C
100,0000000669,C,C
100,0000000670,C,C
100,0000000671,C,C
100,0000000672,C,C
100,0000000673,C,C
100,0000000674,C,C
100,0000000675,C,C
100,0000000676,C,C
100,0000000677,C,C
100,0000000678,C,C
100,0000000679,C,C
100,0000000680,C,C
100,0000000681,C,C
100,0000000682,C,C
100,0000000683,C,C
100,0000000684,C,C
100,0000000685,C,C
100,0000000686,C,C
100,0000000687,C,C
100,0000000688,C,C
100,0000000689,C,C
100,0000000690,C,C
100,0000000691,C,C
100,0000000692,C,C
100,0000000693,C,C
100,0000000694,C,C
100,0000000695,C,C
100,0000000696,C,C
100,0000000697,C,C
100,0000000698,C,C
100,0000000699,C,C
100,0000000700,C,C
100,0000000701,C,C
100,0000000702,C,C
100,0000000703,C,C
100,0000000704,C,C
100,0000000705,C,C
100,0000000706,C,C
100,0000000707,C,C
100,0000000708,C,C
100,0000000709,C,C
100,0000000710,C,C
100,0000000711,C,C
100,0000000712,C,C
100,0000000713,C,C
100,0000000714,C,C
100,0000000715,C,C
100,0000000716,C,C
100,0000000717,C,C
100,0000000718,C,C
100,0000000719,C,C
100,0000000720,C,C
100,0000000721,C,C
100,0000000722,C,C
100,0000000723,C,C
100,0000000724,C,C
100,0000000725,C,C
100,0000000726,C,C
100,0000000727,C,C
100,0000000728,C,C
100,0000000729,C,C
100,0000000730,C,C
100,0000000731,C,C
100,0000000732,C,C
100,0000000733,C,C
100,0000000734,C,C
100,0000000735,C,C
100,0000000736,C,C
100,0000000737,C,C
100,0000000738,C,C
100,0000000739,C,C
100,0000000740,C,C
100,0000000741,C,C
100,0000000742,C,C
100,0000000743,C,C
100,0000000744,C,C
100,0000000745,C,C
100,0000000746,C,C
100,0000000747,C,C
100,0000000748,C,C
100,0000000749,C,C
100,0000000750,C,C
100,0000000751,C,C
100,0000000752,C,C
100,0000000753,C,C
100,0000000754,C,C
100,0000000755,C,C
100,0000000756,C,C
100,0000000757,C,C
100,0000000758,C,C
100,0000000759,C,C
100,0000000760,C,C
100,0000000761,C,C
100,0000000762,C,C
100,0000000763,C,C
100,0000000764,C,C
100,0000000765,C,C
100,0000000766,C,C
100,0000000767,C,C
100,0000000768,C,C
100,0000000769,C,C
100,0000000770,C,C
100,0000000771,C,C
100,0000000772,C,C
100,0000000773,C,C
100,0000000774,C,C
100,0000000775,C,C
100,0000000776,C,C
100,0000000777,C,C
100,0000000778,C,C
100,0000000779,C,C
100,0000000780,C,C
100,0000000781,C,C
100,0000000782,C,C
100,0000000783,C,C
100,0000000784,C,C
100,0000000785,C,C
100,0000000786,C,C
100,0000000787,C,C
100,0000000788,C,C
100,0000000789,C,C
100,0000000790,C,C
100,0000000791,C,C
100,0000000792,C,C
100,0000000793,C,C
100,0000000794,C,C
100,0000000795,C,C
100,0000000796,C,C
100,0000000797,C,C
100,0000000798,C,C
100,0000000799,C,C
100,0000000800,C,C
100,0000000801,C,C
100,0000000802,C,C
100,0000000803,C,C
100,0000000804,C,C
100,0000000805,C,C
100,0000000806,C,C
100,0000000807,C,C
100,0000000808,C,C
100,0000000809,C,C
100,0000000810,C,C
100,0000000811,C,C
100,0000000812,C,C
100,0000000813,C,C
100,0000000814,C,C
100,0000000815,C,C
100,0000000816,C,C
100,0000000817,C,C
100,0000000818,C,C
100,0000000819,C,C
100,0000000820,C,C
100,0000000821,C,C
100,0000000822,C,C
100,0000000823,C,C
100,0000000824,C,C
100,0000000825,C,C
100,0000000826,C,C
100,0000000827,C,C
100,0000000828,C,C
100,0000000829,C,C
100,0000000830,C,C
100,0000000831,C,C
100,0000000832,C,C
100,0000000833,C,C
100,0000000834,C,C
100,0000000835,C,C
100,0000000836,C,C
100,0000000837,C,C
100,0000000838,C,C
100,0000000839,C,C
100,0000000840,C,C
100,0000000841,C,C
100,0000000842,C,C
100,0000000843,C,C
100,0000000844,C,C
100,0000000845,C,C
100,0000000846,C,C
100,0000000847,C,C
100,0000000848,C,C
100,0000000849,C,C
100,0000000850,C,C
100,0000000851,C,C
100,0000000852,C,C
100,0000000853,C,C
100,0000000854,C,C
100,0000000855,C,C
100,0000000856,C,C
100,0000000857,C,C
100,0000000858,C,C
100,0000000859,C,C
100,0000000860,C,C
100,0000000861,C,C
100,0000000862,C,C
100,0000000863,C,C
100,0000000864,C,C
100,0000000865,C,C
100,0000000866,C,C
100,0000000867,C,C
100,0000000868,C,C
100,0000000869,C,C
100,0000000870,C,C
100,0000000871,C,C
100,0000000872,C,C
100,0000000873,C,C
100,0000000874,C,C
100,0000000875,C,C
100,0000000876,C,C
100,0000000877,C,C
100,0000000878,C,C
100,0000000879,C,C
100,0000000880,C,C
100,0000000881,C,C
100,0000000882,C,C
100,0000000883,C,C
100,0000000884,C,C
100,0000000885,C,C
100,0000000886,C,C
100,0000000887,C,C
100,0000000888,C,C
100,0000000889,C,C
100,0000000890,C,C
100,0000000891,C,C
100,0000000892,C,C
100,0000000893,C,C
100,0000000894,C,C
100,0000000895,C,C
100,0000000896,C,C
100,0000000897,C,C
100,0000000898,C,C
100,0000000899,C,C
100,0000000900,C,C
100,0000000901,C,C
100,0000000902,C,C
100,0000000903,C,C
100,0000000904,C,C
100,0000000905,C,C
100,0000000906,C,C
100,0000000907,C,C
100,0000000908,C,C
100,0000000909,C,C
100,0000000910,C,C
100,0000000911,C,C
100,0000000912,C,C
100,0000000913,C,C
100,0000000914,C,C
100,0000000915,C,C
100,0000000916,C,C
100,0000000917,C,C
100,0000000918,C,C
100,0000000919,C,C
100,0000000920,C,C
100,0000000921,C,C
100,0000000922,C,C
100,0000000923,C,C
100,0000000924,C,C
100,0000000925,C,C
100,0000000926,C,C
100,0000000927,C,C
100,0000000928,C,C
100,0000000929,C,C
100,0000000930,C,C
100,0000000931,C,C
100,0000000932,C,C
100,0000000933,C,C
100,0000000934,C,C
100,0000000935,C,C
100,0000000936,C,C
100,0000000937,C,C
100,0000000938,C,C
100,0000000939,C,C
100,0000000940,C,C
100,0000000941,C,C
100,0000000942,C,C
100,0000000943,C,C
100,0000000944,C,C
100,0000000945,C,C
100,0000000946,C,C
100,0000000947,C,C
100,0000000948,C,C
100,0000000949,C,C
100,0000000950,C,C
100,0000000951,C,C
100,0000000952,C,C
100,0000000953,C,C
100,0000000954,C,C
100,0000000955,C,C
100,0000000956,C,C
100,0000000957,C,C
100,0000000958,C,C
100,0000000959,C,C
100,0000000960,C,C
100,0000000961,C,C
100,0000000962,C,C
100,0000000963,C,C
100,0000000964,C,C
100,0000000965,C,C
100,0000000966,C,C
100,0000000967,C,C
100,0000000968,C,C
100,0000000969,C,C
100,0000000970,C,C
100,0000000971,C,C
100,0000000972,C,C
100,0000000973,C,C
100,0000000974,C,C
100,0000000975,C,C
100,0000000976,C,C
100,0000000977,C,C
100,0000000978,C,C
100,0000000979,C,C
100,0000000980,C,C
100,0000000981,C,C
100,0000000982,C,C
100,0000000983,C,C
100,0000000984,C,C
100,0000000985,C,C
100,0000000986,C,C
100,0000000987,C,C
100,0000000988,C,C
100,0000000989,C,C
100,0000000990,C,C
100,0000000991,C,C
100,0000000992,C,C
100,0000000993,C,C
100,0000000994,C,C
100,0000000995,C,C
100,0000000996,C,C
100,0000000997,C,C
100,0000000998,C,C
100,0000000999,C,C
100,0000001000,C,C
100,0000001001,C,C
100,0000001002,C,C
100,0000001003,C,C
100,0000001004,C,C
100,0000001005,C,C
100,0000001006,C,C
100,0000001007,C,C
100,0000001008,C,C
100,0000001009,C,C
100,0000001010,C,C
100,0000001011,C,C
100,0000001012,C,C
100,0000001013,C,C
100,0000001014,C,C
100,0000001015,C,C
100,0000001016,C,C
100,0000001017,C,C
100,0000001018,C,C
100,0000001019,C,C
100,0000001020,C,C
100,0000001021,C,C
100,0000001022,C,C
100,0000001023,C,C
100,0000001024,C,C
100,0000001025,C,C
100,0000001026,C,C
100,0000001027,C,C
100,0000001028,C,C
100,0000001029,C,C
100,0000001030,C,C
100,0000001031,C,C
100,0000001032,C,C
100,0000001033,C,C
100,0000001034,C,C
100,0000001035,C,C
100,0000001036,C,C
100,0000001037,C,C
100,0000001038,C,C
100,0000001039,C,C
100,0000001040,C,C
100,0000001041,C,C
100,0000001042,C,C
100,0000001043,C,C
100,0000001044,C,C
100,0000001045,C,C
100,0000001046,C,C
100,0000001047,C,C
100,0000001048,C,C
100,0000001049,C,C
100,0000001050,C,C
100,0000001051,C,C
100,0000001052,C,C
100,0000001053,C,C
100,0000001054,C,C
100,0000001055,C,C
100,0000001056,C,C
100,0000001057,C,C
100,0000001058,C,C
100,0000001059,C,C
100,0000001060,C,C
100,0000001061,C,C
100,0000001062,C,C
100,0000001063,C,C
100,0000001064,C,C
100,0000001065,C,C
100,0000001066,C,C
100,0000001067,C,C
100,0000001068,C,C
100,0000001069,C,C
100,0000001070,C,C
100,0000001071,C,C
100,0000001072,C,C
100,0000001073,C,C
100,0000001074,C,C
100,0000001075,C,C
100,0000001076,C,C
100,0000001077,C,C
100,0000001078,C,C
100,0000001079,C,C
100,0000001080,C,C
100,0000001081,C,C
100,0000001082,C,C
100,0000001083,C,C
100,0000001084,C,C
100,0000001085,C,C
100,0000001086,C,C
100,0000001087,C,C
100,0000001088,C,C
100,0000001089,C,C
100,0000001090,C,C
100,0000001091,C,C
100,0000001092,C,C
100,0000001093,C,C
100,0000001094,C,C
100,0000001095,C,C
100,0000001096,C,C
100,0000001097,C,C
100,0000001098,C,C
100,0000001099,C,C
100,0000001100,C,C
100,0000001101,C,C
100,0000001102,C,C
100,0000001103,C,C
100,0000001104,C,C
100,0000001105,C,C
100,0000001106,C,C
100,0000001107,C,C
100,0000001108,C,C
100,0000001109,C,C
100,0000001110,C,C
100,0000001111,C,C
100,0000001112,C,C
100,0000001113,C,C
100,0000001114,C,C
100,0000001115,C,C
100,0000001116,C,C
100,0000001117,C,C
100,0000001118,C,C
100,0000001119,C,C
100,0000001120,C,C
100,0000001121,C,C
100,0000001122,C,C
100,0000001123,C,C
100,0000001124,C,C
100,0000001125,C,C
100,0000001126,C,C
100,0000001127,C,C
100,0000001128,C,C
100,0000001129,C,C
100,0000001130,C,C
100,0000001131,C,C
100,0000001132,C,C
100,0000001133,C,C
100,0000001134,C,C
100,0000001135,C,C
100,0000001136,C,C
100,0000001137,C,C
100,0000001138,C,C
100,0000001139,C,C
100,0000001140,C,C
100,0000001141,C,C
100,0000001142,C,C
100,0000001143,C,C
100,0000001144,C,C
100,0000001145,C,C
100,0000001146,C,C
100,0000001147,C,C
100,0000001148,C,C
100,0000001149,C,C
100,0000001150,C,C
100,0000001151,C,C
100,0000001152,C,C
100,0000001153,C,C
100,0000001154,C,C
100,0000001155,C,C
100,0000001156,C,C
100,0000001157,C,C
100,0000001158,C,C
100,0000001159,C,C
100,0000001160,C,C
100,0000001161,C,C
100,0000001162,C,C
100,0000001163,C,C
100,0000001164,C,C
100,0000001165,C,C
100,0000001166,C,C
100,0000001167,C,C
100,0000001168,C,C
100,0000001169,C,C
100,0000001170,C,C
100,0000001171,C,C
100,0000001172,C,C
100,0000001173,C,C
100,0000001174,C,C
100,0000001175,C,C
100,0000001176,C,C
100,0000001177,C,C
100,0000001178,C,C
100,0000001179,C,C
100,0000001180,C,C
100,0000001181,C,C
100,0000001182,C,C
100,0000001183,C,C
100,0000001184,C,C
100,0000001185,C,C
100,0000001186,C,C
100,0000001187,C,C
100,0000001188,C,C
100,0000001189,C,C
100,0000001190,C,C
100,0000001191,C,C
100,0000001192,C,C
100,0000001193,C,C
100,0000001194,C,C
100,0000001195,C,C
100,0000001196,C,C
100,0000001197,C,C
100,0000001198,C,C
100,0000001199,C,C
100,0000001200,C,C
100,0000001201,C,C
100,0000001202,C,C
100,0000001203,C,C
100,0000001204,C,C
100,0000001205,C,C
100,0000001206,C,C
100,0000001207,C,C
100,0000001208,C,C
100,0000001209,C,C
100,0000001210,C,C
100,0000001211,C,C
100,0000001212,C,C
100,0000001213,C,C
100,0000001214,C,C
100,0000001215,C,C
100,0000001216,C,C
100,0000001217,C,C
100,0000001218,C,C
100,0000001219,C,C
100,0000001220,C,C
100,0000001221,C,C
100,0000001222,C,C
100,0000001223,C,C
100,0000001224,C,C
100,0000001225,C,C
100,0000001226,C,C
100,0000001227,C,C
100,0000001228,C,C
100,0000001229,C,C
100,0000001230,C,C
100,0000001231,C,C
100,0000001232,C,C
100,0000001233,C,C
100,0000001234,C,C
100,0000001235,C,C
100,0000001236,C,C
100,0000001237,C,C
100,0000001238,C,C
100,0000001239,C,C
100,0000001240,C,C
100,0000001241,C,C
100,0000001242,C,C
100,0000001243,C,C
100,0000001244,C,C
100,0000001245,C,C
100,0000001246,C,C
100,0000001247,C,C
100,0000001248,C,C
100,0000001249,C,C
100,0000001250,C,C
100,0000001251,C,C
100,0000001252,C,C
100,0000001253,C,C
100,0000001254,C,C
100,0000001255,C,C
100,0000001256,C,C
100,0000001257,C,C
100,0000001258,C,C
100,0000001259,C,C
100,0000001260,C,C
100,0000001261,C,C
100,0000001262,C,C
100,0000001263,C,C
100,0000001264,C,C
100,0000001265,C,C
100,0000001266,C,C
100,0000001267,C,C
100,0000001268,C,C
