MANDT,LGNUM,TESSION,TAESSION,MATNR,WERKS,VSOLA,MEINS
100,001,0000000045,0001,000000000000100274,0001,70.684,KG
100,002,0000000045,0002,000000000000100213,0001,15.006,KG
100,003,0000000045,0003,000000000000100723,0006,35.83,KG
100,001,0000000046,0001,000000000000100148,0002,35.675,KG
100,002,0000000046,0002,000000000000100943,0009,97.391,KG
100,003,0000000046,0003,000000000000100748,0001,6.439,KG
100,001,0000000047,0001,000000000000100943,0005,4.564,KG
100,002,0000000047,0002,000000000000100091,0010,50.546,KG
100,003,0000000047,0003,000000000000100021,0005,79.317,KG
100,001,0000000048,0001,000000000000100797,0001,74.028,KG
100,002,0000000048,0002,000000000000100872,0004,87.808,KG
100,003,0000000048,0003,000000000000100690,0006,86.369,KG
100,001,0000000049,0001,000000000000100812,0007,71.981,KG
100,002,0000000049,0002,000000000000100011,0005,28.054,KG
100,003,0000000049,0003,000000000000100288,0005,13.169,KG
100,001,0000000050,0001,000000000000100733,0004,66.392,KG
100,002,0000000050,0002,000000000000100557,0005,59.834,KG
100,003,0000000050,0003,000000000000100151,0008,77.808,KG
100,001,0000000051,0001,000000000000100554,0002,9.923,KG
100,002,0000000051,0002,000000000000100473,0003,27.332,KG
100,003,0000000051,0003,000000000000100624,0006,60.525,KG
100,001,0000000052,0001,000000000000100060,0007,80.321,KG
100,002,0000000052,0002,000000000000100303,0006,33.034,KG
100,003,0000000052,0003,000000000000100525,0010,21.091,KG
100,001,0000000053,0001,000000000000100192,0009,20.892,KG
100,002,0000000053,0002,000000000000100896,0004,73.094,KG
100,003,0000000053,0003,000000000000100123,0010,44.841,KG
100,001,0000000054,0001,000000000000100761,0002,72.03,KG
100,002,0000000054,0002,000000000000100279,0002,84.267,KG
100,003,0000000054,0003,000000000000100123,0010,9.822,KG
100,001,0000000055,0001,000000000000100056,0004,65.014,KG
100,002,0000000055,0002,000000000000100158,0004,46.554,KG
100,003,0000000055,0003,000000000000100825,0003,2.131,KG
100,001,0000000056,0001,000000000000100689,0001,67.342,KG
100,002,0000000056,0002,000000000000100268,0008,45.0,KG
100,003,0000000056,0003,000000000000100700,0004,73.018,KG
100,001,0000000057,0001,000000000000100587,0008,46.057,KG
100,002,0000000057,0002,000000000000100770,0004,11.929,KG
100,003,0000000057,0003,000000000000100846,0005,35.681,KG
100,001,0000000058,0001,000000000000100824,0005,15.101,KG
100,002,0000000058,0002,000000000000100040,0008,70.357,KG
100,003,0000000058,0003,000000000000100340,0010,40.646,KG
100,001,0000000059,0001,000000000000100214,0010,51.585,KG
100,002,0000000059,0002,000000000000100593,0001,13.59,KG
100,003,0000000059,0003,000000000000100646,0008,14.101,KG
100,001,0000000060,0001,000000000000100844,0001,75.466,KG
100,002,0000000060,0002,000000000000100575,0003,84.534,KG
100,003,0000000060,0003,000000000000100357,0005,21.068,KG
100,001,0000000061,0001,000000000000100072,0005,38.098,KG
100,002,0000000061,0002,000000000000100686,0005,51.574,KG
100,003,0000000061,0003,000000000000100535,0001,62.831,KG
100,001,0000000062,0001,000000000000100997,0003,67.771,KG
100,002,0000000062,0002,000000000000100656,0008,67.745,KG
100,003,0000000062,0003,000000000000100640,0010,93.958,KG
100,001,0000000063,0001,000000000000100150,0002,60.808,KG
100,002,0000000063,0002,000000000000100123,0005,74.201,KG
100,003,0000000063,0003,000000000000100228,0009,55.53,KG
100,001,0000000064,0001,000000000000100756,0005,77.383,KG
100,002,0000000064,0002,000000000000100509,0010,42.084,KG
100,003,0000000064,0003,000000000000100548,0010,58.306,KG
100,001,0000000065,0001,000000000000100871,0006,45.926,KG
100,002,0000000065,0002,000000000000100691,0004,42.491,KG
100,003,0000000065,0003,000000000000100062,0006,59.687,KG
100,001,0000000066,0001,000000000000100045,0008,10.385,KG
100,002,0000000066,0002,000000000000100410,0007,23.393,KG
100,003,0000000066,0003,000000000000100823,0001,84.96,KG
100,001,0000000067,0001,000000000000100913,0006,22.716,KG
100,002,0000000067,0002,000000000000100970,0007,77.976,KG
100,003,0000000067,0003,000000000000100558,0001,25.898,KG
100,001,0000000068,0001,000000000000100019,0002,16.29,KG
100,002,0000000068,0002,000000000000100813,0009,72.81,KG
100,003,0000000068,0003,000000000000100917,0009,95.703,KG
100,001,0000000069,0001,000000000000100728,0007,13.471,KG
100,002,0000000069,0002,000000000000100944,0001,61.076,KG
100,003,0000000069,0003,000000000000100290,0003,44.162,KG
100,001,0000000070,0001,000000000000100107,0004,36.399,KG
100,002,0000000070,0002,000000000000100907,0002,20.389,KG
100,003,0000000070,0003,000000000000100340,0010,69.7,KG
100,001,0000000071,0001,000000000000100087,0010,8.404,KG
100,002,0000000071,0002,000000000000100848,0004,49.945,KG
100,003,0000000071,0003,000000000000100375,0001,55.105,KG
100,001,0000000072,0001,000000000000100292,0002,36.646,KG
100,002,0000000072,0002,000000000000100232,0010,67.409,KG
100,003,0000000072,0003,000000000000100310,0001,95.667,KG
100,001,0000000073,0001,000000000000100744,0006,76.635,KG
100,002,0000000073,0002,000000000000100112,0004,87.006,KG
100,003,0000000073,0003,000000000000100086,0004,75.744,KG
100,001,0000000074,0001,000000000000100623,0002,83.56,KG
100,002,0000000074,0002,000000000000100412,0002,55.272,KG
100,003,0000000074,0003,000000000000100227,0007,29.886,KG
100,001,0000000075,0001,000000000000100007,0009,11.43,KG
100,002,0000000075,0002,000000000000100011,0001,37.428,KG
100,003,0000000075,0003,000000000000100468,0004,96.965,KG
100,001,0000000076,0001,000000000000100160,0010,39.88,KG
100,002,0000000076,0002,000000000000100227,0001,78.935,KG
100,003,0000000076,0003,000000000000100943,0002,27.326,KG
100,001,0000000077,0001,000000000000100428,0001,82.41,KG
100,002,0000000077,0002,000000000000100988,0008,89.426,KG
100,003,0000000077,0003,000000000000100686,0005,62.232,KG
100,001,0000000078,0001,000000000000100032,0009,84.82,KG
100,002,0000000078,0002,000000000000100207,0001,81.956,KG
100,003,0000000078,0003,000000000000100323,0010,15.622,KG
100,001,0000000079,0001,000000000000100028,0008,58.148,KG
100,002,0000000079,0002,000000000000100413,0003,88.257,KG
100,003,0000000079,0003,000000000000100243,0008,21.688,KG
100,001,0000000080,0001,000000000000100478,0002,21.746,KG
100,002,0000000080,0002,000000000000100624,0006,57.308,KG
100,003,0000000080,0003,000000000000100236,0009,15.873,KG
100,001,0000000081,0001,000000000000100032,0003,75.126,KG
100,002,0000000081,0002,000000000000100024,0007,18.268,KG
100,003,0000000081,0003,000000000000100537,0007,2.627,KG
100,001,0000000082,0001,000000000000100358,0003,47.228,KG
100,002,0000000082,0002,000000000000100795,0008,25.27,KG
100,003,0000000082,0003,000000000000100270,0009,98.518,KG
100,001,0000000083,0001,000000000000100753,0005,96.727,KG
100,002,0000000083,0002,000000000000100747,0010,22.938,KG
100,003,0000000083,0003,000000000000100574,0007,36.737,KG
100,001,0000000084,0001,000000000000100146,0001,93.109,KG
100,002,0000000084,0002,000000000000100511,0003,63.487,KG
100,003,0000000084,0003,000000000000100402,0010,17.799,KG
100,001,0000000085,0001,000000000000100325,0005,21.738,KG
100,002,0000000085,0002,000000000000100024,0010,50.545,KG
100,003,0000000085,0003,000000000000100810,0007,12.144,KG
100,001,0000000086,0001,000000000000100172,0003,34.162,KG
100,002,0000000086,0002,000000000000100859,0009,60.995,KG
100,003,0000000086,0003,000000000000100471,0001,45.745,KG
100,001,0000000087,0001,000000000000100952,0002,53.019,KG
100,002,0000000087,0002,000000000000100891,0007,84.952,KG
100,003,0000000087,0003,000000000000100257,0010,18.853,KG
100,001,0000000088,0001,000000000000100070,0008,9.744,KG
100,002,0000000088,0002,000000000000100669,0005,54.273,KG
100,003,0000000088,0003,000000000000100832,0005,28.317,KG
100,001,0000000089,0001,000000000000100667,0009,17.089,KG
100,002,0000000089,0002,000000000000100136,0007,92.066,KG
100,003,0000000089,0003,000000000000100877,0005,67.995,KG
100,001,0000000090,0001,000000000000100005,0009,23.773,KG
100,002,0000000090,0002,000000000000100084,0004,77.368,KG
100,003,0000000090,0003,000000000000100275,0008,37.993,KG
100,001,0000000091,0001,000000000000100683,0002,18.074,KG
100,002,0000000091,0002,000000000000100728,0006,80.863,KG
100,003,0000000091,0003,000000000000100670,0003,29.22,KG
100,001,0000000092,0001,000000000000100627,0009,90.399,KG
100,002,0000000092,0002,000000000000100902,0003,71.219,KG
100,003,0000000092,0003,000000000000100451,0007,16.801,KG
100,001,0000000093,0001,000000000000100235,0003,6.48,KG
100,002,0000000093,0002,000000000000100319,0008,42.943,KG
100,003,0000000093,0003,000000000000100635,0001,77.921,KG
100,001,0000000094,0001,000000000000100882,0005,72.66,KG
100,002,0000000094,0002,000000000000100030,0004,65.329,KG
100,003,0000000094,0003,000000000000100339,0004,53.709,KG
100,001,0000000095,0001,000000000000100310,0001,32.357,KG
100,002,0000000095,0002,000000000000100697,0002,68.654,KG
100,003,0000000095,0003,000000000000100156,0009,74.364,KG
100,001,0000000096,0001,000000000000100690,0010,23.115,KG
100,002,0000000096,0002,000000000000100146,0002,18.575,KG
100,003,0000000096,0003,000000000000100871,0005,74.67,KG
100,001,0000000097,0001,000000000000100093,0009,2.852,KG
100,002,0000000097,0002,000000000000100476,0010,1.232,KG
100,003,0000000097,0003,000000000000100905,0010,89.905,KG
100,001,0000000098,0001,000000000000100728,0007,49.392,KG
100,002,0000000098,0002,000000000000100825,0001,60.178,KG
100,003,0000000098,0003,000000000000100498,0006,78.947,KG
100,001,0000000099,0001,000000000000100421,0007,38.082,KG
100,002,0000000099,0002,000000000000100976,0002,91.507,KG
100,003,0000000099,0003,000000000000100127,0010,2.76,KG
100,001,0000000100,0001,000000000000100231,0003,6.648,KG
100,002,0000000100,0002,000000000000100024,0007,56.767,KG
100,003,0000000100,0003,000000000000100693,0003,50.796,KG
100,001,0000000101,0001,000000000000100481,0009,7.56,KG
100,002,0000000101,0002,000000000000100649,0002,49.969,KG
100,003,0000000101,0003,000000000000100884,0004,36.93,KG
100,001,0000000102,0001,000000000000100408,0001,87.426,KG
100,002,0000000102,0002,000000000000100227,0002,68.285,KG
100,003,0000000102,0003,000000000000100581,0005,27.45,KG
100,001,0000000103,0001,000000000000100189,0005,29.288,KG
100,002,0000000103,0002,000000000000100464,0007,82.706,KG
100,003,0000000103,0003,000000000000100714,0003,52.403,KG
100,001,0000000104,0001,000000000000100422,0007,16.842,KG
100,002,0000000104,0002,000000000000100466,0004,77.901,KG
100,003,0000000104,0003,000000000000100067,0009,73.953,KG
100,001,0000000105,0001,000000000000100789,0002,75.521,KG
100,002,0000000105,0002,000000000000100441,0007,84.642,KG
100,003,0000000105,0003,000000000000100553,0003,91.163,KG
100,001,0000000106,0001,000000000000100486,0007,71.914,KG
100,002,0000000106,0002,000000000000100263,0005,75.928,KG
100,003,0000000106,0003,000000000000100835,0004,12.919,KG
100,001,0000000107,0001,000000000000100894,0002,61.025,KG
100,002,0000000107,0002,000000000000100556,0003,66.945,KG
100,003,0000000107,0003,000000000000100210,0007,98.673,KG
100,001,0000000108,0001,000000000000100419,0006,76.838,KG
100,002,0000000108,0002,000000000000100954,0007,98.424,KG
100,003,0000000108,0003,000000000000100671,0001,40.914,KG
100,001,0000000109,0001,000000000000100107,0006,89.103,KG
100,002,0000000109,0002,000000000000100068,0001,19.861,KG
100,003,0000000109,0003,000000000000100024,0006,82.935,KG
100,001,0000000110,0001,000000000000100970,0010,2.67,KG
100,002,0000000110,0002,000000000000100732,0008,79.086,KG
100,003,0000000110,0003,000000000000100905,0007,46.418,KG
100,001,0000000111,0001,000000000000100475,0008,48.974,KG
100,002,0000000111,0002,000000000000100273,0003,41.99,KG
100,003,0000000111,0003,000000000000100013,0009,47.532,KG
100,001,0000000112,0001,000000000000100383,0008,49.272,KG
100,002,0000000112,0002,000000000000100995,0003,86.428,KG
100,003,0000000112,0003,000000000000100315,0007,40.742,KG
100,001,0000000113,0001,000000000000100318,0007,51.194,KG
100,002,0000000113,0002,000000000000100532,0007,47.654,KG
100,003,0000000113,0003,000000000000100481,0005,8.902,KG
100,001,0000000114,0001,000000000000100298,0009,21.442,KG
100,002,0000000114,0002,000000000000100101,0007,48.329,KG
100,003,0000000114,0003,000000000000100700,0001,39.21,KG
100,001,0000000115,0001,000000000000100351,0007,92.878,KG
100,002,0000000115,0002,000000000000100751,0003,57.021,KG
100,003,0000000115,0003,000000000000100341,0007,59.051,KG
100,001,0000000116,0001,000000000000100634,0008,69.672,KG
100,002,0000000116,0002,000000000000100347,0001,84.414,KG
100,003,0000000116,0003,000000000000100080,0008,22.318,KG
100,001,0000000117,0001,000000000000100760,0006,24.124,KG
100,002,0000000117,0002,000000000000100087,0001,76.503,KG
100,003,0000000117,0003,000000000000100631,0008,39.851,KG
100,001,0000000118,0001,000000000000100148,0001,66.593,KG
100,002,0000000118,0002,000000000000100252,0003,20.71,KG
100,003,0000000118,0003,000000000000100073,0003,3.527,KG
100,001,0000000119,0001,000000000000100682,0005,83.753,KG
100,002,0000000119,0002,000000000000100279,0010,79.934,KG
100,003,0000000119,0003,000000000000100362,0001,76.933,KG
100,001,0000000120,0001,000000000000100128,0001,99.199,KG
100,002,0000000120,0002,000000000000100959,0002,28.545,KG
100,003,0000000120,0003,000000000000100507,0001,46.751,KG
100,001,0000000121,0001,000000000000100479,0008,1.923,KG
100,002,0000000121,0002,000000000000100414,0002,41.187,KG
100,003,0000000121,0003,000000000000100447,0007,36.534,KG
100,001,0000000122,0001,000000000000100155,0008,96.332,KG
100,002,0000000122,0002,000000000000100961,0009,62.059,KG
100,003,0000000122,0003,000000000000100025,0007,99.735,KG
100,001,0000000123,0001,000000000000100192,0010,57.132,KG
100,002,0000000123,0002,000000000000100690,0001,80.756,KG
100,003,0000000123,0003,000000000000100419,0002,23.272,KG
100,001,0000000124,0001,000000000000100751,0007,18.464,KG
100,002,0000000124,0002,000000000000100949,0005,94.176,KG
100,003,0000000124,0003,000000000000100306,0009,83.886,KG
100,001,0000000125,0001,000000000000100709,0002,45.032,KG
100,002,0000000125,0002,000000000000100874,0008,51.042,KG
100,003,0000000125,0003,000000000000100828,0009,80.06,KG
100,001,0000000126,0001,000000000000100994,0008,69.899,KG
100,002,0000000126,0002,000000000000100565,0001,56.076,KG
100,003,0000000126,0003,000000000000100872,0009,62.567,KG
100,001,0000000127,0001,000000000000100437,0010,39.936,KG
100,002,0000000127,0002,000000000000100061,0002,7.585,KG
100,003,0000000127,0003,000000000000100499,0003,24.856,KG
100,001,0000000128,0001,000000000000100416,0007,57.512,KG
100,002,0000000128,0002,000000000000100628,0009,72.683,KG
100,003,0000000128,0003,000000000000100833,0005,16.518,KG
100,001,0000000129,0001,000000000000100563,0001,94.042,KG
100,002,0000000129,0002,000000000000100109,0005,79.729,KG
100,003,0000000129,0003,000000000000100125,0010,71.35,KG
100,001,0000000130,0001,000000000000100307,0008,10.726,KG
100,002,0000000130,0002,000000000000100553,0009,45.094,KG
100,003,0000000130,0003,000000000000100072,0003,11.094,KG
100,001,0000000131,0001,000000000000100213,0001,50.175,KG
100,002,0000000131,0002,000000000000100936,0002,40.156,KG
100,003,0000000131,0003,000000000000100092,0004,78.52,KG
100,001,0000000132,0001,000000000000100024,0004,90.317,KG
100,002,0000000132,0002,000000000000100362,0009,24.943,KG
100,003,0000000132,0003,000000000000100378,0003,82.876,KG
100,001,0000000133,0001,000000000000100671,0009,56.765,KG
100,002,0000000133,0002,000000000000100550,0004,54.708,KG
100,003,0000000133,0003,000000000000100039,0006,85.211,KG
100,001,0000000134,0001,000000000000100755,0001,30.359,KG
100,002,0000000134,0002,000000000000100460,0001,8.416,KG
100,003,0000000134,0003,000000000000100049,0008,61.098,KG
100,001,0000000135,0001,000000000000100813,0008,90.976,KG
100,002,0000000135,0002,000000000000100819,0006,18.188,KG
100,003,0000000135,0003,000000000000100714,0009,40.826,KG
100,001,0000000136,0001,000000000000100952,0005,98.272,KG
100,002,0000000136,0002,000000000000100466,0004,66.925,KG
100,003,0000000136,0003,000000000000100183,0009,2.111,KG
100,001,0000000137,0001,000000000000100770,0010,91.56,KG
100,002,0000000137,0002,000000000000100005,0010,21.863,KG
100,003,0000000137,0003,000000000000100867,0002,25.737,KG
100,001,0000000138,0001,000000000000100465,0004,61.866,KG
100,002,0000000138,0002,000000000000100210,0009,34.001,KG
100,003,0000000138,0003,000000000000100163,0009,84.306,KG
100,001,0000000139,0001,000000000000100160,0006,17.061,KG
100,002,0000000139,0002,000000000000100032,0001,70.356,KG
100,003,0000000139,0003,000000000000100951,0008,52.936,KG
100,001,0000000140,0001,000000000000100100,0007,44.403,KG
100,002,0000000140,0002,000000000000100305,0010,76.33,KG
100,003,0000000140,0003,000000000000100102,0008,35.946,KG
100,001,0000000141,0001,000000000000100116,0006,21.486,KG
100,002,0000000141,0002,000000000000100887,0004,36.066,KG
100,003,0000000141,0003,000000000000100356,0006,83.361,KG
100,001,0000000142,0001,000000000000100015,0004,75.685,KG
100,002,0000000142,0002,000000000000100556,0004,92.182,KG
100,003,0000000142,0003,000000000000100219,0005,60.523,KG
100,001,0000000143,0001,000000000000100018,0001,38.176,KG
100,002,0000000143,0002,000000000000100781,0010,42.226,KG
100,003,0000000143,0003,000000000000100525,0006,82.612,KG
100,001,0000000144,0001,000000000000100696,0005,90.51,KG
100,002,0000000144,0002,000000000000100809,0010,96.982,KG
100,003,0000000144,0003,000000000000100380,0005,66.788,KG
100,001,0000000145,0001,000000000000100157,0001,39.024,KG
100,002,0000000145,0002,000000000000100837,0010,51.673,KG
100,003,0000000145,0003,000000000000100624,0007,65.455,KG
100,001,0000000146,0001,000000000000100663,0004,2.545,KG
100,002,0000000146,0002,000000000000100411,0008,32.2,KG
100,003,0000000146,0003,000000000000100875,0005,49.007,KG
100,001,0000000147,0001,000000000000100626,0010,99.445,KG
100,002,0000000147,0002,000000000000100123,0004,41.334,KG
100,003,0000000147,0003,000000000000100956,0007,88.596,KG
100,001,0000000148,0001,000000000000100469,0001,63.756,KG
100,002,0000000148,0002,000000000000100465,0001,18.293,KG
100,003,0000000148,0003,000000000000100687,0010,96.342,KG
100,001,0000000149,0001,000000000000100868,0002,63.2,KG
100,002,0000000149,0002,000000000000100941,0003,19.285,KG
100,003,0000000149,0003,000000000000100295,0002,25.544,KG
100,001,0000000150,0001,000000000000100359,0006,3.721,KG
100,002,0000000150,0002,000000000000100488,0001,14.729,KG
100,003,0000000150,0003,000000000000100610,0008,91.483,KG
100,001,0000000151,0001,000000000000100207,0001,34.331,KG
100,002,0000000151,0002,000000000000100166,0001,90.068,KG
100,003,0000000151,0003,000000000000100227,0008,98.014,KG
100,001,0000000152,0001,000000000000100968,0005,2.331,KG
100,002,0000000152,0002,000000000000100783,0010,27.374,KG
100,003,0000000152,0003,000000000000100720,0008,89.096,KG
100,001,0000000153,0001,000000000000100172,0005,22.218,KG
100,002,0000000153,0002,000000000000100794,0001,91.051,KG
100,003,0000000153,0003,000000000000100048,0002,42.343,KG
100,001,0000000154,0001,000000000000100238,0005,82.472,KG
100,002,0000000154,0002,000000000000100423,0002,45.103,KG
100,003,0000000154,0003,000000000000100792,0002,91.089,KG
100,001,0000000155,0001,000000000000100096,0007,97.283,KG
100,002,0000000155,0002,000000000000100599,0010,39.048,KG
100,003,0000000155,0003,000000000000100439,0001,88.473,KG
100,001,0000000156,0001,000000000000100607,0005,70.936,KG
100,002,0000000156,0002,000000000000100289,0006,35.66,KG
100,003,0000000156,0003,000000000000100808,0004,9.808,KG
100,001,0000000157,0001,000000000000100669,0002,51.844,KG
100,002,0000000157,0002,000000000000100243,0002,77.469,KG
100,003,0000000157,0003,000000000000100550,0001,56.629,KG
100,001,0000000158,0001,000000000000100080,0001,26.553,KG
100,002,0000000158,0002,000000000000100031,0006,16.163,KG
100,003,0000000158,0003,000000000000100586,0002,7.396,KG
100,001,0000000159,0001,000000000000100975,0010,41.163,KG
100,002,0000000159,0002,000000000000100751,0001,81.491,KG
100,003,0000000159,0003,000000000000100183,0008,11.853,KG
100,001,0000000160,0001,000000000000100826,0002,91.111,KG
100,002,0000000160,0002,000000000000100630,0003,31.281,KG
