MANDT,AUFNR,AUTYP,BUKRS,WERKS,KOSTL,ERDAT,ERNAM
100,1000157,10,1000,1000,1000,20250806,SYSTEM
100,1000158,10,1000,1200,1400,20230317,SYSTEM
100,1000159,10,1000,1000,1000,20240830,SYSTEM
100,1000160,10,1000,1100,1100,20230629,SYSTEM
100,1000161,10,1000,1000,1300,20240815,SYSTEM
100,1000162,10,1000,1000,1300,20241126,SYSTEM
100,1000163,10,1000,1100,1200,20220207,SYSTEM
100,1000164,10,1000,1000,1000,20240102,SYSTEM
100,1000165,10,1000,1200,1200,20220922,SYSTEM
100,1000166,10,1000,1200,1300,20250101,SYSTEM
100,1000167,10,1000,1200,1200,20251119,SYSTEM
100,1000168,10,1000,1000,1300,20251019,SYSTEM
100,1000169,10,1000,1100,1100,20250207,SYSTEM
100,1000170,10,1000,1000,1300,20250228,SYSTEM
100,1000171,10,1000,1100,1400,20230721,SYSTEM
100,1000172,10,1000,1100,1100,20230521,SYSTEM
100,1000173,10,1000,1000,1400,20250524,SYSTEM
100,1000174,10,1000,1200,1200,20250802,SYSTEM
100,1000175,10,1000,1200,1000,20220401,SYSTEM
100,1000176,10,1000,1000,1100,20240918,SYSTEM
100,1000177,10,1000,1100,1400,20240704,SYSTEM
100,1000178,10,1000,1200,1100,20221222,SYSTEM
100,1000179,10,1000,1100,1000,20251230,SYSTEM
100,1000180,10,1000,1200,1100,20250425,SYSTEM
100,1000181,10,1000,1000,1200,20250501,SYSTEM
100,1000182,10,1000,1200,1200,20240221,SYSTEM
100,1000183,10,1000,1000,1400,20220112,SYSTEM
100,1000184,10,1000,1000,1200,20220202,SYSTEM
100,1000185,10,1000,1200,1100,20250516,SYSTEM
100,1000186,10,1000,1100,1100,20241006,SYSTEM
100,1000187,10,1000,1100,1200,20250317,SYSTEM
100,1000188,10,1000,1100,1100,20230314,SYSTEM
100,1000189,10,1000,1200,1300,20230227,SYSTEM
100,1000190,10,1000,1200,1200,20231008,SYSTEM
100,1000191,10,1000,1100,1300,20250310,SYSTEM
100,1000192,10,1000,1100,1200,20230515,SYSTEM
100,1000193,10,1000,1000,1100,20230602,SYSTEM
100,1000194,10,1000,1100,1000,20231013,SYSTEM
100,1000195,10,1000,1200,1000,20250726,SYSTEM
100,1000196,10,1000,1100,1300,20250506,SYSTEM
100,1000197,10,1000,1100,1000,20230524,SYSTEM
100,1000198,10,1000,1200,1000,20240804,SYSTEM
100,1000199,10,1000,1200,1000,20240625,SYSTEM
100,1000200,10,1000,1200,1400,20250127,SYSTEM
100,1000201,10,1000,1100,1300,20250503,SYSTEM
100,1000202,10,1000,1000,1400,20221007,SYSTEM
100,1000203,10,1000,1100,1200,20220427,SYSTEM
100,1000204,10,1000,1000,1100,20220424,SYSTEM
100,1000205,10,1000,1200,1100,20220905,SYSTEM
100,1000206,10,1000,1200,1200,20240809,SYSTEM
100,1000207,10,1000,1100,1100,20250113,SYSTEM
100,1000208,10,1000,1000,1200,20251231,SYSTEM
100,1000209,10,1000,1200,1400,20220829,SYSTEM
100,1000210,10,1000,1100,1300,20221028,SYSTEM
100,1000211,10,1000,1000,1300,20230210,SYSTEM
100,1000212,10,1000,1100,1100,20240128,SYSTEM
100,1000213,10,1000,1100,1400,20250605,SYSTEM
100,1000214,10,1000,1200,1100,20230606,SYSTEM
100,1000215,10,1000,1000,1100,20230929,SYSTEM
100,1000216,10,1000,1200,1100,20230313,SYSTEM
100,1000217,10,1000,1000,1000,20250811,SYSTEM
100,1000218,10,1000,1000,1300,20220329,SYSTEM
100,1000219,10,1000,1200,1100,20250408,SYSTEM
100,1000220,10,1000,1100,1100,20220728,SYSTEM
100,1000221,10,1000,1000,1000,20221008,SYSTEM
100,1000222,10,1000,1200,1000,20241130,SYSTEM
100,1000223,10,1000,1200,1000,20250512,SYSTEM
100,1000224,10,1000,1200,1400,20231231,SYSTEM
100,1000225,10,1000,1200,1200,20240527,SYSTEM
100,1000226,10,1000,1200,1000,20250503,SYSTEM
100,1000227,10,1000,1000,1000,20220304,SYSTEM
100,1000228,10,1000,1000,1400,20230408,SYSTEM
100,1000229,10,1000,1000,1300,20250627,SYSTEM
100,1000230,10,1000,1000,1400,20231127,SYSTEM
100,1000231,10,1000,1000,1000,20251020,SYSTEM
100,1000232,10,1000,1100,1200,20220621,SYSTEM
100,1000233,10,1000,1200,1100,20250718,SYSTEM
100,1000234,10,1000,1100,1400,20230629,SYSTEM
100,1000235,10,1000,1100,1400,20231105,SYSTEM
100,1000236,10,1000,1200,1100,20231225,SYSTEM
100,1000237,10,1000,1100,1400,20231230,SYSTEM
100,1000238,10,1000,1100,1100,20231231,SYSTEM
100,1000239,10,1000,1200,1100,20241113,SYSTEM
100,1000240,10,1000,1100,1400,20250805,SYSTEM
100,1000241,10,1000,1200,1200,20220321,SYSTEM
100,1000242,10,1000,1200,1400,20240420,SYSTEM
100,1000243,10,1000,1200,1300,20250922,SYSTEM
100,1000244,10,1000,1200,1400,20220301,SYSTEM
100,1000245,10,1000,1100,1300,20250823,SYSTEM
100,1000246,10,1000,1100,1100,20250903,SYSTEM
100,1000247,10,1000,1200,1300,20250405,SYSTEM
100,1000248,10,1000,1200,1100,20231001,SYSTEM
100,1000249,10,1000,1200,1200,20251120,SYSTEM
100,1000250,10,1000,1000,1000,20231016,SYSTEM
100,1000251,10,1000,1100,1300,20230804,SYSTEM
100,1000252,10,1000,1000,1400,20240622,SYSTEM
100,1000253,10,1000,1000,1400,20220204,SYSTEM
100,1000254,10,1000,1200,1000,20220108,SYSTEM
100,1000255,10,1000,1100,1200,20230928,SYSTEM
100,1000256,10,1000,1100,1100,20251231,SYSTEM
100,1000257,10,1000,1100,1100,20250602,SYSTEM
100,1000258,10,1000,1100,1100,20241222,SYSTEM
100,1000259,10,1000,1000,1100,20230105,SYSTEM
100,1000260,10,1000,1200,1000,20220223,SYSTEM
100,1000261,10,1000,1000,1100,20230827,SYSTEM
100,1000262,10,1000,1200,1000,20240814,SYSTEM
100,1000263,10,1000,1000,1400,20220809,SYSTEM
100,1000264,10,1000,1000,1300,20250705,SYSTEM
100,1000265,10,1000,1100,1400,20250403,SYSTEM
100,1000266,10,1000,1200,1200,20221026,SYSTEM
100,1000267,10,1000,1000,1300,20251121,SYSTEM
100,1000268,10,1000,1000,1100,20240817,SYSTEM
100,1000269,10,1000,1000,1300,20220415,SYSTEM
100,1000270,10,1000,1200,1300,20240102,SYSTEM
100,1000271,10,1000,1100,1100,20220404,SYSTEM
100,1000272,10,1000,1200,1000,20250414,SYSTEM
100,1000273,10,1000,1200,1200,20220422,SYSTEM
100,1000274,10,1000,1100,1300,20230413,SYSTEM
100,1000275,10,1000,1100,1300,20220918,SYSTEM
100,1000276,10,1000,1000,1300,20251030,SYSTEM
100,1000277,10,1000,1200,1400,20220219,SYSTEM
100,1000278,10,1000,1200,1100,20231108,SYSTEM
100,1000279,10,1000,1200,1200,20250606,SYSTEM
100,1000280,10,1000,1100,1200,20230808,SYSTEM
100,1000281,10,1000,1200,1400,20250202,SYSTEM
100,1000282,10,1000,1200,1100,20220824,SYSTEM
100,1000283,10,1000,1200,1400,20220929,SYSTEM
100,1000284,10,1000,1100,1100,20220513,SYSTEM
100,1000285,10,1000,1100,1200,20251101,SYSTEM
100,1000286,10,1000,1100,1100,20220915,SYSTEM
100,1000287,10,1000,1200,1000,20221001,SYSTEM
100,1000288,10,1000,1200,1200,20220522,SYSTEM
100,1000289,10,1000,1200,1200,20230315,SYSTEM
100,1000290,10,1000,1200,1400,20240527,SYSTEM
100,1000291,10,1000,1100,1200,20220630,SYSTEM
100,1000292,10,1000,1200,1100,20230419,SYSTEM
100,1000293,10,1000,1200,1200,20230408,SYSTEM
100,1000294,10,1000,1100,1300,20250925,SYSTEM
100,1000295,10,1000,1200,1000,20230929,SYSTEM
100,1000296,10,1000,1100,1300,20231020,SYSTEM
100,1000297,10,1000,1200,1300,20250206,SYSTEM
100,1000298,10,1000,1200,1100,20251122,SYSTEM
100,1000299,10,1000,1000,1300,20250511,SYSTEM
100,1000300,10,1000,1100,1000,20241018,SYSTEM
100,1000301,10,1000,1200,1100,20250124,SYSTEM
100,1000302,10,1000,1000,1300,20230531,SYSTEM
100,1000303,10,1000,1200,1200,20230225,SYSTEM
100,1000304,10,1000,1100,1100,20250209,SYSTEM
100,1000305,10,1000,1100,1200,20220512,SYSTEM
100,1000306,10,1000,1100,1200,20230506,SYSTEM
100,1000307,10,1000,1200,1200,20240519,SYSTEM
100,1000308,10,1000,1000,1400,20220303,SYSTEM
100,1000309,10,1000,1000,1400,20220606,SYSTEM
100,1000310,10,1000,1200,1200,20250314,SYSTEM
100,1000311,10,1000,1000,1000,20220724,SYSTEM
100,1000312,10,1000,1000,1300,20250429,SYSTEM
100,1000313,10,1000,1100,1100,20240121,SYSTEM
100,1000314,10,1000,1100,1100,20221126,SYSTEM
100,1000315,10,1000,1200,1100,20230614,SYSTEM
100,1000316,10,1000,1100,1400,20250808,SYSTEM
100,1000317,10,1000,1100,1100,20240310,SYSTEM
100,1000318,10,1000,1000,1000,20220102,SYSTEM
100,1000319,10,1000,1200,1300,20240726,SYSTEM
100,1000320,10,1000,1200,1100,20250622,SYSTEM
100,1000321,10,1000,1200,1300,20230901,SYSTEM
100,1000322,10,1000,1000,1300,20230718,SYSTEM
100,1000323,10,1000,1200,1200,20231018,SYSTEM
100,1000324,10,1000,1100,1100,20250903,SYSTEM
100,1000325,10,1000,1100,1100,20240915,SYSTEM
100,1000326,10,1000,1200,1300,20250324,SYSTEM
100,1000327,10,1000,1200,1000,20241106,SYSTEM
100,1000328,10,1000,1200,1200,20250402,SYSTEM
100,1000329,10,1000,1200,1400,20220614,SYSTEM
100,1000330,10,1000,1000,1200,20240610,SYSTEM
100,1000331,10,1000,1000,1300,20250119,SYSTEM
100,1000332,10,1000,1000,1300,20251007,SYSTEM
100,1000333,10,1000,1000,1100,20231201,SYSTEM
100,1000334,10,1000,1000,1300,20250218,SYSTEM
100,1000335,10,1000,1200,1400,20240117,SYSTEM
100,1000336,10,1000,1100,1100,20240522,SYSTEM
100,1000337,10,1000,1100,1100,20250414,SYSTEM
100,1000338,10,1000,1100,1300,20240407,SYSTEM
100,1000339,10,1000,1200,1000,20240618,SYSTEM
100,1000340,10,1000,1200,1300,20250125,SYSTEM
100,1000341,10,1000,1000,1300,20251210,SYSTEM
100,1000342,10,1000,1000,1300,20230827,SYSTEM
100,1000343,10,1000,1100,1000,20250629,SYSTEM
100,1000344,10,1000,1100,1200,20240717,SYSTEM
100,1000345,10,1000,1200,1400,20220609,SYSTEM
100,1000346,10,1000,1200,1400,20231002,SYSTEM
100,1000347,10,1000,1000,1300,20240416,SYSTEM
100,1000348,10,1000,1200,1400,20220605,SYSTEM
100,1000349,10,1000,1000,1000,20241030,SYSTEM
100,1000350,10,1000,1000,1000,20221017,SYSTEM
100,1000351,10,1000,1000,1100,20251009,SYSTEM
100,1000352,10,1000,1000,1200,20241006,SYSTEM
100,1000353,10,1000,1000,1300,20250821,SYSTEM
100,1000354,10,1000,1100,1100,20250701,SYSTEM
100,1000355,10,1000,1100,1100,20221021,SYSTEM
100,1000356,10,1000,1200,1400,20240420,SYSTEM
100,1000357,10,1000,1000,1300,20250504,SYSTEM
100,1000358,10,1000,1000,1000,20250208,SYSTEM
100,1000359,10,1000,1100,1300,20240222,SYSTEM
100,1000360,10,1000,1100,1300,20220808,SYSTEM
100,1000361,10,1000,1000,1100,20250610,SYSTEM
100,1000362,10,1000,1200,1200,20230416,SYSTEM
100,1000363,10,1000,1000,1200,20251029,SYSTEM
100,1000364,10,1000,1200,1200,20230220,SYSTEM
100,1000365,10,1000,1200,1300,20221017,SYSTEM
100,1000366,10,1000,1200,1100,20230112,SYSTEM
100,1000367,10,1000,1100,1100,20250915,SYSTEM
100,1000368,10,1000,1200,1300,20231213,SYSTEM
100,1000369,10,1000,1000,1400,20240717,SYSTEM
100,1000370,10,1000,1000,1000,20240211,SYSTEM
100,1000371,10,1000,1100,1200,20221012,SYSTEM
100,1000372,10,1000,1200,1200,20221015,SYSTEM
100,1000373,10,1000,1000,1100,20220309,SYSTEM
100,1000374,10,1000,1100,1400,20221012,SYSTEM
100,1000375,10,1000,1000,1400,20250929,SYSTEM
100,1000376,10,1000,1100,1300,20241016,SYSTEM
100,1000377,10,1000,1000,1300,20220728,SYSTEM
100,1000378,10,1000,1100,1400,20230815,SYSTEM
100,1000379,10,1000,1100,1200,20251024,SYSTEM
100,1000380,10,1000,1000,1200,20230701,SYSTEM
100,1000381,10,1000,1200,1100,20250831,SYSTEM
100,1000382,10,1000,1000,1400,20240314,SYSTEM
100,1000383,10,1000,1100,1400,20220508,SYSTEM
100,1000384,10,1000,1100,1200,20230402,SYSTEM
100,1000385,10,1000,1200,1300,20221107,SYSTEM
100,1000386,10,1000,1100,1300,20250302,SYSTEM
100,1000387,10,1000,1200,1300,20241015,SYSTEM
100,1000388,10,1000,1200,1100,20240713,SYSTEM
100,1000389,10,1000,1200,1400,20220224,SYSTEM
100,1000390,10,1000,1100,1100,20221119,SYSTEM
100,1000391,10,1000,1000,1400,20220421,SYSTEM
100,1000392,10,1000,1200,1300,20250623,SYSTEM
100,1000393,10,1000,1100,1300,20220417,SYSTEM
100,1000394,10,1000,1000,1300,20230519,SYSTEM
100,1000395,10,1000,1200,1400,20250529,SYSTEM
100,1000396,10,1000,1000,1300,20250910,SYSTEM
100,1000397,10,1000,1000,1000,20250720,SYSTEM
100,1000398,10,1000,1000,1100,20240813,SYSTEM
100,1000399,10,1000,1000,1200,20230214,SYSTEM
100,1000400,10,1000,1100,1200,20230906,SYSTEM
100,1000401,10,1000,1100,1200,20251208,SYSTEM
100,1000402,10,1000,1200,1300,20240511,SYSTEM
100,1000403,10,1000,1200,1000,20250320,SYSTEM
100,1000404,10,1000,1100,1000,20230308,SYSTEM
100,1000405,10,1000,1000,1100,20250403,SYSTEM
100,1000406,10,1000,1000,1300,20240408,SYSTEM
100,1000407,10,1000,1100,1400,20230121,SYSTEM
100,1000408,10,1000,1200,1000,20250622,SYSTEM
100,1000409,10,1000,1000,1200,20250929,SYSTEM
100,1000410,10,1000,1200,1100,20241114,SYSTEM
100,1000411,10,1000,1000,1400,20220804,SYSTEM
100,1000412,10,1000,1000,1000,20250223,SYSTEM
100,1000413,10,1000,1100,1200,20220312,SYSTEM
100,1000414,10,1000,1000,1000,20250620,SYSTEM
100,1000415,10,1000,1000,1200,20240719,SYSTEM
100,1000416,10,1000,1200,1200,20250116,SYSTEM
100,1000417,10,1000,1200,1300,20230917,SYSTEM
100,1000418,10,1000,1000,1000,20250916,SYSTEM
100,1000419,10,1000,1000,1000,20230909,SYSTEM
100,1000420,10,1000,1000,1400,20251102,SYSTEM
100,1000421,10,1000,1100,1000,20220102,SYSTEM
100,1000422,10,1000,1100,1300,20240202,SYSTEM
100,1000423,10,1000,1200,1300,20240725,SYSTEM
100,1000424,10,1000,1000,1400,20231126,SYSTEM
100,1000425,10,1000,1200,1300,20220425,SYSTEM
100,1000426,10,1000,1000,1100,20251021,SYSTEM
100,1000427,10,1000,1000,1300,20240827,SYSTEM
100,1000428,10,1000,1100,1000,20250629,SYSTEM
100,1000429,10,1000,1200,1400,20230824,SYSTEM
100,1000430,10,1000,1100,1200,20220301,SYSTEM
100,1000431,10,1000,1000,1000,20251231,SYSTEM
100,1000432,10,1000,1000,1100,20230725,SYSTEM
100,1000433,10,1000,1100,1000,20240113,SYSTEM
100,1000434,10,1000,1200,1200,20250407,SYSTEM
100,1000435,10,1000,1100,1300,20251222,SYSTEM
100,1000436,10,1000,1000,1300,20221104,SYSTEM
100,1000437,10,1000,1000,1200,20220508,SYSTEM
100,1000438,10,1000,1100,1000,20240126,SYSTEM
100,1000439,10,1000,1200,1200,20220311,SYSTEM
100,1000440,10,1000,1100,1200,20240623,SYSTEM
100,1000441,10,1000,1100,1400,20240902,SYSTEM
100,1000442,10,1000,1200,1100,20220930,SYSTEM
100,1000443,10,1000,1000,1000,20240419,SYSTEM
100,1000444,10,1000,1000,1000,20220227,SYSTEM
100,1000445,10,1000,1000,1100,20221027,SYSTEM
100,1000446,10,1000,1200,1400,20240123,SYSTEM
100,1000447,10,1000,1200,1000,20230111,SYSTEM
100,1000448,10,1000,1100,1200,20221030,SYSTEM
100,1000449,10,1000,1200,1400,20250312,SYSTEM
100,1000450,10,1000,1000,1200,20240426,SYSTEM
100,1000451,10,1000,1200,1300,20221113,SYSTEM
100,1000452,10,1000,1100,1400,20220627,SYSTEM
100,1000453,10,1000,1100,1400,20230426,SYSTEM
100,1000454,10,1000,1100,1200,20220114,SYSTEM
100,1000455,10,1000,1200,1100,20221207,SYSTEM
100,1000456,10,1000,1200,1100,20220515,SYSTEM
100,1000457,10,1000,1200,1100,20240309,SYSTEM
100,1000458,10,1000,1100,1000,20240325,SYSTEM
100,1000459,10,1000,1200,1300,20250825,SYSTEM
100,1000460,10,1000,1200,1400,20220702,SYSTEM
100,1000461,10,1000,1200,1300,20220129,SYSTEM
100,1000462,10,1000,1200,1200,20250709,SYSTEM
100,1000463,10,1000,1000,1200,20250915,SYSTEM
100,1000464,10,1000,1100,1000,20240628,SYSTEM
100,1000465,10,1000,1100,1100,20220310,SYSTEM
100,1000466,10,1000,1000,1000,20220907,SYSTEM
100,1000467,10,1000,1200,1300,20220813,SYSTEM
100,1000468,10,1000,1000,1400,20250428,SYSTEM
100,1000469,10,1000,1100,1100,20221008,SYSTEM
100,1000470,10,1000,1100,1000,20231229,SYSTEM
100,1000471,10,1000,1200,1300,20220126,SYSTEM
100,1000472,10,1000,1200,1200,20221015,SYSTEM
100,1000473,10,1000,1100,1000,20221127,SYSTEM
100,1000474,10,1000,1200,1200,20241203,SYSTEM
100,1000475,10,1000,1100,1400,20251121,SYSTEM
100,1000476,10,1000,1100,1300,20231021,SYSTEM
100,1000477,10,1000,1000,1100,20250504,SYSTEM
100,1000478,10,1000,1100,1200,20220119,SYSTEM
100,1000479,10,1000,1100,1300,20241213,SYSTEM
100,1000480,10,1000,1200,1300,20251103,SYSTEM
100,1000481,10,1000,1000,1400,20231112,SYSTEM
100,1000482,10,1000,1000,1300,20220107,SYSTEM
100,1000483,10,1000,1200,1400,20250730,SYSTEM
100,1000484,10,1000,1000,1100,20250526,SYSTEM
100,1000485,10,1000,1000,1200,20240519,SYSTEM
100,1000486,10,1000,1000,1000,20240107,SYSTEM
100,1000487,10,1000,1000,1000,20230209,SYSTEM
100,1000488,10,1000,1100,1000,20230406,SYSTEM
100,1000489,10,1000,1000,1100,20251129,SYSTEM
100,1000490,10,1000,1000,1200,20220425,SYSTEM
100,1000491,10,1000,1000,1100,20251108,SYSTEM
100,1000492,10,1000,1100,1300,20250103,SYSTEM
100,1000493,10,1000,1100,1000,20250323,SYSTEM
100,1000494,10,1000,1100,1000,20230718,SYSTEM
100,1000495,10,1000,1200,1400,20220419,SYSTEM
