MANDT,BUKRS,ANLN1,ANLN2,GJAHR,LNRAN,AFABE,BWASL,ANBTR,WAERS
100,1000,000000000037,0000,2023,037,01,100,41748.63,EUR
100,2000,000000000038,0000,2024,038,01,100,40853.38,EUR
100,1000,000000000039,0000,2023,039,01,100,61276.98,EUR
100,2000,000000000040,0000,2024,040,01,100,28708.43,EUR
100,1000,000000000041,0000,2023,041,01,100,55388.62,EUR
100,2000,000000000042,0000,2024,042,01,100,59135.45,EUR
100,1000,000000000043,0000,2023,043,01,100,98037.98,EUR
100,2000,000000000044,0000,2024,044,01,100,38822.94,EUR
100,1000,000000000045,0000,2023,045,01,100,77990.78,EUR
100,2000,000000000046,0000,2024,046,01,100,44664.4,EUR
100,1000,000000000047,0000,2023,047,01,100,92516.08,EUR
100,2000,000000000048,0000,2024,048,01,100,75047.27,EUR
100,1000,000000000049,0000,2023,049,01,100,63986.79,EUR
100,2000,000000000050,0000,2024,050,01,100,58887.9,EUR
100,1000,000000000051,0000,2023,051,01,100,21078.26,EUR
100,2000,000000000052,0000,2024,052,01,100,9375.36,EUR
100,1000,000000000053,0000,2023,053,01,100,47493.1,EUR
100,2000,000000000054,0000,2024,054,01,100,73439.15,EUR
100,1000,000000000055,0000,2023,055,01,100,51762.44,EUR
100,2000,000000000056,0000,2024,056,01,100,43947.51,EUR
100,1000,000000000057,0000,2023,057,01,100,5016.18,EUR
100,2000,000000000058,0000,2024,058,01,100,70055.43,EUR
100,1000,000000000059,0000,2023,059,01,100,14618.43,EUR
100,2000,000000000060,0000,2024,060,01,100,25472.71,EUR
100,1000,000000000061,0000,2023,061,01,100,3709.8,EUR
100,2000,000000000062,0000,2024,062,01,100,9431.5,EUR
100,1000,000000000063,0000,2023,063,01,100,2767.32,EUR
100,2000,000000000064,0000,2024,064,01,100,51249.43,EUR
100,1000,000000000065,0000,2023,065,01,100,22298.14,EUR
100,2000,000000000066,0000,2024,066,01,100,46428.91,EUR
100,1000,000000000067,0000,2023,067,01,100,90589.84,EUR
100,2000,000000000068,0000,2024,068,01,100,70773.84,EUR
100,1000,000000000069,0000,2023,069,01,100,76825.74,EUR
100,2000,000000000070,0000,2024,070,01,100,78578.95,EUR
100,1000,000000000071,0000,2023,071,01,100,39211.02,EUR
100,2000,000000000072,0000,2024,072,01,100,19910.65,EUR
100,1000,000000000073,0000,2023,073,01,100,48411.29,EUR
100,2000,000000000074,0000,2024,074,01,100,9952.32,EUR
100,1000,000000000075,0000,2023,075,01,100,47931.73,EUR
100,2000,000000000076,0000,2024,076,01,100,5084.78,EUR
100,1000,000000000077,0000,2023,077,01,100,15951.78,EUR
100,2000,000000000078,0000,2024,078,01,100,56670.41,EUR
100,1000,000000000079,0000,2023,079,01,100,10157.84,EUR
100,2000,000000000080,0000,2024,080,01,100,13508.94,EUR
100,1000,000000000081,0000,2023,081,01,100,77278.61,EUR
100,2000,000000000082,0000,2024,082,01,100,43873.58,EUR
100,1000,000000000083,0000,2023,083,01,100,61612.78,EUR
100,2000,000000000084,0000,2024,084,01,100,33705.9,EUR
100,1000,000000000085,0000,2023,085,01,100,10865.35,EUR
100,2000,000000000086,0000,2024,086,01,100,32791.84,EUR
100,1000,000000000087,0000,2023,087,01,100,97986.79,EUR
100,2000,000000000088,0000,2024,088,01,100,52322.97,EUR
100,1000,000000000089,0000,2023,089,01,100,80893.15,EUR
100,2000,000000000090,0000,2024,090,01,100,72713.56,EUR
100,1000,000000000091,0000,2023,091,01,100,75569.23,EUR
100,2000,000000000092,0000,2024,092,01,100,70355.57,EUR
100,1000,000000000093,0000,2023,093,01,100,95399.13,EUR
100,2000,000000000094,0000,2024,094,01,100,7799.48,EUR
100,1000,000000000095,0000,2023,095,01,100,36158.03,EUR
100,2000,000000000096,0000,2024,096,01,100,45158.77,EUR
100,1000,000000000097,0000,2023,097,01,100,83868.04,EUR
100,2000,000000000098,0000,2024,098,01,100,56161.09,EUR
100,1000,000000000099,0000,2023,099,01,100,74137.87,EUR
100,2000,000000000100,0000,2024,100,01,100,13005.55,EUR
100,1000,000000000001,0000,2023,101,01,100,40850.86,EUR
100,2000,000000000002,0000,2024,102,01,100,46101.58,EUR
100,1000,000000000003,0000,2023,103,01,100,94812.92,EUR
100,2000,000000000004,0000,2024,104,01,100,4109.38,EUR
100,1000,000000000005,0000,2023,105,01,100,3182.18,EUR
100,2000,000000000006,0000,2024,106,01,100,13443.97,EUR
100,1000,000000000007,0000,2023,107,01,100,63469.75,EUR
100,2000,000000000008,0000,2024,108,01,100,88462.67,EUR
100,1000,000000000009,0000,2023,109,01,100,34562.6,EUR
100,2000,000000000010,0000,2024,110,01,100,29099.78,EUR
100,1000,000000000011,0000,2023,111,01,100,29350.87,EUR
100,2000,000000000012,0000,2024,112,01,100,28547.41,EUR
100,1000,000000000013,0000,2023,113,01,100,81182.03,EUR
100,2000,000000000014,0000,2024,114,01,100,11590.31,EUR
100,1000,000000000015,0000,2023,115,01,100,74577.78,EUR
100,2000,000000000016,0000,2024,116,01,100,77729.08,EUR
100,1000,000000000017,0000,2023,117,01,100,69820.63,EUR
100,2000,000000000018,0000,2024,118,01,100,1900.8,EUR
100,1000,000000000019,0000,2023,119,01,100,1183.28,EUR
100,2000,000000000020,0000,2024,120,01,100,83730.9,EUR
100,1000,000000000021,0000,2023,121,01,100,14585.76,EUR
100,2000,000000000022,0000,2024,122,01,100,81189.98,EUR
100,1000,000000000023,0000,2023,123,01,100,59842.8,EUR
100,2000,000000000024,0000,2024,124,01,100,78439.8,EUR
100,1000,000000000025,0000,2023,125,01,100,74477.74,EUR
100,2000,000000000026,0000,2024,126,01,100,14623.74,EUR
100,1000,000000000027,0000,2023,127,01,100,25668.29,EUR
100,2000,000000000028,0000,2024,128,01,100,31989.33,EUR
100,1000,000000000029,0000,2023,129,01,100,85832.23,EUR
100,2000,000000000030,0000,2024,130,01,100,38180.33,EUR
100,1000,000000000031,0000,2023,131,01,100,67107.17,EUR
100,2000,000000000032,0000,2024,132,01,100,2589.11,EUR
100,1000,000000000033,0000,2023,133,01,100,22908.71,EUR
100,2000,000000000034,0000,2024,134,01,100,64635.38,EUR
100,1000,000000000035,0000,2023,135,01,100,96332.46,EUR
100,2000,000000000036,0000,2024,136,01,100,51516.01,EUR
100,1000,000000000037,0000,2023,137,01,100,77367.75,EUR
100,2000,000000000038,0000,2024,138,01,100,86460.73,EUR
100,1000,000000000039,0000,2023,139,01,100,64542.77,EUR
100,2000,000000000040,0000,2024,140,01,100,35992.7,EUR
100,1000,000000000041,0000,2023,141,01,100,56296.18,EUR
100,2000,000000000042,0000,2024,142,01,100,81145.81,EUR
100,1000,000000000043,0000,2023,143,01,100,90220.77,EUR
100,2000,000000000044,0000,2024,144,01,100,56562.58,EUR
100,1000,000000000045,0000,2023,145,01,100,28934.72,EUR
100,2000,000000000046,0000,2024,146,01,100,27322.83,EUR
100,1000,000000000047,0000,2023,147,01,100,69215.74,EUR
100,2000,000000000048,0000,2024,148,01,100,79337.85,EUR
100,1000,000000000049,0000,2023,149,01,100,71639.2,EUR
100,2000,000000000050,0000,2024,150,01,100,3201.46,EUR
100,1000,000000000051,0000,2023,151,01,100,46662.36,EUR
100,2000,000000000052,0000,2024,152,01,100,23361.59,EUR
100,1000,000000000053,0000,2023,153,01,100,39749.54,EUR
100,2000,000000000054,0000,2024,154,01,100,45803.64,EUR
100,1000,000000000055,0000,2023,155,01,100,49493.98,EUR
100,2000,000000000056,0000,2024,156,01,100,32985.38,EUR
100,1000,000000000057,0000,2023,157,01,100,33189.54,EUR
100,2000,000000000058,0000,2024,158,01,100,60208.97,EUR
100,1000,000000000059,0000,2023,159,01,100,66169.47,EUR
100,2000,000000000060,0000,2024,160,01,100,70761.69,EUR
100,1000,000000000061,0000,2023,161,01,100,34603.65,EUR
100,2000,000000000062,0000,2024,162,01,100,75867.19,EUR
100,1000,000000000063,0000,2023,163,01,100,47916.52,EUR
100,2000,000000000064,0000,2024,164,01,100,38642.08,EUR
100,1000,000000000065,0000,2023,165,01,100,73738.62,EUR
100,2000,000000000066,0000,2024,166,01,100,98355.98,EUR
100,1000,000000000067,0000,2023,167,01,100,86203.75,EUR
100,2000,000000000068,0000,2024,168,01,100,27667.15,EUR
100,1000,000000000069,0000,2023,169,01,100,88238.76,EUR
100,2000,000000000070,0000,2024,170,01,100,81095.31,EUR
100,1000,000000000071,0000,2023,171,01,100,10277.85,EUR
100,2000,000000000072,0000,2024,172,01,100,92950.08,EUR
100,1000,000000000073,0000,2023,173,01,100,99566.19,EUR
100,2000,000000000074,0000,2024,174,01,100,66892.08,EUR
100,1000,000000000075,0000,2023,175,01,100,30291.39,EUR
100,2000,000000000076,0000,2024,176,01,100,34455.57,EUR
100,1000,000000000077,0000,2023,177,01,100,67610.39,EUR
100,2000,000000000078,0000,2024,178,01,100,24756.1,EUR
100,1000,000000000079,0000,2023,179,01,100,2363.02,EUR
100,2000,000000000080,0000,2024,180,01,100,10823.56,EUR
100,1000,000000000081,0000,2023,181,01,100,94639.28,EUR
100,2000,000000000082,0000,2024,182,01,100,4548.41,EUR
100,1000,000000000083,0000,2023,183,01,100,33879.3,EUR
100,2000,000000000084,0000,2024,184,01,100,66156.05,EUR
100,1000,000000000085,0000,2023,185,01,100,36005.3,EUR
100,2000,000000000086,0000,2024,186,01,100,72013.0,EUR
100,1000,000000000087,0000,2023,187,01,100,62258.24,EUR
100,2000,000000000088,0000,2024,188,01,100,49466.97,EUR
100,1000,000000000089,0000,2023,189,01,100,6884.52,EUR
100,2000,000000000090,0000,2024,190,01,100,27916.9,EUR
100,1000,000000000091,0000,2023,191,01,100,29728.59,EUR
100,2000,000000000092,0000,2024,192,01,100,87236.1,EUR
100,1000,000000000093,0000,2023,193,01,100,37385.52,EUR
100,2000,000000000094,0000,2024,194,01,100,8174.87,EUR
100,1000,000000000095,0000,2023,195,01,100,24773.98,EUR
100,2000,000000000096,0000,2024,196,01,100,65206.93,EUR
100,1000,000000000097,0000,2023,197,01,100,3583.46,EUR
100,2000,000000000098,0000,2024,198,01,100,6084.05,EUR
100,1000,000000000099,0000,2023,199,01,100,58716.26,EUR
100,2000,000000000100,0000,2024,200,01,100,65601.98,EUR
100,1000,000000000001,0000,2023,201,01,100,85273.91,EUR
100,2000,000000000002,0000,2024,202,01,100,70750.13,EUR
100,1000,000000000003,0000,2023,203,01,100,48064.8,EUR
100,2000,000000000004,0000,2024,204,01,100,68492.76,EUR
100,1000,000000000005,0000,2023,205,01,100,98355.65,EUR
100,2000,000000000006,0000,2024,206,01,100,57433.48,EUR
100,1000,000000000007,0000,2023,207,01,100,81866.09,EUR
100,2000,000000000008,0000,2024,208,01,100,24561.61,EUR
100,1000,000000000009,0000,2023,209,01,100,54551.45,EUR
100,2000,000000000010,0000,2024,210,01,100,40894.69,EUR
100,1000,000000000011,0000,2023,211,01,100,69748.52,EUR
100,2000,000000000012,0000,2024,212,01,100,90007.21,EUR
100,1000,000000000013,0000,2023,213,01,100,31600.45,EUR
100,2000,000000000014,0000,2024,214,01,100,46031.43,EUR
100,1000,000000000015,0000,2023,215,01,100,92489.28,EUR
100,2000,000000000016,0000,2024,216,01,100,96820.86,EUR
100,1000,000000000017,0000,2023,217,01,100,33080.14,EUR
100,2000,000000000018,0000,2024,218,01,100,43342.79,EUR
100,1000,000000000019,0000,2023,219,01,100,30838.32,EUR
100,2000,000000000020,0000,2024,220,01,100,1561.25,EUR
100,1000,000000000021,0000,2023,221,01,100,67148.08,EUR
100,2000,000000000022,0000,2024,222,01,100,31171.56,EUR
100,1000,000000000023,0000,2023,223,01,100,60000.67,EUR
100,2000,000000000024,0000,2024,224,01,100,8799.65,EUR
100,1000,000000000025,0000,2023,225,01,100,53617.49,EUR
100,2000,000000000026,0000,2024,226,01,100,68639.06,EUR
100,1000,000000000027,0000,2023,227,01,100,88341.44,EUR
100,2000,000000000028,0000,2024,228,01,100,65408.32,EUR
100,1000,000000000029,0000,2023,229,01,100,28677.78,EUR
100,2000,000000000030,0000,2024,230,01,100,20652.57,EUR
100,1000,000000000031,0000,2023,231,01,100,44779.72,EUR
100,2000,000000000032,0000,2024,232,01,100,27634.54,EUR
100,1000,000000000033,0000,2023,233,01,100,76639.59,EUR
100,2000,000000000034,0000,2024,234,01,100,67267.75,EUR
100,1000,000000000035,0000,2023,235,01,100,61806.25,EUR
100,2000,000000000036,0000,2024,236,01,100,62895.01,EUR
100,1000,000000000037,0000,2023,237,01,100,64462.06,EUR
100,2000,000000000038,0000,2024,238,01,100,45644.21,EUR
100,1000,000000000039,0000,2023,239,01,100,11398.12,EUR
100,2000,000000000040,0000,2024,240,01,100,50371.28,EUR
100,1000,000000000041,0000,2023,241,01,100,28211.78,EUR
100,2000,000000000042,0000,2024,242,01,100,76357.81,EUR
100,1000,000000000043,0000,2023,243,01,100,29229.52,EUR
100,2000,000000000044,0000,2024,244,01,100,9097.17,EUR
100,1000,000000000045,0000,2023,245,01,100,82038.64,EUR
100,2000,000000000046,0000,2024,246,01,100,21199.77,EUR
100,1000,000000000047,0000,2023,247,01,100,35685.82,EUR
100,2000,000000000048,0000,2024,248,01,100,84360.4,EUR
100,1000,000000000049,0000,2023,249,01,100,76553.61,EUR
100,2000,000000000050,0000,2024,250,01,100,22253.34,EUR
100,1000,000000000051,0000,2023,251,01,100,43140.11,EUR
100,2000,000000000052,0000,2024,252,01,100,75985.27,EUR
100,1000,000000000053,0000,2023,253,01,100,43856.15,EUR
100,2000,000000000054,0000,2024,254,01,100,85131.78,EUR
100,1000,000000000055,0000,2023,255,01,100,33187.98,EUR
100,2000,000000000056,0000,2024,256,01,100,43128.62,EUR
100,1000,000000000057,0000,2023,257,01,100,29286.33,EUR
100,2000,000000000058,0000,2024,258,01,100,99805.29,EUR
100,1000,000000000059,0000,2023,259,01,100,98423.28,EUR
100,2000,000000000060,0000,2024,260,01,100,46079.59,EUR
100,1000,000000000061,0000,2023,261,01,100,47809.9,EUR
100,2000,000000000062,0000,2024,262,01,100,11613.34,EUR
100,1000,000000000063,0000,2023,263,01,100,29896.91,EUR
100,2000,000000000064,0000,2024,264,01,100,26648.78,EUR
100,1000,000000000065,0000,2023,265,01,100,97564.94,EUR
100,2000,000000000066,0000,2024,266,01,100,56873.03,EUR
100,1000,000000000067,0000,2023,267,01,100,25519.93,EUR
100,2000,000000000068,0000,2024,268,01,100,17418.28,EUR
100,1000,000000000069,0000,2023,269,01,100,87245.65,EUR
100,2000,000000000070,0000,2024,270,01,100,32952.56,EUR
100,1000,000000000071,0000,2023,271,01,100,45532.99,EUR
100,2000,000000000072,0000,2024,272,01,100,50610.71,EUR
100,1000,000000000073,0000,2023,273,01,100,93939.38,EUR
100,2000,000000000074,0000,2024,274,01,100,20966.44,EUR
100,1000,000000000075,0000,2023,275,01,100,12091.78,EUR
100,2000,000000000076,0000,2024,276,01,100,74494.44,EUR
100,1000,000000000077,0000,2023,277,01,100,33467.46,EUR
100,2000,000000000078,0000,2024,278,01,100,29021.71,EUR
100,1000,000000000079,0000,2023,279,01,100,61723.14,EUR
100,2000,000000000080,0000,2024,280,01,100,71466.18,EUR
100,1000,000000000081,0000,2023,281,01,100,42330.47,EUR
100,2000,000000000082,0000,2024,282,01,100,65396.52,EUR
100,1000,000000000083,0000,2023,283,01,100,6336.1,EUR
100,2000,000000000084,0000,2024,284,01,100,68906.44,EUR
100,1000,000000000085,0000,2023,285,01,100,60620.82,EUR
100,2000,000000000086,0000,2024,286,01,100,92140.03,EUR
100,1000,000000000087,0000,2023,287,01,100,6270.78,EUR
100,2000,000000000088,0000,2024,288,01,100,13240.89,EUR
100,1000,000000000089,0000,2023,289,01,100,55197.72,EUR
100,2000,000000000090,0000,2024,290,01,100,23354.38,EUR
100,1000,000000000091,0000,2023,291,01,100,82145.14,EUR
100,2000,000000000092,0000,2024,292,01,100,30916.88,EUR
100,1000,000000000093,0000,2023,293,01,100,37868.82,EUR
100,2000,000000000094,0000,2024,294,01,100,79924.42,EUR
100,1000,000000000095,0000,2023,295,01,100,32256.11,EUR
100,2000,000000000096,0000,2024,296,01,100,22400.07,EUR
100,1000,000000000097,0000,2023,297,01,100,34169.51,EUR
100,2000,000000000098,0000,2024,298,01,100,32671.27,EUR
100,1000,000000000099,0000,2023,299,01,100,47356.05,EUR
100,2000,000000000100,0000,2024,300,01,100,88035.89,EUR
100,1000,000000000001,0000,2023,301,01,100,39629.25,EUR
100,2000,000000000002,0000,2024,302,01,100,44899.51,EUR
100,1000,000000000003,0000,2023,303,01,100,80209.63,EUR
100,2000,000000000004,0000,2024,304,01,100,15331.82,EUR
100,1000,000000000005,0000,2023,305,01,100,33737.22,EUR
100,2000,000000000006,0000,2024,306,01,100,95758.89,EUR
100,1000,000000000007,0000,2023,307,01,100,92204.33,EUR
100,2000,000000000008,0000,2024,308,01,100,14199.1,EUR
100,1000,000000000009,0000,2023,309,01,100,72988.4,EUR
100,2000,000000000010,0000,2024,310,01,100,25083.3,EUR
100,1000,000000000011,0000,2023,311,01,100,90527.93,EUR
100,2000,000000000012,0000,2024,312,01,100,9900.36,EUR
100,1000,000000000013,0000,2023,313,01,100,15664.64,EUR
100,2000,000000000014,0000,2024,314,01,100,7373.11,EUR
100,1000,000000000015,0000,2023,315,01,100,67217.6,EUR
100,2000,000000000016,0000,2024,316,01,100,95892.51,EUR
100,1000,000000000017,0000,2023,317,01,100,31798.85,EUR
100,2000,000000000018,0000,2024,318,01,100,20794.06,EUR
100,1000,000000000019,0000,2023,319,01,100,95869.41,EUR
100,2000,000000000020,0000,2024,320,01,100,48355.47,EUR
100,1000,000000000021,0000,2023,321,01,100,22793.5,EUR
100,2000,000000000022,0000,2024,322,01,100,30656.34,EUR
100,1000,000000000023,0000,2023,323,01,100,91417.61,EUR
100,2000,000000000024,0000,2024,324,01,100,66229.62,EUR
100,1000,000000000025,0000,2023,325,01,100,21739.82,EUR
100,2000,000000000026,0000,2024,326,01,100,4289.53,EUR
100,1000,000000000027,0000,2023,327,01,100,52883.2,EUR
100,2000,000000000028,0000,2024,328,01,100,64650.67,EUR
100,1000,000000000029,0000,2023,329,01,100,44290.14,EUR
100,2000,000000000030,0000,2024,330,01,100,68818.12,EUR
100,1000,000000000031,0000,2023,331,01,100,80096.15,EUR
100,2000,000000000032,0000,2024,332,01,100,9955.89,EUR
100,1000,000000000033,0000,2023,333,01,100,57327.69,EUR
100,2000,000000000034,0000,2024,334,01,100,90283.15,EUR
100,1000,000000000035,0000,2023,335,01,100,78598.14,EUR
100,2000,000000000036,0000,2024,336,01,100,50903.98,EUR
100,1000,000000000037,0000,2023,337,01,100,91960.48,EUR
100,2000,000000000038,0000,2024,338,01,100,89692.87,EUR
100,1000,000000000039,0000,2023,339,01,100,27547.24,EUR
100,2000,000000000040,0000,2024,340,01,100,66228.21,EUR
100,1000,000000000041,0000,2023,341,01,100,12610.4,EUR
100,2000,000000000042,0000,2024,342,01,100,43943.82,EUR
100,1000,000000000043,0000,2023,343,01,100,54775.42,EUR
100,2000,000000000044,0000,2024,344,01,100,12135.1,EUR
100,1000,000000000045,0000,2023,345,01,100,27178.32,EUR
100,2000,000000000046,0000,2024,346,01,100,16033.39,EUR
100,1000,000000000047,0000,2023,347,01,100,33099.37,EUR
100,2000,000000000048,0000,2024,348,01,100,72377.59,EUR
100,1000,000000000049,0000,2023,349,01,100,40527.13,EUR
100,2000,000000000050,0000,2024,350,01,100,42663.0,EUR
100,1000,000000000051,0000,2023,351,01,100,64856.12,EUR
100,2000,000000000052,0000,2024,352,01,100,40571.38,EUR
100,1000,000000000053,0000,2023,353,01,100,14509.87,EUR
100,2000,000000000054,0000,2024,354,01,100,95891.66,EUR
100,1000,000000000055,0000,2023,355,01,100,13760.59,EUR
100,2000,000000000056,0000,2024,356,01,100,66050.59,EUR
100,1000,000000000057,0000,2023,357,01,100,65623.33,EUR
100,2000,000000000058,0000,2024,358,01,100,73430.23,EUR
100,1000,000000000059,0000,2023,359,01,100,56811.58,EUR
100,2000,000000000060,0000,2024,360,01,100,17049.44,EUR
100,1000,000000000061,0000,2023,361,01,100,78109.57,EUR
100,2000,000000000062,0000,2024,362,01,100,87175.93,EUR
100,1000,000000000063,0000,2023,363,01,100,31258.59,EUR
100,2000,000000000064,0000,2024,364,01,100,36231.51,EUR
100,1000,000000000065,0000,2023,365,01,100,19213.46,EUR
100,2000,000000000066,0000,2024,366,01,100,13416.45,EUR
100,1000,000000000067,0000,2023,367,01,100,66939.8,EUR
100,2000,000000000068,0000,2024,368,01,100,40019.56,EUR
100,1000,000000000069,0000,2023,369,01,100,77771.26,EUR
100,2000,000000000070,0000,2024,370,01,100,59744.75,EUR
100,1000,000000000071,0000,2023,371,01,100,25806.25,EUR
100,2000,000000000072,0000,2024,372,01,100,40918.76,EUR
100,1000,000000000073,0000,2023,373,01,100,34715.83,EUR
100,2000,000000000074,0000,2024,374,01,100,68046.36,EUR
100,1000,000000000075,0000,2023,375,01,100,67575.65,EUR
100,2000,000000000076,0000,2024,376,01,100,66884.54,EUR
100,1000,000000000077,0000,2023,377,01,100,45626.51,EUR
100,2000,000000000078,0000,2024,378,01,100,56448.26,EUR
100,1000,000000000079,0000,2023,379,01,100,52783.21,EUR
100,2000,000000000080,0000,2024,380,01,100,58531.88,EUR
100,1000,000000000081,0000,2023,381,01,100,90933.38,EUR
100,2000,000000000082,0000,2024,382,01,100,58835.54,EUR
100,1000,000000000083,0000,2023,383,01,100,7631.2,EUR
100,2000,000000000084,0000,2024,384,01,100,61158.63,EUR
100,1000,000000000085,0000,2023,385,01,100,40383.54,EUR
100,2000,000000000086,0000,2024,386,01,100,95974.78,EUR
100,1000,000000000087,0000,2023,387,01,100,28555.62,EUR
100,2000,000000000088,0000,2024,388,01,100,24212.17,EUR
100,1000,000000000089,0000,2023,389,01,100,56553.81,EUR
100,2000,000000000090,0000,2024,390,01,100,41656.36,EUR
100,1000,000000000091,0000,2023,391,01,100,99422.73,EUR
100,2000,000000000092,0000,2024,392,01,100,81419.51,EUR
100,1000,000000000093,0000,2023,393,01,100,80037.05,EUR
100,2000,000000000094,0000,2024,394,01,100,96431.88,EUR
100,1000,000000000095,0000,2023,395,01,100,46294.66,EUR
100,2000,000000000096,0000,2024,396,01,100,91984.93,EUR
100,1000,000000000097,0000,2023,397,01,100,30581.89,EUR
100,2000,000000000098,0000,2024,398,01,100,2265.32,EUR
100,1000,000000000099,0000,2023,399,01,100,44737.06,EUR
100,2000,000000000100,0000,2024,400,01,100,80620.22,EUR
100,1000,000000000001,0000,2023,401,01,100,62804.81,EUR
100,2000,000000000002,0000,2024,402,01,100,94101.26,EUR
100,1000,000000000003,0000,2023,403,01,100,44384.61,EUR
100,2000,000000000004,0000,2024,404,01,100,64780.19,EUR
100,1000,000000000005,0000,2023,405,01,100,36263.89,EUR
100,2000,000000000006,0000,2024,406,01,100,32019.14,EUR
100,1000,000000000007,0000,2023,407,01,100,40537.19,EUR
100,2000,000000000008,0000,2024,408,01,100,90624.7,EUR
100,1000,000000000009,0000,2023,409,01,100,20310.64,EUR
100,2000,000000000010,0000,2024,410,01,100,44922.18,EUR
100,1000,000000000011,0000,2023,411,01,100,41732.47,EUR
100,2000,000000000012,0000,2024,412,01,100,13973.28,EUR
100,1000,000000000013,0000,2023,413,01,100,11175.7,EUR
100,2000,000000000014,0000,2024,414,01,100,26243.83,EUR
100,1000,000000000015,0000,2023,415,01,100,45504.45,EUR
100,2000,000000000016,0000,2024,416,01,100,18721.36,EUR
100,1000,000000000017,0000,2023,417,01,100,69044.93,EUR
100,2000,000000000018,0000,2024,418,01,100,19975.85,EUR
100,1000,000000000019,0000,2023,419,01,100,24038.43,EUR
100,2000,000000000020,0000,2024,420,01,100,79029.36,EUR
100,1000,000000000021,0000,2023,421,01,100,8623.19,EUR
100,2000,000000000022,0000,2024,422,01,100,46104.6,EUR
100,1000,000000000023,0000,2023,423,01,100,89767.42,EUR
100,2000,000000000024,0000,2024,424,01,100,22695.82,EUR
100,1000,000000000025,0000,2023,425,01,100,99695.95,EUR
100,2000,000000000026,0000,2024,426,01,100,20648.7,EUR
100,1000,000000000027,0000,2023,427,01,100,39638.34,EUR
100,2000,000000000028,0000,2024,428,01,100,65236.36,EUR
100,1000,000000000029,0000,2023,429,01,100,12641.3,EUR
100,2000,000000000030,0000,2024,430,01,100,49460.21,EUR
100,1000,000000000031,0000,2023,431,01,100,55027.08,EUR
100,2000,000000000032,0000,2024,432,01,100,69847.72,EUR
100,1000,000000000033,0000,2023,433,01,100,3524.39,EUR
100,2000,000000000034,0000,2024,434,01,100,42604.58,EUR
100,1000,000000000035,0000,2023,435,01,100,66175.69,EUR
100,2000,000000000036,0000,2024,436,01,100,42543.04,EUR
100,1000,000000000037,0000,2023,437,01,100,94725.76,EUR
100,2000,000000000038,0000,2024,438,01,100,86371.84,EUR
100,1000,000000000039,0000,2023,439,01,100,38605.67,EUR
100,2000,000000000040,0000,2024,440,01,100,70816.6,EUR
100,1000,000000000041,0000,2023,441,01,100,43532.83,EUR
100,2000,000000000042,0000,2024,442,01,100,39036.73,EUR
100,1000,000000000043,0000,2023,443,01,100,18669.76,EUR
100,2000,000000000044,0000,2024,444,01,100,10151.51,EUR
100,1000,000000000045,0000,2023,445,01,100,22554.3,EUR
100,2000,000000000046,0000,2024,446,01,100,68350.24,EUR
100,1000,000000000047,0000,2023,447,01,100,10579.68,EUR
100,2000,000000000048,0000,2024,448,01,100,36810.78,EUR
