MANDT,MATNR,MTART,MBRSH,MATKL,MEINS,BRGEW,GEWEI,ERDAT
100,MAT000055,VERP,N,DOOS,ST,0.958,KG,20201128
100,MAT000056,VERP,N,DOOS,ST,3.292,KG,20190724
100,MAT000057,VERP,N,FOLIE,ST,0.989,KG,20210413
100,MAT000058,VERP,N,FOLIE,ST,2.236,KG,20220726
100,MAT000059,VERP,N,ETIKET,ST,2.509,KG,20180706
100,MAT000060,VERP,N,ETIKET,ST,2.403,KG,20200416
100,MAT000061,VERP,N,PALLET,ST,1.733,KG,20211004
100,MAT000062,VERP,N,PALLET,ST,0.613,KG,20181126
100,MAT000063,VERP,N,DOOS,ST,1.716,KG,20211121
100,MAT000064,FERT,N,KOEKROL,ST,2.528,KG,20210918
100,MAT000065,FERT,N,WAFEL,ST,4.731,KG,20220725
100,MAT000066,FERT,N,BISCUIT,ST,3.826,KG,20180317
100,MAT000067,VERP,N,DOOS,ST,2.329,KG,20191007
100,MAT000068,VERP,N,PALLET,ST,1.337,KG,20180826
100,MAT000069,FERT,N,BISCUIT,ST,4.854,KG,20200407
100,MAT000070,FERT,N,WAFEL,ST,4.338,KG,20220817
100,MAT000071,FERT,N,STROOPWFL,ST,4.942,KG,20210908
100,MAT000072,VERP,N,DOOS,ST,4.36,KG,20200804
100,MAT000073,VERP,N,FOLIE,ST,2.125,KG,20190120
100,MAT000074,VERP,N,PALLET,ST,2.64,KG,20210629
100,MAT000075,FERT,N,SPECULAAS,ST,3.807,KG,20210704
100,MAT000076,VERP,N,ETIKET,ST,2.266,KG,20180416
100,MAT000077,FERT,N,WAFEL,ST,1.097,KG,20210129
100,MAT000078,VERP,N,PALLET,ST,0.742,KG,20190813
100,MAT000079,ROH,N,SUIKER,KG,2.247,KG,20211201
100,MAT000080,FERT,N,WAFEL,ST,2.475,KG,20180301
100,MAT000081,ROH,N,MEEL,KG,4.868,KG,20210531
100,MAT000082,FERT,N,SPECULAAS,ST,4.017,KG,20211224
100,MAT000083,FERT,N,KOEKROL,ST,0.876,KG,20210202
100,MAT000084,ROH,N,CHOCOLA,KG,0.167,KG,20200415
100,MAT000085,ROH,N,VANILLE,KG,0.557,KG,20220920
100,MAT000086,FERT,N,SPECULAAS,ST,4.573,KG,20200803
100,MAT000087,VERP,N,DOOS,ST,4.741,KG,20210819
100,MAT000088,ROH,N,MEEL,KG,4.178,KG,20201017
100,MAT000089,VERP,N,ETIKET,ST,4.67,KG,20190821
100,MAT000090,VERP,N,ETIKET,ST,2.593,KG,20190714
100,MAT000091,VERP,N,FOLIE,ST,2.136,KG,20200915
100,MAT000092,VERP,N,DOOS,ST,4.903,KG,20190515
100,MAT000093,FERT,N,WAFEL,ST,2.338,KG,20181024
100,MAT000094,ROH,N,MEEL,KG,1.98,KG,20210512
100,MAT000095,FERT,N,BISCUIT,ST,2.59,KG,20221206
100,MAT000096,ROH,N,SUIKER,KG,0.769,KG,20180523
100,MAT000097,ROH,N,KANEEL,KG,1.454,KG,20220606
100,MAT000098,ROH,N,BOTER,KG,4.287,KG,20191128
100,MAT000099,ROH,N,SUIKER,KG,4.678,KG,20201105
100,MAT000100,FERT,N,KOEKROL,ST,1.409,KG,20180106
100,MAT000101,VERP,N,DOOS,ST,1.486,KG,20190904
100,MAT000102,VERP,N,FOLIE,ST,4.204,KG,20210402
100,MAT000103,VERP,N,FOLIE,ST,4.995,KG,20200929
100,MAT000104,FERT,N,SPECULAAS,ST,4.34,KG,20200703
100,MAT000105,ROH,N,SUIKER,KG,2.739,KG,20191208
100,MAT000106,VERP,N,FOLIE,ST,1.729,KG,20220412
100,MAT000107,VERP,N,ETIKET,ST,2.763,KG,20200721
100,MAT000108,FERT,N,WAFEL,ST,4.671,KG,20221116
100,MAT000109,FERT,N,KOEKROL,ST,1.024,KG,20211129
100,MAT000110,ROH,N,SUIKER,KG,1.27,KG,20200224
100,MAT000111,FERT,N,WAFEL,ST,1.244,KG,20220508
100,MAT000112,VERP,N,ETIKET,ST,2.113,KG,20191014
100,MAT000113,FERT,N,SPECULAAS,ST,3.749,KG,20211215
100,MAT000114,ROH,N,KANEEL,KG,4.576,KG,20200220
100,MAT000115,ROH,N,BOTER,KG,1.992,KG,20210921
100,MAT000116,ROH,N,BOTER,KG,3.983,KG,20210828
100,MAT000117,FERT,N,STROOPWFL,ST,4.906,KG,20201011
100,MAT000118,VERP,N,ETIKET,ST,4.828,KG,20180916
100,MAT000119,VERP,N,PALLET,ST,2.561,KG,20210423
100,MAT000120,VERP,N,PALLET,ST,1.727,KG,20180725
100,MAT000121,ROH,N,BOTER,KG,4.384,KG,20200620
100,MAT000122,FERT,N,STROOPWFL,ST,0.589,KG,20200724
100,MAT000123,ROH,N,MEEL,KG,0.175,KG,20181023
100,MAT000124,FERT,N,BISCUIT,ST,2.109,KG,20210902
100,MAT000125,FERT,N,WAFEL,ST,4.853,KG,20180603
100,MAT000126,VERP,N,PALLET,ST,2.401,KG,20190627
100,MAT000127,VERP,N,DOOS,ST,1.759,KG,20211119
100,MAT000128,ROH,N,EIEREN,KG,2.048,KG,20180614
100,MAT000129,VERP,N,PALLET,ST,4.274,KG,20221012
100,MAT000130,VERP,N,ETIKET,ST,3.404,KG,20201228
100,MAT000131,VERP,N,DOOS,ST,1.962,KG,20191011
100,MAT000132,VERP,N,DOOS,ST,3.171,KG,20221223
100,MAT000133,VERP,N,ETIKET,ST,3.821,KG,20221122
100,MAT000134,VERP,N,ETIKET,ST,2.751,KG,20210618
100,MAT000135,FERT,N,KOEKROL,ST,0.435,KG,20210716
100,MAT000136,ROH,N,BOTER,KG,3.454,KG,20190812
100,MAT000137,ROH,N,MEEL,KG,4.987,KG,20220310
100,MAT000138,VERP,N,ETIKET,ST,0.543,KG,20180721
100,MAT000139,VERP,N,FOLIE,ST,3.826,KG,20211212
100,MAT000140,VERP,N,DOOS,ST,4.376,KG,20200627
100,MAT000141,VERP,N,ETIKET,ST,0.915,KG,20190906
100,MAT000142,VERP,N,FOLIE,ST,4.527,KG,20180405
100,MAT000143,FERT,N,KOEKROL,ST,1.689,KG,20180425
100,MAT000144,FERT,N,STROOPWFL,ST,1.538,KG,20200207
100,MAT000145,VERP,N,DOOS,ST,2.21,KG,20190516
100,MAT000146,VERP,N,ETIKET,ST,2.703,KG,20210305
100,MAT000147,ROH,N,MEEL,KG,3.441,KG,20190104
100,MAT000148,FERT,N,KOEKROL,ST,0.933,KG,20180611
100,MAT000149,ROH,N,BOTER,KG,3.087,KG,20200223
100,MAT000150,FERT,N,WAFEL,ST,3.137,KG,20190509
100,MAT000151,VERP,N,DOOS,ST,2.539,KG,20210409
100,MAT000152,FERT,N,SPECULAAS,ST,0.801,KG,20200802
100,MAT000153,FERT,N,STROOPWFL,ST,3.226,KG,20200730
100,MAT000154,FERT,N,WAFEL,ST,1.351,KG,20180120
100,MAT000155,VERP,N,PALLET,ST,4.505,KG,20200810
100,MAT000156,VERP,N,FOLIE,ST,4.516,KG,20211019
100,MAT000157,ROH,N,CHOCOLA,KG,2.778,KG,20180601
100,MAT000158,VERP,N,PALLET,ST,2.264,KG,20191209
100,MAT000159,FERT,N,STROOPWFL,ST,4.939,KG,20190905
100,MAT000160,VERP,N,FOLIE,ST,3.231,KG,20200518
100,MAT000161,VERP,N,ETIKET,ST,3.483,KG,20200724
100,MAT000162,ROH,N,KANEEL,KG,4.242,KG,20190212
100,MAT000163,VERP,N,ETIKET,ST,4.997,KG,20221014
100,MAT000164,ROH,N,CHOCOLA,KG,2.468,KG,20190501
100,MAT000165,ROH,N,MEEL,KG,1.969,KG,20200106
100,MAT000166,FERT,N,WAFEL,ST,2.917,KG,20211203
100,MAT000167,FERT,N,KOEKROL,ST,1.547,KG,20220827
100,MAT000168,FERT,N,STROOPWFL,ST,3.325,KG,20190717
100,MAT000169,VERP,N,FOLIE,ST,0.14,KG,20221107
100,MAT000170,VERP,N,FOLIE,ST,3.46,KG,20220306
100,MAT000171,FERT,N,BISCUIT,ST,4.871,KG,20210526
100,MAT000172,VERP,N,DOOS,ST,3.751,KG,20220902
100,MAT000173,FERT,N,BISCUIT,ST,4.53,KG,20190810
100,MAT000174,FERT,N,KOEKROL,ST,3.901,KG,20190417
100,MAT000175,FERT,N,STROOPWFL,ST,3.075,KG,20191223
100,MAT000176,FERT,N,KOEKROL,ST,1.173,KG,20190125
100,MAT000177,VERP,N,PALLET,ST,3.142,KG,20211020
100,MAT000178,FERT,N,STROOPWFL,ST,3.802,KG,20220421
100,MAT000179,FERT,N,STROOPWFL,ST,3.33,KG,20220913
100,MAT000180,VERP,N,PALLET,ST,0.77,KG,20180718
100,MAT000181,FERT,N,SPECULAAS,ST,4.527,KG,20210816
100,MAT000182,ROH,N,BOTER,KG,0.293,KG,20220604
100,MAT000183,FERT,N,BISCUIT,ST,2.26,KG,20210401
100,MAT000184,VERP,N,PALLET,ST,1.888,KG,20180927
100,MAT000185,ROH,N,EIEREN,KG,0.542,KG,20190828
100,MAT000186,ROH,N,EIEREN,KG,1.701,KG,20200430
100,MAT000187,VERP,N,DOOS,ST,0.961,KG,20180928
100,MAT000188,VERP,N,DOOS,ST,3.954,KG,20221130
100,MAT000189,FERT,N,SPECULAAS,ST,4.86,KG,20201223
100,MAT000190,VERP,N,ETIKET,ST,2.559,KG,20190713
100,MAT000191,FERT,N,WAFEL,ST,4.169,KG,20190611
100,MAT000192,FERT,N,WAFEL,ST,4.579,KG,20200913
100,MAT000193,VERP,N,PALLET,ST,4.84,KG,20190828
100,MAT000194,FERT,N,SPECULAAS,ST,3.758,KG,20191125
100,MAT000195,FERT,N,KOEKROL,ST,4.041,KG,20200817
100,MAT000196,ROH,N,BOTER,KG,4.818,KG,20181016
100,MAT000197,FERT,N,SPECULAAS,ST,3.795,KG,20190408
100,MAT000198,VERP,N,DOOS,ST,4.315,KG,20220123
100,MAT000199,FERT,N,STROOPWFL,ST,3.405,KG,20200324
100,MAT000200,FERT,N,BISCUIT,ST,4.84,KG,20220706
100,MAT000201,FERT,N,WAFEL,ST,2.831,KG,20180704
100,MAT000202,ROH,N,EIEREN,KG,3.974,KG,20180129
100,MAT000203,ROH,N,BOTER,KG,1.396,KG,20180911
100,MAT000204,ROH,N,MEEL,KG,2.328,KG,20211009
100,MAT000205,FERT,N,SPECULAAS,ST,3.77,KG,20190621
100,MAT000206,FERT,N,SPECULAAS,ST,2.964,KG,20220812
100,MAT000207,ROH,N,VANILLE,KG,3.229,KG,20200131
100,MAT000208,ROH,N,SUIKER,KG,0.631,KG,20190424
100,MAT000209,ROH,N,KANEEL,KG,2.41,KG,20210622
100,MAT000210,VERP,N,PALLET,ST,4.433,KG,20210223
100,MAT000211,FERT,N,WAFEL,ST,1.707,KG,20210603
100,MAT000212,ROH,N,BOTER,KG,1.185,KG,20180510
100,MAT000213,FERT,N,STROOPWFL,ST,3.213,KG,20200808
100,MAT000214,VERP,N,DOOS,ST,4.556,KG,20190911
100,MAT000215,VERP,N,ETIKET,ST,3.281,KG,20180827
100,MAT000216,FERT,N,BISCUIT,ST,0.785,KG,20180318
100,MAT000217,VERP,N,PALLET,ST,1.591,KG,20201005
100,MAT000218,VERP,N,FOLIE,ST,0.669,KG,20190426
100,MAT000219,FERT,N,STROOPWFL,ST,4.448,KG,20181005
100,MAT000220,FERT,N,WAFEL,ST,2.004,KG,20200130
100,MAT000221,FERT,N,STROOPWFL,ST,3.385,KG,20220302
100,MAT000222,FERT,N,WAFEL,ST,3.513,KG,20210111
100,MAT000223,ROH,N,MEEL,KG,2.154,KG,20220301
100,MAT000224,VERP,N,FOLIE,ST,3.66,KG,20221219
100,MAT000225,VERP,N,DOOS,ST,2.133,KG,20180722
100,MAT000226,VERP,N,DOOS,ST,4.185,KG,20210614
100,MAT000227,ROH,N,KANEEL,KG,2.1,KG,20190727
100,MAT000228,VERP,N,ETIKET,ST,0.26,KG,20200129
100,MAT000229,ROH,N,BOTER,KG,1.165,KG,20200629
100,MAT000230,VERP,N,ETIKET,ST,4.758,KG,20221018
100,MAT000231,FERT,N,KOEKROL,ST,1.877,KG,20211105
100,MAT000232,ROH,N,BOTER,KG,1.9,KG,20210813
100,MAT000233,VERP,N,ETIKET,ST,1.858,KG,20200326
100,MAT000234,ROH,N,SUIKER,KG,1.452,KG,20180908
100,MAT000235,FERT,N,BISCUIT,ST,4.75,KG,20220815
100,MAT000236,ROH,N,CHOCOLA,KG,2.328,KG,20210919
100,MAT000237,VERP,N,DOOS,ST,1.139,KG,20210802
100,MAT000238,FERT,N,STROOPWFL,ST,3.026,KG,20180213
100,MAT000239,FERT,N,STROOPWFL,ST,0.348,KG,20191115
100,MAT000240,ROH,N,BOTER,KG,1.293,KG,20180915
100,MAT000241,ROH,N,MEEL,KG,3.956,KG,20190225
100,MAT000242,FERT,N,KOEKROL,ST,0.436,KG,20220417
100,MAT000243,ROH,N,BOTER,KG,2.816,KG,20210415
100,MAT000244,ROH,N,VANILLE,KG,1.158,KG,20221117
100,MAT000245,VERP,N,ETIKET,ST,1.242,KG,20220505
100,MAT000246,VERP,N,DOOS,ST,0.823,KG,20210505
100,MAT000247,VERP,N,ETIKET,ST,0.114,KG,20221025
100,MAT000248,VERP,N,DOOS,ST,4.922,KG,20180924
100,MAT000249,FERT,N,KOEKROL,ST,2.747,KG,20220624
100,MAT000250,FERT,N,BISCUIT,ST,0.955,KG,20210915
100,MAT000251,VERP,N,FOLIE,ST,4.346,KG,20180927
100,MAT000252,ROH,N,SUIKER,KG,0.173,KG,20220606
100,MAT000253,VERP,N,FOLIE,ST,3.963,KG,20210420
100,MAT000254,VERP,N,ETIKET,ST,1.686,KG,20181223
100,MAT000255,FERT,N,KOEKROL,ST,1.4,KG,20180917
100,MAT000256,VERP,N,PALLET,ST,3.734,KG,20201213
100,MAT000257,ROH,N,VANILLE,KG,0.657,KG,20180511
100,MAT000258,FERT,N,BISCUIT,ST,2.434,KG,20220513
100,MAT000259,VERP,N,PALLET,ST,1.874,KG,20210430
100,MAT000260,ROH,N,MEEL,KG,0.634,KG,20201028
100,MAT000261,FERT,N,KOEKROL,ST,1.186,KG,20210613
100,MAT000262,FERT,N,KOEKROL,ST,0.312,KG,20220524
100,MAT000263,FERT,N,SPECULAAS,ST,4.553,KG,20210911
100,MAT000264,VERP,N,PALLET,ST,2.655,KG,20200727
100,MAT000265,VERP,N,DOOS,ST,3.252,KG,20180305
100,MAT000266,FERT,N,BISCUIT,ST,0.398,KG,20200907
100,MAT000267,VERP,N,FOLIE,ST,4.252,KG,20200523
100,MAT000268,VERP,N,DOOS,ST,3.462,KG,20201001
100,MAT000269,ROH,N,CHOCOLA,KG,3.591,KG,20200627
100,MAT000270,VERP,N,FOLIE,ST,0.46,KG,20180615
100,MAT000271,ROH,N,BOTER,KG,1.678,KG,20181031
100,MAT000272,FERT,N,KOEKROL,ST,0.422,KG,20190718
100,MAT000273,ROH,N,VANILLE,KG,3.159,KG,20210413
100,MAT000274,FERT,N,KOEKROL,ST,2.787,KG,20191028
100,MAT000275,FERT,N,WAFEL,ST,1.966,KG,20210508
100,MAT000276,VERP,N,DOOS,ST,2.7,KG,20200718
100,MAT000277,ROH,N,VANILLE,KG,2.577,KG,20200531
100,MAT000278,VERP,N,PALLET,ST,0.586,KG,20211208
100,MAT000279,VERP,N,FOLIE,ST,0.661,KG,20210902
100,MAT000280,FERT,N,WAFEL,ST,3.289,KG,20220424
100,MAT000281,FERT,N,SPECULAAS,ST,2.802,KG,20221108
100,MAT000282,FERT,N,WAFEL,ST,1.154,KG,20200713
100,MAT000283,VERP,N,ETIKET,ST,4.452,KG,20200427
100,MAT000284,ROH,N,VANILLE,KG,1.761,KG,20200717
100,MAT000285,VERP,N,FOLIE,ST,2.054,KG,20220203
100,MAT000286,ROH,N,BOTER,KG,0.566,KG,20200524
100,MAT000287,VERP,N,DOOS,ST,1.631,KG,20190607
100,MAT000288,ROH,N,VANILLE,KG,1.934,KG,20181109
100,MAT000289,FERT,N,SPECULAAS,ST,3.465,KG,20200829
100,MAT000290,FERT,N,WAFEL,ST,0.429,KG,20220831
100,MAT000291,ROH,N,SUIKER,KG,0.518,KG,20200603
100,MAT000292,ROH,N,VANILLE,KG,0.573,KG,20220222
100,MAT000293,FERT,N,WAFEL,ST,1.926,KG,20180924
100,MAT000294,FERT,N,WAFEL,ST,2.826,KG,20210416
100,MAT000295,ROH,N,SUIKER,KG,4.787,KG,20210224
100,MAT000296,ROH,N,VANILLE,KG,1.715,KG,20180908
100,MAT000297,FERT,N,KOEKROL,ST,2.113,KG,20221125
100,MAT000298,ROH,N,KANEEL,KG,3.36,KG,20220317
100,MAT000299,VERP,N,PALLET,ST,2.172,KG,20220116
100,MAT000300,VERP,N,ETIKET,ST,0.352,KG,20190813
100,MAT000301,FERT,N,BISCUIT,ST,3.042,KG,20191222
100,MAT000302,ROH,N,BOTER,KG,0.608,KG,20201105
100,MAT000303,VERP,N,ETIKET,ST,1.142,KG,20210906
100,MAT000304,FERT,N,BISCUIT,ST,2.463,KG,20221002
100,MAT000305,VERP,N,PALLET,ST,0.63,KG,20220928
100,MAT000306,ROH,N,KANEEL,KG,2.826,KG,20180824
100,MAT000307,ROH,N,EIEREN,KG,3.837,KG,20210321
100,MAT000308,VERP,N,DOOS,ST,1.208,KG,20200528
100,MAT000309,ROH,N,CHOCOLA,KG,4.241,KG,20220421
100,MAT000310,FERT,N,KOEKROL,ST,4.11,KG,20210610
100,MAT000311,FERT,N,SPECULAAS,ST,3.407,KG,20210214
100,MAT000312,FERT,N,STROOPWFL,ST,0.229,KG,20210909
100,MAT000313,VERP,N,FOLIE,ST,4.164,KG,20190702
100,MAT000314,ROH,N,EIEREN,KG,0.242,KG,20190714
100,MAT000315,FERT,N,KOEKROL,ST,3.543,KG,20190925
100,MAT000316,VERP,N,ETIKET,ST,4.616,KG,20191220
100,MAT000317,VERP,N,DOOS,ST,0.13,KG,20221117
100,MAT000318,VERP,N,ETIKET,ST,0.802,KG,20210908
100,MAT000319,VERP,N,ETIKET,ST,2.064,KG,20181018
100,MAT000320,VERP,N,PALLET,ST,3.731,KG,20180304
100,MAT000321,ROH,N,EIEREN,KG,0.55,KG,20201222
100,MAT000322,VERP,N,ETIKET,ST,1.154,KG,20200509
100,MAT000323,VERP,N,FOLIE,ST,2.323,KG,20181119
100,MAT000324,FERT,N,SPECULAAS,ST,1.913,KG,20220117
100,MAT000325,VERP,N,PALLET,ST,1.689,KG,20210308
100,MAT000326,VERP,N,FOLIE,ST,3.021,KG,20221215
100,MAT000327,VERP,N,ETIKET,ST,0.358,KG,20181119
100,MAT000328,ROH,N,CHOCOLA,KG,3.797,KG,20180412
100,MAT000329,FERT,N,KOEKROL,ST,3.402,KG,20190712
100,MAT000330,ROH,N,BOTER,KG,2.271,KG,20200518
100,MAT000331,ROH,N,VANILLE,KG,2.48,KG,20200624
100,MAT000332,VERP,N,ETIKET,ST,2.13,KG,20190318
100,MAT000333,ROH,N,EIEREN,KG,3.799,KG,20180822
100,MAT000334,ROH,N,KANEEL,KG,1.791,KG,20180816
100,MAT000335,FERT,N,STROOPWFL,ST,1.488,KG,20211021
100,MAT000336,ROH,N,VANILLE,KG,3.006,KG,20201215
100,MAT000337,VERP,N,FOLIE,ST,3.369,KG,20180404
100,MAT000338,VERP,N,DOOS,ST,1.181,KG,20210512
100,MAT000339,ROH,N,CHOCOLA,KG,0.368,KG,20190223
100,MAT000340,VERP,N,ETIKET,ST,1.577,KG,20190309
100,MAT000341,FERT,N,WAFEL,ST,3.86,KG,20220415
100,MAT000342,VERP,N,ETIKET,ST,1.352,KG,20191103
100,MAT000343,FERT,N,WAFEL,ST,0.688,KG,20201015
100,MAT000344,FERT,N,BISCUIT,ST,3.76,KG,20181226
100,MAT000345,FERT,N,WAFEL,ST,0.733,KG,20201226
100,MAT000346,ROH,N,CHOCOLA,KG,3.548,KG,20201021
100,MAT000347,FERT,N,SPECULAAS,ST,2.838,KG,20210930
100,MAT000348,ROH,N,KANEEL,KG,4.05,KG,20180528
100,MAT000349,VERP,N,FOLIE,ST,2.046,KG,20220228
100,MAT000350,VERP,N,PALLET,ST,0.307,KG,20180208
100,MAT000351,ROH,N,EIEREN,KG,2.353,KG,20180609
100,MAT000352,FERT,N,WAFEL,ST,4.324,KG,20210325
100,MAT000353,VERP,N,DOOS,ST,2.203,KG,20200408
100,MAT000354,FERT,N,SPECULAAS,ST,3.577,KG,20200505
100,MAT000355,FERT,N,WAFEL,ST,1.519,KG,20200409
100,MAT000356,VERP,N,PALLET,ST,0.202,KG,20191028
100,MAT000357,FERT,N,STROOPWFL,ST,0.942,KG,20210619
100,MAT000358,FERT,N,BISCUIT,ST,2.354,KG,20211113
100,MAT000359,ROH,N,BOTER,KG,4.607,KG,20180630
100,MAT000360,ROH,N,KANEEL,KG,2.24,KG,20180805
100,MAT000361,VERP,N,ETIKET,ST,1.292,KG,20210421
100,MAT000362,ROH,N,CHOCOLA,KG,2.062,KG,20180611
100,MAT000363,VERP,N,PALLET,ST,2.039,KG,20190928
100,MAT000364,VERP,N,PALLET,ST,3.754,KG,20190330
100,MAT000365,FERT,N,SPECULAAS,ST,1.732,KG,20181211
100,MAT000366,ROH,N,SUIKER,KG,0.474,KG,20210720
100,MAT000367,FERT,N,KOEKROL,ST,0.659,KG,20201110
100,MAT000368,VERP,N,PALLET,ST,1.05,KG,20220509
100,MAT000369,VERP,N,FOLIE,ST,1.812,KG,20220129
100,MAT000370,ROH,N,EIEREN,KG,4.795,KG,20210814
100,MAT000371,FERT,N,KOEKROL,ST,4.094,KG,20190429
100,MAT000372,FERT,N,KOEKROL,ST,0.604,KG,20190609
100,MAT000373,ROH,N,SUIKER,KG,1.067,KG,20210518
100,MAT000374,VERP,N,DOOS,ST,0.849,KG,20220404
100,MAT000375,FERT,N,WAFEL,ST,3.312,KG,20181229
100,MAT000376,FERT,N,SPECULAAS,ST,4.761,KG,20210710
100,MAT000377,VERP,N,FOLIE,ST,2.521,KG,20220326
100,MAT000378,VERP,N,FOLIE,ST,2.862,KG,20210401
100,MAT000379,FERT,N,SPECULAAS,ST,2.3,KG,20221212
100,MAT000380,ROH,N,SUIKER,KG,2.866,KG,20210725
100,MAT000381,VERP,N,PALLET,ST,4.934,KG,20191024
100,MAT000382,ROH,N,MEEL,KG,4.335,KG,20210708
100,MAT000383,FERT,N,SPECULAAS,ST,1.649,KG,20200619
100,MAT000384,ROH,N,VANILLE,KG,0.435,KG,20200624
100,MAT000385,VERP,N,DOOS,ST,3.194,KG,20220619
100,MAT000386,VERP,N,PALLET,ST,1.446,KG,20180426
100,MAT000387,ROH,N,MEEL,KG,1.825,KG,20180601
100,MAT000388,ROH,N,SUIKER,KG,1.621,KG,20200714
100,MAT000389,ROH,N,VANILLE,KG,0.284,KG,20200126
100,MAT000390,ROH,N,CHOCOLA,KG,4.175,KG,20180607
100,MAT000391,VERP,N,FOLIE,ST,3.259,KG,20221018
100,MAT000392,ROH,N,BOTER,KG,0.542,KG,20210501
100,MAT000393,ROH,N,EIEREN,KG,2.585,KG,20200805
100,MAT000394,ROH,N,MEEL,KG,2.944,KG,20220610
100,MAT000395,ROH,N,SUIKER,KG,3.721,KG,20180326
100,MAT000396,VERP,N,PALLET,ST,2.304,KG,20220717
100,MAT000397,VERP,N,FOLIE,ST,2.901,KG,20190121
100,MAT000398,ROH,N,BOTER,KG,1.675,KG,20200901
100,MAT000399,VERP,N,DOOS,ST,2.557,KG,20180507
100,MAT000400,ROH,N,CHOCOLA,KG,2.308,KG,20220719
100,MAT000401,VERP,N,DOOS,ST,4.506,KG,20191205
100,MAT000402,FERT,N,SPECULAAS,ST,4.914,KG,20180622
100,MAT000403,FERT,N,SPECULAAS,ST,2.572,KG,20181220
100,MAT000404,FERT,N,BISCUIT,ST,0.292,KG,20211220
100,MAT000405,ROH,N,EIEREN,KG,2.245,KG,20200618
100,MAT000406,ROH,N,BOTER,KG,2.668,KG,20210602
