MANDT,BUKRS,KUNNR,UMSKS,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,2000,0000000387,,20240411,0010000115,2024,0010000115,4846.08,EUR
100,1000,0000000135,,20221214,0010000116,2023,0010000116,1313.89,EUR
100,2000,0000000269,,20241020,0010000117,2024,0010000117,790.77,EUR
100,1000,0000000271,,20240914,0010000118,2023,0010000118,222.23,EUR
100,2000,0000000079,,20240123,0010000119,2024,0010000119,3297.94,EUR
100,1000,0000000164,,20240620,0010000120,2023,0010000120,1103.86,EUR
100,2000,0000000449,,20230715,0010000121,2024,0010000121,3907.91,EUR
100,1000,0000000140,,20240408,0010000122,2023,0010000122,3334.19,EUR
100,2000,0000000382,,20220418,0010000123,2024,0010000123,3675.49,EUR
100,1000,0000000202,,20230624,0010000124,2023,0010000124,1254.64,EUR
100,2000,0000000062,,20230330,0010000125,2024,0010000125,252.4,EUR
100,1000,0000000299,,20220727,0010000126,2023,0010000126,2729.52,EUR
100,2000,0000000487,,20240518,0010000127,2024,0010000127,599.81,EUR
100,1000,0000000066,,20220604,0010000128,2023,0010000128,3233.19,EUR
100,2000,0000000092,,20230521,0010000129,2024,0010000129,4655.9,EUR
100,1000,0000000338,,20231105,0010000130,2023,0010000130,4979.68,EUR
100,2000,0000000457,,20231122,0010000131,2024,0010000131,1310.46,EUR
100,1000,0000000320,,20231102,0010000132,2023,0010000132,554.5,EUR
100,2000,0000000040,,20221022,0010000133,2024,0010000133,2079.54,EUR
100,1000,0000000467,,20220601,0010000134,2023,0010000134,4991.63,EUR
100,2000,0000000288,,20220625,0010000135,2024,0010000135,2830.28,EUR
100,1000,0000000411,,20231113,0010000136,2023,0010000136,2325.65,EUR
100,2000,0000000417,,20241229,0010000137,2024,0010000137,2608.15,EUR
100,1000,0000000413,,20241004,0010000138,2023,0010000138,4868.25,EUR
100,2000,0000000156,,20240320,0010000139,2024,0010000139,3487.4,EUR
100,1000,0000000268,,20220119,0010000140,2023,0010000140,952.88,EUR
100,2000,0000000115,,20231209,0010000141,2024,0010000141,1846.47,EUR
100,1000,0000000169,,20241010,0010000142,2023,0010000142,4182.93,EUR
100,2000,0000000157,,20240824,0010000143,2024,0010000143,3633.85,EUR
100,1000,0000000312,,20241029,0010000144,2023,0010000144,4900.6,EUR
100,2000,0000000385,,20220909,0010000145,2024,0010000145,3621.88,EUR
100,1000,0000000440,,20230101,0010000146,2023,0010000146,2474.69,EUR
100,2000,0000000192,,20240910,0010000147,2024,0010000147,2896.66,EUR
100,1000,0000000360,,20221211,0010000148,2023,0010000148,4133.24,EUR
100,2000,0000000411,,20240913,0010000149,2024,0010000149,1704.78,EUR
100,1000,0000000368,,20241025,0010000150,2023,0010000150,2814.98,EUR
100,2000,0000000219,,20230523,0010000151,2024,0010000151,1281.34,EUR
100,1000,0000000398,,20220925,0010000152,2023,0010000152,3743.16,EUR
100,2000,0000000116,,20221009,0010000153,2024,0010000153,2560.91,EUR
100,1000,0000000113,,20240928,0010000154,2023,0010000154,1489.99,EUR
100,2000,0000000443,,20240702,0010000155,2024,0010000155,1873.25,EUR
100,1000,0000000287,,20220612,0010000156,2023,0010000156,4178.22,EUR
100,2000,0000000129,,20230517,0010000157,2024,0010000157,1464.57,EUR
100,1000,0000000056,,20240321,0010000158,2023,0010000158,4077.9,EUR
100,2000,0000000496,,20241204,0010000159,2024,0010000159,3021.73,EUR
100,1000,0000000106,,20220502,0010000160,2023,0010000160,3366.14,EUR
100,2000,0000000436,,20220705,0010000161,2024,0010000161,1910.87,EUR
100,1000,0000000470,,20221005,0010000162,2023,0010000162,2337.31,EUR
100,2000,0000000473,,20230628,0010000163,2024,0010000163,3482.54,EUR
100,1000,0000000080,,20230218,0010000164,2023,0010000164,1308.01,EUR
100,2000,0000000405,,20221001,0010000165,2024,0010000165,4665.32,EUR
100,1000,0000000248,,20220815,0010000166,2023,0010000166,1493.52,EUR
100,2000,0000000376,,20220925,0010000167,2024,0010000167,1287.44,EUR
100,1000,0000000428,,20220826,0010000168,2023,0010000168,2604.21,EUR
100,2000,0000000235,,20240128,0010000169,2024,0010000169,2022.44,EUR
100,1000,0000000083,,20230306,0010000170,2023,0010000170,3046.73,EUR
100,2000,0000000301,,20240403,0010000171,2024,0010000171,910.48,EUR
100,1000,0000000054,,20240812,0010000172,2023,0010000172,4945.6,EUR
100,2000,0000000253,,20230330,0010000173,2024,0010000173,3848.32,EUR
100,1000,0000000298,,20230128,0010000174,2023,0010000174,111.07,EUR
100,2000,0000000325,,20230916,0010000175,2024,0010000175,1935.16,EUR
100,1000,0000000068,,20230403,0010000176,2023,0010000176,753.25,EUR
100,2000,0000000021,,20220708,0010000177,2024,0010000177,3881.44,EUR
100,1000,0000000186,,20230716,0010000178,2023,0010000178,4958.11,EUR
100,2000,0000000168,,20241117,0010000179,2024,0010000179,1496.63,EUR
100,1000,0000000082,,20220202,0010000180,2023,0010000180,4953.25,EUR
100,2000,0000000010,,20231223,0010000181,2024,0010000181,530.62,EUR
100,1000,0000000179,,20220829,0010000182,2023,0010000182,3633.25,EUR
100,2000,0000000472,,20240522,0010000183,2024,0010000183,3130.82,EUR
100,1000,0000000215,,20221223,0010000184,2023,0010000184,4265.22,EUR
100,2000,0000000224,,20241102,0010000185,2024,0010000185,1406.53,EUR
100,1000,0000000114,,20220906,0010000186,2023,0010000186,1784.86,EUR
100,2000,0000000230,,20240916,0010000187,2024,0010000187,2750.85,EUR
100,1000,0000000320,,20230808,0010000188,2023,0010000188,2407.4,EUR
100,2000,0000000261,,20230729,0010000189,2024,0010000189,4283.76,EUR
100,1000,0000000171,,20240119,0010000190,2023,0010000190,2020.06,EUR
100,2000,0000000409,,20220504,0010000191,2024,0010000191,1847.26,EUR
100,1000,0000000173,,20240423,0010000192,2023,0010000192,3841.56,EUR
100,2000,0000000084,,20230214,0010000193,2024,0010000193,867.41,EUR
100,1000,0000000326,,20241112,0010000194,2023,0010000194,2972.46,EUR
100,2000,0000000440,,20220706,0010000195,2024,0010000195,1389.78,EUR
100,1000,0000000322,,20230918,0010000196,2023,0010000196,4779.47,EUR
100,2000,0000000047,,20240130,0010000197,2024,0010000197,2174.4,EUR
100,1000,0000000397,,20231007,0010000198,2023,0010000198,1236.82,EUR
100,2000,0000000492,,20220603,0010000199,2024,0010000199,4465.43,EUR
100,1000,0000000457,,20240812,0010000200,2023,0010000200,3946.7,EUR
100,2000,0000000152,,20230306,0010000201,2024,0010000201,1278.76,EUR
100,1000,0000000288,,20220126,0010000202,2023,0010000202,2934.33,EUR
100,2000,0000000293,,20220904,0010000203,2024,0010000203,3662.45,EUR
100,1000,0000000213,,20230520,0010000204,2023,0010000204,4238.44,EUR
100,2000,0000000026,,20220725,0010000205,2024,0010000205,3257.26,EUR
100,1000,0000000434,,20220423,0010000206,2023,0010000206,2011.04,EUR
100,2000,0000000214,,20230706,0010000207,2024,0010000207,3353.81,EUR
100,1000,0000000414,,20240922,0010000208,2023,0010000208,399.78,EUR
100,2000,0000000193,,20230821,0010000209,2024,0010000209,523.29,EUR
100,1000,0000000400,,20220725,0010000210,2023,0010000210,3122.34,EUR
100,2000,0000000218,,20241124,0010000211,2024,0010000211,1321.84,EUR
100,1000,0000000309,,20220406,0010000212,2023,0010000212,108.84,EUR
100,2000,0000000248,,20230918,0010000213,2024,0010000213,3496.83,EUR
100,1000,0000000209,,20240306,0010000214,2023,0010000214,4378.74,EUR
100,2000,0000000205,,20230813,0010000215,2024,0010000215,1409.24,EUR
100,1000,0000000330,,20241120,0010000216,2023,0010000216,4939.83,EUR
100,2000,0000000205,,20230929,0010000217,2024,0010000217,3543.81,EUR
100,1000,0000000086,,20240312,0010000218,2023,0010000218,4866.31,EUR
100,2000,0000000029,,20241117,0010000219,2024,0010000219,4255.03,EUR
100,1000,0000000422,,20220511,0010000220,2023,0010000220,919.75,EUR
100,2000,0000000336,,20230428,0010000221,2024,0010000221,2687.46,EUR
100,1000,0000000158,,20240915,0010000222,2023,0010000222,1153.64,EUR
100,2000,0000000222,,20221123,0010000223,2024,0010000223,1380.46,EUR
100,1000,0000000187,,20220307,0010000224,2023,0010000224,3168.27,EUR
100,2000,0000000052,,20240625,0010000225,2024,0010000225,121.89,EUR
100,1000,0000000378,,20230623,0010000226,2023,0010000226,2353.44,EUR
100,2000,0000000234,,20231008,0010000227,2024,0010000227,3311.78,EUR
100,1000,0000000160,,20240328,0010000228,2023,0010000228,2766.61,EUR
100,2000,0000000096,,20220123,0010000229,2024,0010000229,3589.18,EUR
100,1000,0000000021,,20220310,0010000230,2023,0010000230,2040.02,EUR
100,2000,0000000205,,20231101,0010000231,2024,0010000231,3490.43,EUR
100,1000,0000000398,,20230228,0010000232,2023,0010000232,4997.12,EUR
100,2000,0000000159,,20230313,0010000233,2024,0010000233,4485.86,EUR
100,1000,0000000418,,20230427,0010000234,2023,0010000234,1046.5,EUR
100,2000,0000000231,,20221125,0010000235,2024,0010000235,3143.76,EUR
100,1000,0000000245,,20220305,0010000236,2023,0010000236,1316.04,EUR
100,2000,0000000466,,20220114,0010000237,2024,0010000237,1660.52,EUR
100,1000,0000000368,,20241214,0010000238,2023,0010000238,2908.04,EUR
100,2000,0000000411,,20221202,0010000239,2024,0010000239,758.19,EUR
100,1000,0000000027,,20230324,0010000240,2023,0010000240,977.38,EUR
100,2000,0000000282,,20240126,0010000241,2024,0010000241,4702.24,EUR
100,1000,0000000316,,20230311,0010000242,2023,0010000242,1196.67,EUR
100,2000,0000000327,,20240714,0010000243,2024,0010000243,3907.34,EUR
100,1000,0000000081,,20240418,0010000244,2023,0010000244,4846.32,EUR
100,2000,0000000464,,20220910,0010000245,2024,0010000245,693.16,EUR
100,1000,0000000370,,20240604,0010000246,2023,0010000246,2660.3,EUR
100,2000,0000000392,,20230610,0010000247,2024,0010000247,3459.52,EUR
100,1000,0000000393,,20240604,0010000248,2023,0010000248,2534.9,EUR
100,2000,0000000188,,20241214,0010000249,2024,0010000249,4812.36,EUR
100,1000,0000000111,,20220916,0010000250,2023,0010000250,436.86,EUR
100,2000,0000000195,,20221028,0010000251,2024,0010000251,2681.7,EUR
100,1000,0000000437,,20240301,0010000252,2023,0010000252,2248.35,EUR
100,2000,0000000137,,20221031,0010000253,2024,0010000253,3480.12,EUR
100,1000,0000000170,,20220404,0010000254,2023,0010000254,4421.42,EUR
100,2000,0000000400,,20240812,0010000255,2024,0010000255,1607.05,EUR
100,1000,0000000461,,20231023,0010000256,2023,0010000256,4304.64,EUR
100,2000,0000000363,,20240723,0010000257,2024,0010000257,3184.74,EUR
100,1000,0000000091,,20230423,0010000258,2023,0010000258,4553.43,EUR
100,2000,0000000071,,20220509,0010000259,2024,0010000259,4646.41,EUR
100,1000,0000000080,,20221219,0010000260,2023,0010000260,2346.8,EUR
100,2000,0000000139,,20230328,0010000261,2024,0010000261,3130.48,EUR
100,1000,0000000499,,20230125,0010000262,2023,0010000262,4595.93,EUR
100,2000,0000000264,,20230323,0010000263,2024,0010000263,1363.83,EUR
100,1000,0000000365,,20240323,0010000264,2023,0010000264,4390.47,EUR
100,2000,0000000496,,20240613,0010000265,2024,0010000265,3863.58,EUR
100,1000,0000000085,,20241130,0010000266,2023,0010000266,1161.32,EUR
100,2000,0000000398,,20220528,0010000267,2024,0010000267,3704.06,EUR
100,1000,0000000065,,20220219,0010000268,2023,0010000268,415.04,EUR
100,2000,0000000073,,20220220,0010000269,2024,0010000269,1675.87,EUR
100,1000,0000000447,,20230903,0010000270,2023,0010000270,4998.52,EUR
100,2000,0000000203,,20240629,0010000271,2024,0010000271,2013.1,EUR
100,1000,0000000350,,20230405,0010000272,2023,0010000272,2046.19,EUR
100,2000,0000000089,,20240610,0010000273,2024,0010000273,3463.46,EUR
100,1000,0000000446,,20230908,0010000274,2023,0010000274,541.93,EUR
100,2000,0000000474,,20220424,0010000275,2024,0010000275,353.04,EUR
100,1000,0000000134,,20230513,0010000276,2023,0010000276,2326.92,EUR
100,2000,0000000043,,20220404,0010000277,2024,0010000277,3963.83,EUR
100,1000,0000000146,,20230317,0010000278,2023,0010000278,327.69,EUR
100,2000,0000000090,,20220116,0010000279,2024,0010000279,545.7,EUR
100,1000,0000000175,,20220118,0010000280,2023,0010000280,2994.36,EUR
100,2000,0000000158,,20220125,0010000281,2024,0010000281,3480.22,EUR
100,1000,0000000305,,20230508,0010000282,2023,0010000282,1388.68,EUR
100,2000,0000000097,,20231218,0010000283,2024,0010000283,1387.1,EUR
100,1000,0000000021,,20220403,0010000284,2023,0010000284,4572.81,EUR
100,2000,0000000157,,20230726,0010000285,2024,0010000285,3666.54,EUR
100,1000,0000000478,,20240402,0010000286,2023,0010000286,3267.87,EUR
100,2000,0000000279,,20220122,0010000287,2024,0010000287,629.99,EUR
100,1000,0000000343,,20230424,0010000288,2023,0010000288,2796.4,EUR
100,2000,0000000245,,20240505,0010000289,2024,0010000289,3031.43,EUR
100,1000,0000000007,,20221208,0010000290,2023,0010000290,1656.2,EUR
100,2000,0000000263,,20240616,0010000291,2024,0010000291,2119.76,EUR
100,1000,0000000151,,20240705,0010000292,2023,0010000292,1429.38,EUR
100,2000,0000000485,,20230305,0010000293,2024,0010000293,984.86,EUR
100,1000,0000000155,,20240311,0010000294,2023,0010000294,2826.3,EUR
100,2000,0000000445,,20240612,0010000295,2024,0010000295,3838.11,EUR
100,1000,0000000089,,20220329,0010000296,2023,0010000296,3346.12,EUR
100,2000,0000000447,,20221124,0010000297,2024,0010000297,3684.58,EUR
100,1000,0000000095,,20231104,0010000298,2023,0010000298,734.12,EUR
100,2000,0000000463,,20240321,0010000299,2024,0010000299,4779.54,EUR
100,1000,0000000199,,20241124,0010000300,2023,0010000300,2965.6,EUR
100,2000,0000000132,,20240727,0010000301,2024,0010000301,4819.15,EUR
100,1000,0000000452,,20230608,0010000302,2023,0010000302,903.23,EUR
100,2000,0000000236,,20240207,0010000303,2024,0010000303,4283.42,EUR
100,1000,0000000345,,20230909,0010000304,2023,0010000304,4635.69,EUR
100,2000,0000000147,,20240513,0010000305,2024,0010000305,1661.33,EUR
100,1000,0000000249,,20230515,0010000306,2023,0010000306,1459.06,EUR
100,2000,0000000493,,20230622,0010000307,2024,0010000307,141.15,EUR
100,1000,0000000334,,20241002,0010000308,2023,0010000308,4134.32,EUR
100,2000,0000000298,,20240507,0010000309,2024,0010000309,234.64,EUR
100,1000,0000000262,,20230603,0010000310,2023,0010000310,1798.97,EUR
100,2000,0000000271,,20240826,0010000311,2024,0010000311,4419.16,EUR
100,1000,0000000339,,20220527,0010000312,2023,0010000312,1565.62,EUR
100,2000,0000000498,,20231106,0010000313,2024,0010000313,3632.52,EUR
100,1000,0000000214,,20220301,0010000314,2023,0010000314,1447.29,EUR
100,2000,0000000093,,20240729,0010000315,2024,0010000315,1300.54,EUR
100,1000,0000000288,,20240518,0010000316,2023,0010000316,583.15,EUR
100,2000,0000000005,,20220106,0010000317,2024,0010000317,3553.1,EUR
100,1000,0000000482,,20220815,0010000318,2023,0010000318,4231.69,EUR
100,2000,0000000089,,20220821,0010000319,2024,0010000319,4471.85,EUR
100,1000,0000000385,,20220724,0010000320,2023,0010000320,4632.78,EUR
100,2000,0000000022,,20231002,0010000321,2024,0010000321,3270.32,EUR
100,1000,0000000332,,20220326,0010000322,2023,0010000322,2527.11,EUR
100,2000,0000000061,,20240714,0010000323,2024,0010000323,2816.93,EUR
100,1000,0000000226,,20220209,0010000324,2023,0010000324,3659.81,EUR
100,2000,0000000057,,20220601,0010000325,2024,0010000325,4971.12,EUR
100,1000,0000000307,,20230226,0010000326,2023,0010000326,2704.95,EUR
100,2000,0000000170,,20220112,0010000327,2024,0010000327,4571.85,EUR
100,1000,0000000479,,20231003,0010000328,2023,0010000328,4227.1,EUR
100,2000,0000000470,,20220521,0010000329,2024,0010000329,4381.28,EUR
100,1000,0000000460,,20230327,0010000330,2023,0010000330,4877.36,EUR
100,2000,0000000160,,20241226,0010000331,2024,0010000331,1813.84,EUR
100,1000,0000000196,,20221025,0010000332,2023,0010000332,2598.05,EUR
100,2000,0000000259,,20220205,0010000333,2024,0010000333,4534.54,EUR
100,1000,0000000037,,20220516,0010000334,2023,0010000334,3161.25,EUR
100,2000,0000000057,,20220906,0010000335,2024,0010000335,4940.78,EUR
100,1000,0000000347,,20240917,0010000336,2023,0010000336,371.45,EUR
100,2000,0000000383,,20241001,0010000337,2024,0010000337,3751.75,EUR
100,1000,0000000126,,20230321,0010000338,2023,0010000338,826.36,EUR
100,2000,0000000235,,20230320,0010000339,2024,0010000339,852.37,EUR
100,1000,0000000208,,20230126,0010000340,2023,0010000340,1001.8,EUR
100,2000,0000000058,,20240722,0010000341,2024,0010000341,1538.3,EUR
100,1000,0000000025,,20220316,0010000342,2023,0010000342,4658.86,EUR
100,2000,0000000163,,20220328,0010000343,2024,0010000343,1501.27,EUR
100,1000,0000000130,,20220715,0010000344,2023,0010000344,3354.47,EUR
100,2000,0000000378,,20240717,0010000345,2024,0010000345,4984.34,EUR
100,1000,0000000332,,20231017,0010000346,2023,0010000346,4766.45,EUR
100,2000,0000000097,,20221130,0010000347,2024,0010000347,1772.33,EUR
100,1000,0000000313,,20220527,0010000348,2023,0010000348,4234.28,EUR
100,2000,0000000144,,20231231,0010000349,2024,0010000349,3132.76,EUR
100,1000,0000000469,,20220526,0010000350,2023,0010000350,1364.78,EUR
100,2000,0000000264,,20240512,0010000351,2024,0010000351,3227.58,EUR
100,1000,0000000128,,20230526,0010000352,2023,0010000352,3069.38,EUR
100,2000,0000000299,,20221215,0010000353,2024,0010000353,1133.02,EUR
100,1000,0000000171,,20220502,0010000354,2023,0010000354,3130.52,EUR
100,2000,0000000446,,20220224,0010000355,2024,0010000355,4006.88,EUR
100,1000,0000000445,,20231027,0010000356,2023,0010000356,4694.35,EUR
100,2000,0000000020,,20240912,0010000357,2024,0010000357,1638.53,EUR
100,1000,0000000230,,20240118,0010000358,2023,0010000358,3501.92,EUR
100,2000,0000000430,,20231105,0010000359,2024,0010000359,970.44,EUR
100,1000,0000000113,,20230101,0010000360,2023,0010000360,3512.43,EUR
100,2000,0000000061,,20241112,0010000361,2024,0010000361,2819.18,EUR
100,1000,0000000141,,20231120,0010000362,2023,0010000362,314.47,EUR
100,2000,0000000049,,20240416,0010000363,2024,0010000363,847.75,EUR
100,1000,0000000370,,20230324,0010000364,2023,0010000364,1865.33,EUR
100,2000,0000000276,,20220121,0010000365,2024,0010000365,2440.68,EUR
100,1000,0000000270,,20240307,0010000366,2023,0010000366,1110.28,EUR
100,2000,0000000117,,20220827,0010000367,2024,0010000367,1824.34,EUR
100,1000,0000000043,,20240718,0010000368,2023,0010000368,2983.54,EUR
100,2000,0000000328,,20240128,0010000369,2024,0010000369,2739.02,EUR
100,1000,0000000359,,20230310,0010000370,2023,0010000370,3521.4,EUR
100,2000,0000000372,,20221213,0010000371,2024,0010000371,258.86,EUR
100,1000,0000000091,,20230727,0010000372,2023,0010000372,3671.76,EUR
100,2000,0000000034,,20231001,0010000373,2024,0010000373,1173.91,EUR
100,1000,0000000363,,20220108,0010000374,2023,0010000374,4747.09,EUR
100,2000,0000000240,,20240113,0010000375,2024,0010000375,4967.02,EUR
100,1000,0000000325,,20240906,0010000376,2023,0010000376,2914.27,EUR
