MANDT,AUFNR,POSNR,MATNR,PSMNG,MEINS,WERKS
100,1000096,0001,MAT000255,4771,ST,1100
100,1000097,0001,MAT000005,5649,ST,1000
100,1000098,0001,MAT000159,5634,ST,1200
100,1000099,0001,MAT000205,6591,ST,1000
100,1000100,0001,MAT000465,9005,ST,1000
100,1000101,0001,MAT000069,3905,ST,1200
100,1000102,0001,MAT000419,9773,ST,1200
100,1000103,0001,MAT000122,9030,ST,1200
100,1000104,0001,MAT000419,8364,ST,1000
100,1000105,0001,MAT000419,9488,ST,1000
100,1000106,0001,MAT000281,9824,ST,1200
100,1000107,0001,MAT000010,2733,ST,1200
100,1000108,0001,MAT000304,2205,ST,1200
100,1000109,0001,MAT000205,9863,ST,1100
100,1000110,0001,MAT000451,279,ST,1100
100,1000111,0001,MAT000213,3238,ST,1000
100,1000112,0001,MAT000453,7062,ST,1100
100,1000113,0001,MAT000007,4807,ST,1100
100,1000114,0001,MAT000335,2076,ST,1100
100,1000115,0001,MAT000109,3135,ST,1000
100,1000116,0001,MAT000002,4774,ST,1000
100,1000117,0001,MAT000122,1010,ST,1200
100,1000118,0001,MAT000358,6190,ST,1000
100,1000119,0001,MAT000357,647,ST,1100
100,1000120,0001,MAT000005,6659,ST,1000
100,1000121,0001,MAT000221,1792,ST,1200
100,1000122,0001,MAT000113,9767,ST,1200
100,1000123,0001,MAT000018,9699,ST,1000
100,1000124,0001,MAT000003,9213,ST,1200
100,1000125,0001,MAT000222,2144,ST,1200
100,1000126,0001,MAT000365,4576,ST,1000
100,1000127,0001,MAT000216,6650,ST,1200
100,1000128,0001,MAT000263,3827,ST,1000
100,1000129,0001,MAT000379,3858,ST,1200
100,1000130,0001,MAT000421,6759,ST,1000
100,1000131,0001,MAT000343,9932,ST,1200
100,1000132,0001,MAT000242,8682,ST,1000
100,1000133,0001,MAT000487,5700,ST,1000
100,1000134,0001,MAT000352,2388,ST,1000
100,1000135,0001,MAT000220,9879,ST,1200
100,1000136,0001,MAT000018,215,ST,1100
100,1000137,0001,MAT000275,2892,ST,1000
100,1000138,0001,MAT000019,3140,ST,1100
100,1000139,0001,MAT000304,7076,ST,1100
100,1000140,0001,MAT000280,9197,ST,1200
100,1000141,0001,MAT000238,453,ST,1000
100,1000142,0001,MAT000403,4133,ST,1000
100,1000143,0001,MAT000007,987,ST,1000
100,1000144,0001,MAT000006,4749,ST,1000
100,1000145,0001,MAT000474,6566,ST,1200
100,1000146,0001,MAT000352,1250,ST,1100
100,1000147,0001,MAT000329,5391,ST,1200
100,1000148,0001,MAT000347,816,ST,1000
100,1000149,0001,MAT000250,7130,ST,1000
100,1000150,0001,MAT000111,4357,ST,1200
100,1000151,0001,MAT000194,2725,ST,1100
100,1000152,0001,MAT000174,1812,ST,1100
100,1000153,0001,MAT000242,5210,ST,1000
100,1000154,0001,MAT000468,5151,ST,1100
100,1000155,0001,MAT000143,5889,ST,1100
100,1000156,0001,MAT000354,1924,ST,1200
100,1000157,0001,MAT000171,7808,ST,1000
100,1000158,0001,MAT000311,274,ST,1200
100,1000159,0001,MAT000275,8793,ST,1000
100,1000160,0001,MAT000433,688,ST,1100
100,1000161,0001,MAT000310,7000,ST,1000
100,1000162,0001,MAT000329,3000,ST,1000
100,1000163,0001,MAT000365,3258,ST,1100
100,1000164,0001,MAT000199,3915,ST,1000
100,1000165,0001,MAT000192,4017,ST,1200
100,1000166,0001,MAT000070,4806,ST,1200
100,1000167,0001,MAT000109,2068,ST,1200
100,1000168,0001,MAT000152,3044,ST,1000
100,1000169,0001,MAT000069,2734,ST,1100
100,1000170,0001,MAT000010,8031,ST,1000
100,1000171,0001,MAT000003,4103,ST,1100
100,1000172,0001,MAT000201,7933,ST,1100
100,1000173,0001,MAT000367,8551,ST,1000
100,1000174,0001,MAT000104,6496,ST,1200
100,1000175,0001,MAT000372,7700,ST,1200
100,1000176,0001,MAT000341,5646,ST,1000
100,1000177,0001,MAT000221,3583,ST,1100
100,1000178,0001,MAT000282,6370,ST,1200
100,1000179,0001,MAT000422,8221,ST,1100
100,1000180,0001,MAT000354,5859,ST,1200
100,1000181,0001,MAT000344,7918,ST,1000
100,1000182,0001,MAT000491,6645,ST,1200
100,1000183,0001,MAT000453,7227,ST,1000
100,1000184,0001,MAT000191,2156,ST,1000
100,1000185,0001,MAT000070,4875,ST,1200
100,1000186,0001,MAT000242,7237,ST,1100
100,1000187,0001,MAT000192,1628,ST,1100
100,1000188,0001,MAT000239,6889,ST,1100
100,1000189,0001,MAT000491,5870,ST,1200
100,1000190,0001,MAT000206,8622,ST,1200
100,1000191,0001,MAT000071,1980,ST,1100
100,1000192,0001,MAT000250,4622,ST,1100
100,1000193,0001,MAT000258,8280,ST,1000
100,1000194,0001,MAT000111,5148,ST,1100
100,1000195,0001,MAT000070,261,ST,1200
100,1000196,0001,MAT000003,1502,ST,1100
100,1000197,0001,MAT000135,9937,ST,1100
100,1000198,0001,MAT000465,1181,ST,1200
100,1000199,0001,MAT000143,3954,ST,1200
100,1000200,0001,MAT000219,1279,ST,1200
100,1000201,0001,MAT000144,3814,ST,1100
100,1000202,0001,MAT000008,5792,ST,1000
100,1000203,0001,MAT000289,7413,ST,1100
100,1000204,0001,MAT000095,8564,ST,1000
100,1000205,0001,MAT000014,3620,ST,1200
100,1000206,0001,MAT000497,913,ST,1200
100,1000207,0001,MAT000471,1722,ST,1100
100,1000208,0001,MAT000064,9208,ST,1000
100,1000209,0001,MAT000006,9314,ST,1200
100,1000210,0001,MAT000154,6624,ST,1100
100,1000211,0001,MAT000324,9373,ST,1000
100,1000212,0001,MAT000352,8160,ST,1100
100,1000213,0001,MAT000311,3651,ST,1100
100,1000214,0001,MAT000113,3360,ST,1200
100,1000215,0001,MAT000242,7014,ST,1000
100,1000216,0001,MAT000124,4119,ST,1200
100,1000217,0001,MAT000414,7170,ST,1000
100,1000218,0001,MAT000231,2800,ST,1000
100,1000219,0001,MAT000152,2911,ST,1200
100,1000220,0001,MAT000159,2207,ST,1100
100,1000221,0001,MAT000315,3440,ST,1000
100,1000222,0001,MAT000471,7185,ST,1200
100,1000223,0001,MAT000064,6220,ST,1200
100,1000224,0001,MAT000222,2008,ST,1200
100,1000225,0001,MAT000255,3659,ST,1200
100,1000226,0001,MAT000249,4216,ST,1200
100,1000227,0001,MAT000261,7877,ST,1000
100,1000228,0001,MAT000465,9173,ST,1000
100,1000229,0001,MAT000178,9279,ST,1000
100,1000230,0001,MAT000173,3550,ST,1000
100,1000231,0001,MAT000125,5553,ST,1000
100,1000232,0001,MAT000124,3752,ST,1100
100,1000233,0001,MAT000221,6561,ST,1200
100,1000234,0001,MAT000433,4965,ST,1100
100,1000235,0001,MAT000365,4099,ST,1100
100,1000236,0001,MAT000011,3794,ST,1200
100,1000237,0001,MAT000012,190,ST,1100
100,1000238,0001,MAT000500,3686,ST,1100
100,1000239,0001,MAT000153,8760,ST,1200
100,1000240,0001,MAT000104,5982,ST,1100
100,1000241,0001,MAT000250,6007,ST,1200
100,1000242,0001,MAT000383,1164,ST,1200
100,1000243,0001,MAT000235,2378,ST,1200
100,1000244,0001,MAT000211,1402,ST,1200
100,1000245,0001,MAT000428,4246,ST,1100
100,1000246,0001,MAT000003,8518,ST,1100
100,1000247,0001,MAT000483,3680,ST,1200
100,1000248,0001,MAT000404,3503,ST,1200
100,1000249,0001,MAT000111,2712,ST,1200
100,1000250,0001,MAT000383,396,ST,1000
100,1000251,0001,MAT000199,9946,ST,1100
100,1000252,0001,MAT000077,7701,ST,1000
100,1000253,0001,MAT000483,4149,ST,1000
100,1000254,0001,MAT000077,5903,ST,1200
100,1000255,0001,MAT000275,8649,ST,1100
100,1000256,0001,MAT000179,7816,ST,1100
100,1000257,0001,MAT000143,3403,ST,1100
100,1000258,0001,MAT000113,851,ST,1100
100,1000259,0001,MAT000183,2359,ST,1000
100,1000260,0001,MAT000379,5021,ST,1200
100,1000261,0001,MAT000239,335,ST,1000
100,1000262,0001,MAT000250,6545,ST,1200
100,1000263,0001,MAT000125,7369,ST,1000
100,1000264,0001,MAT000412,8662,ST,1000
100,1000265,0001,MAT000199,4194,ST,1100
100,1000266,0001,MAT000191,6574,ST,1200
100,1000267,0001,MAT000015,1767,ST,1000
100,1000268,0001,MAT000343,3116,ST,1000
100,1000269,0001,MAT000199,4534,ST,1000
100,1000270,0001,MAT000144,830,ST,1200
100,1000271,0001,MAT000017,9292,ST,1100
100,1000272,0001,MAT000421,7179,ST,1200
100,1000273,0001,MAT000093,8458,ST,1200
100,1000274,0001,MAT000179,4196,ST,1100
100,1000275,0001,MAT000403,2853,ST,1100
100,1000276,0001,MAT000413,1961,ST,1000
100,1000277,0001,MAT000293,6749,ST,1200
100,1000278,0001,MAT000266,8960,ST,1200
100,1000279,0001,MAT000402,6173,ST,1200
100,1000280,0001,MAT000379,1257,ST,1100
100,1000281,0001,MAT000166,5110,ST,1200
100,1000282,0001,MAT000427,7033,ST,1200
100,1000283,0001,MAT000108,3133,ST,1200
100,1000284,0001,MAT000135,6252,ST,1100
100,1000285,0001,MAT000016,5914,ST,1100
100,1000286,0001,MAT000474,4400,ST,1100
100,1000287,0001,MAT000412,7218,ST,1200
100,1000288,0001,MAT000213,6606,ST,1200
100,1000289,0001,MAT000211,3409,ST,1200
100,1000290,0001,MAT000175,6770,ST,1200
100,1000291,0001,MAT000499,6009,ST,1100
100,1000292,0001,MAT000375,4237,ST,1200
100,1000293,0001,MAT000367,1890,ST,1200
100,1000294,0001,MAT000002,9704,ST,1100
100,1000295,0001,MAT000191,4532,ST,1200
100,1000296,0001,MAT000372,753,ST,1100
100,1000297,0001,MAT000250,4050,ST,1200
100,1000298,0001,MAT000199,4846,ST,1200
100,1000299,0001,MAT000497,2684,ST,1000
100,1000300,0001,MAT000235,2023,ST,1100
100,1000301,0001,MAT000433,3386,ST,1200
100,1000302,0001,MAT000414,1619,ST,1000
100,1000303,0001,MAT000231,2385,ST,1200
100,1000304,0001,MAT000451,1335,ST,1100
100,1000305,0001,MAT000289,3661,ST,1100
100,1000306,0001,MAT000111,2287,ST,1100
100,1000307,0001,MAT000376,8449,ST,1200
100,1000308,0001,MAT000352,2846,ST,1000
100,1000309,0001,MAT000453,6572,ST,1000
100,1000310,0001,MAT000451,5779,ST,1200
100,1000311,0001,MAT000069,3241,ST,1000
100,1000312,0001,MAT000250,226,ST,1000
100,1000313,0001,MAT000453,582,ST,1100
100,1000314,0001,MAT000200,5589,ST,1100
100,1000315,0001,MAT000152,3460,ST,1200
100,1000316,0001,MAT000154,3835,ST,1100
100,1000317,0001,MAT000071,7042,ST,1100
100,1000318,0001,MAT000222,4297,ST,1000
100,1000319,0001,MAT000093,2540,ST,1200
100,1000320,0001,MAT000250,4309,ST,1200
100,1000321,0001,MAT000086,1461,ST,1200
100,1000322,0001,MAT000312,5711,ST,1000
100,1000323,0001,MAT000343,2975,ST,1200
100,1000324,0001,MAT000070,147,ST,1100
100,1000325,0001,MAT000341,9207,ST,1100
100,1000326,0001,MAT000343,1668,ST,1200
100,1000327,0001,MAT000402,1812,ST,1200
100,1000328,0001,MAT000166,9797,ST,1200
100,1000329,0001,MAT000238,4185,ST,1200
100,1000330,0001,MAT000499,8284,ST,1000
100,1000331,0001,MAT000153,6510,ST,1000
100,1000332,0001,MAT000154,1959,ST,1000
100,1000333,0001,MAT000474,8032,ST,1000
100,1000334,0001,MAT000249,7003,ST,1000
100,1000335,0001,MAT000483,7551,ST,1200
100,1000336,0001,MAT000108,8071,ST,1100
100,1000337,0001,MAT000266,634,ST,1100
100,1000338,0001,MAT000249,5992,ST,1100
100,1000339,0001,MAT000004,9545,ST,1200
100,1000340,0001,MAT000071,8805,ST,1200
100,1000341,0001,MAT000070,3079,ST,1000
100,1000342,0001,MAT000117,7400,ST,1000
100,1000343,0001,MAT000013,5635,ST,1100
100,1000344,0001,MAT000274,982,ST,1100
100,1000345,0001,MAT000018,536,ST,1200
100,1000346,0001,MAT000289,2543,ST,1200
100,1000347,0001,MAT000219,7539,ST,1000
100,1000348,0001,MAT000255,3383,ST,1200
100,1000349,0001,MAT000329,8381,ST,1000
100,1000350,0001,MAT000402,2413,ST,1000
100,1000351,0001,MAT000012,6656,ST,1000
100,1000352,0001,MAT000195,5117,ST,1000
100,1000353,0001,MAT000014,3122,ST,1000
100,1000354,0001,MAT000012,5473,ST,1100
100,1000355,0001,MAT000412,1746,ST,1100
100,1000356,0001,MAT000012,8851,ST,1200
100,1000357,0001,MAT000258,9640,ST,1000
100,1000358,0001,MAT000312,4698,ST,1000
100,1000359,0001,MAT000183,9654,ST,1100
100,1000360,0001,MAT000143,7847,ST,1100
100,1000361,0001,MAT000372,2105,ST,1000
100,1000362,0001,MAT000315,2016,ST,1200
100,1000363,0001,MAT000018,2367,ST,1000
100,1000364,0001,MAT000082,9935,ST,1200
100,1000365,0001,MAT000117,8160,ST,1200
100,1000366,0001,MAT000006,8237,ST,1200
100,1000367,0001,MAT000016,9435,ST,1100
100,1000368,0001,MAT000013,8969,ST,1200
100,1000369,0001,MAT000282,7442,ST,1000
100,1000370,0001,MAT000249,1568,ST,1000
100,1000371,0001,MAT000290,6267,ST,1100
100,1000372,0001,MAT000465,5849,ST,1200
100,1000373,0001,MAT000144,1880,ST,1000
100,1000374,0001,MAT000002,7086,ST,1100
100,1000375,0001,MAT000345,6905,ST,1000
100,1000376,0001,MAT000289,972,ST,1100
100,1000377,0001,MAT000231,5588,ST,1000
100,1000378,0001,MAT000222,7031,ST,1100
100,1000379,0001,MAT000310,5709,ST,1100
100,1000380,0001,MAT000281,2410,ST,1000
100,1000381,0001,MAT000200,9744,ST,1200
100,1000382,0001,MAT000367,578,ST,1000
100,1000383,0001,MAT000189,5398,ST,1100
100,1000384,0001,MAT000471,9378,ST,1100
100,1000385,0001,MAT000281,2935,ST,1200
100,1000386,0001,MAT000404,3232,ST,1100
100,1000387,0001,MAT000433,3321,ST,1200
100,1000388,0001,MAT000211,6128,ST,1200
100,1000389,0001,MAT000235,4381,ST,1200
100,1000390,0001,MAT000095,6720,ST,1100
100,1000391,0001,MAT000183,9085,ST,1000
100,1000392,0001,MAT000280,7363,ST,1200
100,1000393,0001,MAT000192,4747,ST,1100
100,1000394,0001,MAT000354,7724,ST,1000
100,1000395,0001,MAT000468,6200,ST,1200
100,1000396,0001,MAT000301,4818,ST,1000
100,1000397,0001,MAT000365,8092,ST,1000
100,1000398,0001,MAT000324,2348,ST,1000
100,1000399,0001,MAT000082,2753,ST,1000
100,1000400,0001,MAT000500,4946,ST,1100
100,1000401,0001,MAT000168,1078,ST,1100
100,1000402,0001,MAT000216,9438,ST,1200
100,1000403,0001,MAT000117,1737,ST,1200
100,1000404,0001,MAT000175,3357,ST,1100
100,1000405,0001,MAT000153,7433,ST,1000
100,1000406,0001,MAT000148,5828,ST,1000
100,1000407,0001,MAT000304,1048,ST,1100
100,1000408,0001,MAT000006,675,ST,1200
100,1000409,0001,MAT000417,616,ST,1000
100,1000410,0001,MAT000167,9184,ST,1200
100,1000411,0001,MAT000266,4227,ST,1000
100,1000412,0001,MAT000329,9704,ST,1000
100,1000413,0001,MAT000014,952,ST,1100
100,1000414,0001,MAT000168,9063,ST,1000
100,1000415,0001,MAT000411,4940,ST,1000
100,1000416,0001,MAT000093,1305,ST,1200
100,1000417,0001,MAT000018,3460,ST,1200
100,1000418,0001,MAT000272,1310,ST,1000
100,1000419,0001,MAT000235,2537,ST,1000
100,1000420,0001,MAT000167,1671,ST,1000
100,1000421,0001,MAT000077,7698,ST,1100
100,1000422,0001,MAT000109,7119,ST,1100
100,1000423,0001,MAT000143,9953,ST,1200
100,1000424,0001,MAT000016,9178,ST,1000
100,1000425,0001,MAT000471,2042,ST,1200
100,1000426,0001,MAT000069,5804,ST,1000
100,1000427,0001,MAT000231,5070,ST,1000
100,1000428,0001,MAT000002,6198,ST,1100
100,1000429,0001,MAT000255,271,ST,1200
100,1000430,0001,MAT000354,3231,ST,1100
100,1000431,0001,MAT000192,9494,ST,1000
100,1000432,0001,MAT000239,2730,ST,1000
100,1000433,0001,MAT000312,235,ST,1100
100,1000434,0001,MAT000341,3838,ST,1200
100,1000435,0001,MAT000171,8361,ST,1100
100,1000436,0001,MAT000272,7849,ST,1000
100,1000437,0001,MAT000345,4963,ST,1000
100,1000438,0001,MAT000280,9097,ST,1100
100,1000439,0001,MAT000239,8626,ST,1200
100,1000440,0001,MAT000122,8575,ST,1100
100,1000441,0001,MAT000206,5038,ST,1100
100,1000442,0001,MAT000019,1350,ST,1200
100,1000443,0001,MAT000249,5211,ST,1000
100,1000444,0001,MAT000014,3910,ST,1000
100,1000445,0001,MAT000451,5661,ST,1000
100,1000446,0001,MAT000347,5790,ST,1200
100,1000447,0001,MAT000077,4044,ST,1200
100,1000448,0001,MAT000064,9858,ST,1100
100,1000449,0001,MAT000453,7771,ST,1200
100,1000450,0001,MAT000111,1119,ST,1000
100,1000451,0001,MAT000064,4991,ST,1200
100,1000452,0001,MAT000315,8902,ST,1100
100,1000453,0001,MAT000416,3284,ST,1100
100,1000454,0001,MAT000150,9863,ST,1100
100,1000455,0001,MAT000111,518,ST,1200
100,1000456,0001,MAT000095,883,ST,1200
100,1000457,0001,MAT000266,9989,ST,1200
100,1000458,0001,MAT000083,8469,ST,1100
100,1000459,0001,MAT000122,2797,ST,1200
100,1000460,0001,MAT000275,5494,ST,1200
100,1000461,0001,MAT000015,2689,ST,1200
100,1000462,0001,MAT000471,2718,ST,1200
100,1000463,0001,MAT000440,6760,ST,1000
100,1000464,0001,MAT000487,9482,ST,1100
100,1000465,0001,MAT000166,6827,ST,1100
100,1000466,0001,MAT000371,6647,ST,1000
100,1000467,0001,MAT000280,1434,ST,1200
100,1000468,0001,MAT000108,2132,ST,1000
100,1000469,0001,MAT000304,1014,ST,1100
100,1000470,0001,MAT000324,4293,ST,1100
100,1000471,0001,MAT000001,4461,ST,1200
100,1000472,0001,MAT000255,4298,ST,1200
100,1000473,0001,MAT000095,1995,ST,1100
100,1000474,0001,MAT000012,3208,ST,1200
100,1000475,0001,MAT000266,2397,ST,1100
100,1000476,0001,MAT000080,9558,ST,1100
100,1000477,0001,MAT000174,4740,ST,1000
100,1000478,0001,MAT000402,8681,ST,1100
100,1000479,0001,MAT000500,8389,ST,1100
100,1000480,0001,MAT000189,5249,ST,1200
100,1000481,0001,MAT000006,9474,ST,1000
100,1000482,0001,MAT000335,6514,ST,1000
100,1000483,0001,MAT000010,5600,ST,1200
100,1000484,0001,MAT000154,3588,ST,1000
100,1000485,0001,MAT000440,6684,ST,1000
100,1000486,0001,MAT000122,9771,ST,1000
100,1000487,0001,MAT000080,9075,ST,1000
100,1000488,0001,MAT000191,4719,ST,1100
100,1000489,0001,MAT000192,5574,ST,1000
100,1000490,0001,MAT000451,7530,ST,1000
100,1000491,0001,MAT000367,7607,ST,1000
100,1000492,0001,MAT000311,8224,ST,1100
100,1000493,0001,MAT000167,3259,ST,1100
100,1000494,0001,MAT000135,1450,ST,1100
100,1000495,0001,MAT000003,5176,ST,1200
100,1000496,0001,MAT000007,705,ST,1200
100,1000497,0001,MAT000192,1445,ST,1200
100,1000498,0001,MAT000427,9859,ST,1100
100,1000499,0001,MAT000261,8859,ST,1200
100,1000500,0001,MAT000095,6495,ST,1100
100,1000501,0001,MAT000275,2970,ST,1000
100,1000502,0001,MAT000221,5552,ST,1200
100,1000503,0001,MAT000261,6668,ST,1100
100,1000504,0001,MAT000124,7905,ST,1200
100,1000505,0001,MAT000221,1660,ST,1100
100,1000506,0001,MAT000250,4075,ST,1000
100,1000507,0001,MAT000433,7612,ST,1200
100,1000508,0001,MAT000064,9985,ST,1100
100,1000509,0001,MAT000009,6751,ST,1000
100,1000510,0001,MAT000104,2926,ST,1200
100,1000511,0001,MAT000197,4975,ST,1000
100,1000512,0001,MAT000280,4675,ST,1100
100,1000513,0001,MAT000100,6452,ST,1100
100,1000514,0001,MAT000104,2862,ST,1200
100,1000515,0001,MAT000222,8370,ST,1100
100,1000516,0001,MAT000199,7462,ST,1100
100,1000517,0001,MAT000468,7298,ST,1200
100,1000518,0001,MAT000201,9943,ST,1200
100,1000519,0001,MAT000175,6048,ST,1200
100,1000520,0001,MAT000069,9948,ST,1100
100,1000521,0001,MAT000280,9625,ST,1200
100,1000522,0001,MAT000262,3875,ST,1200
100,1000523,0001,MAT000007,7105,ST,1000
100,1000524,0001,MAT000173,4004,ST,1000
100,1000525,0001,MAT000372,8020,ST,1100
100,1000526,0001,MAT000159,9439,ST,1000
100,1000527,0001,MAT000194,4984,ST,1000
100,1000528,0001,MAT000419,4127,ST,1000
100,1000529,0001,MAT000168,7363,ST,1200
100,1000530,0001,MAT000011,9619,ST,1000
100,1000531,0001,MAT000280,1905,ST,1200
100,1000532,0001,MAT000117,9806,ST,1000
100,1000533,0001,MAT000199,2903,ST,1000
100,1000534,0001,MAT000113,5763,ST,1000
100,1000535,0001,MAT000376,8240,ST,1200
100,1000536,0001,MAT000221,8778,ST,1200
100,1000537,0001,MAT000189,7853,ST,1100
100,1000538,0001,MAT000468,7849,ST,1000
100,1000539,0001,MAT000189,5303,ST,1000
100,1000540,0001,MAT000483,6970,ST,1100
100,1000541,0001,MAT000075,9064,ST,1200
100,1000542,0001,MAT000416,117,ST,1000
100,1000543,0001,MAT000221,544,ST,1100
100,1000544,0001,MAT000077,576,ST,1200
100,1000545,0001,MAT000375,5217,ST,1100
100,1000546,0001,MAT000011,9341,ST,1000
100,1000547,0001,MAT000194,9232,ST,1000
100,1000548,0001,MAT000100,750,ST,1000
100,1000549,0001,MAT000343,4222,ST,1200
100,1000550,0001,MAT000066,654,ST,1200
100,1000551,0001,MAT000171,1004,ST,1100
100,1000552,0001,MAT000152,8784,ST,1100
100,1000553,0001,MAT000011,9893,ST,1100
100,1000554,0001,MAT000175,7413,ST,1100
100,1000555,0001,MAT000008,329,ST,1100
100,1000556,0001,MAT000383,816,ST,1100
100,1000557,0001,MAT000294,9472,ST,1200
100,1000558,0001,MAT000011,5964,ST,1100
100,1000559,0001,MAT000280,8047,ST,1000
100,1000560,0001,MAT000007,6920,ST,1200
100,1000561,0001,MAT000426,8399,ST,1100
100,1000562,0001,MAT000100,3933,ST,1200
100,1000563,0001,MAT000191,9723,ST,1100
100,1000564,0001,MAT000219,3032,ST,1100
100,1000565,0001,MAT000376,1463,ST,1000
100,1000566,0001,MAT000474,2777,ST,1000
100,1000567,0001,MAT000275,2022,ST,1000
100,1000568,0001,MAT000100,5792,ST,1100
100,1000569,0001,MAT000354,5786,ST,1200
100,1000570,0001,MAT000297,4052,ST,1100
100,1000571,0001,MAT000403,8402,ST,1000
100,1000572,0001,MAT000206,6720,ST,1000
100,1000573,0001,MAT000013,6622,ST,1100
100,1000574,0001,MAT000219,1785,ST,1100
100,1000575,0001,MAT000280,3677,ST,1100
100,1000576,0001,MAT000003,1677,ST,1000
100,1000577,0001,MAT000412,4810,ST,1100
100,1000578,0001,MAT000194,942,ST,1000
100,1000579,0001,MAT000471,1804,ST,1000
100,1000580,0001,MAT000365,2288,ST,1200
100,1000581,0001,MAT000343,8369,ST,1200
