MANDT,TKNUM,TPNUM,VBELN
100,0000000385,0002,0080000769
100,0000000386,0001,0080000770
100,0000000386,0002,0080000771
100,0000000387,0001,0080000772
100,0000000387,0002,0080000773
100,0000000388,0001,0080000774
100,0000000388,0002,0080000775
100,0000000389,0001,0080000776
100,0000000389,0002,0080000777
100,0000000390,0001,0080000778
100,0000000390,0002,0080000779
100,0000000391,0001,0080000780
100,0000000391,0002,0080000781
100,0000000392,0001,0080000782
100,0000000392,0002,0080000783
100,0000000393,0001,0080000784
100,0000000393,0002,0080000785
100,0000000394,0001,0080000786
100,0000000394,0002,0080000787
100,0000000395,0001,0080000788
100,0000000395,0002,0080000789
100,0000000396,0001,0080000790
100,0000000396,0002,0080000791
100,0000000397,0001,0080000792
100,0000000397,0002,0080000793
100,0000000398,0001,0080000794
100,0000000398,0002,0080000795
100,0000000399,0001,0080000796
100,0000000399,0002,0080000797
100,0000000400,0001,0080000798
100,0000000400,0002,0080000799
100,0000000401,0001,0080000800
100,0000000401,0002,0080000801
100,0000000402,0001,0080000802
100,0000000402,0002,0080000803
100,0000000403,0001,0080000804
100,0000000403,0002,0080000805
100,0000000404,0001,0080000806
100,0000000404,0002,0080000807
100,0000000405,0001,0080000808
100,0000000405,0002,0080000809
100,0000000406,0001,0080000810
100,0000000406,0002,0080000811
100,0000000407,0001,0080000812
100,0000000407,0002,0080000813
100,0000000408,0001,0080000814
100,0000000408,0002,0080000815
100,0000000409,0001,0080000816
100,0000000409,0002,0080000817
100,0000000410,0001,0080000818
100,0000000410,0002,0080000819
100,0000000411,0001,0080000820
100,0000000411,0002,0080000821
100,0000000412,0001,0080000822
100,0000000412,0002,0080000823
100,0000000413,0001,0080000824
100,0000000413,0002,0080000825
100,0000000414,0001,0080000826
100,0000000414,0002,0080000827
100,0000000415,0001,0080000828
100,0000000415,0002,0080000829
100,0000000416,0001,0080000830
100,0000000416,0002,0080000831
100,0000000417,0001,0080000832
100,0000000417,0002,0080000833
100,0000000418,0001,0080000834
100,0000000418,0002,0080000835
100,0000000419,0001,0080000836
100,0000000419,0002,0080000837
100,0000000420,0001,0080000838
100,0000000420,0002,0080000839
100,0000000421,0001,0080000840
100,0000000421,0002,0080000841
100,0000000422,0001,0080000842
100,0000000422,0002,0080000843
100,0000000423,0001,0080000844
100,0000000423,0002,0080000845
100,0000000424,0001,0080000846
100,0000000424,0002,0080000847
100,0000000425,0001,0080000848
100,0000000425,0002,0080000849
100,0000000426,0001,0080000850
100,0000000426,0002,0080000851
100,0000000427,0001,0080000852
100,0000000427,0002,0080000853
100,0000000428,0001,0080000854
100,0000000428,0002,0080000855
100,0000000429,0001,0080000856
100,0000000429,0002,0080000857
100,0000000430,0001,0080000858
100,0000000430,0002,0080000859
100,0000000431,0001,0080000860
100,0000000431,0002,0080000861
100,0000000432,0001,0080000862
100,0000000432,0002,0080000863
100,0000000433,0001,0080000864
100,0000000433,0002,0080000865
100,0000000434,0001,0080000866
100,0000000434,0002,0080000867
100,0000000435,0001,0080000868
100,0000000435,0002,0080000869
100,0000000436,0001,0080000870
100,0000000436,0002,0080000871
100,0000000437,0001,0080000872
100,0000000437,0002,0080000873
100,0000000438,0001,0080000874
100,0000000438,0002,0080000875
100,0000000439,0001,0080000876
100,0000000439,0002,0080000877
100,0000000440,0001,0080000878
100,0000000440,0002,0080000879
100,0000000441,0001,0080000880
100,0000000441,0002,0080000881
100,0000000442,0001,0080000882
100,0000000442,0002,0080000883
100,0000000443,0001,0080000884
100,0000000443,0002,0080000885
100,0000000444,0001,0080000886
100,0000000444,0002,0080000887
100,0000000445,0001,0080000888
100,0000000445,0002,0080000889
100,0000000446,0001,0080000890
100,0000000446,0002,0080000891
100,0000000447,0001,0080000892
100,0000000447,0002,0080000893
100,0000000448,0001,0080000894
100,0000000448,0002,0080000895
100,0000000449,0001,0080000896
100,0000000449,0002,0080000897
100,0000000450,0001,0080000898
100,0000000450,0002,0080000899
100,0000000451,0001,0080000900
100,0000000451,0002,0080000901
100,0000000452,0001,0080000902
100,0000000452,0002,0080000903
100,0000000453,0001,0080000904
100,0000000453,0002,0080000905
100,0000000454,0001,0080000906
100,0000000454,0002,0080000907
100,0000000455,0001,0080000908
100,0000000455,0002,0080000909
100,0000000456,0001,0080000910
100,0000000456,0002,0080000911
100,0000000457,0001,0080000912
100,0000000457,0002,0080000913
100,0000000458,0001,0080000914
100,0000000458,0002,0080000915
100,0000000459,0001,0080000916
100,0000000459,0002,0080000917
100,0000000460,0001,0080000918
100,0000000460,0002,0080000919
100,0000000461,0001,0080000920
100,0000000461,0002,0080000921
100,0000000462,0001,0080000922
100,0000000462,0002,0080000923
100,0000000463,0001,0080000924
100,0000000463,0002,0080000925
100,0000000464,0001,0080000926
100,0000000464,0002,0080000927
100,0000000465,0001,0080000928
100,0000000465,0002,0080000929
