MANDT,OBJECTCLAS,OBJECTID,CHANGENR,USERNAME,UDATE,UTIME,TCODE
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025,0000000025,USER024,20230903,170716,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026,0000000026,USER025,20230825,012329,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027,0000000027,USER026,20240705,061402,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028,0000000028,USER027,20240728,231032,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029,0000000029,USER028,20240701,121313,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030,0000000030,USER029,20240715,182251,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031,0000000031,USER030,20220729,041701,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032,0000000032,USER031,20230527,023542,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033,0000000033,USER032,20220328,074037,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034,0000000034,USER033,20230907,134045,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035,0000000035,USER034,20240828,201310,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036,0000000036,USER035,20221220,033420,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037,0000000037,USER036,20230924,113939,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038,0000000038,USER037,20220729,224134,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039,0000000039,USER038,20240911,150900,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040,0000000040,USER039,20230811,100313,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041,0000000041,USER040,20230209,020522,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042,0000000042,USER041,20221025,182236,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043,0000000043,USER042,20230928,133747,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044,0000000044,USER043,20240620,175600,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045,0000000045,USER044,20240714,075654,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046,0000000046,USER045,20230423,055918,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047,0000000047,USER046,20231205,134919,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048,0000000048,USER047,20220329,102854,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049,0000000049,USER048,20230506,053615,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000050,0000000050,USER049,20230917,111608,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051,0000000051,USER000,20240707,024917,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052,0000000052,USER001,20230824,193514,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053,0000000053,USER002,20220130,043051,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054,0000000054,USER003,20230819,225712,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055,0000000055,USER004,20240118,002525,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000056,0000000056,USER005,20220803,093216,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057,0000000057,USER006,20241023,065319,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058,0000000058,USER007,20221108,060607,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059,0000000059,USER008,20230406,201732,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060,0000000060,USER009,20230916,124916,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061,0000000061,USER010,20241230,022718,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062,0000000062,USER011,20230612,053702,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063,0000000063,USER012,20241228,035349,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064,0000000064,USER013,20240220,055200,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000065,0000000065,USER014,20241012,191804,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000066,0000000066,USER015,20240715,194304,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067,0000000067,USER016,20231123,014031,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068,0000000068,USER017,20240415,100519,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069,0000000069,USER018,20221025,004014,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070,0000000070,USER019,20241008,164233,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000071,0000000071,USER020,20230828,115943,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000072,0000000072,USER021,20230630,235354,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000073,0000000073,USER022,20230917,105037,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000074,0000000074,USER023,20240317,053947,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000075,0000000075,USER024,20231226,171701,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000076,0000000076,USER025,20230703,052958,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077,0000000077,USER026,20220115,054548,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000078,0000000078,USER027,20240620,012104,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079,0000000079,USER028,20240831,011901,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080,0000000080,USER029,20241105,173509,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081,0000000081,USER030,20230716,041531,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000082,0000000082,USER031,20230805,144311,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000083,0000000083,USER032,20230814,221918,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000084,0000000084,USER033,20220926,015555,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000085,0000000085,USER034,20240410,185245,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086,0000000086,USER035,20220206,001028,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087,0000000087,USER036,20240720,165546,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088,0000000088,USER037,20240613,014612,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000089,0000000089,USER038,20221102,090351,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090,0000000090,USER039,20220208,213604,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091,0000000091,USER040,20240817,004945,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000092,0000000092,USER041,20221204,051639,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000093,0000000093,USER042,20221025,231635,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094,0000000094,USER043,20240221,203611,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095,0000000095,USER044,20220129,085402,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000096,0000000096,USER045,20241128,130135,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000097,0000000097,USER046,20230114,184739,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000098,0000000098,USER047,20241008,045316,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000099,0000000099,USER048,20221020,033953,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100,0000000100,USER049,20230403,060606,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,0000000101,USER000,20221220,233827,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,0000000102,USER001,20220425,161648,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,0000000103,USER002,20241228,022755,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,0000000104,USER003,20241121,130423,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,0000000105,USER004,20240417,013030,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,0000000106,USER005,20220120,224057,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,0000000107,USER006,20230208,151222,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,0000000108,USER007,20240121,100606,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,0000000109,USER008,20230509,033113,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110,0000000110,USER009,20230805,192221,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111,0000000111,USER010,20230112,080252,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112,0000000112,USER011,20240613,181502,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113,0000000113,USER012,20230528,144500,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114,0000000114,USER013,20230324,033647,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115,0000000115,USER014,20220321,192015,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116,0000000116,USER015,20241201,104004,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117,0000000117,USER016,20240311,073813,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118,0000000118,USER017,20220805,083741,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119,0000000119,USER018,20230330,093910,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120,0000000120,USER019,20240310,054148,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121,0000000121,USER020,20220810,160105,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122,0000000122,USER021,20220615,021606,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123,0000000123,USER022,20241130,003413,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124,0000000124,USER023,20230226,043313,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125,0000000125,USER024,20240928,173627,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126,0000000126,USER025,20230426,042951,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0000000127,USER026,20241230,234151,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0000000128,USER027,20220504,183946,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129,0000000129,USER028,20231208,224823,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130,0000000130,USER029,20220502,224558,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131,0000000131,USER030,20241226,001217,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132,0000000132,USER031,20240211,122337,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133,0000000133,USER032,20241116,121531,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134,0000000134,USER033,20230429,023545,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135,0000000135,USER034,20231114,174738,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136,0000000136,USER035,20230910,061837,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137,0000000137,USER036,20221230,203025,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138,0000000138,USER037,20221030,214643,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139,0000000139,USER038,20240817,161835,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140,0000000140,USER039,20220828,054734,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141,0000000141,USER040,20230425,071154,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142,0000000142,USER041,20220514,073739,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143,0000000143,USER042,20240426,213841,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144,0000000144,USER043,20240101,003643,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145,0000000145,USER044,20231204,084809,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146,0000000146,USER045,20220808,145435,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147,0000000147,USER046,20230825,130213,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000148,0000000148,USER047,20220915,140022,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000149,0000000149,USER048,20230526,004150,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150,0000000150,USER049,20220919,013617,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151,0000000151,USER000,20220611,105410,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152,0000000152,USER001,20240828,210402,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000153,0000000153,USER002,20220511,145316,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000154,0000000154,USER003,20240406,175951,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155,0000000155,USER004,20230115,135646,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156,0000000156,USER005,20220516,001017,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000157,0000000157,USER006,20221107,061245,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158,0000000158,USER007,20230518,080102,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159,0000000159,USER008,20240604,215324,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160,0000000160,USER009,20241001,211834,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161,0000000161,USER010,20230401,220053,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162,0000000162,USER011,20221018,191538,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163,0000000163,USER012,20240617,042454,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164,0000000164,USER013,20230724,182204,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000165,0000000165,USER014,20240624,173931,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166,0000000166,USER015,20231105,222039,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167,0000000167,USER016,20221129,001942,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168,0000000168,USER017,20241215,164735,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169,0000000169,USER018,20220301,221940,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170,0000000170,USER019,20240907,043431,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171,0000000171,USER020,20230825,094616,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172,0000000172,USER021,20230205,155038,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173,0000000173,USER022,20240730,231624,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174,0000000174,USER023,20221220,001413,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175,0000000175,USER024,20241003,035931,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176,0000000176,USER025,20241019,202908,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177,0000000177,USER026,20220730,004130,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178,0000000178,USER027,20230418,234423,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179,0000000179,USER028,20241017,023607,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180,0000000180,USER029,20230204,223620,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181,0000000181,USER030,20230207,035335,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182,0000000182,USER031,20230220,071319,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183,0000000183,USER032,20240506,112543,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184,0000000184,USER033,20220301,001412,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185,0000000185,USER034,20230424,025722,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186,0000000186,USER035,20220228,064019,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187,0000000187,USER036,20231011,190016,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188,0000000188,USER037,20230923,004518,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189,0000000189,USER038,20240515,145135,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190,0000000190,USER039,20240213,153620,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191,0000000191,USER040,20220702,114845,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192,0000000192,USER041,20231115,065650,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193,0000000193,USER042,20230828,115354,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194,0000000194,USER043,20220926,085248,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195,0000000195,USER044,20230220,225205,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196,0000000196,USER045,20241013,103313,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197,0000000197,USER046,20230425,033516,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198,0000000198,USER047,20220823,061959,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199,0000000199,USER048,20240829,220815,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200,0000000200,USER049,20220921,224729,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,0000000201,USER000,20230221,042612,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,0000000202,USER001,20230619,022825,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,0000000203,USER002,20240125,164518,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,0000000204,USER003,20220101,070606,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,0000000205,USER004,20221109,134643,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,0000000206,USER005,20220917,125415,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,0000000207,USER006,20230704,135718,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208,0000000208,USER007,20221228,150719,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209,0000000209,USER008,20230512,230147,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210,0000000210,USER009,20230315,213617,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211,0000000211,USER010,20220124,150939,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212,0000000212,USER011,20220819,101030,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213,0000000213,USER012,20220525,061217,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214,0000000214,USER013,20220919,042535,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215,0000000215,USER014,20240107,004114,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000216,0000000216,USER015,20220228,202857,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217,0000000217,USER016,20220320,060014,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000218,0000000218,USER017,20230611,212253,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219,0000000219,USER018,20220709,224220,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220,0000000220,USER019,20241217,050452,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221,0000000221,USER020,20241101,000741,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222,0000000222,USER021,20230324,232442,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000223,0000000223,USER022,20241227,064305,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000224,0000000224,USER023,20230422,142952,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225,0000000225,USER024,20231009,041636,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000226,0000000226,USER025,20221220,133833,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227,0000000227,USER026,20220407,124028,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000228,0000000228,USER027,20241208,110218,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229,0000000229,USER028,20231110,150508,MM02
