MANDT,RSNUM,RSPOS,AUFNR,MATNR,BDMNG,MEINS,WERKS
100,RES0000099,0010,1000017,MAT000437,2637.33,KG,1000
100,RES0000100,0001,1000017,MAT000105,13512.87,KG,1000
100,RES0000101,0002,1000017,MAT000410,16514.62,KG,1000
100,RES0000102,0003,1000018,MAT000269,1590.05,KG,1000
100,RES0000103,0004,1000018,MAT000157,763.29,KG,1000
100,RES0000104,0005,1000018,MAT000208,1231.76,KG,1000
100,RES0000105,0006,1000018,MAT000243,411.61,KG,1000
100,RES0000106,0007,1000019,MAT000362,20067.94,KG,1200
100,RES0000107,0008,1000019,MAT000459,21822.56,KG,1200
100,RES0000108,0009,1000019,MAT000286,14875.27,KG,1200
100,RES0000109,0010,1000019,MAT000292,3763.01,KG,1200
100,RES0000110,0001,1000019,MAT000314,9925.73,KG,1200
100,RES0000111,0002,1000019,MAT000034,15677.76,KG,1200
100,RES0000112,0003,1000020,MAT000020,6891.36,KG,1100
100,RES0000113,0004,1000020,MAT000047,20813.6,KG,1100
100,RES0000114,0005,1000020,MAT000445,21339.39,KG,1100
100,RES0000115,0006,1000020,MAT000196,23501.45,KG,1100
100,RES0000116,0007,1000020,MAT000333,11565.09,KG,1100
100,RES0000117,0008,1000020,MAT000400,23943.31,KG,1100
100,RES0000118,0009,1000020,MAT000121,25345.04,KG,1100
100,RES0000119,0010,1000021,MAT000284,17252.25,KG,1200
100,RES0000120,0001,1000021,MAT000269,12615.89,KG,1200
100,RES0000121,0002,1000021,MAT000030,6137.87,KG,1200
100,RES0000122,0003,1000021,MAT000472,8047.84,KG,1200
100,RES0000123,0004,1000021,MAT000115,14109.22,KG,1200
100,RES0000124,0005,1000022,MAT000273,11198.17,KG,1100
100,RES0000125,0006,1000022,MAT000028,9125.59,KG,1100
100,RES0000126,0007,1000022,MAT000448,509.14,KG,1100
100,RES0000127,0008,1000022,MAT000049,8117.04,KG,1100
100,RES0000128,0009,1000023,MAT000409,14327.1,KG,1200
100,RES0000129,0010,1000023,MAT000049,20671.99,KG,1200
100,RES0000130,0001,1000023,MAT000306,14117.71,KG,1200
100,RES0000131,0002,1000023,MAT000036,19649.5,KG,1200
100,RES0000132,0003,1000023,MAT000492,643.15,KG,1200
100,RES0000133,0004,1000023,MAT000478,860.87,KG,1200
100,RES0000134,0005,1000023,MAT000393,21142.97,KG,1200
100,RES0000135,0006,1000023,MAT000346,3688.41,KG,1200
100,RES0000136,0007,1000024,MAT000027,4546.15,KG,1100
100,RES0000137,0008,1000024,MAT000035,14563.02,KG,1100
100,RES0000138,0009,1000024,MAT000406,9293.8,KG,1100
100,RES0000139,0010,1000024,MAT000441,10088.17,KG,1100
100,RES0000140,0001,1000024,MAT000123,15269.83,KG,1100
100,RES0000141,0002,1000024,MAT000360,14725.77,KG,1100
100,RES0000142,0003,1000024,MAT000212,14052.3,KG,1100
100,RES0000143,0004,1000025,MAT000309,9455.91,KG,1100
100,RES0000144,0005,1000025,MAT000022,12632.51,KG,1100
100,RES0000145,0006,1000025,MAT000241,16388.59,KG,1100
100,RES0000146,0007,1000025,MAT000394,698.43,KG,1100
100,RES0000147,0008,1000025,MAT000252,18870.55,KG,1100
100,RES0000148,0009,1000025,MAT000232,17650.21,KG,1100
100,RES0000149,0010,1000025,MAT000029,326.4,KG,1100
100,RES0000150,0001,1000025,MAT000296,13082.19,KG,1100
100,RES0000151,0002,1000026,MAT000028,646.99,KG,1000
100,RES0000152,0003,1000026,MAT000232,100.59,KG,1000
100,RES0000153,0004,1000026,MAT000390,396.59,KG,1000
100,RES0000154,0005,1000026,MAT000115,1089.89,KG,1000
100,RES0000155,0006,1000026,MAT000406,1951.82,KG,1000
100,RES0000156,0007,1000026,MAT000260,1436.54,KG,1000
100,RES0000157,0008,1000026,MAT000137,314.09,KG,1000
100,RES0000158,0009,1000027,MAT000284,781.75,KG,1200
100,RES0000159,0010,1000027,MAT000269,571.66,KG,1200
100,RES0000160,0001,1000027,MAT000030,278.12,KG,1200
100,RES0000161,0002,1000027,MAT000472,364.67,KG,1200
100,RES0000162,0003,1000027,MAT000115,639.33,KG,1200
100,RES0000163,0004,1000028,MAT000051,4956.08,KG,1200
100,RES0000164,0005,1000028,MAT000334,3792.95,KG,1200
100,RES0000165,0006,1000028,MAT000448,2564.72,KG,1200
100,RES0000166,0007,1000028,MAT000366,4767.59,KG,1200
100,RES0000167,0008,1000028,MAT000480,4061.3,KG,1200
100,RES0000168,0009,1000028,MAT000461,4217.25,KG,1200
100,RES0000169,0010,1000029,MAT000496,13140.32,KG,1000
100,RES0000170,0001,1000029,MAT000394,14565.64,KG,1000
100,RES0000171,0002,1000029,MAT000234,2123.65,KG,1000
100,RES0000172,0003,1000029,MAT000334,10613.78,KG,1000
100,RES0000173,0004,1000030,MAT000029,9.85,KG,1100
100,RES0000174,0005,1000030,MAT000028,522.47,KG,1100
100,RES0000175,0006,1000030,MAT000088,518.96,KG,1100
100,RES0000176,0007,1000030,MAT000351,627.02,KG,1100
100,RES0000177,0008,1000030,MAT000288,256.85,KG,1100
100,RES0000178,0009,1000030,MAT000392,166.06,KG,1100
100,RES0000179,0010,1000030,MAT000045,67.72,KG,1100
100,RES0000180,0001,1000030,MAT000485,288.28,KG,1100
100,RES0000181,0002,1000031,MAT000157,899.89,KG,1000
100,RES0000182,0003,1000031,MAT000286,4565.7,KG,1000
100,RES0000183,0004,1000031,MAT000039,4525.37,KG,1000
100,RES0000184,0005,1000031,MAT000098,2058.27,KG,1000
100,RES0000185,0006,1000031,MAT000208,1425.78,KG,1000
100,RES0000186,0007,1000032,MAT000204,4384.58,KG,1100
100,RES0000187,0008,1000032,MAT000398,2518.13,KG,1100
100,RES0000188,0009,1000032,MAT000208,514.25,KG,1100
100,RES0000189,0010,1000032,MAT000048,1518.88,KG,1100
100,RES0000190,0001,1000032,MAT000028,2070.17,KG,1100
100,RES0000191,0002,1000032,MAT000260,4045.32,KG,1100
100,RES0000192,0003,1000033,MAT000202,160.88,KG,1100
100,RES0000193,0004,1000033,MAT000480,1366.01,KG,1100
100,RES0000194,0005,1000033,MAT000196,1519.15,KG,1100
100,RES0000195,0006,1000033,MAT000165,1530.43,KG,1100
100,RES0000196,0007,1000033,MAT000031,571.29,KG,1100
100,RES0000197,0008,1000033,MAT000321,272.43,KG,1100
100,RES0000198,0009,1000033,MAT000039,815.03,KG,1100
100,RES0000199,0010,1000034,MAT000393,1729.28,KG,1100
100,RES0000200,0001,1000034,MAT000048,1133.63,KG,1100
100,RES0000201,0002,1000034,MAT000362,1946.78,KG,1100
100,RES0000202,0003,1000034,MAT000489,1880.97,KG,1100
100,RES0000203,0004,1000035,MAT000244,11487.19,KG,1200
100,RES0000204,0005,1000035,MAT000271,11597.46,KG,1200
100,RES0000205,0006,1000035,MAT000025,7467.43,KG,1200
100,RES0000206,0007,1000035,MAT000137,1763.42,KG,1200
100,RES0000207,0008,1000035,MAT000240,37656.64,KG,1200
100,RES0000208,0009,1000035,MAT000485,14959.36,KG,1200
100,RES0000209,0010,1000036,MAT000384,1474.15,KG,1100
100,RES0000210,0001,1000036,MAT000460,4836.23,KG,1100
100,RES0000211,0002,1000036,MAT000394,52.72,KG,1100
100,RES0000212,0003,1000036,MAT000042,4646.24,KG,1100
100,RES0000213,0004,1000036,MAT000032,2424.08,KG,1100
100,RES0000214,0005,1000036,MAT000400,2993.05,KG,1100
100,RES0000215,0006,1000036,MAT000496,4182.71,KG,1100
100,RES0000216,0007,1000037,MAT000203,8642.46,KG,1100
100,RES0000217,0008,1000037,MAT000460,6346.95,KG,1100
100,RES0000218,0009,1000037,MAT000044,16095.99,KG,1100
100,RES0000219,0010,1000037,MAT000036,4329.75,KG,1100
100,RES0000220,0001,1000038,MAT000035,4918.19,KG,1000
100,RES0000221,0002,1000038,MAT000420,7337.83,KG,1000
100,RES0000222,0003,1000038,MAT000088,1043.76,KG,1000
100,RES0000223,0004,1000038,MAT000360,1684.25,KG,1000
100,RES0000224,0005,1000039,MAT000493,619.67,KG,1000
100,RES0000225,0006,1000039,MAT000088,1042.89,KG,1000
100,RES0000226,0007,1000039,MAT000461,1798.42,KG,1000
100,RES0000227,0008,1000039,MAT000042,3572.4,KG,1000
100,RES0000228,0009,1000039,MAT000437,3474.66,KG,1000
100,RES0000229,0010,1000039,MAT000147,3735.62,KG,1000
100,RES0000230,0001,1000039,MAT000021,2460.12,KG,1000
100,RES0000231,0002,1000040,MAT000448,10706.83,KG,1200
100,RES0000232,0003,1000040,MAT000021,21949.74,KG,1200
100,RES0000233,0004,1000040,MAT000025,11670.24,KG,1200
100,RES0000234,0005,1000040,MAT000053,3797.59,KG,1200
100,RES0000235,0006,1000040,MAT000273,3299.69,KG,1200
100,RES0000236,0007,1000040,MAT000405,21846.78,KG,1200
100,RES0000237,0008,1000041,MAT000085,8049.49,KG,1100
100,RES0000238,0009,1000041,MAT000202,14387.4,KG,1100
100,RES0000239,0010,1000041,MAT000307,8597.37,KG,1100
100,RES0000240,0001,1000041,MAT000430,10270.34,KG,1100
100,RES0000241,0002,1000041,MAT000436,11673.54,KG,1100
100,RES0000242,0003,1000041,MAT000030,19740.24,KG,1100
100,RES0000243,0004,1000042,MAT000203,1609.62,KG,1100
100,RES0000244,0005,1000042,MAT000460,1182.09,KG,1100
100,RES0000245,0006,1000042,MAT000044,2997.81,KG,1100
100,RES0000246,0007,1000042,MAT000036,806.4,KG,1100
100,RES0000247,0008,1000043,MAT000136,18712.3,KG,1100
100,RES0000248,0009,1000043,MAT000037,25328.47,KG,1100
100,RES0000249,0010,1000043,MAT000039,3062.26,KG,1100
100,RES0000250,0001,1000043,MAT000456,1779.26,KG,1100
100,RES0000251,0002,1000043,MAT000481,9731.3,KG,1100
100,RES0000252,0003,1000043,MAT000241,16184.28,KG,1100
100,RES0000253,0004,1000043,MAT000229,9261.21,KG,1100
100,RES0000254,0005,1000043,MAT000286,1469.29,KG,1100
100,RES0000255,0006,1000044,MAT000088,1405.25,KG,1100
100,RES0000256,0007,1000044,MAT000437,585.07,KG,1100
100,RES0000257,0008,1000044,MAT000298,726.95,KG,1100
100,RES0000258,0009,1000045,MAT000351,1513.54,KG,1200
100,RES0000259,0010,1000045,MAT000085,449.32,KG,1200
100,RES0000260,0001,1000045,MAT000295,1595.14,KG,1200
100,RES0000261,0002,1000045,MAT000116,1524.72,KG,1200
100,RES0000262,0003,1000045,MAT000373,103.95,KG,1200
100,RES0000263,0004,1000046,MAT000277,4117.11,KG,1000
100,RES0000264,0005,1000046,MAT000123,4017.54,KG,1000
100,RES0000265,0006,1000046,MAT000298,4562.58,KG,1000
100,RES0000266,0007,1000046,MAT000234,4177.68,KG,1000
100,RES0000267,0008,1000046,MAT000045,1022.73,KG,1000
100,RES0000268,0009,1000046,MAT000021,426.73,KG,1000
100,RES0000269,0010,1000046,MAT000260,2241.77,KG,1000
100,RES0000270,0001,1000047,MAT000339,8513.0,KG,1100
100,RES0000271,0002,1000047,MAT000472,3268.19,KG,1100
100,RES0000272,0003,1000047,MAT000209,1355.71,KG,1100
100,RES0000273,0004,1000047,MAT000037,6466.17,KG,1100
100,RES0000274,0005,1000047,MAT000460,3720.46,KG,1100
100,RES0000275,0006,1000047,MAT000025,11795.02,KG,1100
100,RES0000276,0007,1000048,MAT000046,388.37,KG,1000
100,RES0000277,0008,1000048,MAT000050,1003.79,KG,1000
100,RES0000278,0009,1000048,MAT000458,946.45,KG,1000
100,RES0000279,0010,1000048,MAT000489,2955.56,KG,1000
100,RES0000280,0001,1000048,MAT000346,1548.11,KG,1000
100,RES0000281,0002,1000049,MAT000393,264.27,KG,1100
100,RES0000282,0003,1000049,MAT000048,173.24,KG,1100
100,RES0000283,0004,1000049,MAT000362,297.51,KG,1100
100,RES0000284,0005,1000049,MAT000489,287.45,KG,1100
100,RES0000285,0006,1000050,MAT000202,19121.6,KG,1200
100,RES0000286,0007,1000050,MAT000359,13367.03,KG,1200
100,RES0000287,0008,1000050,MAT000048,38334.02,KG,1200
100,RES0000288,0009,1000050,MAT000452,25598.77,KG,1200
100,RES0000289,0010,1000050,MAT000348,12412.59,KG,1200
100,RES0000290,0001,1000050,MAT000182,7158.35,KG,1200
100,RES0000291,0002,1000051,MAT000420,1234.24,KG,1000
100,RES0000292,0003,1000051,MAT000032,803.37,KG,1000
100,RES0000293,0004,1000051,MAT000099,1161.67,KG,1000
100,RES0000294,0005,1000051,MAT000458,873.91,KG,1000
100,RES0000295,0006,1000051,MAT000321,973.38,KG,1000
100,RES0000296,0007,1000051,MAT000049,2121.86,KG,1000
100,RES0000297,0008,1000051,MAT000043,2119.83,KG,1000
100,RES0000298,0009,1000051,MAT000380,358.8,KG,1000
100,RES0000299,0010,1000052,MAT000380,11132.28,KG,1100
100,RES0000300,0001,1000052,MAT000362,14441.58,KG,1100
100,RES0000301,0002,1000052,MAT000236,11814.51,KG,1100
100,RES0000302,0003,1000052,MAT000498,18876.51,KG,1100
100,RES0000303,0004,1000053,MAT000362,40591.69,KG,1000
100,RES0000304,0005,1000053,MAT000459,44140.78,KG,1000
100,RES0000305,0006,1000053,MAT000286,30088.41,KG,1000
100,RES0000306,0007,1000053,MAT000292,7611.49,KG,1000
100,RES0000307,0008,1000053,MAT000314,20076.9,KG,1000
100,RES0000308,0009,1000053,MAT000034,31711.61,KG,1000
100,RES0000309,0010,1000054,MAT000052,2360.93,KG,1100
100,RES0000310,0001,1000054,MAT000398,3076.65,KG,1100
100,RES0000311,0002,1000054,MAT000028,1346.55,KG,1100
100,RES0000312,0003,1000055,MAT000273,1755.36,KG,1100
100,RES0000313,0004,1000055,MAT000028,1430.47,KG,1100
100,RES0000314,0005,1000055,MAT000448,79.81,KG,1100
100,RES0000315,0006,1000055,MAT000049,1272.38,KG,1100
100,RES0000316,0007,1000056,MAT000388,278.43,KG,1200
100,RES0000317,0008,1000056,MAT000370,217.04,KG,1200
100,RES0000318,0009,1000056,MAT000257,449.25,KG,1200
100,RES0000319,0010,1000056,MAT000099,522.13,KG,1200
100,RES0000320,0001,1000056,MAT000442,137.06,KG,1200
100,RES0000321,0002,1000057,MAT000284,30081.49,KG,1100
100,RES0000322,0003,1000057,MAT000472,36854.61,KG,1100
100,RES0000323,0004,1000057,MAT000033,21235.96,KG,1100
100,RES0000324,0005,1000057,MAT000395,33362.6,KG,1100
100,RES0000325,0006,1000057,MAT000307,23528.2,KG,1100
100,RES0000326,0007,1000057,MAT000227,20044.39,KG,1100
100,RES0000327,0008,1000058,MAT000046,64.47,KG,1100
100,RES0000328,0009,1000058,MAT000050,166.62,KG,1100
100,RES0000329,0010,1000058,MAT000458,157.1,KG,1100
100,RES0000330,0001,1000058,MAT000489,490.6,KG,1100
100,RES0000331,0002,1000058,MAT000346,256.97,KG,1100
100,RES0000332,0003,1000059,MAT000286,2618.01,KG,1000
100,RES0000333,0004,1000059,MAT000277,10312.92,KG,1000
100,RES0000334,0005,1000059,MAT000410,1010.24,KG,1000
100,RES0000335,0006,1000059,MAT000039,15551.71,KG,1000
100,RES0000336,0007,1000059,MAT000116,15462.08,KG,1000
100,RES0000337,0008,1000060,MAT000098,220.37,KG,1000
100,RES0000338,0009,1000060,MAT000050,958.79,KG,1000
100,RES0000339,0010,1000060,MAT000331,942.04,KG,1000
100,RES0000340,0001,1000061,MAT000489,6456.33,KG,1200
100,RES0000341,0002,1000061,MAT000420,2611.43,KG,1200
100,RES0000342,0003,1000061,MAT000038,31925.75,KG,1200
100,RES0000343,0004,1000062,MAT000459,41.39,KG,1200
100,RES0000344,0005,1000062,MAT000456,171.93,KG,1200
100,RES0000345,0006,1000062,MAT000472,377.91,KG,1200
100,RES0000346,0007,1000062,MAT000406,243.85,KG,1200
100,RES0000347,0008,1000062,MAT000407,431.62,KG,1200
100,RES0000348,0009,1000062,MAT000461,488.19,KG,1200
100,RES0000349,0010,1000062,MAT000136,185.17,KG,1200
100,RES0000350,0001,1000062,MAT000437,44.96,KG,1200
100,RES0000351,0002,1000063,MAT000137,6966.12,KG,1000
100,RES0000352,0003,1000063,MAT000498,2591.32,KG,1000
100,RES0000353,0004,1000063,MAT000203,2351.54,KG,1000
100,RES0000354,0005,1000063,MAT000269,7097.43,KG,1000
100,RES0000355,0006,1000063,MAT000079,11354.63,KG,1000
100,RES0000356,0007,1000063,MAT000030,13468.1,KG,1000
100,RES0000357,0008,1000064,MAT000438,240.16,KG,1000
100,RES0000358,0009,1000064,MAT000437,411.79,KG,1000
100,RES0000359,0010,1000064,MAT000348,55.24,KG,1000
100,RES0000360,0001,1000064,MAT000097,28.51,KG,1000
100,RES0000361,0002,1000064,MAT000244,470.57,KG,1000
100,RES0000362,0003,1000064,MAT000047,675.43,KG,1000
100,RES0000363,0004,1000065,MAT000204,10087.48,KG,1200
100,RES0000364,0005,1000065,MAT000398,5793.39,KG,1200
100,RES0000365,0006,1000065,MAT000208,1183.13,KG,1200
100,RES0000366,0007,1000065,MAT000048,3494.43,KG,1200
100,RES0000367,0008,1000065,MAT000028,4762.78,KG,1200
100,RES0000368,0009,1000065,MAT000260,9306.96,KG,1200
100,RES0000369,0010,1000066,MAT000388,5950.91,KG,1100
100,RES0000370,0001,1000066,MAT000370,4638.71,KG,1100
100,RES0000371,0002,1000066,MAT000257,9601.76,KG,1100
100,RES0000372,0003,1000066,MAT000099,11159.35,KG,1100
100,RES0000373,0004,1000066,MAT000442,2929.3,KG,1100
100,RES0000374,0005,1000067,MAT000042,5760.81,KG,1200
100,RES0000375,0006,1000067,MAT000081,11969.53,KG,1200
100,RES0000376,0007,1000067,MAT000271,12348.98,KG,1200
100,RES0000377,0008,1000067,MAT000025,6105.44,KG,1200
100,RES0000378,0009,1000067,MAT000395,2724.04,KG,1200
100,RES0000379,0010,1000067,MAT000314,9015.73,KG,1200
100,RES0000380,0001,1000067,MAT000284,6349.71,KG,1200
100,RES0000381,0002,1000068,MAT000243,32354.04,KG,1100
100,RES0000382,0003,1000068,MAT000309,4272.11,KG,1100
100,RES0000383,0004,1000068,MAT000165,19979.52,KG,1100
100,RES0000384,0005,1000068,MAT000204,584.89,KG,1100
100,RES0000385,0006,1000068,MAT000052,4652.4,KG,1100
100,RES0000386,0007,1000068,MAT000489,6672.44,KG,1100
100,RES0000387,0008,1000068,MAT000241,17877.93,KG,1100
100,RES0000388,0009,1000069,MAT000292,17547.91,KG,1100
100,RES0000389,0010,1000069,MAT000182,15924.06,KG,1100
100,RES0000390,0001,1000069,MAT000387,4940.6,KG,1100
100,RES0000391,0002,1000070,MAT000437,1671.41,KG,1000
100,RES0000392,0003,1000070,MAT000461,4659.34,KG,1000
100,RES0000393,0004,1000070,MAT000045,3072.83,KG,1000
100,RES0000394,0005,1000070,MAT000384,997.88,KG,1000
100,RES0000395,0006,1000071,MAT000478,59.44,KG,1200
100,RES0000396,0007,1000071,MAT000351,71.34,KG,1200
100,RES0000397,0008,1000071,MAT000227,377.41,KG,1200
100,RES0000398,0009,1000071,MAT000384,173.1,KG,1200
100,RES0000399,0010,1000071,MAT000207,101.84,KG,1200
100,RES0000400,0001,1000072,MAT000398,1301.54,KG,1200
100,RES0000401,0002,1000072,MAT000394,810.0,KG,1200
100,RES0000402,0003,1000072,MAT000030,468.54,KG,1200
100,RES0000403,0004,1000072,MAT000393,782.33,KG,1200
100,RES0000404,0005,1000072,MAT000123,1063.37,KG,1200
100,RES0000405,0006,1000072,MAT000298,1867.92,KG,1200
100,RES0000406,0007,1000072,MAT000079,1736.95,KG,1200
100,RES0000407,0008,1000072,MAT000498,1439.53,KG,1200
100,RES0000408,0009,1000073,MAT000445,9429.09,KG,1000
100,RES0000409,0010,1000073,MAT000182,1891.62,KG,1000
100,RES0000410,0001,1000073,MAT000407,289.67,KG,1000
100,RES0000411,0002,1000073,MAT000436,7940.08,KG,1000
100,RES0000412,0003,1000073,MAT000036,2544.83,KG,1000
100,RES0000413,0004,1000073,MAT000098,7131.66,KG,1000
100,RES0000414,0005,1000073,MAT000028,8945.57,KG,1000
100,RES0000415,0006,1000074,MAT000084,3281.68,KG,1200
100,RES0000416,0007,1000074,MAT000485,4685.5,KG,1200
100,RES0000417,0008,1000074,MAT000298,3356.83,KG,1200
100,RES0000418,0009,1000074,MAT000021,1632.17,KG,1200
100,RES0000419,0010,1000074,MAT000351,3078.38,KG,1200
100,RES0000420,0001,1000075,MAT000445,11733.67,KG,1200
100,RES0000421,0002,1000075,MAT000182,2353.95,KG,1200
100,RES0000422,0003,1000075,MAT000407,360.47,KG,1200
100,RES0000423,0004,1000075,MAT000436,9880.72,KG,1200
100,RES0000424,0005,1000075,MAT000036,3166.82,KG,1200
100,RES0000425,0006,1000075,MAT000098,8874.71,KG,1200
100,RES0000426,0007,1000075,MAT000028,11131.97,KG,1200
100,RES0000427,0008,1000076,MAT000085,12043.94,KG,1200
100,RES0000428,0009,1000076,MAT000202,21526.97,KG,1200
100,RES0000429,0010,1000076,MAT000307,12863.71,KG,1200
100,RES0000430,0001,1000076,MAT000430,15366.86,KG,1200
100,RES0000431,0002,1000076,MAT000436,17466.39,KG,1200
100,RES0000432,0003,1000076,MAT000030,29536.08,KG,1200
100,RES0000433,0004,1000077,MAT000420,3314.05,KG,1200
100,RES0000434,0005,1000077,MAT000042,11318.69,KG,1200
100,RES0000435,0006,1000077,MAT000286,2318.18,KG,1200
100,RES0000436,0007,1000077,MAT000478,4382.41,KG,1200
100,RES0000437,0008,1000077,MAT000424,9190.55,KG,1200
100,RES0000438,0009,1000077,MAT000461,9134.05,KG,1200
