MANDT,MATNR,WERKS,BEDAE,VERSB
100,000000000000100131,0002,LSF3,03
100,000000000000100132,0003,LSF1,01
100,000000000000100133,0004,LSF2,02
100,000000000000100134,0005,LSF3,03
100,000000000000100135,0006,LSF1,01
100,000000000000100136,0007,LSF2,02
100,000000000000100137,0008,LSF3,03
100,000000000000100138,0009,LSF1,01
100,000000000000100139,0010,LSF2,02
100,000000000000100140,0001,LSF3,03
100,000000000000100141,0002,LSF1,01
100,000000000000100142,0003,LSF2,02
100,000000000000100143,0004,LSF3,03
100,000000000000100144,0005,LSF1,01
100,000000000000100145,0006,LSF2,02
100,000000000000100146,0007,LSF3,03
100,000000000000100147,0008,LSF1,01
100,000000000000100148,0009,LSF2,02
100,000000000000100149,0010,LSF3,03
100,000000000000100150,0001,LSF1,01
100,000000000000100151,0002,LSF2,02
100,000000000000100152,0003,LSF3,03
100,000000000000100153,0004,LSF1,01
100,000000000000100154,0005,LSF2,02
100,000000000000100155,0006,LSF3,03
100,000000000000100156,0007,LSF1,01
100,000000000000100157,0008,LSF2,02
100,000000000000100158,0009,LSF3,03
100,000000000000100159,0010,LSF1,01
100,000000000000100160,0001,LSF2,02
100,000000000000100161,0002,LSF3,03
100,000000000000100162,0003,LSF1,01
100,000000000000100163,0004,LSF2,02
100,000000000000100164,0005,LSF3,03
100,000000000000100165,0006,LSF1,01
100,000000000000100166,0007,LSF2,02
100,000000000000100167,0008,LSF3,03
100,000000000000100168,0009,LSF1,01
100,000000000000100169,0010,LSF2,02
100,000000000000100170,0001,LSF3,03
100,000000000000100171,0002,LSF1,01
100,000000000000100172,0003,LSF2,02
100,000000000000100173,0004,LSF3,03
100,000000000000100174,0005,LSF1,01
100,000000000000100175,0006,LSF2,02
100,000000000000100176,0007,LSF3,03
100,000000000000100177,0008,LSF1,01
100,000000000000100178,0009,LSF2,02
100,000000000000100179,0010,LSF3,03
100,000000000000100180,0001,LSF1,01
100,000000000000100181,0002,LSF2,02
100,000000000000100182,0003,LSF3,03
100,000000000000100183,0004,LSF1,01
100,000000000000100184,0005,LSF2,02
100,000000000000100185,0006,LSF3,03
100,000000000000100186,0007,LSF1,01
100,000000000000100187,0008,LSF2,02
100,000000000000100188,0009,LSF3,03
100,000000000000100189,0010,LSF1,01
100,000000000000100190,0001,LSF2,02
100,000000000000100191,0002,LSF3,03
100,000000000000100192,0003,LSF1,01
100,000000000000100193,0004,LSF2,02
100,000000000000100194,0005,LSF3,03
100,000000000000100195,0006,LSF1,01
100,000000000000100196,0007,LSF2,02
100,000000000000100197,0008,LSF3,03
100,000000000000100198,0009,LSF1,01
100,000000000000100199,0010,LSF2,02
100,000000000000100200,0001,LSF3,03
100,000000000000100201,0002,LSF1,01
100,000000000000100202,0003,LSF2,02
100,000000000000100203,0004,LSF3,03
100,000000000000100204,0005,LSF1,01
100,000000000000100205,0006,LSF2,02
100,000000000000100206,0007,LSF3,03
100,000000000000100207,0008,LSF1,01
100,000000000000100208,0009,LSF2,02
100,000000000000100209,0010,LSF3,03
100,000000000000100210,0001,LSF1,01
100,000000000000100211,0002,LSF2,02
100,000000000000100212,0003,LSF3,03
100,000000000000100213,0004,LSF1,01
100,000000000000100214,0005,LSF2,02
100,000000000000100215,0006,LSF3,03
100,000000000000100216,0007,LSF1,01
100,000000000000100217,0008,LSF2,02
100,000000000000100218,0009,LSF3,03
100,000000000000100219,0010,LSF1,01
100,000000000000100220,0001,LSF2,02
100,000000000000100221,0002,LSF3,03
100,000000000000100222,0003,LSF1,01
100,000000000000100223,0004,LSF2,02
100,000000000000100224,0005,LSF3,03
100,000000000000100225,0006,LSF1,01
100,000000000000100226,0007,LSF2,02
100,000000000000100227,0008,LSF3,03
100,000000000000100228,0009,LSF1,01
100,000000000000100229,0010,LSF2,02
100,000000000000100230,0001,LSF3,03
100,000000000000100231,0002,LSF1,01
100,000000000000100232,0003,LSF2,02
100,000000000000100233,0004,LSF3,03
100,000000000000100234,0005,LSF1,01
100,000000000000100235,0006,LSF2,02
100,000000000000100236,0007,LSF3,03
100,000000000000100237,0008,LSF1,01
100,000000000000100238,0009,LSF2,02
100,000000000000100239,0010,LSF3,03
100,000000000000100240,0001,LSF1,01
100,000000000000100241,0002,LSF2,02
100,000000000000100242,0003,LSF3,03
100,000000000000100243,0004,LSF1,01
100,000000000000100244,0005,LSF2,02
100,000000000000100245,0006,LSF3,03
100,000000000000100246,0007,LSF1,01
100,000000000000100247,0008,LSF2,02
100,000000000000100248,0009,LSF3,03
100,000000000000100249,0010,LSF1,01
100,000000000000100250,0001,LSF2,02
100,000000000000100251,0002,LSF3,03
100,000000000000100252,0003,LSF1,01
100,000000000000100253,0004,LSF2,02
100,000000000000100254,0005,LSF3,03
100,000000000000100255,0006,LSF1,01
100,000000000000100256,0007,LSF2,02
100,000000000000100257,0008,LSF3,03
100,000000000000100258,0009,LSF1,01
100,000000000000100259,0010,LSF2,02
100,000000000000100260,0001,LSF3,03
100,000000000000100261,0002,LSF1,01
100,000000000000100262,0003,LSF2,02
100,000000000000100263,0004,LSF3,03
100,000000000000100264,0005,LSF1,01
100,000000000000100265,0006,LSF2,02
100,000000000000100266,0007,LSF3,03
100,000000000000100267,0008,LSF1,01
100,000000000000100268,0009,LSF2,02
100,000000000000100269,0010,LSF3,03
100,000000000000100270,0001,LSF1,01
100,000000000000100271,0002,LSF2,02
100,000000000000100272,0003,LSF3,03
100,000000000000100273,0004,LSF1,01
100,000000000000100274,0005,LSF2,02
100,000000000000100275,0006,LSF3,03
100,000000000000100276,0007,LSF1,01
100,000000000000100277,0008,LSF2,02
100,000000000000100278,0009,LSF3,03
100,000000000000100279,0010,LSF1,01
100,000000000000100280,0001,LSF2,02
100,000000000000100281,0002,LSF3,03
100,000000000000100282,0003,LSF1,01
100,000000000000100283,0004,LSF2,02
100,000000000000100284,0005,LSF3,03
100,000000000000100285,0006,LSF1,01
100,000000000000100286,0007,LSF2,02
100,000000000000100287,0008,LSF3,03
100,000000000000100288,0009,LSF1,01
100,000000000000100289,0010,LSF2,02
100,000000000000100290,0001,LSF3,03
100,000000000000100291,0002,LSF1,01
100,000000000000100292,0003,LSF2,02
100,000000000000100293,0004,LSF3,03
100,000000000000100294,0005,LSF1,01
100,000000000000100295,0006,LSF2,02
100,000000000000100296,0007,LSF3,03
100,000000000000100297,0008,LSF1,01
100,000000000000100298,0009,LSF2,02
100,000000000000100299,0010,LSF3,03
