MANDT,MATNR,WERKS,LGORT,LABST,INSME,SPEME
100,000000000000100257,0008,0003,390,101,12
100,000000000000100258,0009,0001,1338,15,27
100,000000000000100259,0010,0002,2083,121,80
100,000000000000100260,0001,0003,788,115,95
100,000000000000100261,0002,0001,2741,66,46
100,000000000000100262,0003,0002,2951,143,71
100,000000000000100263,0004,0003,2111,88,2
100,000000000000100264,0005,0001,3373,31,44
100,000000000000100265,0006,0002,4960,50,73
100,000000000000100266,0007,0003,4717,166,83
100,000000000000100267,0008,0001,4410,44,99
100,000000000000100268,0009,0002,2331,90,41
100,000000000000100269,0010,0003,4181,124,99
100,000000000000100270,0001,0001,3661,20,48
100,000000000000100271,0002,0002,2347,118,80
100,000000000000100272,0003,0003,1186,42,81
100,000000000000100273,0004,0001,2763,107,80
100,000000000000100274,0005,0002,4682,103,9
100,000000000000100275,0006,0003,648,41,43
100,000000000000100276,0007,0001,1869,80,40
100,000000000000100277,0008,0002,2386,181,34
100,000000000000100278,0009,0003,4959,165,50
100,000000000000100279,0010,0001,2222,113,99
100,000000000000100280,0001,0002,2975,191,75
100,000000000000100281,0002,0003,4267,115,52
100,000000000000100282,0003,0001,1370,47,2
100,000000000000100283,0004,0002,1024,186,30
100,000000000000100284,0005,0003,2061,190,89
100,000000000000100285,0006,0001,655,53,21
100,000000000000100286,0007,0002,3252,26,12
100,000000000000100287,0008,0003,522,121,70
100,000000000000100288,0009,0001,440,6,98
100,000000000000100289,0010,0002,3252,134,97
100,000000000000100290,0001,0003,681,26,33
100,000000000000100291,0002,0001,1272,21,83
100,000000000000100292,0003,0002,3193,79,29
100,000000000000100293,0004,0003,2026,188,36
100,000000000000100294,0005,0001,3630,160,16
100,000000000000100295,0006,0002,1075,134,21
100,000000000000100296,0007,0003,234,8,84
100,000000000000100297,0008,0001,2923,83,60
100,000000000000100298,0009,0002,3827,138,34
100,000000000000100299,0010,0003,4493,113,17
100,000000000000100300,0001,0001,4417,45,75
100,000000000000100301,0002,0002,4895,116,80
100,000000000000100302,0003,0003,4620,111,67
100,000000000000100303,0004,0001,4372,79,44
100,000000000000100304,0005,0002,3945,138,29
100,000000000000100305,0006,0003,733,113,39
100,000000000000100306,0007,0001,2996,105,33
100,000000000000100307,0008,0002,1275,77,1
100,000000000000100308,0009,0003,0,133,97
100,000000000000100309,0010,0001,1116,88,36
100,000000000000100310,0001,0002,3843,136,1
100,000000000000100311,0002,0003,4029,193,61
100,000000000000100312,0003,0001,2454,2,98
100,000000000000100313,0004,0002,3526,74,76
100,000000000000100314,0005,0003,1894,1,70
100,000000000000100315,0006,0001,3060,48,52
100,000000000000100316,0007,0002,4592,111,50
100,000000000000100317,0008,0003,2047,41,91
100,000000000000100318,0009,0001,3192,96,28
100,000000000000100319,0010,0002,2154,20,54
100,000000000000100320,0001,0003,1962,132,97
100,000000000000100321,0002,0001,2227,72,83
100,000000000000100322,0003,0002,4357,68,52
100,000000000000100323,0004,0003,1540,17,23
100,000000000000100324,0005,0001,1119,74,14
100,000000000000100325,0006,0002,3730,158,57
100,000000000000100326,0007,0003,2229,179,79
100,000000000000100327,0008,0001,4030,48,41
100,000000000000100328,0009,0002,158,38,6
100,000000000000100329,0010,0003,4382,5,23
100,000000000000100330,0001,0001,837,72,34
100,000000000000100331,0002,0002,1024,183,56
100,000000000000100332,0003,0003,67,59,11
100,000000000000100333,0004,0001,1234,3,63
100,000000000000100334,0005,0002,1779,87,53
100,000000000000100335,0006,0003,2552,127,47
100,000000000000100336,0007,0001,3798,178,4
100,000000000000100337,0008,0002,2705,20,96
100,000000000000100338,0009,0003,1196,14,34
100,000000000000100339,0010,0001,3214,18,69
100,000000000000100340,0001,0002,3851,46,24
100,000000000000100341,0002,0003,2048,97,1
100,000000000000100342,0003,0001,999,196,91
100,000000000000100343,0004,0002,2039,98,98
100,000000000000100344,0005,0003,3628,63,94
100,000000000000100345,0006,0001,274,50,58
100,000000000000100346,0007,0002,769,133,85
100,000000000000100347,0008,0003,1707,121,49
100,000000000000100348,0009,0001,2556,82,20
100,000000000000100349,0010,0002,345,190,70
100,000000000000100350,0001,0003,4267,31,32
100,000000000000100351,0002,0001,3942,163,38
100,000000000000100352,0003,0002,1627,92,6
100,000000000000100353,0004,0003,1784,28,30
100,000000000000100354,0005,0001,3556,83,1
100,000000000000100355,0006,0002,1371,70,74
100,000000000000100356,0007,0003,980,101,31
100,000000000000100357,0008,0001,73,10,74
100,000000000000100358,0009,0002,3893,176,76
100,000000000000100359,0010,0003,1269,95,98
100,000000000000100360,0001,0001,733,63,20
100,000000000000100361,0002,0002,4095,23,87
100,000000000000100362,0003,0003,2772,194,80
100,000000000000100363,0004,0001,491,15,45
100,000000000000100364,0005,0002,1260,179,68
100,000000000000100365,0006,0003,879,32,62
100,000000000000100366,0007,0001,1906,81,71
100,000000000000100367,0008,0002,2845,112,93
100,000000000000100368,0009,0003,1580,5,88
100,000000000000100369,0010,0001,3094,91,92
100,000000000000100370,0001,0002,1103,64,5
100,000000000000100371,0002,0003,3975,180,56
100,000000000000100372,0003,0001,4579,75,69
100,000000000000100373,0004,0002,4014,48,72
100,000000000000100374,0005,0003,1528,139,44
100,000000000000100375,0006,0001,2651,187,59
100,000000000000100376,0007,0002,2255,153,70
100,000000000000100377,0008,0003,1313,17,67
100,000000000000100378,0009,0001,1269,115,37
100,000000000000100379,0010,0002,2157,138,46
100,000000000000100380,0001,0003,3719,0,99
100,000000000000100381,0002,0001,4144,97,93
100,000000000000100382,0003,0002,1519,4,79
100,000000000000100383,0004,0003,2982,198,79
100,000000000000100384,0005,0001,1956,82,92
100,000000000000100385,0006,0002,518,168,68
100,000000000000100386,0007,0003,3174,48,67
100,000000000000100387,0008,0001,4075,196,70
100,000000000000100388,0009,0002,1262,156,36
100,000000000000100389,0010,0003,2642,104,82
100,000000000000100390,0001,0001,2638,28,12
100,000000000000100391,0002,0002,4286,168,8
100,000000000000100392,0003,0003,358,33,22
100,000000000000100393,0004,0001,256,51,13
100,000000000000100394,0005,0002,3976,49,12
100,000000000000100395,0006,0003,260,146,82
100,000000000000100396,0007,0001,3183,168,62
100,000000000000100397,0008,0002,4307,159,89
100,000000000000100398,0009,0003,4835,65,6
100,000000000000100399,0010,0001,3001,56,77
100,000000000000100400,0001,0002,580,3,26
100,000000000000100401,0002,0003,4025,20,59
100,000000000000100402,0003,0001,497,92,71
100,000000000000100403,0004,0002,3407,94,90
100,000000000000100404,0005,0003,477,157,34
100,000000000000100405,0006,0001,4333,10,93
100,000000000000100406,0007,0002,576,77,9
100,000000000000100407,0008,0003,1768,132,12
100,000000000000100408,0009,0001,829,185,29
100,000000000000100409,0010,0002,4355,98,24
100,000000000000100410,0001,0003,1582,134,84
100,000000000000100411,0002,0001,2037,145,80
100,000000000000100412,0003,0002,1465,142,95
100,000000000000100413,0004,0003,4572,106,95
100,000000000000100414,0005,0001,864,196,81
100,000000000000100415,0006,0002,4723,91,86
100,000000000000100416,0007,0003,3757,179,85
100,000000000000100417,0008,0001,3498,26,21
100,000000000000100418,0009,0002,1477,140,51
100,000000000000100419,0010,0003,4134,86,84
100,000000000000100420,0001,0001,1295,136,76
100,000000000000100421,0002,0002,3629,90,40
100,000000000000100422,0003,0003,4506,83,47
100,000000000000100423,0004,0001,3377,195,81
100,000000000000100424,0005,0002,3527,185,41
100,000000000000100425,0006,0003,4984,61,72
100,000000000000100426,0007,0001,4469,54,48
100,000000000000100427,0008,0002,4507,190,32
100,000000000000100428,0009,0003,2949,115,57
100,000000000000100429,0010,0001,3252,0,92
100,000000000000100430,0001,0002,283,72,76
100,000000000000100431,0002,0003,133,132,17
100,000000000000100432,0003,0001,2472,1,38
100,000000000000100433,0004,0002,1817,54,40
100,000000000000100434,0005,0003,177,197,88
100,000000000000100435,0006,0001,2260,141,65
100,000000000000100436,0007,0002,4557,146,73
100,000000000000100437,0008,0003,1267,24,4
100,000000000000100438,0009,0001,3771,91,19
100,000000000000100439,0010,0002,1133,67,46
100,000000000000100440,0001,0003,4769,63,29
100,000000000000100441,0002,0001,2099,76,11
100,000000000000100442,0003,0002,4673,102,72
100,000000000000100443,0004,0003,1781,187,9
100,000000000000100444,0005,0001,2659,123,22
100,000000000000100445,0006,0002,3999,176,89
100,000000000000100446,0007,0003,4720,24,76
100,000000000000100447,0008,0001,2460,9,93
100,000000000000100448,0009,0002,4720,97,10
100,000000000000100449,0010,0003,458,197,42
100,000000000000100450,0001,0001,2850,111,53
100,000000000000100451,0002,0002,987,197,29
100,000000000000100452,0003,0003,4934,2,81
100,000000000000100453,0004,0001,3133,13,39
100,000000000000100454,0005,0002,4295,10,40
100,000000000000100455,0006,0003,4423,144,19
100,000000000000100456,0007,0001,2677,128,89
100,000000000000100457,0008,0002,1808,39,6
100,000000000000100458,0009,0003,3218,114,96
100,000000000000100459,0010,0001,4875,147,64
100,000000000000100460,0001,0002,737,56,55
100,000000000000100461,0002,0003,2373,100,18
100,000000000000100462,0003,0001,1082,86,10
100,000000000000100463,0004,0002,3898,146,95
100,000000000000100464,0005,0003,403,140,51
100,000000000000100465,0006,0001,2150,21,51
100,000000000000100466,0007,0002,4110,111,99
100,000000000000100467,0008,0003,1068,195,17
100,000000000000100468,0009,0001,3939,143,25
100,000000000000100469,0010,0002,3996,101,83
100,000000000000100470,0001,0003,4680,50,71
100,000000000000100471,0002,0001,4294,63,31
100,000000000000100472,0003,0002,586,68,99
100,000000000000100473,0004,0003,3523,82,87
100,000000000000100474,0005,0001,4718,22,14
100,000000000000100475,0006,0002,3388,108,46
100,000000000000100476,0007,0003,2853,48,41
100,000000000000100477,0008,0001,2822,152,83
100,000000000000100478,0009,0002,198,197,39
100,000000000000100479,0010,0003,1386,89,78
100,000000000000100480,0001,0001,3622,159,18
100,000000000000100481,0002,0002,3608,11,29
100,000000000000100482,0003,0003,1635,175,47
100,000000000000100483,0004,0001,1277,193,93
100,000000000000100484,0005,0002,702,28,94
100,000000000000100485,0006,0003,446,62,79
100,000000000000100486,0007,0001,1209,73,1
100,000000000000100487,0008,0002,2812,177,14
100,000000000000100488,0009,0003,2499,115,60
100,000000000000100489,0010,0001,186,84,26
100,000000000000100490,0001,0002,4407,54,26
100,000000000000100491,0002,0003,4476,133,96
100,000000000000100492,0003,0001,2118,140,61
100,000000000000100493,0004,0002,1157,177,89
100,000000000000100494,0005,0003,150,96,74
100,000000000000100495,0006,0001,4315,11,32
100,000000000000100496,0007,0002,1395,15,36
100,000000000000100497,0008,0003,1644,178,79
100,000000000000100498,0009,0001,2222,13,59
100,000000000000100499,0010,0002,68,17,49
100,000000000000100500,0001,0003,2222,169,84
100,000000000000100501,0002,0001,2950,27,2
100,000000000000100502,0003,0002,2396,166,49
100,000000000000100503,0004,0003,1893,97,65
100,000000000000100504,0005,0001,815,80,62
100,000000000000100505,0006,0002,4891,136,11
100,000000000000100506,0007,0003,1527,50,64
100,000000000000100507,0008,0001,3751,143,91
100,000000000000100508,0009,0002,176,10,31
100,000000000000100509,0010,0003,4336,78,42
100,000000000000100510,0001,0001,4013,100,95
100,000000000000100511,0002,0002,1286,4,44
100,000000000000100512,0003,0003,2882,90,80
100,000000000000100513,0004,0001,2476,60,64
100,000000000000100514,0005,0002,2259,15,80
100,000000000000100515,0006,0003,2110,99,3
100,000000000000100516,0007,0001,4546,71,28
100,000000000000100517,0008,0002,1242,87,50
100,000000000000100518,0009,0003,1124,22,93
100,000000000000100519,0010,0001,3131,133,86
100,000000000000100520,0001,0002,1863,106,30
100,000000000000100521,0002,0003,4693,39,54
100,000000000000100522,0003,0001,2559,154,42
100,000000000000100523,0004,0002,3679,138,16
100,000000000000100524,0005,0003,1693,167,17
100,000000000000100525,0006,0001,4759,138,87
100,000000000000100526,0007,0002,1657,35,39
100,000000000000100527,0008,0003,4291,34,55
100,000000000000100528,0009,0001,1189,167,72
100,000000000000100529,0010,0002,1294,81,8
100,000000000000100530,0001,0003,4565,136,92
100,000000000000100531,0002,0001,969,47,40
100,000000000000100532,0003,0002,1192,186,3
100,000000000000100533,0004,0003,2610,105,52
100,000000000000100534,0005,0001,2485,113,95
100,000000000000100535,0006,0002,2242,38,99
100,000000000000100536,0007,0003,1539,27,16
100,000000000000100537,0008,0001,1513,6,97
100,000000000000100538,0009,0002,2186,155,72
100,000000000000100539,0010,0003,1891,152,29
100,000000000000100540,0001,0001,1891,175,3
100,000000000000100541,0002,0002,2943,20,88
100,000000000000100542,0003,0003,3904,34,64
100,000000000000100543,0004,0001,4953,120,91
100,000000000000100544,0005,0002,3063,47,49
100,000000000000100545,0006,0003,4025,121,17
100,000000000000100546,0007,0001,1341,49,28
100,000000000000100547,0008,0002,264,104,97
100,000000000000100548,0009,0003,122,69,52
100,000000000000100549,0010,0001,1823,190,85
100,000000000000100550,0001,0002,1661,193,26
100,000000000000100551,0002,0003,541,45,56
100,000000000000100552,0003,0001,4013,176,41
100,000000000000100553,0004,0002,3748,63,54
100,000000000000100554,0005,0003,3316,198,5
100,000000000000100555,0006,0001,4980,188,48
100,000000000000100556,0007,0002,2563,100,78
100,000000000000100557,0008,0003,4685,152,68
100,000000000000100558,0009,0001,4302,164,90
100,000000000000100559,0010,0002,315,133,13
100,000000000000100560,0001,0003,3699,116,5
100,000000000000100561,0002,0001,2012,132,68
100,000000000000100562,0003,0002,3240,188,5
100,000000000000100563,0004,0003,4568,99,66
100,000000000000100564,0005,0001,403,48,37
100,000000000000100565,0006,0002,3600,101,38
100,000000000000100566,0007,0003,2342,118,21
100,000000000000100567,0008,0001,3460,75,78
100,000000000000100568,0009,0002,446,176,66
100,000000000000100569,0010,0003,1165,118,82
100,000000000000100570,0001,0001,3700,23,92
100,000000000000100571,0002,0002,4101,28,23
100,000000000000100572,0003,0003,4795,178,69
100,000000000000100573,0004,0001,1108,100,52
100,000000000000100574,0005,0002,2649,115,3
100,000000000000100575,0006,0003,1465,116,75
100,000000000000100576,0007,0001,1654,116,11
100,000000000000100577,0008,0002,2048,82,88
100,000000000000100578,0009,0003,1343,183,93
100,000000000000100579,0010,0001,1012,23,14
100,000000000000100580,0001,0002,3681,162,46
100,000000000000100581,0002,0003,698,134,90
100,000000000000100582,0003,0001,3146,186,65
100,000000000000100583,0004,0002,1309,96,70
100,000000000000100584,0005,0003,3117,11,98
100,000000000000100585,0006,0001,1399,85,72
100,000000000000100586,0007,0002,1229,41,18
100,000000000000100587,0008,0003,1465,196,91
100,000000000000100588,0009,0001,420,107,39
100,000000000000100589,0010,0002,2535,186,98
100,000000000000100590,0001,0003,3655,73,80
100,000000000000100591,0002,0001,1480,30,16
100,000000000000100592,0003,0002,1661,0,79
100,000000000000100593,0004,0003,2073,3,58
100,000000000000100594,0005,0001,4076,127,69
100,000000000000100595,0006,0002,47,155,63
100,000000000000100596,0007,0003,1948,55,75
100,000000000000100597,0008,0001,3897,116,52
100,000000000000100598,0009,0002,3619,20,76
100,000000000000100599,0010,0003,4916,1,31
100,000000000000100600,0001,0001,4483,71,79
100,000000000000100601,0002,0002,4567,53,6
100,000000000000100602,0003,0003,1514,37,7
100,000000000000100603,0004,0001,2859,9,18
100,000000000000100604,0005,0002,265,170,73
100,000000000000100605,0006,0003,4942,76,42
100,000000000000100606,0007,0001,718,12,13
100,000000000000100607,0008,0002,3415,45,20
100,000000000000100608,0009,0003,2329,156,84
100,000000000000100609,0010,0001,4873,146,100
100,000000000000100610,0001,0002,4605,45,58
100,000000000000100611,0002,0003,4742,92,4
100,000000000000100612,0003,0001,762,196,38
100,000000000000100613,0004,0002,2644,94,48
100,000000000000100614,0005,0003,554,194,54
100,000000000000100615,0006,0001,4509,16,37
100,000000000000100616,0007,0002,3856,34,15
100,000000000000100617,0008,0003,2248,84,67
100,000000000000100618,0009,0001,3389,134,26
100,000000000000100619,0010,0002,1712,156,7
100,000000000000100620,0001,0003,895,146,93
100,000000000000100621,0002,0001,4333,22,61
100,000000000000100622,0003,0002,4954,180,36
100,000000000000100623,0004,0003,3498,155,40
100,000000000000100624,0005,0001,2127,134,73
100,000000000000100625,0006,0002,2898,33,78
100,000000000000100626,0007,0003,4609,127,66
100,000000000000100627,0008,0001,4077,126,23
100,000000000000100628,0009,0002,4992,59,90
100,000000000000100629,0010,0003,2379,49,0
100,000000000000100630,0001,0001,968,6,59
100,000000000000100631,0002,0002,966,188,26
100,000000000000100632,0003,0003,3396,105,5
100,000000000000100633,0004,0001,2734,89,71
100,000000000000100634,0005,0002,1739,2,81
100,000000000000100635,0006,0003,1648,176,36
100,000000000000100636,0007,0001,2084,17,39
100,000000000000100637,0008,0002,2459,129,70
