MANDT,KUNNR,NAME1,LAND1,ORT01,PSTLZ,STRAS
100,CUS000058,Delhaize Eindhoven 58,NL,Eindhoven,6363 AB,Straat 37
100,CUS000059,Delhaize Nijmegen 59,NL,Nijmegen,2609 AB,Straat 133
100,CUS000060,Delhaize Den Haag 60,NL,Den Haag,3174 AB,Straat 53
100,CUS000061,Aldi Den Haag 61,NL,Den Haag,1598 AB,Straat 118
100,CUS000062,Dirk Amsterdam 62,NL,Amsterdam,7350 AB,Straat 183
100,CUS000063,REWE Rotterdam 63,NL,Rotterdam,9558 AB,Straat 30
100,CUS000064,Lidl Tilburg 64,NL,Tilburg,1067 AB,Straat 80
100,CUS000065,Penny Almere 65,NL,Almere,1721 AB,Straat 176
100,CUS000066,Spar Nijmegen 66,NL,Nijmegen,2426 AB,Straat 86
100,CUS000067,Lidl Groningen 67,NL,Groningen,8649 AB,Straat 12
100,CUS000068,Spar Breda 68,NL,Breda,2689 AB,Straat 134
100,CUS000069,Lidl Tilburg 69,NL,Tilburg,6119 AB,Straat 6
100,CUS000070,Aldi Utrecht 70,NL,Utrecht,6114 AB,Straat 164
100,CUS000071,Albert Heijn Den Haag 71,NL,Den Haag,4438 AB,Straat 83
100,CUS000072,Edeka Breda 72,NL,Breda,4285 AB,Straat 50
100,CUS000073,Netto Amsterdam 73,NL,Amsterdam,5695 AB,Straat 71
100,CUS000074,Coop Eindhoven 74,NL,Eindhoven,9720 AB,Straat 82
100,CUS000075,REWE Den Haag 75,NL,Den Haag,8227 AB,Straat 172
100,CUS000076,Edeka Den Haag 76,NL,Den Haag,2927 AB,Straat 70
100,CUS000077,Jumbo Den Haag 77,NL,Den Haag,3446 AB,Straat 41
100,CUS000078,Netto Utrecht 78,NL,Utrecht,5483 AB,Straat 30
100,CUS000079,Penny Tilburg 79,NL,Tilburg,1249 AB,Straat 160
100,CUS000080,Spar Nijmegen 80,NL,Nijmegen,9422 AB,Straat 27
100,CUS000081,Penny Gent 81,BE,Gent,4384 AB,Straat 139
100,CUS000082,Netto Brugge 82,BE,Brugge,6739 AB,Straat 141
100,CUS000083,Coop Antwerpen 83,BE,Antwerpen,6218 AB,Straat 70
100,CUS000084,Edeka Brugge 84,BE,Brugge,3319 AB,Straat 181
100,CUS000085,Delhaize Brussel 85,BE,Brussel,5641 AB,Straat 147
100,CUS000086,REWE Brugge 86,BE,Brugge,5011 AB,Straat 44
100,CUS000087,Coop Gent 87,BE,Gent,2167 AB,Straat 80
100,CUS000088,REWE Leuven 88,BE,Leuven,6549 AB,Straat 139
100,CUS000089,Delhaize Leuven 89,BE,Leuven,8268 AB,Straat 13
100,CUS000090,Colruyt Leuven 90,BE,Leuven,3131 AB,Straat 8
100,CUS000091,Colruyt Brussel 91,BE,Brussel,8712 AB,Straat 173
100,CUS000092,Spar Brussel 92,BE,Brussel,1826 AB,Straat 28
100,CUS000093,Penny Brugge 93,BE,Brugge,7284 AB,Straat 14
100,CUS000094,Netto Brussel 94,BE,Brussel,2410 AB,Straat 110
100,CUS000095,Colruyt Antwerpen 95,BE,Antwerpen,7421 AB,Straat 46
100,CUS000096,Coop Leuven 96,BE,Leuven,8304 AB,Straat 158
100,CUS000097,Colruyt Brussel 97,BE,Brussel,6826 AB,Straat 80
100,CUS000098,Colruyt Brugge 98,BE,Brugge,6444 AB,Straat 51
100,CUS000099,Aldi Brussel 99,BE,Brussel,9740 AB,Straat 21
100,CUS000100,Spar Gent 100,BE,Gent,8629 AB,Straat 146
100,CUS000101,Netto Brugge 101,BE,Brugge,3159 AB,Straat 24
100,CUS000102,Edeka Gent 102,BE,Gent,8672 AB,Straat 25
100,CUS000103,Spar Gent 103,BE,Gent,8464 AB,Straat 80
100,CUS000104,Coop Antwerpen 104,BE,Antwerpen,8625 AB,Straat 121
100,CUS000105,Delhaize Gent 105,BE,Gent,4796 AB,Straat 58
100,CUS000106,REWE Brussel 106,BE,Brussel,3354 AB,Straat 158
100,CUS000107,Netto Leuven 107,BE,Leuven,5227 AB,Straat 94
100,CUS000108,Spar Antwerpen 108,BE,Antwerpen,7423 AB,Straat 47
100,CUS000109,Jumbo Brugge 109,BE,Brugge,6412 AB,Straat 84
100,CUS000110,Jumbo Leuven 110,BE,Leuven,8426 AB,Straat 125
100,CUS000111,Edeka Antwerpen 111,BE,Antwerpen,1495 AB,Straat 17
100,CUS000112,Netto Leuven 112,BE,Leuven,8787 AB,Straat 29
100,CUS000113,Lidl Leuven 113,BE,Leuven,6758 AB,Straat 123
100,CUS000114,Coop Brugge 114,BE,Brugge,8556 AB,Straat 44
100,CUS000115,Spar Gent 115,BE,Gent,5624 AB,Straat 197
100,CUS000116,Lidl Brussel 116,BE,Brussel,6711 AB,Straat 155
100,CUS000117,Delhaize Brugge 117,BE,Brugge,3087 AB,Straat 131
100,CUS000118,Netto Antwerpen 118,BE,Antwerpen,2686 AB,Straat 104
100,CUS000119,Jumbo Brugge 119,BE,Brugge,2752 AB,Straat 84
100,CUS000120,Dirk Gent 120,BE,Gent,2162 AB,Straat 78
100,CUS000121,REWE Antwerpen 121,BE,Antwerpen,9728 AB,Straat 119
100,CUS000122,Jumbo Brussel 122,BE,Brussel,7566 AB,Straat 152
100,CUS000123,REWE Brussel 123,BE,Brussel,7773 AB,Straat 62
100,CUS000124,Carrefour Brugge 124,BE,Brugge,4992 AB,Straat 141
100,CUS000125,Jumbo Gent 125,BE,Gent,3605 AB,Straat 124
100,CUS000126,REWE Leuven 126,BE,Leuven,7288 AB,Straat 17
100,CUS000127,REWE Brugge 127,BE,Brugge,6582 AB,Straat 54
100,CUS000128,Delhaize Leuven 128,BE,Leuven,8063 AB,Straat 112
100,CUS000129,Coop Antwerpen 129,BE,Antwerpen,6606 AB,Straat 140
100,CUS000130,Coop Leuven 130,BE,Leuven,4869 AB,Straat 45
100,CUS000131,Edeka Berlin 131,DE,Berlin,2276 AB,Straat 190
100,CUS000132,Netto Hamburg 132,DE,Hamburg,8972 AB,Straat 30
100,CUS000133,Delhaize München 133,DE,München,8584 AB,Straat 84
100,CUS000134,Lidl Hamburg 134,DE,Hamburg,2599 AB,Straat 114
100,CUS000135,Lidl Hamburg 135,DE,Hamburg,3886 AB,Straat 79
100,CUS000136,Coop Berlin 136,DE,Berlin,7648 AB,Straat 18
100,CUS000137,Plus München 137,DE,München,2781 AB,Straat 176
100,CUS000138,Plus Köln 138,DE,Köln,7208 AB,Straat 84
100,CUS000139,Jumbo Hamburg 139,DE,Hamburg,9098 AB,Straat 166
100,CUS000140,Aldi Hamburg 140,DE,Hamburg,2007 AB,Straat 24
100,CUS000141,Delhaize Berlin 141,DE,Berlin,4565 AB,Straat 36
100,CUS000142,Albert Heijn München 142,DE,München,1003 AB,Straat 194
100,CUS000143,Spar Köln 143,DE,Köln,3403 AB,Straat 170
100,CUS000144,Colruyt Köln 144,DE,Köln,3444 AB,Straat 116
100,CUS000145,Delhaize Berlin 145,DE,Berlin,9704 AB,Straat 75
100,CUS000146,Aldi Köln 146,DE,Köln,7389 AB,Straat 158
100,CUS000147,Delhaize Hamburg 147,DE,Hamburg,8326 AB,Straat 51
100,CUS000148,Spar Köln 148,DE,Köln,4369 AB,Straat 175
100,CUS000149,Spar Köln 149,DE,Köln,6187 AB,Straat 77
100,CUS000150,Delhaize Berlin 150,DE,Berlin,5989 AB,Straat 112
100,CUS000151,Albert Heijn Frankfurt 151,DE,Frankfurt,6640 AB,Straat 23
100,CUS000152,Netto Hamburg 152,DE,Hamburg,1133 AB,Straat 157
100,CUS000153,Plus Frankfurt 153,DE,Frankfurt,9362 AB,Straat 104
100,CUS000154,Carrefour Frankfurt 154,DE,Frankfurt,3089 AB,Straat 76
100,CUS000155,Penny Frankfurt 155,DE,Frankfurt,2022 AB,Straat 95
100,CUS000156,Albert Heijn Hamburg 156,DE,Hamburg,9992 AB,Straat 14
100,CUS000157,Lidl Hamburg 157,DE,Hamburg,1013 AB,Straat 181
100,CUS000158,Carrefour Berlin 158,DE,Berlin,6885 AB,Straat 29
100,CUS000159,Albert Heijn München 159,DE,München,5623 AB,Straat 8
100,CUS000160,Penny Hamburg 160,DE,Hamburg,4854 AB,Straat 111
100,CUS000161,Carrefour Berlin 161,DE,Berlin,7459 AB,Straat 161
100,CUS000162,Penny Frankfurt 162,DE,Frankfurt,6212 AB,Straat 183
100,CUS000163,Plus Frankfurt 163,DE,Frankfurt,7271 AB,Straat 104
100,CUS000164,Netto München 164,DE,München,7251 AB,Straat 112
100,CUS000165,Albert Heijn Berlin 165,DE,Berlin,9931 AB,Straat 55
100,CUS000166,Coop Berlin 166,DE,Berlin,3841 AB,Straat 122
100,CUS000167,Lidl Hamburg 167,DE,Hamburg,3278 AB,Straat 49
100,CUS000168,Delhaize München 168,DE,München,7301 AB,Straat 93
100,CUS000169,Delhaize Frankfurt 169,DE,Frankfurt,7835 AB,Straat 40
100,CUS000170,Lidl Frankfurt 170,DE,Frankfurt,5726 AB,Straat 172
100,CUS000171,REWE Köln 171,DE,Köln,3056 AB,Straat 35
100,CUS000172,Dirk Frankfurt 172,DE,Frankfurt,1190 AB,Straat 19
100,CUS000173,Jumbo Berlin 173,DE,Berlin,1257 AB,Straat 37
100,CUS000174,Dirk München 174,DE,München,8974 AB,Straat 169
100,CUS000175,Netto München 175,DE,München,8155 AB,Straat 35
100,CUS000176,Penny Köln 176,DE,Köln,2387 AB,Straat 36
100,CUS000177,Edeka Berlin 177,DE,Berlin,7813 AB,Straat 117
100,CUS000178,Penny Köln 178,DE,Köln,7974 AB,Straat 160
100,CUS000179,Jumbo Frankfurt 179,DE,Frankfurt,3945 AB,Straat 117
100,CUS000180,Spar München 180,DE,München,9346 AB,Straat 109
100,CUS000181,Jumbo Hamburg 181,DE,Hamburg,8373 AB,Straat 99
100,CUS000182,Dirk München 182,DE,München,6821 AB,Straat 58
100,CUS000183,Coop Frankfurt 183,DE,Frankfurt,4044 AB,Straat 109
100,CUS000184,Aldi Frankfurt 184,DE,Frankfurt,1121 AB,Straat 148
100,CUS000185,Delhaize Hamburg 185,DE,Hamburg,9161 AB,Straat 188
100,CUS000186,Jumbo Berlin 186,DE,Berlin,4878 AB,Straat 183
100,CUS000187,REWE Frankfurt 187,DE,Frankfurt,9220 AB,Straat 69
100,CUS000188,Jumbo Frankfurt 188,DE,Frankfurt,7731 AB,Straat 140
100,CUS000189,REWE Köln 189,DE,Köln,7012 AB,Straat 9
100,CUS000190,Netto Frankfurt 190,DE,Frankfurt,1620 AB,Straat 146
100,CUS000191,Coop München 191,DE,München,8917 AB,Straat 181
100,CUS000192,Penny Frankfurt 192,DE,Frankfurt,7038 AB,Straat 29
100,CUS000193,Plus München 193,DE,München,8889 AB,Straat 177
100,CUS000194,Delhaize Frankfurt 194,DE,Frankfurt,2311 AB,Straat 37
100,CUS000195,Dirk Frankfurt 195,DE,Frankfurt,9624 AB,Straat 193
100,CUS000196,Delhaize Hamburg 196,DE,Hamburg,5578 AB,Straat 120
100,CUS000197,Spar Frankfurt 197,DE,Frankfurt,9469 AB,Straat 21
100,CUS000198,REWE Frankfurt 198,DE,Frankfurt,9574 AB,Straat 157
100,CUS000199,Spar Köln 199,DE,Köln,2449 AB,Straat 63
100,CUS000200,Netto Hamburg 200,DE,Hamburg,8740 AB,Straat 162
