MANDT,MBLNR,MJAHR,ZEILE,BWART,MATNR,WERKS,LGORT,MENGE,MEINS,DMBTR,WAERS
100,5000000039,2025,0001,201,MAT000034,1300,0010,4623.3,KG,83664.62,EUR
100,5000000040,2024,0001,601,MAT000048,1200,0002,249.02,KG,1851.72,EUR
100,5000000040,2024,0002,601,MAT000430,1100,0003,2577.86,KG,47781.04,EUR
100,5000000040,2024,0003,261,MAT000457,1100,0001,3538.85,KG,66535.61,EUR
100,5000000040,2024,0004,901,MAT000085,1000,0010,624.76,KG,3372.16,EUR
100,5000000041,2023,0001,201,MAT000099,1300,0001,2097.68,KG,11154.11,EUR
100,5000000042,2022,0001,261,MAT000005,1100,0010,184.16,KG,773.69,EUR
100,5000000042,2022,0002,261,MAT000423,1200,0010,1361.26,KG,15931.13,EUR
100,5000000042,2022,0003,901,MAT000020,1200,0010,2475.21,KG,17608.3,EUR
100,5000000043,2024,0001,261,MAT000058,1200,0001,2012.89,KG,18791.03,EUR
100,5000000043,2024,0002,601,MAT000369,1000,0010,339.3,KG,2839.86,EUR
100,5000000043,2024,0003,201,MAT000413,1200,0002,2791.11,KG,36253.64,EUR
100,5000000044,2024,0001,201,MAT000169,1300,0003,584.33,KG,1896.05,EUR
100,5000000044,2024,0002,301,MAT000424,1300,0010,4904.17,KG,13487.01,EUR
100,5000000045,2024,0001,551,MAT000184,1400,0010,4565.25,KG,21146.28,EUR
100,5000000045,2024,0002,201,MAT000254,1000,0002,995.16,KG,8446.29,EUR
100,5000000045,2024,0003,261,MAT000229,1400,0001,786.54,KG,14958.39,EUR
100,5000000046,2023,0001,201,MAT000367,1200,0001,3206.29,KG,30082.39,EUR
100,5000000046,2023,0002,301,MAT000295,1200,0010,673.35,KG,8185.05,EUR
100,5000000046,2023,0003,601,MAT000444,1000,0010,1395.69,KG,3565.1,EUR
100,5000000046,2023,0004,901,MAT000081,1200,0001,562.54,KG,9752.91,EUR
100,5000000047,2023,0001,311,MAT000340,1400,0002,2007.43,KG,26032.63,EUR
100,5000000047,2023,0002,101,MAT000101,1000,0010,1372.74,KG,11682.02,EUR
100,5000000048,2022,0001,601,MAT000372,1100,0002,3190.42,KG,5196.34,EUR
100,5000000048,2022,0002,301,MAT000128,1100,0010,679.66,KG,9199.69,EUR
100,5000000048,2022,0003,601,MAT000217,1100,0003,1646.32,KG,8350.81,EUR
100,5000000049,2023,0001,551,MAT000069,1100,0010,2939.69,KG,7285.56,EUR
100,5000000049,2023,0002,551,MAT000375,1300,0003,3599.17,KG,51320.31,EUR
100,5000000049,2023,0003,261,MAT000260,1200,0003,2728.62,KG,40971.45,EUR
100,5000000050,2023,0001,311,MAT000259,1100,0010,199.51,KG,2658.97,EUR
100,5000000050,2023,0002,101,MAT000428,1100,0003,1073.22,KG,10138.09,EUR
100,5000000050,2023,0003,261,MAT000317,1200,0003,1103.22,KG,6880.67,EUR
100,5000000051,2022,0001,901,MAT000058,1300,0002,4888.81,KG,66995.16,EUR
100,5000000052,2024,0001,101,MAT000061,1000,0002,3939.02,KG,5148.46,EUR
100,5000000052,2024,0002,311,MAT000007,1000,0003,887.12,KG,4391.62,EUR
100,5000000052,2024,0003,601,MAT000408,1200,0010,4051.93,KG,8551.4,EUR
100,5000000053,2024,0001,901,MAT000306,1200,0001,3600.2,KG,2039.97,EUR
100,5000000053,2024,0002,101,MAT000097,1400,0003,1003.53,KG,13852.76,EUR
100,5000000054,2022,0001,261,MAT000214,1400,0003,2185.14,KG,40360.74,EUR
100,5000000055,2023,0001,551,MAT000003,1000,0002,34.46,KG,113.15,EUR
100,5000000055,2023,0002,201,MAT000236,1000,0002,1938.98,KG,16325.72,EUR
100,5000000055,2023,0003,261,MAT000441,1000,0010,252.57,KG,2613.02,EUR
100,5000000055,2023,0004,601,MAT000094,1400,0010,2954.51,KG,26606.14,EUR
100,5000000056,2023,0001,901,MAT000216,1000,0010,1748.85,KG,30539.85,EUR
100,5000000056,2023,0002,311,MAT000209,1000,0003,2401.15,KG,27340.73,EUR
100,5000000057,2022,0001,901,MAT000202,1200,0003,729.89,KG,13532.09,EUR
100,5000000057,2022,0002,601,MAT000190,1400,0003,2159.49,KG,14033.66,EUR
100,5000000057,2022,0003,311,MAT000119,1000,0003,3981.68,KG,11812.71,EUR
100,5000000058,2023,0001,201,MAT000342,1200,0001,1403.2,KG,3067.3,EUR
100,5000000059,2024,0001,901,MAT000238,1200,0002,1416.99,KG,15869.42,EUR
100,5000000060,2023,0001,901,MAT000476,1400,0002,1147.06,KG,21099.39,EUR
100,5000000060,2023,0002,601,MAT000476,1100,0001,3474.17,KG,24601.49,EUR
100,5000000060,2023,0003,201,MAT000494,1300,0002,2254.48,KG,26008.91,EUR
100,5000000061,2025,0001,901,MAT000286,1000,0003,3757.96,KG,2799.98,EUR
100,5000000061,2025,0002,201,MAT000009,1200,0001,282.79,KG,1258.99,EUR
100,5000000061,2025,0003,301,MAT000071,1300,0001,956.84,KG,11474.07,EUR
100,5000000062,2024,0001,201,MAT000099,1100,0002,375.39,KG,1870.97,EUR
100,5000000063,2024,0001,901,MAT000288,1100,0001,3278.49,KG,65507.97,EUR
100,5000000063,2024,0002,101,MAT000174,1200,0002,2819.93,KG,37441.08,EUR
100,5000000063,2024,0003,101,MAT000466,1000,0003,4832.91,KG,46724.42,EUR
100,5000000064,2025,0001,551,MAT000270,1400,0010,3070.8,KG,59396.23,EUR
100,5000000065,2022,0001,901,MAT000048,1400,0001,1433.58,KG,20502.43,EUR
100,5000000065,2022,0002,551,MAT000387,1400,0010,2363.79,KG,33005.12,EUR
100,5000000065,2022,0003,101,MAT000456,1400,0002,4574.63,KG,64452.34,EUR
100,5000000065,2022,0004,601,MAT000033,1000,0010,4712.43,KG,60673.12,EUR
100,5000000066,2025,0001,301,MAT000405,1400,0010,4223.62,KG,25968.83,EUR
100,5000000067,2024,0001,101,MAT000218,1200,0010,2027.45,KG,40025.31,EUR
100,5000000068,2024,0001,901,MAT000192,1300,0003,2773.4,KG,50355.26,EUR
100,5000000068,2024,0002,601,MAT000104,1000,0003,2752.67,KG,22115.85,EUR
100,5000000068,2024,0003,301,MAT000095,1100,0002,3030.69,KG,30528.87,EUR
100,5000000068,2024,0004,311,MAT000220,1000,0003,2316.69,KG,13314.72,EUR
100,5000000069,2025,0001,201,MAT000114,1300,0003,3290.21,KG,32638.12,EUR
100,5000000069,2025,0002,301,MAT000004,1400,0002,4949.52,KG,60775.78,EUR
100,5000000070,2022,0001,301,MAT000434,1100,0010,4698.72,KG,79149.49,EUR
100,5000000071,2024,0001,101,MAT000400,1200,0002,4958.43,KG,60531.49,EUR
100,5000000071,2024,0002,551,MAT000173,1300,0002,2768.05,KG,50595.33,EUR
100,5000000071,2024,0003,101,MAT000122,1400,0003,4223.78,KG,31310.2,EUR
100,5000000072,2022,0001,551,MAT000007,1300,0001,1960.93,KG,37714.26,EUR
100,5000000072,2022,0002,301,MAT000039,1200,0003,953.74,KG,1777.15,EUR
100,5000000073,2025,0001,101,MAT000361,1300,0003,837.77,KG,12977.68,EUR
100,5000000073,2025,0002,261,MAT000500,1300,0003,2686.18,KG,48052.3,EUR
100,5000000073,2025,0003,311,MAT000019,1100,0002,1323.22,KG,3006.44,EUR
100,5000000073,2025,0004,901,MAT000045,1300,0003,20.64,KG,288.16,EUR
100,5000000074,2023,0001,261,MAT000223,1200,0010,2852.64,KG,51442.71,EUR
100,5000000074,2023,0002,201,MAT000042,1200,0010,4058.96,KG,6542.71,EUR
100,5000000074,2023,0003,201,MAT000037,1100,0010,810.45,KG,8868.82,EUR
100,5000000075,2024,0001,551,MAT000042,1400,0001,1927.59,KG,22741.33,EUR
100,5000000076,2024,0001,551,MAT000385,1400,0010,2871.31,KG,30342.63,EUR
100,5000000076,2024,0002,551,MAT000082,1000,0002,2591.86,KG,39342.15,EUR
100,5000000077,2022,0001,301,MAT000303,1000,0010,3835.7,KG,52321.27,EUR
100,5000000077,2022,0002,601,MAT000075,1000,0003,988.97,KG,6819.77,EUR
100,5000000077,2022,0003,201,MAT000248,1000,0001,4334.62,KG,58574.45,EUR
100,5000000078,2024,0001,311,MAT000136,1100,0003,3010.5,KG,14243.85,EUR
100,5000000078,2024,0002,261,MAT000262,1400,0003,3869.22,KG,20657.86,EUR
100,5000000078,2024,0003,901,MAT000137,1100,0003,986.8,KG,18590.91,EUR
100,5000000079,2024,0001,311,MAT000326,1100,0010,3887.39,KG,8450.13,EUR
100,5000000080,2022,0001,601,MAT000458,1200,0010,3401.76,KG,60041.12,EUR
100,5000000080,2022,0002,261,MAT000017,1200,0010,1379.69,KG,12310.43,EUR
100,5000000080,2022,0003,551,MAT000364,1300,0002,983.99,KG,17709.37,EUR
100,5000000081,2025,0001,301,MAT000469,1100,0002,3993.6,KG,9716.52,EUR
100,5000000081,2025,0002,261,MAT000184,1300,0003,4191.84,KG,47577.9,EUR
100,5000000082,2023,0001,311,MAT000006,1100,0003,167.78,KG,1012.53,EUR
100,5000000082,2023,0002,261,MAT000103,1200,0001,942.5,KG,13384.43,EUR
100,5000000083,2023,0001,101,MAT000229,1000,0001,610.1,KG,6076.15,EUR
100,5000000083,2023,0002,201,MAT000221,1400,0010,1790.73,KG,1200.47,EUR
100,5000000084,2025,0001,551,MAT000074,1100,0002,1099.46,KG,7037.16,EUR
100,5000000084,2025,0002,311,MAT000061,1300,0003,1411.36,KG,19927.35,EUR
100,5000000085,2023,0001,261,MAT000403,1100,0003,1270.86,KG,6601.38,EUR
100,5000000085,2023,0002,101,MAT000065,1000,0010,2827.67,KG,23453.97,EUR
100,5000000085,2023,0003,261,MAT000301,1400,0001,440.88,KG,2383.58,EUR
100,5000000085,2023,0004,901,MAT000189,1100,0003,186.1,KG,2862.91,EUR
100,5000000086,2024,0001,201,MAT000028,1000,0010,1749.27,KG,13309.03,EUR
100,5000000086,2024,0002,901,MAT000125,1000,0003,1855.68,KG,16518.56,EUR
100,5000000086,2024,0003,551,MAT000181,1400,0010,4066.64,KG,13236.92,EUR
100,5000000086,2024,0004,311,MAT000074,1100,0001,2152.98,KG,12382.68,EUR
100,5000000087,2022,0001,551,MAT000256,1400,0003,1378.03,KG,23074.53,EUR
100,5000000087,2022,0002,301,MAT000091,1200,0001,2860.93,KG,23237.58,EUR
100,5000000087,2022,0003,551,MAT000347,1100,0003,670.2,KG,11766.43,EUR
100,5000000088,2023,0001,601,MAT000225,1100,0002,1484.92,KG,9054.85,EUR
100,5000000088,2023,0002,201,MAT000430,1000,0010,1769.13,KG,8466.15,EUR
100,5000000088,2023,0003,311,MAT000270,1300,0001,3516.16,KG,26587.89,EUR
100,5000000088,2023,0004,551,MAT000363,1100,0003,308.02,KG,2345.05,EUR
100,5000000089,2023,0001,201,MAT000191,1200,0001,4532.7,KG,52771.91,EUR
100,5000000090,2023,0001,301,MAT000303,1400,0001,1335.39,KG,8315.11,EUR
100,5000000091,2025,0001,551,MAT000438,1100,0001,4015.92,KG,37537.01,EUR
100,5000000092,2023,0001,551,MAT000353,1400,0010,2749.27,KG,9215.21,EUR
100,5000000092,2023,0002,551,MAT000255,1200,0001,4629.15,KG,59715.55,EUR
100,5000000093,2024,0001,201,MAT000386,1000,0003,3439.07,KG,66925.89,EUR
100,5000000093,2024,0002,311,MAT000324,1000,0010,1938.32,KG,29905.38,EUR
100,5000000094,2025,0001,201,MAT000194,1100,0010,1768.72,KG,12285.95,EUR
100,5000000094,2025,0002,551,MAT000439,1100,0001,3906.68,KG,41948.52,EUR
100,5000000095,2024,0001,261,MAT000286,1000,0010,288.58,KG,3155.72,EUR
100,5000000095,2024,0002,261,MAT000075,1200,0003,244.75,KG,3497.59,EUR
100,5000000095,2024,0003,901,MAT000072,1000,0010,1443.19,KG,23297.21,EUR
100,5000000095,2024,0004,601,MAT000130,1200,0003,140.46,KG,82.13,EUR
100,5000000096,2023,0001,311,MAT000235,1000,0010,743.33,KG,5546.23,EUR
100,5000000096,2023,0002,301,MAT000077,1300,0001,1101.91,KG,20891.11,EUR
100,5000000096,2023,0003,261,MAT000207,1300,0003,422.94,KG,3631.65,EUR
100,5000000096,2023,0004,311,MAT000150,1200,0001,3910.72,KG,56315.35,EUR
100,5000000097,2024,0001,201,MAT000001,1300,0003,3835.02,KG,16928.62,EUR
100,5000000098,2022,0001,901,MAT000146,1200,0010,4316.13,KG,29922.41,EUR
100,5000000098,2022,0002,601,MAT000341,1400,0002,4390.96,KG,20702.34,EUR
100,5000000098,2022,0003,261,MAT000109,1100,0003,23.12,KG,13.17,EUR
100,5000000099,2022,0001,301,MAT000131,1300,0010,3954.0,KG,76371.39,EUR
100,5000000099,2022,0002,551,MAT000036,1000,0002,1771.63,KG,8764.62,EUR
100,5000000099,2022,0003,101,MAT000305,1000,0010,1640.69,KG,25625.32,EUR
100,5000000100,2024,0001,311,MAT000418,1200,0002,850.85,KG,10198.33,EUR
100,5000000100,2024,0002,601,MAT000251,1100,0010,3459.16,KG,53901.05,EUR
100,5000000100,2024,0003,601,MAT000226,1400,0010,4344.21,KG,48968.74,EUR
100,5000000100,2024,0004,261,MAT000423,1300,0001,4471.07,KG,16449.47,EUR
100,5000000101,2024,0001,311,MAT000255,1400,0010,3096.31,KG,58055.6,EUR
100,5000000101,2024,0002,311,MAT000162,1300,0010,1476.68,KG,28020.45,EUR
100,5000000102,2024,0001,301,MAT000341,1300,0002,4228.5,KG,56470.53,EUR
100,5000000103,2022,0001,901,MAT000049,1200,0002,373.58,KG,803.69,EUR
100,5000000103,2022,0002,101,MAT000194,1400,0001,4568.3,KG,53007.91,EUR
100,5000000103,2022,0003,311,MAT000008,1400,0010,2513.73,KG,26119.8,EUR
100,5000000104,2023,0001,901,MAT000222,1100,0003,3539.69,KG,67683.74,EUR
100,5000000104,2023,0002,101,MAT000015,1300,0001,448.65,KG,2713.38,EUR
100,5000000104,2023,0003,551,MAT000124,1400,0003,2536.12,KG,15002.91,EUR
100,5000000105,2022,0001,261,MAT000215,1200,0001,4653.96,KG,50521.33,EUR
100,5000000105,2022,0002,311,MAT000068,1400,0010,4621.7,KG,56638.53,EUR
100,5000000105,2022,0003,261,MAT000106,1400,0003,1030.62,KG,14012.81,EUR
100,5000000105,2022,0004,311,MAT000087,1400,0002,3541.52,KG,21714.77,EUR
100,5000000106,2023,0001,201,MAT000445,1200,0003,240.8,KG,529.38,EUR
100,5000000107,2024,0001,301,MAT000026,1100,0003,2094.33,KG,20470.31,EUR
100,5000000108,2024,0001,101,MAT000018,1400,0010,1591.26,KG,22016.56,EUR
100,5000000108,2024,0002,261,MAT000418,1400,0002,3222.22,KG,51091.84,EUR
100,5000000108,2024,0003,301,MAT000367,1300,0002,4597.08,KG,7395.86,EUR
100,5000000108,2024,0004,601,MAT000255,1400,0002,1184.23,KG,18056.93,EUR
100,5000000109,2022,0001,201,MAT000098,1400,0003,4048.9,KG,2089.85,EUR
100,5000000109,2022,0002,201,MAT000448,1000,0001,1346.06,KG,7494.51,EUR
100,5000000109,2022,0003,261,MAT000143,1100,0003,3914.68,KG,7429.62,EUR
100,5000000110,2025,0001,101,MAT000493,1000,0003,1469.44,KG,3324.82,EUR
100,5000000110,2025,0002,601,MAT000214,1300,0003,169.77,KG,2944.7,EUR
100,5000000111,2022,0001,311,MAT000126,1400,0010,837.51,KG,6181.84,EUR
100,5000000111,2022,0002,261,MAT000194,1400,0010,3381.53,KG,52168.33,EUR
100,5000000111,2022,0003,901,MAT000223,1400,0002,3145.94,KG,29659.57,EUR
100,5000000111,2022,0004,601,MAT000200,1300,0002,609.91,KG,8435.22,EUR
100,5000000112,2023,0001,551,MAT000456,1100,0010,2118.93,KG,17589.36,EUR
100,5000000113,2022,0001,551,MAT000042,1100,0002,2606.02,KG,31689.88,EUR
100,5000000113,2022,0002,261,MAT000233,1000,0001,3016.31,KG,32010.98,EUR
100,5000000114,2023,0001,311,MAT000274,1400,0003,3863.82,KG,65143.26,EUR
100,5000000115,2022,0001,901,MAT000075,1100,0010,939.27,KG,10450.04,EUR
100,5000000115,2022,0002,601,MAT000138,1200,0010,2602.82,KG,21318.37,EUR
100,5000000116,2025,0001,901,MAT000137,1200,0003,103.28,KG,1279.12,EUR
100,5000000116,2025,0002,301,MAT000235,1300,0001,2099.65,KG,40235.84,EUR
100,5000000117,2024,0001,101,MAT000167,1000,0002,2100.54,KG,2945.68,EUR
100,5000000117,2024,0002,601,MAT000160,1000,0010,237.13,KG,327.99,EUR
100,5000000117,2024,0003,301,MAT000364,1300,0002,4239.21,KG,33806.86,EUR
100,5000000117,2024,0004,301,MAT000396,1100,0002,4194.87,KG,9377.66,EUR
100,5000000118,2022,0001,901,MAT000256,1400,0010,3372.1,KG,33718.05,EUR
100,5000000119,2023,0001,201,MAT000477,1100,0003,1510.59,KG,2073.21,EUR
100,5000000119,2023,0002,601,MAT000124,1300,0010,4706.37,KG,35929.0,EUR
100,5000000119,2023,0003,201,MAT000317,1100,0002,3031.01,KG,23515.77,EUR
100,5000000120,2024,0001,601,MAT000420,1000,0002,276.11,KG,1013.79,EUR
100,5000000120,2024,0002,551,MAT000378,1300,0010,3498.95,KG,33083.02,EUR
100,5000000120,2024,0003,101,MAT000492,1000,0001,4777.64,KG,28843.68,EUR
100,5000000120,2024,0004,901,MAT000292,1000,0002,237.86,KG,421.65,EUR
100,5000000121,2022,0001,311,MAT000478,1100,0001,2924.74,KG,8711.97,EUR
100,5000000121,2022,0002,311,MAT000241,1100,0002,1635.94,KG,7561.21,EUR
100,5000000121,2022,0003,901,MAT000186,1400,0002,3929.42,KG,62788.1,EUR
100,5000000122,2022,0001,101,MAT000305,1000,0002,3611.39,KG,13010.02,EUR
100,5000000123,2025,0001,201,MAT000297,1100,0003,3659.83,KG,64235.39,EUR
100,5000000124,2023,0001,301,MAT000490,1000,0003,2244.75,KG,26319.82,EUR
100,5000000125,2022,0001,551,MAT000298,1300,0003,294.91,KG,4461.23,EUR
100,5000000125,2022,0002,551,MAT000439,1100,0001,1322.48,KG,26378.07,EUR
100,5000000126,2022,0001,301,MAT000283,1100,0010,4729.11,KG,86653.73,EUR
100,5000000126,2022,0002,901,MAT000210,1000,0001,1855.26,KG,20218.41,EUR
100,5000000126,2022,0003,901,MAT000098,1000,0001,4483.05,KG,54119.05,EUR
100,5000000127,2025,0001,301,MAT000244,1100,0001,2513.54,KG,47272.41,EUR
100,5000000127,2025,0002,201,MAT000242,1000,0001,3296.0,KG,53317.1,EUR
100,5000000127,2025,0003,601,MAT000358,1000,0003,2334.11,KG,21165.43,EUR
100,5000000127,2025,0004,201,MAT000188,1100,0001,2823.3,KG,34758.82,EUR
100,5000000128,2025,0001,601,MAT000072,1000,0010,904.69,KG,15693.55,EUR
100,5000000128,2025,0002,551,MAT000203,1300,0003,4140.45,KG,74287.51,EUR
100,5000000129,2022,0001,201,MAT000472,1100,0010,3800.53,KG,56081.3,EUR
100,5000000129,2022,0002,311,MAT000129,1100,0002,655.39,KG,2983.72,EUR
100,5000000129,2022,0003,101,MAT000247,1400,0010,1059.18,KG,5405.07,EUR
100,5000000130,2022,0001,601,MAT000362,1200,0010,3925.69,KG,13185.38,EUR
100,5000000130,2022,0002,301,MAT000212,1000,0002,2501.05,KG,47350.28,EUR
100,5000000130,2022,0003,311,MAT000321,1000,0010,4829.8,KG,88550.77,EUR
100,5000000130,2022,0004,301,MAT000225,1100,0002,2822.97,KG,52553.08,EUR
