MANDT,MBLNR,MJAHR,BUDAT,BLDAT,USNAM
100,5000000089,2023,20231105,20231105,USER005
100,5000000090,2023,20230709,20230709,USER005
100,5000000091,2025,20250506,20250506,USER041
100,5000000092,2023,20231108,20231108,USER030
100,5000000093,2024,20240127,20240127,USER018
100,5000000094,2025,20250921,20250921,USER018
100,5000000095,2024,20241228,20241228,USER014
100,5000000096,2023,20230630,20230630,USER036
100,5000000097,2024,20240806,20240806,USER029
100,5000000098,2022,20220105,20220105,USER009
100,5000000099,2022,20221111,20221111,USER024
100,5000000100,2024,20241023,20241023,USER035
100,5000000101,2024,20240823,20240823,USER023
100,5000000102,2024,20241009,20241009,USER030
100,5000000103,2022,20220504,20220504,USER043
100,5000000104,2023,20230606,20230606,USER016
100,5000000105,2022,20220610,20220610,USER006
100,5000000106,2023,20230808,20230808,USER040
100,5000000107,2024,20241009,20241009,USER018
100,5000000108,2024,20240920,20240920,USER041
100,5000000109,2022,20221112,20221112,USER024
100,5000000110,2025,20250506,20250506,USER037
100,5000000111,2022,20220212,20220212,USER045
100,5000000112,2023,20230907,20230907,USER032
100,5000000113,2022,20220213,20220213,USER014
100,5000000114,2023,20230503,20230503,USER042
100,5000000115,2022,20220204,20220204,USER026
100,5000000116,2025,20250709,20250709,USER017
100,5000000117,2024,20240724,20240724,USER027
100,5000000118,2022,20220124,20220124,USER046
100,5000000119,2023,20230513,20230513,USER037
100,5000000120,2024,20240115,20240115,USER023
100,5000000121,2022,20221106,20221106,USER004
100,5000000122,2022,20220607,20220607,USER009
100,5000000123,2025,20250527,20250527,USER049
100,5000000124,2023,20230210,20230210,USER041
100,5000000125,2022,20220731,20220731,USER027
100,5000000126,2022,20220626,20220626,USER019
100,5000000127,2025,20251205,20251205,USER009
100,5000000128,2025,20250831,20250831,USER003
100,5000000129,2022,20220317,20220317,USER027
100,5000000130,2022,20220517,20220517,USER036
100,5000000131,2023,20231123,20231123,USER019
100,5000000132,2025,20250614,20250614,USER040
100,5000000133,2024,20241202,20241202,USER010
100,5000000134,2025,20250209,20250209,USER040
100,5000000135,2024,20240529,20240529,USER049
100,5000000136,2025,20251225,20251225,USER024
100,5000000137,2023,20231129,20231129,USER026
100,5000000138,2025,20251110,20251110,USER016
100,5000000139,2023,20231008,20231008,USER005
100,5000000140,2025,20250427,20250427,USER018
100,5000000141,2024,20240120,20240120,USER032
100,5000000142,2024,20240927,20240927,USER034
100,5000000143,2025,20250814,20250814,USER049
100,5000000144,2023,20230627,20230627,USER035
100,5000000145,2023,20230615,20230615,USER027
100,5000000146,2023,20231104,20231104,USER045
100,5000000147,2022,20220510,20220510,USER026
100,5000000148,2023,20230813,20230813,USER037
100,5000000149,2023,20230426,20230426,USER045
100,5000000150,2022,20221112,20221112,USER032
100,5000000151,2025,20251011,20251011,USER023
100,5000000152,2024,20240219,20240219,USER012
100,5000000153,2022,20221105,20221105,USER007
100,5000000154,2025,20250410,20250410,USER038
100,5000000155,2024,20240128,20240128,USER034
100,5000000156,2022,20220312,20220312,USER017
100,5000000157,2024,20241207,20241207,USER004
100,5000000158,2023,20230704,20230704,USER031
100,5000000159,2024,20240223,20240223,USER002
100,5000000160,2024,20240414,20240414,USER032
100,5000000161,2024,20240213,20240213,USER020
100,5000000162,2025,20250817,20250817,USER014
100,5000000163,2025,20250506,20250506,USER005
100,5000000164,2025,20250109,20250109,USER006
100,5000000165,2022,20220924,20220924,USER018
100,5000000166,2024,20240309,20240309,USER029
100,5000000167,2025,20250826,20250826,USER011
100,5000000168,2023,20230626,20230626,USER005
100,5000000169,2023,20230912,20230912,USER049
100,5000000170,2024,20240830,20240830,USER028
100,5000000171,2024,20240406,20240406,USER006
100,5000000172,2024,20240630,20240630,USER049
100,5000000173,2023,20230206,20230206,USER025
100,5000000174,2024,20241020,20241020,USER026
100,5000000175,2024,20240604,20240604,USER016
100,5000000176,2025,20250402,20250402,USER021
100,5000000177,2024,20241222,20241222,USER044
100,5000000178,2024,20240507,20240507,USER016
100,5000000179,2023,20230201,20230201,USER040
100,5000000180,2022,20220812,20220812,USER012
100,5000000181,2022,20221210,20221210,USER005
100,5000000182,2025,20250921,20250921,USER030
100,5000000183,2025,20250321,20250321,USER022
100,5000000184,2023,20231119,20231119,USER002
100,5000000185,2025,20250930,20250930,USER028
100,5000000186,2025,20250917,20250917,USER025
100,5000000187,2023,20230602,20230602,USER033
100,5000000188,2025,20251109,20251109,USER050
100,5000000189,2024,20240126,20240126,USER034
100,5000000190,2022,20220523,20220523,USER004
100,5000000191,2024,20240921,20240921,USER010
100,5000000192,2025,20250121,20250121,USER018
100,5000000193,2025,20250105,20250105,USER043
100,5000000194,2023,20230608,20230608,USER004
100,5000000195,2024,20240717,20240717,USER046
100,5000000196,2022,20220303,20220303,USER047
100,5000000197,2022,20220724,20220724,USER043
100,5000000198,2022,20220702,20220702,USER034
100,5000000199,2023,20230109,20230109,USER020
100,5000000200,2023,20230611,20230611,USER046
100,5000000201,2023,20230715,20230715,USER007
100,5000000202,2025,20250728,20250728,USER019
100,5000000203,2023,20230807,20230807,USER046
100,5000000204,2024,20241024,20241024,USER009
100,5000000205,2022,20220120,20220120,USER045
100,5000000206,2025,20250330,20250330,USER006
100,5000000207,2024,20240416,20240416,USER017
100,5000000208,2025,20250717,20250717,USER038
100,5000000209,2023,20230227,20230227,USER047
100,5000000210,2024,20240908,20240908,USER033
100,5000000211,2025,20250921,20250921,USER048
100,5000000212,2023,20230218,20230218,USER033
100,5000000213,2023,20230917,20230917,USER046
100,5000000214,2025,20251024,20251024,USER021
100,5000000215,2023,20231122,20231122,USER041
100,5000000216,2024,20240131,20240131,USER017
100,5000000217,2023,20230310,20230310,USER040
100,5000000218,2024,20241010,20241010,USER028
100,5000000219,2022,20221001,20221001,USER049
100,5000000220,2022,20220806,20220806,USER015
100,5000000221,2025,20250629,20250629,USER014
100,5000000222,2022,20221010,20221010,USER046
100,5000000223,2024,20240511,20240511,USER004
100,5000000224,2023,20231207,20231207,USER023
100,5000000225,2025,20250609,20250609,USER025
100,5000000226,2022,20220301,20220301,USER024
100,5000000227,2025,20251026,20251026,USER041
100,5000000228,2022,20220319,20220319,USER032
100,5000000229,2024,20240601,20240601,USER043
100,5000000230,2024,20240312,20240312,USER006
100,5000000231,2024,20240222,20240222,USER001
100,5000000232,2023,20230614,20230614,USER026
100,5000000233,2023,20230802,20230802,USER008
100,5000000234,2025,20250918,20250918,USER024
100,5000000235,2025,20251010,20251010,USER002
100,5000000236,2022,20220528,20220528,USER006
100,5000000237,2023,20231022,20231022,USER008
100,5000000238,2025,20251008,20251008,USER010
100,5000000239,2024,20240501,20240501,USER004
100,5000000240,2022,20220723,20220723,USER005
100,5000000241,2024,20241220,20241220,USER018
100,5000000242,2024,20241121,20241121,USER018
100,5000000243,2024,20241226,20241226,USER029
100,5000000244,2022,20220831,20220831,USER046
100,5000000245,2022,20220819,20220819,USER018
100,5000000246,2023,20230705,20230705,USER032
100,5000000247,2024,20240504,20240504,USER024
100,5000000248,2024,20240303,20240303,USER037
100,5000000249,2022,20220708,20220708,USER001
100,5000000250,2022,20220902,20220902,USER045
100,5000000251,2025,20251005,20251005,USER041
100,5000000252,2025,20250821,20250821,USER049
100,5000000253,2022,20221123,20221123,USER015
100,5000000254,2025,20250221,20250221,USER046
100,5000000255,2024,20240314,20240314,USER021
100,5000000256,2025,20251012,20251012,USER002
100,5000000257,2025,20250714,20250714,USER020
100,5000000258,2022,20220830,20220830,USER004
100,5000000259,2023,20230330,20230330,USER020
100,5000000260,2022,20220211,20220211,USER034
100,5000000261,2022,20221114,20221114,USER004
100,5000000262,2022,20221206,20221206,USER028
100,5000000263,2022,20220327,20220327,USER018
100,5000000264,2024,20241113,20241113,USER046
100,5000000265,2025,20250607,20250607,USER025
100,5000000266,2024,20240128,20240128,USER032
100,5000000267,2023,20231005,20231005,USER013
100,5000000268,2024,20240922,20240922,USER041
100,5000000269,2023,20231018,20231018,USER017
100,5000000270,2023,20230701,20230701,USER047
100,5000000271,2024,20241014,20241014,USER027
100,5000000272,2024,20241130,20241130,USER041
100,5000000273,2023,20231015,20231015,USER012
100,5000000274,2024,20241124,20241124,USER014
100,5000000275,2025,20250518,20250518,USER036
100,5000000276,2024,20240202,20240202,USER031
100,5000000277,2025,20250308,20250308,USER018
100,5000000278,2022,20220429,20220429,USER040
100,5000000279,2025,20251220,20251220,USER006
100,5000000280,2025,20250423,20250423,USER003
100,5000000281,2022,20220130,20220130,USER045
100,5000000282,2024,20240705,20240705,USER045
100,5000000283,2024,20240104,20240104,USER034
100,5000000284,2022,20220416,20220416,USER003
100,5000000285,2023,20230726,20230726,USER014
100,5000000286,2025,20251204,20251204,USER017
100,5000000287,2025,20251212,20251212,USER042
100,5000000288,2024,20241114,20241114,USER013
100,5000000289,2024,20240307,20240307,USER044
100,5000000290,2022,20221001,20221001,USER003
100,5000000291,2023,20230905,20230905,USER034
100,5000000292,2023,20230122,20230122,USER034
100,5000000293,2023,20231217,20231217,USER020
100,5000000294,2025,20250219,20250219,USER001
100,5000000295,2025,20251002,20251002,USER045
100,5000000296,2025,20250305,20250305,USER002
100,5000000297,2022,20221012,20221012,USER029
100,5000000298,2023,20230212,20230212,USER019
100,5000000299,2023,20231009,20231009,USER025
100,5000000300,2024,20240411,20240411,USER019
100,5000000301,2022,20220827,20220827,USER037
100,5000000302,2023,20231216,20231216,USER041
100,5000000303,2023,20230104,20230104,USER018
100,5000000304,2024,20240417,20240417,USER045
100,5000000305,2022,20220709,20220709,USER017
100,5000000306,2022,20220316,20220316,USER048
100,5000000307,2023,20230929,20230929,USER013
100,5000000308,2025,20250724,20250724,USER044
100,5000000309,2022,20221022,20221022,USER006
100,5000000310,2025,20250926,20250926,USER005
100,5000000311,2024,20240310,20240310,USER008
100,5000000312,2022,20220417,20220417,USER026
100,5000000313,2024,20240806,20240806,USER020
100,5000000314,2022,20220615,20220615,USER003
100,5000000315,2024,20240106,20240106,USER037
100,5000000316,2023,20231222,20231222,USER045
100,5000000317,2024,20240210,20240210,USER020
100,5000000318,2022,20220913,20220913,USER007
100,5000000319,2024,20240411,20240411,USER003
100,5000000320,2024,20240928,20240928,USER027
100,5000000321,2024,20240507,20240507,USER044
100,5000000322,2022,20220619,20220619,USER029
100,5000000323,2023,20230414,20230414,USER044
100,5000000324,2025,20251010,20251010,USER004
100,5000000325,2022,20220208,20220208,USER035
100,5000000326,2023,20230215,20230215,USER010
100,5000000327,2023,20230707,20230707,USER050
100,5000000328,2024,20240405,20240405,USER050
100,5000000329,2022,20220914,20220914,USER043
100,5000000330,2023,20230914,20230914,USER021
100,5000000331,2023,20230414,20230414,USER045
100,5000000332,2022,20220808,20220808,USER017
100,5000000333,2024,20241025,20241025,USER020
100,5000000334,2023,20231019,20231019,USER032
100,5000000335,2022,20220729,20220729,USER019
100,5000000336,2025,20250426,20250426,USER021
100,5000000337,2024,20240924,20240924,USER034
100,5000000338,2023,20230122,20230122,USER040
100,5000000339,2024,20240514,20240514,USER050
100,5000000340,2023,20230829,20230829,USER007
100,5000000341,2023,20230225,20230225,USER029
100,5000000342,2022,20220617,20220617,USER006
100,5000000343,2023,20230417,20230417,USER033
100,5000000344,2025,20250521,20250521,USER020
100,5000000345,2023,20230609,20230609,USER017
100,5000000346,2025,20251228,20251228,USER020
100,5000000347,2024,20240203,20240203,USER003
100,5000000348,2025,20250824,20250824,USER004
100,5000000349,2024,20240824,20240824,USER031
100,5000000350,2023,20230424,20230424,USER017
100,5000000351,2023,20231104,20231104,USER011
100,5000000352,2024,20240130,20240130,USER034
100,5000000353,2024,20240125,20240125,USER039
100,5000000354,2024,20241116,20241116,USER031
100,5000000355,2023,20230721,20230721,USER024
100,5000000356,2023,20230802,20230802,USER025
100,5000000357,2024,20241128,20241128,USER042
100,5000000358,2024,20241031,20241031,USER039
100,5000000359,2024,20240120,20240120,USER013
100,5000000360,2025,20250902,20250902,USER043
100,5000000361,2025,20251020,20251020,USER036
100,5000000362,2022,20220325,20220325,USER018
100,5000000363,2024,20241028,20241028,USER012
100,5000000364,2025,20250410,20250410,USER034
100,5000000365,2023,20230409,20230409,USER037
100,5000000366,2022,20220724,20220724,USER015
100,5000000367,2024,20241107,20241107,USER005
100,5000000368,2025,20250304,20250304,USER047
100,5000000369,2024,20240515,20240515,USER034
100,5000000370,2023,20231220,20231220,USER003
100,5000000371,2024,20240127,20240127,USER007
100,5000000372,2022,20220625,20220625,USER017
100,5000000373,2025,20250717,20250717,USER028
100,5000000374,2025,20250918,20250918,USER039
100,5000000375,2024,20240623,20240623,USER013
100,5000000376,2024,20241117,20241117,USER009
100,5000000377,2023,20231003,20231003,USER041
100,5000000378,2024,20240725,20240725,USER032
100,5000000379,2022,20220808,20220808,USER007
100,5000000380,2022,20220505,20220505,USER046
100,5000000381,2022,20220610,20220610,USER038
100,5000000382,2025,20250313,20250313,USER013
100,5000000383,2024,20240328,20240328,USER027
100,5000000384,2025,20250103,20250103,USER001
100,5000000385,2024,20241122,20241122,USER039
100,5000000386,2025,20250131,20250131,USER005
100,5000000387,2023,20231231,20231231,USER023
100,5000000388,2024,20240330,20240330,USER044
100,5000000389,2023,20230122,20230122,USER004
100,5000000390,2023,20231229,20231229,USER029
100,5000000391,2023,20230613,20230613,USER046
100,5000000392,2025,20250605,20250605,USER032
100,5000000393,2025,20251013,20251013,USER018
100,5000000394,2024,20240715,20240715,USER019
100,5000000395,2024,20240315,20240315,USER013
100,5000000396,2023,20230618,20230618,USER045
100,5000000397,2024,20240528,20240528,USER024
100,5000000398,2022,20220807,20220807,USER050
100,5000000399,2022,20220329,20220329,USER009
100,5000000400,2023,20230619,20230619,USER044
100,5000000401,2025,20250206,20250206,USER042
100,5000000402,2022,20220222,20220222,USER036
100,5000000403,2023,20230519,20230519,USER037
100,5000000404,2022,20220930,20220930,USER022
100,5000000405,2023,20230511,20230511,USER034
100,5000000406,2023,20230120,20230120,USER015
100,5000000407,2024,20240825,20240825,USER008
100,5000000408,2024,20241201,20241201,USER026
100,5000000409,2022,20220111,20220111,USER033
100,5000000410,2022,20220903,20220903,USER003
100,5000000411,2022,20220410,20220410,USER036
100,5000000412,2025,20250406,20250406,USER036
100,5000000413,2024,20240330,20240330,USER002
100,5000000414,2023,20230627,20230627,USER024
100,5000000415,2025,20250408,20250408,USER027
100,5000000416,2023,20230820,20230820,USER008
100,5000000417,2024,20241225,20241225,USER047
100,5000000418,2024,20240210,20240210,USER036
100,5000000419,2023,20230402,20230402,USER016
100,5000000420,2024,20240118,20240118,USER015
100,5000000421,2022,20220516,20220516,USER037
100,5000000422,2025,20251129,20251129,USER008
100,5000000423,2023,20230731,20230731,USER039
100,5000000424,2022,20221114,20221114,USER043
100,5000000425,2023,20230621,20230621,USER027
100,5000000426,2024,20241112,20241112,USER016
100,5000000427,2023,20230406,20230406,USER036
100,5000000428,2022,20221002,20221002,USER019
100,5000000429,2023,20230613,20230613,USER013
100,5000000430,2023,20231006,20231006,USER030
100,5000000431,2022,20220504,20220504,USER010
100,5000000432,2023,20231120,20231120,USER012
100,5000000433,2025,20250530,20250530,USER008
100,5000000434,2022,20220130,20220130,USER048
100,5000000435,2024,20241126,20241126,USER003
100,5000000436,2023,20230628,20230628,USER042
100,5000000437,2025,20250107,20250107,USER036
100,5000000438,2025,20250214,20250214,USER035
100,5000000439,2023,20230919,20230919,USER033
100,5000000440,2023,20230820,20230820,USER005
100,5000000441,2024,20240410,20240410,USER032
100,5000000442,2023,20230717,20230717,USER010
100,5000000443,2023,20230520,20230520,USER003
100,5000000444,2022,20221228,20221228,USER031
100,5000000445,2023,20230303,20230303,USER031
100,5000000446,2025,20250526,20250526,USER004
100,5000000447,2022,20220217,20220217,USER049
100,5000000448,2025,20250715,20250715,USER032
100,5000000449,2022,20220815,20220815,USER011
100,5000000450,2023,20230610,20230610,USER005
100,5000000451,2025,20251127,20251127,USER019
100,5000000452,2024,20240131,20240131,USER042
100,5000000453,2023,20230705,20230705,USER039
100,5000000454,2025,20250415,20250415,USER027
100,5000000455,2025,20251001,20251001,USER021
100,5000000456,2025,20250330,20250330,USER042
100,5000000457,2023,20231113,20231113,USER032
100,5000000458,2023,20230322,20230322,USER043
100,5000000459,2024,20240905,20240905,USER028
100,5000000460,2023,20230720,20230720,USER018
100,5000000461,2023,20230508,20230508,USER044
100,5000000462,2024,20240718,20240718,USER003
100,5000000463,2024,20240120,20240120,USER010
100,5000000464,2023,20231204,20231204,USER009
100,5000000465,2024,20240815,20240815,USER009
100,5000000466,2025,20250815,20250815,USER016
100,5000000467,2023,20230216,20230216,USER023
100,5000000468,2024,20240619,20240619,USER050
100,5000000469,2023,20230709,20230709,USER014
100,5000000470,2023,20230710,20230710,USER023
100,5000000471,2023,20231226,20231226,USER046
100,5000000472,2023,20230420,20230420,USER049
100,5000000473,2023,20230702,20230702,USER050
100,5000000474,2023,20230829,20230829,USER003
100,5000000475,2025,20251021,20251021,USER020
100,5000000476,2025,20251114,20251114,USER035
100,5000000477,2022,20220902,20220902,USER034
100,5000000478,2023,20230404,20230404,USER036
100,5000000479,2022,20220414,20220414,USER002
100,5000000480,2025,20250906,20250906,USER026
100,5000000481,2024,20240509,20240509,USER019
100,5000000482,2025,20251105,20251105,USER029
100,5000000483,2025,20250715,20250715,USER011
100,5000000484,2022,20220619,20220619,USER004
100,5000000485,2025,20250418,20250418,USER037
100,5000000486,2022,20220604,20220604,USER034
100,5000000487,2022,20220208,20220208,USER028
100,5000000488,2025,20251103,20251103,USER019
100,5000000489,2022,20220830,20220830,USER039
100,5000000490,2022,20220604,20220604,USER042
100,5000000491,2022,20221128,20221128,USER031
100,5000000492,2022,20220524,20220524,USER048
100,5000000493,2025,20250928,20250928,USER040
100,5000000494,2022,20220810,20220810,USER017
100,5000000495,2024,20240711,20240711,USER022
100,5000000496,2024,20241024,20241024,USER004
100,5000000497,2024,20240721,20240721,USER008
100,5000000498,2024,20240229,20240229,USER038
100,5000000499,2024,20240724,20240724,USER017
100,5000000500,2022,20220914,20220914,USER006
100,5000000501,2023,20231120,20231120,USER043
100,5000000502,2022,20220428,20220428,USER014
100,5000000503,2023,20230723,20230723,USER015
100,5000000504,2023,20230402,20230402,USER013
100,5000000505,2022,20220126,20220126,USER004
100,5000000506,2024,20240803,20240803,USER027
100,5000000507,2022,20220611,20220611,USER041
100,5000000508,2022,20220212,20220212,USER025
100,5000000509,2023,20230410,20230410,USER046
100,5000000510,2024,20240205,20240205,USER046
100,5000000511,2025,20251106,20251106,USER037
100,5000000512,2023,20231116,20231116,USER039
100,5000000513,2024,20240815,20240815,USER013
100,5000000514,2025,20251029,20251029,USER049
100,5000000515,2023,20230802,20230802,USER029
100,5000000516,2023,20230829,20230829,USER031
100,5000000517,2022,20220311,20220311,USER008
100,5000000518,2022,20220404,20220404,USER043
100,5000000519,2024,20240731,20240731,USER033
100,5000000520,2024,20240104,20240104,USER046
100,5000000521,2022,20220502,20220502,USER042
100,5000000522,2022,20220423,20220423,USER042
100,5000000523,2024,20240125,20240125,USER049
100,5000000524,2023,20230402,20230402,USER050
100,5000000525,2024,20240626,20240626,USER002
100,5000000526,2025,20251210,20251210,USER047
100,5000000527,2025,20250201,20250201,USER023
100,5000000528,2023,20230716,20230716,USER027
100,5000000529,2023,20230608,20230608,USER011
100,5000000530,2025,20250110,20250110,USER001
100,5000000531,2023,20230228,20230228,USER049
100,5000000532,2025,20250321,20250321,USER010
100,5000000533,2025,20250206,20250206,USER011
100,5000000534,2024,20241223,20241223,USER024
100,5000000535,2023,20231226,20231226,USER031
100,5000000536,2025,20251019,20251019,USER039
100,5000000537,2024,20241231,20241231,USER010
100,5000000538,2023,20230601,20230601,USER017
100,5000000539,2025,20250720,20250720,USER045
100,5000000540,2025,20251030,20251030,USER031
100,5000000541,2022,20221023,20221023,USER029
100,5000000542,2022,20220817,20220817,USER013
100,5000000543,2022,20221230,20221230,USER014
100,5000000544,2022,20220618,20220618,USER038
100,5000000545,2023,20230905,20230905,USER026
100,5000000546,2025,20250922,20250922,USER012
100,5000000547,2022,20220222,20220222,USER018
100,5000000548,2025,20250131,20250131,USER035
100,5000000549,2025,20250608,20250608,USER049
100,5000000550,2025,20250613,20250613,USER005
100,5000000551,2025,20251008,20251008,USER049
100,5000000552,2023,20230729,20230729,USER038
100,5000000553,2023,20230205,20230205,USER004
100,5000000554,2023,20230101,20230101,USER017
100,5000000555,2022,20221116,20221116,USER022
100,5000000556,2023,20230523,20230523,USER041
100,5000000557,2023,20230708,20230708,USER026
100,5000000558,2023,20231018,20231018,USER013
100,5000000559,2022,20220321,20220321,USER001
100,5000000560,2024,20240227,20240227,USER012
100,5000000561,2025,20251102,20251102,USER044
100,5000000562,2023,20230629,20230629,USER028
100,5000000563,2025,20250609,20250609,USER027
100,5000000564,2025,20250417,20250417,USER016
100,5000000565,2024,20240806,20240806,USER039
100,5000000566,2024,20240315,20240315,USER050
100,5000000567,2024,20240208,20240208,USER049
100,5000000568,2023,20231130,20231130,USER045
100,5000000569,2025,20250702,20250702,USER016
100,5000000570,2024,20240412,20240412,USER020
100,5000000571,2025,20250108,20250108,USER019
100,5000000572,2022,20220508,20220508,USER037
100,5000000573,2023,20230618,20230618,USER049
100,5000000574,2024,20241221,20241221,USER044
100,5000000575,2025,20251206,20251206,USER050
100,5000000576,2024,20240917,20240917,USER035
100,5000000577,2023,20230625,20230625,USER002
100,5000000578,2022,20220618,20220618,USER004
100,5000000579,2022,20220916,20220916,USER012
100,5000000580,2022,20220731,20220731,USER015
100,5000000581,2024,20240619,20240619,USER044
100,5000000582,2022,20220904,20220904,USER022
100,5000000583,2022,20221022,20221022,USER014
100,5000000584,2023,20231210,20231210,USER020
100,5000000585,2023,20230630,20230630,USER023
100,5000000586,2023,20231221,20231221,USER018
100,5000000587,2024,20240716,20240716,USER037
100,5000000588,2023,20230111,20230111,USER023
100,5000000589,2025,20250104,20250104,USER034
100,5000000590,2022,20220606,20220606,USER026
100,5000000591,2023,20230613,20230613,USER045
100,5000000592,2023,20230410,20230410,USER004
100,5000000593,2024,20240412,20240412,USER010
100,5000000594,2022,20220731,20220731,USER040
100,5000000595,2025,20250926,20250926,USER035
100,5000000596,2023,20230108,20230108,USER010
100,5000000597,2024,20240531,20240531,USER001
100,5000000598,2024,20240807,20240807,USER007
100,5000000599,2022,20220903,20220903,USER015
100,5000000600,2023,20230325,20230325,USER023
100,5000000601,2024,20240507,20240507,USER034
100,5000000602,2024,20241209,20241209,USER039
100,5000000603,2023,20231017,20231017,USER005
100,5000000604,2022,20220204,20220204,USER020
100,5000000605,2024,20240114,20240114,USER031
100,5000000606,2025,20250704,20250704,USER023
100,5000000607,2022,20220722,20220722,USER010
100,5000000608,2024,20240204,20240204,USER048
100,5000000609,2025,20250415,20250415,USER050
100,5000000610,2022,20220803,20220803,USER003
100,5000000611,2023,20230816,20230816,USER019
100,5000000612,2025,20250119,20250119,USER024
100,5000000613,2025,20251030,20251030,USER013
100,5000000614,2023,20231114,20231114,USER011
100,5000000615,2025,20250925,20250925,USER018
100,5000000616,2024,20240102,20240102,USER005
100,5000000617,2022,20220302,20220302,USER026
100,5000000618,2023,20230601,20230601,USER004
100,5000000619,2024,20240104,20240104,USER032
100,5000000620,2024,20240804,20240804,USER009
100,5000000621,2022,20220813,20220813,USER017
100,5000000622,2025,20250628,20250628,USER003
100,5000000623,2025,20250714,20250714,USER008
100,5000000624,2023,20230306,20230306,USER028
100,5000000625,2022,20221217,20221217,USER027
100,5000000626,2024,20241121,20241121,USER011
100,5000000627,2022,20220221,20220221,USER024
100,5000000628,2025,20250620,20250620,USER018
100,5000000629,2024,20240606,20240606,USER031
100,5000000630,2023,20230617,20230617,USER001
100,5000000631,2025,20251001,20251001,USER042
100,5000000632,2025,20250412,20250412,USER015
100,5000000633,2025,20250524,20250524,USER011
