MANDT,AUFNR,DESSION,STLNR,GAMNG,GMEIN,GLTRS,GLTRP
100,1000040,93811001,BOM000064,4834,ST,20230319,20230320
100,1000041,82877760,BOM000027,4651,ST,20220421,20220422
100,1000042,49363343,BOM000076,1763,ST,20230501,20230505
100,1000043,29408366,BOM000086,5132,ST,20230710,20230713
100,1000044,78252306,BOM000147,6756,ST,20230612,20230616
100,1000045,47189179,BOM000100,3386,ST,20240710,20240714
100,1000046,51211483,BOM000128,942,ST,20220801,20220806
100,1000047,98761795,BOM000046,5529,ST,20230930,20231003
100,1000048,42528559,BOM000060,7645,ST,20251205,20251210
100,1000049,78106550,BOM000144,653,ST,20241031,20241102
100,1000050,94373190,BOM000139,7967,ST,20230315,20230317
100,1000051,59756745,BOM000094,5075,ST,20220117,20220122
100,1000052,52618414,BOM000030,8560,ST,20230408,20230410
100,1000053,36562631,BOM000084,9796,ST,20221006,20221008
100,1000054,19070947,BOM000058,1947,ST,20240623,20240628
100,1000055,78120926,BOM000141,1526,ST,20220717,20220722
100,1000056,57187347,BOM000111,118,ST,20230727,20230731
100,1000057,10667424,BOM000087,7452,ST,20250815,20250817
100,1000058,67778514,BOM000060,1269,ST,20241120,20241124
100,1000059,25341727,BOM000093,6948,ST,20250828,20250901
100,1000060,26496331,BOM000133,1841,ST,20220620,20220622
100,1000061,24060255,BOM000140,6628,ST,20241013,20241017
100,1000062,14208450,BOM000022,127,ST,20230506,20230509
100,1000063,73401827,BOM000075,5709,ST,20250418,20250421
100,1000064,84956797,BOM000101,1477,ST,20220717,20220722
100,1000065,39234503,BOM000156,6175,ST,20230110,20230114
100,1000066,01008756,BOM000111,2522,ST,20230605,20230607
100,1000067,75834347,BOM000145,5802,ST,20230726,20230731
100,1000068,65121278,BOM000067,7413,ST,20250501,20250506
100,1000069,77981176,BOM000136,9087,ST,20220206,20220207
100,1000070,47141100,BOM000121,9540,ST,20241210,20241215
100,1000071,29719192,BOM000037,778,ST,20250604,20250607
100,1000072,67194989,BOM000095,3898,ST,20230127,20230131
100,1000073,45443328,BOM000097,2013,ST,20250120,20250125
100,1000074,40532629,BOM000157,9635,ST,20220226,20220227
100,1000075,25020422,BOM000097,2505,ST,20240907,20240908
100,1000076,14112175,BOM000027,6959,ST,20230828,20230831
100,1000077,48073595,BOM000002,5707,ST,20220213,20220216
100,1000078,79823556,BOM000153,7718,ST,20240423,20240425
100,1000079,01723623,BOM000070,8280,ST,20230530,20230604
100,1000080,80700416,BOM000123,2447,ST,20251206,20251207
100,1000081,13068910,BOM000031,5072,ST,20220926,20220928
100,1000082,45283644,BOM000074,8650,ST,20231024,20231028
100,1000083,10162815,BOM000070,7154,ST,20221027,20221031
100,1000084,24804990,BOM000140,757,ST,20250701,20250702
100,1000085,86714731,BOM000120,8065,ST,20251228,20251229
100,1000086,49991364,BOM000121,1588,ST,20231201,20231203
100,1000087,82079449,BOM000073,8469,ST,20250909,20250910
100,1000088,02339546,BOM000124,1085,ST,20250818,20250821
100,1000089,27984585,BOM000011,3812,ST,20240308,20240311
100,1000090,51222073,BOM000017,2849,ST,20240719,20240720
100,1000091,52414886,BOM000146,4375,ST,20230617,20230620
100,1000092,26215855,BOM000108,9921,ST,20240307,20240312
100,1000093,18195846,BOM000053,4306,ST,20251012,20251014
100,1000094,04910183,BOM000031,5080,ST,20250203,20250206
100,1000095,13609251,BOM000025,1235,ST,20240109,20240111
100,1000096,97930717,BOM000090,4771,ST,20221228,20221230
100,1000097,71283006,BOM000005,5649,ST,20231112,20231114
100,1000098,12225111,BOM000052,5634,ST,20240701,20240705
100,1000099,81101543,BOM000074,6591,ST,20230708,20230713
100,1000100,18298458,BOM000154,9005,ST,20220610,20220613
100,1000101,32512878,BOM000023,3905,ST,20240104,20240109
100,1000102,67778538,BOM000143,9773,ST,20220528,20220530
100,1000103,10005538,BOM000041,9030,ST,20220408,20220410
100,1000104,12207101,BOM000143,8364,ST,20250106,20250107
100,1000105,43255281,BOM000143,9488,ST,20231111,20231114
100,1000106,86314717,BOM000100,9824,ST,20221107,20221109
100,1000107,31859523,BOM000010,2733,ST,20231024,20231027
100,1000108,67212202,BOM000108,2205,ST,20250726,20250730
100,1000109,46245600,BOM000074,9863,ST,20240828,20240901
100,1000110,24551553,BOM000152,279,ST,20250705,20250709
100,1000111,19203911,BOM000077,3238,ST,20250724,20250725
100,1000112,74920933,BOM000153,7062,ST,20221123,20221124
100,1000113,99633191,BOM000007,4807,ST,20230127,20230131
100,1000114,99223938,BOM000115,2076,ST,20220116,20220120
100,1000115,83896430,BOM000037,3135,ST,20230516,20230519
100,1000116,46899692,BOM000002,4774,ST,20240107,20240108
100,1000117,26584525,BOM000041,1010,ST,20240731,20240804
100,1000118,95862503,BOM000125,6190,ST,20240211,20240214
100,1000119,47142639,BOM000124,647,ST,20221225,20221227
100,1000120,01271137,BOM000005,6659,ST,20230414,20230416
100,1000121,75409247,BOM000081,1792,ST,20240331,20240401
100,1000122,90901101,BOM000039,9767,ST,20240608,20240609
100,1000123,65421650,BOM000018,9699,ST,20221002,20221003
100,1000124,21769490,BOM000003,9213,ST,20250828,20250901
100,1000125,42473638,BOM000082,2144,ST,20220123,20220127
100,1000126,15760672,BOM000126,4576,ST,20250730,20250804
100,1000127,29658474,BOM000078,6650,ST,20220314,20220317
100,1000128,67976178,BOM000094,3827,ST,20240328,20240331
100,1000129,20882589,BOM000132,3858,ST,20240323,20240324
100,1000130,87423994,BOM000144,6759,ST,20240814,20240816
100,1000131,51225720,BOM000117,9932,ST,20230922,20230927
100,1000132,63633244,BOM000087,8682,ST,20221010,20221014
100,1000133,16741324,BOM000159,5700,ST,20220718,20220723
100,1000134,43483540,BOM000121,2388,ST,20240303,20240307
100,1000135,31707302,BOM000080,9879,ST,20220711,20220714
100,1000136,40829119,BOM000018,215,ST,20231230,20231231
100,1000137,31589186,BOM000098,2892,ST,20220924,20220929
100,1000138,51380597,BOM000019,3140,ST,20230610,20230612
100,1000139,30326187,BOM000108,7076,ST,20250531,20250601
100,1000140,38287196,BOM000099,9197,ST,20240901,20240902
100,1000141,68348164,BOM000085,453,ST,20251031,20251105
100,1000142,91197895,BOM000135,4133,ST,20241115,20241118
100,1000143,48094494,BOM000007,987,ST,20250326,20250329
100,1000144,73158557,BOM000006,4749,ST,20241129,20241202
100,1000145,79493918,BOM000157,6566,ST,20230723,20230728
100,1000146,61266196,BOM000121,1250,ST,20220224,20220227
100,1000147,17553170,BOM000114,5391,ST,20251111,20251116
100,1000148,31365805,BOM000120,816,ST,20230512,20230517
100,1000149,07086895,BOM000089,7130,ST,20220205,20220206
100,1000150,52994353,BOM000038,4357,ST,20230427,20230428
100,1000151,87290081,BOM000068,2725,ST,20250218,20250222
100,1000152,13208059,BOM000058,1812,ST,20231002,20231007
100,1000153,07378325,BOM000087,5210,ST,20230308,20230312
100,1000154,59899333,BOM000155,5151,ST,20220402,20220405
100,1000155,21695104,BOM000045,5889,ST,20221107,20221108
100,1000156,07515053,BOM000122,1924,ST,20250213,20250218
100,1000157,48127720,BOM000056,7808,ST,20250810,20250811
100,1000158,08829406,BOM000110,274,ST,20230324,20230329
100,1000159,87095708,BOM000098,8793,ST,20240901,20240905
100,1000160,76497298,BOM000150,688,ST,20230703,20230705
100,1000161,29108020,BOM000109,7000,ST,20240819,20240822
100,1000162,38050299,BOM000114,3000,ST,20241130,20241203
100,1000163,97206565,BOM000126,3258,ST,20220209,20220211
100,1000164,63949997,BOM000071,3915,ST,20240109,20240112
100,1000165,28536521,BOM000067,4017,ST,20220929,20220930
100,1000166,78230030,BOM000024,4806,ST,20250105,20250110
100,1000167,21247174,BOM000037,2068,ST,20251120,20251121
100,1000168,55258963,BOM000049,3044,ST,20251025,20251030
100,1000169,97928280,BOM000023,2734,ST,20250208,20250210
100,1000170,98005543,BOM000010,8031,ST,20250307,20250312
100,1000171,78646943,BOM000003,4103,ST,20230724,20230729
100,1000172,14610316,BOM000073,7933,ST,20230525,20230529
100,1000173,50053928,BOM000127,8551,ST,20250525,20250527
100,1000174,98912386,BOM000035,6496,ST,20250806,20250811
100,1000175,35374774,BOM000129,7700,ST,20220404,20220407
100,1000176,54796456,BOM000116,5646,ST,20240925,20240926
100,1000177,95861761,BOM000081,3583,ST,20240706,20240710
100,1000178,46629808,BOM000101,6370,ST,20221223,20221225
100,1000179,33033463,BOM000145,8221,ST,20251231,20260104
100,1000180,87345290,BOM000122,5859,ST,20250502,20250506
100,1000181,05754658,BOM000118,7918,ST,20250506,20250511
100,1000182,93462285,BOM000160,6645,ST,20240226,20240302
100,1000183,57676094,BOM000153,7227,ST,20220114,20220118
100,1000184,08923531,BOM000066,2156,ST,20220209,20220211
100,1000185,53384244,BOM000024,4875,ST,20250520,20250522
100,1000186,55799383,BOM000087,7237,ST,20241012,20241016
100,1000187,54590669,BOM000067,1628,ST,20250318,20250320
100,1000188,16965109,BOM000086,6889,ST,20230318,20230323
100,1000189,79349069,BOM000160,5870,ST,20230304,20230306
100,1000190,09709992,BOM000075,8622,ST,20231014,20231016
100,1000191,26255954,BOM000025,1980,ST,20250313,20250314
100,1000192,56107801,BOM000089,4622,ST,20230519,20230521
100,1000193,92747096,BOM000091,8280,ST,20230603,20230605
100,1000194,83753453,BOM000038,5148,ST,20231020,20231022
100,1000195,07590900,BOM000024,261,ST,20250731,20250804
100,1000196,07350705,BOM000003,1502,ST,20250509,20250510
100,1000197,86631241,BOM000044,9937,ST,20230530,20230604
100,1000198,51103690,BOM000154,1181,ST,20240809,20240814
100,1000199,12416147,BOM000045,3954,ST,20240701,20240703
100,1000200,90208435,BOM000079,1279,ST,20250203,20250204
100,1000201,20413652,BOM000046,3814,ST,20250505,20250509
100,1000202,60423980,BOM000008,5792,ST,20221010,20221011
100,1000203,34362888,BOM000102,7413,ST,20220504,20220508
100,1000204,34878682,BOM000033,8564,ST,20220425,20220427
100,1000205,61725089,BOM000014,3620,ST,20220910,20220914
100,1000206,29985469,BOM000161,913,ST,20240815,20240818
100,1000207,09670728,BOM000156,1722,ST,20250118,20250119
100,1000208,19063320,BOM000020,9208,ST,20260103,20260104
100,1000209,54228864,BOM000006,9314,ST,20220904,20220909
100,1000210,04453272,BOM000051,6624,ST,20221031,20221101
100,1000211,10290464,BOM000113,9373,ST,20230215,20230219
100,1000212,83588238,BOM000121,8160,ST,20240130,20240201
100,1000213,02314543,BOM000110,3651,ST,20250609,20250612
100,1000214,75577494,BOM000039,3360,ST,20230613,20230618
100,1000215,81005933,BOM000087,7014,ST,20231006,20231010
100,1000216,34912645,BOM000042,4119,ST,20230320,20230321
100,1000217,35671761,BOM000140,7170,ST,20250816,20250817
100,1000218,82155496,BOM000083,2800,ST,20220331,20220405
100,1000219,22096854,BOM000049,2911,ST,20250413,20250414
100,1000220,38899545,BOM000052,2207,ST,20220803,20220807
100,1000221,00614182,BOM000112,3440,ST,20221013,20221017
100,1000222,85015144,BOM000156,7185,ST,20241203,20241205
100,1000223,52281524,BOM000020,6220,ST,20250519,20250523
100,1000224,64725492,BOM000082,2008,ST,20240105,20240107
100,1000225,85096798,BOM000090,3659,ST,20240530,20240531
100,1000226,80764372,BOM000088,4216,ST,20250505,20250508
100,1000227,00903742,BOM000092,7877,ST,20220311,20220316
100,1000228,34318863,BOM000154,9173,ST,20230410,20230415
100,1000229,76046148,BOM000061,9279,ST,20250704,20250707
100,1000230,81135923,BOM000057,3550,ST,20231202,20231203
100,1000231,95491000,BOM000043,5553,ST,20251026,20251030
100,1000232,51583628,BOM000042,3752,ST,20220626,20220628
100,1000233,87766126,BOM000081,6561,ST,20250720,20250722
100,1000234,27655464,BOM000150,4965,ST,20230705,20230707
100,1000235,66342695,BOM000126,4099,ST,20231108,20231112
100,1000236,91652267,BOM000011,3794,ST,20240101,20240106
100,1000237,19141341,BOM000012,190,ST,20240106,20240111
100,1000238,78520849,BOM000163,3686,ST,20240103,20240106
100,1000239,38699776,BOM000050,8760,ST,20241115,20241120
100,1000240,84884711,BOM000035,5982,ST,20250811,20250813
100,1000241,16353516,BOM000089,6007,ST,20220324,20220328
100,1000242,54459347,BOM000133,1164,ST,20240421,20240424
100,1000243,15578626,BOM000084,2378,ST,20250924,20250928
100,1000244,93401169,BOM000076,1402,ST,20220303,20220307
100,1000245,68985697,BOM000148,4246,ST,20250828,20250901
100,1000246,34193116,BOM000003,8518,ST,20250906,20250907
100,1000247,54683037,BOM000158,3680,ST,20250409,20250413
100,1000248,11978614,BOM000136,3503,ST,20231007,20231012
100,1000249,77470380,BOM000038,2712,ST,20251122,20251127
100,1000250,32659108,BOM000133,396,ST,20231021,20231023
100,1000251,82369656,BOM000071,9946,ST,20230807,20230809
100,1000252,57745300,BOM000027,7701,ST,20240628,20240702
100,1000253,74482763,BOM000158,4149,ST,20220206,20220210
100,1000254,66483672,BOM000027,5903,ST,20220110,20220113
100,1000255,77558221,BOM000098,8649,ST,20231002,20231007
100,1000256,39934019,BOM000062,7816,ST,20260101,20260105
100,1000257,27056582,BOM000045,3403,ST,20250608,20250611
100,1000258,32495527,BOM000039,851,ST,20241228,20241231
100,1000259,23339027,BOM000064,2359,ST,20230111,20230112
100,1000260,24954959,BOM000132,5021,ST,20220226,20220303
100,1000261,48976956,BOM000086,335,ST,20230829,20230902
100,1000262,71231394,BOM000089,6545,ST,20240821,20240822
100,1000263,19211711,BOM000043,7369,ST,20220814,20220816
100,1000264,56280928,BOM000138,8662,ST,20250709,20250710
100,1000265,85091821,BOM000071,4194,ST,20250407,20250409
100,1000266,59001031,BOM000066,6574,ST,20221029,20221102
100,1000267,89360303,BOM000015,1767,ST,20251124,20251128
100,1000268,53472228,BOM000117,3116,ST,20240823,20240824
100,1000269,96417991,BOM000071,4534,ST,20220416,20220420
100,1000270,73086912,BOM000046,830,ST,20240108,20240111
100,1000271,53076267,BOM000017,9292,ST,20220405,20220406
100,1000272,43686153,BOM000144,7179,ST,20250416,20250417
100,1000273,92883589,BOM000032,8458,ST,20220429,20220501
100,1000274,04971377,BOM000062,4196,ST,20230420,20230422
100,1000275,62839939,BOM000135,2853,ST,20220919,20220924
100,1000276,31774221,BOM000139,1961,ST,20251103,20251108
100,1000277,54781259,BOM000104,6749,ST,20220225,20220226
100,1000278,81519099,BOM000095,8960,ST,20231109,20231114
100,1000279,82856947,BOM000134,6173,ST,20250609,20250612
100,1000280,68716834,BOM000132,1257,ST,20230815,20230819
100,1000281,95532418,BOM000053,5110,ST,20250205,20250209
100,1000282,90857073,BOM000147,7033,ST,20220827,20220829
100,1000283,23737484,BOM000036,3133,ST,20220930,20221002
100,1000284,37612206,BOM000044,6252,ST,20220515,20220517
100,1000285,94061357,BOM000016,5914,ST,20251108,20251113
100,1000286,19749802,BOM000157,4400,ST,20220922,20220925
100,1000287,50817448,BOM000138,7218,ST,20221003,20221007
100,1000288,51869150,BOM000077,6606,ST,20220524,20220528
100,1000289,60560742,BOM000076,3409,ST,20230316,20230320
100,1000290,78132684,BOM000059,6770,ST,20240603,20240608
100,1000291,40173074,BOM000162,6009,ST,20220701,20220704
100,1000292,67378749,BOM000130,4237,ST,20230426,20230427
100,1000293,64227782,BOM000127,1890,ST,20230415,20230418
100,1000294,02401927,BOM000002,9704,ST,20250928,20250929
100,1000295,95410104,BOM000066,4532,ST,20231005,20231006
100,1000296,60310330,BOM000129,753,ST,20231027,20231031
100,1000297,91188646,BOM000089,4050,ST,20250213,20250216
100,1000298,55063693,BOM000071,4846,ST,20251124,20251127
100,1000299,25267580,BOM000161,2684,ST,20250512,20250516
100,1000300,63071684,BOM000084,2023,ST,20241021,20241023
100,1000301,20859167,BOM000150,3386,ST,20250130,20250204
100,1000302,12141593,BOM000140,1619,ST,20230602,20230604
100,1000303,71052098,BOM000083,2385,ST,20230301,20230306
100,1000304,76475304,BOM000152,1335,ST,20250210,20250213
100,1000305,39693872,BOM000102,3661,ST,20220513,20220517
100,1000306,91414349,BOM000038,2287,ST,20230510,20230512
100,1000307,53006818,BOM000131,8449,ST,20240525,20240528
100,1000308,57078969,BOM000121,2846,ST,20220306,20220308
100,1000309,28901092,BOM000153,6572,ST,20220612,20220617
100,1000310,79936521,BOM000152,5779,ST,20250318,20250323
100,1000311,48663149,BOM000023,3241,ST,20220725,20220727
100,1000312,27310475,BOM000089,226,ST,20250505,20250510
100,1000313,61667934,BOM000153,582,ST,20240126,20240130
100,1000314,59303215,BOM000072,5589,ST,20221130,20221203
100,1000315,99877863,BOM000049,3460,ST,20230620,20230621
100,1000316,04043948,BOM000051,3835,ST,20250815,20250820
100,1000317,59963466,BOM000025,7042,ST,20240311,20240315
100,1000318,88220800,BOM000082,4297,ST,20220105,20220108
100,1000319,90461124,BOM000032,2540,ST,20240727,20240729
100,1000320,26001552,BOM000089,4309,ST,20250627,20250630
100,1000321,24118039,BOM000031,1461,ST,20230906,20230909
100,1000322,32508318,BOM000111,5711,ST,20230721,20230726
100,1000323,66587703,BOM000117,2975,ST,20231022,20231027
100,1000324,71178276,BOM000024,147,ST,20250904,20250909
100,1000325,95660385,BOM000116,9207,ST,20240921,20240922
100,1000326,36557682,BOM000117,1668,ST,20250326,20250327
100,1000327,03426989,BOM000134,1812,ST,20241107,20241109
100,1000328,78207207,BOM000053,9797,ST,20250405,20250410
100,1000329,16533845,BOM000085,4185,ST,20220620,20220621
100,1000330,72360013,BOM000162,8284,ST,20240615,20240619
100,1000331,39004805,BOM000050,6510,ST,20250122,20250126
100,1000332,17297571,BOM000051,1959,ST,20251012,20251014
100,1000333,80786230,BOM000157,8032,ST,20231208,20231211
100,1000334,54365222,BOM000088,7003,ST,20250223,20250228
100,1000335,90645830,BOM000158,7551,ST,20240119,20240124
100,1000336,52671794,BOM000036,8071,ST,20240529,20240601
100,1000337,88915205,BOM000095,634,ST,20250421,20250425
100,1000338,56728314,BOM000088,5992,ST,20240412,20240415
100,1000339,59678584,BOM000004,9545,ST,20240623,20240628
100,1000340,41175914,BOM000025,8805,ST,20250201,20250204
100,1000341,04738658,BOM000024,3079,ST,20251217,20251219
100,1000342,75586417,BOM000040,7400,ST,20230902,20230903
100,1000343,30830073,BOM000013,5635,ST,20250630,20250704
100,1000344,26080570,BOM000097,982,ST,20240721,20240722
100,1000345,82406750,BOM000018,536,ST,20220615,20220618
100,1000346,18787784,BOM000102,2543,ST,20231008,20231009
100,1000347,33961808,BOM000079,7539,ST,20240420,20240422
100,1000348,93301142,BOM000090,3383,ST,20220607,20220608
100,1000349,97315522,BOM000114,8381,ST,20241103,20241107
100,1000350,24933712,BOM000134,2413,ST,20221024,20221025
100,1000351,23229729,BOM000012,6656,ST,20251013,20251018
100,1000352,53928062,BOM000069,5117,ST,20241010,20241015
100,1000353,19786914,BOM000014,3122,ST,20250827,20250901
100,1000354,72139535,BOM000012,5473,ST,20250706,20250711
100,1000355,61020686,BOM000138,1746,ST,20221027,20221028
100,1000356,54405797,BOM000012,8851,ST,20240425,20240430
100,1000357,81671869,BOM000091,9640,ST,20250510,20250515
100,1000358,89331567,BOM000111,4698,ST,20250215,20250220
100,1000359,90135057,BOM000064,9654,ST,20240228,20240302
100,1000360,16964831,BOM000045,7847,ST,20220809,20220813
100,1000361,03771270,BOM000129,2105,ST,20250612,20250614
100,1000362,33987811,BOM000112,2016,ST,20230420,20230425
100,1000363,54193968,BOM000018,2367,ST,20251102,20251107
100,1000364,48048143,BOM000029,9935,ST,20230223,20230228
100,1000365,14431131,BOM000040,8160,ST,20221018,20221023
100,1000366,86464196,BOM000006,8237,ST,20230115,20230120
100,1000367,07182137,BOM000016,9435,ST,20250917,20250919
100,1000368,21225106,BOM000013,8969,ST,20231214,20231219
100,1000369,71370668,BOM000101,7442,ST,20240720,20240723
100,1000370,70371212,BOM000088,1568,ST,20240218,20240221
100,1000371,37852999,BOM000103,6267,ST,20221015,20221020
100,1000372,82127532,BOM000154,5849,ST,20221021,20221023
100,1000373,98827268,BOM000046,1880,ST,20220316,20220320
100,1000374,62675550,BOM000002,7086,ST,20221015,20221017
100,1000375,29740504,BOM000119,6905,ST,20251001,20251002
100,1000376,96268023,BOM000102,972,ST,20241017,20241022
100,1000377,13977652,BOM000083,5588,ST,20220804,20220807
100,1000378,73673607,BOM000082,7031,ST,20230818,20230823
100,1000379,09540267,BOM000109,5709,ST,20251025,20251029
100,1000380,37600688,BOM000100,2410,ST,20230702,20230707
100,1000381,13396530,BOM000072,9744,ST,20250906,20250907
100,1000382,59881688,BOM000127,578,ST,20240321,20240324
100,1000383,98455462,BOM000065,5398,ST,20220510,20220511
100,1000384,90011995,BOM000156,9378,ST,20230406,20230408
100,1000385,01566632,BOM000100,2935,ST,20221110,20221113
100,1000386,02713369,BOM000136,3232,ST,20250306,20250307
100,1000387,39801816,BOM000150,3321,ST,20241022,20241027
100,1000388,80579097,BOM000076,6128,ST,20240717,20240722
100,1000389,98331173,BOM000084,4381,ST,20220303,20220306
100,1000390,54568317,BOM000033,6720,ST,20221123,20221124
100,1000391,77857526,BOM000064,9085,ST,20220423,20220427
100,1000392,39235412,BOM000099,7363,ST,20250625,20250630
100,1000393,60380342,BOM000067,4747,ST,20220421,20220425
100,1000394,35989638,BOM000122,7724,ST,20230522,20230525
100,1000395,86951472,BOM000155,6200,ST,20250531,20250603
100,1000396,21751668,BOM000107,4818,ST,20250913,20250914
100,1000397,32773151,BOM000126,8092,ST,20250723,20250728
100,1000398,95093293,BOM000113,2348,ST,20240820,20240822
100,1000399,00179407,BOM000029,2753,ST,20230216,20230221
100,1000400,70825442,BOM000163,4946,ST,20230908,20230910
100,1000401,88406525,BOM000055,1078,ST,20251209,20251211
100,1000402,55662945,BOM000078,9438,ST,20240515,20240517
100,1000403,22975146,BOM000040,1737,ST,20250326,20250329
100,1000404,08014946,BOM000059,3357,ST,20230312,20230317
100,1000405,78296216,BOM000050,7433,ST,20250406,20250408
100,1000406,55882993,BOM000047,5828,ST,20240415,20240416
100,1000407,56138613,BOM000108,1048,ST,20230124,20230128
100,1000408,84166651,BOM000006,675,ST,20250623,20250626
100,1000409,25732848,BOM000142,616,ST,20251005,20251007
100,1000410,72816522,BOM000054,9184,ST,20241118,20241120
100,1000411,13710790,BOM000095,4227,ST,20220807,20220809
100,1000412,60120871,BOM000114,9704,ST,20250226,20250301
100,1000413,76398945,BOM000014,952,ST,20220318,20220322
100,1000414,07038302,BOM000055,9063,ST,20250623,20250627
100,1000415,01059853,BOM000137,4940,ST,20240721,20240723
100,1000416,64255077,BOM000032,1305,ST,20250118,20250121
100,1000417,92975081,BOM000018,3460,ST,20230921,20230925
100,1000418,51941946,BOM000096,1310,ST,20250920,20250924
100,1000419,51618817,BOM000084,2537,ST,20230915,20230920
100,1000420,80204579,BOM000054,1671,ST,20251103,20251107
100,1000421,01915292,BOM000027,7698,ST,20220105,20220107
100,1000422,21215326,BOM000037,7119,ST,20240209,20240213
100,1000423,80170984,BOM000045,9953,ST,20240728,20240729
100,1000424,21755226,BOM000016,9178,ST,20231127,20231129
100,1000425,22114237,BOM000156,2042,ST,20220427,20220430
100,1000426,21824374,BOM000023,5804,ST,20251025,20251027
100,1000427,60584275,BOM000083,5070,ST,20240902,20240903
100,1000428,15143021,BOM000002,6198,ST,20250702,20250706
100,1000429,62840359,BOM000090,271,ST,20230827,20230829
100,1000430,83581654,BOM000122,3231,ST,20220302,20220305
100,1000431,72789440,BOM000067,9494,ST,20260106,20260110
100,1000432,99923370,BOM000086,2730,ST,20230801,20230806
100,1000433,96446823,BOM000111,235,ST,20240116,20240117
100,1000434,19530873,BOM000116,3838,ST,20250409,20250413
100,1000435,78482218,BOM000056,8361,ST,20251228,20260102
100,1000436,54133745,BOM000096,7849,ST,20221111,20221115
100,1000437,93369450,BOM000119,4963,ST,20220511,20220515
100,1000438,03093672,BOM000099,9097,ST,20240202,20240206
100,1000439,19284821,BOM000086,8626,ST,20220313,20220318
100,1000440,97187344,BOM000041,8575,ST,20240628,20240703
100,1000441,98596538,BOM000075,5038,ST,20240909,20240910
100,1000442,81140805,BOM000019,1350,ST,20221006,20221009
100,1000443,97373341,BOM000088,5211,ST,20240420,20240421
100,1000444,36178168,BOM000014,3910,ST,20220303,20220304
100,1000445,12142071,BOM000152,5661,ST,20221101,20221103
100,1000446,30058305,BOM000120,5790,ST,20240127,20240128
100,1000447,69506964,BOM000027,4044,ST,20230115,20230117
100,1000448,83638064,BOM000020,9858,ST,20221104,20221106
100,1000449,08798332,BOM000153,7771,ST,20250314,20250318
100,1000450,59315522,BOM000038,1119,ST,20240503,20240505
100,1000451,24493738,BOM000020,4991,ST,20221114,20221118
100,1000452,80292430,BOM000112,8902,ST,20220704,20220707
100,1000453,67472942,BOM000141,3284,ST,20230502,20230503
100,1000454,71615631,BOM000048,9863,ST,20220119,20220122
100,1000455,67550688,BOM000038,518,ST,20221209,20221211
100,1000456,02396304,BOM000033,883,ST,20220520,20220525
100,1000457,90629396,BOM000095,9989,ST,20240312,20240313
100,1000458,95933655,BOM000030,8469,ST,20240331,20240403
100,1000459,62357817,BOM000041,2797,ST,20250829,20250830
100,1000460,73087518,BOM000098,5494,ST,20220705,20220708
100,1000461,50516622,BOM000015,2689,ST,20220204,20220208
100,1000462,74807363,BOM000156,2718,ST,20250714,20250716
100,1000463,42671763,BOM000151,6760,ST,20250916,20250920
100,1000464,66486961,BOM000159,9482,ST,20240702,20240703
