MANDT,BUKRS,LIFNR,UMSKS,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,2000,0000000019,,20240210,0010000065,2024,0010000065,2804.24,EUR
100,1000,0000000059,,20240624,0010000066,2023,0010000066,2198.44,EUR
100,2000,0000000076,,20221115,0010000067,2024,0010000067,4116.86,EUR
100,1000,0000000142,,20231114,0010000068,2023,0010000068,2812.94,EUR
100,2000,0000000153,,20240411,0010000069,2024,0010000069,997.11,EUR
100,1000,0000000044,,20231127,0010000070,2023,0010000070,2827.27,EUR
100,2000,0000000029,,20220620,0010000071,2024,0010000071,1707.44,EUR
100,1000,0000000083,,20231103,0010000072,2023,0010000072,389.5,EUR
100,2000,0000000105,,20221004,0010000073,2024,0010000073,4597.71,EUR
100,1000,0000000182,,20231025,0010000074,2023,0010000074,3193.48,EUR
100,2000,0000000161,,20220915,0010000075,2024,0010000075,3965.53,EUR
100,1000,0000000004,,20240410,0010000076,2023,0010000076,2804.73,EUR
100,2000,0000000115,,20230907,0010000077,2024,0010000077,1329.1,EUR
100,1000,0000000021,,20221123,0010000078,2023,0010000078,2514.9,EUR
100,2000,0000000160,,20231109,0010000079,2024,0010000079,2706.63,EUR
100,1000,0000000193,,20230623,0010000080,2023,0010000080,748.99,EUR
100,2000,0000000085,,20240418,0010000081,2024,0010000081,105.48,EUR
100,1000,0000000178,,20220225,0010000082,2023,0010000082,1709.11,EUR
100,2000,0000000161,,20221218,0010000083,2024,0010000083,2415.34,EUR
100,1000,0000000187,,20220803,0010000084,2023,0010000084,4622.86,EUR
100,2000,0000000142,,20240621,0010000085,2024,0010000085,4519.56,EUR
100,1000,0000000117,,20220719,0010000086,2023,0010000086,1219.93,EUR
100,2000,0000000164,,20220703,0010000087,2024,0010000087,3856.84,EUR
100,1000,0000000037,,20220109,0010000088,2023,0010000088,3673.28,EUR
100,2000,0000000080,,20220701,0010000089,2024,0010000089,179.62,EUR
100,1000,0000000030,,20230127,0010000090,2023,0010000090,3997.97,EUR
100,2000,0000000106,,20241117,0010000091,2024,0010000091,3178.97,EUR
100,1000,0000000192,,20220123,0010000092,2023,0010000092,3071.6,EUR
100,2000,0000000044,,20230327,0010000093,2024,0010000093,2177.01,EUR
100,1000,0000000069,,20220628,0010000094,2023,0010000094,1148.71,EUR
100,2000,0000000197,,20231204,0010000095,2024,0010000095,3647.62,EUR
100,1000,0000000198,,20240222,0010000096,2023,0010000096,516.0,EUR
100,2000,0000000097,,20230731,0010000097,2024,0010000097,2321.94,EUR
100,1000,0000000182,,20221114,0010000098,2023,0010000098,1305.02,EUR
100,2000,0000000107,,20240614,0010000099,2024,0010000099,3946.56,EUR
100,1000,0000000119,,20220718,0010000100,2023,0010000100,1562.14,EUR
100,2000,0000000078,,20240607,0010000101,2024,0010000101,4071.78,EUR
100,1000,0000000119,,20230608,0010000102,2023,0010000102,3557.61,EUR
100,2000,0000000028,,20231020,0010000103,2024,0010000103,1910.99,EUR
100,1000,0000000071,,20230116,0010000104,2023,0010000104,1193.97,EUR
100,2000,0000000099,,20220419,0010000105,2024,0010000105,4708.32,EUR
100,1000,0000000160,,20221114,0010000106,2023,0010000106,2366.96,EUR
100,2000,0000000086,,20221116,0010000107,2024,0010000107,1196.21,EUR
100,1000,0000000015,,20220714,0010000108,2023,0010000108,1171.86,EUR
100,2000,0000000101,,20230726,0010000109,2024,0010000109,307.09,EUR
100,1000,0000000184,,20220529,0010000110,2023,0010000110,4646.71,EUR
100,2000,0000000189,,20220521,0010000111,2024,0010000111,1052.26,EUR
100,1000,0000000147,,20221019,0010000112,2023,0010000112,3295.05,EUR
100,2000,0000000126,,20230923,0010000113,2024,0010000113,1593.68,EUR
100,1000,0000000116,,20240413,0010000114,2023,0010000114,2866.0,EUR
100,2000,0000000101,,20230621,0010000115,2024,0010000115,3375.99,EUR
100,1000,0000000112,,20230314,0010000116,2023,0010000116,4273.38,EUR
100,2000,0000000076,,20240117,0010000117,2024,0010000117,1451.62,EUR
100,1000,0000000048,,20220402,0010000118,2023,0010000118,2343.54,EUR
100,2000,0000000199,,20231126,0010000119,2024,0010000119,542.78,EUR
100,1000,0000000169,,20230710,0010000120,2023,0010000120,2210.83,EUR
100,2000,0000000085,,20240413,0010000121,2024,0010000121,1522.29,EUR
100,1000,0000000048,,20220604,0010000122,2023,0010000122,4450.29,EUR
100,2000,0000000145,,20220315,0010000123,2024,0010000123,4905.4,EUR
100,1000,0000000086,,20240701,0010000124,2023,0010000124,3493.32,EUR
100,2000,0000000119,,20220709,0010000125,2024,0010000125,3290.47,EUR
100,1000,0000000087,,20230805,0010000126,2023,0010000126,4370.63,EUR
100,2000,0000000101,,20220506,0010000127,2024,0010000127,4468.31,EUR
100,1000,0000000190,,20240421,0010000128,2023,0010000128,2937.72,EUR
100,2000,0000000057,,20230820,0010000129,2024,0010000129,3202.53,EUR
100,1000,0000000101,,20240602,0010000130,2023,0010000130,399.34,EUR
100,2000,0000000019,,20241015,0010000131,2024,0010000131,1759.33,EUR
100,1000,0000000126,,20240726,0010000132,2023,0010000132,760.14,EUR
100,2000,0000000083,,20240423,0010000133,2024,0010000133,1380.85,EUR
100,1000,0000000177,,20240715,0010000134,2023,0010000134,1762.67,EUR
100,2000,0000000002,,20230629,0010000135,2024,0010000135,2846.9,EUR
100,1000,0000000152,,20240909,0010000136,2023,0010000136,3404.63,EUR
100,2000,0000000104,,20220927,0010000137,2024,0010000137,1051.63,EUR
100,1000,0000000030,,20230403,0010000138,2023,0010000138,404.76,EUR
100,2000,0000000088,,20231126,0010000139,2024,0010000139,4805.97,EUR
100,1000,0000000012,,20220328,0010000140,2023,0010000140,4471.88,EUR
100,2000,0000000091,,20220601,0010000141,2024,0010000141,1429.44,EUR
100,1000,0000000005,,20230814,0010000142,2023,0010000142,1601.2,EUR
100,2000,0000000169,,20221120,0010000143,2024,0010000143,4025.33,EUR
100,1000,0000000160,,20231003,0010000144,2023,0010000144,4780.94,EUR
100,2000,0000000098,,20241029,0010000145,2024,0010000145,2870.55,EUR
100,1000,0000000174,,20221226,0010000146,2023,0010000146,4848.6,EUR
100,2000,0000000173,,20230114,0010000147,2024,0010000147,2196.64,EUR
100,1000,0000000138,,20240531,0010000148,2023,0010000148,324.39,EUR
100,2000,0000000151,,20240711,0010000149,2024,0010000149,4494.63,EUR
100,1000,0000000168,,20230131,0010000150,2023,0010000150,3113.59,EUR
100,2000,0000000106,,20230708,0010000151,2024,0010000151,4016.33,EUR
100,1000,0000000150,,20240621,0010000152,2023,0010000152,2972.78,EUR
100,2000,0000000170,,20240226,0010000153,2024,0010000153,3943.3,EUR
100,1000,0000000046,,20220401,0010000154,2023,0010000154,297.37,EUR
100,2000,0000000197,,20241111,0010000155,2024,0010000155,694.87,EUR
100,1000,0000000072,,20240413,0010000156,2023,0010000156,1974.22,EUR
100,2000,0000000050,,20240613,0010000157,2024,0010000157,1449.81,EUR
100,1000,0000000103,,20220605,0010000158,2023,0010000158,1362.07,EUR
100,2000,0000000071,,20220928,0010000159,2024,0010000159,3298.02,EUR
100,1000,0000000053,,20230915,0010000160,2023,0010000160,4576.92,EUR
100,2000,0000000079,,20221112,0010000161,2024,0010000161,695.14,EUR
100,1000,0000000138,,20240921,0010000162,2023,0010000162,4855.45,EUR
100,2000,0000000105,,20220316,0010000163,2024,0010000163,4427.16,EUR
100,1000,0000000126,,20220314,0010000164,2023,0010000164,207.42,EUR
100,2000,0000000148,,20240722,0010000165,2024,0010000165,1996.81,EUR
100,1000,0000000092,,20240906,0010000166,2023,0010000166,3540.32,EUR
100,2000,0000000095,,20240327,0010000167,2024,0010000167,868.98,EUR
100,1000,0000000044,,20220123,0010000168,2023,0010000168,3639.01,EUR
100,2000,0000000164,,20221219,0010000169,2024,0010000169,2929.6,EUR
100,1000,0000000123,,20220608,0010000170,2023,0010000170,3252.78,EUR
100,2000,0000000078,,20220711,0010000171,2024,0010000171,4557.83,EUR
100,1000,0000000087,,20230522,0010000172,2023,0010000172,1150.99,EUR
100,2000,0000000128,,20230305,0010000173,2024,0010000173,3009.67,EUR
100,1000,0000000030,,20241028,0010000174,2023,0010000174,1117.22,EUR
100,2000,0000000041,,20230115,0010000175,2024,0010000175,1852.68,EUR
100,1000,0000000037,,20221108,0010000176,2023,0010000176,3870.15,EUR
100,2000,0000000015,,20240708,0010000177,2024,0010000177,2253.68,EUR
100,1000,0000000070,,20221024,0010000178,2023,0010000178,4135.76,EUR
100,2000,0000000079,,20230911,0010000179,2024,0010000179,2995.7,EUR
100,1000,0000000162,,20241212,0010000180,2023,0010000180,2348.02,EUR
100,2000,0000000057,,20221123,0010000181,2024,0010000181,4307.79,EUR
100,1000,0000000105,,20220517,0010000182,2023,0010000182,510.71,EUR
100,2000,0000000002,,20241009,0010000183,2024,0010000183,2269.53,EUR
100,1000,0000000014,,20241222,0010000184,2023,0010000184,3986.81,EUR
100,2000,0000000089,,20230217,0010000185,2024,0010000185,1379.88,EUR
100,1000,0000000021,,20240722,0010000186,2023,0010000186,1341.93,EUR
100,2000,0000000123,,20220818,0010000187,2024,0010000187,3269.68,EUR
100,1000,0000000103,,20231114,0010000188,2023,0010000188,889.98,EUR
100,2000,0000000162,,20221001,0010000189,2024,0010000189,2273.54,EUR
100,1000,0000000088,,20220609,0010000190,2023,0010000190,1413.68,EUR
100,2000,0000000151,,20230602,0010000191,2024,0010000191,4374.58,EUR
100,1000,0000000176,,20220311,0010000192,2023,0010000192,725.18,EUR
100,2000,0000000183,,20220804,0010000193,2024,0010000193,3081.02,EUR
100,1000,0000000150,,20240414,0010000194,2023,0010000194,2291.76,EUR
100,2000,0000000191,,20230503,0010000195,2024,0010000195,4173.75,EUR
100,1000,0000000020,,20241117,0010000196,2023,0010000196,1876.35,EUR
100,2000,0000000191,,20220313,0010000197,2024,0010000197,3424.58,EUR
100,1000,0000000112,,20221218,0010000198,2023,0010000198,3428.68,EUR
100,2000,0000000162,,20231001,0010000199,2024,0010000199,2376.42,EUR
100,1000,0000000098,,20240128,0010000200,2023,0010000200,4244.31,EUR
100,2000,0000000194,,20241204,0010000201,2024,0010000201,3663.6,EUR
100,1000,0000000059,,20230610,0010000202,2023,0010000202,4919.13,EUR
100,2000,0000000116,,20230924,0010000203,2024,0010000203,3507.84,EUR
100,1000,0000000109,,20230828,0010000204,2023,0010000204,2818.58,EUR
100,2000,0000000005,,20240705,0010000205,2024,0010000205,1139.69,EUR
100,1000,0000000004,,20230816,0010000206,2023,0010000206,2125.69,EUR
100,2000,0000000040,,20231017,0010000207,2024,0010000207,3335.3,EUR
100,1000,0000000048,,20230610,0010000208,2023,0010000208,1583.88,EUR
100,2000,0000000156,,20230506,0010000209,2024,0010000209,4675.25,EUR
100,1000,0000000103,,20230908,0010000210,2023,0010000210,1226.78,EUR
100,2000,0000000045,,20230227,0010000211,2024,0010000211,3520.29,EUR
100,1000,0000000027,,20240810,0010000212,2023,0010000212,4941.44,EUR
100,2000,0000000102,,20230723,0010000213,2024,0010000213,663.14,EUR
100,1000,0000000088,,20230926,0010000214,2023,0010000214,114.1,EUR
100,2000,0000000151,,20240321,0010000215,2024,0010000215,3280.13,EUR
100,1000,0000000099,,20230508,0010000216,2023,0010000216,3510.72,EUR
100,2000,0000000105,,20240806,0010000217,2024,0010000217,1489.7,EUR
100,1000,0000000058,,20220219,0010000218,2023,0010000218,2275.66,EUR
100,2000,0000000138,,20220410,0010000219,2024,0010000219,4967.63,EUR
100,1000,0000000043,,20230501,0010000220,2023,0010000220,1649.89,EUR
100,2000,0000000112,,20220826,0010000221,2024,0010000221,2745.25,EUR
100,1000,0000000025,,20230528,0010000222,2023,0010000222,2172.33,EUR
100,2000,0000000187,,20240813,0010000223,2024,0010000223,2125.25,EUR
100,1000,0000000121,,20241119,0010000224,2023,0010000224,1184.44,EUR
100,2000,0000000141,,20220514,0010000225,2024,0010000225,4898.31,EUR
100,1000,0000000139,,20240415,0010000226,2023,0010000226,2733.54,EUR
100,2000,0000000007,,20241202,0010000227,2024,0010000227,3424.8,EUR
100,1000,0000000052,,20220116,0010000228,2023,0010000228,3999.71,EUR
100,2000,0000000004,,20220327,0010000229,2024,0010000229,3341.65,EUR
100,1000,0000000147,,20240319,0010000230,2023,0010000230,1031.59,EUR
100,2000,0000000100,,20220317,0010000231,2024,0010000231,2684.34,EUR
100,1000,0000000116,,20241102,0010000232,2023,0010000232,4870.89,EUR
100,2000,0000000048,,20230711,0010000233,2024,0010000233,2264.81,EUR
100,1000,0000000119,,20240820,0010000234,2023,0010000234,4452.55,EUR
100,2000,0000000103,,20231016,0010000235,2024,0010000235,190.56,EUR
100,1000,0000000027,,20240503,0010000236,2023,0010000236,3483.84,EUR
100,2000,0000000126,,20240715,0010000237,2024,0010000237,3811.16,EUR
100,1000,0000000009,,20230317,0010000238,2023,0010000238,1604.83,EUR
100,2000,0000000184,,20230121,0010000239,2024,0010000239,1788.23,EUR
100,1000,0000000048,,20240322,0010000240,2023,0010000240,3667.3,EUR
100,2000,0000000193,,20240306,0010000241,2024,0010000241,387.73,EUR
100,1000,0000000114,,20230812,0010000242,2023,0010000242,975.35,EUR
100,2000,0000000006,,20230606,0010000243,2024,0010000243,1294.96,EUR
100,1000,0000000107,,20221227,0010000244,2023,0010000244,1494.24,EUR
100,2000,0000000033,,20230607,0010000245,2024,0010000245,4619.48,EUR
100,1000,0000000122,,20231209,0010000246,2023,0010000246,3018.79,EUR
100,2000,0000000097,,20241231,0010000247,2024,0010000247,1892.38,EUR
100,1000,0000000040,,20220925,0010000248,2023,0010000248,632.55,EUR
100,2000,0000000114,,20220407,0010000249,2024,0010000249,1459.43,EUR
100,1000,0000000041,,20240105,0010000250,2023,0010000250,2721.52,EUR
100,2000,0000000108,,20221121,0010000251,2024,0010000251,1135.26,EUR
100,1000,0000000012,,20240416,0010000252,2023,0010000252,2456.89,EUR
100,2000,0000000051,,20220124,0010000253,2024,0010000253,3916.03,EUR
100,1000,0000000172,,20231005,0010000254,2023,0010000254,2754.37,EUR
100,2000,0000000183,,20240412,0010000255,2024,0010000255,2929.12,EUR
100,1000,0000000178,,20230713,0010000256,2023,0010000256,4124.69,EUR
100,2000,0000000165,,20230512,0010000257,2024,0010000257,2937.11,EUR
100,1000,0000000096,,20230311,0010000258,2023,0010000258,1958.14,EUR
100,2000,0000000075,,20230211,0010000259,2024,0010000259,710.35,EUR
100,1000,0000000129,,20230209,0010000260,2023,0010000260,1384.69,EUR
100,2000,0000000198,,20220507,0010000261,2024,0010000261,197.0,EUR
100,1000,0000000141,,20240322,0010000262,2023,0010000262,4205.54,EUR
100,2000,0000000110,,20230613,0010000263,2024,0010000263,3452.63,EUR
100,1000,0000000002,,20240503,0010000264,2023,0010000264,746.99,EUR
100,2000,0000000086,,20240405,0010000265,2024,0010000265,3934.45,EUR
100,1000,0000000077,,20240529,0010000266,2023,0010000266,4403.8,EUR
100,2000,0000000041,,20230121,0010000267,2024,0010000267,4959.98,EUR
100,1000,0000000114,,20220826,0010000268,2023,0010000268,3463.57,EUR
100,2000,0000000165,,20240724,0010000269,2024,0010000269,4396.15,EUR
100,1000,0000000009,,20230808,0010000270,2023,0010000270,2130.07,EUR
100,2000,0000000005,,20240814,0010000271,2024,0010000271,314.11,EUR
100,1000,0000000036,,20230206,0010000272,2023,0010000272,640.71,EUR
100,2000,0000000071,,20220828,0010000273,2024,0010000273,1030.82,EUR
100,1000,0000000007,,20240212,0010000274,2023,0010000274,1798.74,EUR
100,2000,0000000067,,20240713,0010000275,2024,0010000275,602.18,EUR
100,1000,0000000130,,20240211,0010000276,2023,0010000276,3621.03,EUR
100,2000,0000000038,,20230103,0010000277,2024,0010000277,4342.24,EUR
100,1000,0000000091,,20220213,0010000278,2023,0010000278,3114.73,EUR
100,2000,0000000142,,20241223,0010000279,2024,0010000279,1927.14,EUR
100,1000,0000000157,,20240909,0010000280,2023,0010000280,3305.35,EUR
100,2000,0000000175,,20230706,0010000281,2024,0010000281,169.51,EUR
100,1000,0000000141,,20240218,0010000282,2023,0010000282,4581.93,EUR
100,2000,0000000089,,20231027,0010000283,2024,0010000283,2288.27,EUR
100,1000,0000000170,,20230311,0010000284,2023,0010000284,2797.15,EUR
100,2000,0000000172,,20221230,0010000285,2024,0010000285,2254.29,EUR
100,1000,0000000197,,20220810,0010000286,2023,0010000286,3131.78,EUR
100,2000,0000000106,,20240405,0010000287,2024,0010000287,1206.01,EUR
100,1000,0000000105,,20241211,0010000288,2023,0010000288,3797.32,EUR
100,2000,0000000033,,20231009,0010000289,2024,0010000289,2055.88,EUR
100,1000,0000000115,,20240806,0010000290,2023,0010000290,673.34,EUR
100,2000,0000000160,,20241004,0010000291,2024,0010000291,2602.97,EUR
100,1000,0000000144,,20240130,0010000292,2023,0010000292,3694.66,EUR
100,2000,0000000106,,20240607,0010000293,2024,0010000293,700.67,EUR
100,1000,0000000033,,20220905,0010000294,2023,0010000294,3738.21,EUR
100,2000,0000000044,,20240629,0010000295,2024,0010000295,2410.59,EUR
100,1000,0000000165,,20220410,0010000296,2023,0010000296,1248.79,EUR
100,2000,0000000006,,20230227,0010000297,2024,0010000297,1212.37,EUR
100,1000,0000000070,,20240128,0010000298,2023,0010000298,2121.09,EUR
100,2000,0000000086,,20220420,0010000299,2024,0010000299,3343.09,EUR
100,1000,0000000020,,20220915,0010000300,2023,0010000300,3795.54,EUR
100,2000,0000000120,,20231216,0010000301,2024,0010000301,575.48,EUR
100,1000,0000000106,,20241216,0010000302,2023,0010000302,203.39,EUR
100,2000,0000000081,,20230904,0010000303,2024,0010000303,2573.36,EUR
100,1000,0000000193,,20230826,0010000304,2023,0010000304,1843.69,EUR
100,2000,0000000186,,20240414,0010000305,2024,0010000305,1398.94,EUR
100,1000,0000000168,,20231106,0010000306,2023,0010000306,4182.74,EUR
100,2000,0000000064,,20241230,0010000307,2024,0010000307,3527.78,EUR
100,1000,0000000139,,20221201,0010000308,2023,0010000308,2462.74,EUR
100,2000,0000000123,,20231006,0010000309,2024,0010000309,4488.55,EUR
100,1000,0000000055,,20230615,0010000310,2023,0010000310,562.54,EUR
100,2000,0000000016,,20230618,0010000311,2024,0010000311,751.7,EUR
100,1000,0000000189,,20220609,0010000312,2023,0010000312,3464.75,EUR
100,2000,0000000056,,20221012,0010000313,2024,0010000313,4404.75,EUR
100,1000,0000000167,,20220505,0010000314,2023,0010000314,2042.26,EUR
100,2000,0000000168,,20230713,0010000315,2024,0010000315,578.41,EUR
100,1000,0000000177,,20220428,0010000316,2023,0010000316,2849.4,EUR
100,2000,0000000144,,20220115,0010000317,2024,0010000317,1950.39,EUR
100,1000,0000000160,,20220504,0010000318,2023,0010000318,2383.72,EUR
100,2000,0000000186,,20240929,0010000319,2024,0010000319,1009.62,EUR
100,1000,0000000002,,20220207,0010000320,2023,0010000320,4918.1,EUR
100,2000,0000000043,,20230513,0010000321,2024,0010000321,3043.66,EUR
100,1000,0000000019,,20220601,0010000322,2023,0010000322,3374.19,EUR
100,2000,0000000153,,20230408,0010000323,2024,0010000323,2700.84,EUR
100,1000,0000000014,,20240318,0010000324,2023,0010000324,1605.85,EUR
100,2000,0000000103,,20240929,0010000325,2024,0010000325,2279.21,EUR
100,1000,0000000085,,20230224,0010000326,2023,0010000326,597.1,EUR
100,2000,0000000124,,20220514,0010000327,2024,0010000327,2544.19,EUR
100,1000,0000000175,,20230525,0010000328,2023,0010000328,654.65,EUR
100,2000,0000000030,,20230416,0010000329,2024,0010000329,1660.87,EUR
100,1000,0000000069,,20240613,0010000330,2023,0010000330,1772.79,EUR
100,2000,0000000033,,20241023,0010000331,2024,0010000331,2625.54,EUR
100,1000,0000000138,,20240516,0010000332,2023,0010000332,2769.54,EUR
100,2000,0000000182,,20230410,0010000333,2024,0010000333,1243.44,EUR
100,1000,0000000033,,20240221,0010000334,2023,0010000334,4626.0,EUR
100,2000,0000000117,,20230403,0010000335,2024,0010000335,4531.97,EUR
100,1000,0000000186,,20240120,0010000336,2023,0010000336,3006.15,EUR
100,2000,0000000077,,20230420,0010000337,2024,0010000337,3934.28,EUR
100,1000,0000000106,,20230114,0010000338,2023,0010000338,1680.16,EUR
100,2000,0000000146,,20240822,0010000339,2024,0010000339,1680.14,EUR
100,1000,0000000065,,20220213,0010000340,2023,0010000340,3501.91,EUR
100,2000,0000000006,,20230718,0010000341,2024,0010000341,3677.77,EUR
100,1000,0000000138,,20230818,0010000342,2023,0010000342,4085.44,EUR
100,2000,0000000002,,20240509,0010000343,2024,0010000343,4831.31,EUR
100,1000,0000000049,,20240226,0010000344,2023,0010000344,2241.26,EUR
100,2000,0000000049,,20221127,0010000345,2024,0010000345,269.7,EUR
100,1000,0000000148,,20240107,0010000346,2023,0010000346,4941.53,EUR
100,2000,0000000187,,20221209,0010000347,2024,0010000347,4330.92,EUR
100,1000,0000000051,,20230323,0010000348,2023,0010000348,147.28,EUR
100,2000,0000000100,,20220809,0010000349,2024,0010000349,3839.41,EUR
100,1000,0000000168,,20231227,0010000350,2023,0010000350,3178.37,EUR
100,2000,0000000010,,20220426,0010000351,2024,0010000351,3497.35,EUR
100,1000,0000000098,,20241228,0010000352,2023,0010000352,4551.95,EUR
100,2000,0000000129,,20230228,0010000353,2024,0010000353,4794.27,EUR
100,1000,0000000154,,20240630,0010000354,2023,0010000354,4301.67,EUR
100,2000,0000000109,,20240418,0010000355,2024,0010000355,1623.61,EUR
100,1000,0000000101,,20220219,0010000356,2023,0010000356,2681.35,EUR
100,2000,0000000183,,20230511,0010000357,2024,0010000357,2252.44,EUR
100,1000,0000000065,,20220207,0010000358,2023,0010000358,3876.95,EUR
100,2000,0000000116,,20221017,0010000359,2024,0010000359,4733.96,EUR
100,1000,0000000149,,20220319,0010000360,2023,0010000360,2684.83,EUR
100,2000,0000000147,,20220813,0010000361,2024,0010000361,2480.36,EUR
100,1000,0000000057,,20220819,0010000362,2023,0010000362,1303.54,EUR
100,2000,0000000099,,20240405,0010000363,2024,0010000363,4690.07,EUR
100,1000,0000000017,,20240127,0010000364,2023,0010000364,4631.73,EUR
100,2000,0000000101,,20220922,0010000365,2024,0010000365,3674.78,EUR
100,1000,0000000023,,20220314,0010000366,2023,0010000366,2209.84,EUR
100,2000,0000000018,,20230904,0010000367,2024,0010000367,4079.16,EUR
100,1000,0000000157,,20221227,0010000368,2023,0010000368,4079.15,EUR
100,2000,0000000167,,20230414,0010000369,2024,0010000369,1406.32,EUR
100,1000,0000000112,,20231004,0010000370,2023,0010000370,2955.57,EUR
100,2000,0000000131,,20220107,0010000371,2024,0010000371,3013.62,EUR
100,1000,0000000137,,20231102,0010000372,2023,0010000372,4914.22,EUR
100,2000,0000000163,,20230302,0010000373,2024,0010000373,3633.15,EUR
100,1000,0000000124,,20220314,0010000374,2023,0010000374,4884.07,EUR
100,2000,0000000107,,20230209,0010000375,2024,0010000375,3900.67,EUR
