MANDT,KOKRS,BELNR,GJAHR,BUZEI,KSTAR,KOSTL,WRBTR,TWAER
100,1000,0060000030,2023,001,0000400000,0000004000,2041.04,EUR
100,1000,0060000031,2024,002,0000400010,0000004100,4369.65,EUR
100,1000,0060000032,2023,003,0000400020,0000004200,3989.93,EUR
100,1000,0060000033,2024,001,0000400030,0000004300,9291.3,EUR
100,1000,0060000034,2023,002,0000400040,0000004400,6274.82,EUR
100,1000,0060000035,2024,003,0000400050,0000004500,4034.76,EUR
100,1000,0060000036,2023,001,0000400060,0000004600,5513.44,EUR
100,1000,0060000037,2024,002,0000400070,0000004700,1886.5,EUR
100,1000,0060000038,2023,003,0000400080,0000004800,5841.47,EUR
100,1000,0060000039,2024,001,0000400090,0000004900,1880.32,EUR
100,1000,0060000040,2023,002,0000400100,0000005000,9217.58,EUR
100,1000,0060000041,2024,003,0000400110,0000005100,5623.1,EUR
100,1000,0060000042,2023,001,0000400120,0000005200,6769.59,EUR
100,1000,0060000043,2024,002,0000400130,0000005300,6599.4,EUR
100,1000,0060000044,2023,003,0000400140,0000005400,5025.28,EUR
100,1000,0060000045,2024,001,0000400150,0000005500,4698.22,EUR
100,1000,0060000046,2023,002,0000400160,0000005600,9446.01,EUR
100,1000,0060000047,2024,003,0000400170,0000005700,4248.15,EUR
100,1000,0060000048,2023,001,0000400180,0000005800,2659.19,EUR
100,1000,0060000049,2024,002,0000400190,0000005900,8041.95,EUR
100,1000,0060000050,2023,003,0000400200,0000001000,5279.03,EUR
100,1000,0060000051,2024,001,0000400210,0000001100,8042.93,EUR
100,1000,0060000052,2023,002,0000400220,0000001200,361.96,EUR
100,1000,0060000053,2024,003,0000400230,0000001300,948.98,EUR
100,1000,0060000054,2023,001,0000400240,0000001400,7916.5,EUR
100,1000,0060000055,2024,002,0000400250,0000001500,6651.71,EUR
100,1000,0060000056,2023,003,0000400260,0000001600,2108.04,EUR
100,1000,0060000057,2024,001,0000400270,0000001700,7144.76,EUR
100,1000,0060000058,2023,002,0000400280,0000001800,5173.92,EUR
100,1000,0060000059,2024,003,0000400290,0000001900,6496.3,EUR
100,1000,0060000060,2023,001,0000400000,0000002000,6379.81,EUR
100,1000,0060000061,2024,002,0000400010,0000002100,226.86,EUR
100,1000,0060000062,2023,003,0000400020,0000002200,7913.41,EUR
100,1000,0060000063,2024,001,0000400030,0000002300,8144.65,EUR
100,1000,0060000064,2023,002,0000400040,0000002400,8521.51,EUR
100,1000,0060000065,2024,003,0000400050,0000002500,8993.78,EUR
100,1000,0060000066,2023,001,0000400060,0000002600,2380.54,EUR
100,1000,0060000067,2024,002,0000400070,0000002700,3290.4,EUR
100,1000,0060000068,2023,003,0000400080,0000002800,8441.5,EUR
100,1000,0060000069,2024,001,0000400090,0000002900,4250.47,EUR
100,1000,0060000070,2023,002,0000400100,0000003000,2009.34,EUR
100,1000,0060000071,2024,003,0000400110,0000003100,2758.18,EUR
100,1000,0060000072,2023,001,0000400120,0000003200,7689.22,EUR
100,1000,0060000073,2024,002,0000400130,0000003300,6915.58,EUR
100,1000,0060000074,2023,003,0000400140,0000003400,3027.02,EUR
100,1000,0060000075,2024,001,0000400150,0000003500,7437.88,EUR
100,1000,0060000076,2023,002,0000400160,0000003600,3209.83,EUR
100,1000,0060000077,2024,003,0000400170,0000003700,6744.93,EUR
100,1000,0060000078,2023,001,0000400180,0000003800,8388.73,EUR
100,1000,0060000079,2024,002,0000400190,0000003900,9212.72,EUR
100,1000,0060000080,2023,003,0000400200,0000004000,1182.59,EUR
100,1000,0060000081,2024,001,0000400210,0000004100,2575.25,EUR
100,1000,0060000082,2023,002,0000400220,0000004200,4264.72,EUR
100,1000,0060000083,2024,003,0000400230,0000004300,563.11,EUR
100,1000,0060000084,2023,001,0000400240,0000004400,1588.19,EUR
100,1000,0060000085,2024,002,0000400250,0000004500,1283.75,EUR
100,1000,0060000086,2023,003,0000400260,0000004600,8344.4,EUR
100,1000,0060000087,2024,001,0000400270,0000004700,6714.36,EUR
100,1000,0060000088,2023,002,0000400280,0000004800,531.81,EUR
100,1000,0060000089,2024,003,0000400290,0000004900,3877.99,EUR
100,1000,0060000090,2023,001,0000400000,0000005000,3912.73,EUR
100,1000,0060000091,2024,002,0000400010,0000005100,170.56,EUR
100,1000,0060000092,2023,003,0000400020,0000005200,2651.1,EUR
100,1000,0060000093,2024,001,0000400030,0000005300,5109.11,EUR
100,1000,0060000094,2023,002,0000400040,0000005400,1755.33,EUR
100,1000,0060000095,2024,003,0000400050,0000005500,7724.85,EUR
100,1000,0060000096,2023,001,0000400060,0000005600,750.33,EUR
100,1000,0060000097,2024,002,0000400070,0000005700,4910.19,EUR
100,1000,0060000098,2023,003,0000400080,0000005800,3124.37,EUR
100,1000,0060000099,2024,001,0000400090,0000005900,1241.35,EUR
100,1000,0060000100,2023,002,0000400100,0000001000,1017.8,EUR
100,1000,0060000101,2024,003,0000400110,0000001100,1538.58,EUR
100,1000,0060000102,2023,001,0000400120,0000001200,7150.26,EUR
100,1000,0060000103,2024,002,0000400130,0000001300,6153.45,EUR
100,1000,0060000104,2023,003,0000400140,0000001400,4179.23,EUR
100,1000,0060000105,2024,001,0000400150,0000001500,5295.47,EUR
100,1000,0060000106,2023,002,0000400160,0000001600,8419.21,EUR
100,1000,0060000107,2024,003,0000400170,0000001700,5962.19,EUR
100,1000,0060000108,2023,001,0000400180,0000001800,3240.61,EUR
100,1000,0060000109,2024,002,0000400190,0000001900,1103.9,EUR
100,1000,0060000110,2023,003,0000400200,0000002000,6921.57,EUR
100,1000,0060000111,2024,001,0000400210,0000002100,6899.83,EUR
100,1000,0060000112,2023,002,0000400220,0000002200,9334.2,EUR
100,1000,0060000113,2024,003,0000400230,0000002300,7093.33,EUR
100,1000,0060000114,2023,001,0000400240,0000002400,5494.71,EUR
100,1000,0060000115,2024,002,0000400250,0000002500,1174.66,EUR
100,1000,0060000116,2023,003,0000400260,0000002600,4273.57,EUR
100,1000,0060000117,2024,001,0000400270,0000002700,2473.06,EUR
100,1000,0060000118,2023,002,0000400280,0000002800,7645.84,EUR
100,1000,0060000119,2024,003,0000400290,0000002900,2882.02,EUR
100,1000,0060000120,2023,001,0000400000,0000003000,1645.67,EUR
100,1000,0060000121,2024,002,0000400010,0000003100,1410.44,EUR
100,1000,0060000122,2023,003,0000400020,0000003200,1284.4,EUR
100,1000,0060000123,2024,001,0000400030,0000003300,4943.5,EUR
100,1000,0060000124,2023,002,0000400040,0000003400,2731.24,EUR
100,1000,0060000125,2024,003,0000400050,0000003500,6315.17,EUR
100,1000,0060000126,2023,001,0000400060,0000003600,8517.69,EUR
100,1000,0060000127,2024,002,0000400070,0000003700,5882.92,EUR
100,1000,0060000128,2023,003,0000400080,0000003800,3282.24,EUR
100,1000,0060000129,2024,001,0000400090,0000003900,454.85,EUR
100,1000,0060000130,2023,002,0000400100,0000004000,6586.23,EUR
100,1000,0060000131,2024,003,0000400110,0000004100,239.5,EUR
100,1000,0060000132,2023,001,0000400120,0000004200,7625.07,EUR
100,1000,0060000133,2024,002,0000400130,0000004300,896.97,EUR
100,1000,0060000134,2023,003,0000400140,0000004400,161.79,EUR
100,1000,0060000135,2024,001,0000400150,0000004500,7548.7,EUR
100,1000,0060000136,2023,002,0000400160,0000004600,9775.76,EUR
100,1000,0060000137,2024,003,0000400170,0000004700,2515.51,EUR
100,1000,0060000138,2023,001,0000400180,0000004800,6349.73,EUR
100,1000,0060000139,2024,002,0000400190,0000004900,6303.38,EUR
100,1000,0060000140,2023,003,0000400200,0000005000,8707.53,EUR
100,1000,0060000141,2024,001,0000400210,0000005100,1003.08,EUR
100,1000,0060000142,2023,002,0000400220,0000005200,5226.74,EUR
100,1000,0060000143,2024,003,0000400230,0000005300,3748.3,EUR
100,1000,0060000144,2023,001,0000400240,0000005400,5820.98,EUR
100,1000,0060000145,2024,002,0000400250,0000005500,7651.09,EUR
100,1000,0060000146,2023,003,0000400260,0000005600,5106.74,EUR
100,1000,0060000147,2024,001,0000400270,0000005700,6420.06,EUR
100,1000,0060000148,2023,002,0000400280,0000005800,6576.89,EUR
100,1000,0060000149,2024,003,0000400290,0000005900,7115.48,EUR
100,1000,0060000150,2023,001,0000400000,0000001000,8639.04,EUR
100,1000,0060000151,2024,002,0000400010,0000001100,9846.82,EUR
100,1000,0060000152,2023,003,0000400020,0000001200,5591.36,EUR
100,1000,0060000153,2024,001,0000400030,0000001300,121.85,EUR
100,1000,0060000154,2023,002,0000400040,0000001400,9391.9,EUR
100,1000,0060000155,2024,003,0000400050,0000001500,7854.69,EUR
100,1000,0060000156,2023,001,0000400060,0000001600,6150.66,EUR
100,1000,0060000157,2024,002,0000400070,0000001700,799.74,EUR
100,1000,0060000158,2023,003,0000400080,0000001800,8981.55,EUR
100,1000,0060000159,2024,001,0000400090,0000001900,8843.9,EUR
100,1000,0060000160,2023,002,0000400100,0000002000,2915.64,EUR
100,1000,0060000161,2024,003,0000400110,0000002100,9862.94,EUR
100,1000,0060000162,2023,001,0000400120,0000002200,1474.11,EUR
100,1000,0060000163,2024,002,0000400130,0000002300,2313.0,EUR
100,1000,0060000164,2023,003,0000400140,0000002400,5151.55,EUR
100,1000,0060000165,2024,001,0000400150,0000002500,8274.41,EUR
100,1000,0060000166,2023,002,0000400160,0000002600,6034.2,EUR
100,1000,0060000167,2024,003,0000400170,0000002700,762.44,EUR
100,1000,0060000168,2023,001,0000400180,0000002800,5357.69,EUR
100,1000,0060000169,2024,002,0000400190,0000002900,961.48,EUR
100,1000,0060000170,2023,003,0000400200,0000003000,1386.95,EUR
100,1000,0060000171,2024,001,0000400210,0000003100,2158.56,EUR
100,1000,0060000172,2023,002,0000400220,0000003200,6340.53,EUR
100,1000,0060000173,2024,003,0000400230,0000003300,4262.15,EUR
100,1000,0060000174,2023,001,0000400240,0000003400,9585.1,EUR
100,1000,0060000175,2024,002,0000400250,0000003500,9296.88,EUR
100,1000,0060000176,2023,003,0000400260,0000003600,5380.87,EUR
100,1000,0060000177,2024,001,0000400270,0000003700,8850.02,EUR
100,1000,0060000178,2023,002,0000400280,0000003800,7333.83,EUR
100,1000,0060000179,2024,003,0000400290,0000003900,2678.25,EUR
100,1000,0060000180,2023,001,0000400000,0000004000,8005.25,EUR
100,1000,0060000181,2024,002,0000400010,0000004100,8053.43,EUR
100,1000,0060000182,2023,003,0000400020,0000004200,8652.99,EUR
100,1000,0060000183,2024,001,0000400030,0000004300,3261.18,EUR
100,1000,0060000184,2023,002,0000400040,0000004400,9385.29,EUR
100,1000,0060000185,2024,003,0000400050,0000004500,8490.05,EUR
100,1000,0060000186,2023,001,0000400060,0000004600,8747.3,EUR
100,1000,0060000187,2024,002,0000400070,0000004700,1273.77,EUR
100,1000,0060000188,2023,003,0000400080,0000004800,9470.66,EUR
100,1000,0060000189,2024,001,0000400090,0000004900,4586.1,EUR
100,1000,0060000190,2023,002,0000400100,0000005000,1521.1,EUR
100,1000,0060000191,2024,003,0000400110,0000005100,9327.27,EUR
100,1000,0060000192,2023,001,0000400120,0000005200,3944.15,EUR
100,1000,0060000193,2024,002,0000400130,0000005300,3873.36,EUR
100,1000,0060000194,2023,003,0000400140,0000005400,850.84,EUR
100,1000,0060000195,2024,001,0000400150,0000005500,6939.73,EUR
100,1000,0060000196,2023,002,0000400160,0000005600,1794.54,EUR
100,1000,0060000197,2024,003,0000400170,0000005700,6370.38,EUR
100,1000,0060000198,2023,001,0000400180,0000005800,3609.69,EUR
100,1000,0060000199,2024,002,0000400190,0000005900,2928.74,EUR
100,1000,0060000200,2023,003,0000400200,0000001000,4956.61,EUR
100,1000,0060000201,2024,001,0000400210,0000001100,8602.62,EUR
100,1000,0060000202,2023,002,0000400220,0000001200,5282.42,EUR
100,1000,0060000203,2024,003,0000400230,0000001300,3610.95,EUR
100,1000,0060000204,2023,001,0000400240,0000001400,217.91,EUR
100,1000,0060000205,2024,002,0000400250,0000001500,5273.49,EUR
100,1000,0060000206,2023,003,0000400260,0000001600,2171.17,EUR
100,1000,0060000207,2024,001,0000400270,0000001700,3622.42,EUR
100,1000,0060000208,2023,002,0000400280,0000001800,5764.4,EUR
100,1000,0060000209,2024,003,0000400290,0000001900,885.05,EUR
100,1000,0060000210,2023,001,0000400000,0000002000,6905.47,EUR
100,1000,0060000211,2024,002,0000400010,0000002100,4134.94,EUR
100,1000,0060000212,2023,003,0000400020,0000002200,8541.83,EUR
100,1000,0060000213,2024,001,0000400030,0000002300,6969.88,EUR
100,1000,0060000214,2023,002,0000400040,0000002400,5149.07,EUR
100,1000,0060000215,2024,003,0000400050,0000002500,9286.96,EUR
100,1000,0060000216,2023,001,0000400060,0000002600,2666.24,EUR
100,1000,0060000217,2024,002,0000400070,0000002700,9482.96,EUR
100,1000,0060000218,2023,003,0000400080,0000002800,961.35,EUR
100,1000,0060000219,2024,001,0000400090,0000002900,2554.81,EUR
100,1000,0060000220,2023,002,0000400100,0000003000,8635.5,EUR
100,1000,0060000221,2024,003,0000400110,0000003100,1379.09,EUR
100,1000,0060000222,2023,001,0000400120,0000003200,5773.69,EUR
100,1000,0060000223,2024,002,0000400130,0000003300,3449.05,EUR
100,1000,0060000224,2023,003,0000400140,0000003400,5407.14,EUR
100,1000,0060000225,2024,001,0000400150,0000003500,7642.77,EUR
100,1000,0060000226,2023,002,0000400160,0000003600,566.13,EUR
100,1000,0060000227,2024,003,0000400170,0000003700,6189.17,EUR
100,1000,0060000228,2023,001,0000400180,0000003800,8119.64,EUR
100,1000,0060000229,2024,002,0000400190,0000003900,876.85,EUR
100,1000,0060000230,2023,003,0000400200,0000004000,4881.96,EUR
100,1000,0060000231,2024,001,0000400210,0000004100,5457.3,EUR
100,1000,0060000232,2023,002,0000400220,0000004200,6092.73,EUR
100,1000,0060000233,2024,003,0000400230,0000004300,4626.95,EUR
100,1000,0060000234,2023,001,0000400240,0000004400,5108.82,EUR
100,1000,0060000235,2024,002,0000400250,0000004500,1097.13,EUR
100,1000,0060000236,2023,003,0000400260,0000004600,5783.8,EUR
100,1000,0060000237,2024,001,0000400270,0000004700,1157.55,EUR
100,1000,0060000238,2023,002,0000400280,0000004800,7665.35,EUR
100,1000,0060000239,2024,003,0000400290,0000004900,4998.32,EUR
100,1000,0060000240,2023,001,0000400000,0000005000,9567.87,EUR
100,1000,0060000241,2024,002,0000400010,0000005100,6845.88,EUR
100,1000,0060000242,2023,003,0000400020,0000005200,313.79,EUR
100,1000,0060000243,2024,001,0000400030,0000005300,2329.63,EUR
100,1000,0060000244,2023,002,0000400040,0000005400,3349.22,EUR
100,1000,0060000245,2024,003,0000400050,0000005500,4532.45,EUR
100,1000,0060000246,2023,001,0000400060,0000005600,5420.26,EUR
100,1000,0060000247,2024,002,0000400070,0000005700,2631.78,EUR
100,1000,0060000248,2023,003,0000400080,0000005800,2785.33,EUR
100,1000,0060000249,2024,001,0000400090,0000005900,535.49,EUR
100,1000,0060000250,2023,002,0000400100,0000001000,8241.41,EUR
100,1000,0060000251,2024,003,0000400110,0000001100,1666.77,EUR
100,1000,0060000252,2023,001,0000400120,0000001200,7429.93,EUR
100,1000,0060000253,2024,002,0000400130,0000001300,1172.73,EUR
100,1000,0060000254,2023,003,0000400140,0000001400,9200.83,EUR
100,1000,0060000255,2024,001,0000400150,0000001500,1122.7,EUR
100,1000,0060000256,2023,002,0000400160,0000001600,3423.69,EUR
100,1000,0060000257,2024,003,0000400170,0000001700,7761.25,EUR
100,1000,0060000258,2023,001,0000400180,0000001800,4121.73,EUR
100,1000,0060000259,2024,002,0000400190,0000001900,6355.27,EUR
100,1000,0060000260,2023,003,0000400200,0000002000,6682.49,EUR
100,1000,0060000261,2024,001,0000400210,0000002100,7474.96,EUR
100,1000,0060000262,2023,002,0000400220,0000002200,9675.39,EUR
100,1000,0060000263,2024,003,0000400230,0000002300,8400.86,EUR
100,1000,0060000264,2023,001,0000400240,0000002400,1555.83,EUR
100,1000,0060000265,2024,002,0000400250,0000002500,631.87,EUR
100,1000,0060000266,2023,003,0000400260,0000002600,4507.65,EUR
100,1000,0060000267,2024,001,0000400270,0000002700,1894.21,EUR
100,1000,0060000268,2023,002,0000400280,0000002800,288.7,EUR
100,1000,0060000269,2024,003,0000400290,0000002900,7611.44,EUR
100,1000,0060000270,2023,001,0000400000,0000003000,4015.9,EUR
100,1000,0060000271,2024,002,0000400010,0000003100,5785.55,EUR
100,1000,0060000272,2023,003,0000400020,0000003200,6346.97,EUR
100,1000,0060000273,2024,001,0000400030,0000003300,8628.4,EUR
100,1000,0060000274,2023,002,0000400040,0000003400,6486.99,EUR
100,1000,0060000275,2024,003,0000400050,0000003500,8990.21,EUR
100,1000,0060000276,2023,001,0000400060,0000003600,5667.3,EUR
100,1000,0060000277,2024,002,0000400070,0000003700,8372.07,EUR
100,1000,0060000278,2023,003,0000400080,0000003800,5082.58,EUR
100,1000,0060000279,2024,001,0000400090,0000003900,4019.14,EUR
100,1000,0060000280,2023,002,0000400100,0000004000,5146.74,EUR
100,1000,0060000281,2024,003,0000400110,0000004100,461.24,EUR
100,1000,0060000282,2023,001,0000400120,0000004200,8619.07,EUR
100,1000,0060000283,2024,002,0000400130,0000004300,8578.82,EUR
100,1000,0060000284,2023,003,0000400140,0000004400,3778.5,EUR
100,1000,0060000285,2024,001,0000400150,0000004500,6961.08,EUR
100,1000,0060000286,2023,002,0000400160,0000004600,9154.12,EUR
100,1000,0060000287,2024,003,0000400170,0000004700,5108.06,EUR
100,1000,0060000288,2023,001,0000400180,0000004800,5957.43,EUR
100,1000,0060000289,2024,002,0000400190,0000004900,8188.41,EUR
100,1000,0060000290,2023,003,0000400200,0000005000,5489.09,EUR
100,1000,0060000291,2024,001,0000400210,0000005100,6286.49,EUR
100,1000,0060000292,2023,002,0000400220,0000005200,2595.09,EUR
100,1000,0060000293,2024,003,0000400230,0000005300,9695.9,EUR
100,1000,0060000294,2023,001,0000400240,0000005400,9929.52,EUR
100,1000,0060000295,2024,002,0000400250,0000005500,7261.29,EUR
100,1000,0060000296,2023,003,0000400260,0000005600,9625.58,EUR
100,1000,0060000297,2024,001,0000400270,0000005700,4835.42,EUR
100,1000,0060000298,2023,002,0000400280,0000005800,219.54,EUR
100,1000,0060000299,2024,003,0000400290,0000005900,7144.53,EUR
100,1000,0060000300,2023,001,0000400000,0000001000,9193.05,EUR
100,1000,0060000301,2024,002,0000400010,0000001100,5781.4,EUR
100,1000,0060000302,2023,003,0000400020,0000001200,8177.4,EUR
100,1000,0060000303,2024,001,0000400030,0000001300,9711.17,EUR
100,1000,0060000304,2023,002,0000400040,0000001400,2010.38,EUR
100,1000,0060000305,2024,003,0000400050,0000001500,3796.58,EUR
100,1000,0060000306,2023,001,0000400060,0000001600,337.44,EUR
100,1000,0060000307,2024,002,0000400070,0000001700,433.21,EUR
100,1000,0060000308,2023,003,0000400080,0000001800,9002.31,EUR
100,1000,0060000309,2024,001,0000400090,0000001900,9172.38,EUR
100,1000,0060000310,2023,002,0000400100,0000002000,3132.92,EUR
100,1000,0060000311,2024,003,0000400110,0000002100,235.49,EUR
100,1000,0060000312,2023,001,0000400120,0000002200,3608.53,EUR
100,1000,0060000313,2024,002,0000400130,0000002300,2812.66,EUR
100,1000,0060000314,2023,003,0000400140,0000002400,4311.73,EUR
100,1000,0060000315,2024,001,0000400150,0000002500,1638.76,EUR
100,1000,0060000316,2023,002,0000400160,0000002600,4344.3,EUR
100,1000,0060000317,2024,003,0000400170,0000002700,6786.46,EUR
100,1000,0060000318,2023,001,0000400180,0000002800,3271.22,EUR
100,1000,0060000319,2024,002,0000400190,0000002900,7289.18,EUR
100,1000,0060000320,2023,003,0000400200,0000003000,1201.39,EUR
100,1000,0060000321,2024,001,0000400210,0000003100,1292.63,EUR
100,1000,0060000322,2023,002,0000400220,0000003200,2249.07,EUR
100,1000,0060000323,2024,003,0000400230,0000003300,9280.48,EUR
100,1000,0060000324,2023,001,0000400240,0000003400,1694.96,EUR
100,1000,0060000325,2024,002,0000400250,0000003500,718.38,EUR
100,1000,0060000326,2023,003,0000400260,0000003600,1329.87,EUR
100,1000,0060000327,2024,001,0000400270,0000003700,7603.43,EUR
100,1000,0060000328,2023,002,0000400280,0000003800,5625.52,EUR
100,1000,0060000329,2024,003,0000400290,0000003900,2124.1,EUR
100,1000,0060000330,2023,001,0000400000,0000004000,4486.1,EUR
100,1000,0060000331,2024,002,0000400010,0000004100,5298.44,EUR
100,1000,0060000332,2023,003,0000400020,0000004200,7409.37,EUR
100,1000,0060000333,2024,001,0000400030,0000004300,2149.44,EUR
100,1000,0060000334,2023,002,0000400040,0000004400,8353.79,EUR
100,1000,0060000335,2024,003,0000400050,0000004500,7744.41,EUR
100,1000,0060000336,2023,001,0000400060,0000004600,8926.96,EUR
100,1000,0060000337,2024,002,0000400070,0000004700,488.09,EUR
100,1000,0060000338,2023,003,0000400080,0000004800,1188.15,EUR
100,1000,0060000339,2024,001,0000400090,0000004900,4205.33,EUR
100,1000,0060000340,2023,002,0000400100,0000005000,8048.29,EUR
100,1000,0060000341,2024,003,0000400110,0000005100,8258.66,EUR
100,1000,0060000342,2023,001,0000400120,0000005200,8996.06,EUR
100,1000,0060000343,2024,002,0000400130,0000005300,7928.25,EUR
100,1000,0060000344,2023,003,0000400140,0000005400,4180.33,EUR
100,1000,0060000345,2024,001,0000400150,0000005500,1266.03,EUR
100,1000,0060000346,2023,002,0000400160,0000005600,3068.68,EUR
100,1000,0060000347,2024,003,0000400170,0000005700,7164.72,EUR
100,1000,0060000348,2023,001,0000400180,0000005800,978.3,EUR
100,1000,0060000349,2024,002,0000400190,0000005900,4416.8,EUR
100,1000,0060000350,2023,003,0000400200,0000001000,3031.44,EUR
100,1000,0060000351,2024,001,0000400210,0000001100,5293.67,EUR
100,1000,0060000352,2023,002,0000400220,0000001200,7892.95,EUR
100,1000,0060000353,2024,003,0000400230,0000001300,6524.84,EUR
100,1000,0060000354,2023,001,0000400240,0000001400,2064.61,EUR
100,1000,0060000355,2024,002,0000400250,0000001500,9528.18,EUR
100,1000,0060000356,2023,003,0000400260,0000001600,6774.98,EUR
100,1000,0060000357,2024,001,0000400270,0000001700,2513.17,EUR
100,1000,0060000358,2023,002,0000400280,0000001800,7756.98,EUR
100,1000,0060000359,2024,003,0000400290,0000001900,3227.8,EUR
100,1000,0060000360,2023,001,0000400000,0000002000,2747.65,EUR
100,1000,0060000361,2024,002,0000400010,0000002100,3390.63,EUR
100,1000,0060000362,2023,003,0000400020,0000002200,4994.23,EUR
100,1000,0060000363,2024,001,0000400030,0000002300,9884.11,EUR
100,1000,0060000364,2023,002,0000400040,0000002400,5043.12,EUR
100,1000,0060000365,2024,003,0000400050,0000002500,5469.23,EUR
100,1000,0060000366,2023,001,0000400060,0000002600,6200.98,EUR
100,1000,0060000367,2024,002,0000400070,0000002700,3016.12,EUR
100,1000,0060000368,2023,003,0000400080,0000002800,6890.32,EUR
100,1000,0060000369,2024,001,0000400090,0000002900,261.19,EUR
100,1000,0060000370,2023,002,0000400100,0000003000,3698.25,EUR
100,1000,0060000371,2024,003,0000400110,0000003100,8191.81,EUR
100,1000,0060000372,2023,001,0000400120,0000003200,9837.78,EUR
100,1000,0060000373,2024,002,0000400130,0000003300,1528.74,EUR
100,1000,0060000374,2023,003,0000400140,0000003400,6256.51,EUR
100,1000,0060000375,2024,001,0000400150,0000003500,3457.55,EUR
100,1000,0060000376,2023,002,0000400160,0000003600,4025.01,EUR
100,1000,0060000377,2024,003,0000400170,0000003700,1843.46,EUR
100,1000,0060000378,2023,001,0000400180,0000003800,9300.99,EUR
100,1000,0060000379,2024,002,0000400190,0000003900,799.41,EUR
100,1000,0060000380,2023,003,0000400200,0000004000,7957.89,EUR
100,1000,0060000381,2024,001,0000400210,0000004100,5583.7,EUR
100,1000,0060000382,2023,002,0000400220,0000004200,802.16,EUR
100,1000,0060000383,2024,003,0000400230,0000004300,3191.23,EUR
100,1000,0060000384,2023,001,0000400240,0000004400,4863.36,EUR
100,1000,0060000385,2024,002,0000400250,0000004500,8663.52,EUR
100,1000,0060000386,2023,003,0000400260,0000004600,4699.18,EUR
100,1000,0060000387,2024,001,0000400270,0000004700,9300.1,EUR
100,1000,0060000388,2023,002,0000400280,0000004800,9754.98,EUR
100,1000,0060000389,2024,003,0000400290,0000004900,5280.69,EUR
100,1000,0060000390,2023,001,0000400000,0000005000,7013.9,EUR
100,1000,0060000391,2024,002,0000400010,0000005100,1843.55,EUR
100,1000,0060000392,2023,003,0000400020,0000005200,5443.28,EUR
100,1000,0060000393,2024,001,0000400030,0000005300,4169.82,EUR
100,1000,0060000394,2023,002,0000400040,0000005400,7640.49,EUR
100,1000,0060000395,2024,003,0000400050,0000005500,9550.15,EUR
100,1000,0060000396,2023,001,0000400060,0000005600,1324.38,EUR
100,1000,0060000397,2024,002,0000400070,0000005700,529.62,EUR
100,1000,0060000398,2023,003,0000400080,0000005800,5765.39,EUR
100,1000,0060000399,2024,001,0000400090,0000005900,7221.3,EUR
100,1000,0060000400,2023,002,0000400100,0000001000,4598.52,EUR
100,1000,0060000401,2024,003,0000400110,0000001100,5368.16,EUR
100,1000,0060000402,2023,001,0000400120,0000001200,9017.66,EUR
100,1000,0060000403,2024,002,0000400130,0000001300,587.11,EUR
100,1000,0060000404,2023,003,0000400140,0000001400,8252.13,EUR
100,1000,0060000405,2024,001,0000400150,0000001500,6941.83,EUR
100,1000,0060000406,2023,002,0000400160,0000001600,7545.74,EUR
100,1000,0060000407,2024,003,0000400170,0000001700,4207.6,EUR
100,1000,0060000408,2023,001,0000400180,0000001800,5566.7,EUR
100,1000,0060000409,2024,002,0000400190,0000001900,808.97,EUR
