MANDT,BUKRS,LIFNR,UMSKS,BUDAT,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000190,,20240430,2023,0010000210,2175.44,EUR
100,2000,0000000055,,20230410,2024,0010000211,1168.21,EUR
100,1000,0000000084,,20240517,2023,0010000212,364.27,EUR
100,2000,0000000191,,20231109,2024,0010000213,3278.53,EUR
100,1000,0000000118,,20230104,2023,0010000214,4996.12,EUR
100,2000,0000000108,,20240716,2024,0010000215,3075.73,EUR
100,1000,0000000157,,20231015,2023,0010000216,1685.4,EUR
100,2000,0000000026,,20240715,2024,0010000217,429.17,EUR
100,1000,0000000127,,20230206,2023,0010000218,136.66,EUR
100,2000,0000000195,,20240119,2024,0010000219,314.25,EUR
100,1000,0000000009,,20240715,2023,0010000220,4863.59,EUR
100,2000,0000000125,,20240218,2024,0010000221,1350.99,EUR
100,1000,0000000125,,20241210,2023,0010000222,3244.26,EUR
100,2000,0000000049,,20240303,2024,0010000223,1527.97,EUR
100,1000,0000000021,,20240917,2023,0010000224,3720.49,EUR
100,2000,0000000054,,20230525,2024,0010000225,4141.99,EUR
100,1000,0000000037,,20230827,2023,0010000226,4036.83,EUR
100,2000,0000000032,,20220815,2024,0010000227,2884.5,EUR
100,1000,0000000118,,20220806,2023,0010000228,1915.25,EUR
100,2000,0000000028,,20231230,2024,0010000229,2199.15,EUR
100,1000,0000000150,,20231225,2023,0010000230,2090.4,EUR
100,2000,0000000030,,20220805,2024,0010000231,1447.02,EUR
100,1000,0000000197,,20230226,2023,0010000232,132.83,EUR
100,2000,0000000073,,20220607,2024,0010000233,4362.65,EUR
100,1000,0000000037,,20240816,2023,0010000234,4040.55,EUR
100,2000,0000000057,,20220120,2024,0010000235,4015.03,EUR
100,1000,0000000041,,20220710,2023,0010000236,2263.1,EUR
100,2000,0000000091,,20220804,2024,0010000237,1407.58,EUR
100,1000,0000000180,,20240403,2023,0010000238,247.44,EUR
100,2000,0000000088,,20240821,2024,0010000239,2519.11,EUR
100,1000,0000000088,,20220121,2023,0010000240,2483.35,EUR
100,2000,0000000183,,20220201,2024,0010000241,1439.25,EUR
100,1000,0000000162,,20241010,2023,0010000242,4420.9,EUR
100,2000,0000000037,,20240917,2024,0010000243,2108.6,EUR
100,1000,0000000007,,20220621,2023,0010000244,2497.98,EUR
100,2000,0000000104,,20220527,2024,0010000245,344.47,EUR
100,1000,0000000101,,20230408,2023,0010000246,4793.61,EUR
100,2000,0000000047,,20220824,2024,0010000247,3096.48,EUR
100,1000,0000000143,,20240708,2023,0010000248,2509.41,EUR
100,2000,0000000035,,20220918,2024,0010000249,2237.05,EUR
100,1000,0000000009,,20241201,2023,0010000250,811.11,EUR
100,2000,0000000064,,20230607,2024,0010000251,2790.61,EUR
100,1000,0000000115,,20220806,2023,0010000252,2541.29,EUR
100,2000,0000000167,,20220205,2024,0010000253,1357.99,EUR
100,1000,0000000142,,20240306,2023,0010000254,4909.89,EUR
100,2000,0000000079,,20241112,2024,0010000255,3866.56,EUR
100,1000,0000000117,,20240529,2023,0010000256,463.01,EUR
100,2000,0000000135,,20220924,2024,0010000257,3118.93,EUR
100,1000,0000000148,,20230127,2023,0010000258,3336.77,EUR
100,2000,0000000010,,20220223,2024,0010000259,2534.56,EUR
100,1000,0000000154,,20231122,2023,0010000260,324.7,EUR
100,2000,0000000118,,20221014,2024,0010000261,3071.43,EUR
100,1000,0000000164,,20230319,2023,0010000262,3352.94,EUR
100,2000,0000000195,,20221025,2024,0010000263,2093.94,EUR
100,1000,0000000151,,20220902,2023,0010000264,4856.18,EUR
100,2000,0000000165,,20230712,2024,0010000265,1860.0,EUR
100,1000,0000000004,,20230817,2023,0010000266,2405.35,EUR
100,2000,0000000023,,20220317,2024,0010000267,274.67,EUR
100,1000,0000000165,,20220816,2023,0010000268,4375.58,EUR
100,2000,0000000102,,20220330,2024,0010000269,3445.87,EUR
100,1000,0000000060,,20240122,2023,0010000270,2332.54,EUR
100,2000,0000000093,,20231014,2024,0010000271,3918.38,EUR
100,1000,0000000177,,20220906,2023,0010000272,1098.45,EUR
100,2000,0000000164,,20231209,2024,0010000273,905.51,EUR
100,1000,0000000116,,20220117,2023,0010000274,3470.96,EUR
100,2000,0000000146,,20231207,2024,0010000275,4543.9,EUR
100,1000,0000000135,,20230130,2023,0010000276,4019.54,EUR
100,2000,0000000157,,20220114,2024,0010000277,3697.51,EUR
100,1000,0000000188,,20230105,2023,0010000278,4166.88,EUR
100,2000,0000000136,,20230920,2024,0010000279,4183.91,EUR
100,1000,0000000015,,20220502,2023,0010000280,4210.63,EUR
100,2000,0000000024,,20230816,2024,0010000281,1235.94,EUR
100,1000,0000000157,,20241103,2023,0010000282,2634.61,EUR
100,2000,0000000184,,20230328,2024,0010000283,3915.31,EUR
100,1000,0000000199,,20230831,2023,0010000284,4260.94,EUR
100,2000,0000000003,,20220527,2024,0010000285,393.09,EUR
100,1000,0000000178,,20241103,2023,0010000286,1974.37,EUR
100,2000,0000000163,,20220915,2024,0010000287,853.05,EUR
100,1000,0000000158,,20220722,2023,0010000288,4550.95,EUR
100,2000,0000000169,,20230123,2024,0010000289,674.36,EUR
100,1000,0000000004,,20220407,2023,0010000290,350.38,EUR
100,2000,0000000110,,20231110,2024,0010000291,4313.45,EUR
100,1000,0000000181,,20240726,2023,0010000292,4785.08,EUR
100,2000,0000000163,,20240409,2024,0010000293,3391.28,EUR
100,1000,0000000019,,20230226,2023,0010000294,2725.79,EUR
100,2000,0000000050,,20241208,2024,0010000295,4944.13,EUR
100,1000,0000000142,,20241011,2023,0010000296,2609.29,EUR
100,2000,0000000082,,20221228,2024,0010000297,4131.84,EUR
100,1000,0000000068,,20240519,2023,0010000298,748.42,EUR
100,2000,0000000080,,20220825,2024,0010000299,199.84,EUR
100,1000,0000000020,,20221222,2023,0010000300,820.57,EUR
100,2000,0000000112,,20240711,2024,0010000301,757.63,EUR
100,1000,0000000100,,20231211,2023,0010000302,2841.55,EUR
100,2000,0000000013,,20230202,2024,0010000303,2108.3,EUR
100,1000,0000000094,,20230119,2023,0010000304,3660.33,EUR
100,2000,0000000066,,20220910,2024,0010000305,700.22,EUR
100,1000,0000000180,,20220428,2023,0010000306,1800.03,EUR
100,2000,0000000033,,20240219,2024,0010000307,4514.48,EUR
100,1000,0000000013,,20240628,2023,0010000308,1545.69,EUR
100,2000,0000000109,,20220529,2024,0010000309,3757.31,EUR
100,1000,0000000008,,20221110,2023,0010000310,719.36,EUR
100,2000,0000000142,,20240107,2024,0010000311,142.47,EUR
100,1000,0000000015,,20240605,2023,0010000312,4302.8,EUR
100,2000,0000000005,,20231129,2024,0010000313,1647.01,EUR
100,1000,0000000003,,20240814,2023,0010000314,1454.54,EUR
100,2000,0000000128,,20230715,2024,0010000315,3707.09,EUR
100,1000,0000000095,,20220511,2023,0010000316,4908.11,EUR
100,2000,0000000184,,20220913,2024,0010000317,110.76,EUR
100,1000,0000000084,,20230820,2023,0010000318,2138.95,EUR
100,2000,0000000021,,20230131,2024,0010000319,4011.83,EUR
100,1000,0000000141,,20240828,2023,0010000320,3295.88,EUR
100,2000,0000000025,,20240615,2024,0010000321,3219.87,EUR
100,1000,0000000041,,20230309,2023,0010000322,3722.44,EUR
100,2000,0000000179,,20231128,2024,0010000323,1676.11,EUR
100,1000,0000000094,,20221018,2023,0010000324,1741.14,EUR
100,2000,0000000105,,20221027,2024,0010000325,2529.99,EUR
100,1000,0000000106,,20241115,2023,0010000326,994.38,EUR
100,2000,0000000149,,20221029,2024,0010000327,2921.77,EUR
100,1000,0000000190,,20241214,2023,0010000328,3091.13,EUR
100,2000,0000000080,,20221031,2024,0010000329,3594.35,EUR
100,1000,0000000156,,20230127,2023,0010000330,1198.98,EUR
100,2000,0000000041,,20221218,2024,0010000331,2918.77,EUR
100,1000,0000000027,,20230713,2023,0010000332,3018.76,EUR
100,2000,0000000046,,20240805,2024,0010000333,4101.23,EUR
100,1000,0000000200,,20220109,2023,0010000334,2076.38,EUR
100,2000,0000000150,,20220330,2024,0010000335,4852.41,EUR
100,1000,0000000107,,20230529,2023,0010000336,1998.13,EUR
100,2000,0000000139,,20240813,2024,0010000337,4554.36,EUR
100,1000,0000000006,,20220417,2023,0010000338,2507.37,EUR
100,2000,0000000127,,20220713,2024,0010000339,4488.36,EUR
100,1000,0000000117,,20220614,2023,0010000340,3989.14,EUR
100,2000,0000000175,,20220506,2024,0010000341,1991.93,EUR
100,1000,0000000099,,20241125,2023,0010000342,2402.62,EUR
100,2000,0000000037,,20220727,2024,0010000343,1537.58,EUR
100,1000,0000000186,,20240702,2023,0010000344,1349.28,EUR
100,2000,0000000104,,20220307,2024,0010000345,3990.32,EUR
100,1000,0000000019,,20230129,2023,0010000346,1656.58,EUR
100,2000,0000000115,,20221123,2024,0010000347,3796.67,EUR
100,1000,0000000098,,20220626,2023,0010000348,584.64,EUR
100,2000,0000000126,,20221013,2024,0010000349,4228.55,EUR
100,1000,0000000131,,20221002,2023,0010000350,1102.47,EUR
100,2000,0000000024,,20240723,2024,0010000351,2404.75,EUR
100,1000,0000000191,,20241113,2023,0010000352,1929.08,EUR
100,2000,0000000035,,20241210,2024,0010000353,3199.71,EUR
100,1000,0000000030,,20230114,2023,0010000354,3390.96,EUR
100,2000,0000000057,,20241120,2024,0010000355,3715.01,EUR
100,1000,0000000194,,20220319,2023,0010000356,3383.86,EUR
100,2000,0000000093,,20220726,2024,0010000357,506.98,EUR
100,1000,0000000075,,20230516,2023,0010000358,729.7,EUR
100,2000,0000000086,,20220906,2024,0010000359,4768.36,EUR
100,1000,0000000050,,20230624,2023,0010000360,4844.65,EUR
100,2000,0000000111,,20230528,2024,0010000361,4136.95,EUR
100,1000,0000000070,,20221008,2023,0010000362,890.37,EUR
100,2000,0000000013,,20240523,2024,0010000363,2284.3,EUR
100,1000,0000000167,,20220222,2023,0010000364,4215.66,EUR
100,2000,0000000158,,20220121,2024,0010000365,2252.39,EUR
100,1000,0000000112,,20231029,2023,0010000366,2307.76,EUR
100,2000,0000000112,,20231103,2024,0010000367,4115.18,EUR
100,1000,0000000166,,20220513,2023,0010000368,1316.03,EUR
100,2000,0000000181,,20220109,2024,0010000369,4473.49,EUR
100,1000,0000000061,,20220702,2023,0010000370,3152.48,EUR
100,2000,0000000007,,20240312,2024,0010000371,2851.66,EUR
100,1000,0000000144,,20231220,2023,0010000372,3994.41,EUR
100,2000,0000000027,,20230411,2024,0010000373,2785.68,EUR
100,1000,0000000147,,20241228,2023,0010000374,3197.5,EUR
100,2000,0000000188,,20230913,2024,0010000375,2829.81,EUR
100,1000,0000000111,,20220210,2023,0010000376,1889.16,EUR
100,2000,0000000193,,20230125,2024,0010000377,1292.78,EUR
100,1000,0000000063,,20240628,2023,0010000378,1016.11,EUR
100,2000,0000000137,,20220614,2024,0010000379,4054.45,EUR
100,1000,0000000068,,20230508,2023,0010000380,206.2,EUR
100,2000,0000000182,,20241021,2024,0010000381,2714.77,EUR
100,1000,0000000167,,20240411,2023,0010000382,261.46,EUR
100,2000,0000000162,,20240330,2024,0010000383,4544.84,EUR
100,1000,0000000010,,20240924,2023,0010000384,1147.04,EUR
100,2000,0000000086,,20231218,2024,0010000385,3541.64,EUR
100,1000,0000000154,,20230915,2023,0010000386,3695.15,EUR
100,2000,0000000069,,20220114,2024,0010000387,1667.46,EUR
100,1000,0000000076,,20231107,2023,0010000388,2376.22,EUR
100,2000,0000000037,,20241217,2024,0010000389,4271.57,EUR
100,1000,0000000025,,20241130,2023,0010000390,3741.64,EUR
100,2000,0000000075,,20220926,2024,0010000391,3455.48,EUR
100,1000,0000000113,,20221130,2023,0010000392,2833.36,EUR
100,2000,0000000152,,20231123,2024,0010000393,778.15,EUR
100,1000,0000000151,,20230628,2023,0010000394,4901.41,EUR
100,2000,0000000167,,20220918,2024,0010000395,2724.75,EUR
100,1000,0000000164,,20221104,2023,0010000396,3104.7,EUR
100,2000,0000000007,,20220731,2024,0010000397,847.83,EUR
100,1000,0000000073,,20230421,2023,0010000398,1839.6,EUR
100,2000,0000000014,,20220319,2024,0010000399,2556.86,EUR
100,1000,0000000136,,20231112,2023,0010000400,109.42,EUR
100,2000,0000000159,,20221023,2024,0010000401,1879.22,EUR
100,1000,0000000138,,20230412,2023,0010000402,3404.79,EUR
100,2000,0000000010,,20230105,2024,0010000403,984.72,EUR
100,1000,0000000063,,20230410,2023,0010000404,2196.75,EUR
100,2000,0000000189,,20220125,2024,0010000405,4450.14,EUR
100,1000,0000000114,,20240819,2023,0010000406,3950.05,EUR
100,2000,0000000090,,20240909,2024,0010000407,4408.92,EUR
100,1000,0000000156,,20220129,2023,0010000408,450.45,EUR
100,2000,0000000034,,20230108,2024,0010000409,2665.64,EUR
100,1000,0000000125,,20240823,2023,0010000410,2323.74,EUR
100,2000,0000000110,,20230503,2024,0010000411,4236.84,EUR
100,1000,0000000004,,20240211,2023,0010000412,2845.72,EUR
100,2000,0000000051,,20240701,2024,0010000413,1259.62,EUR
100,1000,0000000100,,20240319,2023,0010000414,2202.77,EUR
100,2000,0000000138,,20230824,2024,0010000415,137.67,EUR
100,1000,0000000024,,20220515,2023,0010000416,1659.59,EUR
100,2000,0000000194,,20230827,2024,0010000417,1231.05,EUR
100,1000,0000000036,,20230915,2023,0010000418,112.31,EUR
100,2000,0000000136,,20230329,2024,0010000419,1888.24,EUR
100,1000,0000000164,,20220120,2023,0010000420,2469.29,EUR
100,2000,0000000070,,20240301,2024,0010000421,2705.49,EUR
100,1000,0000000017,,20240305,2023,0010000422,1730.23,EUR
100,2000,0000000175,,20220727,2024,0010000423,3549.31,EUR
100,1000,0000000144,,20240401,2023,0010000424,854.59,EUR
100,2000,0000000151,,20230429,2024,0010000425,1714.87,EUR
100,1000,0000000120,,20230610,2023,0010000426,3296.85,EUR
100,2000,0000000167,,20221025,2024,0010000427,4308.28,EUR
100,1000,0000000058,,20230218,2023,0010000428,4670.65,EUR
100,2000,0000000074,,20220116,2024,0010000429,4830.34,EUR
100,1000,0000000008,,20240815,2023,0010000430,2489.22,EUR
100,2000,0000000089,,20230910,2024,0010000431,2887.62,EUR
100,1000,0000000055,,20231016,2023,0010000432,484.18,EUR
100,2000,0000000058,,20231020,2024,0010000433,1107.71,EUR
100,1000,0000000105,,20220915,2023,0010000434,2073.64,EUR
100,2000,0000000085,,20230130,2024,0010000435,3559.25,EUR
