MANDT,PERNR,ENDDA,BEGDA,BUKRS,WERKS,KOSTL,ORGEH,PLANS
100,00000043,99991231,20200101,1000,0003,0000005200,00000003,00000043
100,00000044,99991231,20200101,2000,0004,0000005300,00000004,00000044
100,00000045,99991231,20200101,1000,0005,0000005400,00000005,00000045
100,00000046,99991231,20200101,2000,0006,0000005500,00000006,00000046
100,00000047,99991231,20200101,1000,0007,0000005600,00000007,00000047
100,00000048,99991231,20200101,2000,0008,0000005700,00000008,00000048
100,00000049,99991231,20200101,1000,0009,0000005800,00000009,00000049
100,00000050,99991231,20200101,2000,0010,0000005900,00000010,00000050
100,00000051,99991231,20200101,1000,0001,0000001000,00000011,00000001
100,00000052,99991231,20200101,2000,0002,0000001100,00000012,00000002
100,00000053,99991231,20200101,1000,0003,0000001200,00000013,00000003
100,00000054,99991231,20200101,2000,0004,0000001300,00000014,00000004
100,00000055,99991231,20200101,1000,0005,0000001400,00000015,00000005
100,00000056,99991231,20200101,2000,0006,0000001500,00000016,00000006
100,00000057,99991231,20200101,1000,0007,0000001600,00000017,00000007
100,00000058,99991231,20200101,2000,0008,0000001700,00000018,00000008
100,00000059,99991231,20200101,1000,0009,0000001800,00000019,00000009
100,00000060,99991231,20200101,2000,0010,0000001900,00000020,00000010
100,00000061,99991231,20200101,1000,0001,0000002000,00000001,00000011
100,00000062,99991231,20200101,2000,0002,0000002100,00000002,00000012
100,00000063,99991231,20200101,1000,0003,0000002200,00000003,00000013
100,00000064,99991231,20200101,2000,0004,0000002300,00000004,00000014
100,00000065,99991231,20200101,1000,0005,0000002400,00000005,00000015
100,00000066,99991231,20200101,2000,0006,0000002500,00000006,00000016
100,00000067,99991231,20200101,1000,0007,0000002600,00000007,00000017
100,00000068,99991231,20200101,2000,0008,0000002700,00000008,00000018
100,00000069,99991231,20200101,1000,0009,0000002800,00000009,00000019
100,00000070,99991231,20200101,2000,0010,0000002900,00000010,00000020
100,00000071,99991231,20200101,1000,0001,0000003000,00000011,00000021
100,00000072,99991231,20200101,2000,0002,0000003100,00000012,00000022
100,00000073,99991231,20200101,1000,0003,0000003200,00000013,00000023
100,00000074,99991231,20200101,2000,0004,0000003300,00000014,00000024
100,00000075,99991231,20200101,1000,0005,0000003400,00000015,00000025
100,00000076,99991231,20200101,2000,0006,0000003500,00000016,00000026
100,00000077,99991231,20200101,1000,0007,0000003600,00000017,00000027
100,00000078,99991231,20200101,2000,0008,0000003700,00000018,00000028
100,00000079,99991231,20200101,1000,0009,0000003800,00000019,00000029
100,00000080,99991231,20200101,2000,0010,0000003900,00000020,00000030
100,00000081,99991231,20200101,1000,0001,0000004000,00000001,00000031
100,00000082,99991231,20200101,2000,0002,0000004100,00000002,00000032
100,00000083,99991231,20200101,1000,0003,0000004200,00000003,00000033
100,00000084,99991231,20200101,2000,0004,0000004300,00000004,00000034
100,00000085,99991231,20200101,1000,0005,0000004400,00000005,00000035
100,00000086,99991231,20200101,2000,0006,0000004500,00000006,00000036
100,00000087,99991231,20200101,1000,0007,0000004600,00000007,00000037
100,00000088,99991231,20200101,2000,0008,0000004700,00000008,00000038
100,00000089,99991231,20200101,1000,0009,0000004800,00000009,00000039
100,00000090,99991231,20200101,2000,0010,0000004900,00000010,00000040
100,00000091,99991231,20200101,1000,0001,0000005000,00000011,00000041
100,00000092,99991231,20200101,2000,0002,0000005100,00000012,00000042
100,00000093,99991231,20200101,1000,0003,0000005200,00000013,00000043
100,00000094,99991231,20200101,2000,0004,0000005300,00000014,00000044
100,00000095,99991231,20200101,1000,0005,0000005400,00000015,00000045
100,00000096,99991231,20200101,2000,0006,0000005500,00000016,00000046
100,00000097,99991231,20200101,1000,0007,0000005600,00000017,00000047
100,00000098,99991231,20200101,2000,0008,0000005700,00000018,00000048
100,00000099,99991231,20200101,1000,0009,0000005800,00000019,00000049
100,00000100,99991231,20200101,2000,0010,0000005900,00000020,00000050
100,00000101,99991231,20200101,1000,0001,0000001000,00000001,00000001
100,00000102,99991231,20200101,2000,0002,0000001100,00000002,00000002
100,00000103,99991231,20200101,1000,0003,0000001200,00000003,00000003
100,00000104,99991231,20200101,2000,0004,0000001300,00000004,00000004
100,00000105,99991231,20200101,1000,0005,0000001400,00000005,00000005
100,00000106,99991231,20200101,2000,0006,0000001500,00000006,00000006
100,00000107,99991231,20200101,1000,0007,0000001600,00000007,00000007
100,00000108,99991231,20200101,2000,0008,0000001700,00000008,00000008
100,00000109,99991231,20200101,1000,0009,0000001800,00000009,00000009
100,00000110,99991231,20200101,2000,0010,0000001900,00000010,00000010
100,00000111,99991231,20200101,1000,0001,0000002000,00000011,00000011
100,00000112,99991231,20200101,2000,0002,0000002100,00000012,00000012
100,00000113,99991231,20200101,1000,0003,0000002200,00000013,00000013
100,00000114,99991231,20200101,2000,0004,0000002300,00000014,00000014
100,00000115,99991231,20200101,1000,0005,0000002400,00000015,00000015
100,00000116,99991231,20200101,2000,0006,0000002500,00000016,00000016
100,00000117,99991231,20200101,1000,0007,0000002600,00000017,00000017
100,00000118,99991231,20200101,2000,0008,0000002700,00000018,00000018
100,00000119,99991231,20200101,1000,0009,0000002800,00000019,00000019
100,00000120,99991231,20200101,2000,0010,0000002900,00000020,00000020
100,00000121,99991231,20200101,1000,0001,0000003000,00000001,00000021
100,00000122,99991231,20200101,2000,0002,0000003100,00000002,00000022
100,00000123,99991231,20200101,1000,0003,0000003200,00000003,00000023
100,00000124,99991231,20200101,2000,0004,0000003300,00000004,00000024
100,00000125,99991231,20200101,1000,0005,0000003400,00000005,00000025
100,00000126,99991231,20200101,2000,0006,0000003500,00000006,00000026
100,00000127,99991231,20200101,1000,0007,0000003600,00000007,00000027
100,00000128,99991231,20200101,2000,0008,0000003700,00000008,00000028
100,00000129,99991231,20200101,1000,0009,0000003800,00000009,00000029
100,00000130,99991231,20200101,2000,0010,0000003900,00000010,00000030
100,00000131,99991231,20200101,1000,0001,0000004000,00000011,00000031
100,00000132,99991231,20200101,2000,0002,0000004100,00000012,00000032
100,00000133,99991231,20200101,1000,0003,0000004200,00000013,00000033
100,00000134,99991231,20200101,2000,0004,0000004300,00000014,00000034
100,00000135,99991231,20200101,1000,0005,0000004400,00000015,00000035
100,00000136,99991231,20200101,2000,0006,0000004500,00000016,00000036
100,00000137,99991231,20200101,1000,0007,0000004600,00000017,00000037
100,00000138,99991231,20200101,2000,0008,0000004700,00000018,00000038
100,00000139,99991231,20200101,1000,0009,0000004800,00000019,00000039
100,00000140,99991231,20200101,2000,0010,0000004900,00000020,00000040
100,00000141,99991231,20200101,1000,0001,0000005000,00000001,00000041
100,00000142,99991231,20200101,2000,0002,0000005100,00000002,00000042
100,00000143,99991231,20200101,1000,0003,0000005200,00000003,00000043
100,00000144,99991231,20200101,2000,0004,0000005300,00000004,00000044
100,00000145,99991231,20200101,1000,0005,0000005400,00000005,00000045
100,00000146,99991231,20200101,2000,0006,0000005500,00000006,00000046
100,00000147,99991231,20200101,1000,0007,0000005600,00000007,00000047
100,00000148,99991231,20200101,2000,0008,0000005700,00000008,00000048
100,00000149,99991231,20200101,1000,0009,0000005800,00000009,00000049
100,00000150,99991231,20200101,2000,0010,0000005900,00000010,00000050
100,00000151,99991231,20200101,1000,0001,0000001000,00000011,00000001
100,00000152,99991231,20200101,2000,0002,0000001100,00000012,00000002
100,00000153,99991231,20200101,1000,0003,0000001200,00000013,00000003
100,00000154,99991231,20200101,2000,0004,0000001300,00000014,00000004
100,00000155,99991231,20200101,1000,0005,0000001400,00000015,00000005
100,00000156,99991231,20200101,2000,0006,0000001500,00000016,00000006
100,00000157,99991231,20200101,1000,0007,0000001600,00000017,00000007
100,00000158,99991231,20200101,2000,0008,0000001700,00000018,00000008
100,00000159,99991231,20200101,1000,0009,0000001800,00000019,00000009
100,00000160,99991231,20200101,2000,0010,0000001900,00000020,00000010
100,00000161,99991231,20200101,1000,0001,0000002000,00000001,00000011
100,00000162,99991231,20200101,2000,0002,0000002100,00000002,00000012
100,00000163,99991231,20200101,1000,0003,0000002200,00000003,00000013
100,00000164,99991231,20200101,2000,0004,0000002300,00000004,00000014
100,00000165,99991231,20200101,1000,0005,0000002400,00000005,00000015
100,00000166,99991231,20200101,2000,0006,0000002500,00000006,00000016
100,00000167,99991231,20200101,1000,0007,0000002600,00000007,00000017
100,00000168,99991231,20200101,2000,0008,0000002700,00000008,00000018
100,00000169,99991231,20200101,1000,0009,0000002800,00000009,00000019
100,00000170,99991231,20200101,2000,0010,0000002900,00000010,00000020
100,00000171,99991231,20200101,1000,0001,0000003000,00000011,00000021
100,00000172,99991231,20200101,2000,0002,0000003100,00000012,00000022
100,00000173,99991231,20200101,1000,0003,0000003200,00000013,00000023
100,00000174,99991231,20200101,2000,0004,0000003300,00000014,00000024
100,00000175,99991231,20200101,1000,0005,0000003400,00000015,00000025
100,00000176,99991231,20200101,2000,0006,0000003500,00000016,00000026
100,00000177,99991231,20200101,1000,0007,0000003600,00000017,00000027
100,00000178,99991231,20200101,2000,0008,0000003700,00000018,00000028
100,00000179,99991231,20200101,1000,0009,0000003800,00000019,00000029
100,00000180,99991231,20200101,2000,0010,0000003900,00000020,00000030
100,00000181,99991231,20200101,1000,0001,0000004000,00000001,00000031
100,00000182,99991231,20200101,2000,0002,0000004100,00000002,00000032
100,00000183,99991231,20200101,1000,0003,0000004200,00000003,00000033
100,00000184,99991231,20200101,2000,0004,0000004300,00000004,00000034
100,00000185,99991231,20200101,1000,0005,0000004400,00000005,00000035
100,00000186,99991231,20200101,2000,0006,0000004500,00000006,00000036
100,00000187,99991231,20200101,1000,0007,0000004600,00000007,00000037
100,00000188,99991231,20200101,2000,0008,0000004700,00000008,00000038
100,00000189,99991231,20200101,1000,0009,0000004800,00000009,00000039
100,00000190,99991231,20200101,2000,0010,0000004900,00000010,00000040
100,00000191,99991231,20200101,1000,0001,0000005000,00000011,00000041
100,00000192,99991231,20200101,2000,0002,0000005100,00000012,00000042
100,00000193,99991231,20200101,1000,0003,0000005200,00000013,00000043
100,00000194,99991231,20200101,2000,0004,0000005300,00000014,00000044
100,00000195,99991231,20200101,1000,0005,0000005400,00000015,00000045
100,00000196,99991231,20200101,2000,0006,0000005500,00000016,00000046
100,00000197,99991231,20200101,1000,0007,0000005600,00000017,00000047
100,00000198,99991231,20200101,2000,0008,0000005700,00000018,00000048
100,00000199,99991231,20200101,1000,0009,0000005800,00000019,00000049
100,00000200,99991231,20200101,2000,0010,0000005900,00000020,00000050
100,00000201,99991231,20200101,1000,0001,0000001000,00000001,00000001
100,00000202,99991231,20200101,2000,0002,0000001100,00000002,00000002
100,00000203,99991231,20200101,1000,0003,0000001200,00000003,00000003
100,00000204,99991231,20200101,2000,0004,0000001300,00000004,00000004
100,00000205,99991231,20200101,1000,0005,0000001400,00000005,00000005
100,00000206,99991231,20200101,2000,0006,0000001500,00000006,00000006
100,00000207,99991231,20200101,1000,0007,0000001600,00000007,00000007
100,00000208,99991231,20200101,2000,0008,0000001700,00000008,00000008
100,00000209,99991231,20200101,1000,0009,0000001800,00000009,00000009
100,00000210,99991231,20200101,2000,0010,0000001900,00000010,00000010
100,00000211,99991231,20200101,1000,0001,0000002000,00000011,00000011
100,00000212,99991231,20200101,2000,0002,0000002100,00000012,00000012
100,00000213,99991231,20200101,1000,0003,0000002200,00000013,00000013
100,00000214,99991231,20200101,2000,0004,0000002300,00000014,00000014
100,00000215,99991231,20200101,1000,0005,0000002400,00000015,00000015
100,00000216,99991231,20200101,2000,0006,0000002500,00000016,00000016
100,00000217,99991231,20200101,1000,0007,0000002600,00000017,00000017
100,00000218,99991231,20200101,2000,0008,0000002700,00000018,00000018
100,00000219,99991231,20200101,1000,0009,0000002800,00000019,00000019
100,00000220,99991231,20200101,2000,0010,0000002900,00000020,00000020
100,00000221,99991231,20200101,1000,0001,0000003000,00000001,00000021
100,00000222,99991231,20200101,2000,0002,0000003100,00000002,00000022
100,00000223,99991231,20200101,1000,0003,0000003200,00000003,00000023
100,00000224,99991231,20200101,2000,0004,0000003300,00000004,00000024
100,00000225,99991231,20200101,1000,0005,0000003400,00000005,00000025
100,00000226,99991231,20200101,2000,0006,0000003500,00000006,00000026
100,00000227,99991231,20200101,1000,0007,0000003600,00000007,00000027
100,00000228,99991231,20200101,2000,0008,0000003700,00000008,00000028
100,00000229,99991231,20200101,1000,0009,0000003800,00000009,00000029
100,00000230,99991231,20200101,2000,0010,0000003900,00000010,00000030
100,00000231,99991231,20200101,1000,0001,0000004000,00000011,00000031
100,00000232,99991231,20200101,2000,0002,0000004100,00000012,00000032
100,00000233,99991231,20200101,1000,0003,0000004200,00000013,00000033
100,00000234,99991231,20200101,2000,0004,0000004300,00000014,00000034
100,00000235,99991231,20200101,1000,0005,0000004400,00000015,00000035
100,00000236,99991231,20200101,2000,0006,0000004500,00000016,00000036
100,00000237,99991231,20200101,1000,0007,0000004600,00000017,00000037
100,00000238,99991231,20200101,2000,0008,0000004700,00000018,00000038
100,00000239,99991231,20200101,1000,0009,0000004800,00000019,00000039
100,00000240,99991231,20200101,2000,0010,0000004900,00000020,00000040
100,00000241,99991231,20200101,1000,0001,0000005000,00000001,00000041
100,00000242,99991231,20200101,2000,0002,0000005100,00000002,00000042
100,00000243,99991231,20200101,1000,0003,0000005200,00000003,00000043
100,00000244,99991231,20200101,2000,0004,0000005300,00000004,00000044
100,00000245,99991231,20200101,1000,0005,0000005400,00000005,00000045
100,00000246,99991231,20200101,2000,0006,0000005500,00000006,00000046
100,00000247,99991231,20200101,1000,0007,0000005600,00000007,00000047
100,00000248,99991231,20200101,2000,0008,0000005700,00000008,00000048
100,00000249,99991231,20200101,1000,0009,0000005800,00000009,00000049
100,00000250,99991231,20200101,2000,0010,0000005900,00000010,00000050
100,00000251,99991231,20200101,1000,0001,0000001000,00000011,00000001
100,00000252,99991231,20200101,2000,0002,0000001100,00000012,00000002
100,00000253,99991231,20200101,1000,0003,0000001200,00000013,00000003
100,00000254,99991231,20200101,2000,0004,0000001300,00000014,00000004
100,00000255,99991231,20200101,1000,0005,0000001400,00000015,00000005
100,00000256,99991231,20200101,2000,0006,0000001500,00000016,00000006
100,00000257,99991231,20200101,1000,0007,0000001600,00000017,00000007
100,00000258,99991231,20200101,2000,0008,0000001700,00000018,00000008
100,00000259,99991231,20200101,1000,0009,0000001800,00000019,00000009
100,00000260,99991231,20200101,2000,0010,0000001900,00000020,00000010
100,00000261,99991231,20200101,1000,0001,0000002000,00000001,00000011
100,00000262,99991231,20200101,2000,0002,0000002100,00000002,00000012
100,00000263,99991231,20200101,1000,0003,0000002200,00000003,00000013
100,00000264,99991231,20200101,2000,0004,0000002300,00000004,00000014
100,00000265,99991231,20200101,1000,0005,0000002400,00000005,00000015
100,00000266,99991231,20200101,2000,0006,0000002500,00000006,00000016
100,00000267,99991231,20200101,1000,0007,0000002600,00000007,00000017
100,00000268,99991231,20200101,2000,0008,0000002700,00000008,00000018
100,00000269,99991231,20200101,1000,0009,0000002800,00000009,00000019
100,00000270,99991231,20200101,2000,0010,0000002900,00000010,00000020
100,00000271,99991231,20200101,1000,0001,0000003000,00000011,00000021
100,00000272,99991231,20200101,2000,0002,0000003100,00000012,00000022
100,00000273,99991231,20200101,1000,0003,0000003200,00000013,00000023
100,00000274,99991231,20200101,2000,0004,0000003300,00000014,00000024
100,00000275,99991231,20200101,1000,0005,0000003400,00000015,00000025
100,00000276,99991231,20200101,2000,0006,0000003500,00000016,00000026
100,00000277,99991231,20200101,1000,0007,0000003600,00000017,00000027
100,00000278,99991231,20200101,2000,0008,0000003700,00000018,00000028
100,00000279,99991231,20200101,1000,0009,0000003800,00000019,00000029
100,00000280,99991231,20200101,2000,0010,0000003900,00000020,00000030
100,00000281,99991231,20200101,1000,0001,0000004000,00000001,00000031
100,00000282,99991231,20200101,2000,0002,0000004100,00000002,00000032
100,00000283,99991231,20200101,1000,0003,0000004200,00000003,00000033
100,00000284,99991231,20200101,2000,0004,0000004300,00000004,00000034
100,00000285,99991231,20200101,1000,0005,0000004400,00000005,00000035
100,00000286,99991231,20200101,2000,0006,0000004500,00000006,00000036
100,00000287,99991231,20200101,1000,0007,0000004600,00000007,00000037
100,00000288,99991231,20200101,2000,0008,0000004700,00000008,00000038
100,00000289,99991231,20200101,1000,0009,0000004800,00000009,00000039
100,00000290,99991231,20200101,2000,0010,0000004900,00000010,00000040
100,00000291,99991231,20200101,1000,0001,0000005000,00000011,00000041
100,00000292,99991231,20200101,2000,0002,0000005100,00000012,00000042
100,00000293,99991231,20200101,1000,0003,0000005200,00000013,00000043
100,00000294,99991231,20200101,2000,0004,0000005300,00000014,00000044
100,00000295,99991231,20200101,1000,0005,0000005400,00000015,00000045
100,00000296,99991231,20200101,2000,0006,0000005500,00000016,00000046
100,00000297,99991231,20200101,1000,0007,0000005600,00000017,00000047
100,00000298,99991231,20200101,2000,0008,0000005700,00000018,00000048
100,00000299,99991231,20200101,1000,0009,0000005800,00000019,00000049
100,00000300,99991231,20200101,2000,0010,0000005900,00000020,00000050
100,00000301,99991231,20200101,1000,0001,0000001000,00000001,00000001
100,00000302,99991231,20200101,2000,0002,0000001100,00000002,00000002
100,00000303,99991231,20200101,1000,0003,0000001200,00000003,00000003
100,00000304,99991231,20200101,2000,0004,0000001300,00000004,00000004
100,00000305,99991231,20200101,1000,0005,0000001400,00000005,00000005
100,00000306,99991231,20200101,2000,0006,0000001500,00000006,00000006
100,00000307,99991231,20200101,1000,0007,0000001600,00000007,00000007
100,00000308,99991231,20200101,2000,0008,0000001700,00000008,00000008
100,00000309,99991231,20200101,1000,0009,0000001800,00000009,00000009
100,00000310,99991231,20200101,2000,0010,0000001900,00000010,00000010
100,00000311,99991231,20200101,1000,0001,0000002000,00000011,00000011
100,00000312,99991231,20200101,2000,0002,0000002100,00000012,00000012
100,00000313,99991231,20200101,1000,0003,0000002200,00000013,00000013
100,00000314,99991231,20200101,2000,0004,0000002300,00000014,00000014
100,00000315,99991231,20200101,1000,0005,0000002400,00000015,00000015
100,00000316,99991231,20200101,2000,0006,0000002500,00000016,00000016
100,00000317,99991231,20200101,1000,0007,0000002600,00000017,00000017
100,00000318,99991231,20200101,2000,0008,0000002700,00000018,00000018
100,00000319,99991231,20200101,1000,0009,0000002800,00000019,00000019
100,00000320,99991231,20200101,2000,0010,0000002900,00000020,00000020
100,00000321,99991231,20200101,1000,0001,0000003000,00000001,00000021
100,00000322,99991231,20200101,2000,0002,0000003100,00000002,00000022
100,00000323,99991231,20200101,1000,0003,0000003200,00000003,00000023
100,00000324,99991231,20200101,2000,0004,0000003300,00000004,00000024
100,00000325,99991231,20200101,1000,0005,0000003400,00000005,00000025
100,00000326,99991231,20200101,2000,0006,0000003500,00000006,00000026
100,00000327,99991231,20200101,1000,0007,0000003600,00000007,00000027
100,00000328,99991231,20200101,2000,0008,0000003700,00000008,00000028
100,00000329,99991231,20200101,1000,0009,0000003800,00000009,00000029
100,00000330,99991231,20200101,2000,0010,0000003900,00000010,00000030
100,00000331,99991231,20200101,1000,0001,0000004000,00000011,00000031
100,00000332,99991231,20200101,2000,0002,0000004100,00000012,00000032
100,00000333,99991231,20200101,1000,0003,0000004200,00000013,00000033
100,00000334,99991231,20200101,2000,0004,0000004300,00000014,00000034
100,00000335,99991231,20200101,1000,0005,0000004400,00000015,00000035
100,00000336,99991231,20200101,2000,0006,0000004500,00000016,00000036
100,00000337,99991231,20200101,1000,0007,0000004600,00000017,00000037
100,00000338,99991231,20200101,2000,0008,0000004700,00000018,00000038
100,00000339,99991231,20200101,1000,0009,0000004800,00000019,00000039
100,00000340,99991231,20200101,2000,0010,0000004900,00000020,00000040
100,00000341,99991231,20200101,1000,0001,0000005000,00000001,00000041
100,00000342,99991231,20200101,2000,0002,0000005100,00000002,00000042
100,00000343,99991231,20200101,1000,0003,0000005200,00000003,00000043
100,00000344,99991231,20200101,2000,0004,0000005300,00000004,00000044
100,00000345,99991231,20200101,1000,0005,0000005400,00000005,00000045
100,00000346,99991231,20200101,2000,0006,0000005500,00000006,00000046
100,00000347,99991231,20200101,1000,0007,0000005600,00000007,00000047
100,00000348,99991231,20200101,2000,0008,0000005700,00000008,00000048
100,00000349,99991231,20200101,1000,0009,0000005800,00000009,00000049
100,00000350,99991231,20200101,2000,0010,0000005900,00000010,00000050
100,00000351,99991231,20200101,1000,0001,0000001000,00000011,00000001
100,00000352,99991231,20200101,2000,0002,0000001100,00000012,00000002
100,00000353,99991231,20200101,1000,0003,0000001200,00000013,00000003
100,00000354,99991231,20200101,2000,0004,0000001300,00000014,00000004
100,00000355,99991231,20200101,1000,0005,0000001400,00000015,00000005
100,00000356,99991231,20200101,2000,0006,0000001500,00000016,00000006
100,00000357,99991231,20200101,1000,0007,0000001600,00000017,00000007
100,00000358,99991231,20200101,2000,0008,0000001700,00000018,00000008
100,00000359,99991231,20200101,1000,0009,0000001800,00000019,00000009
100,00000360,99991231,20200101,2000,0010,0000001900,00000020,00000010
100,00000361,99991231,20200101,1000,0001,0000002000,00000001,00000011
100,00000362,99991231,20200101,2000,0002,0000002100,00000002,00000012
100,00000363,99991231,20200101,1000,0003,0000002200,00000003,00000013
100,00000364,99991231,20200101,2000,0004,0000002300,00000004,00000014
100,00000365,99991231,20200101,1000,0005,0000002400,00000005,00000015
100,00000366,99991231,20200101,2000,0006,0000002500,00000006,00000016
100,00000367,99991231,20200101,1000,0007,0000002600,00000007,00000017
100,00000368,99991231,20200101,2000,0008,0000002700,00000008,00000018
100,00000369,99991231,20200101,1000,0009,0000002800,00000009,00000019
100,00000370,99991231,20200101,2000,0010,0000002900,00000010,00000020
100,00000371,99991231,20200101,1000,0001,0000003000,00000011,00000021
100,00000372,99991231,20200101,2000,0002,0000003100,00000012,00000022
100,00000373,99991231,20200101,1000,0003,0000003200,00000013,00000023
100,00000374,99991231,20200101,2000,0004,0000003300,00000014,00000024
100,00000375,99991231,20200101,1000,0005,0000003400,00000015,00000025
100,00000376,99991231,20200101,2000,0006,0000003500,00000016,00000026
100,00000377,99991231,20200101,1000,0007,0000003600,00000017,00000027
100,00000378,99991231,20200101,2000,0008,0000003700,00000018,00000028
100,00000379,99991231,20200101,1000,0009,0000003800,00000019,00000029
100,00000380,99991231,20200101,2000,0010,0000003900,00000020,00000030
100,00000381,99991231,20200101,1000,0001,0000004000,00000001,00000031
100,00000382,99991231,20200101,2000,0002,0000004100,00000002,00000032
100,00000383,99991231,20200101,1000,0003,0000004200,00000003,00000033
100,00000384,99991231,20200101,2000,0004,0000004300,00000004,00000034
100,00000385,99991231,20200101,1000,0005,0000004400,00000005,00000035
100,00000386,99991231,20200101,2000,0006,0000004500,00000006,00000036
100,00000387,99991231,20200101,1000,0007,0000004600,00000007,00000037
100,00000388,99991231,20200101,2000,0008,0000004700,00000008,00000038
100,00000389,99991231,20200101,1000,0009,0000004800,00000009,00000039
100,00000390,99991231,20200101,2000,0010,0000004900,00000010,00000040
100,00000391,99991231,20200101,1000,0001,0000005000,00000011,00000041
100,00000392,99991231,20200101,2000,0002,0000005100,00000012,00000042
100,00000393,99991231,20200101,1000,0003,0000005200,00000013,00000043
100,00000394,99991231,20200101,2000,0004,0000005300,00000014,00000044
100,00000395,99991231,20200101,1000,0005,0000005400,00000015,00000045
100,00000396,99991231,20200101,2000,0006,0000005500,00000016,00000046
100,00000397,99991231,20200101,1000,0007,0000005600,00000017,00000047
100,00000398,99991231,20200101,2000,0008,0000005700,00000018,00000048
100,00000399,99991231,20200101,1000,0009,0000005800,00000019,00000049
100,00000400,99991231,20200101,2000,0010,0000005900,00000020,00000050
100,00000401,99991231,20200101,1000,0001,0000001000,00000001,00000001
100,00000402,99991231,20200101,2000,0002,0000001100,00000002,00000002
100,00000403,99991231,20200101,1000,0003,0000001200,00000003,00000003
100,00000404,99991231,20200101,2000,0004,0000001300,00000004,00000004
100,00000405,99991231,20200101,1000,0005,0000001400,00000005,00000005
100,00000406,99991231,20200101,2000,0006,0000001500,00000006,00000006
100,00000407,99991231,20200101,1000,0007,0000001600,00000007,00000007
100,00000408,99991231,20200101,2000,0008,0000001700,00000008,00000008
100,00000409,99991231,20200101,1000,0009,0000001800,00000009,00000009
100,00000410,99991231,20200101,2000,0010,0000001900,00000010,00000010
100,00000411,99991231,20200101,1000,0001,0000002000,00000011,00000011
100,00000412,99991231,20200101,2000,0002,0000002100,00000012,00000012
100,00000413,99991231,20200101,1000,0003,0000002200,00000013,00000013
100,00000414,99991231,20200101,2000,0004,0000002300,00000014,00000014
100,00000415,99991231,20200101,1000,0005,0000002400,00000015,00000015
100,00000416,99991231,20200101,2000,0006,0000002500,00000016,00000016
100,00000417,99991231,20200101,1000,0007,0000002600,00000017,00000017
100,00000418,99991231,20200101,2000,0008,0000002700,00000018,00000018
100,00000419,99991231,20200101,1000,0009,0000002800,00000019,00000019
100,00000420,99991231,20200101,2000,0010,0000002900,00000020,00000020
100,00000421,99991231,20200101,1000,0001,0000003000,00000001,00000021
