MANDT,STLTY,STLNR,STLAL,DAESSION,BMENG,BMEIN
100,M,BOM000091,01,20210503,500,ST
100,M,BOM000092,01,20200311,100,ST
100,M,BOM000093,01,20200916,500,ST
100,M,BOM000094,01,20200110,100,ST
100,M,BOM000095,01,20211030,100,ST
100,M,BOM000096,01,20190701,1000,ST
100,M,BOM000097,01,20190419,1000,ST
100,M,BOM000098,01,20190623,500,ST
100,M,BOM000099,01,20191211,1000,ST
100,M,BOM000100,01,20190430,100,ST
100,M,BOM000101,01,20200429,100,ST
100,M,BOM000102,01,20200705,100,ST
100,M,BOM000103,01,20200517,100,ST
100,M,BOM000104,01,20201220,500,ST
100,M,BOM000105,01,20201013,1000,ST
100,M,BOM000106,01,20191222,100,ST
100,M,BOM000107,01,20210103,500,ST
100,M,BOM000108,01,20200912,100,ST
100,M,BOM000109,01,20191226,1000,ST
100,M,BOM000110,01,20200715,1000,ST
100,M,BOM000111,01,20190417,1000,ST
100,M,BOM000112,01,20210510,500,ST
100,M,BOM000113,01,20191203,100,ST
100,M,BOM000114,01,20200521,500,ST
100,M,BOM000115,01,20190530,100,ST
100,M,BOM000116,01,20190423,500,ST
100,M,BOM000117,01,20200422,500,ST
100,M,BOM000118,01,20190810,100,ST
100,M,BOM000119,01,20211108,100,ST
100,M,BOM000120,01,20210102,1000,ST
100,M,BOM000121,01,20190428,100,ST
100,M,BOM000122,01,20201130,100,ST
100,M,BOM000123,01,20210507,500,ST
100,M,BOM000124,01,20210911,100,ST
100,M,BOM000125,01,20200212,100,ST
100,M,BOM000126,01,20191227,100,ST
100,M,BOM000127,01,20191217,500,ST
100,M,BOM000128,01,20200123,1000,ST
100,M,BOM000129,01,20190513,1000,ST
100,M,BOM000130,01,20210916,1000,ST
100,M,BOM000131,01,20200605,500,ST
100,M,BOM000132,01,20200713,500,ST
100,M,BOM000133,01,20200411,500,ST
100,M,BOM000134,01,20200527,500,ST
100,M,BOM000135,01,20210410,500,ST
100,M,BOM000136,01,20201128,500,ST
100,M,BOM000137,01,20190303,500,ST
100,M,BOM000138,01,20200905,500,ST
100,M,BOM000139,01,20210311,1000,ST
100,M,BOM000140,01,20191230,1000,ST
100,M,BOM000141,01,20200226,500,ST
100,M,BOM000142,01,20210311,500,ST
100,M,BOM000143,01,20200226,100,ST
100,M,BOM000144,01,20190116,100,ST
100,M,BOM000145,01,20210805,500,ST
100,M,BOM000146,01,20200111,500,ST
100,M,BOM000147,01,20210125,100,ST
100,M,BOM000148,01,20210804,100,ST
100,M,BOM000149,01,20190319,500,ST
100,M,BOM000150,01,20190619,100,ST
100,M,BOM000151,01,20200713,100,ST
100,M,BOM000152,01,20211206,100,ST
100,M,BOM000153,01,20201121,100,ST
100,M,BOM000154,01,20211115,500,ST
100,M,BOM000155,01,20210526,500,ST
100,M,BOM000156,01,20190125,500,ST
100,M,BOM000157,01,20191218,100,ST
100,M,BOM000158,01,20201013,1000,ST
100,M,BOM000159,01,20210527,100,ST
100,M,BOM000160,01,20200502,100,ST
100,M,BOM000161,01,20190421,1000,ST
100,M,BOM000162,01,20200223,100,ST
100,M,BOM000163,01,20200912,100,ST
