MANDT,PERNR,ENDDA,BEGDA,SUBTY,ANZHL,KESSION
100,00000732,99991231,20230101,0002,25.88,16.03
100,00001351,99991231,20230101,0001,23.41,16.44
100,00000646,99991231,20230101,0002,28.67,20.57
100,00000163,99991231,20230101,0003,21.19,20.58
100,00000645,99991231,20230101,0003,16.61,5.22
100,00000488,99991231,20230101,0001,28.67,8.97
100,00001862,99991231,20230101,0001,18.6,18.46
100,00001980,99991231,20230101,0003,15.92,20.39
100,00001947,99991231,20230101,0001,27.25,24.42
100,00001029,99991231,20230101,0001,25.2,15.59
100,00001912,99991231,20230101,0001,23.17,24.21
100,00000007,99991231,20230101,0003,10.21,5.14
100,00000936,99991231,20230101,0002,27.96,21.9
100,00000391,99991231,20230101,0001,18.98,15.91
100,00001338,99991231,20230101,0002,23.85,23.95
100,00001928,99991231,20230101,0002,24.25,9.28
100,00000657,99991231,20230101,0002,21.34,7.8
100,00000051,99991231,20230101,0003,17.27,11.52
100,00000969,99991231,20230101,0002,26.45,10.33
100,00001761,99991231,20230101,0001,10.65,9.06
100,00000707,99991231,20230101,0002,27.59,13.35
100,00000580,99991231,20230101,0001,25.55,12.82
100,00001850,99991231,20230101,0003,23.61,13.14
100,00001082,99991231,20230101,0003,14.74,20.56
100,00000173,99991231,20230101,0002,21.16,18.7
100,00000601,99991231,20230101,0001,25.4,24.87
100,00000072,99991231,20230101,0002,28.44,10.86
100,00001843,99991231,20230101,0002,17.76,22.87
100,00000977,99991231,20230101,0003,20.89,8.36
100,00000032,99991231,20230101,0003,29.62,21.72
100,00001248,99991231,20230101,0001,27.54,16.04
100,00000836,99991231,20230101,0002,20.59,24.54
100,00000786,99991231,20230101,0001,12.2,14.68
100,00001069,99991231,20230101,0002,17.56,24.45
100,00000324,99991231,20230101,0003,14.51,10.96
100,00001775,99991231,20230101,0001,10.91,21.7
100,00001715,99991231,20230101,0002,20.79,16.09
100,00001238,99991231,20230101,0003,14.58,19.86
100,00001291,99991231,20230101,0002,13.73,19.73
100,00000757,99991231,20230101,0002,21.09,24.22
100,00001011,99991231,20230101,0001,24.93,16.79
100,00000655,99991231,20230101,0002,29.75,5.03
100,00000224,99991231,20230101,0001,17.4,6.99
100,00001571,99991231,20230101,0003,13.43,10.93
100,00000765,99991231,20230101,0002,27.16,16.63
100,00001174,99991231,20230101,0001,20.71,14.25
100,00001540,99991231,20230101,0002,17.03,21.06
100,00000846,99991231,20230101,0002,25.35,18.63
100,00000774,99991231,20230101,0001,21.08,22.17
100,00001346,99991231,20230101,0003,16.15,19.48
100,00000455,99991231,20230101,0001,21.37,14.89
100,00001931,99991231,20230101,0003,19.23,9.6
100,00001541,99991231,20230101,0003,26.34,12.41
100,00001842,99991231,20230101,0001,22.07,7.61
100,00001050,99991231,20230101,0002,26.87,20.14
100,00000755,99991231,20230101,0002,20.03,15.55
100,00000108,99991231,20230101,0003,28.28,14.36
100,00000150,99991231,20230101,0001,29.92,7.45
100,00001145,99991231,20230101,0001,26.49,5.29
100,00000826,99991231,20230101,0001,23.16,7.19
100,00000008,99991231,20230101,0003,21.69,14.83
100,00001046,99991231,20230101,0003,28.22,14.75
100,00001526,99991231,20230101,0003,22.43,9.53
100,00001626,99991231,20230101,0002,12.89,21.34
100,00001980,99991231,20230101,0001,16.21,19.72
100,00000020,99991231,20230101,0002,28.88,6.3
100,00001907,99991231,20230101,0003,16.27,23.33
100,00000225,99991231,20230101,0002,25.69,6.92
100,00000923,99991231,20230101,0003,24.22,19.16
100,00001142,99991231,20230101,0003,16.28,14.64
100,00001993,99991231,20230101,0001,11.97,7.68
100,00000959,99991231,20230101,0001,21.75,18.68
100,00000997,99991231,20230101,0003,25.09,13.27
100,00001675,99991231,20230101,0002,19.29,15.92
100,00001646,99991231,20230101,0003,15.3,23.49
100,00001963,99991231,20230101,0001,11.08,23.95
100,00000105,99991231,20230101,0003,22.09,5.68
100,00001640,99991231,20230101,0001,25.54,15.36
100,00000531,99991231,20230101,0003,22.19,24.31
100,00001207,99991231,20230101,0001,13.19,21.88
100,00001981,99991231,20230101,0002,28.39,10.19
100,00001043,99991231,20230101,0001,27.33,14.75
100,00000174,99991231,20230101,0002,21.91,18.58
100,00000326,99991231,20230101,0001,29.63,24.89
100,00000817,99991231,20230101,0003,13.63,10.55
100,00001511,99991231,20230101,0001,20.71,12.1
100,00000439,99991231,20230101,0003,16.88,16.46
100,00001816,99991231,20230101,0001,25.83,8.31
100,00001081,99991231,20230101,0003,20.91,23.48
100,00001483,99991231,20230101,0001,11.88,19.3
100,00000926,99991231,20230101,0002,20.96,5.95
100,00000788,99991231,20230101,0001,27.7,6.43
100,00000976,99991231,20230101,0001,22.53,11.07
100,00001588,99991231,20230101,0003,29.49,9.76
100,00001353,99991231,20230101,0002,15.34,16.0
100,00001638,99991231,20230101,0003,27.92,19.81
100,00000263,99991231,20230101,0003,19.63,19.73
100,00000554,99991231,20230101,0003,23.48,24.25
100,00000952,99991231,20230101,0002,23.49,20.35
100,00000915,99991231,20230101,0001,17.68,17.34
100,00001581,99991231,20230101,0001,25.17,18.09
100,00001409,99991231,20230101,0002,14.04,12.82
100,00000468,99991231,20230101,0001,19.18,22.73
100,00001223,99991231,20230101,0002,20.88,20.43
100,00000214,99991231,20230101,0002,15.13,19.64
100,00000046,99991231,20230101,0003,16.94,7.29
100,00000352,99991231,20230101,0001,20.57,11.67
100,00000260,99991231,20230101,0002,16.88,7.15
100,00001373,99991231,20230101,0003,24.98,5.67
100,00001999,99991231,20230101,0003,22.73,14.07
100,00001565,99991231,20230101,0002,14.7,15.42
100,00000299,99991231,20230101,0003,15.06,10.03
100,00001322,99991231,20230101,0002,23.83,19.31
100,00000067,99991231,20230101,0002,24.78,8.6
100,00001145,99991231,20230101,0001,28.95,6.95
100,00000117,99991231,20230101,0002,11.49,18.39
100,00000331,99991231,20230101,0003,18.74,17.82
100,00000812,99991231,20230101,0001,18.01,19.18
100,00001693,99991231,20230101,0003,18.36,12.18
100,00001213,99991231,20230101,0003,16.99,22.97
100,00001295,99991231,20230101,0002,27.01,22.74
100,00001366,99991231,20230101,0002,19.96,15.12
100,00001845,99991231,20230101,0001,21.86,5.3
100,00001530,99991231,20230101,0003,17.97,22.4
100,00001657,99991231,20230101,0003,27.26,10.84
100,00001729,99991231,20230101,0003,25.62,7.99
100,00000775,99991231,20230101,0001,23.92,19.44
100,00001969,99991231,20230101,0001,20.6,9.57
100,00000257,99991231,20230101,0003,27.16,11.08
100,00000896,99991231,20230101,0001,17.37,11.35
100,00000933,99991231,20230101,0001,27.95,19.9
100,00001002,99991231,20230101,0001,25.05,20.88
100,00001027,99991231,20230101,0002,16.11,7.38
100,00000503,99991231,20230101,0003,15.51,17.66
100,00000677,99991231,20230101,0001,23.11,8.68
100,00001235,99991231,20230101,0002,22.04,23.84
100,00000526,99991231,20230101,0002,16.59,5.05
100,00001086,99991231,20230101,0003,10.63,10.15
100,00000133,99991231,20230101,0002,14.7,7.89
100,00000519,99991231,20230101,0001,23.03,18.25
100,00000817,99991231,20230101,0002,21.06,9.38
100,00000201,99991231,20230101,0001,27.49,7.44
100,00001202,99991231,20230101,0003,11.5,6.81
100,00001823,99991231,20230101,0003,11.72,12.57
100,00000190,99991231,20230101,0001,27.41,21.16
100,00000826,99991231,20230101,0003,14.93,19.2
100,00000572,99991231,20230101,0001,12.36,21.16
100,00000748,99991231,20230101,0002,20.63,7.09
100,00000817,99991231,20230101,0003,29.63,11.85
100,00001017,99991231,20230101,0003,10.58,14.6
100,00001100,99991231,20230101,0002,22.62,7.36
100,00000442,99991231,20230101,0002,26.65,10.58
100,00000117,99991231,20230101,0003,19.74,18.82
100,00000732,99991231,20230101,0003,16.94,17.26
100,00000907,99991231,20230101,0001,12.9,22.56
100,00001817,99991231,20230101,0002,19.05,16.86
100,00001770,99991231,20230101,0003,27.61,20.44
100,00000106,99991231,20230101,0002,29.01,24.05
100,00000173,99991231,20230101,0001,28.89,20.83
100,00001224,99991231,20230101,0001,18.55,11.47
100,00001700,99991231,20230101,0001,14.43,12.65
100,00001234,99991231,20230101,0001,28.21,20.53
100,00001486,99991231,20230101,0003,11.25,11.4
100,00000566,99991231,20230101,0001,18.74,8.0
100,00001146,99991231,20230101,0002,27.59,12.34
100,00001468,99991231,20230101,0002,21.05,20.64
100,00001104,99991231,20230101,0003,20.67,23.31
100,00001746,99991231,20230101,0002,19.07,18.18
100,00001588,99991231,20230101,0002,15.61,21.17
100,00000423,99991231,20230101,0003,29.19,7.53
100,00001709,99991231,20230101,0002,20.81,11.49
100,00001746,99991231,20230101,0001,24.03,14.8
100,00000196,99991231,20230101,0002,24.0,18.04
100,00000712,99991231,20230101,0003,20.99,15.79
100,00000578,99991231,20230101,0003,27.83,21.81
100,00000351,99991231,20230101,0003,16.58,15.86
100,00001420,99991231,20230101,0001,24.67,21.69
100,00000221,99991231,20230101,0002,13.51,17.55
100,00001451,99991231,20230101,0002,24.83,7.68
100,00001607,99991231,20230101,0002,12.21,12.09
100,00000967,99991231,20230101,0001,20.43,12.69
100,00001496,99991231,20230101,0003,19.81,6.01
100,00001801,99991231,20230101,0002,20.35,7.47
100,00000364,99991231,20230101,0002,18.82,19.39
100,00001348,99991231,20230101,0002,29.44,21.7
100,00000074,99991231,20230101,0003,16.08,21.48
100,00001070,99991231,20230101,0001,11.45,6.07
100,00001199,99991231,20230101,0001,16.16,8.86
100,00000423,99991231,20230101,0001,15.44,20.39
100,00001060,99991231,20230101,0001,19.33,17.32
100,00001093,99991231,20230101,0003,24.35,11.93
100,00000867,99991231,20230101,0003,21.6,7.27
100,00000029,99991231,20230101,0002,24.17,9.63
100,00001203,99991231,20230101,0003,27.09,23.64
100,00001409,99991231,20230101,0003,18.64,19.76
100,00001574,99991231,20230101,0001,20.88,12.59
100,00001925,99991231,20230101,0002,11.2,16.06
100,00000198,99991231,20230101,0002,27.85,24.96
100,00000592,99991231,20230101,0003,28.79,14.3
100,00001826,99991231,20230101,0003,29.16,9.55
100,00001549,99991231,20230101,0002,26.53,19.94
100,00000818,99991231,20230101,0003,21.15,6.43
100,00001592,99991231,20230101,0001,14.61,20.45
100,00000511,99991231,20230101,0001,27.77,15.17
100,00000626,99991231,20230101,0003,10.31,12.65
100,00001836,99991231,20230101,0002,19.37,10.52
100,00000449,99991231,20230101,0001,22.34,7.83
100,00000935,99991231,20230101,0001,29.34,14.58
100,00000036,99991231,20230101,0001,18.76,7.05
100,00000776,99991231,20230101,0001,13.65,13.3
100,00000221,99991231,20230101,0001,20.15,24.48
100,00001913,99991231,20230101,0003,24.03,16.08
100,00001823,99991231,20230101,0001,28.72,16.89
100,00000173,99991231,20230101,0001,26.37,16.07
100,00000155,99991231,20230101,0001,20.64,22.82
100,00000836,99991231,20230101,0002,19.34,12.18
100,00001356,99991231,20230101,0002,26.47,9.67
100,00000327,99991231,20230101,0002,10.58,17.67
100,00000592,99991231,20230101,0001,21.48,9.25
100,00001122,99991231,20230101,0001,14.58,13.55
100,00001190,99991231,20230101,0003,17.17,14.77
100,00001203,99991231,20230101,0001,13.37,8.53
100,00001704,99991231,20230101,0002,25.31,12.27
100,00000986,99991231,20230101,0003,12.29,14.23
100,00000567,99991231,20230101,0002,17.69,20.58
100,00001358,99991231,20230101,0002,10.03,6.6
100,00001396,99991231,20230101,0003,14.33,20.5
100,00000234,99991231,20230101,0001,28.52,5.24
100,00000202,99991231,20230101,0001,13.38,9.82
100,00000270,99991231,20230101,0001,10.58,10.39
100,00001671,99991231,20230101,0002,18.24,10.77
100,00000764,99991231,20230101,0002,15.25,18.69
100,00000644,99991231,20230101,0003,25.71,16.86
100,00000372,99991231,20230101,0002,20.38,6.34
100,00001826,99991231,20230101,0003,27.32,14.45
100,00001969,99991231,20230101,0002,10.72,6.62
100,00000254,99991231,20230101,0003,29.71,16.64
100,00001172,99991231,20230101,0002,16.16,15.65
100,00001674,99991231,20230101,0001,24.1,18.95
100,00000363,99991231,20230101,0003,28.85,12.05
100,00001976,99991231,20230101,0001,16.56,9.68
100,00000109,99991231,20230101,0002,18.81,24.6
100,00001564,99991231,20230101,0001,23.69,7.02
100,00001510,99991231,20230101,0002,21.4,12.92
100,00000970,99991231,20230101,0002,24.3,22.3
100,00001101,99991231,20230101,0002,11.92,5.66
100,00001483,99991231,20230101,0002,19.25,8.81
100,00000927,99991231,20230101,0001,23.2,17.42
100,00000476,99991231,20230101,0003,28.45,16.92
100,00001460,99991231,20230101,0002,22.94,24.24
100,00001701,99991231,20230101,0002,26.65,13.99
100,00001881,99991231,20230101,0001,27.59,16.38
100,00001912,99991231,20230101,0002,10.9,7.53
100,00000592,99991231,20230101,0001,11.2,5.84
100,00001170,99991231,20230101,0002,20.82,8.18
100,00000143,99991231,20230101,0001,23.14,23.55
100,00000184,99991231,20230101,0002,11.23,11.92
100,00001135,99991231,20230101,0003,12.08,9.36
100,00001620,99991231,20230101,0001,13.13,11.47
100,00000719,99991231,20230101,0002,21.55,20.53
100,00001583,99991231,20230101,0003,17.48,6.76
100,00000798,99991231,20230101,0002,29.18,17.39
100,00001224,99991231,20230101,0002,14.26,15.98
100,00001744,99991231,20230101,0002,25.22,19.47
100,00001908,99991231,20230101,0001,24.93,16.38
100,00001607,99991231,20230101,0003,10.95,10.92
100,00001691,99991231,20230101,0002,11.62,14.26
100,00000808,99991231,20230101,0002,11.79,17.52
100,00001959,99991231,20230101,0003,19.0,14.47
100,00001651,99991231,20230101,0003,12.13,21.53
100,00000287,99991231,20230101,0001,25.55,8.38
100,00001548,99991231,20230101,0003,26.7,10.85
100,00001116,99991231,20230101,0002,28.32,6.38
100,00001491,99991231,20230101,0001,19.13,21.99
100,00001425,99991231,20230101,0001,24.85,10.51
100,00000705,99991231,20230101,0002,21.74,14.55
100,00000650,99991231,20230101,0002,19.97,24.41
100,00001556,99991231,20230101,0001,23.86,18.46
100,00000675,99991231,20230101,0003,18.27,21.56
100,00000797,99991231,20230101,0003,18.62,10.0
100,00000354,99991231,20230101,0001,19.58,9.73
100,00000824,99991231,20230101,0001,24.35,22.78
100,00001362,99991231,20230101,0002,29.52,12.58
100,00000751,99991231,20230101,0003,29.61,10.18
100,00001398,99991231,20230101,0003,12.84,13.66
100,00001819,99991231,20230101,0002,12.24,23.03
100,00001490,99991231,20230101,0002,15.75,11.43
100,00001772,99991231,20230101,0001,11.77,10.87
100,00001909,99991231,20230101,0002,19.83,8.8
100,00001398,99991231,20230101,0002,26.2,11.18
100,00000465,99991231,20230101,0003,20.84,24.58
100,00000190,99991231,20230101,0002,27.15,12.76
100,00000402,99991231,20230101,0002,23.22,16.91
100,00001323,99991231,20230101,0001,20.7,17.8
100,00001578,99991231,20230101,0003,28.87,5.97
100,00001850,99991231,20230101,0003,18.88,12.37
100,00000309,99991231,20230101,0001,18.11,5.95
100,00000226,99991231,20230101,0002,16.55,23.35
100,00000296,99991231,20230101,0002,14.21,13.98
100,00000226,99991231,20230101,0001,27.6,16.65
100,00000957,99991231,20230101,0001,26.06,22.27
100,00000106,99991231,20230101,0001,10.75,15.28
100,00000404,99991231,20230101,0001,28.86,13.86
100,00000547,99991231,20230101,0003,22.43,13.16
100,00000061,99991231,20230101,0003,22.91,11.76
100,00001590,99991231,20230101,0003,18.52,13.27
100,00000797,99991231,20230101,0001,24.33,10.95
100,00000813,99991231,20230101,0002,17.19,15.52
100,00000089,99991231,20230101,0002,25.47,6.52
100,00000257,99991231,20230101,0001,14.01,19.39
100,00001710,99991231,20230101,0003,23.35,20.85
100,00001840,99991231,20230101,0003,17.62,16.67
100,00000697,99991231,20230101,0001,27.78,14.94
100,00001241,99991231,20230101,0003,11.04,12.65
100,00001140,99991231,20230101,0002,27.58,14.76
100,00001981,99991231,20230101,0003,29.14,16.43
100,00000649,99991231,20230101,0003,18.78,13.14
100,00000893,99991231,20230101,0001,27.54,24.19
100,00001636,99991231,20230101,0001,11.34,9.63
100,00001823,99991231,20230101,0001,10.56,14.67
100,00000548,99991231,20230101,0001,14.3,21.37
100,00000235,99991231,20230101,0003,12.24,9.5
100,00000781,99991231,20230101,0002,21.96,18.75
100,00000837,99991231,20230101,0001,27.17,13.36
100,00000698,99991231,20230101,0003,16.19,23.78
100,00001862,99991231,20230101,0002,19.73,6.98
100,00000965,99991231,20230101,0001,15.61,11.15
100,00001909,99991231,20230101,0001,17.3,20.62
100,00000117,99991231,20230101,0003,27.95,24.85
100,00000055,99991231,20230101,0001,27.31,10.62
100,00000655,99991231,20230101,0002,26.82,22.56
100,00000223,99991231,20230101,0002,19.24,7.24
100,00001769,99991231,20230101,0001,21.85,7.94
100,00001051,99991231,20230101,0003,25.5,19.19
100,00001769,99991231,20230101,0003,21.92,21.72
100,00000522,99991231,20230101,0003,17.98,19.69
100,00000467,99991231,20230101,0001,10.06,12.95
100,00001274,99991231,20230101,0003,25.14,8.63
100,00000188,99991231,20230101,0002,14.5,22.39
100,00001806,99991231,20230101,0001,26.1,8.83
100,00001075,99991231,20230101,0002,25.04,17.45
100,00001261,99991231,20230101,0002,28.81,13.92
100,00000226,99991231,20230101,0001,24.26,14.69
100,00001481,99991231,20230101,0002,12.15,6.49
100,00000358,99991231,20230101,0003,27.99,19.78
100,00001790,99991231,20230101,0001,15.82,8.2
100,00001244,99991231,20230101,0003,13.07,24.62
100,00001555,99991231,20230101,0001,11.84,5.4
100,00001470,99991231,20230101,0002,28.37,5.68
100,00001594,99991231,20230101,0001,22.7,12.6
100,00001975,99991231,20230101,0001,22.74,23.94
100,00001783,99991231,20230101,0001,13.51,10.37
100,00001343,99991231,20230101,0002,18.44,13.11
100,00001951,99991231,20230101,0003,16.68,21.34
100,00001059,99991231,20230101,0002,18.42,20.72
100,00000028,99991231,20230101,0002,22.9,22.64
100,00001381,99991231,20230101,0003,16.41,5.23
100,00000397,99991231,20230101,0001,14.05,6.46
100,00001717,99991231,20230101,0001,11.09,21.65
100,00001832,99991231,20230101,0001,20.02,6.24
100,00000896,99991231,20230101,0001,26.52,10.53
100,00001753,99991231,20230101,0003,27.14,8.03
100,00001640,99991231,20230101,0002,20.06,8.13
100,00000217,99991231,20230101,0001,25.42,13.35
100,00000280,99991231,20230101,0002,12.05,14.88
100,00000531,99991231,20230101,0001,18.06,10.88
100,00000613,99991231,20230101,0001,19.35,16.84
100,00001290,99991231,20230101,0003,16.94,22.24
100,00000932,99991231,20230101,0003,24.68,6.22
100,00001497,99991231,20230101,0002,29.49,17.96
100,00000224,99991231,20230101,0003,28.48,11.01
100,00001545,99991231,20230101,0001,13.33,10.5
100,00001854,99991231,20230101,0003,26.87,7.57
100,00000741,99991231,20230101,0003,24.45,15.67
100,00001304,99991231,20230101,0002,27.64,8.67
100,00001990,99991231,20230101,0001,29.56,7.75
100,00001770,99991231,20230101,0002,12.13,7.51
100,00000434,99991231,20230101,0001,28.55,14.45
100,00000989,99991231,20230101,0003,28.01,19.14
100,00000715,99991231,20230101,0001,18.35,10.05
100,00000969,99991231,20230101,0002,18.3,9.07
100,00000738,99991231,20230101,0003,21.76,11.66
100,00001281,99991231,20230101,0002,23.99,14.91
100,00000388,99991231,20230101,0002,10.61,16.14
100,00000629,99991231,20230101,0003,29.61,23.59
100,00001506,99991231,20230101,0003,27.72,19.39
100,00001582,99991231,20230101,0002,21.23,6.54
100,00001826,99991231,20230101,0002,17.46,15.36
100,00001286,99991231,20230101,0001,17.73,15.55
100,00000827,99991231,20230101,0002,24.57,11.96
100,00000618,99991231,20230101,0001,18.01,24.63
100,00000465,99991231,20230101,0001,13.03,5.31
100,00001968,99991231,20230101,0001,18.29,14.02
100,00000523,99991231,20230101,0001,20.82,19.85
100,00000160,99991231,20230101,0003,17.15,5.44
100,00000998,99991231,20230101,0001,16.98,15.5
100,00001978,99991231,20230101,0001,12.35,9.29
100,00000618,99991231,20230101,0001,12.36,19.91
100,00001419,99991231,20230101,0002,11.58,14.32
100,00001906,99991231,20230101,0002,10.99,16.46
100,00000615,99991231,20230101,0002,14.48,9.55
100,00000214,99991231,20230101,0001,20.99,24.78
100,00001431,99991231,20230101,0003,25.01,6.43
100,00000795,99991231,20230101,0001,16.88,7.16
100,00001902,99991231,20230101,0003,25.39,21.43
100,00000824,99991231,20230101,0001,23.92,18.81
100,00000641,99991231,20230101,0003,10.8,8.72
100,00001505,99991231,20230101,0003,15.63,24.1
100,00000658,99991231,20230101,0003,29.56,6.31
100,00001914,99991231,20230101,0002,25.57,12.6
100,00001504,99991231,20230101,0003,10.27,8.17
100,00001125,99991231,20230101,0001,25.71,20.47
100,00001122,99991231,20230101,0002,25.67,15.12
100,00000297,99991231,20230101,0001,24.4,10.55
100,00000094,99991231,20230101,0001,12.6,5.7
100,00000835,99991231,20230101,0002,12.67,22.21
100,00000020,99991231,20230101,0003,18.13,15.33
100,00001699,99991231,20230101,0001,14.1,20.97
100,00001995,99991231,20230101,0001,28.82,22.98
100,00000752,99991231,20230101,0002,24.13,23.75
100,00000356,99991231,20230101,0002,10.96,12.45
100,00000997,99991231,20230101,0003,22.03,8.49
100,00001724,99991231,20230101,0003,10.72,7.08
100,00001862,99991231,20230101,0001,19.24,12.56
100,00000342,99991231,20230101,0001,16.72,11.7
100,00000316,99991231,20230101,0002,18.36,19.97
100,00000634,99991231,20230101,0001,18.49,9.03
100,00001052,99991231,20230101,0003,13.64,8.32
100,00000765,99991231,20230101,0001,23.17,14.88
100,00001235,99991231,20230101,0002,10.98,11.2
100,00000133,99991231,20230101,0002,25.49,9.13
100,00000576,99991231,20230101,0001,22.17,8.27
100,00001000,99991231,20230101,0001,10.22,20.54
100,00001661,99991231,20230101,0002,16.86,23.24
100,00000154,99991231,20230101,0002,11.23,19.42
100,00001314,99991231,20230101,0003,26.83,17.35
100,00000773,99991231,20230101,0002,20.34,10.78
100,00001306,99991231,20230101,0001,26.03,13.6
100,00001719,99991231,20230101,0002,22.04,22.55
100,00001722,99991231,20230101,0001,18.61,21.93
100,00001073,99991231,20230101,0001,16.83,15.21
100,00001490,99991231,20230101,0003,25.46,14.65
100,00000940,99991231,20230101,0001,27.2,8.38
100,00001830,99991231,20230101,0001,11.55,11.83
100,00001243,99991231,20230101,0002,21.01,23.5
100,00001060,99991231,20230101,0002,22.04,10.05
100,00000881,99991231,20230101,0003,10.24,21.1
100,00000623,99991231,20230101,0003,28.18,14.8
100,00001063,99991231,20230101,0003,10.39,17.66
100,00001403,99991231,20230101,0002,14.67,24.48
100,00001372,99991231,20230101,0002,26.45,7.46
100,00001028,99991231,20230101,0001,27.71,14.45
100,00001960,99991231,20230101,0003,21.36,8.97
100,00001977,99991231,20230101,0001,24.8,21.35
100,00001884,99991231,20230101,0003,21.55,14.16
100,00000736,99991231,20230101,0001,22.25,24.75
100,00001407,99991231,20230101,0003,21.4,21.52
100,00000827,99991231,20230101,0003,16.65,15.18
100,00001796,99991231,20230101,0001,24.32,20.21
100,00000532,99991231,20230101,0003,22.11,14.8
100,00001466,99991231,20230101,0002,21.95,17.98
100,00000019,99991231,20230101,0001,18.48,6.56
100,00001471,99991231,20230101,0003,14.34,15.67
100,00001432,99991231,20230101,0002,23.06,12.99
100,00000589,99991231,20230101,0003,14.51,19.87
100,00001789,99991231,20230101,0001,26.66,14.61
100,00000084,99991231,20230101,0001,14.58,24.16
100,00000505,99991231,20230101,0002,16.83,14.68
100,00001550,99991231,20230101,0001,28.91,17.61
100,00000306,99991231,20230101,0002,16.71,14.72
100,00001419,99991231,20230101,0002,26.83,7.3
100,00001152,99991231,20230101,0001,29.49,13.42
100,00000854,99991231,20230101,0002,11.94,5.6
100,00000266,99991231,20230101,0002,27.2,11.32
100,00001080,99991231,20230101,0002,20.8,5.17
100,00000202,99991231,20230101,0001,12.2,10.65
100,00000495,99991231,20230101,0002,21.13,16.71
100,00000618,99991231,20230101,0003,15.24,12.73
100,00001314,99991231,20230101,0003,23.99,13.34
100,00000953,99991231,20230101,0001,23.85,14.94
100,00000521,99991231,20230101,0003,21.96,21.43
100,00001957,99991231,20230101,0003,22.76,15.37
100,00000831,99991231,20230101,0002,28.76,5.72
100,00001126,99991231,20230101,0002,25.75,7.23
100,00001464,99991231,20230101,0003,28.12,9.83
100,00001424,99991231,20230101,0002,20.02,14.47
100,00001223,99991231,20230101,0002,21.38,15.86
100,00001759,99991231,20230101,0002,22.22,17.61
100,00001247,99991231,20230101,0002,25.1,10.32
100,00000643,99991231,20230101,0002,13.54,7.41
100,00000303,99991231,20230101,0003,25.57,21.32
100,00001695,99991231,20230101,0003,12.37,9.55
100,00001741,99991231,20230101,0001,13.69,17.37
100,00000226,99991231,20230101,0002,25.64,23.38
100,00001875,99991231,20230101,0003,18.41,8.24
100,00001375,99991231,20230101,0001,22.68,8.65
100,00000907,99991231,20230101,0003,21.86,18.51
100,00001761,99991231,20230101,0003,27.88,11.08
100,00000764,99991231,20230101,0002,15.79,21.21
100,00001343,99991231,20230101,0001,17.57,10.17
100,00001489,99991231,20230101,0003,15.33,8.73
100,00000130,99991231,20230101,0003,19.11,18.67
100,00001417,99991231,20230101,0001,19.93,7.75
100,00001771,99991231,20230101,0001,12.08,6.06
100,00000976,99991231,20230101,0002,13.36,12.7
100,00001877,99991231,20230101,0001,22.04,9.41
100,00001164,99991231,20230101,0003,14.02,17.59
100,00000326,99991231,20230101,0001,26.62,16.46
