MANDT,VBELN,LFART,KUNNR,WADAT
100,1800000181,LF,CUS000084,20230529
100,1800000182,LF,CUS000031,20221018
100,1800000183,LF,CUS000137,20220824
100,1800000184,LF,CUS000083,20230421
100,1800000185,LF,CUS000047,20231004
100,1800000186,LF,CUS000059,20231012
100,1800000187,LF,CUS000032,20250425
100,1800000188,LF,CUS000190,20241005
100,1800000189,LF,CUS000022,20251212
100,1800000190,LF,CUS000045,20240521
100,1800000191,LF,CUS000128,20220316
100,1800000192,LF,CUS000044,20241219
100,1800000193,LF,CUS000107,20240811
100,1800000194,LF,CUS000064,20220814
100,1800000195,LF,CUS000162,20240305
100,1800000196,LF,CUS000003,20231027
100,1800000197,LF,CUS000170,20240729
100,1800000198,LF,CUS000059,20220722
100,1800000199,LF,CUS000163,20221208
100,1800000200,LF,CUS000080,20251010
100,1800000201,LF,CUS000058,20220608
100,1800000202,LF,CUS000110,20240822
100,1800000203,LF,CUS000171,20240517
100,1800000204,LF,CUS000101,20240527
100,1800000205,LF,CUS000175,20240110
100,1800000206,LF,CUS000023,20241028
100,1800000207,LF,CUS000090,20240923
100,1800000208,LF,CUS000179,20250624
100,1800000209,LF,CUS000091,20250108
100,1800000210,LF,CUS000127,20220228
100,1800000211,LF,CUS000133,20230121
100,1800000212,LF,CUS000182,20241114
100,1800000213,LF,CUS000017,20240621
100,1800000214,LF,CUS000183,20220422
100,1800000215,LF,CUS000179,20240226
100,1800000216,LF,CUS000087,20220630
100,1800000217,LF,CUS000145,20250312
100,1800000218,LF,CUS000130,20230106
100,1800000219,LF,CUS000090,20220813
100,1800000220,LF,CUS000104,20230203
100,1800000221,LF,CUS000083,20250911
100,1800000222,LF,CUS000151,20230927
100,1800000223,LF,CUS000161,20260107
100,1800000224,LF,CUS000177,20250924
100,1800000225,LF,CUS000052,20240324
100,1800000226,LF,CUS000101,20220507
100,1800000227,LF,CUS000015,20231022
100,1800000228,LF,CUS000027,20221101
100,1800000229,LF,CUS000157,20241010
100,1800000230,LF,CUS000111,20220215
100,1800000231,LF,CUS000159,20250922
100,1800000232,LF,CUS000014,20240502
100,1800000233,LF,CUS000178,20220304
100,1800000234,LF,CUS000157,20231023
100,1800000235,LF,CUS000042,20221111
100,1800000236,LF,CUS000098,20240831
100,1800000237,LF,CUS000046,20220526
100,1800000238,LF,CUS000091,20220623
100,1800000239,LF,CUS000118,20250912
100,1800000240,LF,CUS000142,20230624
100,1800000241,LF,CUS000006,20220828
100,1800000242,LF,CUS000111,20220111
100,1800000243,LF,CUS000139,20221104
100,1800000244,LF,CUS000073,20230603
100,1800000245,LF,CUS000191,20240110
100,1800000246,LF,CUS000094,20240408
100,1800000247,LF,CUS000087,20230719
100,1800000248,LF,CUS000126,20240504
100,1800000249,LF,CUS000088,20230812
100,1800000250,LF,CUS000083,20220928
100,1800000251,LF,CUS000018,20230704
100,1800000252,LF,CUS000142,20231110
100,1800000253,LF,CUS000131,20220326
100,1800000254,LF,CUS000024,20230501
100,1800000255,LF,CUS000014,20220221
100,1800000256,LF,CUS000143,20230703
100,1800000257,LF,CUS000132,20251020
100,1800000258,LF,CUS000118,20231113
100,1800000259,LF,CUS000045,20240505
100,1800000260,LF,CUS000139,20251021
100,1800000261,LF,CUS000154,20221104
100,1800000262,LF,CUS000066,20220123
100,1800000263,LF,CUS000062,20231002
100,1800000264,LF,CUS000096,20240316
100,1800000265,LF,CUS000198,20250110
100,1800000266,LF,CUS000122,20220711
100,1800000267,LF,CUS000158,20230323
100,1800000268,LF,CUS000065,20220420
100,1800000269,LF,CUS000130,20240406
100,1800000270,LF,CUS000003,20241228
100,1800000271,LF,CUS000171,20221030
100,1800000272,LF,CUS000064,20221214
100,1800000273,LF,CUS000154,20230524
100,1800000274,LF,CUS000138,20230917
100,1800000275,LF,CUS000153,20230822
100,1800000276,LF,CUS000036,20250619
100,1800000277,LF,CUS000141,20240214
100,1800000278,LF,CUS000003,20220513
100,1800000279,LF,CUS000091,20250219
100,1800000280,LF,CUS000104,20221223
100,1800000281,LF,CUS000100,20220228
100,1800000282,LF,CUS000182,20220708
100,1800000283,LF,CUS000183,20250527
100,1800000284,LF,CUS000040,20230105
100,1800000285,LF,CUS000193,20240422
100,1800000286,LF,CUS000125,20231010
100,1800000287,LF,CUS000167,20221017
100,1800000288,LF,CUS000020,20240620
100,1800000289,LF,CUS000118,20250621
100,1800000290,LF,CUS000097,20221123
100,1800000291,LF,CUS000110,20221120
100,1800000292,LF,CUS000187,20250629
100,1800000293,LF,CUS000130,20250118
100,1800000294,LF,CUS000008,20240830
100,1800000295,LF,CUS000154,20221203
100,1800000296,LF,CUS000176,20251030
100,1800000297,LF,CUS000073,20220610
100,1800000298,LF,CUS000048,20240318
100,1800000299,LF,CUS000093,20250731
100,1800000300,LF,CUS000185,20240803
100,1800000301,LF,CUS000172,20230417
100,1800000302,LF,CUS000061,20220902
100,1800000303,LF,CUS000194,20240912
100,1800000304,LF,CUS000051,20240206
100,1800000305,LF,CUS000032,20231027
100,1800000306,LF,CUS000021,20250117
100,1800000307,LF,CUS000127,20230127
100,1800000308,LF,CUS000032,20250626
100,1800000309,LF,CUS000071,20230405
100,1800000310,LF,CUS000016,20221205
100,1800000311,LF,CUS000100,20240912
100,1800000312,LF,CUS000134,20240213
100,1800000313,LF,CUS000158,20250221
100,1800000314,LF,CUS000145,20250311
100,1800000315,LF,CUS000027,20220615
100,1800000316,LF,CUS000165,20230811
100,1800000317,LF,CUS000129,20220704
100,1800000318,LF,CUS000118,20230911
100,1800000319,LF,CUS000194,20250714
100,1800000320,LF,CUS000116,20231112
100,1800000321,LF,CUS000081,20230803
100,1800000322,LF,CUS000029,20250110
100,1800000323,LF,CUS000141,20231115
100,1800000324,LF,CUS000133,20220711
100,1800000325,LF,CUS000175,20221210
100,1800000326,LF,CUS000113,20220724
100,1800000327,LF,CUS000039,20220613
100,1800000328,LF,CUS000007,20240829
100,1800000329,LF,CUS000071,20241126
100,1800000330,LF,CUS000187,20240215
100,1800000331,LF,CUS000159,20240807
100,1800000332,LF,CUS000067,20220124
100,1800000333,LF,CUS000147,20241215
100,1800000334,LF,CUS000091,20221120
100,1800000335,LF,CUS000095,20220821
100,1800000336,LF,CUS000053,20230513
100,1800000337,LF,CUS000058,20231026
100,1800000338,LF,CUS000119,20220725
100,1800000339,LF,CUS000019,20250604
100,1800000340,LF,CUS000034,20230908
100,1800000341,LF,CUS000110,20220927
100,1800000342,LF,CUS000131,20240613
100,1800000343,LF,CUS000061,20230910
100,1800000344,LF,CUS000095,20241110
100,1800000345,LF,CUS000145,20231115
100,1800000346,LF,CUS000200,20230118
100,1800000347,LF,CUS000063,20250902
100,1800000348,LF,CUS000105,20231211
100,1800000349,LF,CUS000070,20241115
100,1800000350,LF,CUS000017,20220414
100,1800000351,LF,CUS000106,20250817
100,1800000352,LF,CUS000191,20220716
100,1800000353,LF,CUS000053,20220131
100,1800000354,LF,CUS000013,20231029
100,1800000355,LF,CUS000053,20240719
100,1800000356,LF,CUS000133,20230626
100,1800000357,LF,CUS000031,20251105
100,1800000358,LF,CUS000058,20230107
100,1800000359,LF,CUS000143,20220329
100,1800000360,LF,CUS000156,20230909
100,1800000361,LF,CUS000103,20250128
100,1800000362,LF,CUS000157,20241017
100,1800000363,LF,CUS000082,20250108
100,1800000364,LF,CUS000096,20231210
100,1800000365,LF,CUS000057,20240315
100,1800000366,LF,CUS000144,20220813
100,1800000367,LF,CUS000029,20220607
100,1800000368,LF,CUS000061,20220721
100,1800000369,LF,CUS000194,20221010
100,1800000370,LF,CUS000015,20240509
100,1800000371,LF,CUS000040,20220411
100,1800000372,LF,CUS000037,20241007
100,1800000373,LF,CUS000095,20221219
100,1800000374,LF,CUS000133,20240418
100,1800000375,LF,CUS000098,20240721
100,1800000376,LF,CUS000044,20240502
100,1800000377,LF,CUS000148,20230613
100,1800000378,LF,CUS000035,20220726
100,1800000379,LF,CUS000137,20250802
100,1800000380,LF,CUS000187,20230315
100,1800000381,LF,CUS000176,20230319
100,1800000382,LF,CUS000047,20220930
100,1800000383,LF,CUS000051,20230531
100,1800000384,LF,CUS000153,20250325
100,1800000385,LF,CUS000167,20241230
100,1800000386,LF,CUS000065,20230531
100,1800000387,LF,CUS000142,20240506
100,1800000388,LF,CUS000088,20220818
100,1800000389,LF,CUS000112,20250307
100,1800000390,LF,CUS000053,20220314
100,1800000391,LF,CUS000112,20230610
100,1800000392,LF,CUS000197,20250130
100,1800000393,LF,CUS000176,20240622
100,1800000394,LF,CUS000056,20221110
100,1800000395,LF,CUS000030,20250319
100,1800000396,LF,CUS000114,20220704
100,1800000397,LF,CUS000049,20230118
100,1800000398,LF,CUS000149,20240316
100,1800000399,LF,CUS000102,20250810
100,1800000400,LF,CUS000185,20230602
100,1800000401,LF,CUS000195,20250404
100,1800000402,LF,CUS000067,20221016
100,1800000403,LF,CUS000092,20230530
100,1800000404,LF,CUS000127,20230916
100,1800000405,LF,CUS000146,20220303
100,1800000406,LF,CUS000103,20220116
100,1800000407,LF,CUS000109,20250125
100,1800000408,LF,CUS000200,20251112
100,1800000409,LF,CUS000054,20240402
100,1800000410,LF,CUS000147,20250907
100,1800000411,LF,CUS000084,20220426
100,1800000412,LF,CUS000104,20230625
100,1800000413,LF,CUS000018,20250615
100,1800000414,LF,CUS000028,20220213
100,1800000415,LF,CUS000035,20240708
100,1800000416,LF,CUS000093,20230607
100,1800000417,LF,CUS000113,20240715
100,1800000418,LF,CUS000185,20231109
100,1800000419,LF,CUS000122,20240627
100,1800000420,LF,CUS000017,20251122
100,1800000421,LF,CUS000167,20250224
100,1800000422,LF,CUS000132,20241201
100,1800000423,LF,CUS000009,20220729
100,1800000424,LF,CUS000001,20230807
100,1800000425,LF,CUS000143,20240611
100,1800000426,LF,CUS000180,20240604
100,1800000427,LF,CUS000125,20240807
100,1800000428,LF,CUS000042,20230109
100,1800000429,LF,CUS000069,20240201
100,1800000430,LF,CUS000055,20221230
100,1800000431,LF,CUS000119,20220317
100,1800000432,LF,CUS000023,20250905
100,1800000433,LF,CUS000138,20231007
100,1800000434,LF,CUS000057,20240415
100,1800000435,LF,CUS000077,20230611
100,1800000436,LF,CUS000025,20240319
100,1800000437,LF,CUS000092,20250314
100,1800000438,LF,CUS000173,20250429
100,1800000439,LF,CUS000072,20220120
100,1800000440,LF,CUS000092,20250130
100,1800000441,LF,CUS000147,20240402
100,1800000442,LF,CUS000146,20230207
100,1800000443,LF,CUS000016,20250412
100,1800000444,LF,CUS000039,20220206
100,1800000445,LF,CUS000060,20220410
100,1800000446,LF,CUS000134,20220922
100,1800000447,LF,CUS000133,20250221
100,1800000448,LF,CUS000141,20220522
100,1800000449,LF,CUS000192,20221004
100,1800000450,LF,CUS000129,20221008
100,1800000451,LF,CUS000041,20220407
100,1800000452,LF,CUS000101,20240516
100,1800000453,LF,CUS000107,20250318
100,1800000454,LF,CUS000011,20250803
100,1800000455,LF,CUS000057,20230701
100,1800000456,LF,CUS000177,20220327
100,1800000457,LF,CUS000085,20241024
100,1800000458,LF,CUS000072,20230306
100,1800000459,LF,CUS000079,20250704
100,1800000460,LF,CUS000071,20240726
100,1800000461,LF,CUS000190,20230803
100,1800000462,LF,CUS000072,20220826
100,1800000463,LF,CUS000196,20230402
100,1800000464,LF,CUS000154,20220309
100,1800000465,LF,CUS000122,20240124
100,1800000466,LF,CUS000010,20240227
100,1800000467,LF,CUS000005,20241110
100,1800000468,LF,CUS000057,20220609
100,1800000469,LF,CUS000019,20230709
100,1800000470,LF,CUS000152,20240212
100,1800000471,LF,CUS000019,20230321
100,1800000472,LF,CUS000118,20220313
100,1800000473,LF,CUS000116,20250505
100,1800000474,LF,CUS000146,20250302
100,1800000475,LF,CUS000181,20230519
100,1800000476,LF,CUS000027,20221122
100,1800000477,LF,CUS000028,20240101
100,1800000478,LF,CUS000153,20251231
100,1800000479,LF,CUS000077,20250215
100,1800000480,LF,CUS000170,20230425
100,1800000481,LF,CUS000098,20230802
100,1800000482,LF,CUS000072,20250608
100,1800000483,LF,CUS000053,20230326
100,1800000484,LF,CUS000125,20230623
100,1800000485,LF,CUS000190,20250415
100,1800000486,LF,CUS000040,20240624
100,1800000487,LF,CUS000026,20230124
100,1800000488,LF,CUS000107,20250214
100,1800000489,LF,CUS000064,20230614
100,1800000490,LF,CUS000190,20230206
100,1800000491,LF,CUS000197,20240217
100,1800000492,LF,CUS000107,20231024
100,1800000493,LF,CUS000155,20221029
100,1800000494,LF,CUS000056,20240425
100,1800000495,LF,CUS000185,20251010
100,1800000496,LF,CUS000046,20220625
100,1800000497,LF,CUS000011,20220107
100,1800000498,LF,CUS000029,20230118
100,1800000499,LF,CUS000195,20221121
100,1800000500,LF,CUS000105,20240523
100,1800000501,LF,CUS000102,20250127
100,1800000502,LF,CUS000141,20230501
100,1800000503,LF,CUS000157,20241026
100,1800000504,LF,CUS000090,20230416
100,1800000505,LF,CUS000114,20250610
100,1800000506,LF,CUS000084,20231207
100,1800000507,LF,CUS000078,20250502
100,1800000508,LF,CUS000079,20240807
100,1800000509,LF,CUS000028,20250106
100,1800000510,LF,CUS000171,20230205
100,1800000511,LF,CUS000092,20250508
100,1800000512,LF,CUS000029,20220314
100,1800000513,LF,CUS000074,20250122
100,1800000514,LF,CUS000001,20220506
100,1800000515,LF,CUS000084,20250214
100,1800000516,LF,CUS000129,20220901
100,1800000517,LF,CUS000196,20230429
100,1800000518,LF,CUS000052,20240801
100,1800000519,LF,CUS000112,20250219
100,1800000520,LF,CUS000187,20231109
100,1800000521,LF,CUS000123,20231201
100,1800000522,LF,CUS000071,20240323
100,1800000523,LF,CUS000128,20240602
100,1800000524,LF,CUS000003,20250331
100,1800000525,LF,CUS000032,20220912
100,1800000526,LF,CUS000011,20220916
100,1800000527,LF,CUS000090,20251119
100,1800000528,LF,CUS000064,20250930
100,1800000529,LF,CUS000097,20250827
100,1800000530,LF,CUS000138,20231129
100,1800000531,LF,CUS000152,20230428
100,1800000532,LF,CUS000117,20241116
100,1800000533,LF,CUS000052,20220317
100,1800000534,LF,CUS000195,20230818
100,1800000535,LF,CUS000035,20240327
100,1800000536,LF,CUS000006,20220530
100,1800000537,LF,CUS000127,20220617
100,1800000538,LF,CUS000107,20240322
100,1800000539,LF,CUS000182,20231012
100,1800000540,LF,CUS000004,20240405
100,1800000541,LF,CUS000150,20220207
100,1800000542,LF,CUS000077,20250521
100,1800000543,LF,CUS000074,20251223
100,1800000544,LF,CUS000143,20250910
100,1800000545,LF,CUS000048,20240617
100,1800000546,LF,CUS000004,20221112
100,1800000547,LF,CUS000001,20220113
100,1800000548,LF,CUS000036,20230430
100,1800000549,LF,CUS000132,20250504
100,1800000550,LF,CUS000115,20220308
100,1800000551,LF,CUS000185,20250825
100,1800000552,LF,CUS000115,20241129
100,1800000553,LF,CUS000023,20230903
100,1800000554,LF,CUS000161,20220605
100,1800000555,LF,CUS000016,20220308
100,1800000556,LF,CUS000052,20221230
100,1800000557,LF,CUS000128,20240202
100,1800000558,LF,CUS000116,20240325
100,1800000559,LF,CUS000033,20221103
100,1800000560,LF,CUS000189,20250603
100,1800000561,LF,CUS000060,20240607
100,1800000562,LF,CUS000089,20220218
100,1800000563,LF,CUS000016,20221213
100,1800000564,LF,CUS000073,20250824
100,1800000565,LF,CUS000120,20230418
100,1800000566,LF,CUS000052,20220927
100,1800000567,LF,CUS000120,20231224
100,1800000568,LF,CUS000112,20220521
100,1800000569,LF,CUS000055,20230808
100,1800000570,LF,CUS000122,20240215
100,1800000571,LF,CUS000109,20250415
100,1800000572,LF,CUS000059,20221209
100,1800000573,LF,CUS000068,20240307
100,1800000574,LF,CUS000099,20230117
100,1800000575,LF,CUS000143,20230124
100,1800000576,LF,CUS000122,20240403
100,1800000577,LF,CUS000152,20240320
100,1800000578,LF,CUS000192,20240413
100,1800000579,LF,CUS000148,20240409
100,1800000580,LF,CUS000109,20220513
100,1800000581,LF,CUS000051,20250421
100,1800000582,LF,CUS000057,20250124
100,1800000583,LF,CUS000043,20240722
100,1800000584,LF,CUS000058,20250415
100,1800000585,LF,CUS000018,20240117
100,1800000586,LF,CUS000085,20230813
100,1800000587,LF,CUS000145,20231223
100,1800000588,LF,CUS000124,20220606
100,1800000589,LF,CUS000047,20221001
100,1800000590,LF,CUS000037,20220807
100,1800000591,LF,CUS000185,20230313
100,1800000592,LF,CUS000182,20230501
100,1800000593,LF,CUS000075,20251007
100,1800000594,LF,CUS000003,20240101
100,1800000595,LF,CUS000147,20250325
100,1800000596,LF,CUS000035,20220330
100,1800000597,LF,CUS000189,20220420
100,1800000598,LF,CUS000072,20240406
100,1800000599,LF,CUS000024,20240523
100,1800000600,LF,CUS000036,20230912
100,1800000601,LF,CUS000113,20250208
100,1800000602,LF,CUS000074,20221226
100,1800000603,LF,CUS000087,20250506
100,1800000604,LF,CUS000137,20240912
100,1800000605,LF,CUS000134,20241102
100,1800000606,LF,CUS000142,20240417
100,1800000607,LF,CUS000111,20241110
100,1800000608,LF,CUS000103,20240915
100,1800000609,LF,CUS000117,20251125
100,1800000610,LF,CUS000105,20220316
100,1800000611,LF,CUS000108,20250617
100,1800000612,LF,CUS000132,20250307
100,1800000613,LF,CUS000136,20250822
100,1800000614,LF,CUS000132,20220313
100,1800000615,LF,CUS000087,20250409
100,1800000616,LF,CUS000134,20231129
100,1800000617,LF,CUS000116,20250321
100,1800000618,LF,CUS000066,20240526
100,1800000619,LF,CUS000116,20250319
100,1800000620,LF,CUS000003,20221002
100,1800000621,LF,CUS000064,20250129
100,1800000622,LF,CUS000013,20221229
100,1800000623,LF,CUS000077,20230825
100,1800000624,LF,CUS000008,20230427
100,1800000625,LF,CUS000115,20220120
100,1800000626,LF,CUS000004,20220724
100,1800000627,LF,CUS000108,20230414
100,1800000628,LF,CUS000185,20250511
100,1800000629,LF,CUS000080,20230827
100,1800000630,LF,CUS000121,20251129
100,1800000631,LF,CUS000091,20230716
100,1800000632,LF,CUS000184,20230713
100,1800000633,LF,CUS000175,20220224
100,1800000634,LF,CUS000101,20221119
100,1800000635,LF,CUS000120,20250531
100,1800000636,LF,CUS000180,20250520
100,1800000637,LF,CUS000104,20250908
100,1800000638,LF,CUS000190,20220613
100,1800000639,LF,CUS000003,20240611
100,1800000640,LF,CUS000190,20220514
100,1800000641,LF,CUS000101,20230131
100,1800000642,LF,CUS000170,20230909
100,1800000643,LF,CUS000144,20250724
100,1800000644,LF,CUS000102,20231121
100,1800000645,LF,CUS000051,20240216
100,1800000646,LF,CUS000015,20230705
100,1800000647,LF,CUS000149,20240417
100,1800000648,LF,CUS000176,20240210
100,1800000649,LF,CUS000111,20240122
100,1800000650,LF,CUS000083,20221011
100,1800000651,LF,CUS000087,20250103
100,1800000652,LF,CUS000156,20221107
100,1800000653,LF,CUS000015,20240309
100,1800000654,LF,CUS000103,20240402
100,1800000655,LF,CUS000195,20240903
100,1800000656,LF,CUS000092,20250921
100,1800000657,LF,CUS000066,20220615
100,1800000658,LF,CUS000074,20250629
100,1800000659,LF,CUS000179,20241109
100,1800000660,LF,CUS000020,20251206
100,1800000661,LF,CUS000034,20240407
100,1800000662,LF,CUS000128,20231122
100,1800000663,LF,CUS000019,20240105
100,1800000664,LF,CUS000136,20230219
100,1800000665,LF,CUS000054,20220817
100,1800000666,LF,CUS000083,20250327
100,1800000667,LF,CUS000167,20221105
100,1800000668,LF,CUS000132,20220527
100,1800000669,LF,CUS000118,20221217
100,1800000670,LF,CUS000096,20220707
100,1800000671,LF,CUS000182,20220324
100,1800000672,LF,CUS000150,20240106
100,1800000673,LF,CUS000100,20250713
100,1800000674,LF,CUS000005,20221126
100,1800000675,LF,CUS000131,20220731
100,1800000676,LF,CUS000131,20251226
100,1800000677,LF,CUS000197,20220731
100,1800000678,LF,CUS000009,20251029
100,1800000679,LF,CUS000017,20231002
100,1800000680,LF,CUS000155,20250105
100,1800000681,LF,CUS000164,20230501
100,1800000682,LF,CUS000059,20220805
100,1800000683,LF,CUS000109,20221111
100,1800000684,LF,CUS000054,20220603
100,1800000685,LF,CUS000118,20220513
100,1800000686,LF,CUS000150,20250311
100,1800000687,LF,CUS000017,20231214
100,1800000688,LF,CUS000176,20240215
100,1800000689,LF,CUS000075,20220126
100,1800000690,LF,CUS000136,20251210
100,1800000691,LF,CUS000109,20231029
100,1800000692,LF,CUS000004,20230210
100,1800000693,LF,CUS000037,20241209
100,1800000694,LF,CUS000046,20251003
100,1800000695,LF,CUS000137,20230619
100,1800000696,LF,CUS000086,20230807
100,1800000697,LF,CUS000068,20230102
100,1800000698,LF,CUS000104,20240104
