MANDT,BUKRS,KUNNR,UMSKS,BUDAT,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000408,,20240101,2023,0010000072,3137.42,EUR
100,2000,0000000269,,20221227,2024,0010000073,3439.65,EUR
100,1000,0000000452,,20220219,2023,0010000074,2698.01,EUR
100,2000,0000000277,,20240301,2024,0010000075,1838.56,EUR
100,1000,0000000215,,20230223,2023,0010000076,4826.1,EUR
100,2000,0000000125,,20230709,2024,0010000077,2898.09,EUR
100,1000,0000000118,,20240329,2023,0010000078,2905.91,EUR
100,2000,0000000453,,20220618,2024,0010000079,1647.03,EUR
100,1000,0000000241,,20240817,2023,0010000080,4095.88,EUR
100,2000,0000000142,,20220406,2024,0010000081,1121.0,EUR
100,1000,0000000471,,20230727,2023,0010000082,387.52,EUR
100,2000,0000000344,,20220502,2024,0010000083,2017.0,EUR
100,1000,0000000046,,20220429,2023,0010000084,4634.45,EUR
100,2000,0000000317,,20230101,2024,0010000085,2450.34,EUR
100,1000,0000000088,,20231003,2023,0010000086,3055.06,EUR
100,2000,0000000095,,20230709,2024,0010000087,492.29,EUR
100,1000,0000000283,,20220823,2023,0010000088,307.72,EUR
100,2000,0000000318,,20230228,2024,0010000089,295.47,EUR
100,1000,0000000137,,20230903,2023,0010000090,3400.61,EUR
100,2000,0000000280,,20220826,2024,0010000091,773.54,EUR
100,1000,0000000063,,20241102,2023,0010000092,3041.53,EUR
100,2000,0000000096,,20230622,2024,0010000093,643.88,EUR
100,1000,0000000109,,20230530,2023,0010000094,4441.43,EUR
100,2000,0000000257,,20220913,2024,0010000095,1019.32,EUR
100,1000,0000000402,,20220212,2023,0010000096,3834.94,EUR
100,2000,0000000148,,20240331,2024,0010000097,2989.6,EUR
100,1000,0000000058,,20230416,2023,0010000098,464.96,EUR
100,2000,0000000438,,20220421,2024,0010000099,1870.1,EUR
100,1000,0000000316,,20231222,2023,0010000100,4734.03,EUR
100,2000,0000000248,,20240604,2024,0010000101,2877.91,EUR
100,1000,0000000188,,20241110,2023,0010000102,1973.56,EUR
100,2000,0000000035,,20220123,2024,0010000103,506.51,EUR
100,1000,0000000415,,20220604,2023,0010000104,4033.73,EUR
100,2000,0000000276,,20230707,2024,0010000105,2531.12,EUR
100,1000,0000000130,,20230201,2023,0010000106,1211.38,EUR
100,2000,0000000244,,20220828,2024,0010000107,900.02,EUR
100,1000,0000000007,,20231027,2023,0010000108,2741.87,EUR
100,2000,0000000440,,20230309,2024,0010000109,2315.62,EUR
100,1000,0000000272,,20220119,2023,0010000110,2051.75,EUR
100,2000,0000000180,,20240804,2024,0010000111,2098.93,EUR
100,1000,0000000118,,20220214,2023,0010000112,1763.54,EUR
100,2000,0000000237,,20220117,2024,0010000113,523.57,EUR
100,1000,0000000173,,20240911,2023,0010000114,2793.21,EUR
100,2000,0000000368,,20240103,2024,0010000115,4290.3,EUR
100,1000,0000000209,,20230727,2023,0010000116,3809.96,EUR
100,2000,0000000219,,20241220,2024,0010000117,348.19,EUR
100,1000,0000000473,,20241128,2023,0010000118,4198.05,EUR
100,2000,0000000086,,20230514,2024,0010000119,1951.15,EUR
100,1000,0000000041,,20230202,2023,0010000120,4679.71,EUR
100,2000,0000000099,,20241009,2024,0010000121,868.34,EUR
100,1000,0000000356,,20240701,2023,0010000122,1943.93,EUR
100,2000,0000000498,,20240424,2024,0010000123,4610.92,EUR
100,1000,0000000492,,20221118,2023,0010000124,967.32,EUR
100,2000,0000000187,,20231101,2024,0010000125,3057.23,EUR
100,1000,0000000316,,20230406,2023,0010000126,1571.32,EUR
100,2000,0000000309,,20240709,2024,0010000127,3816.1,EUR
100,1000,0000000220,,20220107,2023,0010000128,3850.32,EUR
100,2000,0000000004,,20240102,2024,0010000129,3401.55,EUR
100,1000,0000000096,,20230108,2023,0010000130,3834.38,EUR
100,2000,0000000427,,20240203,2024,0010000131,676.88,EUR
100,1000,0000000144,,20220805,2023,0010000132,4818.64,EUR
100,2000,0000000189,,20240511,2024,0010000133,966.19,EUR
100,1000,0000000057,,20231102,2023,0010000134,1844.48,EUR
100,2000,0000000318,,20220510,2024,0010000135,886.32,EUR
100,1000,0000000433,,20230122,2023,0010000136,1782.93,EUR
100,2000,0000000340,,20240205,2024,0010000137,4494.39,EUR
100,1000,0000000313,,20241114,2023,0010000138,4072.79,EUR
100,2000,0000000470,,20230527,2024,0010000139,2956.69,EUR
100,1000,0000000446,,20240124,2023,0010000140,2458.92,EUR
100,2000,0000000065,,20230821,2024,0010000141,760.12,EUR
100,1000,0000000127,,20220715,2023,0010000142,2041.51,EUR
100,2000,0000000236,,20241024,2024,0010000143,327.56,EUR
100,1000,0000000251,,20230215,2023,0010000144,1378.11,EUR
100,2000,0000000231,,20241010,2024,0010000145,4348.71,EUR
100,1000,0000000479,,20230210,2023,0010000146,4634.64,EUR
100,2000,0000000348,,20240702,2024,0010000147,3890.6,EUR
100,1000,0000000121,,20220216,2023,0010000148,1916.13,EUR
100,2000,0000000226,,20241102,2024,0010000149,1305.36,EUR
100,1000,0000000232,,20240806,2023,0010000150,1230.24,EUR
100,2000,0000000121,,20230904,2024,0010000151,2337.14,EUR
100,1000,0000000449,,20240226,2023,0010000152,1180.82,EUR
100,2000,0000000068,,20221122,2024,0010000153,4930.17,EUR
100,1000,0000000020,,20230621,2023,0010000154,360.67,EUR
100,2000,0000000226,,20230913,2024,0010000155,2130.26,EUR
100,1000,0000000126,,20230806,2023,0010000156,4570.32,EUR
100,2000,0000000050,,20230725,2024,0010000157,2356.63,EUR
100,1000,0000000135,,20230218,2023,0010000158,3081.06,EUR
100,2000,0000000468,,20220808,2024,0010000159,2846.1,EUR
100,1000,0000000472,,20230909,2023,0010000160,1879.12,EUR
100,2000,0000000470,,20241125,2024,0010000161,2883.08,EUR
100,1000,0000000321,,20221022,2023,0010000162,4276.87,EUR
100,2000,0000000409,,20240411,2024,0010000163,4139.98,EUR
100,1000,0000000220,,20240418,2023,0010000164,4688.67,EUR
100,2000,0000000037,,20241201,2024,0010000165,783.21,EUR
100,1000,0000000484,,20221004,2023,0010000166,2413.12,EUR
100,2000,0000000274,,20230903,2024,0010000167,2498.89,EUR
100,1000,0000000003,,20230305,2023,0010000168,4176.4,EUR
100,2000,0000000394,,20221010,2024,0010000169,649.29,EUR
100,1000,0000000462,,20230930,2023,0010000170,1095.58,EUR
100,2000,0000000292,,20230411,2024,0010000171,2171.45,EUR
100,1000,0000000485,,20220221,2023,0010000172,2080.98,EUR
100,2000,0000000491,,20240616,2024,0010000173,3089.69,EUR
100,1000,0000000031,,20230328,2023,0010000174,1975.77,EUR
100,2000,0000000473,,20241117,2024,0010000175,1487.12,EUR
100,1000,0000000166,,20230921,2023,0010000176,4321.22,EUR
100,2000,0000000451,,20220512,2024,0010000177,1230.65,EUR
100,1000,0000000412,,20220507,2023,0010000178,728.32,EUR
100,2000,0000000313,,20230430,2024,0010000179,3444.22,EUR
100,1000,0000000316,,20220801,2023,0010000180,361.85,EUR
100,2000,0000000186,,20220113,2024,0010000181,219.79,EUR
100,1000,0000000460,,20240318,2023,0010000182,2955.77,EUR
100,2000,0000000490,,20220112,2024,0010000183,850.47,EUR
100,1000,0000000438,,20221028,2023,0010000184,3039.0,EUR
100,2000,0000000422,,20240410,2024,0010000185,3702.42,EUR
100,1000,0000000109,,20221224,2023,0010000186,3927.7,EUR
100,2000,0000000161,,20241030,2024,0010000187,2004.2,EUR
100,1000,0000000298,,20230312,2023,0010000188,995.3,EUR
100,2000,0000000015,,20241102,2024,0010000189,2396.86,EUR
100,1000,0000000273,,20240524,2023,0010000190,4204.36,EUR
100,2000,0000000364,,20230222,2024,0010000191,3445.51,EUR
100,1000,0000000190,,20240619,2023,0010000192,3500.04,EUR
100,2000,0000000260,,20231120,2024,0010000193,1843.91,EUR
100,1000,0000000486,,20231128,2023,0010000194,2955.63,EUR
100,2000,0000000482,,20231019,2024,0010000195,1451.5,EUR
100,1000,0000000251,,20240830,2023,0010000196,4956.54,EUR
100,2000,0000000279,,20230526,2024,0010000197,2729.83,EUR
100,1000,0000000292,,20220115,2023,0010000198,3854.28,EUR
100,2000,0000000048,,20241226,2024,0010000199,1582.71,EUR
100,1000,0000000330,,20220903,2023,0010000200,1934.46,EUR
100,2000,0000000422,,20230912,2024,0010000201,1908.53,EUR
100,1000,0000000401,,20240316,2023,0010000202,1407.82,EUR
100,2000,0000000045,,20220606,2024,0010000203,228.07,EUR
100,1000,0000000187,,20221022,2023,0010000204,3889.39,EUR
100,2000,0000000457,,20240303,2024,0010000205,1120.14,EUR
100,1000,0000000241,,20230618,2023,0010000206,3546.82,EUR
100,2000,0000000438,,20241104,2024,0010000207,2682.77,EUR
100,1000,0000000280,,20221126,2023,0010000208,3164.42,EUR
100,2000,0000000001,,20220112,2024,0010000209,4580.96,EUR
100,1000,0000000255,,20241107,2023,0010000210,3095.27,EUR
100,2000,0000000338,,20230127,2024,0010000211,1576.41,EUR
100,1000,0000000291,,20220202,2023,0010000212,1906.65,EUR
100,2000,0000000321,,20240707,2024,0010000213,4609.25,EUR
100,1000,0000000378,,20230901,2023,0010000214,2809.69,EUR
100,2000,0000000243,,20220626,2024,0010000215,4279.02,EUR
100,1000,0000000486,,20241110,2023,0010000216,4470.83,EUR
100,2000,0000000329,,20230526,2024,0010000217,2857.39,EUR
100,1000,0000000134,,20240908,2023,0010000218,3286.92,EUR
100,2000,0000000483,,20230713,2024,0010000219,1184.69,EUR
100,1000,0000000302,,20240329,2023,0010000220,4692.57,EUR
100,2000,0000000206,,20220806,2024,0010000221,690.94,EUR
100,1000,0000000394,,20231110,2023,0010000222,2361.55,EUR
100,2000,0000000136,,20230716,2024,0010000223,4435.09,EUR
100,1000,0000000093,,20240421,2023,0010000224,473.5,EUR
100,2000,0000000250,,20240510,2024,0010000225,505.49,EUR
100,1000,0000000144,,20220724,2023,0010000226,4956.2,EUR
100,2000,0000000425,,20240618,2024,0010000227,637.3,EUR
100,1000,0000000479,,20220114,2023,0010000228,4950.55,EUR
100,2000,0000000405,,20240719,2024,0010000229,1291.98,EUR
100,1000,0000000064,,20241103,2023,0010000230,3536.35,EUR
100,2000,0000000367,,20241215,2024,0010000231,4221.47,EUR
100,1000,0000000332,,20230412,2023,0010000232,4875.86,EUR
100,2000,0000000240,,20240328,2024,0010000233,2085.58,EUR
100,1000,0000000161,,20230807,2023,0010000234,4047.36,EUR
100,2000,0000000139,,20230419,2024,0010000235,4228.19,EUR
100,1000,0000000095,,20220903,2023,0010000236,3332.62,EUR
100,2000,0000000355,,20230302,2024,0010000237,2971.81,EUR
100,1000,0000000019,,20220522,2023,0010000238,3313.1,EUR
100,2000,0000000373,,20220328,2024,0010000239,1765.18,EUR
100,1000,0000000144,,20230516,2023,0010000240,4350.03,EUR
100,2000,0000000290,,20230406,2024,0010000241,2008.41,EUR
100,1000,0000000360,,20231215,2023,0010000242,3636.89,EUR
100,2000,0000000108,,20240115,2024,0010000243,2409.81,EUR
100,1000,0000000133,,20240802,2023,0010000244,4719.51,EUR
100,2000,0000000321,,20230716,2024,0010000245,1879.41,EUR
100,1000,0000000081,,20240712,2023,0010000246,1995.26,EUR
100,2000,0000000318,,20240330,2024,0010000247,1331.06,EUR
100,1000,0000000005,,20240625,2023,0010000248,4414.28,EUR
100,2000,0000000326,,20230909,2024,0010000249,1736.54,EUR
100,1000,0000000384,,20230802,2023,0010000250,1694.62,EUR
100,2000,0000000433,,20230505,2024,0010000251,1636.23,EUR
100,1000,0000000390,,20230714,2023,0010000252,4618.03,EUR
100,2000,0000000008,,20220208,2024,0010000253,565.37,EUR
100,1000,0000000082,,20220908,2023,0010000254,2628.52,EUR
100,2000,0000000380,,20220307,2024,0010000255,4014.25,EUR
100,1000,0000000497,,20220528,2023,0010000256,503.72,EUR
100,2000,0000000242,,20231203,2024,0010000257,1729.41,EUR
100,1000,0000000389,,20220516,2023,0010000258,3305.78,EUR
100,2000,0000000309,,20241225,2024,0010000259,140.37,EUR
100,1000,0000000149,,20220327,2023,0010000260,2177.75,EUR
100,2000,0000000349,,20230805,2024,0010000261,1598.76,EUR
100,1000,0000000406,,20230725,2023,0010000262,4856.23,EUR
100,2000,0000000075,,20230517,2024,0010000263,924.49,EUR
100,1000,0000000182,,20240310,2023,0010000264,1139.24,EUR
100,2000,0000000139,,20230821,2024,0010000265,3652.85,EUR
100,1000,0000000464,,20241022,2023,0010000266,2687.19,EUR
100,2000,0000000133,,20221014,2024,0010000267,4602.03,EUR
100,1000,0000000004,,20231202,2023,0010000268,1682.1,EUR
100,2000,0000000039,,20230627,2024,0010000269,856.25,EUR
100,1000,0000000369,,20240516,2023,0010000270,1792.27,EUR
100,2000,0000000191,,20230301,2024,0010000271,746.4,EUR
100,1000,0000000295,,20220325,2023,0010000272,2550.74,EUR
100,2000,0000000117,,20220721,2024,0010000273,2061.47,EUR
100,1000,0000000353,,20220712,2023,0010000274,3484.68,EUR
100,2000,0000000273,,20230808,2024,0010000275,4999.5,EUR
100,1000,0000000301,,20230305,2023,0010000276,4493.29,EUR
100,2000,0000000391,,20220916,2024,0010000277,4900.72,EUR
100,1000,0000000478,,20220223,2023,0010000278,2385.01,EUR
100,2000,0000000112,,20240611,2024,0010000279,3496.04,EUR
100,1000,0000000425,,20231209,2023,0010000280,3300.39,EUR
100,2000,0000000118,,20221001,2024,0010000281,3207.73,EUR
100,1000,0000000244,,20220918,2023,0010000282,4055.25,EUR
100,2000,0000000295,,20241014,2024,0010000283,2137.79,EUR
100,1000,0000000377,,20241021,2023,0010000284,1447.65,EUR
100,2000,0000000041,,20240721,2024,0010000285,930.98,EUR
100,1000,0000000492,,20240621,2023,0010000286,1452.42,EUR
100,2000,0000000099,,20230923,2024,0010000287,144.23,EUR
100,1000,0000000136,,20231130,2023,0010000288,2919.08,EUR
100,2000,0000000393,,20230730,2024,0010000289,107.68,EUR
100,1000,0000000063,,20240420,2023,0010000290,620.06,EUR
100,2000,0000000282,,20230220,2024,0010000291,2733.22,EUR
100,1000,0000000495,,20220329,2023,0010000292,856.46,EUR
100,2000,0000000498,,20241205,2024,0010000293,1104.33,EUR
100,1000,0000000080,,20220612,2023,0010000294,2113.47,EUR
100,2000,0000000178,,20240918,2024,0010000295,1320.59,EUR
100,1000,0000000290,,20220520,2023,0010000296,3263.52,EUR
100,2000,0000000036,,20220116,2024,0010000297,4363.7,EUR
100,1000,0000000270,,20220218,2023,0010000298,1297.64,EUR
100,2000,0000000257,,20241027,2024,0010000299,4018.56,EUR
100,1000,0000000453,,20220204,2023,0010000300,4567.67,EUR
100,2000,0000000011,,20240521,2024,0010000301,4004.46,EUR
100,1000,0000000044,,20230609,2023,0010000302,2372.59,EUR
100,2000,0000000452,,20220119,2024,0010000303,4892.35,EUR
100,1000,0000000265,,20221119,2023,0010000304,552.59,EUR
100,2000,0000000149,,20221230,2024,0010000305,805.77,EUR
100,1000,0000000227,,20241106,2023,0010000306,4424.78,EUR
100,2000,0000000133,,20220602,2024,0010000307,4061.61,EUR
100,1000,0000000271,,20231223,2023,0010000308,440.29,EUR
100,2000,0000000412,,20230202,2024,0010000309,2292.83,EUR
100,1000,0000000005,,20220204,2023,0010000310,430.3,EUR
100,2000,0000000130,,20221009,2024,0010000311,1426.78,EUR
100,1000,0000000039,,20220428,2023,0010000312,4696.9,EUR
100,2000,0000000241,,20221008,2024,0010000313,4215.71,EUR
100,1000,0000000270,,20230305,2023,0010000314,1995.5,EUR
100,2000,0000000006,,20220825,2024,0010000315,3405.85,EUR
100,1000,0000000278,,20240721,2023,0010000316,1620.14,EUR
100,2000,0000000466,,20230320,2024,0010000317,4074.14,EUR
100,1000,0000000219,,20221103,2023,0010000318,2268.92,EUR
100,2000,0000000235,,20240403,2024,0010000319,2971.7,EUR
100,1000,0000000341,,20230706,2023,0010000320,162.0,EUR
100,2000,0000000274,,20221205,2024,0010000321,4053.01,EUR
100,1000,0000000064,,20240506,2023,0010000322,1518.29,EUR
100,2000,0000000047,,20240811,2024,0010000323,1592.16,EUR
100,1000,0000000292,,20230421,2023,0010000324,2317.41,EUR
100,2000,0000000057,,20220607,2024,0010000325,4700.14,EUR
100,1000,0000000117,,20240314,2023,0010000326,4951.68,EUR
100,2000,0000000098,,20220731,2024,0010000327,442.44,EUR
100,1000,0000000288,,20230221,2023,0010000328,3578.88,EUR
100,2000,0000000058,,20240806,2024,0010000329,410.48,EUR
100,1000,0000000147,,20240926,2023,0010000330,4150.5,EUR
100,2000,0000000091,,20231230,2024,0010000331,2888.78,EUR
100,1000,0000000313,,20240502,2023,0010000332,1121.52,EUR
100,2000,0000000312,,20231217,2024,0010000333,504.37,EUR
100,1000,0000000006,,20230425,2023,0010000334,1016.13,EUR
100,2000,0000000069,,20240104,2024,0010000335,4524.42,EUR
100,1000,0000000400,,20230712,2023,0010000336,2205.23,EUR
100,2000,0000000260,,20220807,2024,0010000337,3256.86,EUR
100,1000,0000000011,,20220204,2023,0010000338,912.57,EUR
100,2000,0000000335,,20240111,2024,0010000339,4845.45,EUR
100,1000,0000000037,,20220619,2023,0010000340,3767.76,EUR
100,2000,0000000431,,20221030,2024,0010000341,2469.24,EUR
100,1000,0000000259,,20241113,2023,0010000342,3126.03,EUR
100,2000,0000000439,,20221222,2024,0010000343,2348.27,EUR
100,1000,0000000398,,20240510,2023,0010000344,3713.44,EUR
100,2000,0000000491,,20220203,2024,0010000345,4513.59,EUR
100,1000,0000000105,,20231002,2023,0010000346,4645.5,EUR
100,2000,0000000415,,20240322,2024,0010000347,825.76,EUR
100,1000,0000000252,,20230816,2023,0010000348,4907.18,EUR
100,2000,0000000321,,20220116,2024,0010000349,3036.5,EUR
100,1000,0000000336,,20230628,2023,0010000350,578.59,EUR
100,2000,0000000048,,20240617,2024,0010000351,2129.95,EUR
100,1000,0000000371,,20230208,2023,0010000352,892.02,EUR
100,2000,0000000085,,20230524,2024,0010000353,4885.07,EUR
100,1000,0000000179,,20220628,2023,0010000354,678.53,EUR
100,2000,0000000334,,20240627,2024,0010000355,1461.35,EUR
100,1000,0000000288,,20241027,2023,0010000356,942.73,EUR
100,2000,0000000247,,20230413,2024,0010000357,2551.69,EUR
100,1000,0000000461,,20220303,2023,0010000358,3347.77,EUR
100,2000,0000000317,,20240217,2024,0010000359,3771.42,EUR
100,1000,0000000140,,20231214,2023,0010000360,3409.23,EUR
100,2000,0000000009,,20240618,2024,0010000361,4134.92,EUR
100,1000,0000000305,,20230507,2023,0010000362,2451.68,EUR
100,2000,0000000143,,20240827,2024,0010000363,2298.06,EUR
100,1000,0000000488,,20230408,2023,0010000364,4914.28,EUR
100,2000,0000000031,,20220817,2024,0010000365,1325.17,EUR
100,1000,0000000241,,20220821,2023,0010000366,109.53,EUR
100,2000,0000000472,,20240826,2024,0010000367,951.0,EUR
100,1000,0000000318,,20220703,2023,0010000368,3047.35,EUR
100,2000,0000000206,,20240806,2024,0010000369,3460.82,EUR
100,1000,0000000341,,20240511,2023,0010000370,606.11,EUR
100,2000,0000000214,,20240511,2024,0010000371,2355.9,EUR
100,1000,0000000218,,20240504,2023,0010000372,2984.43,EUR
100,2000,0000000245,,20220611,2024,0010000373,4588.98,EUR
100,1000,0000000484,,20240610,2023,0010000374,3930.33,EUR
100,2000,0000000147,,20240205,2024,0010000375,3415.72,EUR
100,1000,0000000486,,20221023,2023,0010000376,3085.32,EUR
100,2000,0000000150,,20230312,2024,0010000377,794.27,EUR
100,1000,0000000291,,20230411,2023,0010000378,1315.29,EUR
100,2000,0000000473,,20240829,2024,0010000379,3444.26,EUR
100,1000,0000000345,,20240731,2023,0010000380,4974.56,EUR
100,2000,0000000032,,20240805,2024,0010000381,4124.03,EUR
100,1000,0000000027,,20230516,2023,0010000382,2548.88,EUR
100,2000,0000000087,,20240516,2024,0010000383,4049.32,EUR
100,1000,0000000124,,20230217,2023,0010000384,393.21,EUR
100,2000,0000000030,,20231223,2024,0010000385,3347.7,EUR
100,1000,0000000223,,20220606,2023,0010000386,1463.72,EUR
100,2000,0000000275,,20220301,2024,0010000387,539.34,EUR
100,1000,0000000363,,20230708,2023,0010000388,1361.08,EUR
100,2000,0000000391,,20220903,2024,0010000389,2320.3,EUR
100,1000,0000000412,,20221201,2023,0010000390,4125.09,EUR
100,2000,0000000491,,20241220,2024,0010000391,960.41,EUR
100,1000,0000000280,,20220308,2023,0010000392,3543.76,EUR
100,2000,0000000352,,20220130,2024,0010000393,3046.69,EUR
100,1000,0000000193,,20220510,2023,0010000394,3713.82,EUR
100,2000,0000000243,,20240725,2024,0010000395,4114.55,EUR
100,1000,0000000453,,20230801,2023,0010000396,4855.1,EUR
100,2000,0000000153,,20220917,2024,0010000397,2494.13,EUR
100,1000,0000000417,,20220628,2023,0010000398,3315.13,EUR
100,2000,0000000430,,20220705,2024,0010000399,2118.06,EUR
100,1000,0000000294,,20220119,2023,0010000400,3986.92,EUR
100,2000,0000000372,,20230621,2024,0010000401,2066.63,EUR
100,1000,0000000043,,20220416,2023,0010000402,3395.46,EUR
100,2000,0000000096,,20240706,2024,0010000403,4431.97,EUR
100,1000,0000000204,,20230923,2023,0010000404,1483.97,EUR
100,2000,0000000313,,20230210,2024,0010000405,1035.93,EUR
100,1000,0000000409,,20220707,2023,0010000406,2450.15,EUR
100,2000,0000000045,,20240621,2024,0010000407,4909.78,EUR
100,1000,0000000174,,20241204,2023,0010000408,1087.29,EUR
100,2000,0000000164,,20230120,2024,0010000409,193.28,EUR
100,1000,0000000140,,20240912,2023,0010000410,2810.69,EUR
100,2000,0000000323,,20241224,2024,0010000411,2008.19,EUR
100,1000,0000000185,,20230704,2023,0010000412,1353.12,EUR
100,2000,0000000118,,20241001,2024,0010000413,1434.51,EUR
100,1000,0000000344,,20231204,2023,0010000414,1662.27,EUR
100,2000,0000000408,,20241113,2024,0010000415,570.64,EUR
100,1000,0000000169,,20220720,2023,0010000416,2259.54,EUR
100,2000,0000000451,,20221008,2024,0010000417,3245.06,EUR
100,1000,0000000410,,20241117,2023,0010000418,4083.05,EUR
100,2000,0000000079,,20221127,2024,0010000419,4984.37,EUR
100,1000,0000000451,,20220419,2023,0010000420,4996.07,EUR
100,2000,0000000070,,20231019,2024,0010000421,1251.11,EUR
100,1000,0000000406,,20240418,2023,0010000422,3030.99,EUR
100,2000,0000000091,,20240714,2024,0010000423,4085.43,EUR
100,1000,0000000377,,20240914,2023,0010000424,1784.55,EUR
100,2000,0000000043,,20221218,2024,0010000425,2737.99,EUR
100,1000,0000000196,,20220427,2023,0010000426,2397.24,EUR
100,2000,0000000378,,20220713,2024,0010000427,1483.62,EUR
100,1000,0000000007,,20230516,2023,0010000428,3423.2,EUR
100,2000,0000000363,,20241008,2024,0010000429,4362.88,EUR
100,1000,0000000270,,20221226,2023,0010000430,4479.83,EUR
100,2000,0000000019,,20231224,2024,0010000431,135.82,EUR
100,1000,0000000189,,20220828,2023,0010000432,649.7,EUR
100,2000,0000000040,,20240419,2024,0010000433,1761.8,EUR
100,1000,0000000196,,20221013,2023,0010000434,2375.44,EUR
100,2000,0000000499,,20240730,2024,0010000435,4803.21,EUR
