MANDT,AGR_NAME,UNAME,FROM_DAT,TO_DAT
100,Z_ROLE_006,USER004,20200101,99991231
100,Z_ROLE_006,USER005,20200101,99991231
100,Z_ROLE_006,USER006,20200101,99991231
100,Z_ROLE_006,USER007,20200101,99991231
100,Z_ROLE_006,USER008,20200101,99991231
100,Z_ROLE_006,USER009,20200101,99991231
100,Z_ROLE_006,USER010,20200101,99991231
100,Z_ROLE_006,USER011,20200101,99991231
100,Z_ROLE_006,USER012,20200101,99991231
100,Z_ROLE_007,USER000,20200101,99991231
100,Z_ROLE_007,USER001,20200101,99991231
100,Z_ROLE_007,USER002,20200101,99991231
100,Z_ROLE_007,USER003,20200101,99991231
100,Z_ROLE_007,USER004,20200101,99991231
100,Z_ROLE_007,USER005,20200101,99991231
100,Z_ROLE_007,USER006,20200101,99991231
100,Z_ROLE_007,USER007,20200101,99991231
100,Z_ROLE_007,USER008,20200101,99991231
100,Z_ROLE_008,USER000,20200101,99991231
100,Z_ROLE_008,USER001,20200101,99991231
100,Z_ROLE_008,USER002,20200101,99991231
100,Z_ROLE_008,USER003,20200101,99991231
100,Z_ROLE_008,USER004,20200101,99991231
100,Z_ROLE_008,USER005,20200101,99991231
100,Z_ROLE_008,USER006,20200101,99991231
100,Z_ROLE_008,USER007,20200101,99991231
100,Z_ROLE_008,USER008,20200101,99991231
100,Z_ROLE_008,USER009,20200101,99991231
100,Z_ROLE_008,USER010,20200101,99991231
100,Z_ROLE_008,USER011,20200101,99991231
100,Z_ROLE_008,USER012,20200101,99991231
100,Z_ROLE_008,USER013,20200101,99991231
100,Z_ROLE_008,USER014,20200101,99991231
100,Z_ROLE_008,USER015,20200101,99991231
100,Z_ROLE_008,USER016,20200101,99991231
100,Z_ROLE_009,USER000,20200101,99991231
100,Z_ROLE_009,USER001,20200101,99991231
100,Z_ROLE_009,USER002,20200101,99991231
100,Z_ROLE_009,USER003,20200101,99991231
100,Z_ROLE_009,USER004,20200101,99991231
100,Z_ROLE_009,USER005,20200101,99991231
100,Z_ROLE_009,USER006,20200101,99991231
100,Z_ROLE_009,USER007,20200101,99991231
100,Z_ROLE_010,USER000,20200101,99991231
100,Z_ROLE_010,USER001,20200101,99991231
100,Z_ROLE_010,USER002,20200101,99991231
100,Z_ROLE_010,USER003,20200101,99991231
100,Z_ROLE_010,USER004,20200101,99991231
100,Z_ROLE_010,USER005,20200101,99991231
100,Z_ROLE_010,USER006,20200101,99991231
100,Z_ROLE_010,USER007,20200101,99991231
100,Z_ROLE_010,USER008,20200101,99991231
100,Z_ROLE_010,USER009,20200101,99991231
100,Z_ROLE_011,USER000,20200101,99991231
100,Z_ROLE_011,USER001,20200101,99991231
100,Z_ROLE_011,USER002,20200101,99991231
100,Z_ROLE_011,USER003,20200101,99991231
100,Z_ROLE_011,USER004,20200101,99991231
100,Z_ROLE_011,USER005,20200101,99991231
100,Z_ROLE_011,USER006,20200101,99991231
100,Z_ROLE_011,USER007,20200101,99991231
100,Z_ROLE_011,USER008,20200101,99991231
100,Z_ROLE_011,USER009,20200101,99991231
100,Z_ROLE_011,USER010,20200101,99991231
100,Z_ROLE_011,USER011,20200101,99991231
100,Z_ROLE_011,USER012,20200101,99991231
100,Z_ROLE_011,USER013,20200101,99991231
100,Z_ROLE_011,USER014,20200101,99991231
100,Z_ROLE_011,USER015,20200101,99991231
100,Z_ROLE_011,USER016,20200101,99991231
100,Z_ROLE_011,USER017,20200101,99991231
100,Z_ROLE_012,USER000,20200101,99991231
100,Z_ROLE_012,USER001,20200101,99991231
100,Z_ROLE_012,USER002,20200101,99991231
100,Z_ROLE_012,USER003,20200101,99991231
100,Z_ROLE_012,USER004,20200101,99991231
100,Z_ROLE_012,USER005,20200101,99991231
100,Z_ROLE_012,USER006,20200101,99991231
100,Z_ROLE_012,USER007,20200101,99991231
100,Z_ROLE_012,USER008,20200101,99991231
100,Z_ROLE_012,USER009,20200101,99991231
100,Z_ROLE_012,USER010,20200101,99991231
100,Z_ROLE_012,USER011,20200101,99991231
100,Z_ROLE_013,USER000,20200101,99991231
100,Z_ROLE_013,USER001,20200101,99991231
100,Z_ROLE_013,USER002,20200101,99991231
100,Z_ROLE_013,USER003,20200101,99991231
100,Z_ROLE_013,USER004,20200101,99991231
100,Z_ROLE_013,USER005,20200101,99991231
100,Z_ROLE_013,USER006,20200101,99991231
100,Z_ROLE_013,USER007,20200101,99991231
100,Z_ROLE_013,USER008,20200101,99991231
100,Z_ROLE_014,USER000,20200101,99991231
100,Z_ROLE_014,USER001,20200101,99991231
100,Z_ROLE_014,USER002,20200101,99991231
100,Z_ROLE_014,USER003,20200101,99991231
100,Z_ROLE_014,USER004,20200101,99991231
100,Z_ROLE_014,USER005,20200101,99991231
100,Z_ROLE_014,USER006,20200101,99991231
100,Z_ROLE_014,USER007,20200101,99991231
100,Z_ROLE_014,USER008,20200101,99991231
100,Z_ROLE_014,USER009,20200101,99991231
100,Z_ROLE_014,USER010,20200101,99991231
100,Z_ROLE_014,USER011,20200101,99991231
100,Z_ROLE_014,USER012,20200101,99991231
100,Z_ROLE_014,USER013,20200101,99991231
100,Z_ROLE_014,USER014,20200101,99991231
100,Z_ROLE_014,USER015,20200101,99991231
100,Z_ROLE_014,USER016,20200101,99991231
100,Z_ROLE_014,USER017,20200101,99991231
100,Z_ROLE_014,USER018,20200101,99991231
100,Z_ROLE_015,USER000,20200101,99991231
100,Z_ROLE_015,USER001,20200101,99991231
100,Z_ROLE_015,USER002,20200101,99991231
100,Z_ROLE_015,USER003,20200101,99991231
100,Z_ROLE_015,USER004,20200101,99991231
100,Z_ROLE_015,USER005,20200101,99991231
100,Z_ROLE_015,USER006,20200101,99991231
100,Z_ROLE_015,USER007,20200101,99991231
100,Z_ROLE_015,USER008,20200101,99991231
100,Z_ROLE_015,USER009,20200101,99991231
100,Z_ROLE_015,USER010,20200101,99991231
100,Z_ROLE_015,USER011,20200101,99991231
100,Z_ROLE_015,USER012,20200101,99991231
100,Z_ROLE_015,USER013,20200101,99991231
100,Z_ROLE_015,USER014,20200101,99991231
100,Z_ROLE_015,USER015,20200101,99991231
100,Z_ROLE_015,USER016,20200101,99991231
100,Z_ROLE_016,USER000,20200101,99991231
100,Z_ROLE_016,USER001,20200101,99991231
100,Z_ROLE_016,USER002,20200101,99991231
100,Z_ROLE_016,USER003,20200101,99991231
100,Z_ROLE_016,USER004,20200101,99991231
100,Z_ROLE_016,USER005,20200101,99991231
100,Z_ROLE_016,USER006,20200101,99991231
100,Z_ROLE_016,USER007,20200101,99991231
100,Z_ROLE_016,USER008,20200101,99991231
100,Z_ROLE_016,USER009,20200101,99991231
100,Z_ROLE_016,USER010,20200101,99991231
100,Z_ROLE_016,USER011,20200101,99991231
100,Z_ROLE_016,USER012,20200101,99991231
100,Z_ROLE_016,USER013,20200101,99991231
100,Z_ROLE_017,USER000,20200101,99991231
100,Z_ROLE_017,USER001,20200101,99991231
100,Z_ROLE_017,USER002,20200101,99991231
100,Z_ROLE_017,USER003,20200101,99991231
100,Z_ROLE_017,USER004,20200101,99991231
100,Z_ROLE_017,USER005,20200101,99991231
100,Z_ROLE_017,USER006,20200101,99991231
100,Z_ROLE_017,USER007,20200101,99991231
100,Z_ROLE_018,USER000,20200101,99991231
100,Z_ROLE_018,USER001,20200101,99991231
100,Z_ROLE_018,USER002,20200101,99991231
100,Z_ROLE_018,USER003,20200101,99991231
100,Z_ROLE_018,USER004,20200101,99991231
100,Z_ROLE_018,USER005,20200101,99991231
100,Z_ROLE_018,USER006,20200101,99991231
100,Z_ROLE_018,USER007,20200101,99991231
100,Z_ROLE_018,USER008,20200101,99991231
100,Z_ROLE_018,USER009,20200101,99991231
100,Z_ROLE_018,USER010,20200101,99991231
100,Z_ROLE_018,USER011,20200101,99991231
100,Z_ROLE_018,USER012,20200101,99991231
100,Z_ROLE_018,USER013,20200101,99991231
100,Z_ROLE_018,USER014,20200101,99991231
100,Z_ROLE_018,USER015,20200101,99991231
100,Z_ROLE_018,USER016,20200101,99991231
100,Z_ROLE_018,USER017,20200101,99991231
100,Z_ROLE_018,USER018,20200101,99991231
100,Z_ROLE_018,USER019,20200101,99991231
100,Z_ROLE_019,USER000,20200101,99991231
100,Z_ROLE_019,USER001,20200101,99991231
100,Z_ROLE_019,USER002,20200101,99991231
100,Z_ROLE_019,USER003,20200101,99991231
100,Z_ROLE_019,USER004,20200101,99991231
100,Z_ROLE_019,USER005,20200101,99991231
100,Z_ROLE_019,USER006,20200101,99991231
100,Z_ROLE_019,USER007,20200101,99991231
100,Z_ROLE_019,USER008,20200101,99991231
100,Z_ROLE_019,USER009,20200101,99991231
100,Z_ROLE_019,USER010,20200101,99991231
100,Z_ROLE_020,USER000,20200101,99991231
100,Z_ROLE_020,USER001,20200101,99991231
100,Z_ROLE_020,USER002,20200101,99991231
100,Z_ROLE_020,USER003,20200101,99991231
100,Z_ROLE_020,USER004,20200101,99991231
100,Z_ROLE_020,USER005,20200101,99991231
