MANDT,LGNUM,LQNUM,MATNR,WERKS,LGTYP,LGPLA,GESME,MEINS
100,100,LQ00000101,MAT000158,1200,010,010-19-02,3707.54,ST
100,100,LQ00000102,MAT000222,1100,020,020-07-04,9362.75,KG
100,100,LQ00000103,MAT000359,1300,002,002-31-02,3669.3,KG
100,200,LQ00000104,MAT000051,1400,010,010-04-01,7087.33,KG
100,100,LQ00000105,MAT000046,1300,020,020-29-04,5073.21,ST
100,100,LQ00000106,MAT000219,1000,002,002-02-03,1476.48,KG
100,200,LQ00000107,MAT000372,1100,003,003-27-05,6825.12,KG
100,100,LQ00000108,MAT000229,1000,020,020-14-03,5477.8,KG
100,200,LQ00000109,MAT000297,1300,020,020-38-01,4025.67,ST
100,100,LQ00000110,MAT000441,1400,001,001-42-03,4166.44,KG
100,200,LQ00000111,MAT000281,1200,010,010-06-01,6510.29,ST
100,200,LQ00000112,MAT000165,1300,002,002-02-05,2697.83,KG
100,100,LQ00000113,MAT000122,1000,003,003-25-05,2785.46,KG
100,200,LQ00000114,MAT000122,1300,020,020-41-01,1365.08,KG
100,200,LQ00000115,MAT000373,1200,003,003-50-03,4315.15,KG
100,200,LQ00000116,MAT000132,1000,020,020-29-05,375.75,KG
100,200,LQ00000117,MAT000345,1100,001,001-33-02,5754.19,ST
100,100,LQ00000118,MAT000070,1400,001,001-29-02,8546.2,ST
100,200,LQ00000119,MAT000155,1000,002,002-34-01,5285.65,KG
100,100,LQ00000120,MAT000477,1000,003,003-44-03,3630.82,ST
100,200,LQ00000121,MAT000457,1400,001,001-17-03,8416.57,ST
100,100,LQ00000122,MAT000224,1400,020,020-45-04,1689.01,ST
100,200,LQ00000123,MAT000418,1300,020,020-24-03,3616.82,ST
100,200,LQ00000124,MAT000162,1000,020,020-27-05,8445.99,KG
100,100,LQ00000125,MAT000398,1000,020,020-49-04,1914.57,KG
100,100,LQ00000126,MAT000297,1000,020,020-18-04,111.39,KG
100,200,LQ00000127,MAT000271,1100,002,002-19-04,7382.45,KG
100,200,LQ00000128,MAT000166,1400,020,020-19-03,7607.82,ST
100,200,LQ00000129,MAT000328,1100,002,002-14-03,5442.78,KG
100,200,LQ00000130,MAT000308,1300,003,003-04-02,2708.15,ST
100,200,LQ00000131,MAT000406,1100,020,020-01-05,7425.27,ST
100,100,LQ00000132,MAT000047,1200,020,020-12-03,4150.55,KG
100,100,LQ00000133,MAT000163,1100,002,002-11-05,7279.68,KG
100,100,LQ00000134,MAT000015,1400,010,010-49-05,3359.75,ST
100,100,LQ00000135,MAT000454,1300,001,001-08-01,3428.03,KG
100,100,LQ00000136,MAT000386,1200,020,020-29-02,8997.39,KG
100,100,LQ00000137,MAT000334,1000,001,001-30-02,3391.66,KG
100,200,LQ00000138,MAT000012,1400,001,001-01-05,4968.93,KG
100,200,LQ00000139,MAT000383,1300,010,010-03-01,3312.19,KG
100,200,LQ00000140,MAT000074,1100,003,003-46-04,3077.16,KG
100,100,LQ00000141,MAT000113,1400,001,001-22-01,549.74,KG
100,100,LQ00000142,MAT000384,1200,003,003-48-05,1172.73,KG
100,200,LQ00000143,MAT000231,1300,003,003-34-03,621.38,ST
100,100,LQ00000144,MAT000021,1200,003,003-35-05,2455.61,KG
100,200,LQ00000145,MAT000396,1300,002,002-13-02,2236.63,KG
100,200,LQ00000146,MAT000093,1100,001,001-13-02,5529.0,ST
100,100,LQ00000147,MAT000096,1400,001,001-48-04,86.15,ST
100,100,LQ00000148,MAT000198,1400,003,003-09-04,656.58,KG
100,200,LQ00000149,MAT000476,1300,010,010-02-01,2699.31,KG
100,200,LQ00000150,MAT000267,1100,003,003-20-02,5379.52,ST
100,100,LQ00000151,MAT000128,1000,020,020-31-04,8043.73,KG
100,100,LQ00000152,MAT000106,1000,002,002-03-01,8780.15,ST
100,200,LQ00000153,MAT000180,1000,010,010-10-01,8005.45,KG
100,100,LQ00000154,MAT000330,1300,020,020-45-01,7706.61,KG
100,200,LQ00000155,MAT000420,1300,003,003-02-05,1048.87,KG
100,200,LQ00000156,MAT000166,1300,002,002-16-04,2623.59,KG
100,100,LQ00000157,MAT000381,1000,001,001-04-03,2106.97,KG
100,200,LQ00000158,MAT000499,1200,002,002-24-05,8782.35,KG
100,200,LQ00000159,MAT000104,1100,010,010-12-01,5477.71,KG
100,100,LQ00000160,MAT000475,1100,002,002-02-01,1806.21,ST
100,200,LQ00000161,MAT000270,1100,001,001-44-01,355.71,KG
100,200,LQ00000162,MAT000049,1300,020,020-18-03,148.34,KG
100,200,LQ00000163,MAT000021,1300,001,001-21-04,3890.94,KG
100,100,LQ00000164,MAT000066,1100,001,001-48-03,4047.53,KG
100,100,LQ00000165,MAT000398,1300,010,010-08-05,2910.94,ST
100,200,LQ00000166,MAT000345,1100,002,002-25-04,9786.41,ST
100,200,LQ00000167,MAT000443,1200,003,003-27-04,8806.25,KG
100,100,LQ00000168,MAT000103,1300,002,002-48-04,8771.72,KG
100,200,LQ00000169,MAT000008,1000,002,002-12-05,9326.27,KG
100,100,LQ00000170,MAT000023,1400,001,001-42-05,8180.51,KG
100,100,LQ00000171,MAT000363,1300,002,002-23-03,926.76,KG
100,100,LQ00000172,MAT000133,1300,010,010-02-02,2534.46,KG
100,200,LQ00000173,MAT000276,1200,010,010-25-04,2690.33,KG
100,100,LQ00000174,MAT000493,1300,020,020-30-02,7017.78,KG
100,200,LQ00000175,MAT000039,1300,010,010-44-01,5307.44,KG
100,100,LQ00000176,MAT000144,1400,020,020-45-01,8803.46,KG
100,200,LQ00000177,MAT000079,1300,002,002-07-04,1805.1,ST
100,200,LQ00000178,MAT000201,1400,003,003-19-03,6936.23,KG
100,100,LQ00000179,MAT000238,1200,003,003-19-02,8457.16,KG
100,200,LQ00000180,MAT000001,1100,001,001-19-04,6349.57,KG
100,200,LQ00000181,MAT000031,1300,002,002-37-04,5570.71,KG
100,100,LQ00000182,MAT000365,1300,003,003-10-04,9215.83,ST
100,200,LQ00000183,MAT000321,1200,002,002-09-04,3050.64,KG
100,100,LQ00000184,MAT000303,1300,010,010-13-02,8442.63,KG
100,200,LQ00000185,MAT000289,1200,020,020-16-03,8909.04,KG
100,100,LQ00000186,MAT000322,1300,002,002-49-04,6328.61,ST
100,100,LQ00000187,MAT000070,1400,002,002-40-04,7582.85,ST
100,200,LQ00000188,MAT000232,1200,002,002-39-03,2731.63,KG
100,200,LQ00000189,MAT000316,1200,010,010-01-04,4343.94,KG
100,100,LQ00000190,MAT000140,1000,020,020-19-05,2653.32,ST
100,100,LQ00000191,MAT000011,1400,001,001-36-05,8760.24,KG
100,100,LQ00000192,MAT000227,1100,001,001-34-04,1283.0,KG
100,100,LQ00000193,MAT000357,1200,010,010-01-02,6880.44,KG
100,100,LQ00000194,MAT000345,1100,003,003-06-05,7775.31,ST
100,100,LQ00000195,MAT000498,1300,020,020-15-05,307.54,KG
100,200,LQ00000196,MAT000124,1100,010,010-37-02,7989.3,KG
100,200,LQ00000197,MAT000026,1200,020,020-26-05,4872.99,KG
100,100,LQ00000198,MAT000233,1400,020,020-38-01,6441.94,KG
100,100,LQ00000199,MAT000287,1200,002,002-47-03,6172.88,ST
100,100,LQ00000200,MAT000023,1100,003,003-43-01,9028.5,KG
100,100,LQ00000201,MAT000302,1300,010,010-20-04,8110.15,KG
100,100,LQ00000202,MAT000174,1300,003,003-36-04,7491.05,KG
100,200,LQ00000203,MAT000395,1400,020,020-37-03,5271.67,KG
100,200,LQ00000204,MAT000167,1300,020,020-23-03,5775.58,KG
100,100,LQ00000205,MAT000263,1100,003,003-34-01,3210.68,KG
100,100,LQ00000206,MAT000073,1300,010,010-01-05,4150.27,KG
100,100,LQ00000207,MAT000185,1200,002,002-37-01,2047.75,KG
100,200,LQ00000208,MAT000360,1000,001,001-27-03,8704.06,KG
100,200,LQ00000209,MAT000107,1100,002,002-46-01,13.71,KG
100,200,LQ00000210,MAT000407,1200,020,020-20-04,906.15,KG
100,200,LQ00000211,MAT000390,1000,001,001-20-03,9156.53,KG
100,200,LQ00000212,MAT000423,1100,002,002-37-04,1272.44,ST
100,100,LQ00000213,MAT000170,1000,020,020-11-01,8159.65,KG
100,100,LQ00000214,MAT000422,1100,003,003-43-04,5174.21,ST
100,100,LQ00000215,MAT000380,1300,010,010-24-01,5276.3,ST
100,200,LQ00000216,MAT000485,1200,002,002-06-03,1513.21,KG
100,100,LQ00000217,MAT000123,1400,010,010-46-04,4206.45,KG
100,100,LQ00000218,MAT000204,1300,010,010-05-01,980.49,ST
100,100,LQ00000219,MAT000419,1100,002,002-48-01,8860.9,KG
100,200,LQ00000220,MAT000461,1400,010,010-33-01,6432.52,ST
100,100,LQ00000221,MAT000133,1100,020,020-19-03,8769.15,ST
100,100,LQ00000222,MAT000485,1400,001,001-47-04,3892.81,ST
100,100,LQ00000223,MAT000202,1300,003,003-45-04,7791.22,ST
100,100,LQ00000224,MAT000384,1000,002,002-34-04,6306.48,KG
100,200,LQ00000225,MAT000426,1300,001,001-03-02,449.41,ST
100,100,LQ00000226,MAT000118,1100,010,010-49-05,4350.81,KG
100,200,LQ00000227,MAT000052,1100,010,010-29-01,4103.45,KG
100,200,LQ00000228,MAT000389,1200,020,020-36-05,4539.55,KG
100,100,LQ00000229,MAT000217,1100,001,001-08-05,4896.26,KG
100,100,LQ00000230,MAT000277,1300,003,003-25-05,2770.85,ST
100,100,LQ00000231,MAT000186,1000,001,001-12-05,4576.41,KG
100,100,LQ00000232,MAT000386,1400,002,002-41-01,5935.02,ST
100,100,LQ00000233,MAT000464,1200,003,003-20-04,5122.03,KG
100,100,LQ00000234,MAT000415,1100,010,010-35-02,6613.36,KG
100,200,LQ00000235,MAT000329,1000,020,020-20-03,6529.97,KG
100,100,LQ00000236,MAT000384,1300,010,010-48-03,2250.71,KG
100,200,LQ00000237,MAT000026,1300,001,001-40-02,9832.89,KG
100,200,LQ00000238,MAT000249,1300,010,010-26-05,4127.19,KG
100,200,LQ00000239,MAT000242,1000,003,003-21-05,6245.63,KG
100,200,LQ00000240,MAT000457,1300,002,002-05-04,5813.74,ST
100,100,LQ00000241,MAT000494,1200,020,020-42-01,1951.36,ST
100,200,LQ00000242,MAT000491,1100,001,001-46-02,7617.95,KG
100,100,LQ00000243,MAT000182,1300,010,010-13-03,1189.49,KG
100,100,LQ00000244,MAT000254,1300,010,010-43-01,6774.57,KG
100,100,LQ00000245,MAT000342,1000,003,003-11-01,2163.71,KG
100,200,LQ00000246,MAT000439,1300,020,020-23-04,7456.6,ST
100,200,LQ00000247,MAT000026,1400,020,020-07-02,6317.19,KG
100,100,LQ00000248,MAT000134,1200,003,003-46-02,3848.16,ST
100,200,LQ00000249,MAT000190,1100,002,002-45-01,1639.13,KG
100,200,LQ00000250,MAT000053,1100,003,003-22-02,6129.12,ST
100,200,LQ00000251,MAT000259,1300,001,001-44-03,75.57,KG
100,200,LQ00000252,MAT000156,1000,001,001-40-04,3577.41,KG
100,200,LQ00000253,MAT000132,1300,002,002-09-01,88.71,ST
100,100,LQ00000254,MAT000073,1000,020,020-40-03,8797.74,KG
100,200,LQ00000255,MAT000042,1000,020,020-11-03,9976.97,KG
100,100,LQ00000256,MAT000363,1300,002,002-44-05,1544.48,ST
100,100,LQ00000257,MAT000034,1000,001,001-37-05,3853.07,ST
100,200,LQ00000258,MAT000119,1000,020,020-10-04,3140.06,KG
100,100,LQ00000259,MAT000070,1400,010,010-33-01,4901.9,ST
100,100,LQ00000260,MAT000224,1100,010,010-43-04,2623.46,KG
100,200,LQ00000261,MAT000377,1200,001,001-10-02,9433.41,KG
100,100,LQ00000262,MAT000438,1000,003,003-12-02,7267.75,KG
100,200,LQ00000263,MAT000284,1300,003,003-20-04,2172.92,KG
100,200,LQ00000264,MAT000148,1200,001,001-21-01,4910.41,KG
100,100,LQ00000265,MAT000396,1100,003,003-39-04,6927.28,KG
100,200,LQ00000266,MAT000379,1100,002,002-02-03,6934.85,ST
100,100,LQ00000267,MAT000286,1100,003,003-24-01,2475.89,ST
100,200,LQ00000268,MAT000318,1000,001,001-07-02,7779.09,KG
100,200,LQ00000269,MAT000149,1300,001,001-48-01,1526.02,KG
100,200,LQ00000270,MAT000365,1100,001,001-06-05,1054.08,KG
100,200,LQ00000271,MAT000308,1000,002,002-13-05,1059.13,KG
100,200,LQ00000272,MAT000317,1300,002,002-39-04,7679.53,KG
100,200,LQ00000273,MAT000379,1200,010,010-50-03,43.97,KG
100,100,LQ00000274,MAT000496,1100,010,010-04-02,4292.65,KG
100,200,LQ00000275,MAT000096,1300,002,002-07-01,2041.52,ST
100,200,LQ00000276,MAT000265,1100,010,010-22-05,7347.35,ST
100,100,LQ00000277,MAT000097,1000,003,003-17-05,6191.2,KG
100,100,LQ00000278,MAT000393,1100,020,020-25-04,154.48,ST
100,100,LQ00000279,MAT000116,1400,020,020-23-04,2554.33,KG
100,100,LQ00000280,MAT000322,1100,010,010-12-05,3445.91,KG
100,200,LQ00000281,MAT000174,1000,003,003-38-01,753.01,KG
100,200,LQ00000282,MAT000043,1400,002,002-41-02,2500.83,KG
100,100,LQ00000283,MAT000218,1300,010,010-46-03,2344.2,KG
100,200,LQ00000284,MAT000338,1100,002,002-42-02,6818.77,ST
100,200,LQ00000285,MAT000152,1000,003,003-02-02,9383.47,KG
100,200,LQ00000286,MAT000211,1000,002,002-04-02,6911.77,KG
100,100,LQ00000287,MAT000054,1300,020,020-28-01,7288.12,ST
100,200,LQ00000288,MAT000177,1300,020,020-46-05,9871.81,KG
100,200,LQ00000289,MAT000189,1300,003,003-41-05,9862.13,KG
100,100,LQ00000290,MAT000395,1300,003,003-07-02,1875.75,ST
100,100,LQ00000291,MAT000430,1000,003,003-50-05,3790.71,KG
100,100,LQ00000292,MAT000008,1000,020,020-28-02,5258.32,KG
100,200,LQ00000293,MAT000241,1000,001,001-10-03,9326.36,ST
100,200,LQ00000294,MAT000367,1300,010,010-40-03,6691.47,ST
100,100,LQ00000295,MAT000385,1300,002,002-38-05,6928.51,ST
100,200,LQ00000296,MAT000196,1100,002,002-31-02,4662.91,KG
100,100,LQ00000297,MAT000286,1300,020,020-41-03,2958.36,KG
100,100,LQ00000298,MAT000150,1300,003,003-36-05,8776.79,KG
100,100,LQ00000299,MAT000131,1300,001,001-20-02,3903.66,KG
100,200,LQ00000300,MAT000333,1400,001,001-10-03,603.81,KG
100,100,LQ00000301,MAT000060,1100,010,010-09-05,7430.62,ST
100,100,LQ00000302,MAT000188,1000,001,001-17-03,8125.94,KG
100,200,LQ00000303,MAT000066,1400,020,020-22-04,9634.75,ST
100,200,LQ00000304,MAT000457,1300,001,001-20-03,3079.89,KG
100,100,LQ00000305,MAT000183,1000,002,002-29-05,3728.18,ST
100,200,LQ00000306,MAT000361,1300,001,001-02-03,7219.0,ST
100,200,LQ00000307,MAT000489,1000,001,001-10-03,1644.08,KG
100,100,LQ00000308,MAT000181,1300,003,003-32-02,604.06,ST
100,100,LQ00000309,MAT000199,1200,003,003-28-03,4063.52,ST
100,100,LQ00000310,MAT000286,1100,010,010-40-02,3798.18,ST
100,100,LQ00000311,MAT000036,1400,003,003-31-04,6771.52,KG
100,100,LQ00000312,MAT000144,1000,002,002-08-02,5016.63,KG
100,100,LQ00000313,MAT000252,1200,010,010-36-05,740.3,ST
100,100,LQ00000314,MAT000226,1400,010,010-18-05,8330.82,KG
100,200,LQ00000315,MAT000244,1000,002,002-14-01,9520.08,KG
100,200,LQ00000316,MAT000347,1100,020,020-43-03,8737.27,ST
100,200,LQ00000317,MAT000105,1000,003,003-47-05,9344.49,ST
100,100,LQ00000318,MAT000070,1400,020,020-02-04,3448.7,KG
100,200,LQ00000319,MAT000184,1100,002,002-27-02,7441.67,KG
100,200,LQ00000320,MAT000260,1300,003,003-03-05,9851.28,KG
100,100,LQ00000321,MAT000296,1300,020,020-45-03,830.3,KG
100,100,LQ00000322,MAT000380,1000,010,010-49-04,247.74,KG
100,200,LQ00000323,MAT000483,1200,020,020-10-03,2185.58,KG
100,200,LQ00000324,MAT000172,1400,001,001-31-01,9760.17,KG
100,100,LQ00000325,MAT000204,1300,001,001-13-03,970.28,KG
100,100,LQ00000326,MAT000481,1000,002,002-27-03,786.62,KG
100,100,LQ00000327,MAT000133,1000,010,010-46-03,166.73,KG
100,200,LQ00000328,MAT000106,1100,020,020-49-02,2417.83,KG
100,100,LQ00000329,MAT000156,1000,003,003-02-03,8048.37,KG
100,200,LQ00000330,MAT000022,1200,003,003-28-05,8626.23,ST
100,200,LQ00000331,MAT000334,1200,001,001-14-02,17.16,ST
100,200,LQ00000332,MAT000446,1100,003,003-40-04,5218.07,ST
100,100,LQ00000333,MAT000486,1300,002,002-44-01,4311.46,KG
100,100,LQ00000334,MAT000252,1200,003,003-03-03,3363.45,ST
100,200,LQ00000335,MAT000333,1000,002,002-47-04,210.33,ST
100,100,LQ00000336,MAT000458,1100,001,001-03-01,2510.65,ST
100,200,LQ00000337,MAT000346,1100,001,001-27-03,8777.63,KG
100,200,LQ00000338,MAT000276,1200,001,001-30-01,218.22,KG
100,100,LQ00000339,MAT000279,1000,003,003-50-02,9691.45,ST
100,200,LQ00000340,MAT000462,1400,003,003-47-05,6831.0,KG
100,100,LQ00000341,MAT000167,1200,020,020-11-02,3780.06,KG
100,100,LQ00000342,MAT000452,1100,001,001-03-05,3108.35,ST
100,200,LQ00000343,MAT000405,1200,020,020-40-01,7378.72,ST
100,100,LQ00000344,MAT000229,1100,002,002-36-01,3741.21,ST
100,200,LQ00000345,MAT000453,1300,020,020-34-04,1881.68,KG
100,200,LQ00000346,MAT000440,1000,002,002-10-05,5261.21,ST
100,100,LQ00000347,MAT000042,1100,020,020-05-02,3454.7,ST
100,200,LQ00000348,MAT000166,1100,010,010-01-03,9604.56,ST
100,100,LQ00000349,MAT000323,1100,020,020-07-02,7225.86,KG
100,100,LQ00000350,MAT000105,1100,010,010-18-01,3797.56,ST
100,200,LQ00000351,MAT000376,1300,010,010-40-05,4109.5,ST
100,100,LQ00000352,MAT000386,1200,020,020-37-03,96.3,KG
100,200,LQ00000353,MAT000107,1200,002,002-46-04,7885.15,ST
100,100,LQ00000354,MAT000101,1000,020,020-10-05,2747.7,KG
100,200,LQ00000355,MAT000254,1200,010,010-36-03,3982.01,KG
100,200,LQ00000356,MAT000076,1400,010,010-14-05,2449.32,KG
100,200,LQ00000357,MAT000081,1200,001,001-43-05,714.86,KG
100,200,LQ00000358,MAT000075,1100,020,020-06-04,7547.62,ST
100,200,LQ00000359,MAT000198,1100,020,020-28-01,4802.08,ST
100,100,LQ00000360,MAT000447,1100,003,003-22-02,4528.24,KG
100,100,LQ00000361,MAT000383,1100,020,020-05-02,4247.59,KG
100,200,LQ00000362,MAT000385,1000,002,002-38-02,3133.48,ST
100,100,LQ00000363,MAT000391,1100,003,003-11-05,272.6,ST
100,100,LQ00000364,MAT000461,1400,001,001-44-04,1914.22,KG
100,100,LQ00000365,MAT000260,1100,001,001-05-03,1936.3,ST
100,100,LQ00000366,MAT000447,1300,020,020-12-05,5167.59,KG
100,100,LQ00000367,MAT000398,1300,003,003-35-02,7710.54,ST
100,200,LQ00000368,MAT000366,1100,020,020-33-05,1448.47,KG
100,100,LQ00000369,MAT000342,1200,001,001-32-05,2958.38,KG
100,100,LQ00000370,MAT000061,1200,002,002-47-05,4587.83,KG
100,200,LQ00000371,MAT000051,1000,001,001-40-04,8080.18,KG
100,200,LQ00000372,MAT000403,1300,020,020-10-03,333.92,KG
100,200,LQ00000373,MAT000336,1100,003,003-35-04,7613.33,ST
100,200,LQ00000374,MAT000490,1200,010,010-14-05,2859.13,KG
100,100,LQ00000375,MAT000466,1000,001,001-27-03,1949.01,KG
100,200,LQ00000376,MAT000358,1000,020,020-26-02,1283.47,KG
100,200,LQ00000377,MAT000142,1400,002,002-33-03,5634.07,KG
100,200,LQ00000378,MAT000253,1100,020,020-22-02,1723.88,KG
100,200,LQ00000379,MAT000468,1300,010,010-04-01,3177.89,KG
100,200,LQ00000380,MAT000276,1100,020,020-48-03,5692.09,KG
100,100,LQ00000381,MAT000230,1000,003,003-23-05,7957.1,ST
100,100,LQ00000382,MAT000016,1400,003,003-45-04,4546.58,ST
100,100,LQ00000383,MAT000283,1200,001,001-31-02,6199.07,ST
100,200,LQ00000384,MAT000472,1400,010,010-43-01,7730.68,KG
100,100,LQ00000385,MAT000199,1000,002,002-12-03,394.37,ST
100,200,LQ00000386,MAT000489,1200,002,002-10-04,714.56,KG
100,100,LQ00000387,MAT000185,1300,003,003-39-02,7171.82,KG
