MANDT,EBELN,EBELP,MATNR,MENGE,MEINS,NETPR,WAERS,WERKS
100,4500000042,00030,MAT000035,6779,KG,13.7,EUR,1300
100,4500000043,00010,MAT000099,45176,KG,0.65,EUR,1000
100,4500000044,00010,MAT000393,29632,KG,12.02,EUR,1400
100,4500000045,00010,MAT000051,17438,KG,4.66,EUR,1200
100,4500000045,00020,MAT000409,44248,KG,6.48,EUR,1200
100,4500000046,00010,MAT000236,20593,KG,5.95,EUR,1300
100,4500000046,00020,MAT000039,45875,KG,2.88,EUR,1400
100,4500000047,00010,MAT000437,23098,KG,1.12,EUR,1300
100,4500000047,00020,MAT000498,8265,KG,2.46,EUR,1100
100,4500000047,00030,MAT000162,31967,KG,2.4,EUR,1100
100,4500000048,00010,MAT000186,16848,KG,14.87,EUR,1200
100,4500000049,00010,MAT000099,4341,KG,12.13,EUR,1300
100,4500000049,00020,MAT000339,28274,KG,11.36,EUR,1100
100,4500000049,00030,MAT000164,9534,KG,3.93,EUR,1400
100,4500000050,00010,MAT000450,47567,KG,5.39,EUR,1000
100,4500000050,00020,MAT000044,22426,KG,4.17,EUR,1100
100,4500000051,00010,MAT000457,45674,KG,8.04,EUR,1200
100,4500000051,00020,MAT000493,27620,KG,11.95,EUR,1100
100,4500000051,00030,MAT000390,21869,KG,2.25,EUR,1300
100,4500000052,00010,MAT000034,3342,KG,4.03,EUR,1100
100,4500000052,00020,MAT000387,39834,KG,4.65,EUR,1000
100,4500000053,00010,MAT000362,33069,KG,1.14,EUR,1400
100,4500000053,00020,MAT000437,45439,KG,11.22,EUR,1100
100,4500000053,00030,MAT000079,36011,KG,6.75,EUR,1300
100,4500000053,00040,MAT000472,37412,KG,3.31,EUR,1100
100,4500000054,00010,MAT000099,11297,KG,2.03,EUR,1300
100,4500000054,00020,MAT000042,18574,KG,10.25,EUR,1300
100,4500000055,00010,MAT000295,1872,KG,5.29,EUR,1100
100,4500000056,00010,MAT000437,27410,KG,4.45,EUR,1300
100,4500000057,00010,MAT000400,11293,KG,6.15,EUR,1300
100,4500000057,00020,MAT000334,43119,KG,8.99,EUR,1200
100,4500000058,00010,MAT000457,9535,KG,0.68,EUR,1200
100,4500000058,00020,MAT000040,47410,KG,0.59,EUR,1000
100,4500000058,00030,MAT000096,48628,KG,10.18,EUR,1100
100,4500000059,00010,MAT000430,31011,KG,5.12,EUR,1300
100,4500000060,00010,MAT000437,13261,KG,2.0,EUR,1400
100,4500000060,00020,MAT000052,37019,KG,13.7,EUR,1000
100,4500000061,00010,MAT000234,3395,KG,14.57,EUR,1200
100,4500000061,00020,MAT000436,39721,KG,7.22,EUR,1100
100,4500000062,00010,MAT000096,11780,KG,7.5,EUR,1200
100,4500000062,00020,MAT000114,25414,KG,12.47,EUR,1100
100,4500000062,00030,MAT000047,40779,KG,14.92,EUR,1100
100,4500000062,00040,MAT000288,8807,KG,11.94,EUR,1300
100,4500000063,00010,MAT000097,31297,KG,1.9,EUR,1100
100,4500000063,00020,MAT000296,22602,KG,12.38,EUR,1000
100,4500000064,00010,MAT000269,41865,KG,0.74,EUR,1300
100,4500000065,00010,MAT000043,41352,KG,2.99,EUR,1000
100,4500000066,00010,MAT000393,28717,KG,6.21,EUR,1400
100,4500000066,00020,MAT000097,46090,KG,9.94,EUR,1000
100,4500000067,00010,MAT000302,46082,KG,2.18,EUR,1000
100,4500000067,00020,MAT000223,7511,KG,7.7,EUR,1300
100,4500000067,00030,MAT000116,33093,KG,12.85,EUR,1200
100,4500000068,00010,MAT000114,41933,KG,7.28,EUR,1100
100,4500000068,00020,MAT000110,13735,KG,5.22,EUR,1300
100,4500000068,00030,MAT000291,8162,KG,3.52,EUR,1000
100,4500000069,00010,MAT000296,46138,KG,11.94,EUR,1100
100,4500000069,00020,MAT000157,43909,KG,9.7,EUR,1200
100,4500000070,00010,MAT000084,35427,KG,1.64,EUR,1200
100,4500000070,00020,MAT000478,15085,KG,13.4,EUR,1100
100,4500000071,00010,MAT000099,36229,KG,14.57,EUR,1100
100,4500000072,00010,MAT000271,41753,KG,10.61,EUR,1400
100,4500000072,00020,MAT000269,32421,KG,1.93,EUR,1300
100,4500000073,00010,MAT000481,8443,KG,13.26,EUR,1200
100,4500000073,00020,MAT000387,5722,KG,4.78,EUR,1400
100,4500000073,00030,MAT000260,48029,KG,5.86,EUR,1200
100,4500000073,00040,MAT000489,26151,KG,11.06,EUR,1100
100,4500000074,00010,MAT000498,24697,KG,8.26,EUR,1300
100,4500000075,00010,MAT000307,19755,KG,9.35,EUR,1300
100,4500000075,00020,MAT000370,26243,KG,12.19,EUR,1100
100,4500000076,00010,MAT000114,39678,KG,4.46,EUR,1000
100,4500000076,00020,MAT000339,16074,KG,10.08,EUR,1200
100,4500000077,00010,MAT000380,1079,KG,11.83,EUR,1400
100,4500000077,00020,MAT000165,20181,KG,1.73,EUR,1300
100,4500000077,00030,MAT000257,3928,KG,9.22,EUR,1200
100,4500000078,00010,MAT000049,11104,KG,4.3,EUR,1200
100,4500000079,00010,MAT000478,11274,KG,13.35,EUR,1200
100,4500000080,00010,MAT000472,20887,KG,10.24,EUR,1300
100,4500000080,00020,MAT000384,49539,KG,14.95,EUR,1100
100,4500000080,00030,MAT000147,6603,KG,7.72,EUR,1100
100,4500000081,00010,MAT000321,37518,KG,13.7,EUR,1100
100,4500000082,00010,MAT000489,8353,KG,3.27,EUR,1300
100,4500000082,00020,MAT000490,42912,KG,4.0,EUR,1200
100,4500000082,00030,MAT000321,29298,KG,11.23,EUR,1400
100,4500000083,00010,MAT000472,1421,KG,12.64,EUR,1300
100,4500000084,00010,MAT000291,26601,KG,3.21,EUR,1200
100,4500000084,00020,MAT000232,36363,KG,13.36,EUR,1100
100,4500000085,00010,MAT000387,9710,KG,0.56,EUR,1200
100,4500000085,00020,MAT000339,29160,KG,7.13,EUR,1100
100,4500000085,00030,MAT000420,9969,KG,12.49,EUR,1300
100,4500000085,00040,MAT000034,26265,KG,7.99,EUR,1100
100,4500000086,00010,MAT000046,46367,KG,6.72,EUR,1100
100,4500000086,00020,MAT000203,44524,KG,11.96,EUR,1200
100,4500000086,00030,MAT000044,12032,KG,7.43,EUR,1200
100,4500000087,00010,MAT000212,29628,KG,4.24,EUR,1400
100,4500000087,00020,MAT000473,11318,KG,9.09,EUR,1200
100,4500000087,00030,MAT000407,28312,KG,2.2,EUR,1400
100,4500000087,00040,MAT000182,19664,KG,6.39,EUR,1000
100,4500000088,00010,MAT000042,32692,KG,12.22,EUR,1400
100,4500000088,00020,MAT000408,11842,KG,14.36,EUR,1300
100,4500000088,00030,MAT000136,48845,KG,9.81,EUR,1300
100,4500000089,00010,MAT000042,29240,KG,5.38,EUR,1100
100,4500000089,00020,MAT000291,8088,KG,13.09,EUR,1100
100,4500000090,00010,MAT000496,45835,KG,7.42,EUR,1300
100,4500000090,00020,MAT000081,38171,KG,14.81,EUR,1200
100,4500000090,00030,MAT000043,39299,KG,3.56,EUR,1300
100,4500000091,00010,MAT000137,44059,KG,2.43,EUR,1300
100,4500000091,00020,MAT000050,14114,KG,13.86,EUR,1200
100,4500000092,00010,MAT000436,43647,KG,13.39,EUR,1000
100,4500000093,00010,MAT000260,48804,KG,13.99,EUR,1000
100,4500000093,00020,MAT000392,10352,KG,7.5,EUR,1000
100,4500000094,00010,MAT000470,6634,KG,11.47,EUR,1400
100,4500000094,00020,MAT000208,43864,KG,9.4,EUR,1100
100,4500000094,00030,MAT000331,6427,KG,14.88,EUR,1400
100,4500000095,00010,MAT000298,31599,KG,11.88,EUR,1200
100,4500000095,00020,MAT000460,27370,KG,7.98,EUR,1300
100,4500000095,00030,MAT000202,29764,KG,8.03,EUR,1300
100,4500000096,00010,MAT000351,6868,KG,12.7,EUR,1000
100,4500000096,00020,MAT000088,33829,KG,5.09,EUR,1200
100,4500000097,00010,MAT000296,12516,KG,8.24,EUR,1200
100,4500000097,00020,MAT000097,28907,KG,7.43,EUR,1400
100,4500000097,00030,MAT000298,32407,KG,8.13,EUR,1100
100,4500000098,00010,MAT000472,8827,KG,6.26,EUR,1400
100,4500000098,00020,MAT000489,20388,KG,9.0,EUR,1300
100,4500000099,00010,MAT000424,46061,KG,6.65,EUR,1300
100,4500000099,00020,MAT000373,7741,KG,13.41,EUR,1100
100,4500000099,00030,MAT000405,24104,KG,4.8,EUR,1200
100,4500000100,00010,MAT000388,7567,KG,7.41,EUR,1200
100,4500000100,00020,MAT000116,3418,KG,0.78,EUR,1300
100,4500000101,00010,MAT000257,47659,KG,4.92,EUR,1000
100,4500000102,00010,MAT000209,9612,KG,3.17,EUR,1400
100,4500000102,00020,MAT000400,43323,KG,6.83,EUR,1400
100,4500000102,00030,MAT000232,45596,KG,0.9,EUR,1000
100,4500000103,00010,MAT000370,32124,KG,8.13,EUR,1200
100,4500000104,00010,MAT000424,34450,KG,2.55,EUR,1100
100,4500000104,00020,MAT000336,43488,KG,9.53,EUR,1400
100,4500000104,00030,MAT000450,26114,KG,14.73,EUR,1400
100,4500000105,00010,MAT000105,25954,KG,9.3,EUR,1000
100,4500000105,00020,MAT000097,8480,KG,13.23,EUR,1100
100,4500000106,00010,MAT000346,41986,KG,1.66,EUR,1300
100,4500000106,00020,MAT000240,12794,KG,1.45,EUR,1300
100,4500000107,00010,MAT000450,25465,KG,8.19,EUR,1000
100,4500000107,00020,MAT000498,29917,KG,11.48,EUR,1000
100,4500000108,00010,MAT000393,29148,KG,14.66,EUR,1000
100,4500000108,00020,MAT000448,16875,KG,14.76,EUR,1100
100,4500000108,00030,MAT000037,18885,KG,12.43,EUR,1400
100,4500000108,00040,MAT000096,21743,KG,14.21,EUR,1100
100,4500000109,00010,MAT000382,19863,KG,10.42,EUR,1200
100,4500000110,00010,MAT000052,47092,KG,14.53,EUR,1200
100,4500000110,00020,MAT000492,1180,KG,6.28,EUR,1300
100,4500000110,00030,MAT000196,19492,KG,13.22,EUR,1200
100,4500000111,00010,MAT000105,11438,KG,1.34,EUR,1300
100,4500000111,00020,MAT000044,45813,KG,13.43,EUR,1400
100,4500000111,00030,MAT000121,35683,KG,3.99,EUR,1400
100,4500000112,00010,MAT000185,32535,KG,7.31,EUR,1300
100,4500000113,00010,MAT000397,11323,KG,4.32,EUR,1400
100,4500000114,00010,MAT000099,14116,KG,11.77,EUR,1300
100,4500000114,00020,MAT000164,35643,KG,5.32,EUR,1100
100,4500000114,00030,MAT000164,37186,KG,13.99,EUR,1300
100,4500000115,00010,MAT000420,48361,KG,8.37,EUR,1300
100,4500000115,00020,MAT000398,31887,KG,10.91,EUR,1300
100,4500000116,00010,MAT000207,14650,KG,8.25,EUR,1300
100,4500000116,00020,MAT000046,7339,KG,12.64,EUR,1400
100,4500000117,00010,MAT000438,36463,KG,5.61,EUR,1200
100,4500000118,00010,MAT000137,22021,KG,12.02,EUR,1200
100,4500000118,00020,MAT000292,7622,KG,4.22,EUR,1200
100,4500000119,00010,MAT000485,36423,KG,5.99,EUR,1400
100,4500000120,00010,MAT000380,48152,KG,1.93,EUR,1100
100,4500000120,00020,MAT000331,41846,KG,6.5,EUR,1000
100,4500000121,00010,MAT000430,25271,KG,6.57,EUR,1300
100,4500000122,00010,MAT000370,47233,KG,8.92,EUR,1300
100,4500000123,00010,MAT000202,37100,KG,9.72,EUR,1300
100,4500000124,00010,MAT000492,15380,KG,4.84,EUR,1000
100,4500000124,00020,MAT000467,4999,KG,14.44,EUR,1400
100,4500000124,00030,MAT000384,36907,KG,9.51,EUR,1000
100,4500000124,00040,MAT000392,22309,KG,13.96,EUR,1300
100,4500000125,00010,MAT000164,13883,KG,1.24,EUR,1100
100,4500000125,00020,MAT000037,30781,KG,3.88,EUR,1200
100,4500000126,00010,MAT000437,45465,KG,12.82,EUR,1000
100,4500000126,00020,MAT000039,28963,KG,8.13,EUR,1200
100,4500000127,00010,MAT000298,49352,KG,13.28,EUR,1400
100,4500000128,00010,MAT000085,27498,KG,0.75,EUR,1100
100,4500000129,00010,MAT000292,38085,KG,7.81,EUR,1300
100,4500000129,00020,MAT000480,11350,KG,5.42,EUR,1300
100,4500000130,00010,MAT000227,21249,KG,14.64,EUR,1300
100,4500000130,00020,MAT000306,20754,KG,10.8,EUR,1000
100,4500000130,00030,MAT000441,36146,KG,1.55,EUR,1000
100,4500000131,00010,MAT000384,2965,KG,10.26,EUR,1100
100,4500000132,00010,MAT000271,16284,KG,9.12,EUR,1400
100,4500000132,00020,MAT000232,38441,KG,14.01,EUR,1100
100,4500000132,00030,MAT000452,48711,KG,13.41,EUR,1400
100,4500000133,00010,MAT000467,47522,KG,6.14,EUR,1200
100,4500000133,00020,MAT000387,9877,KG,14.56,EUR,1300
100,4500000133,00030,MAT000137,45294,KG,12.59,EUR,1300
100,4500000134,00010,MAT000458,43590,KG,3.86,EUR,1400
100,4500000134,00020,MAT000388,27181,KG,8.74,EUR,1200
100,4500000135,00010,MAT000185,18737,KG,3.88,EUR,1300
100,4500000136,00010,MAT000202,36314,KG,5.79,EUR,1400
100,4500000136,00020,MAT000389,20452,KG,3.51,EUR,1200
100,4500000137,00010,MAT000395,34442,KG,5.28,EUR,1200
100,4500000137,00020,MAT000496,16321,KG,2.35,EUR,1300
100,4500000138,00010,MAT000084,19608,KG,14.76,EUR,1000
100,4500000138,00020,MAT000157,31713,KG,14.41,EUR,1300
100,4500000138,00030,MAT000452,38382,KG,7.5,EUR,1200
100,4500000139,00010,MAT000085,23500,KG,14.98,EUR,1300
100,4500000139,00020,MAT000209,7872,KG,8.84,EUR,1000
100,4500000139,00030,MAT000390,28746,KG,14.69,EUR,1400
100,4500000140,00010,MAT000123,18600,KG,1.79,EUR,1200
100,4500000141,00010,MAT000480,109,KG,9.88,EUR,1400
100,4500000141,00020,MAT000492,9938,KG,7.14,EUR,1300
100,4500000142,00010,MAT000084,15699,KG,0.6,EUR,1100
100,4500000142,00020,MAT000185,39637,KG,2.92,EUR,1400
100,4500000142,00030,MAT000204,14513,KG,6.97,EUR,1000
100,4500000142,00040,MAT000380,4660,KG,10.38,EUR,1200
100,4500000143,00010,MAT000094,35275,KG,6.18,EUR,1200
100,4500000143,00020,MAT000115,9606,KG,6.29,EUR,1100
100,4500000144,00010,MAT000492,49242,KG,9.91,EUR,1200
100,4500000144,00020,MAT000032,29027,KG,1.37,EUR,1000
100,4500000144,00030,MAT000407,43119,KG,3.35,EUR,1300
100,4500000145,00010,MAT000208,31244,KG,10.37,EUR,1400
100,4500000145,00020,MAT000185,19685,KG,6.89,EUR,1200
100,4500000145,00030,MAT000437,8527,KG,10.54,EUR,1300
100,4500000146,00010,MAT000185,35910,KG,5.34,EUR,1000
100,4500000147,00010,MAT000034,30186,KG,11.01,EUR,1000
100,4500000147,00020,MAT000036,10035,KG,12.45,EUR,1300
100,4500000148,00010,MAT000034,24279,KG,14.63,EUR,1100
100,4500000148,00020,MAT000047,38036,KG,1.17,EUR,1400
100,4500000149,00010,MAT000306,16230,KG,5.29,EUR,1100
100,4500000149,00020,MAT000436,25193,KG,5.62,EUR,1400
100,4500000150,00010,MAT000410,46981,KG,5.79,EUR,1000
100,4500000151,00010,MAT000457,14048,KG,14.4,EUR,1300
100,4500000151,00020,MAT000373,18655,KG,7.34,EUR,1300
100,4500000151,00030,MAT000037,19426,KG,7.14,EUR,1000
100,4500000151,00040,MAT000298,47467,KG,4.87,EUR,1000
100,4500000152,00010,MAT000045,12141,KG,6.14,EUR,1300
100,4500000152,00020,MAT000252,5423,KG,0.5,EUR,1400
100,4500000153,00010,MAT000459,46030,KG,9.62,EUR,1100
100,4500000154,00010,MAT000359,40283,KG,2.14,EUR,1300
100,4500000154,00020,MAT000271,36283,KG,5.43,EUR,1100
100,4500000154,00030,MAT000234,29967,KG,14.89,EUR,1300
100,4500000154,00040,MAT000123,25006,KG,4.92,EUR,1200
100,4500000155,00010,MAT000121,6712,KG,6.42,EUR,1400
100,4500000155,00020,MAT000096,30719,KG,11.03,EUR,1400
100,4500000155,00030,MAT000482,35064,KG,5.81,EUR,1400
100,4500000156,00010,MAT000147,1006,KG,3.87,EUR,1000
100,4500000157,00010,MAT000292,37548,KG,6.91,EUR,1100
100,4500000157,00020,MAT000438,24129,KG,4.35,EUR,1100
100,4500000157,00030,MAT000115,13759,KG,2.35,EUR,1000
100,4500000157,00040,MAT000273,35833,KG,4.49,EUR,1200
100,4500000158,00010,MAT000208,13826,KG,6.27,EUR,1300
100,4500000158,00020,MAT000105,34715,KG,10.77,EUR,1300
100,4500000158,00030,MAT000336,47283,KG,9.54,EUR,1100
100,4500000159,00010,MAT000442,42367,KG,8.48,EUR,1300
100,4500000159,00020,MAT000362,44931,KG,6.32,EUR,1400
100,4500000159,00030,MAT000489,10809,KG,1.58,EUR,1300
100,4500000160,00010,MAT000123,12227,KG,2.44,EUR,1300
100,4500000160,00020,MAT000406,13800,KG,9.85,EUR,1200
100,4500000161,00010,MAT000389,11881,KG,12.91,EUR,1300
100,4500000162,00010,MAT000037,7928,KG,10.22,EUR,1400
100,4500000162,00020,MAT000243,5647,KG,8.87,EUR,1200
100,4500000163,00010,MAT000309,46012,KG,4.84,EUR,1300
100,4500000164,00010,MAT000328,9197,KG,2.83,EUR,1100
100,4500000165,00010,MAT000436,24203,KG,1.71,EUR,1300
100,4500000165,00020,MAT000039,41519,KG,6.75,EUR,1300
100,4500000166,00010,MAT000473,42375,KG,11.05,EUR,1000
100,4500000167,00010,MAT000284,37608,KG,3.89,EUR,1400
100,4500000167,00020,MAT000398,18661,KG,9.41,EUR,1000
100,4500000168,00010,MAT000099,42384,KG,3.04,EUR,1300
100,4500000168,00020,MAT000277,46085,KG,7.44,EUR,1000
100,4500000168,00030,MAT000298,36810,KG,7.72,EUR,1400
100,4500000169,00010,MAT000164,3000,KG,7.05,EUR,1400
100,4500000169,00020,MAT000164,1634,KG,7.54,EUR,1000
100,4500000170,00010,MAT000043,36441,KG,13.49,EUR,1300
100,4500000170,00020,MAT000424,21922,KG,6.0,EUR,1000
100,4500000171,00010,MAT000110,40173,KG,4.32,EUR,1000
100,4500000171,00020,MAT000209,33489,KG,9.96,EUR,1400
100,4500000171,00030,MAT000010,15769,KG,14.66,EUR,1000
100,4500000172,00010,MAT000459,39709,KG,10.86,EUR,1000
100,4500000172,00020,MAT000457,37857,KG,7.01,EUR,1300
100,4500000173,00010,MAT000346,48105,KG,4.45,EUR,1000
100,4500000174,00010,MAT000277,933,KG,12.79,EUR,1000
100,4500000174,00020,MAT000348,37029,KG,3.35,EUR,1200
100,4500000175,00010,MAT000203,14277,KG,13.29,EUR,1100
100,4500000175,00020,MAT000208,49760,KG,7.81,EUR,1100
100,4500000176,00010,MAT000149,4041,KG,14.32,EUR,1000
100,4500000176,00020,MAT000038,28407,KG,7.87,EUR,1400
100,4500000177,00010,MAT000182,5114,KG,12.21,EUR,1300
100,4500000178,00010,MAT000302,27035,KG,12.22,EUR,1400
100,4500000179,00010,MAT000040,3675,KG,9.16,EUR,1400
100,4500000179,00020,MAT000309,4408,KG,3.42,EUR,1300
100,4500000180,00010,MAT000482,17843,KG,3.94,EUR,1400
100,4500000180,00020,MAT000450,5805,KG,11.33,EUR,1000
100,4500000181,00010,MAT000400,5111,KG,2.59,EUR,1400
100,4500000181,00020,MAT000306,35278,KG,3.46,EUR,1000
100,4500000182,00010,MAT000097,47371,KG,9.7,EUR,1100
100,4500000182,00020,MAT000277,17999,KG,13.59,EUR,1400
100,4500000182,00030,MAT000351,42077,KG,7.68,EUR,1200
100,4500000183,00010,MAT000269,31348,KG,0.55,EUR,1000
100,4500000183,00020,MAT000271,44137,KG,1.39,EUR,1200
100,4500000183,00030,MAT000269,48623,KG,7.62,EUR,1400
100,4500000184,00010,MAT000044,16531,KG,9.9,EUR,1000
100,4500000184,00020,MAT000105,11654,KG,4.64,EUR,1200
100,4500000185,00010,MAT000110,22559,KG,1.22,EUR,1100
100,4500000185,00020,MAT000157,24468,KG,14.45,EUR,1400
100,4500000186,00010,MAT000410,25412,KG,9.29,EUR,1300
100,4500000186,00020,MAT000123,22001,KG,12.07,EUR,1200
100,4500000186,00030,MAT000445,35279,KG,9.69,EUR,1400
100,4500000187,00010,MAT000480,2973,KG,7.9,EUR,1000
100,4500000187,00020,MAT000037,43143,KG,14.87,EUR,1400
100,4500000187,00030,MAT000236,22588,KG,14.76,EUR,1200
100,4500000188,00010,MAT000207,32448,KG,5.81,EUR,1200
100,4500000188,00020,MAT000186,48966,KG,8.96,EUR,1200
100,4500000189,00010,MAT000410,26629,KG,14.48,EUR,1000
100,4500000189,00020,MAT000185,12709,KG,9.1,EUR,1400
100,4500000190,00010,MAT000116,19421,KG,10.97,EUR,1400
100,4500000190,00020,MAT000128,1264,KG,7.3,EUR,1300
100,4500000191,00010,MAT000203,542,KG,14.39,EUR,1300
100,4500000192,00010,MAT000234,6431,KG,1.23,EUR,1000
100,4500000193,00010,MAT000496,11249,KG,5.78,EUR,1300
100,4500000193,00020,MAT000088,15488,KG,1.91,EUR,1300
100,4500000194,00010,MAT000223,38677,KG,12.1,EUR,1200
100,4500000194,00020,MAT000046,30866,KG,12.41,EUR,1000
100,4500000194,00030,MAT000223,6323,KG,10.34,EUR,1100
100,4500000195,00010,MAT000408,23334,KG,3.98,EUR,1400
100,4500000195,00020,MAT000229,23966,KG,7.59,EUR,1300
100,4500000196,00010,MAT000339,5656,KG,6.41,EUR,1000
100,4500000196,00020,MAT000227,42052,KG,14.95,EUR,1400
100,4500000196,00030,MAT000244,42069,KG,12.79,EUR,1100
100,4500000196,00040,MAT000097,49093,KG,13.36,EUR,1400
100,4500000197,00010,MAT000459,15534,KG,2.52,EUR,1100
100,4500000197,00020,MAT000035,40433,KG,4.59,EUR,1400
100,4500000197,00030,MAT000212,41802,KG,3.67,EUR,1100
100,4500000198,00010,MAT000079,5117,KG,14.76,EUR,1300
