MANDT,RLDNR,BUKRS,GJAHR,BELNR,DOCLN,RACCT,KOSTL,HSL,RHCUR,BUDAT
100,0L,1000,2023,0010000138,000004,100038,0000004800,1752.29,EUR,20230402
100,0L,2000,2024,0010000139,000005,100039,0000004900,5292.31,EUR,20240605
100,0L,1000,2023,0010000140,000001,100040,0000005000,1876.19,EUR,20221212
100,0L,2000,2024,0010000141,000002,100041,0000005100,8753.64,EUR,20230401
100,0L,1000,2023,0010000142,000003,100042,0000005200,1739.05,EUR,20221013
100,0L,2000,2024,0010000143,000004,100043,0000005300,5081.55,EUR,20230711
100,0L,1000,2023,0010000144,000005,100044,0000005400,7191.91,EUR,20220906
100,0L,2000,2024,0010000145,000001,100045,0000005500,5661.92,EUR,20220425
100,0L,1000,2023,0010000146,000002,100046,0000005600,8222.91,EUR,20230414
100,0L,2000,2024,0010000147,000003,100047,0000005700,5201.41,EUR,20231202
100,0L,1000,2023,0010000148,000004,100048,0000005800,7013.0,EUR,20220113
100,0L,2000,2024,0010000149,000005,100049,0000005900,9990.02,EUR,20231113
100,0L,1000,2023,0010000150,000001,100050,0000001000,3918.55,EUR,20230117
100,0L,2000,2024,0010000151,000002,100051,0000001100,2598.83,EUR,20230128
100,0L,1000,2023,0010000152,000003,100052,0000001200,8495.92,EUR,20220921
100,0L,2000,2024,0010000153,000004,100053,0000001300,6602.32,EUR,20230705
100,0L,1000,2023,0010000154,000005,100054,0000001400,5447.66,EUR,20240716
100,0L,2000,2024,0010000155,000001,100055,0000001500,471.47,EUR,20240409
100,0L,1000,2023,0010000156,000002,100056,0000001600,7659.77,EUR,20230112
100,0L,2000,2024,0010000157,000003,100057,0000001700,7417.22,EUR,20240321
100,0L,1000,2023,0010000158,000004,100058,0000001800,5515.26,EUR,20230925
100,0L,2000,2024,0010000159,000005,100059,0000001900,9887.73,EUR,20221025
100,0L,1000,2023,0010000160,000001,100060,0000002000,5752.98,EUR,20240622
100,0L,2000,2024,0010000161,000002,100061,0000002100,7845.75,EUR,20221102
100,0L,1000,2023,0010000162,000003,100062,0000002200,3928.57,EUR,20220524
100,0L,2000,2024,0010000163,000004,100063,0000002300,6351.1,EUR,20240206
100,0L,1000,2023,0010000164,000005,100064,0000002400,5373.9,EUR,20240203
100,0L,2000,2024,0010000165,000001,100065,0000002500,1939.63,EUR,20240909
100,0L,1000,2023,0010000166,000002,100066,0000002600,7776.75,EUR,20230401
100,0L,2000,2024,0010000167,000003,100067,0000002700,8336.41,EUR,20231017
100,0L,1000,2023,0010000168,000004,100068,0000002800,2097.88,EUR,20220124
100,0L,2000,2024,0010000169,000005,100069,0000002900,8808.3,EUR,20240125
100,0L,1000,2023,0010000170,000001,100070,0000003000,1317.0,EUR,20231102
100,0L,2000,2024,0010000171,000002,100071,0000003100,8159.67,EUR,20230220
100,0L,1000,2023,0010000172,000003,100072,0000003200,3355.66,EUR,20240104
100,0L,2000,2024,0010000173,000004,100073,0000003300,7558.17,EUR,20231231
100,0L,1000,2023,0010000174,000005,100074,0000003400,5523.52,EUR,20240810
100,0L,2000,2024,0010000175,000001,100075,0000003500,2053.36,EUR,20220613
100,0L,1000,2023,0010000176,000002,100076,0000003600,9520.89,EUR,20231007
100,0L,2000,2024,0010000177,000003,100077,0000003700,2849.94,EUR,20240206
100,0L,1000,2023,0010000178,000004,100078,0000003800,7897.43,EUR,20240922
100,0L,2000,2024,0010000179,000005,100079,0000003900,328.54,EUR,20221019
100,0L,1000,2023,0010000180,000001,100080,0000004000,171.14,EUR,20230910
100,0L,2000,2024,0010000181,000002,100081,0000004100,1223.63,EUR,20240724
100,0L,1000,2023,0010000182,000003,100082,0000004200,9741.68,EUR,20221211
100,0L,2000,2024,0010000183,000004,100083,0000004300,8540.47,EUR,20221217
100,0L,1000,2023,0010000184,000005,100084,0000004400,7298.29,EUR,20220202
100,0L,2000,2024,0010000185,000001,100085,0000004500,196.42,EUR,20231017
100,0L,1000,2023,0010000186,000002,100086,0000004600,7961.4,EUR,20231015
100,0L,2000,2024,0010000187,000003,100087,0000004700,8108.39,EUR,20241011
100,0L,1000,2023,0010000188,000004,100088,0000004800,5952.9,EUR,20241008
100,0L,2000,2024,0010000189,000005,100089,0000004900,8293.78,EUR,20241210
100,0L,1000,2023,0010000190,000001,100090,0000005000,3181.41,EUR,20240229
100,0L,2000,2024,0010000191,000002,100091,0000005100,4770.82,EUR,20220102
100,0L,1000,2023,0010000192,000003,100092,0000005200,6184.22,EUR,20240310
100,0L,2000,2024,0010000193,000004,100093,0000005300,1440.41,EUR,20240921
100,0L,1000,2023,0010000194,000005,100094,0000005400,3638.32,EUR,20240212
100,0L,2000,2024,0010000195,000001,100095,0000005500,9890.19,EUR,20240824
100,0L,1000,2023,0010000196,000002,100096,0000005600,8060.42,EUR,20220403
100,0L,2000,2024,0010000197,000003,100097,0000005700,868.79,EUR,20240928
100,0L,1000,2023,0010000198,000004,100098,0000005800,5344.95,EUR,20220905
100,0L,2000,2024,0010000199,000005,100099,0000005900,9238.97,EUR,20240625
100,0L,1000,2023,0010000200,000001,100000,0000001000,2311.93,EUR,20240115
100,0L,2000,2024,0010000201,000002,100001,0000001100,9565.01,EUR,20220719
100,0L,1000,2023,0010000202,000003,100002,0000001200,6513.93,EUR,20240822
100,0L,2000,2024,0010000203,000004,100003,0000001300,8615.15,EUR,20221030
100,0L,1000,2023,0010000204,000005,100004,0000001400,5417.53,EUR,20240309
100,0L,2000,2024,0010000205,000001,100005,0000001500,563.14,EUR,20220318
100,0L,1000,2023,0010000206,000002,100006,0000001600,5600.38,EUR,20230129
100,0L,2000,2024,0010000207,000003,100007,0000001700,8628.27,EUR,20221219
100,0L,1000,2023,0010000208,000004,100008,0000001800,2621.89,EUR,20240403
100,0L,2000,2024,0010000209,000005,100009,0000001900,6214.74,EUR,20230207
100,0L,1000,2023,0010000210,000001,100010,0000002000,629.12,EUR,20221101
100,0L,2000,2024,0010000211,000002,100011,0000002100,8112.7,EUR,20240311
100,0L,1000,2023,0010000212,000003,100012,0000002200,1049.52,EUR,20220725
100,0L,2000,2024,0010000213,000004,100013,0000002300,1843.64,EUR,20221204
100,0L,1000,2023,0010000214,000005,100014,0000002400,2449.3,EUR,20241205
100,0L,2000,2024,0010000215,000001,100015,0000002500,4162.08,EUR,20240218
100,0L,1000,2023,0010000216,000002,100016,0000002600,5338.63,EUR,20221124
100,0L,2000,2024,0010000217,000003,100017,0000002700,2855.93,EUR,20240816
100,0L,1000,2023,0010000218,000004,100018,0000002800,741.48,EUR,20220324
100,0L,2000,2024,0010000219,000005,100019,0000002900,743.22,EUR,20221120
100,0L,1000,2023,0010000220,000001,100020,0000003000,4056.9,EUR,20240811
100,0L,2000,2024,0010000221,000002,100021,0000003100,2283.91,EUR,20231211
100,0L,1000,2023,0010000222,000003,100022,0000003200,2767.49,EUR,20230719
100,0L,2000,2024,0010000223,000004,100023,0000003300,6782.91,EUR,20230316
100,0L,1000,2023,0010000224,000005,100024,0000003400,984.73,EUR,20240731
100,0L,2000,2024,0010000225,000001,100025,0000003500,6690.92,EUR,20231015
100,0L,1000,2023,0010000226,000002,100026,0000003600,3267.18,EUR,20220221
100,0L,2000,2024,0010000227,000003,100027,0000003700,4735.25,EUR,20230616
100,0L,1000,2023,0010000228,000004,100028,0000003800,5043.09,EUR,20221108
100,0L,2000,2024,0010000229,000005,100029,0000003900,4446.32,EUR,20221026
100,0L,1000,2023,0010000230,000001,100030,0000004000,5202.22,EUR,20230723
100,0L,2000,2024,0010000231,000002,100031,0000004100,8242.4,EUR,20220221
100,0L,1000,2023,0010000232,000003,100032,0000004200,4985.82,EUR,20230410
100,0L,2000,2024,0010000233,000004,100033,0000004300,7586.33,EUR,20220202
100,0L,1000,2023,0010000234,000005,100034,0000004400,4002.5,EUR,20230826
100,0L,2000,2024,0010000235,000001,100035,0000004500,3989.5,EUR,20230313
100,0L,1000,2023,0010000236,000002,100036,0000004600,5158.0,EUR,20221130
100,0L,2000,2024,0010000237,000003,100037,0000004700,6844.85,EUR,20240108
100,0L,1000,2023,0010000238,000004,100038,0000004800,8039.73,EUR,20241027
100,0L,2000,2024,0010000239,000005,100039,0000004900,475.79,EUR,20231117
100,0L,1000,2023,0010000240,000001,100040,0000005000,5391.83,EUR,20220619
100,0L,2000,2024,0010000241,000002,100041,0000005100,5008.6,EUR,20231015
100,0L,1000,2023,0010000242,000003,100042,0000005200,4983.91,EUR,20230605
100,0L,2000,2024,0010000243,000004,100043,0000005300,3698.61,EUR,20240831
100,0L,1000,2023,0010000244,000005,100044,0000005400,7372.62,EUR,20240703
100,0L,2000,2024,0010000245,000001,100045,0000005500,6303.34,EUR,20221002
100,0L,1000,2023,0010000246,000002,100046,0000005600,1354.22,EUR,20240716
100,0L,2000,2024,0010000247,000003,100047,0000005700,145.63,EUR,20220811
100,0L,1000,2023,0010000248,000004,100048,0000005800,2986.06,EUR,20240713
100,0L,2000,2024,0010000249,000005,100049,0000005900,3145.62,EUR,20241223
100,0L,1000,2023,0010000250,000001,100050,0000001000,9431.15,EUR,20230112
100,0L,2000,2024,0010000251,000002,100051,0000001100,7862.75,EUR,20220512
100,0L,1000,2023,0010000252,000003,100052,0000001200,132.55,EUR,20230529
100,0L,2000,2024,0010000253,000004,100053,0000001300,975.7,EUR,20241016
100,0L,1000,2023,0010000254,000005,100054,0000001400,5390.1,EUR,20231004
100,0L,2000,2024,0010000255,000001,100055,0000001500,9074.27,EUR,20230217
100,0L,1000,2023,0010000256,000002,100056,0000001600,3417.88,EUR,20220531
100,0L,2000,2024,0010000257,000003,100057,0000001700,3275.65,EUR,20220430
100,0L,1000,2023,0010000258,000004,100058,0000001800,2516.0,EUR,20230423
100,0L,2000,2024,0010000259,000005,100059,0000001900,8254.7,EUR,20220808
100,0L,1000,2023,0010000260,000001,100060,0000002000,728.49,EUR,20230212
100,0L,2000,2024,0010000261,000002,100061,0000002100,6670.52,EUR,20240430
100,0L,1000,2023,0010000262,000003,100062,0000002200,2217.72,EUR,20230702
100,0L,2000,2024,0010000263,000004,100063,0000002300,4195.29,EUR,20230425
100,0L,1000,2023,0010000264,000005,100064,0000002400,5553.06,EUR,20240929
100,0L,2000,2024,0010000265,000001,100065,0000002500,4249.25,EUR,20230508
100,0L,1000,2023,0010000266,000002,100066,0000002600,1716.38,EUR,20240206
100,0L,2000,2024,0010000267,000003,100067,0000002700,2252.76,EUR,20220301
100,0L,1000,2023,0010000268,000004,100068,0000002800,4594.42,EUR,20241123
100,0L,2000,2024,0010000269,000005,100069,0000002900,9853.78,EUR,20240604
100,0L,1000,2023,0010000270,000001,100070,0000003000,4993.27,EUR,20231126
100,0L,2000,2024,0010000271,000002,100071,0000003100,2524.51,EUR,20230407
100,0L,1000,2023,0010000272,000003,100072,0000003200,7645.35,EUR,20220616
100,0L,2000,2024,0010000273,000004,100073,0000003300,4857.67,EUR,20220317
100,0L,1000,2023,0010000274,000005,100074,0000003400,1047.75,EUR,20220118
100,0L,2000,2024,0010000275,000001,100075,0000003500,7793.15,EUR,20240122
100,0L,1000,2023,0010000276,000002,100076,0000003600,1277.96,EUR,20240314
100,0L,2000,2024,0010000277,000003,100077,0000003700,6038.45,EUR,20220902
100,0L,1000,2023,0010000278,000004,100078,0000003800,7584.72,EUR,20230518
100,0L,2000,2024,0010000279,000005,100079,0000003900,5652.38,EUR,20240226
100,0L,1000,2023,0010000280,000001,100080,0000004000,1087.95,EUR,20220208
100,0L,2000,2024,0010000281,000002,100081,0000004100,6960.69,EUR,20231028
100,0L,1000,2023,0010000282,000003,100082,0000004200,5416.56,EUR,20220718
100,0L,2000,2024,0010000283,000004,100083,0000004300,8356.44,EUR,20220213
100,0L,1000,2023,0010000284,000005,100084,0000004400,9957.42,EUR,20230904
100,0L,2000,2024,0010000285,000001,100085,0000004500,1685.63,EUR,20240826
100,0L,1000,2023,0010000286,000002,100086,0000004600,1650.39,EUR,20221112
100,0L,2000,2024,0010000287,000003,100087,0000004700,2394.35,EUR,20241005
100,0L,1000,2023,0010000288,000004,100088,0000004800,1152.47,EUR,20220305
100,0L,2000,2024,0010000289,000005,100089,0000004900,5151.6,EUR,20240311
100,0L,1000,2023,0010000290,000001,100090,0000005000,1869.34,EUR,20220609
100,0L,2000,2024,0010000291,000002,100091,0000005100,1699.06,EUR,20220530
100,0L,1000,2023,0010000292,000003,100092,0000005200,5780.53,EUR,20241226
100,0L,2000,2024,0010000293,000004,100093,0000005300,9586.81,EUR,20220706
100,0L,1000,2023,0010000294,000005,100094,0000005400,5771.2,EUR,20231007
100,0L,2000,2024,0010000295,000001,100095,0000005500,7172.35,EUR,20221114
100,0L,1000,2023,0010000296,000002,100096,0000005600,6264.11,EUR,20240521
100,0L,2000,2024,0010000297,000003,100097,0000005700,6382.29,EUR,20240116
100,0L,1000,2023,0010000298,000004,100098,0000005800,3376.73,EUR,20240330
100,0L,2000,2024,0010000299,000005,100099,0000005900,4356.05,EUR,20241016
100,0L,1000,2023,0010000300,000001,100000,0000001000,4342.34,EUR,20240617
100,0L,2000,2024,0010000301,000002,100001,0000001100,2229.12,EUR,20230821
100,0L,1000,2023,0010000302,000003,100002,0000001200,2488.12,EUR,20220305
100,0L,2000,2024,0010000303,000004,100003,0000001300,8521.01,EUR,20241130
100,0L,1000,2023,0010000304,000005,100004,0000001400,3702.44,EUR,20240607
100,0L,2000,2024,0010000305,000001,100005,0000001500,3803.84,EUR,20240725
100,0L,1000,2023,0010000306,000002,100006,0000001600,1463.45,EUR,20220629
100,0L,2000,2024,0010000307,000003,100007,0000001700,5409.05,EUR,20240421
100,0L,1000,2023,0010000308,000004,100008,0000001800,2269.78,EUR,20240425
100,0L,2000,2024,0010000309,000005,100009,0000001900,4486.15,EUR,20230508
100,0L,1000,2023,0010000310,000001,100010,0000002000,9605.98,EUR,20240410
100,0L,2000,2024,0010000311,000002,100011,0000002100,7898.13,EUR,20220407
100,0L,1000,2023,0010000312,000003,100012,0000002200,2451.76,EUR,20240720
100,0L,2000,2024,0010000313,000004,100013,0000002300,278.13,EUR,20220222
100,0L,1000,2023,0010000314,000005,100014,0000002400,7951.24,EUR,20220411
100,0L,2000,2024,0010000315,000001,100015,0000002500,5431.28,EUR,20240923
100,0L,1000,2023,0010000316,000002,100016,0000002600,5955.06,EUR,20230902
100,0L,2000,2024,0010000317,000003,100017,0000002700,9900.33,EUR,20230221
100,0L,1000,2023,0010000318,000004,100018,0000002800,5206.46,EUR,20220425
100,0L,2000,2024,0010000319,000005,100019,0000002900,7753.65,EUR,20220410
100,0L,1000,2023,0010000320,000001,100020,0000003000,362.77,EUR,20240919
100,0L,2000,2024,0010000321,000002,100021,0000003100,1947.58,EUR,20221020
100,0L,1000,2023,0010000322,000003,100022,0000003200,754.71,EUR,20241129
100,0L,2000,2024,0010000323,000004,100023,0000003300,1084.19,EUR,20220127
100,0L,1000,2023,0010000324,000005,100024,0000003400,8421.93,EUR,20220131
100,0L,2000,2024,0010000325,000001,100025,0000003500,7239.12,EUR,20220326
100,0L,1000,2023,0010000326,000002,100026,0000003600,9866.02,EUR,20220630
100,0L,2000,2024,0010000327,000003,100027,0000003700,8288.94,EUR,20240802
100,0L,1000,2023,0010000328,000004,100028,0000003800,8177.24,EUR,20240824
100,0L,2000,2024,0010000329,000005,100029,0000003900,9165.49,EUR,20220516
100,0L,1000,2023,0010000330,000001,100030,0000004000,4110.36,EUR,20230721
100,0L,2000,2024,0010000331,000002,100031,0000004100,2789.05,EUR,20221206
100,0L,1000,2023,0010000332,000003,100032,0000004200,3097.68,EUR,20220207
100,0L,2000,2024,0010000333,000004,100033,0000004300,6229.07,EUR,20220717
100,0L,1000,2023,0010000334,000005,100034,0000004400,6997.12,EUR,20231218
100,0L,2000,2024,0010000335,000001,100035,0000004500,4291.83,EUR,20220925
100,0L,1000,2023,0010000336,000002,100036,0000004600,6128.09,EUR,20220511
100,0L,2000,2024,0010000337,000003,100037,0000004700,4866.34,EUR,20230522
100,0L,1000,2023,0010000338,000004,100038,0000004800,5503.1,EUR,20241103
100,0L,2000,2024,0010000339,000005,100039,0000004900,8912.31,EUR,20230622
100,0L,1000,2023,0010000340,000001,100040,0000005000,3386.53,EUR,20230508
100,0L,2000,2024,0010000341,000002,100041,0000005100,5251.16,EUR,20230622
100,0L,1000,2023,0010000342,000003,100042,0000005200,5040.64,EUR,20241011
100,0L,2000,2024,0010000343,000004,100043,0000005300,2832.84,EUR,20230321
100,0L,1000,2023,0010000344,000005,100044,0000005400,6622.53,EUR,20240609
100,0L,2000,2024,0010000345,000001,100045,0000005500,7273.31,EUR,20220318
100,0L,1000,2023,0010000346,000002,100046,0000005600,8745.26,EUR,20240715
