MANDT,STLTY,STLNR,STLKN,STPOZ,IDNRK,MENGE,MEINS
100,M,BOM000009,0070,0007,MAT000186,15.43,KG
100,M,BOM000009,0080,0008,MAT000094,1.01,KG
100,M,BOM000010,0010,0001,MAT000202,4.99,KG
100,M,BOM000010,0020,0002,MAT000480,42.37,KG
100,M,BOM000010,0030,0003,MAT000196,47.12,KG
100,M,BOM000010,0040,0004,MAT000165,47.47,KG
100,M,BOM000010,0050,0005,MAT000031,17.72,KG
100,M,BOM000010,0060,0006,MAT000321,8.45,KG
100,M,BOM000010,0070,0007,MAT000039,25.28,KG
100,M,BOM000011,0010,0001,MAT000470,359.33,KG
100,M,BOM000011,0020,0002,MAT000049,482.31,KG
100,M,BOM000011,0030,0003,MAT000085,90.03,KG
100,M,BOM000011,0040,0004,MAT000476,378.24,KG
100,M,BOM000011,0050,0005,MAT000035,7.14,KG
100,M,BOM000011,0060,0006,MAT000450,364.05,KG
100,M,BOM000011,0070,0007,MAT000207,462.49,KG
100,M,BOM000012,0010,0001,MAT000480,418.2,KG
100,M,BOM000012,0020,0002,MAT000165,490.74,KG
100,M,BOM000012,0030,0003,MAT000390,214.93,KG
100,M,BOM000012,0040,0004,MAT000094,259.55,KG
100,M,BOM000012,0050,0005,MAT000164,206.75,KG
100,M,BOM000013,0010,0001,MAT000096,140.39,KG
100,M,BOM000013,0020,0002,MAT000445,12.55,KG
100,M,BOM000013,0030,0003,MAT000114,83.71,KG
100,M,BOM000013,0040,0004,MAT000424,31.14,KG
100,M,BOM000013,0050,0005,MAT000331,72.69,KG
100,M,BOM000013,0060,0006,MAT000271,151.1,KG
100,M,BOM000014,0010,0001,MAT000459,49.22,KG
100,M,BOM000014,0020,0002,MAT000370,19.73,KG
100,M,BOM000014,0030,0003,MAT000273,210.66,KG
100,M,BOM000014,0040,0004,MAT000387,120.23,KG
100,M,BOM000015,0010,0001,MAT000035,221.84,KG
100,M,BOM000015,0020,0002,MAT000420,330.98,KG
100,M,BOM000015,0030,0003,MAT000088,47.08,KG
100,M,BOM000015,0040,0004,MAT000360,75.97,KG
100,M,BOM000016,0010,0001,MAT000149,32.88,KG
100,M,BOM000016,0020,0002,MAT000048,209.93,KG
100,M,BOM000016,0030,0003,MAT000333,181.99,KG
100,M,BOM000016,0040,0004,MAT000186,71.43,KG
100,M,BOM000016,0050,0005,MAT000307,179.09,KG
100,M,BOM000016,0060,0006,MAT000196,146.52,KG
100,M,BOM000016,0070,0007,MAT000482,70.06,KG
100,M,BOM000016,0080,0008,MAT000366,197.9,KG
100,M,BOM000017,0010,0001,MAT000407,258.15,KG
100,M,BOM000017,0020,0002,MAT000030,77.95,KG
100,M,BOM000017,0030,0003,MAT000489,230.04,KG
100,M,BOM000017,0040,0004,MAT000366,65.48,KG
100,M,BOM000017,0050,0005,MAT000410,247.22,KG
100,M,BOM000018,0010,0001,MAT000085,25.16,KG
100,M,BOM000018,0020,0002,MAT000045,1.82,KG
100,M,BOM000018,0030,0003,MAT000049,9.37,KG
100,M,BOM000019,0010,0001,MAT000286,332.23,KG
100,M,BOM000019,0020,0002,MAT000498,262.37,KG
100,M,BOM000019,0030,0003,MAT000084,248.63,KG
100,M,BOM000019,0040,0004,MAT000051,235.68,KG
100,M,BOM000020,0010,0001,MAT000437,238.26,KG
100,M,BOM000020,0020,0002,MAT000241,10.32,KG
100,M,BOM000020,0030,0003,MAT000456,109.03,KG
100,M,BOM000020,0040,0004,MAT000309,228.95,KG
100,M,BOM000020,0050,0005,MAT000457,97.45,KG
100,M,BOM000020,0060,0006,MAT000036,80.35,KG
100,M,BOM000021,0010,0001,MAT000041,221.46,KG
100,M,BOM000021,0020,0002,MAT000040,43.13,KG
100,M,BOM000021,0030,0003,MAT000162,109.09,KG
100,M,BOM000021,0040,0004,MAT000460,79.83,KG
100,M,BOM000021,0050,0005,MAT000028,98.8,KG
100,M,BOM000021,0060,0006,MAT000286,191.59,KG
100,M,BOM000022,0010,0001,MAT000459,32.59,KG
100,M,BOM000022,0020,0002,MAT000456,135.38,KG
100,M,BOM000022,0030,0003,MAT000472,297.57,KG
100,M,BOM000022,0040,0004,MAT000406,192.01,KG
100,M,BOM000022,0050,0005,MAT000407,339.86,KG
100,M,BOM000022,0060,0006,MAT000461,384.4,KG
100,M,BOM000022,0070,0007,MAT000136,145.8,KG
100,M,BOM000022,0080,0008,MAT000437,35.4,KG
100,M,BOM000023,0010,0001,MAT000333,383.77,KG
100,M,BOM000023,0020,0002,MAT000321,314.45,KG
100,M,BOM000023,0030,0003,MAT000478,193.38,KG
100,M,BOM000023,0040,0004,MAT000038,216.93,KG
100,M,BOM000024,0010,0001,MAT000046,162.9,KG
100,M,BOM000024,0020,0002,MAT000029,149.15,KG
100,M,BOM000024,0030,0003,MAT000232,227.82,KG
100,M,BOM000024,0040,0004,MAT000234,18.71,KG
100,M,BOM000024,0050,0005,MAT000227,77.97,KG
100,M,BOM000025,0010,0001,MAT000455,116.58,KG
100,M,BOM000025,0020,0002,MAT000298,216.18,KG
100,M,BOM000025,0030,0003,MAT000041,143.09,KG
100,M,BOM000026,0010,0001,MAT000406,246.48,KG
100,M,BOM000026,0020,0002,MAT000480,95.99,KG
100,M,BOM000026,0030,0003,MAT000037,99.1,KG
100,M,BOM000027,0010,0001,MAT000085,173.07,KG
100,M,BOM000027,0020,0002,MAT000202,309.34,KG
100,M,BOM000027,0030,0003,MAT000307,184.85,KG
100,M,BOM000027,0040,0004,MAT000430,220.82,KG
100,M,BOM000027,0050,0005,MAT000436,250.99,KG
100,M,BOM000027,0060,0006,MAT000030,424.43,KG
100,M,BOM000028,0010,0001,MAT000243,40.33,KG
100,M,BOM000028,0020,0002,MAT000044,31.42,KG
100,M,BOM000028,0030,0003,MAT000284,47.92,KG
100,M,BOM000028,0040,0004,MAT000472,36.03,KG
100,M,BOM000028,0050,0005,MAT000362,29.12,KG
100,M,BOM000029,0010,0001,MAT000049,108.82,KG
100,M,BOM000029,0020,0002,MAT000470,398.85,KG
100,M,BOM000029,0030,0003,MAT000450,327.51,KG
100,M,BOM000029,0040,0004,MAT000407,154.41,KG
100,M,BOM000029,0050,0005,MAT000387,403.04,KG
100,M,BOM000030,0010,0001,MAT000380,130.05,KG
100,M,BOM000030,0020,0002,MAT000362,168.71,KG
100,M,BOM000030,0030,0003,MAT000236,138.02,KG
100,M,BOM000030,0040,0004,MAT000498,220.52,KG
100,M,BOM000031,0010,0001,MAT000473,481.25,KG
100,M,BOM000031,0020,0002,MAT000430,372.39,KG
100,M,BOM000031,0030,0003,MAT000204,236.31,KG
100,M,BOM000031,0040,0004,MAT000029,468.9,KG
100,M,BOM000032,0010,0001,MAT000020,123.99,KG
100,M,BOM000032,0020,0002,MAT000047,374.48,KG
100,M,BOM000032,0030,0003,MAT000445,383.94,KG
100,M,BOM000032,0040,0004,MAT000196,422.84,KG
100,M,BOM000032,0050,0005,MAT000333,208.08,KG
100,M,BOM000032,0060,0006,MAT000400,430.79,KG
100,M,BOM000032,0070,0007,MAT000121,456.01,KG
100,M,BOM000033,0010,0001,MAT000244,121.88,KG
100,M,BOM000033,0020,0002,MAT000271,123.05,KG
100,M,BOM000033,0030,0003,MAT000025,79.23,KG
100,M,BOM000033,0040,0004,MAT000137,18.71,KG
100,M,BOM000033,0050,0005,MAT000240,399.54,KG
100,M,BOM000033,0060,0006,MAT000485,158.72,KG
100,M,BOM000034,0010,0001,MAT000025,9.71,KG
100,M,BOM000034,0020,0002,MAT000041,197.94,KG
100,M,BOM000034,0030,0003,MAT000196,71.25,KG
100,M,BOM000034,0040,0004,MAT000136,138.8,KG
100,M,BOM000034,0050,0005,MAT000252,161.96,KG
100,M,BOM000034,0060,0006,MAT000114,12.95,KG
100,M,BOM000035,0010,0001,MAT000046,302.79,KG
100,M,BOM000035,0020,0002,MAT000053,434.25,KG
100,M,BOM000035,0030,0003,MAT000292,450.78,KG
100,M,BOM000036,0010,0001,MAT000028,233.4,KG
100,M,BOM000036,0020,0002,MAT000081,131.68,KG
100,M,BOM000036,0030,0003,MAT000360,207.67,KG
100,M,BOM000036,0040,0004,MAT000115,237.54,KG
100,M,BOM000036,0050,0005,MAT000227,233.06,KG
100,M,BOM000036,0060,0006,MAT000096,64.82,KG
100,M,BOM000036,0070,0007,MAT000472,221.43,KG
100,M,BOM000036,0080,0008,MAT000436,61.42,KG
100,M,BOM000037,0010,0001,MAT000478,7.64,KG
100,M,BOM000037,0020,0002,MAT000351,9.17,KG
100,M,BOM000037,0030,0003,MAT000227,48.51,KG
100,M,BOM000037,0040,0004,MAT000384,22.25,KG
100,M,BOM000037,0050,0005,MAT000207,13.09,KG
100,M,BOM000038,0010,0001,MAT000452,240.05,KG
100,M,BOM000038,0020,0002,MAT000336,126.94,KG
100,M,BOM000038,0030,0003,MAT000096,142.48,KG
100,M,BOM000038,0040,0004,MAT000295,393.22,KG
100,M,BOM000038,0050,0005,MAT000457,76.73,KG
100,M,BOM000038,0060,0006,MAT000384,240.23,KG
100,M,BOM000039,0010,0001,MAT000025,210.76,KG
100,M,BOM000039,0020,0002,MAT000492,166.4,KG
100,M,BOM000039,0030,0003,MAT000040,235.36,KG
100,M,BOM000040,0010,0001,MAT000459,452.06,KG
100,M,BOM000040,0020,0002,MAT000348,344.2,KG
100,M,BOM000040,0030,0003,MAT000291,269.78,KG
100,M,BOM000040,0040,0004,MAT000023,122.01,KG
100,M,BOM000040,0050,0005,MAT000331,223.99,KG
100,M,BOM000041,0010,0001,MAT000286,43.04,KG
100,M,BOM000041,0020,0002,MAT000081,8.43,KG
100,M,BOM000041,0030,0003,MAT000227,22.22,KG
100,M,BOM000041,0040,0004,MAT000284,16.2,KG
100,M,BOM000041,0050,0005,MAT000203,40.71,KG
100,M,BOM000042,0010,0001,MAT000257,238.19,KG
100,M,BOM000042,0020,0002,MAT000052,209.42,KG
100,M,BOM000042,0030,0003,MAT000420,421.38,KG
100,M,BOM000043,0010,0001,MAT000137,37.85,KG
100,M,BOM000043,0020,0002,MAT000241,213.33,KG
100,M,BOM000043,0030,0003,MAT000437,365.97,KG
100,M,BOM000044,0010,0001,MAT000039,396.55,KG
100,M,BOM000044,0020,0002,MAT000045,72.37,KG
100,M,BOM000044,0030,0003,MAT000024,203.33,KG
100,M,BOM000044,0040,0004,MAT000165,316.01,KG
100,M,BOM000044,0050,0005,MAT000021,160.29,KG
100,M,BOM000044,0060,0006,MAT000392,45.7,KG
100,M,BOM000045,0010,0001,MAT000026,43.74,KG
100,M,BOM000045,0020,0002,MAT000110,7.11,KG
100,M,BOM000045,0030,0003,MAT000482,9.09,KG
100,M,BOM000045,0040,0004,MAT000373,29.85,KG
100,M,BOM000045,0050,0005,MAT000295,16.72,KG
100,M,BOM000045,0060,0006,MAT000394,14.45,KG
100,M,BOM000045,0070,0007,MAT000408,4.68,KG
100,M,BOM000046,0010,0001,MAT000339,153.97,KG
100,M,BOM000046,0020,0002,MAT000472,59.11,KG
100,M,BOM000046,0030,0003,MAT000209,24.52,KG
100,M,BOM000046,0040,0004,MAT000037,116.95,KG
100,M,BOM000046,0050,0005,MAT000460,67.29,KG
100,M,BOM000046,0060,0006,MAT000025,213.33,KG
100,M,BOM000047,0010,0001,MAT000387,47.39,KG
100,M,BOM000047,0020,0002,MAT000485,6.31,KG
100,M,BOM000047,0030,0003,MAT000241,36.07,KG
100,M,BOM000047,0040,0004,MAT000123,22.04,KG
100,M,BOM000047,0050,0005,MAT000079,46.04,KG
100,M,BOM000047,0060,0006,MAT000334,22.96,KG
100,M,BOM000047,0070,0007,MAT000149,33.84,KG
100,M,BOM000048,0010,0001,MAT000202,42.89,KG
100,M,BOM000048,0020,0002,MAT000182,30.2,KG
100,M,BOM000048,0030,0003,MAT000244,49.76,KG
100,M,BOM000048,0040,0004,MAT000271,14.51,KG
100,M,BOM000048,0050,0005,MAT000424,34.02,KG
100,M,BOM000048,0060,0006,MAT000346,21.21,KG
100,M,BOM000048,0070,0007,MAT000110,20.72,KG
100,M,BOM000048,0080,0008,MAT000388,7.72,KG
100,M,BOM000049,0010,0001,MAT000496,146.77,KG
100,M,BOM000049,0020,0002,MAT000394,162.69,KG
100,M,BOM000049,0030,0003,MAT000234,23.72,KG
100,M,BOM000049,0040,0004,MAT000334,118.55,KG
100,M,BOM000050,0010,0001,MAT000204,17.04,KG
100,M,BOM000050,0020,0002,MAT000348,84.88,KG
100,M,BOM000050,0030,0003,MAT000384,60.62,KG
100,M,BOM000050,0040,0004,MAT000482,227.29,KG
100,M,BOM000050,0050,0005,MAT000240,249.19,KG
100,M,BOM000050,0060,0006,MAT000050,234.98,KG
100,M,BOM000050,0070,0007,MAT000084,241.88,KG
100,M,BOM000050,0080,0008,MAT000460,150.56,KG
100,M,BOM000051,0010,0001,MAT000236,193.56,KG
100,M,BOM000051,0020,0002,MAT000437,488.87,KG
100,M,BOM000051,0030,0003,MAT000496,337.27,KG
100,M,BOM000052,0010,0001,MAT000162,7.03,KG
100,M,BOM000052,0020,0002,MAT000241,16.21,KG
100,M,BOM000052,0030,0003,MAT000149,26.76,KG
100,M,BOM000052,0040,0004,MAT000436,7.52,KG
100,M,BOM000052,0050,0005,MAT000424,6.28,KG
100,M,BOM000052,0060,0006,MAT000307,2.69,KG
100,M,BOM000052,0070,0007,MAT000405,6.83,KG
100,M,BOM000053,0010,0001,MAT000269,223.44,KG
100,M,BOM000053,0020,0002,MAT000243,80.6,KG
100,M,BOM000053,0030,0003,MAT000493,248.65,KG
100,M,BOM000053,0040,0004,MAT000442,191.51,KG
100,M,BOM000053,0050,0005,MAT000292,39.94,KG
100,M,BOM000053,0060,0006,MAT000389,213.63,KG
100,M,BOM000054,0010,0001,MAT000182,118.78,KG
100,M,BOM000054,0020,0002,MAT000123,22.75,KG
100,M,BOM000054,0030,0003,MAT000045,133.81,KG
100,M,BOM000055,0010,0001,MAT000097,245.17,KG
100,M,BOM000055,0020,0002,MAT000424,249.03,KG
100,M,BOM000055,0030,0003,MAT000042,423.69,KG
100,M,BOM000055,0040,0004,MAT000392,434.11,KG
100,M,BOM000055,0050,0005,MAT000330,66.21,KG
100,M,BOM000055,0060,0006,MAT000461,51.32,KG
100,M,BOM000056,0010,0001,MAT000438,147.46,KG
100,M,BOM000056,0020,0002,MAT000252,146.93,KG
100,M,BOM000056,0030,0003,MAT000467,242.98,KG
100,M,BOM000056,0040,0004,MAT000029,132.69,KG
100,M,BOM000057,0010,0001,MAT000051,145.72,KG
100,M,BOM000057,0020,0002,MAT000234,490.76,KG
100,M,BOM000057,0030,0003,MAT000430,65.39,KG
100,M,BOM000057,0040,0004,MAT000084,189.91,KG
100,M,BOM000057,0050,0005,MAT000302,464.93,KG
100,M,BOM000057,0060,0006,MAT000038,57.5,KG
100,M,BOM000058,0010,0001,MAT000052,121.26,KG
100,M,BOM000058,0020,0002,MAT000398,158.02,KG
100,M,BOM000058,0030,0003,MAT000028,69.16,KG
100,M,BOM000059,0010,0001,MAT000043,473.97,KG
100,M,BOM000059,0020,0002,MAT000027,499.91,KG
100,M,BOM000059,0030,0003,MAT000498,453.9,KG
100,M,BOM000059,0040,0004,MAT000394,399.53,KG
100,M,BOM000059,0050,0005,MAT000298,69.01,KG
100,M,BOM000060,0010,0001,MAT000046,5.08,KG
100,M,BOM000060,0020,0002,MAT000050,13.13,KG
100,M,BOM000060,0030,0003,MAT000458,12.38,KG
100,M,BOM000060,0040,0004,MAT000489,38.66,KG
100,M,BOM000060,0050,0005,MAT000346,20.25,KG
100,M,BOM000061,0010,0001,MAT000351,37.75,KG
100,M,BOM000061,0020,0002,MAT000366,32.88,KG
100,M,BOM000061,0030,0003,MAT000269,6.47,KG
100,M,BOM000061,0040,0004,MAT000025,24.8,KG
100,M,BOM000062,0010,0001,MAT000489,123.68,KG
100,M,BOM000062,0020,0002,MAT000110,221.64,KG
100,M,BOM000062,0030,0003,MAT000330,120.42,KG
100,M,BOM000062,0040,0004,MAT000030,141.86,KG
100,M,BOM000062,0050,0005,MAT000084,107.21,KG
100,M,BOM000062,0060,0006,MAT000334,189.73,KG
100,M,BOM000062,0070,0007,MAT000441,203.22,KG
100,M,BOM000062,0080,0008,MAT000196,154.43,KG
100,M,BOM000063,0010,0001,MAT000042,243.38,KG
100,M,BOM000063,0020,0002,MAT000441,169.92,KG
100,M,BOM000063,0030,0003,MAT000309,162.78,KG
100,M,BOM000064,0010,0001,MAT000448,221.49,KG
100,M,BOM000064,0020,0002,MAT000021,454.07,KG
100,M,BOM000064,0030,0003,MAT000025,241.42,KG
100,M,BOM000064,0040,0004,MAT000053,78.56,KG
100,M,BOM000064,0050,0005,MAT000273,68.26,KG
100,M,BOM000064,0060,0006,MAT000405,451.94,KG
100,M,BOM000065,0010,0001,MAT000277,25.91,KG
100,M,BOM000065,0020,0002,MAT000470,25.78,KG
100,M,BOM000065,0030,0003,MAT000044,20.94,KG
100,M,BOM000065,0040,0004,MAT000459,23.5,KG
100,M,BOM000065,0050,0005,MAT000051,36.16,KG
100,M,BOM000065,0060,0006,MAT000043,40.73,KG
100,M,BOM000066,0010,0001,MAT000052,197.08,KG
100,M,BOM000066,0020,0002,MAT000436,211.12,KG
100,M,BOM000066,0030,0003,MAT000036,13.7,KG
100,M,BOM000066,0040,0004,MAT000097,105.52,KG
100,M,BOM000066,0050,0005,MAT000029,176.83,KG
100,M,BOM000066,0060,0006,MAT000400,80.2,KG
100,M,BOM000066,0070,0007,MAT000162,181.71,KG
100,M,BOM000067,0010,0001,MAT000243,436.45,KG
100,M,BOM000067,0020,0002,MAT000309,57.63,KG
100,M,BOM000067,0030,0003,MAT000165,269.52,KG
100,M,BOM000067,0040,0004,MAT000204,7.89,KG
100,M,BOM000067,0050,0005,MAT000052,62.76,KG
100,M,BOM000067,0060,0006,MAT000489,90.01,KG
100,M,BOM000067,0070,0007,MAT000241,241.17,KG
100,M,BOM000068,0010,0001,MAT000489,66.92,KG
100,M,BOM000068,0020,0002,MAT000410,11.87,KG
100,M,BOM000068,0030,0003,MAT000286,60.4,KG
100,M,BOM000068,0040,0004,MAT000496,12.86,KG
100,M,BOM000068,0050,0005,MAT000494,485.41,KG
100,M,BOM000068,0060,0006,MAT000331,430.21,KG
100,M,BOM000068,0070,0007,MAT000360,108.57,KG
100,M,BOM000068,0080,0008,MAT000079,326.07,KG
100,M,BOM000069,0010,0001,MAT000020,78.34,KG
100,M,BOM000069,0020,0002,MAT000455,213.83,KG
100,M,BOM000069,0030,0003,MAT000182,62.65,KG
100,M,BOM000069,0040,0004,MAT000079,451.7,KG
100,M,BOM000069,0050,0005,MAT000286,370.7,KG
100,M,BOM000069,0060,0006,MAT000400,225.41,KG
100,M,BOM000070,0010,0001,MAT000394,52.33,KG
100,M,BOM000070,0020,0002,MAT000478,143.43,KG
100,M,BOM000070,0030,0003,MAT000232,208.88,KG
100,M,BOM000071,0010,0001,MAT000088,48.98,KG
100,M,BOM000071,0020,0002,MAT000021,42.51,KG
100,M,BOM000071,0030,0003,MAT000388,36.99,KG
100,M,BOM000072,0010,0001,MAT000410,297.56,KG
100,M,BOM000072,0020,0002,MAT000362,307.69,KG
100,M,BOM000072,0030,0003,MAT000441,340.94,KG
100,M,BOM000073,0010,0001,MAT000047,68.79,KG
100,M,BOM000073,0020,0002,MAT000450,162.95,KG
100,M,BOM000073,0030,0003,MAT000036,222.56,KG
100,M,BOM000073,0040,0004,MAT000384,31.44,KG
100,M,BOM000073,0050,0005,MAT000473,156.62,KG
100,M,BOM000073,0060,0006,MAT000292,162.43,KG
100,M,BOM000073,0070,0007,MAT000459,113.46,KG
100,M,BOM000073,0080,0008,MAT000048,110.47,KG
100,M,BOM000074,0010,0001,MAT000185,45.5,KG
100,M,BOM000074,0020,0002,MAT000406,17.29,KG
100,M,BOM000074,0030,0003,MAT000314,30.3,KG
100,M,BOM000074,0040,0004,MAT000390,42.2,KG
100,M,BOM000074,0050,0005,MAT000223,33.02,KG
100,M,BOM000074,0060,0006,MAT000437,6.99,KG
100,M,BOM000074,0070,0007,MAT000208,15.02,KG
100,M,BOM000074,0080,0008,MAT000480,35.71,KG
100,M,BOM000075,0010,0001,MAT000137,122.02,KG
100,M,BOM000075,0020,0002,MAT000498,45.39,KG
100,M,BOM000075,0030,0003,MAT000203,41.19,KG
100,M,BOM000075,0040,0004,MAT000269,124.32,KG
100,M,BOM000075,0050,0005,MAT000079,198.89,KG
100,M,BOM000075,0060,0006,MAT000030,235.91,KG
100,M,BOM000076,0010,0001,MAT000203,91.3,KG
100,M,BOM000076,0020,0002,MAT000460,67.05,KG
100,M,BOM000076,0030,0003,MAT000044,170.04,KG
100,M,BOM000076,0040,0004,MAT000036,45.74,KG
100,M,BOM000077,0010,0001,MAT000307,310.69,KG
100,M,BOM000077,0020,0002,MAT000388,64.74,KG
100,M,BOM000077,0030,0003,MAT000097,115.93,KG
100,M,BOM000078,0010,0001,MAT000043,152.06,KG
100,M,BOM000078,0020,0002,MAT000460,28.28,KG
100,M,BOM000078,0030,0003,MAT000244,14.98,KG
100,M,BOM000078,0040,0004,MAT000123,236.7,KG
100,M,BOM000078,0050,0005,MAT000441,200.25,KG
100,M,BOM000079,0010,0001,MAT000493,6.34,KG
100,M,BOM000079,0020,0002,MAT000088,10.67,KG
100,M,BOM000079,0030,0003,MAT000461,18.4,KG
100,M,BOM000079,0040,0004,MAT000042,36.55,KG
100,M,BOM000079,0050,0005,MAT000437,35.55,KG
100,M,BOM000079,0060,0006,MAT000147,38.22,KG
100,M,BOM000079,0070,0007,MAT000021,25.17,KG
100,M,BOM000080,0010,0001,MAT000333,12.64,KG
100,M,BOM000080,0020,0002,MAT000306,40.55,KG
100,M,BOM000080,0030,0003,MAT000115,17.4,KG
100,M,BOM000080,0040,0004,MAT000099,25.5,KG
100,M,BOM000080,0050,0005,MAT000196,4.72,KG
100,M,BOM000080,0060,0006,MAT000390,18.94,KG
100,M,BOM000080,0070,0007,MAT000380,37.86,KG
100,M,BOM000080,0080,0008,MAT000033,18.35,KG
100,M,BOM000081,0010,0001,MAT000450,401.88,KG
100,M,BOM000081,0020,0002,MAT000382,209.64,KG
100,M,BOM000081,0030,0003,MAT000212,207.61,KG
100,M,BOM000081,0040,0004,MAT000115,232.08,KG
100,M,BOM000082,0010,0001,MAT000392,360.22,KG
100,M,BOM000082,0020,0002,MAT000121,261.09,KG
100,M,BOM000082,0030,0003,MAT000034,39.44,KG
100,M,BOM000083,0010,0001,MAT000147,230.82,KG
100,M,BOM000083,0020,0002,MAT000389,39.86,KG
100,M,BOM000083,0030,0003,MAT000047,144.7,KG
100,M,BOM000083,0040,0004,MAT000359,244.49,KG
100,M,BOM000083,0050,0005,MAT000041,245.06,KG
100,M,BOM000083,0060,0006,MAT000029,200.27,KG
100,M,BOM000084,0010,0001,MAT000362,414.37,KG
100,M,BOM000084,0020,0002,MAT000459,450.6,KG
100,M,BOM000084,0030,0003,MAT000286,307.15,KG
100,M,BOM000084,0040,0004,MAT000292,77.7,KG
100,M,BOM000084,0050,0005,MAT000314,204.95,KG
100,M,BOM000084,0060,0006,MAT000034,323.72,KG
100,M,BOM000085,0010,0001,MAT000314,170.57,KG
100,M,BOM000085,0020,0002,MAT000026,363.92,KG
100,M,BOM000085,0030,0003,MAT000366,371.33,KG
100,M,BOM000085,0040,0004,MAT000186,67.37,KG
100,M,BOM000085,0050,0005,MAT000286,496.0,KG
100,M,BOM000085,0060,0006,MAT000053,145.54,KG
100,M,BOM000085,0070,0007,MAT000041,50.95,KG
100,M,BOM000085,0080,0008,MAT000455,278.13,KG
100,M,BOM000086,0010,0001,MAT000136,364.62,KG
100,M,BOM000086,0020,0002,MAT000037,493.54,KG
100,M,BOM000086,0030,0003,MAT000039,59.67,KG
100,M,BOM000086,0040,0004,MAT000456,34.67,KG
100,M,BOM000086,0050,0005,MAT000481,189.62,KG
100,M,BOM000086,0060,0006,MAT000241,315.36,KG
100,M,BOM000086,0070,0007,MAT000229,180.46,KG
100,M,BOM000086,0080,0008,MAT000286,28.63,KG
100,M,BOM000087,0010,0001,MAT000284,403.67,KG
100,M,BOM000087,0020,0002,MAT000472,494.56,KG
100,M,BOM000087,0030,0003,MAT000033,284.97,KG
100,M,BOM000087,0040,0004,MAT000395,447.7,KG
