MANDT,MATNR,WERKS,BEDAE,PDATU,PLNMG,MEINS
100,000000000000100036,0007,LSF1,20240820,460.04,EA
100,000000000000100037,0008,LSF2,20240115,403.3,EA
100,000000000000100038,0009,LSF3,20220827,439.436,EA
100,000000000000100039,0010,LSF1,20240815,161.19,EA
100,000000000000100040,0001,LSF2,20240126,330.907,EA
100,000000000000100041,0002,LSF3,20231021,241.774,EA
100,000000000000100042,0003,LSF1,20220218,273.548,EA
100,000000000000100043,0004,LSF2,20220705,319.144,EA
100,000000000000100044,0005,LSF3,20231222,84.188,EA
100,000000000000100045,0006,LSF1,20220816,75.306,EA
100,000000000000100046,0007,LSF2,20240219,283.512,EA
100,000000000000100047,0008,LSF3,20230510,250.224,EA
100,000000000000100048,0009,LSF1,20240822,198.415,EA
100,000000000000100049,0010,LSF2,20220403,42.728,EA
100,000000000000100050,0001,LSF3,20241027,394.539,EA
100,000000000000100051,0002,LSF1,20231122,339.705,EA
100,000000000000100052,0003,LSF2,20230316,259.911,EA
100,000000000000100053,0004,LSF3,20231229,239.28,EA
100,000000000000100054,0005,LSF1,20240415,284.443,EA
100,000000000000100055,0006,LSF2,20230917,142.458,EA
100,000000000000100056,0007,LSF3,20220410,452.304,EA
100,000000000000100057,0008,LSF1,20221213,80.589,EA
100,000000000000100058,0009,LSF2,20241210,468.231,EA
100,000000000000100059,0010,LSF3,20240126,281.886,EA
100,000000000000100060,0001,LSF1,20221002,454.884,EA
100,000000000000100061,0002,LSF2,20220717,39.457,EA
100,000000000000100062,0003,LSF3,20230324,235.335,EA
100,000000000000100063,0004,LSF1,20220321,287.442,EA
100,000000000000100064,0005,LSF2,20240806,128.285,EA
100,000000000000100065,0006,LSF3,20220720,252.183,EA
100,000000000000100066,0007,LSF1,20240124,334.712,EA
100,000000000000100067,0008,LSF2,20230323,142.569,EA
100,000000000000100068,0009,LSF3,20221016,152.347,EA
100,000000000000100069,0010,LSF1,20240222,37.072,EA
100,000000000000100070,0001,LSF2,20230217,426.71,EA
100,000000000000100071,0002,LSF3,20240806,86.49,EA
100,000000000000100072,0003,LSF1,20231008,155.861,EA
100,000000000000100073,0004,LSF2,20220331,304.538,EA
100,000000000000100074,0005,LSF3,20231102,419.669,EA
100,000000000000100075,0006,LSF1,20230317,283.782,EA
100,000000000000100076,0007,LSF2,20240702,319.786,EA
100,000000000000100077,0008,LSF3,20240612,182.036,EA
100,000000000000100078,0009,LSF1,20241106,344.117,EA
100,000000000000100079,0010,LSF2,20220503,130.22,EA
100,000000000000100080,0001,LSF3,20221217,275.748,EA
100,000000000000100081,0002,LSF1,20220816,25.071,EA
100,000000000000100082,0003,LSF2,20221031,416.575,EA
100,000000000000100083,0004,LSF3,20230209,99.182,EA
100,000000000000100084,0005,LSF1,20230329,267.955,EA
100,000000000000100085,0006,LSF2,20240919,117.385,EA
100,000000000000100086,0007,LSF3,20220407,128.381,EA
100,000000000000100087,0008,LSF1,20230127,129.161,EA
100,000000000000100088,0009,LSF2,20221005,313.945,EA
100,000000000000100089,0010,LSF3,20230619,38.939,EA
100,000000000000100090,0001,LSF1,20230624,465.656,EA
100,000000000000100091,0002,LSF2,20220313,271.89,EA
100,000000000000100092,0003,LSF3,20220930,459.283,EA
100,000000000000100093,0004,LSF1,20230201,102.704,EA
100,000000000000100094,0005,LSF2,20231029,97.069,EA
100,000000000000100095,0006,LSF3,20240705,268.85,EA
100,000000000000100096,0007,LSF1,20240707,199.145,EA
100,000000000000100097,0008,LSF2,20221016,376.133,EA
100,000000000000100098,0009,LSF3,20220309,366.983,EA
100,000000000000100099,0010,LSF1,20221013,384.686,EA
100,000000000000100100,0001,LSF2,20231023,176.14,EA
100,000000000000100101,0002,LSF3,20220626,163.09,EA
100,000000000000100102,0003,LSF1,20240826,140.954,EA
100,000000000000100103,0004,LSF2,20220518,358.365,EA
100,000000000000100104,0005,LSF3,20220424,149.529,EA
100,000000000000100105,0006,LSF1,20221010,409.389,EA
100,000000000000100106,0007,LSF2,20220829,408.889,EA
100,000000000000100107,0008,LSF3,20240310,115.406,EA
100,000000000000100108,0009,LSF1,20231129,168.897,EA
100,000000000000100109,0010,LSF2,20230807,494.24,EA
100,000000000000100110,0001,LSF3,20231025,281.247,EA
100,000000000000100111,0002,LSF1,20220705,94.869,EA
100,000000000000100112,0003,LSF2,20220101,234.07,EA
100,000000000000100113,0004,LSF3,20240624,423.477,EA
100,000000000000100114,0005,LSF1,20230721,212.602,EA
100,000000000000100115,0006,LSF2,20241230,377.151,EA
100,000000000000100116,0007,LSF3,20221203,141.186,EA
100,000000000000100117,0008,LSF1,20220905,216.921,EA
100,000000000000100118,0009,LSF2,20220616,253.895,EA
100,000000000000100119,0010,LSF3,20240524,141.172,EA
100,000000000000100120,0001,LSF1,20240223,16.127,EA
100,000000000000100121,0002,LSF2,20230822,56.474,EA
100,000000000000100122,0003,LSF3,20241231,138.59,EA
100,000000000000100123,0004,LSF1,20230830,322.593,EA
100,000000000000100124,0005,LSF2,20230627,270.28,EA
100,000000000000100125,0006,LSF3,20221230,310.366,EA
100,000000000000100126,0007,LSF1,20221102,255.991,EA
100,000000000000100127,0008,LSF2,20240822,135.441,EA
100,000000000000100128,0009,LSF3,20240120,286.835,EA
100,000000000000100129,0010,LSF1,20230928,266.011,EA
100,000000000000100130,0001,LSF2,20230814,23.736,EA
100,000000000000100131,0002,LSF3,20241028,258.026,EA
100,000000000000100132,0003,LSF1,20230404,159.692,EA
100,000000000000100133,0004,LSF2,20221130,462.498,EA
100,000000000000100134,0005,LSF3,20240815,264.641,EA
100,000000000000100135,0006,LSF1,20230110,307.875,EA
100,000000000000100136,0007,LSF2,20240714,334.994,EA
100,000000000000100137,0008,LSF3,20230711,499.593,EA
100,000000000000100138,0009,LSF1,20221219,16.982,EA
100,000000000000100139,0010,LSF2,20230326,379.911,EA
100,000000000000100140,0001,LSF3,20241019,73.842,EA
100,000000000000100141,0002,LSF1,20240410,330.555,EA
100,000000000000100142,0003,LSF2,20220628,482.666,EA
100,000000000000100143,0004,LSF3,20220522,71.077,EA
100,000000000000100144,0005,LSF1,20230814,66.007,EA
100,000000000000100145,0006,LSF2,20240822,499.109,EA
100,000000000000100146,0007,LSF3,20230518,404.629,EA
100,000000000000100147,0008,LSF1,20240317,427.922,EA
100,000000000000100148,0009,LSF2,20220726,349.893,EA
100,000000000000100149,0010,LSF3,20230214,60.67,EA
100,000000000000100150,0001,LSF1,20240330,285.82,EA
100,000000000000100151,0002,LSF2,20221130,379.723,EA
100,000000000000100152,0003,LSF3,20230209,112.509,EA
100,000000000000100153,0004,LSF1,20230102,135.027,EA
100,000000000000100154,0005,LSF2,20230118,187.406,EA
100,000000000000100155,0006,LSF3,20220824,393.852,EA
100,000000000000100156,0007,LSF1,20231216,104.443,EA
100,000000000000100157,0008,LSF2,20240222,299.683,EA
100,000000000000100158,0009,LSF3,20241118,397.74,EA
100,000000000000100159,0010,LSF1,20220608,378.718,EA
100,000000000000100160,0001,LSF2,20231019,146.31,EA
100,000000000000100161,0002,LSF3,20230715,250.301,EA
100,000000000000100162,0003,LSF1,20240501,409.628,EA
100,000000000000100163,0004,LSF2,20241007,124.561,EA
100,000000000000100164,0005,LSF3,20231008,124.249,EA
100,000000000000100165,0006,LSF1,20220403,246.709,EA
100,000000000000100166,0007,LSF2,20241004,498.11,EA
100,000000000000100167,0008,LSF3,20230923,457.134,EA
100,000000000000100168,0009,LSF1,20220825,78.536,EA
100,000000000000100169,0010,LSF2,20221016,331.361,EA
100,000000000000100170,0001,LSF3,20230615,472.42,EA
100,000000000000100171,0002,LSF1,20240906,286.338,EA
100,000000000000100172,0003,LSF2,20220521,411.913,EA
100,000000000000100173,0004,LSF3,20220427,227.678,EA
100,000000000000100174,0005,LSF1,20240820,419.128,EA
100,000000000000100175,0006,LSF2,20241005,444.065,EA
100,000000000000100176,0007,LSF3,20230901,369.161,EA
100,000000000000100177,0008,LSF1,20220912,127.616,EA
100,000000000000100178,0009,LSF2,20241103,408.386,EA
100,000000000000100179,0010,LSF3,20230305,385.84,EA
100,000000000000100180,0001,LSF1,20241219,345.593,EA
100,000000000000100181,0002,LSF2,20230831,426.63,EA
100,000000000000100182,0003,LSF3,20220924,424.234,EA
100,000000000000100183,0004,LSF1,20220331,253.019,EA
100,000000000000100184,0005,LSF2,20230731,66.063,EA
100,000000000000100185,0006,LSF3,20241027,286.698,EA
100,000000000000100186,0007,LSF1,20240923,69.714,EA
100,000000000000100187,0008,LSF2,20230720,269.81,EA
100,000000000000100188,0009,LSF3,20230912,228.235,EA
100,000000000000100189,0010,LSF1,20220330,73.617,EA
100,000000000000100190,0001,LSF2,20230930,391.736,EA
100,000000000000100191,0002,LSF3,20240128,28.055,EA
100,000000000000100192,0003,LSF1,20240526,337.253,EA
100,000000000000100193,0004,LSF2,20220719,404.253,EA
100,000000000000100194,0005,LSF3,20220918,123.237,EA
100,000000000000100195,0006,LSF1,20240111,459.743,EA
100,000000000000100196,0007,LSF2,20221228,10.837,EA
100,000000000000100197,0008,LSF3,20221109,214.449,EA
100,000000000000100198,0009,LSF1,20220202,276.722,EA
100,000000000000100199,0010,LSF2,20230914,408.575,EA
100,000000000000100200,0001,LSF3,20240709,374.409,EA
100,000000000000100201,0002,LSF1,20231210,400.467,EA
100,000000000000100202,0003,LSF2,20240916,145.607,EA
100,000000000000100203,0004,LSF3,20231022,366.149,EA
100,000000000000100204,0005,LSF1,20220124,249.198,EA
100,000000000000100205,0006,LSF2,20230814,165.332,EA
100,000000000000100206,0007,LSF3,20230205,421.374,EA
100,000000000000100207,0008,LSF1,20240221,446.982,EA
100,000000000000100208,0009,LSF2,20231217,374.59,EA
100,000000000000100209,0010,LSF3,20240206,448.587,EA
100,000000000000100210,0001,LSF1,20221228,285.813,EA
100,000000000000100211,0002,LSF2,20240613,163.21,EA
100,000000000000100212,0003,LSF3,20230614,304.548,EA
100,000000000000100213,0004,LSF1,20240604,206.714,EA
100,000000000000100214,0005,LSF2,20230124,376.342,EA
100,000000000000100215,0006,LSF3,20230227,388.911,EA
100,000000000000100216,0007,LSF1,20240101,212.404,EA
100,000000000000100217,0008,LSF2,20241109,76.104,EA
100,000000000000100218,0009,LSF3,20240927,13.513,EA
100,000000000000100219,0010,LSF1,20230528,176.47,EA
100,000000000000100220,0001,LSF2,20240206,361.849,EA
100,000000000000100221,0002,LSF3,20220207,151.931,EA
100,000000000000100222,0003,LSF1,20221104,308.009,EA
100,000000000000100223,0004,LSF2,20240913,356.69,EA
100,000000000000100224,0005,LSF3,20220504,187.094,EA
100,000000000000100225,0006,LSF1,20220114,35.508,EA
100,000000000000100226,0007,LSF2,20240128,413.696,EA
100,000000000000100227,0008,LSF3,20230315,64.393,EA
100,000000000000100228,0009,LSF1,20220424,44.62,EA
100,000000000000100229,0010,LSF2,20220508,144.751,EA
100,000000000000100230,0001,LSF3,20220603,271.448,EA
100,000000000000100231,0002,LSF1,20220220,420.096,EA
100,000000000000100232,0003,LSF2,20240716,387.27,EA
100,000000000000100233,0004,LSF3,20220205,35.242,EA
100,000000000000100234,0005,LSF1,20241016,166.5,EA
100,000000000000100235,0006,LSF2,20230817,228.761,EA
100,000000000000100236,0007,LSF3,20220831,238.14,EA
100,000000000000100237,0008,LSF1,20241218,210.415,EA
100,000000000000100238,0009,LSF2,20240911,353.595,EA
100,000000000000100239,0010,LSF3,20230515,252.824,EA
100,000000000000100240,0001,LSF1,20231120,257.638,EA
100,000000000000100241,0002,LSF2,20231201,367.438,EA
100,000000000000100242,0003,LSF3,20221105,21.993,EA
100,000000000000100243,0004,LSF1,20231226,465.004,EA
100,000000000000100244,0005,LSF2,20240313,390.047,EA
100,000000000000100245,0006,LSF3,20241211,157.408,EA
100,000000000000100246,0007,LSF1,20230823,109.246,EA
100,000000000000100247,0008,LSF2,20230205,445.389,EA
100,000000000000100248,0009,LSF3,20241102,63.083,EA
100,000000000000100249,0010,LSF1,20240523,31.709,EA
100,000000000000100250,0001,LSF2,20220613,213.149,EA
100,000000000000100251,0002,LSF3,20240304,483.977,EA
100,000000000000100252,0003,LSF1,20230921,270.967,EA
100,000000000000100253,0004,LSF2,20230301,24.383,EA
100,000000000000100254,0005,LSF3,20230524,166.035,EA
100,000000000000100255,0006,LSF1,20240620,245.873,EA
100,000000000000100256,0007,LSF2,20230527,138.419,EA
100,000000000000100257,0008,LSF3,20220129,124.7,EA
100,000000000000100258,0009,LSF1,20220620,294.657,EA
100,000000000000100259,0010,LSF2,20230906,170.093,EA
100,000000000000100260,0001,LSF3,20240803,395.652,EA
100,000000000000100261,0002,LSF1,20230125,283.345,EA
100,000000000000100262,0003,LSF2,20240117,93.048,EA
100,000000000000100263,0004,LSF3,20240909,93.779,EA
100,000000000000100264,0005,LSF1,20230104,472.779,EA
100,000000000000100265,0006,LSF2,20240211,187.487,EA
100,000000000000100266,0007,LSF3,20220827,357.909,EA
100,000000000000100267,0008,LSF1,20230219,433.141,EA
100,000000000000100268,0009,LSF2,20231026,125.126,EA
100,000000000000100269,0010,LSF3,20220430,319.183,EA
100,000000000000100270,0001,LSF1,20230914,308.452,EA
100,000000000000100271,0002,LSF2,20230222,292.611,EA
100,000000000000100272,0003,LSF3,20221226,290.582,EA
100,000000000000100273,0004,LSF1,20221201,85.202,EA
100,000000000000100274,0005,LSF2,20230417,58.525,EA
100,000000000000100275,0006,LSF3,20220622,362.877,EA
100,000000000000100276,0007,LSF1,20220304,291.911,EA
100,000000000000100277,0008,LSF2,20230919,371.345,EA
100,000000000000100278,0009,LSF3,20230212,259.595,EA
100,000000000000100279,0010,LSF1,20221125,347.306,EA
100,000000000000100280,0001,LSF2,20240623,338.325,EA
100,000000000000100281,0002,LSF3,20221224,113.665,EA
100,000000000000100282,0003,LSF1,20220608,476.084,EA
100,000000000000100283,0004,LSF2,20220417,250.781,EA
100,000000000000100284,0005,LSF3,20220710,281.76,EA
100,000000000000100285,0006,LSF1,20221004,357.154,EA
100,000000000000100286,0007,LSF2,20230715,451.53,EA
100,000000000000100287,0008,LSF3,20220819,307.929,EA
100,000000000000100288,0009,LSF1,20220927,464.79,EA
100,000000000000100289,0010,LSF2,20220908,380.132,EA
100,000000000000100290,0001,LSF3,20240827,479.685,EA
100,000000000000100291,0002,LSF1,20230910,369.889,EA
100,000000000000100292,0003,LSF2,20231016,204.0,EA
100,000000000000100293,0004,LSF3,20230206,217.932,EA
100,000000000000100294,0005,LSF1,20220421,166.033,EA
100,000000000000100295,0006,LSF2,20230707,472.853,EA
100,000000000000100296,0007,LSF3,20220713,86.136,EA
100,000000000000100297,0008,LSF1,20221106,232.761,EA
100,000000000000100298,0009,LSF2,20220219,391.936,EA
100,000000000000100299,0010,LSF3,20240205,135.238,EA
