MANDT,BESSION,GJAHR,BUZEI,EBELN,EBELP,MATNR,WERKS,MENGE,MEINS,WRBTR
100,0070000043,2024,001,0045000043,00010,000000000000100982,0004,803.627,KG,5441.77
100,0070000044,2023,001,0045000044,00010,000000000000100558,0005,572.631,KG,15526.76
100,0070000045,2024,001,0045000045,00010,000000000000100623,0006,637.002,KG,18785.09
100,0070000046,2023,001,0045000046,00010,000000000000100742,0007,770.959,KG,12189.57
100,0070000047,2024,001,0045000047,00010,000000000000100837,0008,323.95,KG,2266.75
100,0070000048,2023,001,0045000048,00010,000000000000100661,0009,333.355,KG,11367.35
100,0070000049,2024,001,0045000049,00010,000000000000100631,0010,394.053,KG,13972.43
100,0070000050,2023,001,0045000050,00010,000000000000100778,0001,484.301,KG,3671.2
100,0070000051,2024,001,0045000051,00010,000000000000100869,0002,944.658,KG,30202.19
100,0070000052,2023,001,0045000052,00010,000000000000100519,0003,658.324,KG,1936.21
100,0070000053,2024,001,0045000053,00010,000000000000100923,0004,308.698,KG,14750.35
100,0070000054,2023,001,0045000054,00010,000000000000100897,0005,420.773,KG,10509.01
100,0070000055,2024,001,0045000055,00010,000000000000100571,0006,410.981,KG,4848.74
100,0070000056,2023,001,0045000056,00010,000000000000100607,0007,347.646,KG,5435.86
100,0070000057,2024,001,0045000057,00010,000000000000100785,0008,785.453,KG,26996.02
100,0070000058,2023,001,0045000058,00010,000000000000100607,0009,781.627,KG,22239.47
100,0070000059,2024,001,0045000059,00010,000000000000100931,0010,825.949,KG,31577.3
100,0070000060,2023,001,0045000060,00010,000000000000100805,0001,851.433,KG,17829.86
100,0070000061,2024,001,0045000061,00010,000000000000100732,0002,484.23,KG,16974.58
100,0070000062,2023,001,0045000062,00010,000000000000100594,0003,858.171,KG,14805.93
100,0070000063,2024,001,0045000063,00010,000000000000100959,0004,633.75,KG,25923.2
100,0070000064,2023,001,0045000064,00010,000000000000100520,0005,935.035,KG,1740.36
100,0070000065,2024,001,0045000065,00010,000000000000100588,0006,580.19,KG,22814.58
100,0070000066,2023,001,0045000066,00010,000000000000100860,0007,771.254,KG,36395.12
100,0070000067,2024,001,0045000067,00010,000000000000100997,0008,138.281,KG,4782.72
100,0070000068,2023,001,0045000068,00010,000000000000100747,0009,794.483,KG,6539.55
100,0070000069,2024,001,0045000069,00010,000000000000100724,0010,682.293,KG,27186.6
100,0070000070,2023,001,0045000070,00010,000000000000100635,0001,531.699,KG,11128.34
100,0070000071,2024,001,0045000071,00010,000000000000100793,0002,185.838,KG,3121.26
100,0070000072,2023,001,0045000072,00010,000000000000100813,0003,795.178,KG,21678.04
100,0070000073,2024,001,0045000073,00010,000000000000100985,0004,148.808,KG,1382.07
100,0070000074,2023,001,0045000074,00010,000000000000100694,0005,721.266,KG,1350.25
100,0070000075,2024,001,0045000075,00010,000000000000100713,0006,804.569,KG,39323.96
100,0070000076,2023,001,0045000076,00010,000000000000100533,0007,177.172,KG,4163.81
100,0070000077,2024,001,0045000077,00010,000000000000100730,0008,291.264,KG,13901.98
100,0070000078,2023,001,0045000078,00010,000000000000100751,0009,729.681,KG,29336.33
100,0070000079,2024,001,0045000079,00010,000000000000100744,0010,518.802,KG,9188.78
100,0070000080,2023,001,0045000080,00010,000000000000100599,0001,606.622,KG,7256.59
100,0070000081,2024,001,0045000081,00010,000000000000100579,0002,699.742,KG,9209.41
100,0070000082,2023,001,0045000082,00010,000000000000100826,0003,502.394,KG,6808.08
100,0070000083,2024,001,0045000083,00010,000000000000100991,0004,631.599,KG,16031.8
100,0070000084,2023,001,0045000084,00010,000000000000100834,0005,891.12,KG,8784.93
100,0070000085,2024,001,0045000085,00010,000000000000100567,0006,100.532,KG,332.56
100,0070000086,2023,001,0045000086,00010,000000000000100817,0007,82.979,KG,3960.05
100,0070000087,2024,001,0045000087,00010,000000000000100697,0008,771.572,KG,17328.01
100,0070000088,2023,001,0045000088,00010,000000000000100503,0009,508.053,KG,24933.76
100,0070000089,2024,001,0045000089,00010,000000000000100546,0010,988.744,KG,37116.07
100,0070000090,2023,001,0045000090,00010,000000000000100969,0001,672.293,KG,14256.78
100,0070000091,2024,001,0045000091,00010,000000000000100616,0002,435.471,KG,8298.43
100,0070000092,2023,001,0045000092,00010,000000000000100790,0003,215.419,KG,6738.35
100,0070000093,2024,001,0045000093,00010,000000000000100771,0004,366.048,KG,6510.49
100,0070000094,2023,001,0045000094,00010,000000000000100800,0005,277.641,KG,11180.62
100,0070000095,2024,001,0045000095,00010,000000000000100760,0006,369.482,KG,3096.33
100,0070000096,2023,001,0045000096,00010,000000000000100825,0007,681.645,KG,2292.28
100,0070000097,2024,001,0045000097,00010,000000000000100766,0008,243.189,KG,4068.29
100,0070000098,2023,001,0045000098,00010,000000000000100945,0009,604.489,KG,3055.3
100,0070000099,2024,001,0045000099,00010,000000000000100723,0010,954.524,KG,30775.75
100,0070000100,2023,001,0045000100,00010,000000000000100769,0001,107.751,KG,1796.25
100,0070000101,2024,001,0045000101,00010,000000000000100848,0002,219.013,KG,523.41
100,0070000102,2023,001,0045000102,00010,000000000000100653,0003,491.351,KG,12105.55
100,0070000103,2024,001,0045000103,00010,000000000000100960,0004,85.112,KG,1018.17
100,0070000104,2023,001,0045000104,00010,000000000000100789,0005,802.229,KG,8381.09
100,0070000105,2024,001,0045000105,00010,000000000000100842,0006,981.714,KG,32931.52
100,0070000106,2023,001,0045000106,00010,000000000000100952,0007,199.733,KG,7230.22
100,0070000107,2024,001,0045000107,00010,000000000000100842,0008,379.32,KG,13993.64
100,0070000108,2023,001,0045000108,00010,000000000000100567,0009,755.1,KG,19963.33
100,0070000109,2024,001,0045000109,00010,000000000000100729,0010,918.094,KG,43326.99
100,0070000110,2023,001,0045000110,00010,000000000000100867,0001,336.135,KG,7123.96
100,0070000111,2024,001,0045000111,00010,000000000000100685,0002,664.084,KG,14159.12
100,0070000112,2023,001,0045000112,00010,000000000000100580,0003,62.808,KG,1969.44
100,0070000113,2024,001,0045000113,00010,000000000000100909,0004,820.218,KG,34854.04
100,0070000114,2023,001,0045000114,00010,000000000000100726,0005,185.052,KG,4141.6
100,0070000115,2024,001,0045000115,00010,000000000000100937,0006,309.988,KG,12416.71
100,0070000116,2023,001,0045000116,00010,000000000000100507,0007,981.451,KG,20390.24
100,0070000117,2024,001,0045000117,00010,000000000000100678,0008,785.814,KG,25526.2
100,0070000118,2023,001,0045000118,00010,000000000000100897,0009,939.887,KG,8117.01
100,0070000119,2024,001,0045000119,00010,000000000000100927,0010,201.13,KG,8883.11
100,0070000120,2023,001,0045000120,00010,000000000000100610,0001,24.063,KG,547.55
100,0070000121,2024,001,0045000121,00010,000000000000100564,0002,632.003,KG,23146.59
100,0070000122,2023,001,0045000122,00010,000000000000100603,0003,418.646,KG,14320.94
100,0070000123,2024,001,0045000123,00010,000000000000100578,0004,861.003,KG,19846.18
100,0070000124,2023,001,0045000124,00010,000000000000100601,0005,541.446,KG,25660.06
100,0070000125,2024,001,0045000125,00010,000000000000100922,0006,804.322,KG,21283.86
100,0070000126,2023,001,0045000126,00010,000000000000100850,0007,277.804,KG,2956.32
100,0070000127,2024,001,0045000127,00010,000000000000100987,0008,360.756,KG,5691.91
100,0070000128,2023,001,0045000128,00010,000000000000100956,0009,260.712,KG,11697.53
100,0070000129,2024,001,0045000129,00010,000000000000100607,0010,875.153,KG,12972.13
100,0070000130,2023,001,0045000130,00010,000000000000100778,0001,704.921,KG,34075.27
100,0070000131,2024,001,0045000131,00010,000000000000100833,0002,585.009,KG,19985.35
100,0070000132,2023,001,0045000132,00010,000000000000100534,0003,753.056,KG,18835.48
100,0070000133,2024,001,0045000133,00010,000000000000100669,0004,437.284,KG,11756.22
100,0070000134,2023,001,0045000134,00010,000000000000100556,0005,171.031,KG,1150.36
100,0070000135,2024,001,0045000135,00010,000000000000100896,0006,622.897,KG,11569.9
100,0070000136,2023,001,0045000136,00010,000000000000100816,0007,48.125,KG,1243.97
100,0070000137,2024,001,0045000137,00010,000000000000100607,0008,609.785,KG,12986.87
100,0070000138,2023,001,0045000138,00010,000000000000100692,0009,900.482,KG,15679.36
100,0070000139,2024,001,0045000139,00010,000000000000100920,0010,919.616,KG,13418.11
100,0070000140,2023,001,0045000140,00010,000000000000100509,0001,498.1,KG,7522.7
100,0070000141,2024,001,0045000141,00010,000000000000100601,0002,383.479,KG,7096.12
100,0070000142,2023,001,0045000142,00010,000000000000100921,0003,593.137,KG,19669.73
100,0070000143,2024,001,0045000143,00010,000000000000100511,0004,953.701,KG,17484.5
100,0070000144,2023,001,0045000144,00010,000000000000100940,0005,287.612,KG,12366.26
100,0070000145,2024,001,0045000145,00010,000000000000100795,0006,673.798,KG,2899.68
100,0070000146,2023,001,0045000146,00010,000000000000100808,0007,452.714,KG,3767.02
100,0070000147,2024,001,0045000147,00010,000000000000100593,0008,829.52,KG,17548.45
100,0070000148,2023,001,0045000148,00010,000000000000100961,0009,761.676,KG,15663.52
100,0070000149,2024,001,0045000149,00010,000000000000100607,0010,93.017,KG,1954.03
100,0070000150,2023,001,0045000150,00010,000000000000100962,0001,451.597,KG,937.12
100,0070000151,2024,001,0045000151,00010,000000000000100770,0002,835.967,KG,36306.89
100,0070000152,2023,001,0045000152,00010,000000000000100696,0003,304.192,KG,12223.78
100,0070000153,2024,001,0045000153,00010,000000000000100571,0004,270.941,KG,5323.83
100,0070000154,2023,001,0045000154,00010,000000000000100957,0005,683.604,KG,34083.14
100,0070000155,2024,001,0045000155,00010,000000000000100670,0006,732.496,KG,20429.73
100,0070000156,2023,001,0045000156,00010,000000000000100823,0007,308.934,KG,9635.75
100,0070000157,2024,001,0045000157,00010,000000000000100550,0008,241.173,KG,10232.26
100,0070000158,2023,001,0045000158,00010,000000000000100580,0009,272.454,KG,8581.92
100,0070000159,2024,001,0045000159,00010,000000000000100868,0010,30.252,KG,1039.92
100,0070000160,2023,001,0045000160,00010,000000000000100961,0001,133.777,KG,4348.09
100,0070000161,2024,001,0045000161,00010,000000000000100932,0002,651.394,KG,22733.16
100,0070000162,2023,001,0045000162,00010,000000000000100741,0003,844.51,KG,7652.78
100,0070000163,2024,001,0045000163,00010,000000000000100918,0004,508.782,KG,572.09
100,0070000164,2023,001,0045000164,00010,000000000000100727,0005,159.964,KG,693.5
100,0070000165,2024,001,0045000165,00010,000000000000100554,0006,642.423,KG,20291.55
100,0070000166,2023,001,0045000166,00010,000000000000100501,0007,535.528,KG,24205.98
100,0070000167,2024,001,0045000167,00010,000000000000100793,0008,243.779,KG,7556.8
100,0070000168,2023,001,0045000168,00010,000000000000100811,0009,791.434,KG,943.73
100,0070000169,2024,001,0045000169,00010,000000000000100569,0010,759.845,KG,16643.57
100,0070000170,2023,001,0045000170,00010,000000000000100787,0001,967.384,KG,47540.32
100,0070000171,2024,001,0045000171,00010,000000000000100699,0002,909.915,KG,35559.44
100,0070000172,2023,001,0045000172,00010,000000000000100514,0003,379.652,KG,10471.01
100,0070000173,2024,001,0045000173,00010,000000000000100931,0004,198.917,KG,3437.48
100,0070000174,2023,001,0045000174,00010,000000000000100513,0005,798.326,KG,39798.53
100,0070000175,2024,001,0045000175,00010,000000000000100694,0006,514.841,KG,12689.98
100,0070000176,2023,001,0045000176,00010,000000000000100925,0007,303.779,KG,7814.3
100,0070000177,2024,001,0045000177,00010,000000000000100502,0008,514.565,KG,21510.6
100,0070000178,2023,001,0045000178,00010,000000000000100749,0009,938.572,KG,12628.25
100,0070000179,2024,001,0045000179,00010,000000000000100767,0010,467.246,KG,4527.41
100,0070000180,2023,001,0045000180,00010,000000000000100690,0001,259.044,KG,10055.91
100,0070000181,2024,001,0045000181,00010,000000000000100862,0002,43.7,KG,1776.55
100,0070000182,2023,001,0045000182,00010,000000000000100796,0003,906.303,KG,31476.47
100,0070000183,2024,001,0045000183,00010,000000000000100681,0004,414.438,KG,3438.62
100,0070000184,2023,001,0045000184,00010,000000000000100632,0005,10.682,KG,366.41
100,0070000185,2024,001,0045000185,00010,000000000000100961,0006,67.61,KG,239.53
100,0070000186,2023,001,0045000186,00010,000000000000100589,0007,854.283,KG,4507.64
100,0070000187,2024,001,0045000187,00010,000000000000100626,0008,323.831,KG,13436.67
100,0070000188,2023,001,0045000188,00010,000000000000100522,0009,475.288,KG,21751.43
100,0070000189,2024,001,0045000189,00010,000000000000100686,0010,966.221,KG,29589.99
100,0070000190,2023,001,0045000190,00010,000000000000100861,0001,566.685,KG,13585.35
100,0070000191,2024,001,0045000191,00010,000000000000100964,0002,610.028,KG,27801.14
100,0070000192,2023,001,0045000192,00010,000000000000100526,0003,743.385,KG,12302.18
100,0070000193,2024,001,0045000193,00010,000000000000100948,0004,138.713,KG,6443.8
100,0070000194,2023,001,0045000194,00010,000000000000100905,0005,498.958,KG,14358.58
100,0070000195,2024,001,0045000195,00010,000000000000100937,0006,494.03,KG,20177.15
100,0070000196,2023,001,0045000196,00010,000000000000100804,0007,534.276,KG,18440.31
100,0070000197,2024,001,0045000197,00010,000000000000100503,0008,94.264,KG,1610.17
100,0070000198,2023,001,0045000198,00010,000000000000100875,0009,339.117,KG,9009.28
100,0070000199,2024,001,0045000199,00010,000000000000100786,0010,864.749,KG,5916.17
100,0070000200,2023,001,0045000200,00010,000000000000100755,0001,452.762,KG,16923.35
100,0070000201,2024,001,0045000201,00010,000000000000100515,0002,248.565,KG,9583.94
100,0070000202,2023,001,0045000202,00010,000000000000100755,0003,479.211,KG,20244.67
100,0070000203,2024,001,0045000203,00010,000000000000100902,0004,55.117,KG,1795.4
100,0070000204,2023,001,0045000204,00010,000000000000100589,0005,231.514,KG,2403.05
100,0070000205,2024,001,0045000205,00010,000000000000100756,0006,210.373,KG,289.96
100,0070000206,2023,001,0045000206,00010,000000000000100724,0007,263.014,KG,5712.25
100,0070000207,2024,001,0045000207,00010,000000000000100501,0008,988.14,KG,16224.14
100,0070000208,2023,001,0045000208,00010,000000000000100873,0009,953.124,KG,45885.06
100,0070000209,2024,001,0045000209,00010,000000000000100923,0010,848.889,KG,6948.47
100,0070000210,2023,001,0045000210,00010,000000000000100874,0001,587.409,KG,15674.0
100,0070000211,2024,001,0045000211,00010,000000000000100775,0002,112.845,KG,496.54
100,0070000212,2023,001,0045000212,00010,000000000000100575,0003,950.899,KG,33848.35
100,0070000213,2024,001,0045000213,00010,000000000000100967,0004,200.066,KG,4748.91
100,0070000214,2023,001,0045000214,00010,000000000000100696,0005,419.087,KG,11334.04
100,0070000215,2024,001,0045000215,00010,000000000000100638,0006,776.091,KG,7761.8
100,0070000216,2023,001,0045000216,00010,000000000000100986,0007,723.78,KG,35347.15
100,0070000217,2024,001,0045000217,00010,000000000000100553,0008,983.14,KG,16571.68
100,0070000218,2023,001,0045000218,00010,000000000000100946,0009,288.519,KG,4642.99
100,0070000219,2024,001,0045000219,00010,000000000000100922,0010,140.975,KG,823.35
100,0070000220,2023,001,0045000220,00010,000000000000100589,0001,704.32,KG,2459.84
100,0070000221,2024,001,0045000221,00010,000000000000100644,0002,208.365,KG,10143.87
100,0070000222,2023,001,0045000222,00010,000000000000100692,0003,942.774,KG,15071.27
100,0070000223,2024,001,0045000223,00010,000000000000100711,0004,65.157,KG,116.62
100,0070000224,2023,001,0045000224,00010,000000000000100775,0005,368.36,KG,15641.84
100,0070000225,2024,001,0045000225,00010,000000000000100592,0006,110.127,KG,4615.51
100,0070000226,2023,001,0045000226,00010,000000000000100978,0007,535.332,KG,18292.12
100,0070000227,2024,001,0045000227,00010,000000000000100868,0008,912.615,KG,5522.07
100,0070000228,2023,001,0045000228,00010,000000000000100576,0009,456.188,KG,11963.34
100,0070000229,2024,001,0045000229,00010,000000000000100707,0010,92.78,KG,194.45
100,0070000230,2023,001,0045000230,00010,000000000000100549,0001,513.822,KG,6673.81
100,0070000231,2024,001,0045000231,00010,000000000000100872,0002,28.593,KG,524.86
100,0070000232,2023,001,0045000232,00010,000000000000100804,0003,510.81,KG,12514.63
100,0070000233,2024,001,0045000233,00010,000000000000100659,0004,225.102,KG,4970.75
100,0070000234,2023,001,0045000234,00010,000000000000100762,0005,183.292,KG,4300.2
100,0070000235,2024,001,0045000235,00010,000000000000100687,0006,971.918,KG,12258.79
100,0070000236,2023,001,0045000236,00010,000000000000100900,0007,95.208,KG,4097.79
100,0070000237,2024,001,0045000237,00010,000000000000100859,0008,854.95,KG,13469.07
100,0070000238,2023,001,0045000238,00010,000000000000100510,0009,24.281,KG,1003.45
100,0070000239,2024,001,0045000239,00010,000000000000100890,0010,913.553,KG,5278.89
100,0070000240,2023,001,0045000240,00010,000000000000100565,0001,519.463,KG,7277.27
100,0070000241,2024,001,0045000241,00010,000000000000100835,0002,65.518,KG,445.3
100,0070000242,2023,001,0045000242,00010,000000000000100874,0003,797.416,KG,30855.27
100,0070000243,2024,001,0045000243,00010,000000000000100604,0004,244.783,KG,3153.1
100,0070000244,2023,001,0045000244,00010,000000000000100911,0005,726.777,KG,28478.93
100,0070000245,2024,001,0045000245,00010,000000000000100719,0006,236.464,KG,8495.92
100,0070000246,2023,001,0045000246,00010,000000000000100794,0007,994.62,KG,1984.64
100,0070000247,2024,001,0045000247,00010,000000000000100726,0008,201.02,KG,5819.9
100,0070000248,2023,001,0045000248,00010,000000000000100515,0009,599.607,KG,20889.3
100,0070000249,2024,001,0045000249,00010,000000000000100777,0010,922.996,KG,6137.11
100,0070000250,2023,001,0045000250,00010,000000000000100754,0001,699.901,KG,15696.39
100,0070000251,2024,001,0045000251,00010,000000000000100712,0002,83.48,KG,1584.75
100,0070000252,2023,001,0045000252,00010,000000000000100934,0003,97.148,KG,3201.94
100,0070000253,2024,001,0045000253,00010,000000000000100594,0004,693.72,KG,24321.11
100,0070000254,2023,001,0045000254,00010,000000000000100603,0005,125.088,KG,1631.49
100,0070000255,2024,001,0045000255,00010,000000000000100791,0006,568.737,KG,14642.44
100,0070000256,2023,001,0045000256,00010,000000000000100543,0007,388.092,KG,2396.54
100,0070000257,2024,001,0045000257,00010,000000000000100902,0008,695.791,KG,21880.89
100,0070000258,2023,001,0045000258,00010,000000000000100502,0009,42.187,KG,1123.69
100,0070000259,2024,001,0045000259,00010,000000000000100797,0010,988.216,KG,18831.91
100,0070000260,2023,001,0045000260,00010,000000000000100940,0001,888.064,KG,41502.95
100,0070000261,2024,001,0045000261,00010,000000000000100732,0002,959.217,KG,35666.54
100,0070000262,2023,001,0045000262,00010,000000000000100737,0003,815.297,KG,29041.12
100,0070000263,2024,001,0045000263,00010,000000000000100837,0004,604.883,KG,2804.35
100,0070000264,2023,001,0045000264,00010,000000000000100672,0005,27.519,KG,30.79
100,0070000265,2024,001,0045000265,00010,000000000000100834,0006,568.423,KG,15415.87
100,0070000266,2023,001,0045000266,00010,000000000000100814,0007,484.45,KG,7231.24
100,0070000267,2024,001,0045000267,00010,000000000000100691,0008,653.526,KG,20234.45
100,0070000268,2023,001,0045000268,00010,000000000000100600,0009,762.466,KG,2960.42
100,0070000269,2024,001,0045000269,00010,000000000000100533,0010,10.72,KG,427.96
100,0070000270,2023,001,0045000270,00010,000000000000100974,0001,922.428,KG,2123.81
100,0070000271,2024,001,0045000271,00010,000000000000100569,0002,157.446,KG,6660.49
100,0070000272,2023,001,0045000272,00010,000000000000100963,0003,670.625,KG,30716.3
100,0070000273,2024,001,0045000273,00010,000000000000100674,0004,955.483,KG,36184.68
100,0070000274,2023,001,0045000274,00010,000000000000100925,0005,286.576,KG,9381.2
100,0070000275,2024,001,0045000275,00010,000000000000100972,0006,73.633,KG,1514.45
100,0070000276,2023,001,0045000276,00010,000000000000100758,0007,659.07,KG,17958.64
100,0070000277,2024,001,0045000277,00010,000000000000100527,0008,356.852,KG,5612.02
100,0070000278,2023,001,0045000278,00010,000000000000100617,0009,610.07,KG,8206.39
100,0070000279,2024,001,0045000279,00010,000000000000100688,0010,280.061,KG,13248.98
100,0070000280,2023,001,0045000280,00010,000000000000100917,0001,797.707,KG,31415.59
100,0070000281,2024,001,0045000281,00010,000000000000100506,0002,776.236,KG,35504.91
100,0070000282,2023,001,0045000282,00010,000000000000100553,0003,689.925,KG,4099.12
100,0070000283,2024,001,0045000283,00010,000000000000100651,0004,91.806,KG,1307.84
100,0070000284,2023,001,0045000284,00010,000000000000100589,0005,398.728,KG,4555.89
100,0070000285,2024,001,0045000285,00010,000000000000100944,0006,144.87,KG,6715.04
100,0070000286,2023,001,0045000286,00010,000000000000100816,0007,268.906,KG,9426.65
100,0070000287,2024,001,0045000287,00010,000000000000100888,0008,792.094,KG,38429.9
100,0070000288,2023,001,0045000288,00010,000000000000100542,0009,986.969,KG,14514.92
100,0070000289,2024,001,0045000289,00010,000000000000100500,0010,219.29,KG,1039.18
100,0070000290,2023,001,0045000290,00010,000000000000100531,0001,903.563,KG,43766.23
100,0070000291,2024,001,0045000291,00010,000000000000100749,0002,278.946,KG,10791.96
100,0070000292,2023,001,0045000292,00010,000000000000100873,0003,45.809,KG,1861.15
100,0070000293,2024,001,0045000293,00010,000000000000100801,0004,502.914,KG,17175.93
100,0070000294,2023,001,0045000294,00010,000000000000100736,0005,476.226,KG,22317.59
100,0070000295,2024,001,0045000295,00010,000000000000100996,0006,32.301,KG,471.52
100,0070000296,2023,001,0045000296,00010,000000000000100763,0007,692.69,KG,13696.34
100,0070000297,2024,001,0045000297,00010,000000000000100506,0008,214.401,KG,6033.3
100,0070000298,2023,001,0045000298,00010,000000000000100683,0009,815.121,KG,8739.66
100,0070000299,2024,001,0045000299,00010,000000000000100649,0010,798.68,KG,8618.74
100,0070000300,2023,001,0045000300,00010,000000000000100650,0001,824.061,KG,31669.94
100,0070000301,2024,001,0045000301,00010,000000000000100758,0002,795.966,KG,3786.98
100,0070000302,2023,001,0045000302,00010,000000000000100747,0003,245.597,KG,9484.27
100,0070000303,2024,001,0045000303,00010,000000000000100867,0004,815.816,KG,17780.34
100,0070000304,2023,001,0045000304,00010,000000000000100777,0005,26.228,KG,798.08
100,0070000305,2024,001,0045000305,00010,000000000000100827,0006,88.761,KG,2632.0
100,0070000306,2023,001,0045000306,00010,000000000000100799,0007,837.821,KG,16673.82
100,0070000307,2024,001,0045000307,00010,000000000000100818,0008,43.495,KG,808.26
100,0070000308,2023,001,0045000308,00010,000000000000100581,0009,966.406,KG,35284.71
100,0070000309,2024,001,0045000309,00010,000000000000100784,0010,701.964,KG,17133.88
100,0070000310,2023,001,0045000310,00010,000000000000100951,0001,582.29,KG,21893.83
100,0070000311,2024,001,0045000311,00010,000000000000100711,0002,957.054,KG,2845.97
100,0070000312,2023,001,0045000312,00010,000000000000100686,0003,388.027,KG,12126.21
100,0070000313,2024,001,0045000313,00010,000000000000100813,0004,803.11,KG,35609.88
100,0070000314,2023,001,0045000314,00010,000000000000100561,0005,947.621,KG,17453.01
100,0070000315,2024,001,0045000315,00010,000000000000100822,0006,16.145,KG,422.5
100,0070000316,2023,001,0045000316,00010,000000000000100685,0007,712.297,KG,8419.52
100,0070000317,2024,001,0045000317,00010,000000000000100801,0008,948.868,KG,26263.16
100,0070000318,2023,001,0045000318,00010,000000000000100921,0009,534.855,KG,22344.77
100,0070000319,2024,001,0045000319,00010,000000000000100779,0010,166.457,KG,3749.71
100,0070000320,2023,001,0045000320,00010,000000000000100905,0001,50.46,KG,1631.81
100,0070000321,2024,001,0045000321,00010,000000000000100743,0002,270.602,KG,8370.22
100,0070000322,2023,001,0045000322,00010,000000000000100628,0003,993.125,KG,11988.83
100,0070000323,2024,001,0045000323,00010,000000000000100992,0004,908.641,KG,32188.68
100,0070000324,2023,001,0045000324,00010,000000000000100969,0005,233.424,KG,11434.22
100,0070000325,2024,001,0045000325,00010,000000000000100949,0006,373.494,KG,3735.63
100,0070000326,2023,001,0045000326,00010,000000000000100540,0007,815.651,KG,35733.69
100,0070000327,2024,001,0045000327,00010,000000000000100974,0008,15.181,KG,16.84
100,0070000328,2023,001,0045000328,00010,000000000000100529,0009,983.91,KG,6008.23
100,0070000329,2024,001,0045000329,00010,000000000000100634,0010,73.396,KG,1731.21
100,0070000330,2023,001,0045000330,00010,000000000000100677,0001,377.901,KG,5434.76
