MANDT,VBELN,POSNR,ETENR,EDATU,WMENG,VRKME
100,8000000033,000020,0001,20240530,1390,ST
100,8000000034,000010,0001,20241124,4069,ST
100,8000000034,000020,0001,20241130,975,ST
100,8000000034,000030,0001,20241207,4669,ST
100,8000000034,000040,0001,20241205,4009,ST
100,8000000034,000050,0001,20241203,2874,ST
100,8000000035,000010,0001,20230212,3374,ST
100,8000000035,000020,0001,20230223,3865,ST
100,8000000036,000010,0001,20220827,1335,ST
100,8000000036,000020,0001,20220818,916,ST
100,8000000036,000030,0001,20220822,1323,ST
100,8000000037,000010,0001,20251112,4121,ST
100,8000000038,000010,0001,20221002,1947,ST
100,8000000038,000020,0001,20220921,3943,ST
100,8000000039,000010,0001,20241129,2168,ST
100,8000000039,000020,0001,20241204,4125,ST
100,8000000040,000010,0001,20221007,1207,ST
100,8000000041,000010,0001,20241215,1826,ST
100,8000000041,000020,0001,20241225,911,ST
100,8000000041,000030,0001,20241224,1498,ST
100,8000000042,000010,0001,20220801,2988,ST
100,8000000043,000010,0001,20231120,4834,ST
100,8000000043,000020,0001,20231116,724,ST
100,8000000043,000030,0001,20231115,1590,ST
100,8000000044,000010,0001,20240918,368,ST
100,8000000044,000020,0001,20240904,2855,ST
100,8000000045,000010,0001,20241220,4918,ST
100,8000000045,000020,0001,20241227,3266,ST
100,8000000045,000030,0001,20241223,3156,ST
100,8000000046,000010,0001,20221213,4210,ST
100,8000000046,000020,0001,20221204,2209,ST
100,8000000047,000010,0001,20250812,1099,ST
100,8000000047,000020,0001,20250816,21,ST
100,8000000047,000030,0001,20250814,2173,ST
100,8000000047,000040,0001,20250810,2922,ST
100,8000000048,000010,0001,20250429,2118,ST
100,8000000048,000020,0001,20250424,2211,ST
100,8000000048,000030,0001,20250414,3029,ST
100,8000000049,000010,0001,20230130,2320,ST
100,8000000049,000020,0001,20230201,578,ST
100,8000000050,000010,0001,20220728,4952,ST
100,8000000050,000020,0001,20220805,1092,ST
100,8000000051,000010,0001,20220210,706,ST
100,8000000051,000020,0001,20220124,2727,ST
100,8000000052,000010,0001,20220926,4471,ST
100,8000000052,000020,0001,20220924,1866,ST
100,8000000052,000030,0001,20220920,930,ST
100,8000000052,000040,0001,20220924,634,ST
100,8000000053,000010,0001,20250608,2753,ST
100,8000000054,000010,0001,20250717,2230,ST
100,8000000054,000020,0001,20250710,27,ST
100,8000000055,000010,0001,20240913,2291,ST
100,8000000056,000010,0001,20241016,4939,ST
100,8000000056,000020,0001,20241029,3149,ST
100,8000000057,000010,0001,20240308,4326,ST
100,8000000057,000020,0001,20240312,1675,ST
100,8000000057,000030,0001,20240305,498,ST
100,8000000058,000010,0001,20240519,467,ST
100,8000000058,000020,0001,20240602,3054,ST
100,8000000059,000010,0001,20220319,2017,ST
100,8000000059,000020,0001,20220321,4330,ST
100,8000000060,000010,0001,20251202,501,ST
100,8000000060,000020,0001,20251215,3731,ST
100,8000000061,000010,0001,20221127,3102,ST
100,8000000061,000020,0001,20221123,1514,ST
100,8000000061,000030,0001,20221122,3328,ST
100,8000000061,000040,0001,20221202,2221,ST
100,8000000061,000050,0001,20221124,1972,ST
100,8000000062,000010,0001,20230210,1978,ST
100,8000000062,000020,0001,20230201,384,ST
100,8000000063,000010,0001,20240401,2925,ST
100,8000000064,000010,0001,20220813,204,ST
100,8000000064,000020,0001,20220731,1330,ST
100,8000000064,000030,0001,20220802,1776,ST
100,8000000064,000040,0001,20220814,4239,ST
100,8000000065,000010,0001,20231211,337,ST
100,8000000065,000020,0001,20231214,624,ST
100,8000000066,000010,0001,20250202,2579,ST
100,8000000066,000020,0001,20250211,740,ST
100,8000000067,000010,0001,20240706,4669,ST
100,8000000067,000020,0001,20240707,3621,ST
100,8000000067,000030,0001,20240628,3697,ST
100,8000000067,000040,0001,20240706,4604,ST
100,8000000068,000010,0001,20230422,2868,ST
100,8000000068,000020,0001,20230418,1486,ST
100,8000000068,000030,0001,20230411,2815,ST
100,8000000068,000040,0001,20230420,3733,ST
100,8000000069,000010,0001,20220315,2971,ST
100,8000000069,000020,0001,20220311,2220,ST
100,8000000069,000030,0001,20220322,2453,ST
100,8000000070,000010,0001,20230120,2811,ST
100,8000000071,000010,0001,20240921,3588,ST
100,8000000071,000020,0001,20240921,1636,ST
100,8000000071,000030,0001,20240907,126,ST
100,8000000072,000010,0001,20240429,3700,ST
100,8000000072,000020,0001,20240428,1800,ST
100,8000000073,000010,0001,20240227,4735,ST
100,8000000073,000020,0001,20240301,1031,ST
100,8000000074,000010,0001,20240607,938,ST
100,8000000074,000020,0001,20240607,4456,ST
100,8000000074,000030,0001,20240527,727,ST
100,8000000074,000040,0001,20240611,859,ST
100,8000000074,000050,0001,20240531,277,ST
100,8000000075,000010,0001,20220908,2882,ST
100,8000000075,000020,0001,20220911,72,ST
100,8000000075,000030,0001,20220902,2528,ST
100,8000000075,000040,0001,20220911,137,ST
100,8000000076,000010,0001,20221231,4562,ST
100,8000000076,000020,0001,20221231,3525,ST
100,8000000076,000030,0001,20221222,4247,ST
100,8000000076,000040,0001,20221227,4736,ST
100,8000000076,000050,0001,20230101,1679,ST
100,8000000077,000010,0001,20220305,4694,ST
100,8000000077,000020,0001,20220310,1538,ST
100,8000000077,000030,0001,20220303,2143,ST
100,8000000078,000010,0001,20250412,1015,ST
100,8000000079,000010,0001,20240116,189,ST
100,8000000079,000020,0001,20240123,3703,ST
100,8000000080,000010,0001,20250805,2818,ST
100,8000000080,000020,0001,20250805,1006,ST
100,8000000080,000030,0001,20250725,1781,ST
100,8000000080,000040,0001,20250725,1046,ST
100,8000000081,000010,0001,20250906,3582,ST
100,8000000081,000020,0001,20250909,3228,ST
100,8000000082,000010,0001,20241002,4895,ST
100,8000000082,000020,0001,20241001,2901,ST
100,8000000082,000030,0001,20241015,2083,ST
100,8000000082,000040,0001,20241010,2653,ST
100,8000000083,000010,0001,20240214,88,ST
100,8000000083,000020,0001,20240213,1915,ST
100,8000000083,000030,0001,20240206,4605,ST
100,8000000084,000010,0001,20240628,1624,ST
100,8000000084,000020,0001,20240623,1026,ST
100,8000000084,000030,0001,20240613,2345,ST
100,8000000084,000040,0001,20240614,313,ST
100,8000000085,000010,0001,20220719,2608,ST
100,8000000085,000020,0001,20220731,395,ST
100,8000000085,000030,0001,20220717,3073,ST
100,8000000086,000010,0001,20220818,1864,ST
100,8000000086,000020,0001,20220810,440,ST
100,8000000086,000030,0001,20220815,2707,ST
100,8000000086,000040,0001,20220811,3784,ST
100,8000000087,000010,0001,20250815,4332,ST
100,8000000087,000020,0001,20250802,1860,ST
100,8000000087,000030,0001,20250815,1696,ST
100,8000000088,000010,0001,20240904,2798,ST
100,8000000089,000010,0001,20260105,875,ST
100,8000000089,000020,0001,20251231,4216,ST
100,8000000089,000030,0001,20260108,4738,ST
100,8000000090,000010,0001,20220217,3911,ST
100,8000000091,000010,0001,20231231,4123,ST
100,8000000091,000020,0001,20240105,3143,ST
100,8000000092,000010,0001,20230730,3561,ST
100,8000000092,000020,0001,20230725,302,ST
100,8000000092,000030,0001,20230730,3324,ST
100,8000000093,000010,0001,20241023,2857,ST
100,8000000094,000010,0001,20251210,1964,ST
100,8000000094,000020,0001,20251223,1171,ST
100,8000000095,000010,0001,20220628,4876,ST
100,8000000095,000020,0001,20220628,906,ST
100,8000000095,000030,0001,20220613,4313,ST
100,8000000096,000010,0001,20240729,2118,ST
100,8000000096,000020,0001,20240802,2743,ST
100,8000000096,000030,0001,20240722,1221,ST
100,8000000097,000010,0001,20251202,1597,ST
100,8000000097,000020,0001,20251204,3690,ST
100,8000000098,000010,0001,20240330,2543,ST
100,8000000098,000020,0001,20240325,3560,ST
100,8000000099,000010,0001,20251124,4295,ST
100,8000000099,000020,0001,20251121,539,ST
100,8000000100,000010,0001,20220914,3535,ST
100,8000000100,000020,0001,20220917,4122,ST
100,8000000101,000010,0001,20230221,2392,ST
100,8000000101,000020,0001,20230218,3471,ST
100,8000000101,000030,0001,20230228,4629,ST
100,8000000102,000010,0001,20221022,2508,ST
100,8000000102,000020,0001,20221018,796,ST
100,8000000102,000030,0001,20221021,3846,ST
100,8000000103,000010,0001,20220315,2487,ST
100,8000000103,000020,0001,20220303,2413,ST
100,8000000104,000010,0001,20240812,886,ST
100,8000000105,000010,0001,20220913,444,ST
100,8000000105,000020,0001,20220913,1841,ST
100,8000000105,000030,0001,20220912,3982,ST
100,8000000106,000010,0001,20241217,3890,ST
100,8000000106,000020,0001,20241210,3324,ST
100,8000000107,000010,0001,20251030,1019,ST
100,8000000107,000020,0001,20251116,1408,ST
100,8000000107,000030,0001,20251110,829,ST
100,8000000107,000040,0001,20251103,3810,ST
100,8000000108,000010,0001,20240315,3651,ST
100,8000000108,000020,0001,20240327,84,ST
100,8000000108,000030,0001,20240316,4311,ST
100,8000000109,000010,0001,20250311,2290,ST
100,8000000109,000020,0001,20250307,3094,ST
100,8000000110,000010,0001,20250102,4833,ST
100,8000000111,000010,0001,20220320,880,ST
100,8000000112,000010,0001,20230505,3156,ST
100,8000000112,000020,0001,20230503,607,ST
100,8000000112,000030,0001,20230521,3103,ST
100,8000000112,000040,0001,20230509,3594,ST
100,8000000113,000010,0001,20230201,798,ST
100,8000000113,000020,0001,20230217,599,ST
100,8000000113,000030,0001,20230218,3890,ST
100,8000000114,000010,0001,20240606,4672,ST
100,8000000114,000020,0001,20240604,4937,ST
100,8000000115,000010,0001,20240320,2369,ST
100,8000000115,000020,0001,20240330,2567,ST
100,8000000116,000010,0001,20230627,3462,ST
100,8000000117,000010,0001,20231111,1940,ST
100,8000000117,000020,0001,20231127,4910,ST
100,8000000117,000030,0001,20231117,862,ST
100,8000000118,000010,0001,20230415,1617,ST
100,8000000118,000020,0001,20230502,1035,ST
100,8000000118,000030,0001,20230428,3022,ST
100,8000000118,000040,0001,20230502,4831,ST
100,8000000119,000010,0001,20230609,3602,ST
100,8000000120,000010,0001,20230902,1012,ST
100,8000000120,000020,0001,20230905,1814,ST
100,8000000120,000030,0001,20230911,4325,ST
100,8000000121,000010,0001,20251225,1677,ST
100,8000000121,000020,0001,20251219,3060,ST
100,8000000122,000010,0001,20240730,2224,ST
100,8000000123,000010,0001,20250611,3161,ST
100,8000000123,000020,0001,20250622,438,ST
100,8000000124,000010,0001,20231206,1783,ST
100,8000000124,000020,0001,20231202,904,ST
100,8000000124,000030,0001,20231209,3482,ST
100,8000000124,000040,0001,20231201,1961,ST
100,8000000125,000010,0001,20230607,4688,ST
100,8000000125,000020,0001,20230609,111,ST
100,8000000126,000010,0001,20240825,313,ST
100,8000000126,000020,0001,20240818,2274,ST
100,8000000127,000010,0001,20230724,1873,ST
100,8000000127,000020,0001,20230802,4161,ST
100,8000000127,000030,0001,20230803,2132,ST
100,8000000127,000040,0001,20230806,2874,ST
100,8000000128,000010,0001,20231106,594,ST
100,8000000128,000020,0001,20231113,2754,ST
100,8000000129,000010,0001,20220311,1239,ST
100,8000000129,000020,0001,20220319,4173,ST
100,8000000130,000010,0001,20220329,652,ST
100,8000000130,000020,0001,20220327,3434,ST
100,8000000130,000030,0001,20220317,4272,ST
100,8000000131,000010,0001,20231111,1901,ST
100,8000000131,000020,0001,20231124,2974,ST
100,8000000131,000030,0001,20231115,4967,ST
100,8000000132,000010,0001,20250117,4800,ST
100,8000000132,000020,0001,20250113,677,ST
100,8000000132,000030,0001,20250114,1483,ST
100,8000000133,000010,0001,20260104,289,ST
100,8000000133,000020,0001,20260103,3189,ST
100,8000000133,000030,0001,20260117,985,ST
100,8000000134,000010,0001,20220420,3687,ST
100,8000000134,000020,0001,20220424,1112,ST
100,8000000134,000030,0001,20220424,1257,ST
100,8000000135,000010,0001,20231029,2298,ST
100,8000000136,000010,0001,20241204,2346,ST
100,8000000136,000020,0001,20241209,3536,ST
100,8000000136,000030,0001,20241206,2368,ST
100,8000000137,000010,0001,20250615,2292,ST
100,8000000138,000010,0001,20250528,4416,ST
100,8000000138,000020,0001,20250526,2318,ST
100,8000000138,000030,0001,20250516,2426,ST
100,8000000138,000040,0001,20250516,721,ST
100,8000000138,000050,0001,20250523,619,ST
100,8000000139,000010,0001,20251027,324,ST
100,8000000140,000010,0001,20250721,75,ST
100,8000000140,000020,0001,20250714,2183,ST
100,8000000140,000030,0001,20250715,736,ST
100,8000000140,000040,0001,20250722,1718,ST
100,8000000141,000010,0001,20250422,4355,ST
100,8000000141,000020,0001,20250424,4025,ST
100,8000000141,000030,0001,20250426,930,ST
100,8000000142,000010,0001,20240527,940,ST
100,8000000143,000010,0001,20250531,2393,ST
100,8000000143,000020,0001,20250531,2611,ST
100,8000000143,000030,0001,20250519,3987,ST
100,8000000144,000010,0001,20221221,913,ST
100,8000000144,000020,0001,20221221,3116,ST
100,8000000145,000010,0001,20220530,2976,ST
100,8000000146,000010,0001,20221201,4539,ST
100,8000000146,000020,0001,20221201,849,ST
100,8000000147,000010,0001,20250801,2241,ST
100,8000000147,000020,0001,20250802,705,ST
100,8000000147,000030,0001,20250807,4965,ST
100,8000000148,000010,0001,20231008,2485,ST
100,8000000148,000020,0001,20231012,3094,ST
100,8000000149,000010,0001,20230821,3142,ST
100,8000000149,000020,0001,20230821,3714,ST
100,8000000150,000010,0001,20250305,1187,ST
100,8000000150,000020,0001,20250314,4871,ST
100,8000000150,000030,0001,20250310,1914,ST
100,8000000151,000010,0001,20220325,3340,ST
100,8000000151,000020,0001,20220326,4104,ST
100,8000000151,000030,0001,20220321,4554,ST
100,8000000152,000010,0001,20240218,4269,ST
100,8000000152,000020,0001,20240228,3484,ST
100,8000000152,000030,0001,20240215,3435,ST
100,8000000153,000010,0001,20230722,4628,ST
100,8000000153,000020,0001,20230728,3051,ST
100,8000000154,000010,0001,20221012,90,ST
100,8000000154,000020,0001,20221011,2564,ST
100,8000000155,000010,0001,20250717,2880,ST
100,8000000155,000020,0001,20250724,2338,ST
100,8000000155,000030,0001,20250712,2096,ST
100,8000000156,000010,0001,20230410,848,ST
100,8000000157,000010,0001,20250507,3888,ST
100,8000000157,000020,0001,20250430,1210,ST
100,8000000158,000010,0001,20221014,3874,ST
100,8000000158,000020,0001,20221021,3896,ST
100,8000000158,000030,0001,20221015,1370,ST
100,8000000158,000040,0001,20221024,2062,ST
100,8000000159,000010,0001,20240827,1761,ST
100,8000000159,000020,0001,20240821,1614,ST
100,8000000159,000030,0001,20240815,3031,ST
100,8000000160,000010,0001,20250810,2256,ST
100,8000000160,000020,0001,20250827,3733,ST
100,8000000161,000010,0001,20250613,1088,ST
100,8000000162,000010,0001,20220801,146,ST
100,8000000162,000020,0001,20220803,3010,ST
100,8000000163,000010,0001,20220522,1218,ST
100,8000000163,000020,0001,20220517,4150,ST
100,8000000163,000030,0001,20220519,2807,ST
100,8000000163,000040,0001,20220522,751,ST
100,8000000164,000010,0001,20221223,3781,ST
100,8000000164,000020,0001,20221225,1097,ST
100,8000000165,000010,0001,20240508,1642,ST
100,8000000165,000020,0001,20240516,2919,ST
100,8000000165,000030,0001,20240512,310,ST
100,8000000165,000040,0001,20240509,2851,ST
100,8000000166,000010,0001,20250212,4214,ST
100,8000000166,000020,0001,20250221,4245,ST
100,8000000166,000030,0001,20250207,4628,ST
100,8000000167,000010,0001,20220125,2768,ST
100,8000000167,000020,0001,20220203,4489,ST
100,8000000168,000010,0001,20251206,2005,ST
100,8000000168,000020,0001,20251129,1929,ST
100,8000000168,000030,0001,20251212,3292,ST
100,8000000169,000010,0001,20251203,1153,ST
100,8000000170,000010,0001,20231218,16,ST
100,8000000170,000020,0001,20231220,1675,ST
100,8000000171,000010,0001,20220120,3866,ST
100,8000000172,000010,0001,20260101,3185,ST
100,8000000172,000020,0001,20251231,4900,ST
100,8000000172,000030,0001,20251225,230,ST
100,8000000173,000010,0001,20241110,642,ST
100,8000000173,000020,0001,20241031,770,ST
100,8000000173,000030,0001,20241031,3947,ST
100,8000000174,000010,0001,20240818,3323,ST
100,8000000174,000020,0001,20240825,3734,ST
100,8000000175,000010,0001,20230627,3698,ST
100,8000000175,000020,0001,20230629,1475,ST
100,8000000175,000030,0001,20230705,2771,ST
100,8000000176,000010,0001,20240806,336,ST
100,8000000177,000010,0001,20240208,202,ST
100,8000000177,000020,0001,20240202,2448,ST
100,8000000178,000010,0001,20240409,784,ST
100,8000000179,000010,0001,20251125,4671,ST
100,8000000179,000020,0001,20251117,3138,ST
100,8000000180,000010,0001,20240521,659,ST
100,8000000181,000010,0001,20250623,410,ST
100,8000000181,000020,0001,20250629,2277,ST
100,8000000182,000010,0001,20220124,1073,ST
100,8000000182,000020,0001,20220128,1820,ST
100,8000000183,000010,0001,20250127,112,ST
100,8000000183,000020,0001,20250128,1735,ST
100,8000000184,000010,0001,20220624,690,ST
100,8000000184,000020,0001,20220701,3838,ST
100,8000000185,000010,0001,20240515,4568,ST
100,8000000186,000010,0001,20220918,916,ST
100,8000000186,000020,0001,20220926,4516,ST
100,8000000187,000010,0001,20250729,2613,ST
100,8000000187,000020,0001,20250722,2355,ST
100,8000000187,000030,0001,20250731,37,ST
100,8000000188,000010,0001,20240306,3371,ST
100,8000000188,000020,0001,20240228,4921,ST
100,8000000188,000030,0001,20240228,3875,ST
100,8000000189,000010,0001,20240318,1332,ST
100,8000000189,000020,0001,20240311,2653,ST
100,8000000190,000010,0001,20251107,1458,ST
100,8000000190,000020,0001,20251104,2015,ST
100,8000000191,000010,0001,20241220,3426,ST
100,8000000191,000020,0001,20241204,204,ST
100,8000000191,000030,0001,20241217,2986,ST
100,8000000191,000040,0001,20241206,2160,ST
100,8000000192,000010,0001,20231202,1731,ST
100,8000000192,000020,0001,20231214,2139,ST
100,8000000192,000030,0001,20231204,4664,ST
100,8000000192,000040,0001,20231209,3048,ST
100,8000000193,000010,0001,20250729,2425,ST
100,8000000193,000020,0001,20250731,2117,ST
100,8000000194,000010,0001,20230630,3334,ST
100,8000000194,000020,0001,20230704,2584,ST
100,8000000194,000030,0001,20230619,1446,ST
100,8000000195,000010,0001,20231005,4995,ST
100,8000000195,000020,0001,20231005,4303,ST
100,8000000196,000010,0001,20220811,4542,ST
100,8000000196,000020,0001,20220801,3668,ST
100,8000000197,000010,0001,20250905,1463,ST
100,8000000197,000020,0001,20250913,531,ST
100,8000000198,000010,0001,20250427,815,ST
100,8000000198,000020,0001,20250423,963,ST
100,8000000198,000030,0001,20250505,4001,ST
100,8000000199,000010,0001,20240711,3747,ST
100,8000000199,000020,0001,20240707,2702,ST
100,8000000199,000030,0001,20240715,2049,ST
100,8000000200,000010,0001,20230114,3864,ST
100,8000000201,000010,0001,20240706,1506,ST
100,8000000201,000020,0001,20240708,4355,ST
100,8000000201,000030,0001,20240704,2662,ST
100,8000000202,000010,0001,20231108,3425,ST
100,8000000202,000020,0001,20231112,3047,ST
100,8000000202,000030,0001,20231101,3494,ST
100,8000000202,000040,0001,20231115,2906,ST
100,8000000202,000050,0001,20231110,1718,ST
100,8000000203,000010,0001,20240305,1771,ST
100,8000000203,000020,0001,20240312,3939,ST
100,8000000203,000030,0001,20240315,3999,ST
100,8000000204,000010,0001,20231208,2338,ST
100,8000000204,000020,0001,20231215,1253,ST
100,8000000205,000010,0001,20230521,4570,ST
100,8000000205,000020,0001,20230527,2969,ST
100,8000000205,000030,0001,20230529,2977,ST
100,8000000206,000010,0001,20221103,3256,ST
100,8000000206,000020,0001,20221103,142,ST
100,8000000206,000030,0001,20221020,4040,ST
100,8000000207,000010,0001,20220828,728,ST
100,8000000208,000010,0001,20230812,2716,ST
100,8000000208,000020,0001,20230725,185,ST
100,8000000209,000010,0001,20230427,1835,ST
100,8000000209,000020,0001,20230428,2915,ST
100,8000000210,000010,0001,20231001,4940,ST
100,8000000211,000010,0001,20231018,2491,ST
100,8000000211,000020,0001,20231014,233,ST
100,8000000211,000030,0001,20231025,1718,ST
100,8000000212,000010,0001,20250512,4160,ST
100,8000000213,000010,0001,20241017,3410,ST
100,8000000213,000020,0001,20241014,3753,ST
100,8000000213,000030,0001,20241014,2962,ST
100,8000000214,000010,0001,20251220,3871,ST
100,8000000214,000020,0001,20251214,4635,ST
100,8000000214,000030,0001,20251219,511,ST
100,8000000215,000010,0001,20240516,1250,ST
100,8000000216,000010,0001,20220316,3067,ST
100,8000000216,000020,0001,20220319,3864,ST
100,8000000217,000010,0001,20241227,2866,ST
100,8000000218,000010,0001,20240812,3617,ST
100,8000000218,000020,0001,20240823,1060,ST
100,8000000218,000030,0001,20240818,3924,ST
100,8000000218,000040,0001,20240815,1857,ST
100,8000000219,000010,0001,20220825,2476,ST
100,8000000219,000020,0001,20220811,1088,ST
100,8000000220,000010,0001,20240303,1502,ST
100,8000000221,000010,0001,20231107,2827,ST
100,8000000221,000020,0001,20231103,2162,ST
100,8000000221,000030,0001,20231103,2772,ST
100,8000000222,000010,0001,20240808,4262,ST
100,8000000223,000010,0001,20220720,995,ST
100,8000000223,000020,0001,20220801,4542,ST
100,8000000223,000030,0001,20220723,1606,ST
100,8000000223,000040,0001,20220803,4315,ST
100,8000000223,000050,0001,20220801,2980,ST
100,8000000224,000010,0001,20221213,1863,ST
100,8000000224,000020,0001,20221218,1666,ST
100,8000000224,000030,0001,20221218,3913,ST
100,8000000225,000010,0001,20251016,4875,ST
100,8000000225,000020,0001,20251016,1996,ST
100,8000000226,000010,0001,20220615,1160,ST
100,8000000226,000020,0001,20220528,1176,ST
100,8000000226,000030,0001,20220612,850,ST
100,8000000226,000040,0001,20220601,4443,ST
100,8000000226,000050,0001,20220609,2239,ST
100,8000000227,000010,0001,20240818,2394,ST
100,8000000227,000020,0001,20240831,2980,ST
100,8000000227,000030,0001,20240824,474,ST
100,8000000228,000010,0001,20240527,690,ST
100,8000000228,000020,0001,20240527,3563,ST
100,8000000228,000030,0001,20240524,4979,ST
100,8000000228,000040,0001,20240523,4725,ST
100,8000000229,000010,0001,20240530,2855,ST
100,8000000229,000020,0001,20240522,3547,ST
100,8000000229,000030,0001,20240516,819,ST
100,8000000230,000010,0001,20240118,2276,ST
100,8000000230,000020,0001,20240118,1325,ST
100,8000000231,000010,0001,20241102,4419,ST
100,8000000231,000020,0001,20241028,3336,ST
100,8000000232,000010,0001,20241004,2971,ST
100,8000000232,000020,0001,20241003,4156,ST
100,8000000233,000010,0001,20250705,751,ST
100,8000000234,000010,0001,20250108,858,ST
100,8000000234,000020,0001,20250106,1851,ST
100,8000000235,000010,0001,20220304,2019,ST
100,8000000235,000020,0001,20220315,3968,ST
100,8000000236,000010,0001,20230128,4724,ST
100,8000000236,000020,0001,20230130,3543,ST
100,8000000236,000030,0001,20230127,2645,ST
100,8000000237,000010,0001,20241115,868,ST
100,8000000237,000020,0001,20241109,1844,ST
100,8000000238,000010,0001,20240616,191,ST
100,8000000238,000020,0001,20240623,532,ST
100,8000000238,000030,0001,20240619,4906,ST
100,8000000238,000040,0001,20240624,2548,ST
100,8000000238,000050,0001,20240703,3345,ST
100,8000000239,000010,0001,20220424,990,ST
100,8000000239,000020,0001,20220427,2048,ST
100,8000000239,000030,0001,20220510,2728,ST
100,8000000240,000010,0001,20240228,1509,ST
100,8000000240,000020,0001,20240229,753,ST
100,8000000241,000010,0001,20220621,4301,ST
100,8000000241,000020,0001,20220620,792,ST
100,8000000242,000010,0001,20250327,1422,ST
100,8000000242,000020,0001,20250323,804,ST
100,8000000243,000010,0001,20230105,258,ST
100,8000000244,000010,0001,20220827,4257,ST
100,8000000244,000020,0001,20220829,2773,ST
100,8000000244,000030,0001,20220823,4552,ST
100,8000000245,000010,0001,20230211,3945,ST
100,8000000246,000010,0001,20250918,4721,ST
100,8000000246,000020,0001,20250915,2634,ST
100,8000000246,000030,0001,20250921,3098,ST
100,8000000246,000040,0001,20250907,3195,ST
100,8000000247,000010,0001,20230925,4456,ST
100,8000000247,000020,0001,20230925,3163,ST
100,8000000247,000030,0001,20231010,4174,ST
100,8000000248,000010,0001,20220809,2633,ST
100,8000000248,000020,0001,20220728,380,ST
100,8000000248,000030,0001,20220801,2719,ST
100,8000000248,000040,0001,20220802,1287,ST
100,8000000249,000010,0001,20260110,3362,ST
100,8000000249,000020,0001,20260109,4009,ST
100,8000000250,000010,0001,20250924,954,ST
100,8000000250,000020,0001,20251001,3272,ST
100,8000000251,000010,0001,20240323,4089,ST
100,8000000251,000020,0001,20240324,321,ST
