MANDT,DTNUM,MATNR,WERKS,BEESSION
100,000000000049,000000000000100490,0006,20220611
100,000000000050,000000000000100712,0009,20240824
100,000000000051,000000000000100484,0007,20241109
100,000000000052,000000000000100082,0008,20230214
100,000000000053,000000000000100425,0005,20230417
100,000000000054,000000000000100593,0008,20220723
100,000000000055,000000000000100462,0009,20220416
100,000000000056,000000000000100700,0002,20231012
100,000000000057,000000000000100698,0004,20220506
100,000000000058,000000000000100335,0006,20230107
100,000000000059,000000000000100872,0003,20220727
100,000000000060,000000000000100778,0009,20220327
100,000000000061,000000000000100742,0006,20230822
100,000000000062,000000000000100212,0005,20240313
100,000000000063,000000000000100526,0005,20240809
100,000000000064,000000000000100014,0010,20220110
100,000000000065,000000000000100535,0008,20241205
100,000000000066,000000000000100790,0009,20230217
100,000000000067,000000000000100732,0004,20220714
100,000000000068,000000000000100063,0008,20221117
100,000000000069,000000000000100483,0008,20220211
100,000000000070,000000000000100992,0001,20230824
100,000000000071,000000000000100998,0008,20240103
100,000000000072,000000000000100796,0008,20241019
100,000000000073,000000000000100217,0005,20241030
100,000000000074,000000000000100680,0006,20230620
100,000000000075,000000000000100431,0009,20220526
100,000000000076,000000000000100201,0008,20240802
100,000000000077,000000000000100462,0004,20231023
100,000000000078,000000000000100439,0004,20230618
100,000000000079,000000000000100609,0003,20231129
100,000000000080,000000000000100232,0001,20241227
100,000000000081,000000000000100839,0004,20240501
100,000000000082,000000000000100301,0010,20230307
100,000000000083,000000000000100654,0004,20240219
100,000000000084,000000000000100151,0002,20231007
100,000000000085,000000000000100808,0009,20220803
100,000000000086,000000000000100163,0009,20220529
100,000000000087,000000000000100530,0002,20221015
100,000000000088,000000000000100891,0001,20240417
100,000000000089,000000000000100100,0004,20230217
100,000000000090,000000000000100566,0003,20240513
100,000000000091,000000000000100260,0001,20220904
100,000000000092,000000000000100183,0003,20220805
100,000000000093,000000000000100697,0008,20240507
100,000000000094,000000000000100411,0006,20221025
100,000000000095,000000000000100802,0001,20230602
100,000000000096,000000000000100250,0008,20230801
100,000000000097,000000000000100586,0001,20240725
100,000000000098,000000000000100605,0009,20240925
100,000000000099,000000000000100513,0001,20221214
100,000000000100,000000000000100525,0008,20220402
100,000000000101,000000000000100496,0004,20230827
100,000000000102,000000000000100991,0007,20230815
100,000000000103,000000000000100960,0009,20220322
100,000000000104,000000000000100029,0007,20220105
100,000000000105,000000000000100025,0008,20230318
100,000000000106,000000000000100972,0008,20240716
100,000000000107,000000000000100240,0005,20230528
100,000000000108,000000000000100539,0002,20240430
100,000000000109,000000000000100976,0006,20220612
100,000000000110,000000000000100112,0001,20240618
100,000000000111,000000000000100278,0004,20240917
100,000000000112,000000000000100411,0003,20230315
100,000000000113,000000000000100845,0006,20220601
100,000000000114,000000000000100936,0003,20240311
100,000000000115,000000000000100104,0006,20240919
100,000000000116,000000000000100281,0001,20221106
100,000000000117,000000000000100583,0001,20231108
100,000000000118,000000000000100798,0007,20230527
100,000000000119,000000000000100634,0007,20221110
100,000000000120,000000000000100401,0009,20230129
100,000000000121,000000000000100318,0010,20221210
100,000000000122,000000000000100848,0009,20240911
100,000000000123,000000000000100462,0006,20220202
100,000000000124,000000000000100164,0002,20230124
100,000000000125,000000000000100224,0003,20231010
100,000000000126,000000000000100302,0002,20220803
100,000000000127,000000000000100769,0010,20220522
100,000000000128,000000000000100568,0002,20220701
100,000000000129,000000000000100148,0009,20221223
100,000000000130,000000000000100268,0008,20220521
100,000000000131,000000000000100787,0007,20240901
100,000000000132,000000000000100342,0002,20230824
100,000000000133,000000000000100636,0001,20240918
100,000000000134,000000000000100634,0001,20231103
100,000000000135,000000000000100750,0003,20230219
100,000000000136,000000000000100971,0002,20220505
100,000000000137,000000000000100498,0004,20230127
100,000000000138,000000000000100501,0009,20231220
100,000000000139,000000000000100830,0004,20220327
100,000000000140,000000000000100947,0006,20230221
100,000000000141,000000000000100792,0005,20230831
100,000000000142,000000000000100520,0008,20220802
100,000000000143,000000000000100454,0002,20221123
100,000000000144,000000000000100462,0003,20230526
100,000000000145,000000000000100871,0004,20230625
100,000000000146,000000000000100063,0009,20230504
100,000000000147,000000000000100060,0001,20240310
100,000000000148,000000000000100355,0008,20240408
100,000000000149,000000000000100704,0010,20240802
100,000000000150,000000000000100277,0010,20220514
100,000000000151,000000000000100147,0003,20240328
100,000000000152,000000000000100765,0004,20220306
100,000000000153,000000000000100349,0002,20220915
100,000000000154,000000000000100251,0006,20220411
100,000000000155,000000000000100306,0002,20220901
100,000000000156,000000000000100310,0003,20230627
100,000000000157,000000000000100277,0006,20230607
100,000000000158,000000000000100370,0006,20241104
100,000000000159,000000000000100885,0003,20241005
100,000000000160,000000000000100106,0004,20230904
100,000000000161,000000000000100715,0002,20240812
100,000000000162,000000000000100530,0001,20240520
100,000000000163,000000000000100220,0004,20240619
100,000000000164,000000000000100765,0001,20230812
100,000000000165,000000000000100257,0007,20231128
100,000000000166,000000000000100434,0003,20240529
100,000000000167,000000000000100160,0007,20230817
100,000000000168,000000000000100841,0002,20230109
100,000000000169,000000000000100998,0003,20230101
100,000000000170,000000000000100584,0001,20220415
100,000000000171,000000000000100558,0006,20230921
100,000000000172,000000000000100139,0004,20230726
100,000000000173,000000000000100569,0007,20221121
100,000000000174,000000000000100672,0003,20230618
100,000000000175,000000000000100148,0004,20230515
100,000000000176,000000000000100263,0004,20240810
100,000000000177,000000000000100953,0007,20230831
100,000000000178,000000000000100112,0010,20240117
100,000000000179,000000000000100020,0010,20240919
100,000000000180,000000000000100102,0001,20221124
100,000000000181,000000000000100923,0007,20240103
100,000000000182,000000000000100026,0003,20241128
100,000000000183,000000000000100013,0004,20221031
100,000000000184,000000000000100262,0003,20230527
100,000000000185,000000000000100809,0006,20240907
100,000000000186,000000000000100877,0010,20241123
100,000000000187,000000000000100146,0008,20221205
100,000000000188,000000000000100671,0005,20230227
100,000000000189,000000000000100718,0005,20220226
100,000000000190,000000000000100760,0008,20220418
100,000000000191,000000000000100531,0007,20240715
100,000000000192,000000000000100528,0005,20230918
100,000000000193,000000000000100196,0007,20230619
100,000000000194,000000000000100787,0001,20240104
100,000000000195,000000000000100000,0004,20220328
100,000000000196,000000000000100475,0009,20231005
100,000000000197,000000000000100093,0005,20221212
100,000000000198,000000000000100238,0001,20220921
100,000000000199,000000000000100125,0001,20241109
100,000000000200,000000000000100483,0002,20221106
100,000000000201,000000000000100921,0001,20240622
100,000000000202,000000000000100920,0007,20240224
100,000000000203,000000000000100865,0010,20221017
100,000000000204,000000000000100304,0005,20230130
100,000000000205,000000000000100572,0002,20240518
100,000000000206,000000000000100043,0006,20221018
100,000000000207,000000000000100297,0004,20240710
100,000000000208,000000000000100443,0002,20240216
100,000000000209,000000000000100995,0004,20230317
100,000000000210,000000000000100186,0002,20240121
100,000000000211,000000000000100689,0004,20220918
100,000000000212,000000000000100616,0007,20240421
100,000000000213,000000000000100108,0003,20240317
100,000000000214,000000000000100747,0009,20240825
100,000000000215,000000000000100059,0006,20220411
100,000000000216,000000000000100589,0006,20240916
100,000000000217,000000000000100912,0001,20221129
100,000000000218,000000000000100384,0006,20230711
100,000000000219,000000000000100128,0009,20231126
100,000000000220,000000000000100138,0003,20230310
100,000000000221,000000000000100764,0009,20240912
100,000000000222,000000000000100358,0001,20230523
100,000000000223,000000000000100867,0007,20240920
100,000000000224,000000000000100468,0004,20241229
100,000000000225,000000000000100203,0010,20240227
100,000000000226,000000000000100394,0010,20240222
100,000000000227,000000000000100636,0001,20220422
100,000000000228,000000000000100268,0001,20220831
100,000000000229,000000000000100054,0009,20241203
100,000000000230,000000000000100840,0009,20240923
100,000000000231,000000000000100004,0007,20220101
100,000000000232,000000000000100597,0003,20230220
100,000000000233,000000000000100020,0002,20230201
100,000000000234,000000000000100591,0003,20230116
100,000000000235,000000000000100472,0001,20230802
100,000000000236,000000000000100927,0008,20220104
100,000000000237,000000000000100299,0006,20240318
100,000000000238,000000000000100398,0004,20241222
100,000000000239,000000000000100700,0003,20221202
100,000000000240,000000000000100711,0004,20231027
100,000000000241,000000000000100683,0002,20220203
100,000000000242,000000000000100187,0005,20240607
100,000000000243,000000000000100241,0010,20220726
100,000000000244,000000000000100012,0002,20231204
100,000000000245,000000000000100939,0007,20231101
100,000000000246,000000000000100732,0009,20240417
100,000000000247,000000000000100558,0008,20240724
100,000000000248,000000000000100979,0007,20240218
100,000000000249,000000000000100749,0002,20220514
100,000000000250,000000000000100461,0003,20240418
100,000000000251,000000000000100920,0006,20220624
100,000000000252,000000000000100092,0009,20220622
100,000000000253,000000000000100429,0010,20230706
100,000000000254,000000000000100238,0007,20220130
100,000000000255,000000000000100583,0010,20230512
100,000000000256,000000000000100260,0005,20220709
100,000000000257,000000000000100148,0009,20230521
100,000000000258,000000000000100699,0007,20230307
100,000000000259,000000000000100443,0003,20231018
100,000000000260,000000000000100505,0007,20220924
100,000000000261,000000000000100226,0003,20240504
100,000000000262,000000000000100346,0008,20240414
100,000000000263,000000000000100070,0006,20220414
100,000000000264,000000000000100453,0009,20220516
100,000000000265,000000000000100606,0002,20240330
100,000000000266,000000000000100744,0007,20230907
100,000000000267,000000000000100307,0006,20230417
100,000000000268,000000000000100604,0003,20230123
100,000000000269,000000000000100246,0005,20240305
100,000000000270,000000000000100210,0009,20221116
100,000000000271,000000000000100286,0002,20221005
100,000000000272,000000000000100827,0004,20221011
100,000000000273,000000000000100740,0007,20230707
100,000000000274,000000000000100463,0009,20230316
100,000000000275,000000000000100965,0005,20230210
100,000000000276,000000000000100595,0001,20240504
100,000000000277,000000000000100970,0009,20241103
100,000000000278,000000000000100171,0001,20230303
100,000000000279,000000000000100061,0007,20240818
100,000000000280,000000000000100178,0009,20220814
100,000000000281,000000000000100912,0002,20240322
100,000000000282,000000000000100537,0008,20230101
100,000000000283,000000000000100013,0010,20240130
100,000000000284,000000000000100563,0002,20240315
100,000000000285,000000000000100000,0005,20240824
100,000000000286,000000000000100342,0007,20241025
100,000000000287,000000000000100927,0001,20220415
100,000000000288,000000000000100638,0006,20230525
100,000000000289,000000000000100955,0007,20230119
100,000000000290,000000000000100857,0002,20220808
100,000000000291,000000000000100264,0004,20230106
100,000000000292,000000000000100767,0003,20230331
100,000000000293,000000000000100838,0008,20221020
100,000000000294,000000000000100981,0005,20220428
100,000000000295,000000000000100295,0001,20240120
100,000000000296,000000000000100451,0009,20241122
100,000000000297,000000000000100110,0001,20220717
100,000000000298,000000000000100016,0009,20240610
100,000000000299,000000000000100221,0003,20230907
100,000000000300,000000000000100142,0004,20231011
100,000000000301,000000000000100471,0009,20240722
100,000000000302,000000000000100014,0002,20220704
100,000000000303,000000000000100886,0002,20230822
100,000000000304,000000000000100155,0004,20230510
100,000000000305,000000000000100732,0007,20220314
100,000000000306,000000000000100401,0006,20231014
100,000000000307,000000000000100543,0002,20230119
100,000000000308,000000000000100148,0004,20230131
100,000000000309,000000000000100753,0005,20221015
100,000000000310,000000000000100137,0001,20240305
100,000000000311,000000000000100110,0005,20230622
100,000000000312,000000000000100303,0006,20231118
100,000000000313,000000000000100182,0001,20240321
100,000000000314,000000000000100721,0010,20231113
100,000000000315,000000000000100229,0008,20220521
100,000000000316,000000000000100398,0005,20230117
100,000000000317,000000000000100688,0001,20221028
100,000000000318,000000000000100831,0005,20231001
100,000000000319,000000000000100023,0006,20230526
100,000000000320,000000000000100213,0005,20230510
100,000000000321,000000000000100965,0006,20240414
100,000000000322,000000000000100477,0008,20240810
100,000000000323,000000000000100272,0009,20240507
100,000000000324,000000000000100897,0008,20220124
100,000000000325,000000000000100361,0010,20221103
100,000000000326,000000000000100028,0006,20230119
100,000000000327,000000000000100725,0004,20220913
100,000000000328,000000000000100673,0010,20221228
100,000000000329,000000000000100779,0009,20240617
100,000000000330,000000000000100875,0002,20240227
100,000000000331,000000000000100966,0005,20221111
100,000000000332,000000000000100878,0002,20231123
100,000000000333,000000000000100437,0008,20230920
100,000000000334,000000000000100864,0004,20230314
100,000000000335,000000000000100870,0004,20230627
100,000000000336,000000000000100681,0003,20220321
100,000000000337,000000000000100742,0001,20240623
100,000000000338,000000000000100429,0001,20221220
100,000000000339,000000000000100935,0008,20240604
100,000000000340,000000000000100257,0001,20220113
100,000000000341,000000000000100276,0009,20230727
100,000000000342,000000000000100252,0007,20240726
100,000000000343,000000000000100807,0007,20220111
100,000000000344,000000000000100125,0007,20230306
100,000000000345,000000000000100085,0009,20241130
100,000000000346,000000000000100774,0004,20220605
100,000000000347,000000000000100822,0007,20220320
100,000000000348,000000000000100719,0005,20231017
100,000000000349,000000000000100955,0005,20240611
100,000000000350,000000000000100309,0002,20241217
100,000000000351,000000000000100839,0008,20240817
100,000000000352,000000000000100864,0008,20231127
100,000000000353,000000000000100480,0009,20240903
100,000000000354,000000000000100178,0005,20240107
100,000000000355,000000000000100916,0007,20220128
100,000000000356,000000000000100913,0002,20240829
100,000000000357,000000000000100996,0008,20230305
100,000000000358,000000000000100742,0010,20240615
100,000000000359,000000000000100964,0006,20221205
100,000000000360,000000000000100637,0006,20231003
100,000000000361,000000000000100701,0002,20220317
100,000000000362,000000000000100319,0004,20241229
100,000000000363,000000000000100565,0006,20241114
100,000000000364,000000000000100967,0009,20220819
100,000000000365,000000000000100935,0004,20220316
100,000000000366,000000000000100112,0006,20240524
100,000000000367,000000000000100065,0003,20230703
100,000000000368,000000000000100691,0005,20221202
100,000000000369,000000000000100974,0010,20230523
100,000000000370,000000000000100438,0010,20240912
100,000000000371,000000000000100832,0010,20241108
100,000000000372,000000000000100323,0002,20240724
100,000000000373,000000000000100928,0001,20220621
100,000000000374,000000000000100255,0001,20221028
100,000000000375,000000000000100993,0009,20241121
100,000000000376,000000000000100639,0006,20221109
100,000000000377,000000000000100182,0003,20220210
100,000000000378,000000000000100275,0009,20240522
100,000000000379,000000000000100227,0008,20240722
100,000000000380,000000000000100044,0001,20230104
100,000000000381,000000000000100926,0009,20240112
100,000000000382,000000000000100077,0006,20221110
100,000000000383,000000000000100832,0007,20240619
100,000000000384,000000000000100615,0007,20241210
100,000000000385,000000000000100882,0010,20240909
100,000000000386,000000000000100259,0007,20220725
100,000000000387,000000000000100809,0009,20221122
100,000000000388,000000000000100783,0002,20231119
100,000000000389,000000000000100074,0005,20220302
100,000000000390,000000000000100313,0002,20231115
100,000000000391,000000000000100666,0001,20240428
100,000000000392,000000000000100104,0009,20220121
100,000000000393,000000000000100085,0006,20231007
100,000000000394,000000000000100254,0008,20230212
100,000000000395,000000000000100591,0003,20240411
100,000000000396,000000000000100336,0010,20230627
100,000000000397,000000000000100830,0006,20230328
100,000000000398,000000000000100906,0009,20220521
100,000000000399,000000000000100131,0004,20220926
100,000000000400,000000000000100927,0008,20230721
100,000000000401,000000000000100460,0009,20220120
100,000000000402,000000000000100436,0010,20220729
100,000000000403,000000000000100841,0008,20240309
100,000000000404,000000000000100451,0003,20231123
100,000000000405,000000000000100166,0004,20240816
100,000000000406,000000000000100533,0003,20230806
100,000000000407,000000000000100922,0008,20220603
100,000000000408,000000000000100957,0007,20240521
100,000000000409,000000000000100856,0005,20230812
100,000000000410,000000000000100983,0004,20230519
100,000000000411,000000000000100315,0003,20231226
100,000000000412,000000000000100345,0007,20220410
100,000000000413,000000000000100526,0005,20230718
100,000000000414,000000000000100142,0009,20220527
100,000000000415,000000000000100326,0006,20220401
100,000000000416,000000000000100520,0010,20220408
100,000000000417,000000000000100741,0003,20230624
100,000000000418,000000000000100414,0007,20240821
100,000000000419,000000000000100863,0001,20230215
100,000000000420,000000000000100653,0002,20230821
100,000000000421,000000000000100293,0003,20241008
100,000000000422,000000000000100709,0001,20221102
100,000000000423,000000000000100049,0001,20230909
100,000000000424,000000000000100967,0001,20221111
100,000000000425,000000000000100402,0001,20220207
100,000000000426,000000000000100270,0004,20241013
100,000000000427,000000000000100962,0004,20240524
100,000000000428,000000000000100391,0002,20241116
100,000000000429,000000000000100140,0005,20230320
100,000000000430,000000000000100109,0006,20240107
100,000000000431,000000000000100904,0007,20230411
100,000000000432,000000000000100161,0006,20231005
100,000000000433,000000000000100509,0002,20240813
100,000000000434,000000000000100164,0003,20231114
100,000000000435,000000000000100896,0006,20231023
100,000000000436,000000000000100777,0005,20240905
100,000000000437,000000000000100231,0008,20230301
100,000000000438,000000000000100670,0002,20241105
100,000000000439,000000000000100403,0008,20240731
100,000000000440,000000000000100577,0003,20220311
100,000000000441,000000000000100399,0009,20230901
100,000000000442,000000000000100996,0003,20220117
100,000000000443,000000000000100060,0003,20220719
100,000000000444,000000000000100921,0001,20230903
100,000000000445,000000000000100549,0009,20230329
100,000000000446,000000000000100820,0006,20230807
100,000000000447,000000000000100324,0009,20221019
100,000000000448,000000000000100947,0002,20220731
100,000000000449,000000000000100425,0001,20220813
100,000000000450,000000000000100770,0005,20240116
100,000000000451,000000000000100288,0005,20240729
100,000000000452,000000000000100929,0002,20220721
100,000000000453,000000000000100481,0003,20220401
100,000000000454,000000000000100416,0010,20240323
100,000000000455,000000000000100869,0006,20230224
100,000000000456,000000000000100416,0005,20220105
100,000000000457,000000000000100555,0003,20240413
100,000000000458,000000000000100932,0003,20240827
100,000000000459,000000000000100692,0007,20230117
100,000000000460,000000000000100442,0010,20220528
100,000000000461,000000000000100298,0003,20241104
100,000000000462,000000000000100368,0002,20220306
100,000000000463,000000000000100685,0004,20220106
100,000000000464,000000000000100578,0001,20241108
100,000000000465,000000000000100296,0008,20231222
100,000000000466,000000000000100145,0009,20221229
100,000000000467,000000000000100894,0007,20240706
100,000000000468,000000000000100768,0008,20230716
100,000000000469,000000000000100305,0003,20240719
100,000000000470,000000000000100391,0001,20240922
100,000000000471,000000000000100193,0007,20231225
100,000000000472,000000000000100607,0009,20240610
100,000000000473,000000000000100441,0008,20230412
100,000000000474,000000000000100495,0008,20240405
100,000000000475,000000000000100157,0004,20240704
100,000000000476,000000000000100209,0008,20231028
100,000000000477,000000000000100130,0006,20220131
100,000000000478,000000000000100639,0007,20241125
100,000000000479,000000000000100293,0010,20221006
100,000000000480,000000000000100539,0009,20231004
100,000000000481,000000000000100953,0001,20230502
100,000000000482,000000000000100571,0010,20230314
100,000000000483,000000000000100741,0006,20241026
100,000000000484,000000000000100825,0003,20240325
100,000000000485,000000000000100927,0007,20231019
100,000000000486,000000000000100668,0004,20240326
100,000000000487,000000000000100395,0001,20240509
100,000000000488,000000000000100413,0009,20230120
100,000000000489,000000000000100402,0002,20231208
100,000000000490,000000000000100523,0009,20240118
100,000000000491,000000000000100881,0010,20241117
100,000000000492,000000000000100768,0005,20240807
100,000000000493,000000000000100669,0006,20230410
100,000000000494,000000000000100303,0010,20221225
100,000000000495,000000000000100246,0008,20240126
100,000000000496,000000000000100330,0005,20230602
100,000000000497,000000000000100216,0009,20230212
100,000000000498,000000000000100841,0006,20220508
100,000000000499,000000000000100169,0010,20230113
100,000000000500,000000000000100504,0004,20240901
