MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,ERDAT,NETWR,WAERK
100,8000000031,OR,1000,10,00,CUS000153,20250203,142369.68,EUR
100,8000000032,RE,1000,10,00,CUS000163,20230918,157965.6,EUR
100,8000000033,OR,1000,10,00,CUS000180,20240520,74085.1,EUR
100,8000000034,ZOR,1000,10,00,CUS000091,20241118,176522.77,EUR
100,8000000035,ZOR,1000,10,00,CUS000022,20230209,56582.69,EUR
100,8000000036,ZOR,1000,10,00,CUS000113,20220811,34547.53,EUR
100,8000000037,OR,1000,10,00,CUS000183,20251028,76485.76,EUR
100,8000000038,OR,1000,10,00,CUS000040,20220916,38022.74,EUR
100,8000000039,OR,1000,10,00,CUS000048,20241113,119340.66,EUR
100,8000000040,ZOR,1000,10,00,CUS000103,20220928,13904.64,EUR
100,8000000041,RE,1000,10,00,CUS000079,20241211,27982.61,EUR
100,8000000042,OR,1000,10,00,CUS000111,20220726,27967.68,EUR
100,8000000043,ZOR,1000,10,00,CUS000093,20231110,112234.42,EUR
100,8000000044,ZOR,1000,10,00,CUS000195,20240829,65979.15,EUR
100,8000000045,OR,1000,10,00,CUS000129,20241208,128387.82,EUR
100,8000000046,OR,1000,10,00,CUS000147,20221124,83348.32,EUR
100,8000000047,RE,1000,10,00,CUS000038,20250802,68556.29,EUR
100,8000000048,OR,1000,10,00,CUS000028,20250409,75512.0,EUR
100,8000000049,ZOR,1000,10,00,CUS000146,20230122,7431.66,EUR
100,8000000050,OR,1000,10,00,CUS000186,20220725,27030.96,EUR
100,8000000051,RE,1000,10,00,CUS000028,20220120,39181.75,EUR
100,8000000052,OR,1000,10,00,CUS000006,20220910,81673.79,EUR
100,8000000053,ZOR,1000,10,00,CUS000039,20250523,42919.27,EUR
100,8000000054,RE,1000,10,00,CUS000074,20250703,51944.15,EUR
100,8000000055,ZOR,1000,10,00,CUS000018,20240906,11225.9,EUR
100,8000000056,OR,1000,10,00,CUS000109,20241009,135230.51,EUR
100,8000000057,RE,1000,10,00,CUS000022,20240227,118290.74,EUR
100,8000000058,OR,1000,10,00,CUS000063,20240512,17355.93,EUR
100,8000000059,RE,1000,10,00,CUS000038,20220303,84269.87,EUR
100,8000000060,ZOR,1000,10,00,CUS000004,20251124,65301.33,EUR
100,8000000061,ZOR,1000,10,00,CUS000070,20221118,202189.31,EUR
100,8000000062,ZOR,1000,10,00,CUS000142,20230120,16497.66,EUR
100,8000000063,RE,1000,10,00,CUS000129,20240326,71340.75,EUR
100,8000000064,OR,1000,10,00,CUS000129,20220726,151435.46,EUR
100,8000000065,ZOR,1000,10,00,CUS000075,20231126,22541.15,EUR
100,8000000066,ZOR,1000,10,00,CUS000023,20250125,16504.51,EUR
100,8000000067,OR,1000,10,00,CUS000167,20240624,133375.17,EUR
100,8000000068,RE,1000,10,00,CUS000100,20230402,142603.8,EUR
100,8000000069,ZOR,1000,10,00,CUS000154,20220306,130080.54,EUR
100,8000000070,ZOR,1000,10,00,CUS000014,20230112,67857.54,EUR
100,8000000071,RE,1000,10,00,CUS000138,20240831,41388.84,EUR
100,8000000072,RE,1000,10,00,CUS000068,20240412,121815.0,EUR
100,8000000073,RE,1000,10,00,CUS000056,20240213,131841.73,EUR
100,8000000074,ZOR,1000,10,00,CUS000134,20240522,105075.24,EUR
100,8000000075,ZOR,1000,10,00,CUS000051,20220823,125441.48,EUR
100,8000000076,OR,1000,10,00,CUS000147,20221216,249943.14,EUR
100,8000000077,RE,1000,10,00,CUS000159,20220226,96615.57,EUR
100,8000000078,ZOR,1000,10,00,CUS000027,20250401,4080.3,EUR
100,8000000079,RE,1000,10,00,CUS000054,20240111,78032.08,EUR
100,8000000080,RE,1000,10,00,CUS000156,20250716,123192.29,EUR
100,8000000081,RE,1000,10,00,CUS000076,20250828,61189.86,EUR
100,8000000082,ZOR,1000,10,00,CUS000111,20240926,185747.33,EUR
100,8000000083,RE,1000,10,00,CUS000038,20240201,65919.77,EUR
100,8000000084,ZOR,1000,10,00,CUS000082,20240610,28352.27,EUR
100,8000000085,OR,1000,10,00,CUS000107,20220714,126680.4,EUR
100,8000000086,ZOR,1000,10,00,CUS000083,20220804,77775.57,EUR
100,8000000087,OR,1000,10,00,CUS000115,20250728,68021.08,EUR
100,8000000088,ZOR,1000,10,00,CUS000099,20240816,17907.2,EUR
100,8000000089,OR,1000,10,00,CUS000117,20251222,125855.94,EUR
100,8000000090,OR,1000,10,00,CUS000118,20220203,66682.55,EUR
100,8000000091,RE,1000,10,00,CUS000111,20231227,106683.36,EUR
100,8000000092,ZOR,1000,10,00,CUS000136,20230720,54629.35,EUR
100,8000000093,RE,1000,10,00,CUS000053,20241011,47054.79,EUR
100,8000000094,ZOR,1000,10,00,CUS000160,20251205,39034.81,EUR
100,8000000095,ZOR,1000,10,00,CUS000044,20220607,107455.8,EUR
100,8000000096,RE,1000,10,00,CUS000126,20240715,127691.47,EUR
100,8000000097,ZOR,1000,10,00,CUS000111,20251126,128097.58,EUR
100,8000000098,ZOR,1000,10,00,CUS000151,20240311,87083.54,EUR
100,8000000099,RE,1000,10,00,CUS000038,20251104,114961.21,EUR
100,8000000100,OR,1000,10,00,CUS000014,20220910,105223.38,EUR
100,8000000101,ZOR,1000,10,00,CUS000111,20230207,107991.82,EUR
100,8000000102,RE,1000,10,00,CUS000107,20221005,50359.76,EUR
100,8000000103,RE,1000,10,00,CUS000197,20220224,56375.01,EUR
100,8000000104,OR,1000,10,00,CUS000014,20240731,8275.24,EUR
100,8000000105,OR,1000,10,00,CUS000190,20220906,113814.41,EUR
100,8000000106,RE,1000,10,00,CUS000025,20241130,50871.08,EUR
100,8000000107,RE,1000,10,00,CUS000113,20251027,93899.86,EUR
100,8000000108,RE,1000,10,00,CUS000003,20240308,57232.86,EUR
100,8000000109,RE,1000,10,00,CUS000087,20250227,120312.78,EUR
100,8000000110,OR,1000,10,00,CUS000067,20241212,115750.35,EUR
100,8000000111,RE,1000,10,00,CUS000188,20220302,11651.2,EUR
100,8000000112,RE,1000,10,00,CUS000027,20230430,145077.91,EUR
100,8000000113,ZOR,1000,10,00,CUS000023,20230129,62328.23,EUR
100,8000000114,ZOR,1000,10,00,CUS000161,20240525,85709.88,EUR
100,8000000115,ZOR,1000,10,00,CUS000181,20240310,35651.9,EUR
100,8000000116,RE,1000,10,00,CUS000168,20230623,26415.06,EUR
100,8000000117,ZOR,1000,10,00,CUS000194,20231107,120082.78,EUR
100,8000000118,OR,1000,10,00,CUS000006,20230412,72655.73,EUR
100,8000000119,OR,1000,10,00,CUS000015,20230527,20675.48,EUR
100,8000000120,ZOR,1000,10,00,CUS000034,20230822,135982.04,EUR
100,8000000121,RE,1000,10,00,CUS000160,20251215,95186.01,EUR
100,8000000122,ZOR,1000,10,00,CUS000030,20240718,17858.72,EUR
100,8000000123,RE,1000,10,00,CUS000099,20250602,45165.49,EUR
100,8000000124,OR,1000,10,00,CUS000068,20231120,108631.22,EUR
100,8000000125,ZOR,1000,10,00,CUS000198,20230527,50980.38,EUR
100,8000000126,ZOR,1000,10,00,CUS000005,20240805,58921.52,EUR
100,8000000127,OR,1000,10,00,CUS000067,20230720,184686.17,EUR
100,8000000128,RE,1000,10,00,CUS000147,20231030,77073.66,EUR
100,8000000129,RE,1000,10,00,CUS000042,20220305,111494.7,EUR
100,8000000130,OR,1000,10,00,CUS000169,20220308,114941.1,EUR
100,8000000131,OR,1000,10,00,CUS000063,20231105,67555.56,EUR
100,8000000132,RE,1000,10,00,CUS000063,20250106,122609.0,EUR
100,8000000133,RE,1000,10,00,CUS000121,20251227,87916.5,EUR
100,8000000134,ZOR,1000,10,00,CUS000019,20220403,133616.53,EUR
100,8000000135,RE,1000,10,00,CUS000113,20231019,54462.6,EUR
100,8000000136,ZOR,1000,10,00,CUS000135,20241126,88570.26,EUR
100,8000000137,OR,1000,10,00,CUS000193,20250526,11024.52,EUR
100,8000000138,RE,1000,10,00,CUS000011,20250510,221719.47,EUR
100,8000000139,RE,1000,10,00,CUS000199,20251008,3784.32,EUR
100,8000000140,RE,1000,10,00,CUS000010,20250706,76722.13,EUR
100,8000000141,RE,1000,10,00,CUS000061,20250410,177600.1,EUR
100,8000000142,ZOR,1000,10,00,CUS000030,20240520,9089.8,EUR
100,8000000143,RE,1000,10,00,CUS000106,20250515,122002.23,EUR
100,8000000144,RE,1000,10,00,CUS000138,20221208,32991.06,EUR
100,8000000145,ZOR,1000,10,00,CUS000168,20220510,41902.08,EUR
100,8000000146,OR,1000,10,00,CUS000096,20221127,96298.68,EUR
100,8000000147,RE,1000,10,00,CUS000198,20250717,159865.92,EUR
100,8000000148,ZOR,1000,10,00,CUS000083,20231002,45534.86,EUR
100,8000000149,ZOR,1000,10,00,CUS000180,20230806,31113.58,EUR
100,8000000150,OR,1000,10,00,CUS000028,20250227,65780.7,EUR
100,8000000151,OR,1000,10,00,CUS000083,20220316,208505.36,EUR
100,8000000152,RE,1000,10,00,CUS000033,20240209,164639.43,EUR
100,8000000153,RE,1000,10,00,CUS000134,20230710,119487.05,EUR
100,8000000154,OR,1000,10,00,CUS000043,20221005,46908.02,EUR
100,8000000155,RE,1000,10,00,CUS000120,20250703,126773.26,EUR
100,8000000156,RE,1000,10,00,CUS000072,20230320,3799.04,EUR
100,8000000157,OR,1000,10,00,CUS000155,20250427,30853.66,EUR
100,8000000158,ZOR,1000,10,00,CUS000131,20221008,142746.92,EUR
100,8000000159,ZOR,1000,10,00,CUS000198,20240812,117140.08,EUR
100,8000000160,OR,1000,10,00,CUS000123,20250807,85128.3,EUR
100,8000000161,ZOR,1000,10,00,CUS000183,20250609,3753.6,EUR
100,8000000162,OR,1000,10,00,CUS000140,20220719,42387.02,EUR
100,8000000163,OR,1000,10,00,CUS000050,20220514,108162.85,EUR
100,8000000164,ZOR,1000,10,00,CUS000003,20221213,22546.81,EUR
100,8000000165,RE,1000,10,00,CUS000058,20240427,108309.5,EUR
100,8000000166,ZOR,1000,10,00,CUS000191,20250203,203007.81,EUR
100,8000000167,RE,1000,10,00,CUS000041,20220117,72659.07,EUR
100,8000000168,RE,1000,10,00,CUS000112,20251123,103226.15,EUR
100,8000000169,OR,1000,10,00,CUS000135,20251129,5246.15,EUR
100,8000000170,ZOR,1000,10,00,CUS000118,20231210,19969.68,EUR
100,8000000171,ZOR,1000,10,00,CUS000123,20220111,55747.72,EUR
100,8000000172,ZOR,1000,10,00,CUS000063,20251217,68663.5,EUR
100,8000000173,OR,1000,10,00,CUS000001,20241023,27158.78,EUR
100,8000000174,ZOR,1000,10,00,CUS000022,20240810,74331.92,EUR
100,8000000175,RE,1000,10,00,CUS000190,20230614,151289.03,EUR
100,8000000176,RE,1000,10,00,CUS000112,20240720,1464.96,EUR
100,8000000177,RE,1000,10,00,CUS000065,20240127,43148.1,EUR
100,8000000178,ZOR,1000,10,00,CUS000064,20240322,3496.64,EUR
100,8000000179,ZOR,1000,10,00,CUS000159,20251112,99833.07,EUR
100,8000000180,ZOR,1000,10,00,CUS000103,20240515,13951.03,EUR
100,8000000181,ZOR,1000,10,00,CUS000132,20250614,34480.23,EUR
100,8000000182,ZOR,1000,10,00,CUS000105,20220111,14001.08,EUR
100,8000000183,RE,1000,10,00,CUS000100,20250113,25378.07,EUR
100,8000000184,ZOR,1000,10,00,CUS000162,20220610,12807.42,EUR
100,8000000185,RE,1000,10,00,CUS000196,20240430,86746.32,EUR
100,8000000186,ZOR,1000,10,00,CUS000025,20220910,63785.16,EUR
100,8000000187,OR,1000,10,00,CUS000028,20250714,84514.69,EUR
100,8000000188,RE,1000,10,00,CUS000149,20240225,161518.35,EUR
100,8000000189,OR,1000,10,00,CUS000142,20240308,28587.18,EUR
100,8000000190,ZOR,1000,10,00,CUS000155,20251101,60422.28,EUR
100,8000000191,RE,1000,10,00,CUS000121,20241130,158860.38,EUR
100,8000000192,RE,1000,10,00,CUS000037,20231127,115890.37,EUR
100,8000000193,OR,1000,10,00,CUS000079,20250722,47286.07,EUR
100,8000000194,OR,1000,10,00,CUS000094,20230616,96644.36,EUR
100,8000000195,RE,1000,10,00,CUS000053,20230926,196091.93,EUR
100,8000000196,RE,1000,10,00,CUS000085,20220722,163821.96,EUR
100,8000000197,OR,1000,10,00,CUS000063,20250825,15685.84,EUR
100,8000000198,RE,1000,10,00,CUS000195,20250414,57156.79,EUR
100,8000000199,OR,1000,10,00,CUS000200,20240625,148767.86,EUR
100,8000000200,OR,1000,10,00,CUS000125,20230109,50811.6,EUR
100,8000000201,OR,1000,10,00,CUS000088,20240626,77729.91,EUR
100,8000000202,ZOR,1000,10,00,CUS000133,20231029,212126.99,EUR
100,8000000203,RE,1000,10,00,CUS000084,20240223,150904.91,EUR
100,8000000204,ZOR,1000,10,00,CUS000071,20231203,37225.3,EUR
100,8000000205,OR,1000,10,00,CUS000084,20230518,159268.14,EUR
100,8000000206,RE,1000,10,00,CUS000031,20221015,101538.42,EUR
100,8000000207,ZOR,1000,10,00,CUS000137,20220819,10912.72,EUR
100,8000000208,OR,1000,10,00,CUS000120,20230722,10767.57,EUR
100,8000000209,OR,1000,10,00,CUS000083,20230407,93505.4,EUR
100,8000000210,ZOR,1000,10,00,CUS000047,20230924,117078.0,EUR
100,8000000211,ZOR,1000,10,00,CUS000059,20231008,32339.95,EUR
100,8000000212,OR,1000,10,00,CUS000032,20250423,95513.6,EUR
100,8000000213,OR,1000,10,00,CUS000190,20240928,97740.18,EUR
100,8000000214,OR,1000,10,00,CUS000022,20251207,23136.58,EUR
100,8000000215,OR,1000,10,00,CUS000045,20240508,23675.0,EUR
100,8000000216,RE,1000,10,00,CUS000128,20220303,78998.82,EUR
100,8000000217,ZOR,1000,10,00,CUS000044,20241211,64714.28,EUR
100,8000000218,RE,1000,10,00,CUS000107,20240809,109366.97,EUR
100,8000000219,OR,1000,10,00,CUS000064,20220804,32849.2,EUR
100,8000000220,ZOR,1000,10,00,CUS000162,20240228,2763.68,EUR
100,8000000221,RE,1000,10,00,CUS000003,20231023,116767.27,EUR
100,8000000222,OR,1000,10,00,CUS000170,20240723,32732.16,EUR
100,8000000223,RE,1000,10,00,CUS000059,20220713,243650.94,EUR
100,8000000224,RE,1000,10,00,CUS000163,20221206,102026.3,EUR
100,8000000225,ZOR,1000,10,00,CUS000080,20250930,138532.24,EUR
100,8000000226,RE,1000,10,00,CUS000058,20220525,200656.97,EUR
100,8000000227,ZOR,1000,10,00,CUS000110,20240813,45414.18,EUR
100,8000000228,RE,1000,10,00,CUS000171,20240509,148148.37,EUR
100,8000000229,ZOR,1000,10,00,CUS000101,20240513,115641.42,EUR
100,8000000230,OR,1000,10,00,CUS000175,20240105,35772.98,EUR
100,8000000231,RE,1000,10,00,CUS000023,20241020,112998.51,EUR
100,8000000232,ZOR,1000,10,00,CUS000090,20240921,131803.8,EUR
100,8000000233,ZOR,1000,10,00,CUS000179,20250620,13683.22,EUR
100,8000000234,ZOR,1000,10,00,CUS000091,20241227,40353.78,EUR
100,8000000235,ZOR,1000,10,00,CUS000127,20220223,128641.25,EUR
100,8000000236,OR,1000,10,00,CUS000133,20230117,199284.67,EUR
100,8000000237,RE,1000,10,00,CUS000182,20241105,40688.88,EUR
100,8000000238,RE,1000,10,00,CUS000017,20240612,128462.45,EUR
100,8000000239,ZOR,1000,10,00,CUS000183,20220419,79513.48,EUR
100,8000000240,RE,1000,10,00,CUS000179,20240220,10056.27,EUR
100,8000000241,OR,1000,10,00,CUS000087,20220617,36839.88,EUR
100,8000000242,RE,1000,10,00,CUS000145,20250309,26112.42,EUR
100,8000000243,ZOR,1000,10,00,CUS000130,20221230,4158.96,EUR
100,8000000244,ZOR,1000,10,00,CUS000090,20220809,102230.01,EUR
100,8000000245,RE,1000,10,00,CUS000104,20230121,81109.2,EUR
100,8000000246,OR,1000,10,00,CUS000083,20250903,135726.79,EUR
100,8000000247,OR,1000,10,00,CUS000151,20230921,101187.82,EUR
100,8000000248,RE,1000,10,00,CUS000118,20220722,90441.71,EUR
100,8000000249,OR,1000,10,00,CUS000161,20251225,89481.78,EUR
100,8000000250,OR,1000,10,00,CUS000177,20250919,31787.1,EUR
100,8000000251,RE,1000,10,00,CUS000052,20240319,180717.7,EUR
100,8000000252,RE,1000,10,00,CUS000101,20220426,23777.34,EUR
100,8000000253,OR,1000,10,00,CUS000015,20231013,46040.56,EUR
100,8000000254,RE,1000,10,00,CUS000027,20221021,35164.14,EUR
100,8000000255,ZOR,1000,10,00,CUS000157,20241001,86536.85,EUR
100,8000000256,RE,1000,10,00,CUS000111,20220212,137596.19,EUR
100,8000000257,RE,1000,10,00,CUS000159,20250912,113606.1,EUR
100,8000000258,ZOR,1000,10,00,CUS000014,20240424,101494.89,EUR
100,8000000259,ZOR,1000,10,00,CUS000178,20220218,19469.52,EUR
100,8000000260,OR,1000,10,00,CUS000157,20231010,138127.74,EUR
100,8000000261,ZOR,1000,10,00,CUS000042,20221108,33610.32,EUR
100,8000000262,ZOR,1000,10,00,CUS000098,20240826,180912.87,EUR
100,8000000263,RE,1000,10,00,CUS000046,20220522,74511.36,EUR
100,8000000264,ZOR,1000,10,00,CUS000091,20220620,59046.07,EUR
100,8000000265,ZOR,1000,10,00,CUS000118,20250906,75499.52,EUR
100,8000000266,RE,1000,10,00,CUS000142,20230620,7591.24,EUR
100,8000000267,OR,1000,10,00,CUS000006,20220821,93600.64,EUR
100,8000000268,ZOR,1000,10,00,CUS000111,20220108,40200.98,EUR
100,8000000269,RE,1000,10,00,CUS000139,20221022,53603.74,EUR
100,8000000270,ZOR,1000,10,00,CUS000073,20230531,94728.66,EUR
100,8000000271,OR,1000,10,00,CUS000191,20240104,184868.62,EUR
100,8000000272,OR,1000,10,00,CUS000094,20240329,19241.21,EUR
100,8000000273,RE,1000,10,00,CUS000087,20230709,16824.06,EUR
100,8000000274,OR,1000,10,00,CUS000111,20241019,158907.24,EUR
100,8000000275,RE,1000,10,00,CUS000126,20240502,12383.14,EUR
100,8000000276,OR,1000,10,00,CUS000088,20230801,163960.63,EUR
100,8000000277,RE,1000,10,00,CUS000083,20220918,129744.88,EUR
100,8000000278,ZOR,1000,10,00,CUS000018,20230629,67968.86,EUR
100,8000000279,OR,1000,10,00,CUS000081,20240919,115300.3,EUR
100,8000000280,OR,1000,10,00,CUS000167,20220301,107615.37,EUR
100,8000000281,RE,1000,10,00,CUS000142,20231031,73021.6,EUR
100,8000000282,RE,1000,10,00,CUS000131,20220322,12234.0,EUR
100,8000000283,RE,1000,10,00,CUS000024,20230427,85487.56,EUR
100,8000000284,RE,1000,10,00,CUS000014,20220219,50341.08,EUR
100,8000000285,ZOR,1000,10,00,CUS000054,20220315,21869.78,EUR
100,8000000286,RE,1000,10,00,CUS000143,20230629,41729.08,EUR
100,8000000287,ZOR,1000,10,00,CUS000132,20251007,104869.61,EUR
100,8000000288,RE,1000,10,00,CUS000131,20230321,37422.0,EUR
100,8000000289,OR,1000,10,00,CUS000118,20231102,119488.9,EUR
100,8000000290,ZOR,1000,10,00,CUS000163,20220904,63532.97,EUR
100,8000000291,RE,1000,10,00,CUS000045,20240424,162902.49,EUR
100,8000000292,ZOR,1000,10,00,CUS000105,20231212,38194.42,EUR
100,8000000293,RE,1000,10,00,CUS000139,20251015,107523.95,EUR
100,8000000294,RE,1000,10,00,CUS000154,20221025,42451.15,EUR
100,8000000295,RE,1000,10,00,CUS000066,20220109,145004.7,EUR
100,8000000296,ZOR,1000,10,00,CUS000062,20230920,116691.12,EUR
100,8000000297,ZOR,1000,10,00,CUS000096,20240305,148838.45,EUR
100,8000000298,ZOR,1000,10,00,CUS000198,20250108,68663.0,EUR
100,8000000299,ZOR,1000,10,00,CUS000122,20220627,126976.51,EUR
100,8000000300,RE,1000,10,00,CUS000158,20230320,34888.17,EUR
100,8000000301,OR,1000,10,00,CUS000065,20220410,83300.74,EUR
100,8000000302,ZOR,1000,10,00,CUS000088,20230403,97741.25,EUR
100,8000000303,RE,1000,10,00,CUS000130,20240401,62226.01,EUR
100,8000000304,OR,1000,10,00,CUS000003,20241222,67544.9,EUR
100,8000000305,RE,1000,10,00,CUS000171,20221027,26109.74,EUR
100,8000000306,OR,1000,10,00,CUS000064,20221204,90371.8,EUR
100,8000000307,ZOR,1000,10,00,CUS000154,20230510,10712.74,EUR
100,8000000308,ZOR,1000,10,00,CUS000138,20230914,175410.55,EUR
100,8000000309,OR,1000,10,00,CUS000153,20230815,134722.8,EUR
100,8000000310,OR,1000,10,00,CUS000036,20250609,166556.86,EUR
100,8000000311,RE,1000,10,00,CUS000141,20240211,140822.77,EUR
100,8000000312,ZOR,1000,10,00,CUS000003,20220503,18650.4,EUR
100,8000000313,ZOR,1000,10,00,CUS000091,20250205,77381.85,EUR
100,8000000314,ZOR,1000,10,00,CUS000154,20250402,61501.8,EUR
100,8000000315,RE,1000,10,00,CUS000104,20221211,35658.1,EUR
100,8000000316,OR,1000,10,00,CUS000100,20220214,92012.02,EUR
100,8000000317,OR,1000,10,00,CUS000182,20220704,75481.87,EUR
100,8000000318,ZOR,1000,10,00,CUS000183,20250519,45851.94,EUR
100,8000000319,OR,1000,10,00,CUS000040,20230102,95369.46,EUR
100,8000000320,RE,1000,10,00,CUS000062,20220928,260963.52,EUR
100,8000000321,OR,1000,10,00,CUS000193,20240409,82637.44,EUR
100,8000000322,RE,1000,10,00,CUS000125,20231007,20838.5,EUR
100,8000000323,RE,1000,10,00,CUS000167,20221014,84717.96,EUR
100,8000000324,ZOR,1000,10,00,CUS000020,20240606,86172.72,EUR
100,8000000325,OR,1000,10,00,CUS000118,20250609,93033.6,EUR
100,8000000326,ZOR,1000,10,00,CUS000097,20221111,11619.33,EUR
100,8000000327,ZOR,1000,10,00,CUS000110,20221107,6284.0,EUR
100,8000000328,RE,1000,10,00,CUS000187,20250617,169317.85,EUR
100,8000000329,ZOR,1000,10,00,CUS000130,20250115,111039.7,EUR
100,8000000330,ZOR,1000,10,00,CUS000008,20240827,47209.02,EUR
100,8000000331,ZOR,1000,10,00,CUS000154,20221123,33774.3,EUR
100,8000000332,ZOR,1000,10,00,CUS000176,20251022,113203.1,EUR
100,8000000333,ZOR,1000,10,00,CUS000165,20221119,160492.41,EUR
100,8000000334,OR,1000,10,00,CUS000181,20221101,7517.21,EUR
100,8000000335,ZOR,1000,10,00,CUS000073,20220531,89188.8,EUR
100,8000000336,OR,1000,10,00,CUS000048,20240308,204936.62,EUR
100,8000000337,OR,1000,10,00,CUS000093,20250717,114533.96,EUR
100,8000000338,OR,1000,10,00,CUS000185,20240720,171571.68,EUR
100,8000000339,ZOR,1000,10,00,CUS000172,20230415,221305.76,EUR
100,8000000340,RE,1000,10,00,CUS000061,20220826,128630.69,EUR
100,8000000341,OR,1000,10,00,CUS000020,20220521,167603.02,EUR
100,8000000342,RE,1000,10,00,CUS000194,20240907,109208.69,EUR
100,8000000343,ZOR,1000,10,00,CUS000051,20240126,132486.52,EUR
100,8000000344,ZOR,1000,10,00,CUS000010,20230824,176580.45,EUR
100,8000000345,RE,1000,10,00,CUS000032,20231014,97061.49,EUR
100,8000000346,OR,1000,10,00,CUS000021,20250113,229379.06,EUR
100,8000000347,RE,1000,10,00,CUS000041,20230626,57463.83,EUR
100,8000000348,OR,1000,10,00,CUS000127,20230120,35190.05,EUR
100,8000000349,OR,1000,10,00,CUS000032,20250616,95520.26,EUR
100,8000000350,ZOR,1000,10,00,CUS000071,20230323,143704.04,EUR
100,8000000351,ZOR,1000,10,00,CUS000016,20221121,101168.88,EUR
100,8000000352,ZOR,1000,10,00,CUS000100,20240903,65926.84,EUR
100,8000000353,RE,1000,10,00,CUS000134,20240130,55015.15,EUR
100,8000000354,RE,1000,10,00,CUS000158,20250212,101533.8,EUR
100,8000000355,RE,1000,10,00,CUS000145,20250303,90507.35,EUR
100,8000000356,OR,1000,10,00,CUS000027,20220606,54490.38,EUR
100,8000000357,OR,1000,10,00,CUS000165,20230729,91742.46,EUR
100,8000000358,OR,1000,10,00,CUS000129,20220701,15377.15,EUR
100,8000000359,ZOR,1000,10,00,CUS000118,20230828,29802.32,EUR
100,8000000360,RE,1000,10,00,CUS000194,20250708,103470.71,EUR
100,8000000361,ZOR,1000,10,00,CUS000116,20231107,74462.5,EUR
100,8000000362,RE,1000,10,00,CUS000081,20230726,21153.26,EUR
100,8000000363,ZOR,1000,10,00,CUS000029,20241228,122573.55,EUR
100,8000000364,RE,1000,10,00,CUS000141,20231112,4273.5,EUR
100,8000000365,ZOR,1000,10,00,CUS000133,20220703,6794.9,EUR
100,8000000366,ZOR,1000,10,00,CUS000175,20221204,6892.0,EUR
100,8000000367,RE,1000,10,00,CUS000113,20220721,154878.55,EUR
100,8000000368,ZOR,1000,10,00,CUS000039,20220606,66324.87,EUR
100,8000000369,ZOR,1000,10,00,CUS000007,20240815,545.92,EUR
100,8000000370,RE,1000,10,00,CUS000071,20241122,72637.84,EUR
100,8000000371,RE,1000,10,00,CUS000187,20240208,10609.5,EUR
100,8000000372,RE,1000,10,00,CUS000159,20240731,49153.2,EUR
100,8000000373,OR,1000,10,00,CUS000067,20220111,100264.93,EUR
100,8000000374,ZOR,1000,10,00,CUS000147,20241204,92765.11,EUR
100,8000000375,OR,1000,10,00,CUS000091,20221117,214638.96,EUR
100,8000000376,ZOR,1000,10,00,CUS000095,20220812,33141.33,EUR
100,8000000377,RE,1000,10,00,CUS000053,20230505,149699.62,EUR
100,8000000378,ZOR,1000,10,00,CUS000058,20231024,5439.0,EUR
