MANDT,BUKRS,HKONT,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,2000,100081,20230801,0010000081,2024,0010000081,2412.52,EUR
100,1000,100082,20230528,0010000082,2023,0010000082,134.04,EUR
100,2000,100083,20231027,0010000083,2024,0010000083,975.17,EUR
100,1000,100084,20221109,0010000084,2023,0010000084,4266.94,EUR
100,2000,100085,20230919,0010000085,2024,0010000085,1340.26,EUR
100,1000,100086,20220110,0010000086,2023,0010000086,2935.45,EUR
100,2000,100087,20241116,0010000087,2024,0010000087,1255.5,EUR
100,1000,100088,20231008,0010000088,2023,0010000088,3012.46,EUR
100,2000,100089,20230819,0010000089,2024,0010000089,1887.79,EUR
100,1000,100090,20230623,0010000090,2023,0010000090,3607.72,EUR
100,2000,100091,20231103,0010000091,2024,0010000091,3362.11,EUR
100,1000,100092,20230616,0010000092,2023,0010000092,2513.01,EUR
100,2000,100093,20240807,0010000093,2024,0010000093,4875.29,EUR
100,1000,100094,20230416,0010000094,2023,0010000094,4519.52,EUR
100,2000,100095,20230620,0010000095,2024,0010000095,742.9,EUR
100,1000,100096,20240807,0010000096,2023,0010000096,2549.56,EUR
100,2000,100097,20230129,0010000097,2024,0010000097,3022.17,EUR
100,1000,100098,20240910,0010000098,2023,0010000098,4159.22,EUR
100,2000,100099,20240802,0010000099,2024,0010000099,2338.16,EUR
100,1000,100000,20230429,0010000100,2023,0010000100,3542.49,EUR
100,2000,100001,20230522,0010000101,2024,0010000101,2950.07,EUR
100,1000,100002,20240109,0010000102,2023,0010000102,2730.9,EUR
100,2000,100003,20220825,0010000103,2024,0010000103,4125.09,EUR
100,1000,100004,20230823,0010000104,2023,0010000104,3064.39,EUR
100,2000,100005,20240729,0010000105,2024,0010000105,939.65,EUR
100,1000,100006,20220722,0010000106,2023,0010000106,4688.13,EUR
100,2000,100007,20220902,0010000107,2024,0010000107,2586.45,EUR
100,1000,100008,20220227,0010000108,2023,0010000108,2978.29,EUR
100,2000,100009,20240619,0010000109,2024,0010000109,1094.22,EUR
100,1000,100010,20230720,0010000110,2023,0010000110,3618.74,EUR
100,2000,100011,20230515,0010000111,2024,0010000111,170.56,EUR
100,1000,100012,20231124,0010000112,2023,0010000112,4850.56,EUR
100,2000,100013,20230125,0010000113,2024,0010000113,374.58,EUR
100,1000,100014,20240616,0010000114,2023,0010000114,3253.84,EUR
100,2000,100015,20241203,0010000115,2024,0010000115,2341.38,EUR
100,1000,100016,20240327,0010000116,2023,0010000116,3130.98,EUR
100,2000,100017,20240630,0010000117,2024,0010000117,1011.48,EUR
100,1000,100018,20221130,0010000118,2023,0010000118,1869.84,EUR
100,2000,100019,20230521,0010000119,2024,0010000119,3181.63,EUR
100,1000,100020,20240406,0010000120,2023,0010000120,234.76,EUR
100,2000,100021,20241015,0010000121,2024,0010000121,3859.81,EUR
100,1000,100022,20230802,0010000122,2023,0010000122,4544.3,EUR
100,2000,100023,20220822,0010000123,2024,0010000123,2132.99,EUR
100,1000,100024,20220813,0010000124,2023,0010000124,3356.48,EUR
100,2000,100025,20230331,0010000125,2024,0010000125,872.67,EUR
100,1000,100026,20241031,0010000126,2023,0010000126,3184.74,EUR
100,2000,100027,20230422,0010000127,2024,0010000127,4963.48,EUR
100,1000,100028,20220323,0010000128,2023,0010000128,1033.63,EUR
100,2000,100029,20240126,0010000129,2024,0010000129,4112.86,EUR
100,1000,100030,20220215,0010000130,2023,0010000130,1847.55,EUR
100,2000,100031,20230121,0010000131,2024,0010000131,4312.96,EUR
100,1000,100032,20231110,0010000132,2023,0010000132,4243.29,EUR
100,2000,100033,20241122,0010000133,2024,0010000133,1025.42,EUR
100,1000,100034,20240502,0010000134,2023,0010000134,4661.89,EUR
100,2000,100035,20231007,0010000135,2024,0010000135,3219.98,EUR
100,1000,100036,20230730,0010000136,2023,0010000136,293.61,EUR
100,2000,100037,20221121,0010000137,2024,0010000137,4631.42,EUR
100,1000,100038,20240827,0010000138,2023,0010000138,4545.73,EUR
100,2000,100039,20230923,0010000139,2024,0010000139,3891.48,EUR
100,1000,100040,20220615,0010000140,2023,0010000140,3176.6,EUR
100,2000,100041,20230820,0010000141,2024,0010000141,1967.29,EUR
100,1000,100042,20241120,0010000142,2023,0010000142,2793.7,EUR
100,2000,100043,20221221,0010000143,2024,0010000143,3192.51,EUR
100,1000,100044,20240731,0010000144,2023,0010000144,955.53,EUR
100,2000,100045,20221025,0010000145,2024,0010000145,4708.4,EUR
100,1000,100046,20221228,0010000146,2023,0010000146,2831.17,EUR
100,2000,100047,20240125,0010000147,2024,0010000147,2789.05,EUR
100,1000,100048,20240510,0010000148,2023,0010000148,3930.61,EUR
100,2000,100049,20230816,0010000149,2024,0010000149,1825.61,EUR
100,1000,100050,20220916,0010000150,2023,0010000150,316.66,EUR
100,2000,100051,20240724,0010000151,2024,0010000151,4103.72,EUR
100,1000,100052,20240730,0010000152,2023,0010000152,4876.13,EUR
100,2000,100053,20220404,0010000153,2024,0010000153,2021.36,EUR
100,1000,100054,20220627,0010000154,2023,0010000154,759.07,EUR
100,2000,100055,20220114,0010000155,2024,0010000155,3363.29,EUR
100,1000,100056,20241120,0010000156,2023,0010000156,841.64,EUR
100,2000,100057,20240623,0010000157,2024,0010000157,2612.19,EUR
100,1000,100058,20220602,0010000158,2023,0010000158,2480.11,EUR
100,2000,100059,20221115,0010000159,2024,0010000159,4619.32,EUR
100,1000,100060,20230212,0010000160,2023,0010000160,4102.12,EUR
100,2000,100061,20220506,0010000161,2024,0010000161,3772.51,EUR
100,1000,100062,20231004,0010000162,2023,0010000162,1774.66,EUR
100,2000,100063,20240129,0010000163,2024,0010000163,317.36,EUR
100,1000,100064,20231206,0010000164,2023,0010000164,4424.77,EUR
100,2000,100065,20221121,0010000165,2024,0010000165,1099.0,EUR
100,1000,100066,20231008,0010000166,2023,0010000166,3273.4,EUR
100,2000,100067,20221107,0010000167,2024,0010000167,641.11,EUR
100,1000,100068,20230511,0010000168,2023,0010000168,3396.61,EUR
100,2000,100069,20240805,0010000169,2024,0010000169,268.83,EUR
100,1000,100070,20240411,0010000170,2023,0010000170,231.05,EUR
100,2000,100071,20230610,0010000171,2024,0010000171,1191.19,EUR
100,1000,100072,20221209,0010000172,2023,0010000172,2064.77,EUR
100,2000,100073,20220705,0010000173,2024,0010000173,1622.39,EUR
100,1000,100074,20230521,0010000174,2023,0010000174,4704.05,EUR
100,2000,100075,20220210,0010000175,2024,0010000175,928.76,EUR
100,1000,100076,20230129,0010000176,2023,0010000176,1734.29,EUR
100,2000,100077,20230104,0010000177,2024,0010000177,1825.93,EUR
100,1000,100078,20240423,0010000178,2023,0010000178,1210.39,EUR
100,2000,100079,20230630,0010000179,2024,0010000179,3801.42,EUR
100,1000,100080,20240102,0010000180,2023,0010000180,1873.37,EUR
100,2000,100081,20221215,0010000181,2024,0010000181,1885.18,EUR
100,1000,100082,20240208,0010000182,2023,0010000182,2165.25,EUR
100,2000,100083,20220122,0010000183,2024,0010000183,4300.73,EUR
100,1000,100084,20231214,0010000184,2023,0010000184,1734.12,EUR
100,2000,100085,20240506,0010000185,2024,0010000185,1169.04,EUR
100,1000,100086,20230515,0010000186,2023,0010000186,4300.18,EUR
100,2000,100087,20240406,0010000187,2024,0010000187,1603.93,EUR
100,1000,100088,20240810,0010000188,2023,0010000188,2468.42,EUR
100,2000,100089,20230730,0010000189,2024,0010000189,170.92,EUR
100,1000,100090,20220519,0010000190,2023,0010000190,4579.92,EUR
100,2000,100091,20230622,0010000191,2024,0010000191,3982.69,EUR
100,1000,100092,20230305,0010000192,2023,0010000192,1431.93,EUR
100,2000,100093,20240124,0010000193,2024,0010000193,203.58,EUR
100,1000,100094,20240717,0010000194,2023,0010000194,1727.63,EUR
100,2000,100095,20221218,0010000195,2024,0010000195,2717.22,EUR
100,1000,100096,20240404,0010000196,2023,0010000196,3384.31,EUR
100,2000,100097,20230224,0010000197,2024,0010000197,1978.59,EUR
100,1000,100098,20221020,0010000198,2023,0010000198,3675.81,EUR
100,2000,100099,20240314,0010000199,2024,0010000199,1272.75,EUR
100,1000,100000,20240317,0010000200,2023,0010000200,2920.16,EUR
100,2000,100001,20240222,0010000201,2024,0010000201,711.54,EUR
100,1000,100002,20231020,0010000202,2023,0010000202,2365.09,EUR
100,2000,100003,20230605,0010000203,2024,0010000203,3581.11,EUR
100,1000,100004,20230502,0010000204,2023,0010000204,762.1,EUR
100,2000,100005,20230724,0010000205,2024,0010000205,3363.38,EUR
100,1000,100006,20221021,0010000206,2023,0010000206,3307.22,EUR
100,2000,100007,20220323,0010000207,2024,0010000207,201.93,EUR
100,1000,100008,20220625,0010000208,2023,0010000208,1874.0,EUR
100,2000,100009,20221221,0010000209,2024,0010000209,2504.78,EUR
100,1000,100010,20221109,0010000210,2023,0010000210,4914.23,EUR
100,2000,100011,20230614,0010000211,2024,0010000211,3615.0,EUR
100,1000,100012,20220325,0010000212,2023,0010000212,375.22,EUR
100,2000,100013,20231202,0010000213,2024,0010000213,3665.14,EUR
100,1000,100014,20240928,0010000214,2023,0010000214,2820.75,EUR
100,2000,100015,20241019,0010000215,2024,0010000215,1835.34,EUR
100,1000,100016,20230201,0010000216,2023,0010000216,413.86,EUR
100,2000,100017,20230323,0010000217,2024,0010000217,1875.86,EUR
100,1000,100018,20240824,0010000218,2023,0010000218,2537.17,EUR
100,2000,100019,20240215,0010000219,2024,0010000219,1119.65,EUR
100,1000,100020,20221209,0010000220,2023,0010000220,2064.07,EUR
100,2000,100021,20241107,0010000221,2024,0010000221,911.85,EUR
100,1000,100022,20240312,0010000222,2023,0010000222,2387.84,EUR
100,2000,100023,20230116,0010000223,2024,0010000223,4719.43,EUR
100,1000,100024,20221128,0010000224,2023,0010000224,358.49,EUR
100,2000,100025,20221106,0010000225,2024,0010000225,4554.56,EUR
100,1000,100026,20221229,0010000226,2023,0010000226,983.41,EUR
100,2000,100027,20240903,0010000227,2024,0010000227,2639.62,EUR
100,1000,100028,20230905,0010000228,2023,0010000228,3412.75,EUR
100,2000,100029,20220211,0010000229,2024,0010000229,546.86,EUR
100,1000,100030,20230910,0010000230,2023,0010000230,4739.79,EUR
100,2000,100031,20241013,0010000231,2024,0010000231,457.34,EUR
100,1000,100032,20240830,0010000232,2023,0010000232,3236.61,EUR
100,2000,100033,20220606,0010000233,2024,0010000233,819.59,EUR
100,1000,100034,20220922,0010000234,2023,0010000234,2738.52,EUR
100,2000,100035,20220227,0010000235,2024,0010000235,4068.49,EUR
100,1000,100036,20240406,0010000236,2023,0010000236,1767.54,EUR
100,2000,100037,20241028,0010000237,2024,0010000237,3796.42,EUR
100,1000,100038,20240927,0010000238,2023,0010000238,2240.1,EUR
100,2000,100039,20220411,0010000239,2024,0010000239,4919.53,EUR
100,1000,100040,20220327,0010000240,2023,0010000240,380.96,EUR
100,2000,100041,20230406,0010000241,2024,0010000241,4103.0,EUR
100,1000,100042,20220619,0010000242,2023,0010000242,4812.9,EUR
100,2000,100043,20230715,0010000243,2024,0010000243,3692.75,EUR
100,1000,100044,20241013,0010000244,2023,0010000244,3690.16,EUR
100,2000,100045,20240125,0010000245,2024,0010000245,2433.22,EUR
100,1000,100046,20221123,0010000246,2023,0010000246,3215.23,EUR
100,2000,100047,20220316,0010000247,2024,0010000247,1660.86,EUR
100,1000,100048,20221018,0010000248,2023,0010000248,4603.97,EUR
100,2000,100049,20231211,0010000249,2024,0010000249,150.59,EUR
100,1000,100050,20240626,0010000250,2023,0010000250,3614.94,EUR
100,2000,100051,20230504,0010000251,2024,0010000251,4361.98,EUR
100,1000,100052,20221128,0010000252,2023,0010000252,581.65,EUR
100,2000,100053,20221220,0010000253,2024,0010000253,3835.99,EUR
100,1000,100054,20240904,0010000254,2023,0010000254,647.17,EUR
100,2000,100055,20231020,0010000255,2024,0010000255,1772.04,EUR
100,1000,100056,20220411,0010000256,2023,0010000256,1433.07,EUR
100,2000,100057,20230905,0010000257,2024,0010000257,315.24,EUR
100,1000,100058,20220615,0010000258,2023,0010000258,4914.95,EUR
100,2000,100059,20230120,0010000259,2024,0010000259,3039.1,EUR
100,1000,100060,20240519,0010000260,2023,0010000260,2440.12,EUR
100,2000,100061,20240412,0010000261,2024,0010000261,2676.93,EUR
100,1000,100062,20220310,0010000262,2023,0010000262,1934.87,EUR
100,2000,100063,20240513,0010000263,2024,0010000263,2559.74,EUR
100,1000,100064,20230708,0010000264,2023,0010000264,1211.55,EUR
100,2000,100065,20240821,0010000265,2024,0010000265,2578.47,EUR
100,1000,100066,20231029,0010000266,2023,0010000266,776.06,EUR
100,2000,100067,20230513,0010000267,2024,0010000267,4640.63,EUR
100,1000,100068,20221016,0010000268,2023,0010000268,984.28,EUR
100,2000,100069,20220806,0010000269,2024,0010000269,4520.96,EUR
100,1000,100070,20230212,0010000270,2023,0010000270,3398.71,EUR
100,2000,100071,20230830,0010000271,2024,0010000271,3684.2,EUR
100,1000,100072,20221213,0010000272,2023,0010000272,3791.53,EUR
100,2000,100073,20241124,0010000273,2024,0010000273,2166.57,EUR
100,1000,100074,20220704,0010000274,2023,0010000274,835.63,EUR
100,2000,100075,20240505,0010000275,2024,0010000275,2889.77,EUR
100,1000,100076,20240105,0010000276,2023,0010000276,352.24,EUR
100,2000,100077,20221210,0010000277,2024,0010000277,4793.22,EUR
100,1000,100078,20220504,0010000278,2023,0010000278,2785.86,EUR
100,2000,100079,20240423,0010000279,2024,0010000279,3168.98,EUR
100,1000,100080,20240623,0010000280,2023,0010000280,3925.42,EUR
100,2000,100081,20220912,0010000281,2024,0010000281,160.24,EUR
100,1000,100082,20231031,0010000282,2023,0010000282,444.21,EUR
100,2000,100083,20220415,0010000283,2024,0010000283,3112.43,EUR
100,1000,100084,20230107,0010000284,2023,0010000284,2089.38,EUR
100,2000,100085,20240326,0010000285,2024,0010000285,2022.17,EUR
100,1000,100086,20230402,0010000286,2023,0010000286,3119.97,EUR
100,2000,100087,20220211,0010000287,2024,0010000287,2810.98,EUR
100,1000,100088,20220107,0010000288,2023,0010000288,4784.04,EUR
100,2000,100089,20230901,0010000289,2024,0010000289,3633.88,EUR
100,1000,100090,20221127,0010000290,2023,0010000290,2991.48,EUR
100,2000,100091,20230326,0010000291,2024,0010000291,968.19,EUR
100,1000,100092,20230111,0010000292,2023,0010000292,4380.07,EUR
100,2000,100093,20240319,0010000293,2024,0010000293,2263.27,EUR
100,1000,100094,20240402,0010000294,2023,0010000294,1555.33,EUR
100,2000,100095,20220702,0010000295,2024,0010000295,3425.98,EUR
100,1000,100096,20240206,0010000296,2023,0010000296,2792.13,EUR
100,2000,100097,20230417,0010000297,2024,0010000297,797.23,EUR
100,1000,100098,20220806,0010000298,2023,0010000298,304.41,EUR
100,2000,100099,20221103,0010000299,2024,0010000299,1934.7,EUR
100,1000,100000,20230228,0010000300,2023,0010000300,3850.49,EUR
100,2000,100001,20241023,0010000301,2024,0010000301,4179.77,EUR
100,1000,100002,20230707,0010000302,2023,0010000302,4078.63,EUR
100,2000,100003,20230415,0010000303,2024,0010000303,4156.47,EUR
100,1000,100004,20220330,0010000304,2023,0010000304,345.58,EUR
100,2000,100005,20230513,0010000305,2024,0010000305,2595.53,EUR
100,1000,100006,20230807,0010000306,2023,0010000306,4777.09,EUR
100,2000,100007,20240716,0010000307,2024,0010000307,3219.05,EUR
100,1000,100008,20230116,0010000308,2023,0010000308,2347.51,EUR
100,2000,100009,20230210,0010000309,2024,0010000309,403.02,EUR
100,1000,100010,20230515,0010000310,2023,0010000310,580.29,EUR
100,2000,100011,20230825,0010000311,2024,0010000311,2499.51,EUR
100,1000,100012,20240708,0010000312,2023,0010000312,843.94,EUR
100,2000,100013,20240702,0010000313,2024,0010000313,2662.39,EUR
100,1000,100014,20240320,0010000314,2023,0010000314,4437.25,EUR
100,2000,100015,20220226,0010000315,2024,0010000315,2410.09,EUR
100,1000,100016,20231211,0010000316,2023,0010000316,2120.2,EUR
100,2000,100017,20230918,0010000317,2024,0010000317,2270.38,EUR
100,1000,100018,20220725,0010000318,2023,0010000318,4492.35,EUR
100,2000,100019,20220711,0010000319,2024,0010000319,4592.65,EUR
100,1000,100020,20240708,0010000320,2023,0010000320,4340.65,EUR
100,2000,100021,20231027,0010000321,2024,0010000321,651.24,EUR
100,1000,100022,20240823,0010000322,2023,0010000322,3418.59,EUR
100,2000,100023,20240203,0010000323,2024,0010000323,4604.71,EUR
100,1000,100024,20221005,0010000324,2023,0010000324,230.77,EUR
100,2000,100025,20240723,0010000325,2024,0010000325,1314.35,EUR
100,1000,100026,20240405,0010000326,2023,0010000326,2963.36,EUR
100,2000,100027,20240802,0010000327,2024,0010000327,3102.28,EUR
100,1000,100028,20220130,0010000328,2023,0010000328,308.31,EUR
100,2000,100029,20230111,0010000329,2024,0010000329,2301.05,EUR
100,1000,100030,20221007,0010000330,2023,0010000330,4696.26,EUR
100,2000,100031,20230320,0010000331,2024,0010000331,3825.96,EUR
100,1000,100032,20230918,0010000332,2023,0010000332,1995.5,EUR
100,2000,100033,20240712,0010000333,2024,0010000333,2632.51,EUR
100,1000,100034,20230810,0010000334,2023,0010000334,4056.33,EUR
100,2000,100035,20230916,0010000335,2024,0010000335,3982.8,EUR
100,1000,100036,20230403,0010000336,2023,0010000336,2352.81,EUR
100,2000,100037,20241012,0010000337,2024,0010000337,969.8,EUR
100,1000,100038,20240322,0010000338,2023,0010000338,4145.27,EUR
100,2000,100039,20240729,0010000339,2024,0010000339,1638.62,EUR
100,1000,100040,20230527,0010000340,2023,0010000340,551.52,EUR
100,2000,100041,20241111,0010000341,2024,0010000341,1856.11,EUR
100,1000,100042,20230821,0010000342,2023,0010000342,780.24,EUR
100,2000,100043,20240415,0010000343,2024,0010000343,837.39,EUR
100,1000,100044,20240323,0010000344,2023,0010000344,4021.64,EUR
100,2000,100045,20240315,0010000345,2024,0010000345,927.26,EUR
100,1000,100046,20240331,0010000346,2023,0010000346,736.18,EUR
100,2000,100047,20240817,0010000347,2024,0010000347,4099.46,EUR
100,1000,100048,20230228,0010000348,2023,0010000348,2697.7,EUR
100,2000,100049,20240407,0010000349,2024,0010000349,113.21,EUR
100,1000,100050,20230825,0010000350,2023,0010000350,3832.78,EUR
100,2000,100051,20221117,0010000351,2024,0010000351,1323.08,EUR
100,1000,100052,20220603,0010000352,2023,0010000352,3878.47,EUR
100,2000,100053,20230917,0010000353,2024,0010000353,441.6,EUR
100,1000,100054,20240212,0010000354,2023,0010000354,875.58,EUR
100,2000,100055,20220622,0010000355,2024,0010000355,1222.56,EUR
100,1000,100056,20240518,0010000356,2023,0010000356,785.21,EUR
100,2000,100057,20221206,0010000357,2024,0010000357,1335.67,EUR
100,1000,100058,20240525,0010000358,2023,0010000358,3228.82,EUR
100,2000,100059,20220315,0010000359,2024,0010000359,1874.3,EUR
100,1000,100060,20230124,0010000360,2023,0010000360,4969.93,EUR
100,2000,100061,20220623,0010000361,2024,0010000361,2408.85,EUR
100,1000,100062,20230607,0010000362,2023,0010000362,2010.99,EUR
100,2000,100063,20240401,0010000363,2024,0010000363,680.17,EUR
100,1000,100064,20230919,0010000364,2023,0010000364,3670.36,EUR
100,2000,100065,20220114,0010000365,2024,0010000365,3946.74,EUR
100,1000,100066,20240409,0010000366,2023,0010000366,3510.19,EUR
100,2000,100067,20230816,0010000367,2024,0010000367,2327.08,EUR
100,1000,100068,20241014,0010000368,2023,0010000368,1034.55,EUR
100,2000,100069,20240825,0010000369,2024,0010000369,4754.58,EUR
100,1000,100070,20220723,0010000370,2023,0010000370,3002.47,EUR
100,2000,100071,20221101,0010000371,2024,0010000371,737.24,EUR
100,1000,100072,20221016,0010000372,2023,0010000372,1749.26,EUR
100,2000,100073,20231005,0010000373,2024,0010000373,4486.36,EUR
100,1000,100074,20230717,0010000374,2023,0010000374,4661.09,EUR
100,2000,100075,20240227,0010000375,2024,0010000375,166.75,EUR
100,1000,100076,20220308,0010000376,2023,0010000376,4111.3,EUR
100,2000,100077,20220112,0010000377,2024,0010000377,3981.41,EUR
100,1000,100078,20230929,0010000378,2023,0010000378,1183.69,EUR
100,2000,100079,20230714,0010000379,2024,0010000379,3163.6,EUR
100,1000,100080,20230306,0010000380,2023,0010000380,538.81,EUR
100,2000,100081,20220615,0010000381,2024,0010000381,1034.34,EUR
100,1000,100082,20220816,0010000382,2023,0010000382,111.4,EUR
100,2000,100083,20231122,0010000383,2024,0010000383,4977.1,EUR
100,1000,100084,20220628,0010000384,2023,0010000384,4112.84,EUR
100,2000,100085,20240124,0010000385,2024,0010000385,4226.56,EUR
100,1000,100086,20220806,0010000386,2023,0010000386,1268.6,EUR
100,2000,100087,20221026,0010000387,2024,0010000387,3953.76,EUR
100,1000,100088,20230303,0010000388,2023,0010000388,4051.31,EUR
100,2000,100089,20221002,0010000389,2024,0010000389,1457.52,EUR
100,1000,100090,20220305,0010000390,2023,0010000390,456.75,EUR
100,2000,100091,20240721,0010000391,2024,0010000391,4945.96,EUR
100,1000,100092,20220906,0010000392,2023,0010000392,3730.87,EUR
100,2000,100093,20240702,0010000393,2024,0010000393,3293.44,EUR
100,1000,100094,20220513,0010000394,2023,0010000394,2680.03,EUR
100,2000,100095,20230715,0010000395,2024,0010000395,3267.79,EUR
100,1000,100096,20230829,0010000396,2023,0010000396,2050.2,EUR
100,2000,100097,20230518,0010000397,2024,0010000397,3503.06,EUR
100,1000,100098,20220109,0010000398,2023,0010000398,4060.85,EUR
100,2000,100099,20240724,0010000399,2024,0010000399,3415.81,EUR
100,1000,100000,20221128,0010000400,2023,0010000400,3807.54,EUR
100,2000,100001,20240623,0010000401,2024,0010000401,2115.58,EUR
100,1000,100002,20241018,0010000402,2023,0010000402,2886.3,EUR
100,2000,100003,20230901,0010000403,2024,0010000403,3944.15,EUR
100,1000,100004,20231119,0010000404,2023,0010000404,2644.68,EUR
100,2000,100005,20240825,0010000405,2024,0010000405,4745.21,EUR
100,1000,100006,20220422,0010000406,2023,0010000406,1719.43,EUR
100,2000,100007,20231104,0010000407,2024,0010000407,380.69,EUR
100,1000,100008,20240709,0010000408,2023,0010000408,2035.61,EUR
100,2000,100009,20220618,0010000409,2024,0010000409,3403.89,EUR
100,1000,100010,20230117,0010000410,2023,0010000410,1822.11,EUR
