MANDT,VBELN,FKART,KUNNR,FKDAT,NETWR,WAERK
100,9000000078,F2,CUS000117,20260108,146844.09,EUR
100,9000000079,F2,CUS000118,20220215,68833.6,EUR
100,9000000080,F2,CUS000111,20240106,79921.24,EUR
100,9000000081,F2,CUS000136,20230725,73044.59,EUR
100,9000000082,F2,CUS000053,20241019,13827.88,EUR
100,9000000083,F2,CUS000160,20251211,35160.67,EUR
100,9000000084,F2,CUS000126,20240803,119268.97,EUR
100,9000000085,F2,CUS000111,20251201,67671.37,EUR
100,9000000086,F2,CUS000151,20240330,84669.03,EUR
100,9000000087,F2,CUS000038,20251121,119935.25,EUR
100,9000000088,F2,CUS000014,20220922,35136.9,EUR
100,9000000089,F2,CUS000111,20230219,157520.82,EUR
100,9000000090,F2,CUS000107,20221015,119585.54,EUR
100,9000000091,F2,CUS000197,20220307,133696.55,EUR
100,9000000092,F2,CUS000014,20240809,10330.76,EUR
100,9000000093,F2,CUS000190,20220915,113087.27,EUR
100,9000000094,F2,CUS000025,20241211,82142.84,EUR
100,9000000096,F2,CUS000087,20250309,109811.4,EUR
100,9000000097,F2,CUS000067,20241218,15610.59,EUR
100,9000000098,F2,CUS000188,20220309,3220.8,EUR
100,9000000099,F2,CUS000027,20230511,198655.6,EUR
100,9000000100,F2,CUS000023,20230206,44480.59,EUR
100,9000000101,F2,CUS000161,20240609,117272.49,EUR
100,9000000102,F2,CUS000181,20240324,43345.18,EUR
100,9000000103,F2,CUS000168,20230630,41093.94,EUR
100,9000000104,F2,CUS000194,20231116,138335.46,EUR
100,9000000105,F2,CUS000015,20230613,71283.58,EUR
100,9000000106,F2,CUS000034,20230903,98546.65,EUR
100,9000000107,F2,CUS000160,20260101,114433.59,EUR
100,9000000108,F2,CUS000030,20240804,50262.4,EUR
100,9000000109,F2,CUS000099,20250616,73878.18,EUR
100,9000000110,F2,CUS000068,20231129,161036.61,EUR
100,9000000111,F2,CUS000198,20230605,56267.45,EUR
100,9000000112,F2,CUS000067,20230804,177750.88,EUR
100,9000000113,F2,CUS000147,20231109,24781.14,EUR
100,9000000114,F2,CUS000169,20220324,120789.12,EUR
100,9000000115,F2,CUS000063,20231111,184679.94,EUR
100,9000000116,F2,CUS000063,20250109,39713.39,EUR
100,9000000117,F2,CUS000121,20260106,84255.21,EUR
100,9000000118,F2,CUS000019,20220415,108278.08,EUR
100,9000000119,F2,CUS000113,20231027,34079.34,EUR
100,9000000120,F2,CUS000135,20241206,107000.78,EUR
100,9000000121,F2,CUS000011,20250520,202723.54,EUR
100,9000000122,F2,CUS000199,20251015,1921.32,EUR
100,9000000123,F2,CUS000010,20250719,77156.13,EUR
100,9000000124,F2,CUS000061,20250424,65160.95,EUR
100,9000000125,F2,CUS000030,20240525,21422.6,EUR
100,9000000126,F2,CUS000106,20250524,91646.09,EUR
100,9000000127,F2,CUS000168,20220517,18986.88,EUR
100,9000000128,F2,CUS000096,20221214,65334.93,EUR
100,9000000129,F2,CUS000198,20250804,186443.97,EUR
100,9000000130,F2,CUS000083,20231017,109337.9,EUR
100,9000000131,F2,CUS000180,20230814,92088.4,EUR
100,9000000132,F2,CUS000028,20250316,141303.7,EUR
100,9000000133,F2,CUS000083,20220401,191066.46,EUR
100,9000000134,F2,CUS000033,20240216,125315.52,EUR
100,9000000135,F2,CUS000043,20221021,39946.9,EUR
100,9000000136,F2,CUS000120,20250714,101732.58,EUR
100,9000000137,F2,CUS000072,20230331,9980.96,EUR
100,9000000138,F2,CUS000155,20250512,88038.24,EUR
100,9000000139,F2,CUS000198,20240821,96766.51,EUR
100,9000000140,F2,CUS000183,20250617,28124.8,EUR
100,9000000141,F2,CUS000140,20220801,30264.34,EUR
100,9000000142,F2,CUS000050,20220524,159124.04,EUR
100,9000000143,F2,CUS000003,20221225,41752.57,EUR
100,9000000144,F2,CUS000058,20240510,142380.3,EUR
100,9000000145,F2,CUS000191,20250219,258175.29,EUR
100,9000000146,F2,CUS000041,20220124,130773.22,EUR
100,9000000147,F2,CUS000112,20251207,75551.93,EUR
100,9000000148,F2,CUS000135,20251209,15992.11,EUR
100,9000000149,F2,CUS000118,20231217,29161.42,EUR
100,9000000150,F2,CUS000123,20220126,60966.82,EUR
100,9000000151,F2,CUS000063,20251231,235092.0,EUR
100,9000000152,F2,CUS000001,20241101,61104.27,EUR
100,9000000153,F2,CUS000022,20240827,102521.22,EUR
100,9000000154,F2,CUS000190,20230620,161007.52,EUR
100,9000000155,F2,CUS000112,20240731,3292.8,EUR
100,9000000156,F2,CUS000065,20240203,26799.54,EUR
100,9000000157,F2,CUS000064,20240406,12324.48,EUR
100,9000000158,F2,CUS000159,20251127,200897.82,EUR
100,9000000159,F2,CUS000103,20240523,2385.58,EUR
100,9000000161,F2,CUS000100,20250120,31692.03,EUR
100,9000000162,F2,CUS000162,20220622,87243.96,EUR
100,9000000163,F2,CUS000025,20220922,117727.6,EUR
100,9000000164,F2,CUS000028,20250731,24603.02,EUR
100,9000000165,F2,CUS000149,20240302,183735.78,EUR
100,9000000166,F2,CUS000142,20240324,101319.73,EUR
100,9000000167,F2,CUS000155,20251118,61363.67,EUR
100,9000000168,F2,CUS000121,20241211,85121.6,EUR
100,9000000169,F2,CUS000037,20231210,257034.17,EUR
100,9000000170,F2,CUS000079,20250725,81189.69,EUR
100,9000000171,F2,CUS000094,20230703,162372.88,EUR
100,9000000172,F2,CUS000085,20220729,195290.94,EUR
100,9000000173,F2,CUS000063,20250907,39051.9,EUR
100,9000000174,F2,CUS000195,20250428,90163.5,EUR
100,9000000175,F2,CUS000200,20240703,78682.55,EUR
100,9000000176,F2,CUS000125,20230122,107264.64,EUR
100,9000000177,F2,CUS000088,20240711,127933.64,EUR
100,9000000178,F2,CUS000133,20231117,244594.58,EUR
100,9000000179,F2,CUS000071,20231208,59861.13,EUR
100,9000000180,F2,CUS000084,20230605,229816.05,EUR
100,9000000183,F2,CUS000083,20230423,57904.45,EUR
100,9000000184,F2,CUS000047,20231009,71333.6,EUR
100,9000000185,F2,CUS000059,20231014,123387.83,EUR
100,9000000187,F2,CUS000190,20241012,88377.79,EUR
100,9000000188,F2,CUS000022,20251216,92984.0,EUR
100,9000000189,F2,CUS000045,20240522,3262.5,EUR
100,9000000190,F2,CUS000128,20220320,134331.25,EUR
100,9000000191,F2,CUS000044,20241220,16766.1,EUR
100,9000000192,F2,CUS000107,20240814,205534.62,EUR
100,9000000193,F2,CUS000064,20220818,83275.0,EUR
100,9000000194,F2,CUS000162,20240310,42176.16,EUR
100,9000000195,F2,CUS000003,20231101,130456.3,EUR
100,9000000196,F2,CUS000170,20240730,50334.22,EUR
100,9000000197,F2,CUS000059,20220726,230198.37,EUR
100,9000000198,F2,CUS000163,20221215,107421.69,EUR
100,9000000199,F2,CUS000080,20251017,147804.01,EUR
100,9000000200,F2,CUS000058,20220611,91166.52,EUR
100,9000000201,F2,CUS000110,20240827,84364.12,EUR
100,9000000202,F2,CUS000171,20240520,304769.26,EUR
100,9000000203,F2,CUS000101,20240529,91506.61,EUR
100,9000000204,F2,CUS000175,20240112,48836.77,EUR
100,9000000205,F2,CUS000023,20241103,128482.92,EUR
100,9000000206,F2,CUS000090,20240929,189460.15,EUR
100,9000000207,F2,CUS000179,20250627,4843.95,EUR
100,9000000208,F2,CUS000091,20250113,42944.01,EUR
100,9000000209,F2,CUS000127,20220306,124517.04,EUR
100,9000000210,F2,CUS000133,20230122,234443.16,EUR
100,9000000211,F2,CUS000182,20241121,67078.44,EUR
100,9000000212,F2,CUS000017,20240626,163228.12,EUR
100,9000000214,F2,CUS000179,20240228,18673.92,EUR
100,9000000215,F2,CUS000087,20220702,142463.86,EUR
100,9000000216,F2,CUS000145,20250319,57269.52,EUR
100,9000000217,F2,CUS000130,20230108,2285.88,EUR
100,9000000218,F2,CUS000090,20220818,175464.41,EUR
100,9000000219,F2,CUS000104,20230208,54322.65,EUR
100,9000000220,F2,CUS000083,20250914,249139.4,EUR
100,9000000221,F2,CUS000151,20230930,225018.48,EUR
100,9000000222,F2,CUS000161,20260110,133875.62,EUR
100,9000000223,F2,CUS000177,20250929,75947.1,EUR
100,9000000224,F2,CUS000052,20240326,199288.6,EUR
100,9000000225,F2,CUS000101,20220508,166122.73,EUR
100,9000000227,F2,CUS000027,20221106,171726.5,EUR
100,9000000228,F2,CUS000157,20241016,80814.54,EUR
100,9000000229,F2,CUS000111,20220218,93487.86,EUR
100,9000000230,F2,CUS000159,20250923,147554.22,EUR
100,9000000231,F2,CUS000014,20240506,54166.84,EUR
100,9000000232,F2,CUS000178,20220311,60779.06,EUR
100,9000000233,F2,CUS000157,20231025,221760.37,EUR
100,9000000234,F2,CUS000042,20221112,100626.54,EUR
100,9000000235,F2,CUS000098,20240906,168267.46,EUR
100,9000000236,F2,CUS000046,20220531,61446.0,EUR
100,9000000237,F2,CUS000091,20220629,99470.84,EUR
100,9000000238,F2,CUS000118,20250916,142059.9,EUR
100,9000000239,F2,CUS000142,20230626,27425.0,EUR
100,9000000240,F2,CUS000006,20220902,130647.75,EUR
100,9000000242,F2,CUS000139,20221105,67555.35,EUR
100,9000000243,F2,CUS000073,20230609,143401.6,EUR
100,9000000244,F2,CUS000191,20240115,238042.99,EUR
100,9000000245,F2,CUS000094,20240411,15637.38,EUR
100,9000000246,F2,CUS000087,20230725,77609.84,EUR
100,9000000247,F2,CUS000126,20240510,7016.24,EUR
100,9000000248,F2,CUS000088,20230817,140659.46,EUR
100,9000000249,F2,CUS000083,20220930,124112.52,EUR
100,9000000250,F2,CUS000018,20230705,16874.38,EUR
100,9000000251,F2,CUS000142,20231114,129765.98,EUR
100,9000000252,F2,CUS000131,20220327,120178.66,EUR
100,9000000253,F2,CUS000024,20230507,204028.6,EUR
100,9000000254,F2,CUS000014,20220227,119509.48,EUR
100,9000000256,F2,CUS000132,20251025,240180.32,EUR
100,9000000257,F2,CUS000118,20231117,138528.9,EUR
100,9000000258,F2,CUS000045,20240508,84473.0,EUR
100,9000000259,F2,CUS000139,20251026,44713.34,EUR
100,9000000260,F2,CUS000154,20221110,10330.6,EUR
100,9000000261,F2,CUS000066,20220126,116369.69,EUR
100,9000000262,F2,CUS000062,20231005,75600.92,EUR
100,9000000263,F2,CUS000096,20240320,185638.15,EUR
100,9000000264,F2,CUS000198,20250115,34533.45,EUR
100,9000000265,F2,CUS000122,20220713,120692.5,EUR
100,9000000266,F2,CUS000158,20230330,53109.94,EUR
100,9000000267,F2,CUS000065,20220425,136029.3,EUR
100,9000000268,F2,CUS000130,20240408,166311.24,EUR
100,9000000269,F2,CUS000003,20250104,127145.72,EUR
100,9000000270,F2,CUS000171,20221103,2546.12,EUR
100,9000000271,F2,CUS000064,20221221,175275.2,EUR
100,9000000272,F2,CUS000154,20230528,15649.26,EUR
100,9000000273,F2,CUS000138,20230922,276891.03,EUR
100,9000000274,F2,CUS000153,20230829,131252.35,EUR
100,9000000275,F2,CUS000036,20250626,280962.56,EUR
100,9000000276,F2,CUS000141,20240216,192673.84,EUR
100,9000000278,F2,CUS000091,20250221,68935.56,EUR
100,9000000279,F2,CUS000104,20221226,35738.01,EUR
100,9000000280,F2,CUS000100,20220305,84642.64,EUR
100,9000000281,F2,CUS000182,20220714,81566.23,EUR
100,9000000282,F2,CUS000183,20250529,37704.42,EUR
100,9000000283,F2,CUS000040,20230108,107790.84,EUR
100,9000000284,F2,CUS000193,20240429,53075.94,EUR
100,9000000286,F2,CUS000167,20221023,85824.09,EUR
100,9000000287,F2,CUS000020,20240626,195919.57,EUR
100,9000000288,F2,CUS000118,20250622,127013.76,EUR
100,9000000289,F2,CUS000097,20221124,22601.79,EUR
100,9000000290,F2,CUS000110,20221125,32183.72,EUR
100,9000000292,F2,CUS000130,20250122,130318.28,EUR
100,9000000293,F2,CUS000008,20240906,44722.98,EUR
100,9000000294,F2,CUS000154,20221209,20181.12,EUR
100,9000000295,F2,CUS000176,20251105,238418.03,EUR
100,9000000296,F2,CUS000073,20220612,180882.83,EUR
100,9000000297,F2,CUS000048,20240323,318236.88,EUR
100,9000000298,F2,CUS000093,20250807,191191.83,EUR
100,9000000299,F2,CUS000185,20240806,104222.87,EUR
100,9000000300,F2,CUS000172,20230424,215541.15,EUR
100,9000000301,F2,CUS000061,20220908,148668.36,EUR
100,9000000302,F2,CUS000194,20240915,108652.21,EUR
100,9000000303,F2,CUS000051,20240212,255093.51,EUR
100,9000000304,F2,CUS000032,20231101,18351.36,EUR
100,9000000305,F2,CUS000021,20250120,249053.71,EUR
100,9000000306,F2,CUS000127,20230130,54670.15,EUR
100,9000000307,F2,CUS000032,20250627,204640.15,EUR
100,9000000308,F2,CUS000071,20230407,195334.69,EUR
100,9000000309,F2,CUS000016,20221212,113762.94,EUR
100,9000000310,F2,CUS000100,20240914,47705.57,EUR
100,9000000311,F2,CUS000134,20240215,27578.59,EUR
100,9000000312,F2,CUS000158,20250224,128262.26,EUR
100,9000000313,F2,CUS000145,20250312,142787.3,EUR
100,9000000314,F2,CUS000027,20220620,59161.22,EUR
100,9000000315,F2,CUS000165,20230813,54871.44,EUR
100,9000000316,F2,CUS000129,20220705,82586.86,EUR
100,9000000317,F2,CUS000118,20230918,30712.74,EUR
100,9000000318,F2,CUS000194,20250716,86036.23,EUR
100,9000000319,F2,CUS000116,20231117,62650.0,EUR
100,9000000320,F2,CUS000081,20230810,19385.46,EUR
100,9000000321,F2,CUS000029,20250111,120148.97,EUR
100,9000000322,F2,CUS000141,20231120,4121.8,EUR
100,9000000323,F2,CUS000133,20220713,13685.0,EUR
100,9000000324,F2,CUS000175,20221214,10275.4,EUR
100,9000000325,F2,CUS000113,20220725,208073.85,EUR
100,9000000326,F2,CUS000039,20220617,47427.84,EUR
100,9000000327,F2,CUS000007,20240830,314.24,EUR
100,9000000328,F2,CUS000071,20241203,123713.52,EUR
100,9000000329,F2,CUS000187,20240221,37075.38,EUR
100,9000000330,F2,CUS000159,20240809,147721.37,EUR
100,9000000331,F2,CUS000067,20220131,133591.71,EUR
100,9000000332,F2,CUS000147,20241216,50094.16,EUR
100,9000000334,F2,CUS000095,20220824,100563.36,EUR
100,9000000335,F2,CUS000053,20230516,291446.96,EUR
100,9000000336,F2,CUS000058,20231101,1734.6,EUR
100,9000000337,F2,CUS000119,20220727,205868.46,EUR
100,9000000338,F2,CUS000019,20250608,237181.75,EUR
100,9000000339,F2,CUS000034,20230909,17183.6,EUR
100,9000000340,F2,CUS000110,20220930,183648.36,EUR
100,9000000341,F2,CUS000131,20240619,95425.47,EUR
100,9000000342,F2,CUS000061,20230911,102051.15,EUR
100,9000000343,F2,CUS000095,20241117,239698.71,EUR
100,9000000344,F2,CUS000145,20231116,92904.49,EUR
100,9000000345,F2,CUS000200,20230122,133685.58,EUR
100,9000000346,F2,CUS000063,20250906,91716.89,EUR
100,9000000347,F2,CUS000105,20231212,80801.88,EUR
100,9000000348,F2,CUS000070,20241120,148865.15,EUR
100,9000000350,F2,CUS000106,20250822,182687.04,EUR
100,9000000351,F2,CUS000191,20220717,150030.97,EUR
100,9000000352,F2,CUS000053,20220202,95931.6,EUR
100,9000000353,F2,CUS000013,20231101,20939.88,EUR
100,9000000354,F2,CUS000053,20240725,184238.49,EUR
100,9000000355,F2,CUS000133,20230701,126732.21,EUR
100,9000000356,F2,CUS000031,20251106,31759.72,EUR
100,9000000358,F2,CUS000143,20220403,145176.24,EUR
100,9000000359,F2,CUS000156,20230913,63780.08,EUR
100,9000000360,F2,CUS000103,20250131,100608.89,EUR
100,9000000361,F2,CUS000157,20241019,89482.57,EUR
100,9000000362,F2,CUS000082,20250109,157765.63,EUR
100,9000000363,F2,CUS000096,20231216,131955.42,EUR
100,9000000364,F2,CUS000057,20240320,271406.65,EUR
100,9000000365,F2,CUS000144,20220815,114622.84,EUR
100,9000000366,F2,CUS000029,20220612,193575.56,EUR
100,9000000367,F2,CUS000061,20220727,119381.68,EUR
100,9000000368,F2,CUS000194,20221015,91875.2,EUR
100,9000000369,F2,CUS000015,20240512,286323.84,EUR
100,9000000370,F2,CUS000040,20220415,181971.23,EUR
100,9000000371,F2,CUS000037,20241011,44708.08,EUR
100,9000000372,F2,CUS000095,20221222,126809.37,EUR
100,9000000373,F2,CUS000133,20240425,120745.84,EUR
100,9000000374,F2,CUS000098,20240727,138741.17,EUR
100,9000000375,F2,CUS000044,20240508,169240.88,EUR
100,9000000376,F2,CUS000148,20230618,120394.64,EUR
100,9000000377,F2,CUS000035,20220729,194493.49,EUR
100,9000000378,F2,CUS000137,20250806,61937.88,EUR
100,9000000379,F2,CUS000187,20230317,80992.09,EUR
100,9000000380,F2,CUS000176,20230322,148113.76,EUR
100,9000000381,F2,CUS000047,20221007,5975.55,EUR
100,9000000382,F2,CUS000051,20230604,138443.8,EUR
100,9000000383,F2,CUS000153,20250326,91272.24,EUR
100,9000000384,F2,CUS000167,20250106,102283.22,EUR
100,9000000385,F2,CUS000065,20230602,36808.27,EUR
100,9000000386,F2,CUS000142,20240507,91704.89,EUR
100,9000000387,F2,CUS000088,20220825,141838.61,EUR
100,9000000388,F2,CUS000112,20250312,12140.8,EUR
100,9000000389,F2,CUS000053,20220316,70383.6,EUR
100,9000000390,F2,CUS000112,20230612,177353.86,EUR
100,9000000391,F2,CUS000197,20250205,265203.87,EUR
100,9000000392,F2,CUS000176,20240629,93507.57,EUR
100,9000000393,F2,CUS000056,20221115,120038.92,EUR
100,9000000394,F2,CUS000030,20250321,217622.96,EUR
100,9000000395,F2,CUS000114,20220705,268786.56,EUR
100,9000000396,F2,CUS000049,20230123,120632.7,EUR
100,9000000397,F2,CUS000149,20240320,249127.54,EUR
100,9000000398,F2,CUS000102,20250816,146189.8,EUR
100,9000000399,F2,CUS000185,20230605,19420.38,EUR
100,9000000400,F2,CUS000195,20250410,68651.84,EUR
100,9000000401,F2,CUS000067,20221021,132494.04,EUR
100,9000000403,F2,CUS000127,20230917,16858.23,EUR
100,9000000404,F2,CUS000146,20220306,216109.2,EUR
100,9000000405,F2,CUS000103,20220122,64263.71,EUR
100,9000000406,F2,CUS000109,20250129,164574.51,EUR
100,9000000407,F2,CUS000200,20251113,124844.32,EUR
100,9000000408,F2,CUS000054,20240408,107777.25,EUR
100,9000000409,F2,CUS000147,20250913,19088.65,EUR
100,9000000410,F2,CUS000084,20220428,78217.91,EUR
100,9000000411,F2,CUS000104,20230702,137031.58,EUR
100,9000000412,F2,CUS000018,20250616,47692.62,EUR
100,9000000413,F2,CUS000028,20220220,66818.37,EUR
100,9000000414,F2,CUS000035,20240710,110172.48,EUR
100,9000000415,F2,CUS000093,20230614,170661.18,EUR
100,9000000416,F2,CUS000113,20240720,165648.77,EUR
100,9000000417,F2,CUS000185,20231116,22333.99,EUR
100,9000000418,F2,CUS000122,20240704,22591.75,EUR
100,9000000419,F2,CUS000017,20251128,44530.26,EUR
100,9000000420,F2,CUS000167,20250302,85055.76,EUR
100,9000000421,F2,CUS000132,20241203,229833.25,EUR
100,9000000422,F2,CUS000009,20220802,68285.26,EUR
100,9000000423,F2,CUS000001,20230811,165237.32,EUR
100,9000000424,F2,CUS000143,20240618,206448.17,EUR
100,9000000425,F2,CUS000180,20240608,223058.43,EUR
100,9000000426,F2,CUS000125,20240810,44176.75,EUR
100,9000000427,F2,CUS000042,20230113,26545.68,EUR
100,9000000428,F2,CUS000069,20240204,214396.98,EUR
100,9000000429,F2,CUS000055,20230102,117982.33,EUR
100,9000000430,F2,CUS000119,20220321,54041.57,EUR
100,9000000431,F2,CUS000023,20250912,126793.94,EUR
100,9000000432,F2,CUS000138,20231010,3024.0,EUR
100,9000000433,F2,CUS000057,20240418,266012.41,EUR
100,9000000434,F2,CUS000077,20230617,188100.75,EUR
100,9000000435,F2,CUS000025,20240322,47490.55,EUR
100,9000000436,F2,CUS000092,20250318,84792.16,EUR
100,9000000437,F2,CUS000173,20250503,48549.67,EUR
100,9000000438,F2,CUS000072,20220126,28145.6,EUR
100,9000000439,F2,CUS000092,20250204,91006.26,EUR
100,9000000441,F2,CUS000146,20230209,223757.32,EUR
100,9000000442,F2,CUS000016,20250414,15666.98,EUR
100,9000000443,F2,CUS000039,20220209,141775.0,EUR
100,9000000444,F2,CUS000060,20220412,141798.13,EUR
100,9000000445,F2,CUS000134,20220929,67342.57,EUR
100,9000000446,F2,CUS000133,20250223,45174.56,EUR
100,9000000447,F2,CUS000141,20220525,133750.54,EUR
100,9000000448,F2,CUS000192,20221007,176144.83,EUR
100,9000000449,F2,CUS000129,20221009,6280.5,EUR
100,9000000450,F2,CUS000041,20220414,90117.93,EUR
100,9000000451,F2,CUS000101,20240517,112220.56,EUR
100,9000000452,F2,CUS000107,20250324,85463.46,EUR
100,9000000453,F2,CUS000011,20250806,85835.54,EUR
100,9000000454,F2,CUS000057,20230705,124731.09,EUR
100,9000000455,F2,CUS000177,20220330,27792.21,EUR
100,9000000456,F2,CUS000085,20241031,107696.22,EUR
100,9000000457,F2,CUS000072,20230310,12694.5,EUR
100,9000000459,F2,CUS000071,20240729,135557.86,EUR
100,9000000460,F2,CUS000190,20230809,75809.1,EUR
100,9000000461,F2,CUS000072,20220902,133585.75,EUR
100,9000000462,F2,CUS000196,20230406,96467.64,EUR
100,9000000463,F2,CUS000154,20220314,159948.08,EUR
100,9000000464,F2,CUS000122,20240128,211976.87,EUR
100,9000000466,F2,CUS000005,20241111,81600.59,EUR
100,9000000467,F2,CUS000057,20220613,136308.61,EUR
100,9000000468,F2,CUS000019,20230715,40571.52,EUR
100,9000000469,F2,CUS000152,20240217,178839.55,EUR
100,9000000470,F2,CUS000019,20230326,21851.5,EUR
100,9000000471,F2,CUS000118,20220317,339602.49,EUR
100,9000000472,F2,CUS000116,20250506,115362.38,EUR
100,9000000473,F2,CUS000146,20250308,168505.32,EUR
100,9000000474,F2,CUS000181,20230522,132241.77,EUR
100,9000000475,F2,CUS000027,20221123,299050.81,EUR
100,9000000476,F2,CUS000028,20240107,48026.17,EUR
100,9000000477,F2,CUS000153,20260105,100870.72,EUR
100,9000000478,F2,CUS000077,20250222,47045.52,EUR
100,9000000479,F2,CUS000170,20230502,85559.15,EUR
100,9000000480,F2,CUS000098,20230805,98858.3,EUR
100,9000000481,F2,CUS000072,20250614,29075.39,EUR
100,9000000482,F2,CUS000053,20230327,163372.67,EUR
100,9000000483,F2,CUS000125,20230630,43393.35,EUR
100,9000000484,F2,CUS000190,20250420,166220.59,EUR
100,9000000485,F2,CUS000040,20240627,85520.61,EUR
100,9000000486,F2,CUS000026,20230129,8030.88,EUR
100,9000000487,F2,CUS000107,20250218,118233.84,EUR
100,9000000488,F2,CUS000064,20230615,39203.06,EUR
100,9000000489,F2,CUS000190,20230207,70073.19,EUR
100,9000000490,F2,CUS000197,20240222,30980.78,EUR
100,9000000491,F2,CUS000107,20231028,137544.75,EUR
100,9000000492,F2,CUS000155,20221031,83865.84,EUR
100,9000000493,F2,CUS000056,20240428,21261.68,EUR
100,9000000494,F2,CUS000185,20251014,186248.27,EUR
100,9000000495,F2,CUS000046,20220627,118917.32,EUR
100,9000000496,F2,CUS000011,20220109,206124.31,EUR
100,9000000497,F2,CUS000029,20230125,67192.46,EUR
100,9000000498,F2,CUS000195,20221127,252781.66,EUR
100,9000000500,F2,CUS000102,20250203,372.69,EUR
100,9000000501,F2,CUS000141,20230504,84420.72,EUR
100,9000000502,F2,CUS000157,20241102,204472.83,EUR
100,9000000503,F2,CUS000090,20230420,138163.47,EUR
