MANDT,BANFN,BNFPO,MATNR,MENGE,MEINS,WERKS
100,10000108,00010,MAT000473,4166,KG,1300
100,10000109,00010,MAT000123,891,KG,1000
100,10000110,00010,MAT000042,11935,KG,1400
100,10000111,00010,MAT000452,14898,KG,1300
100,10000112,00010,MAT000033,15853,KG,1400
100,10000113,00010,MAT000038,11356,KG,1300
100,10000114,00010,MAT000234,480,KG,1300
100,10000115,00010,MAT000455,2071,KG,1000
100,10000116,00010,MAT000452,15332,KG,1300
100,10000117,00010,MAT000110,6180,KG,1000
100,10000118,00010,MAT000048,5122,KG,1200
100,10000119,00010,MAT000257,13703,KG,1100
100,10000120,00010,MAT000470,2994,KG,1000
100,10000121,00010,MAT000079,7626,KG,1300
100,10000122,00010,MAT000196,5149,KG,1100
100,10000123,00010,MAT000186,95,KG,1200
100,10000124,00010,MAT000196,15761,KG,1000
100,10000125,00010,MAT000388,2078,KG,1400
100,10000126,00010,MAT000328,12465,KG,1100
100,10000127,00010,MAT000306,12724,KG,1100
100,10000128,00010,MAT000236,8063,KG,1100
100,10000129,00010,MAT000240,18360,KG,1200
100,10000130,00010,MAT000494,1096,KG,1400
100,10000131,00010,MAT000457,7674,KG,1100
100,10000132,00010,MAT000496,13577,KG,1200
100,10000133,00010,MAT000227,18151,KG,1400
100,10000134,00010,MAT000328,3183,KG,1400
100,10000135,00010,MAT000485,1215,KG,1200
100,10000136,00010,MAT000482,15837,KG,1400
100,10000137,00010,MAT000207,18941,KG,1100
100,10000138,00010,MAT000331,2556,KG,1400
100,10000139,00010,MAT000348,890,KG,1400
100,10000140,00010,MAT000314,19705,KG,1000
100,10000141,00010,MAT000034,1721,KG,1300
100,10000142,00010,MAT000039,17868,KG,1000
100,10000143,00010,MAT000387,5970,KG,1400
100,10000144,00010,MAT000157,12027,KG,1400
100,10000145,00010,MAT000049,9955,KG,1100
100,10000146,00010,MAT000438,5286,KG,1300
100,10000147,00010,MAT000330,10844,KG,1000
100,10000148,00010,MAT000286,16824,KG,1300
100,10000149,00010,MAT000098,16478,KG,1100
100,10000150,00010,MAT000476,10845,KG,1000
100,10000151,00010,MAT000236,16487,KG,1200
100,10000152,00010,MAT000292,1251,KG,1100
100,10000153,00010,MAT000362,9264,KG,1300
100,10000154,00010,MAT000147,14540,KG,1400
100,10000155,00010,MAT000165,10359,KG,1300
100,10000156,00010,MAT000042,5712,KG,1400
100,10000157,00010,MAT000492,6102,KG,1300
100,10000158,00010,MAT000393,17067,KG,1400
100,10000159,00010,MAT000461,13949,KG,1400
100,10000160,00010,MAT000481,17913,KG,1300
100,10000161,00010,MAT000384,3818,KG,1300
100,10000162,00010,MAT000137,19177,KG,1200
100,10000163,00010,MAT000033,7674,KG,1100
100,10000164,00010,MAT000394,10126,KG,1200
100,10000165,00010,MAT000456,10457,KG,1200
100,10000166,00010,MAT000229,16662,KG,1400
100,10000167,00010,MAT000456,10445,KG,1000
100,10000168,00010,MAT000390,675,KG,1400
100,10000169,00010,MAT000208,5796,KG,1100
100,10000170,00010,MAT000034,19458,KG,1000
100,10000171,00010,MAT000392,14156,KG,1400
100,10000172,00010,MAT000038,12334,KG,1100
100,10000173,00010,MAT000046,1472,KG,1000
100,10000174,00010,MAT000430,17929,KG,1300
100,10000175,00010,MAT000394,5237,KG,1400
100,10000176,00010,MAT000234,14926,KG,1100
100,10000177,00010,MAT000398,13226,KG,1400
100,10000178,00010,MAT000277,6519,KG,1200
100,10000179,00010,MAT000384,18320,KG,1300
100,10000180,00010,MAT000149,11566,KG,1100
100,10000181,00010,MAT000237,2884,KG,1300
100,10000182,00010,MAT000044,4999,KG,1300
100,10000183,00010,MAT000048,13593,KG,1000
100,10000184,00010,MAT000128,8842,KG,1200
100,10000185,00010,MAT000398,13726,KG,1300
100,10000186,00010,MAT000291,15385,KG,1300
100,10000187,00010,MAT000096,10077,KG,1200
100,10000188,00010,MAT000346,8675,KG,1300
100,10000189,00010,MAT000257,14274,KG,1400
100,10000190,00010,MAT000115,6349,KG,1100
100,10000191,00010,MAT000458,2700,KG,1200
100,10000192,00010,MAT000236,4470,KG,1000
100,10000193,00010,MAT000212,12501,KG,1200
100,10000194,00010,MAT000260,2794,KG,1200
100,10000195,00010,MAT000398,9665,KG,1300
100,10000196,00010,MAT000123,6233,KG,1000
100,10000197,00010,MAT000388,3947,KG,1000
100,10000198,00010,MAT000053,9795,KG,1000
100,10000199,00010,MAT000116,1435,KG,1000
100,10000200,00010,MAT000084,1403,KG,1100
100,10000201,00010,MAT000241,401,KG,1400
100,10000202,00010,MAT000045,11428,KG,1000
100,10000203,00010,MAT000098,12655,KG,1100
100,10000204,00010,MAT000115,2290,KG,1100
100,10000205,00010,MAT000079,5893,KG,1100
100,10000206,00010,MAT000105,5947,KG,1200
100,10000207,00010,MAT000123,13442,KG,1200
100,10000208,00010,MAT000047,15031,KG,1000
100,10000209,00010,MAT000292,13627,KG,1000
100,10000210,00010,MAT000105,19204,KG,1400
100,10000211,00010,MAT000384,8004,KG,1300
100,10000212,00010,MAT000038,11181,KG,1300
100,10000213,00010,MAT000034,6775,KG,1300
100,10000214,00010,MAT000269,1756,KG,1400
100,10000215,00010,MAT000097,8468,KG,1000
100,10000216,00010,MAT000123,11981,KG,1400
100,10000217,00010,MAT000202,2474,KG,1400
100,10000218,00010,MAT000260,14946,KG,1200
100,10000219,00010,MAT000292,15807,KG,1400
100,10000220,00010,MAT000047,11350,KG,1000
100,10000221,00010,MAT000039,1720,KG,1300
100,10000222,00010,MAT000162,6716,KG,1100
100,10000223,00010,MAT000455,4774,KG,1100
100,10000224,00010,MAT000373,13730,KG,1400
100,10000225,00010,MAT000360,6940,KG,1400
100,10000226,00010,MAT000478,3191,KG,1200
100,10000227,00010,MAT000370,18846,KG,1100
100,10000228,00010,MAT000040,5199,KG,1200
100,10000229,00010,MAT000493,3791,KG,1000
100,10000230,00010,MAT000185,18542,KG,1100
100,10000231,00010,MAT000209,15690,KG,1100
100,10000232,00010,MAT000330,19736,KG,1200
100,10000233,00010,MAT000034,7389,KG,1200
100,10000234,00010,MAT000456,19836,KG,1300
100,10000235,00010,MAT000489,18538,KG,1300
100,10000236,00010,MAT000473,4593,KG,1100
100,10000237,00010,MAT000096,2716,KG,1000
100,10000238,00010,MAT000244,11963,KG,1000
100,10000239,00010,MAT000330,15093,KG,1400
100,10000240,00010,MAT000373,18642,KG,1000
100,10000241,00010,MAT000121,14006,KG,1400
100,10000242,00010,MAT000204,3730,KG,1400
100,10000243,00010,MAT000314,1701,KG,1200
100,10000244,00010,MAT000460,4841,KG,1000
100,10000245,00010,MAT000185,18288,KG,1400
100,10000246,00010,MAT000400,19879,KG,1200
100,10000247,00010,MAT000050,1456,KG,1100
100,10000248,00010,MAT000288,11670,KG,1200
100,10000249,00010,MAT000039,3649,KG,1300
100,10000250,00010,MAT000051,5213,KG,1300
100,10000251,00010,MAT000137,10981,KG,1200
100,10000252,00010,MAT000351,10829,KG,1400
100,10000253,00010,MAT000346,13590,KG,1100
100,10000254,00010,MAT000088,17973,KG,1100
100,10000255,00010,MAT000271,7782,KG,1100
100,10000256,00010,MAT000485,12292,KG,1000
100,10000257,00010,MAT000408,5974,KG,1400
100,10000258,00010,MAT000456,11250,KG,1000
100,10000259,00010,MAT000227,2751,KG,1100
100,10000260,00010,MAT000496,12784,KG,1000
100,10000261,00010,MAT000420,9215,KG,1400
100,10000262,00010,MAT000460,5552,KG,1100
100,10000263,00010,MAT000229,12906,KG,1300
100,10000264,00010,MAT000244,18671,KG,1200
100,10000265,00010,MAT000481,646,KG,1100
100,10000266,00010,MAT000098,906,KG,1400
100,10000267,00010,MAT000339,4040,KG,1000
100,10000268,00010,MAT000244,2953,KG,1300
100,10000269,00010,MAT000114,14455,KG,1400
100,10000270,00010,MAT000048,8092,KG,1200
100,10000271,00010,MAT000039,13033,KG,1200
100,10000272,00010,MAT000321,2071,KG,1100
100,10000273,00010,MAT000034,10066,KG,1300
100,10000274,00010,MAT000288,1794,KG,1400
100,10000275,00010,MAT000136,6403,KG,1100
100,10000276,00010,MAT000461,9336,KG,1100
100,10000277,00010,MAT000470,13963,KG,1400
100,10000278,00010,MAT000420,17496,KG,1100
100,10000279,00010,MAT000045,1498,KG,1000
100,10000280,00010,MAT000302,8718,KG,1200
100,10000281,00010,MAT000038,10161,KG,1000
100,10000282,00010,MAT000393,4872,KG,1200
100,10000283,00010,MAT000390,14975,KG,1200
100,10000284,00010,MAT000389,8418,KG,1100
100,10000285,00010,MAT000291,15445,KG,1400
100,10000286,00010,MAT000034,10546,KG,1300
100,10000287,00010,MAT000043,4115,KG,1400
100,10000288,00010,MAT000457,7211,KG,1000
100,10000289,00010,MAT000286,4182,KG,1400
100,10000290,00010,MAT000406,2677,KG,1100
100,10000291,00010,MAT000481,8939,KG,1000
100,10000292,00010,MAT000123,9721,KG,1100
100,10000293,00010,MAT000202,3766,KG,1300
100,10000294,00010,MAT000236,483,KG,1200
100,10000295,00010,MAT000241,19624,KG,1000
100,10000296,00010,MAT000498,6470,KG,1400
100,10000297,00010,MAT000046,3835,KG,1300
100,10000298,00010,MAT000336,16921,KG,1100
100,10000299,00010,MAT000136,1056,KG,1300
100,10000300,00010,MAT000162,18591,KG,1300
100,10000301,00010,MAT000202,15002,KG,1400
100,10000302,00010,MAT000333,15713,KG,1400
100,10000303,00010,MAT000232,6077,KG,1400
100,10000304,00010,MAT000032,10916,KG,1400
100,10000305,00010,MAT000212,8937,KG,1300
100,10000306,00010,MAT000382,19285,KG,1300
100,10000307,00010,MAT000227,18366,KG,1300
100,10000308,00010,MAT000467,5013,KG,1400
100,10000309,00010,MAT000164,12535,KG,1200
100,10000310,00010,MAT000116,12434,KG,1100
100,10000311,00010,MAT000038,744,KG,1400
100,10000312,00010,MAT000424,11069,KG,1100
100,10000313,00010,MAT000498,11699,KG,1000
100,10000314,00010,MAT000084,12671,KG,1200
100,10000315,00010,MAT000042,10823,KG,1300
100,10000316,00010,MAT000462,7424,KG,1000
100,10000317,00010,MAT000277,5419,KG,1400
100,10000318,00010,MAT000033,8025,KG,1200
100,10000319,00010,MAT000084,7205,KG,1300
100,10000320,00010,MAT000407,1576,KG,1000
100,10000321,00010,MAT000081,1514,KG,1100
100,10000322,00010,MAT000079,8250,KG,1100
100,10000323,00010,MAT000099,2193,KG,1100
100,10000324,00010,MAT000292,12710,KG,1100
100,10000325,00010,MAT000098,7354,KG,1100
100,10000326,00010,MAT000321,2822,KG,1300
100,10000327,00010,MAT000476,14485,KG,1100
100,10000328,00010,MAT000038,11661,KG,1200
100,10000329,00010,MAT000461,19526,KG,1200
100,10000330,00010,MAT000042,4370,KG,1100
100,10000331,00010,MAT000096,8576,KG,1100
100,10000332,00010,MAT000212,11677,KG,1200
100,10000333,00010,MAT000307,14762,KG,1400
100,10000334,00010,MAT000359,2244,KG,1200
100,10000335,00010,MAT000450,6893,KG,1400
100,10000336,00010,MAT000478,2205,KG,1000
100,10000337,00010,MAT000478,985,KG,1200
100,10000338,00010,MAT000185,17001,KG,1200
100,10000339,00010,MAT000116,9412,KG,1300
100,10000340,00010,MAT000292,19824,KG,1300
100,10000341,00010,MAT000450,11198,KG,1200
100,10000342,00010,MAT000392,5513,KG,1100
100,10000343,00010,MAT000496,8285,KG,1400
100,10000344,00010,MAT000314,2101,KG,1400
100,10000345,00010,MAT000437,15597,KG,1300
100,10000346,00010,MAT000049,10524,KG,1000
100,10000347,00010,MAT000394,14214,KG,1300
100,10000348,00010,MAT000480,2152,KG,1300
100,10000349,00010,MAT000456,2166,KG,1100
100,10000350,00010,MAT000459,16701,KG,1400
100,10000351,00010,MAT000048,5522,KG,1300
100,10000352,00010,MAT000203,15005,KG,1300
100,10000353,00010,MAT000185,4584,KG,1400
100,10000354,00010,MAT000204,16244,KG,1400
100,10000355,00010,MAT000286,16963,KG,1000
100,10000356,00010,MAT000321,9358,KG,1100
100,10000357,00010,MAT000493,15967,KG,1000
100,10000358,00010,MAT000388,2494,KG,1400
100,10000359,00010,MAT000046,15339,KG,1400
100,10000360,00010,MAT000457,16283,KG,1200
100,10000361,00010,MAT000165,14031,KG,1000
100,10000362,00010,MAT000298,5993,KG,1100
100,10000363,00010,MAT000050,17556,KG,1200
100,10000364,00010,MAT000472,3036,KG,1200
100,10000365,00010,MAT000384,12573,KG,1400
100,10000366,00010,MAT000408,12698,KG,1200
100,10000367,00010,MAT000410,14296,KG,1200
100,10000368,00010,MAT000236,12416,KG,1000
100,10000369,00010,MAT000373,12809,KG,1300
100,10000370,00010,MAT000260,7775,KG,1000
100,10000371,00010,MAT000489,16242,KG,1000
100,10000372,00010,MAT000240,12605,KG,1300
100,10000373,00010,MAT000241,7968,KG,1000
100,10000374,00010,MAT000307,8347,KG,1300
100,10000375,00010,MAT000438,8811,KG,1000
100,10000376,00010,MAT000292,8211,KG,1200
100,10000377,00010,MAT000147,2679,KG,1300
100,10000378,00010,MAT000048,17924,KG,1100
100,10000379,00010,MAT000445,19306,KG,1000
100,10000380,00010,MAT000051,15734,KG,1000
100,10000381,00010,MAT000382,8110,KG,1400
100,10000382,00010,MAT000351,12847,KG,1100
100,10000383,00010,MAT000196,18668,KG,1200
100,10000384,00010,MAT000123,12838,KG,1300
100,10000385,00010,MAT000244,8103,KG,1300
100,10000386,00010,MAT000041,14880,KG,1000
100,10000387,00010,MAT000051,12236,KG,1100
100,10000388,00010,MAT000039,10014,KG,1100
100,10000389,00010,MAT000137,16427,KG,1200
100,10000390,00010,MAT000208,17381,KG,1100
100,10000391,00010,MAT000114,9265,KG,1000
100,10000392,00010,MAT000165,952,KG,1200
100,10000393,00010,MAT000458,18802,KG,1100
100,10000394,00010,MAT000389,1069,KG,1200
100,10000395,00010,MAT000373,11771,KG,1400
100,10000396,00010,MAT000269,4192,KG,1300
100,10000397,00010,MAT000360,2960,KG,1400
100,10000398,00010,MAT000115,3737,KG,1300
100,10000399,00010,MAT000331,4703,KG,1300
100,10000400,00010,MAT000050,19134,KG,1000
100,10000401,00010,MAT000441,6442,KG,1200
100,10000402,00010,MAT000232,12479,KG,1000
100,10000403,00010,MAT000241,14725,KG,1100
100,10000404,00010,MAT000366,13090,KG,1400
100,10000405,00010,MAT000407,9151,KG,1300
100,10000406,00010,MAT000049,11244,KG,1100
100,10000407,00010,MAT000209,14880,KG,1200
100,10000408,00010,MAT000373,19407,KG,1000
100,10000409,00010,MAT000436,3650,KG,1400
100,10000410,00010,MAT000236,6291,KG,1400
100,10000411,00010,MAT000232,5852,KG,1200
100,10000412,00010,MAT000232,4806,KG,1000
100,10000413,00010,MAT000387,11315,KG,1400
100,10000414,00010,MAT000227,16323,KG,1000
100,10000415,00010,MAT000050,13416,KG,1000
100,10000416,00010,MAT000291,10313,KG,1200
100,10000417,00010,MAT000493,4334,KG,1400
100,10000418,00010,MAT000164,5721,KG,1100
100,10000419,00010,MAT000084,10789,KG,1100
100,10000420,00010,MAT000110,15649,KG,1400
100,10000421,00010,MAT000351,8206,KG,1400
100,10000422,00010,MAT000115,7897,KG,1000
100,10000423,00010,MAT000409,9133,KG,1300
100,10000424,00010,MAT000165,1164,KG,1300
100,10000425,00010,MAT000049,5090,KG,1100
100,10000426,00010,MAT000042,17359,KG,1000
100,10000427,00010,MAT000480,11315,KG,1100
100,10000428,00010,MAT000459,1153,KG,1000
100,10000429,00010,MAT000081,4188,KG,1300
100,10000430,00010,MAT000149,11924,KG,1200
100,10000431,00010,MAT000473,4167,KG,1300
100,10000432,00010,MAT000284,18085,KG,1200
100,10000433,00010,MAT000473,692,KG,1000
100,10000434,00010,MAT000321,18315,KG,1100
100,10000435,00010,MAT000445,18209,KG,1100
100,10000436,00010,MAT000204,4904,KG,1300
100,10000437,00010,MAT000257,17083,KG,1000
100,10000438,00010,MAT000046,6066,KG,1000
100,10000439,00010,MAT000094,2349,KG,1100
100,10000440,00010,MAT000370,7033,KG,1100
100,10000441,00010,MAT000393,7997,KG,1000
100,10000442,00010,MAT000359,11197,KG,1400
100,10000443,00010,MAT000041,12169,KG,1100
100,10000444,00010,MAT000234,9161,KG,1000
100,10000445,00010,MAT000306,7589,KG,1100
100,10000446,00010,MAT000123,19399,KG,1300
100,10000447,00010,MAT000123,16272,KG,1100
100,10000448,00010,MAT000234,17985,KG,1000
100,10000449,00010,MAT000406,4165,KG,1400
100,10000450,00010,MAT000116,1171,KG,1400
100,10000451,00010,MAT000036,8508,KG,1200
100,10000452,00010,MAT000394,8948,KG,1200
100,10000453,00010,MAT000229,16917,KG,1400
100,10000454,00010,MAT000394,10565,KG,1100
100,10000455,00010,MAT000408,8626,KG,1100
100,10000456,00010,MAT000306,18028,KG,1000
100,10000457,00010,MAT000098,18762,KG,1300
100,10000458,00010,MAT000203,6926,KG,1200
100,10000459,00010,MAT000032,10240,KG,1300
100,10000460,00010,MAT000408,5014,KG,1300
100,10000461,00010,MAT000306,4760,KG,1400
100,10000462,00010,MAT000047,6338,KG,1400
100,10000463,00010,MAT000407,9284,KG,1200
100,10000464,00010,MAT000314,4353,KG,1100
100,10000465,00010,MAT000382,1375,KG,1000
100,10000466,00010,MAT000492,10313,KG,1300
100,10000467,00010,MAT000204,18026,KG,1400
100,10000468,00010,MAT000196,9337,KG,1400
100,10000469,00010,MAT000407,14775,KG,1300
100,10000470,00010,MAT000053,13980,KG,1000
100,10000471,00010,MAT000441,19620,KG,1400
100,10000472,00010,MAT000370,842,KG,1000
100,10000473,00010,MAT000348,10710,KG,1100
100,10000474,00010,MAT000094,3732,KG,1200
100,10000475,00010,MAT000051,6437,KG,1200
100,10000476,00010,MAT000460,10884,KG,1000
100,10000477,00010,MAT000480,17810,KG,1100
100,10000478,00010,MAT000227,7322,KG,1400
100,10000479,00010,MAT000044,12329,KG,1300
100,10000480,00010,MAT000405,16450,KG,1400
100,10000481,00010,MAT000136,15070,KG,1100
100,10000482,00010,MAT000165,3686,KG,1000
100,10000483,00010,MAT000128,13269,KG,1300
100,10000484,00010,MAT000157,14161,KG,1300
100,10000485,00010,MAT000128,5496,KG,1200
100,10000486,00010,MAT000157,12807,KG,1300
100,10000487,00010,MAT000042,3634,KG,1300
100,10000488,00010,MAT000384,3527,KG,1000
100,10000489,00010,MAT000232,6397,KG,1400
100,10000490,00010,MAT000085,5203,KG,1200
100,10000491,00010,MAT000333,13423,KG,1400
100,10000492,00010,MAT000346,12902,KG,1400
100,10000493,00010,MAT000480,11102,KG,1100
100,10000494,00010,MAT000407,15697,KG,1200
100,10000495,00010,MAT000406,7420,KG,1300
100,10000496,00010,MAT000458,19769,KG,1000
100,10000497,00010,MAT000257,17501,KG,1300
100,10000498,00010,MAT000437,11560,KG,1100
100,10000499,00010,MAT000232,13177,KG,1200
100,10000500,00010,MAT000461,11762,KG,1000
100,10000501,00010,MAT000227,656,KG,1000
100,10000502,00010,MAT000370,1034,KG,1300
100,10000503,00010,MAT000442,16095,KG,1100
100,10000504,00010,MAT000307,16602,KG,1000
100,10000505,00010,MAT000044,17545,KG,1200
100,10000506,00010,MAT000380,10474,KG,1200
100,10000507,00010,MAT000232,215,KG,1100
100,10000508,00010,MAT000307,2116,KG,1100
100,10000509,00010,MAT000045,3701,KG,1000
100,10000510,00010,MAT000348,3595,KG,1300
100,10000511,00010,MAT000302,7059,KG,1100
100,10000512,00010,MAT000460,3684,KG,1100
100,10000513,00010,MAT000489,9069,KG,1100
100,10000514,00010,MAT000450,17143,KG,1200
100,10000515,00010,MAT000473,11881,KG,1000
100,10000516,00010,MAT000208,2786,KG,1400
100,10000517,00010,MAT000476,12810,KG,1000
100,10000518,00010,MAT000295,1455,KG,1400
100,10000519,00010,MAT000328,14644,KG,1200
100,10000520,00010,MAT000286,6482,KG,1300
100,10000521,00010,MAT000395,7809,KG,1400
100,10000522,00010,MAT000202,2624,KG,1100
100,10000523,00010,MAT000110,8367,KG,1100
100,10000524,00010,MAT000445,1485,KG,1100
100,10000525,00010,MAT000116,4699,KG,1100
100,10000526,00010,MAT000046,15714,KG,1400
100,10000527,00010,MAT000296,7645,KG,1200
100,10000528,00010,MAT000400,12660,KG,1200
100,10000529,00010,MAT000498,13669,KG,1300
100,10000530,00010,MAT000098,4598,KG,1200
100,10000531,00010,MAT000046,14051,KG,1400
100,10000532,00010,MAT000182,12677,KG,1400
100,10000533,00010,MAT000456,6807,KG,1400
100,10000534,00010,MAT000036,2633,KG,1200
100,10000535,00010,MAT000049,14333,KG,1400
100,10000536,00010,MAT000032,7863,KG,1000
100,10000537,00010,MAT000442,12562,KG,1000
100,10000538,00010,MAT000116,16054,KG,1300
100,10000539,00010,MAT000398,15842,KG,1400
100,10000540,00010,MAT000328,4381,KG,1400
100,10000541,00010,MAT000048,3547,KG,1300
100,10000542,00010,MAT000493,19861,KG,1000
100,10000543,00010,MAT000094,11745,KG,1300
100,10000544,00010,MAT000392,13479,KG,1300
100,10000545,00010,MAT000081,6140,KG,1100
100,10000546,00010,MAT000437,14280,KG,1400
100,10000547,00010,MAT000445,9100,KG,1400
100,10000548,00010,MAT000286,9782,KG,1300
100,10000549,00010,MAT000348,19500,KG,1100
100,10000550,00010,MAT000370,6610,KG,1000
100,10000551,00010,MAT000351,18807,KG,1400
100,10000552,00010,MAT000209,6719,KG,1300
100,10000553,00010,MAT000307,6165,KG,1200
100,10000554,00010,MAT000494,3069,KG,1000
100,10000555,00010,MAT000240,14955,KG,1000
100,10000556,00010,MAT000496,7649,KG,1100
100,10000557,00010,MAT000438,11843,KG,1300
100,10000558,00010,MAT000359,7291,KG,1200
100,10000559,00010,MAT000461,658,KG,1400
100,10000560,00010,MAT000128,16961,KG,1300
100,10000561,00010,MAT000204,6822,KG,1100
100,10000562,00010,MAT000448,14387,KG,1200
100,10000563,00010,MAT000445,17113,KG,1400
100,10000564,00010,MAT000348,10752,KG,1300
100,10000565,00010,MAT000094,233,KG,1300
100,10000566,00010,MAT000314,16602,KG,1300
100,10000567,00010,MAT000105,5198,KG,1200
100,10000568,00010,MAT000241,7584,KG,1300
100,10000569,00010,MAT000370,3786,KG,1000
100,10000570,00010,MAT000409,2253,KG,1100
100,10000571,00010,MAT000186,8056,KG,1000
100,10000572,00010,MAT000196,18384,KG,1300
100,10000573,00010,MAT000085,12017,KG,1200
100,10000574,00010,MAT000437,7533,KG,1400
100,10000575,00010,MAT000307,4764,KG,1200
100,10000576,00010,MAT000489,4845,KG,1100
100,10000577,00010,MAT000157,4433,KG,1000
100,10000578,00010,MAT000493,12080,KG,1000
100,10000579,00010,MAT000034,5264,KG,1200
100,10000580,00010,MAT000286,14696,KG,1200
100,10000581,00010,MAT000292,8016,KG,1100
