MANDT,DTNUM,DTLINE,DELKZ,PLESSION,MESSION,MEINS
100,000000000019,0001,,20221201,21.937,EA
100,000000000019,0002,,20230822,64.588,EA
100,000000000019,0003,,20220630,44.968,EA
100,000000000019,0004,,20221220,33.103,EA
100,000000000019,0005,,20230217,40.168,EA
100,000000000020,0001,,20221030,43.169,EA
100,000000000020,0002,,20220807,22.189,EA
100,000000000020,0003,,20221029,68.917,EA
100,000000000020,0004,,20231015,16.076,EA
100,000000000020,0005,,20230521,76.472,EA
100,000000000021,0001,,20241126,59.49,EA
100,000000000021,0002,,20240331,15.708,EA
100,000000000021,0003,,20230312,24.11,EA
100,000000000021,0004,,20240504,93.19,EA
100,000000000021,0005,,20240308,43.893,EA
100,000000000022,0001,,20240709,21.475,EA
100,000000000022,0002,,20221231,85.125,EA
100,000000000022,0003,,20240428,46.82,EA
100,000000000022,0004,,20230101,66.275,EA
100,000000000022,0005,,20230219,25.166,EA
100,000000000023,0001,,20220220,49.932,EA
100,000000000023,0002,,20231028,84.693,EA
100,000000000023,0003,,20220728,2.613,EA
100,000000000023,0004,,20241218,1.92,EA
100,000000000023,0005,,20230807,77.293,EA
100,000000000024,0001,,20241215,63.33,EA
100,000000000024,0002,,20230928,47.424,EA
100,000000000024,0003,,20220527,23.775,EA
100,000000000024,0004,,20240216,3.876,EA
100,000000000024,0005,,20220630,54.88,EA
100,000000000025,0001,,20240517,50.118,EA
100,000000000025,0002,,20240317,53.002,EA
100,000000000025,0003,,20220528,87.47,EA
100,000000000025,0004,,20241229,78.33,EA
100,000000000025,0005,,20220124,84.51,EA
100,000000000026,0001,,20220918,8.67,EA
100,000000000026,0002,,20230730,73.715,EA
100,000000000026,0003,,20220129,30.41,EA
100,000000000026,0004,,20230624,3.727,EA
100,000000000026,0005,,20230201,1.181,EA
100,000000000027,0001,,20241011,57.967,EA
100,000000000027,0002,,20220804,14.953,EA
100,000000000027,0003,,20231010,3.344,EA
100,000000000027,0004,,20240416,82.119,EA
100,000000000027,0005,,20240909,38.122,EA
100,000000000028,0001,,20230323,90.686,EA
100,000000000028,0002,,20221211,70.773,EA
100,000000000028,0003,,20241121,4.43,EA
100,000000000028,0004,,20231213,82.155,EA
100,000000000028,0005,,20241016,56.649,EA
100,000000000029,0001,,20231122,19.876,EA
100,000000000029,0002,,20231206,75.606,EA
100,000000000029,0003,,20241225,12.417,EA
100,000000000029,0004,,20230327,47.994,EA
100,000000000029,0005,,20230521,79.741,EA
100,000000000030,0001,,20240206,65.881,EA
100,000000000030,0002,,20230622,8.145,EA
100,000000000030,0003,,20220304,96.753,EA
100,000000000030,0004,,20240223,90.181,EA
100,000000000030,0005,,20220514,3.383,EA
100,000000000031,0001,,20230826,74.31,EA
100,000000000031,0002,,20230905,48.514,EA
100,000000000031,0003,,20240716,39.339,EA
100,000000000031,0004,,20220715,76.736,EA
100,000000000031,0005,,20230903,71.686,EA
100,000000000032,0001,,20220113,60.094,EA
100,000000000032,0002,,20231115,43.274,EA
100,000000000032,0003,,20240914,38.643,EA
100,000000000032,0004,,20241113,66.804,EA
100,000000000032,0005,,20240713,72.714,EA
100,000000000033,0001,,20230927,47.641,EA
100,000000000033,0002,,20220526,74.813,EA
100,000000000033,0003,,20230714,46.602,EA
100,000000000033,0004,,20231211,87.408,EA
100,000000000033,0005,,20230108,73.093,EA
100,000000000034,0001,,20230526,36.322,EA
100,000000000034,0002,,20241020,24.948,EA
100,000000000034,0003,,20240314,19.26,EA
100,000000000034,0004,,20230508,34.62,EA
100,000000000034,0005,,20220220,73.269,EA
100,000000000035,0001,,20220207,14.611,EA
100,000000000035,0002,,20241026,54.111,EA
100,000000000035,0003,,20240921,25.457,EA
100,000000000035,0004,,20241014,34.848,EA
100,000000000035,0005,,20220722,76.305,EA
100,000000000036,0001,,20230808,61.794,EA
100,000000000036,0002,,20241116,84.968,EA
100,000000000036,0003,,20230517,15.991,EA
100,000000000036,0004,,20240410,89.822,EA
100,000000000036,0005,,20240608,50.945,EA
100,000000000037,0001,,20231001,58.294,EA
100,000000000037,0002,,20231204,53.369,EA
100,000000000037,0003,,20220403,50.615,EA
100,000000000037,0004,,20231217,9.532,EA
100,000000000037,0005,,20240727,97.855,EA
100,000000000038,0001,,20230102,6.964,EA
100,000000000038,0002,,20220529,4.483,EA
100,000000000038,0003,,20220912,54.197,EA
100,000000000038,0004,,20240529,26.332,EA
100,000000000038,0005,,20240627,98.925,EA
100,000000000039,0001,,20230320,98.021,EA
100,000000000039,0002,,20220729,20.334,EA
100,000000000039,0003,,20221229,59.979,EA
100,000000000039,0004,,20220210,89.84,EA
100,000000000039,0005,,20230110,37.096,EA
100,000000000040,0001,,20240901,46.654,EA
100,000000000040,0002,,20230119,26.725,EA
100,000000000040,0003,,20220427,41.758,EA
100,000000000040,0004,,20240201,94.392,EA
100,000000000040,0005,,20220115,82.639,EA
100,000000000041,0001,,20241101,43.639,EA
100,000000000041,0002,,20220310,85.09,EA
100,000000000041,0003,,20240520,13.878,EA
100,000000000041,0004,,20220824,48.94,EA
100,000000000041,0005,,20230909,70.338,EA
100,000000000042,0001,,20240423,34.875,EA
100,000000000042,0002,,20220108,33.922,EA
100,000000000042,0003,,20240623,37.995,EA
100,000000000042,0004,,20220524,66.224,EA
100,000000000042,0005,,20231002,17.255,EA
100,000000000043,0001,,20230206,33.897,EA
100,000000000043,0002,,20230110,70.414,EA
100,000000000043,0003,,20231201,90.556,EA
100,000000000043,0004,,20220201,22.079,EA
100,000000000043,0005,,20220402,60.384,EA
100,000000000044,0001,,20231112,36.411,EA
100,000000000044,0002,,20240602,53.353,EA
100,000000000044,0003,,20220726,15.739,EA
100,000000000044,0004,,20240404,14.862,EA
100,000000000044,0005,,20240619,53.385,EA
100,000000000045,0001,,20230601,81.698,EA
100,000000000045,0002,,20240729,65.401,EA
100,000000000045,0003,,20220103,1.055,EA
100,000000000045,0004,,20230719,86.853,EA
100,000000000045,0005,,20220514,46.697,EA
100,000000000046,0001,,20231204,75.044,EA
100,000000000046,0002,,20230307,30.788,EA
100,000000000046,0003,,20240113,77.505,EA
100,000000000046,0004,,20240820,74.873,EA
100,000000000046,0005,,20240109,38.177,EA
100,000000000047,0001,,20221124,82.201,EA
100,000000000047,0002,,20241018,27.457,EA
100,000000000047,0003,,20240417,9.98,EA
100,000000000047,0004,,20221128,6.508,EA
100,000000000047,0005,,20240404,26.577,EA
100,000000000048,0001,,20220310,2.807,EA
100,000000000048,0002,,20221018,44.161,EA
100,000000000048,0003,,20220621,15.818,EA
100,000000000048,0004,,20241025,98.029,EA
100,000000000048,0005,,20240225,12.669,EA
100,000000000049,0001,,20220920,42.293,EA
100,000000000049,0002,,20230801,19.359,EA
100,000000000049,0003,,20220702,77.849,EA
100,000000000049,0004,,20230321,98.588,EA
100,000000000049,0005,,20220918,91.015,EA
100,000000000050,0001,,20241123,20.456,EA
100,000000000050,0002,,20241027,86.378,EA
100,000000000050,0003,,20220115,7.936,EA
100,000000000050,0004,,20240221,28.09,EA
100,000000000050,0005,,20220416,75.21,EA
100,000000000051,0001,,20230814,72.853,EA
100,000000000051,0002,,20220423,29.995,EA
100,000000000051,0003,,20231006,25.774,EA
100,000000000051,0004,,20220709,78.999,EA
100,000000000051,0005,,20220217,67.922,EA
100,000000000052,0001,,20240303,20.618,EA
100,000000000052,0002,,20230114,50.533,EA
100,000000000052,0003,,20220824,73.07,EA
100,000000000052,0004,,20240413,33.99,EA
100,000000000052,0005,,20240814,1.492,EA
100,000000000053,0001,,20221015,88.535,EA
100,000000000053,0002,,20230217,21.42,EA
100,000000000053,0003,,20220413,20.964,EA
100,000000000053,0004,,20220923,12.783,EA
100,000000000053,0005,,20241112,85.466,EA
100,000000000054,0001,,20230401,86.975,EA
100,000000000054,0002,,20221104,84.997,EA
100,000000000054,0003,,20231031,29.806,EA
100,000000000054,0004,,20230331,50.608,EA
100,000000000054,0005,,20240821,26.197,EA
100,000000000055,0001,,20241125,60.939,EA
100,000000000055,0002,,20220823,60.551,EA
100,000000000055,0003,,20230403,45.003,EA
100,000000000055,0004,,20230804,85.569,EA
100,000000000055,0005,,20230119,74.779,EA
100,000000000056,0001,,20240401,3.203,EA
100,000000000056,0002,,20220505,28.386,EA
100,000000000056,0003,,20220502,72.439,EA
100,000000000056,0004,,20230219,82.148,EA
100,000000000056,0005,,20240131,30.263,EA
100,000000000057,0001,,20231230,3.347,EA
100,000000000057,0002,,20240301,62.803,EA
100,000000000057,0003,,20220726,96.024,EA
100,000000000057,0004,,20240406,7.234,EA
100,000000000057,0005,,20220921,71.595,EA
100,000000000058,0001,,20220419,97.304,EA
100,000000000058,0002,,20231010,91.336,EA
100,000000000058,0003,,20220609,59.257,EA
100,000000000058,0004,,20231206,80.97,EA
100,000000000058,0005,,20241212,10.37,EA
100,000000000059,0001,,20240720,39.223,EA
100,000000000059,0002,,20240424,89.105,EA
100,000000000059,0003,,20220116,97.948,EA
100,000000000059,0004,,20230407,63.426,EA
100,000000000059,0005,,20230225,10.967,EA
100,000000000060,0001,,20240411,93.395,EA
100,000000000060,0002,,20241028,6.717,EA
100,000000000060,0003,,20220712,36.981,EA
100,000000000060,0004,,20220118,69.455,EA
100,000000000060,0005,,20220403,59.514,EA
100,000000000061,0001,,20221216,74.142,EA
100,000000000061,0002,,20241021,58.375,EA
100,000000000061,0003,,20240223,21.878,EA
100,000000000061,0004,,20220218,47.984,EA
100,000000000061,0005,,20220326,24.677,EA
100,000000000062,0001,,20241005,14.89,EA
100,000000000062,0002,,20221001,34.672,EA
100,000000000062,0003,,20241110,59.81,EA
100,000000000062,0004,,20240721,15.585,EA
100,000000000062,0005,,20230913,37.887,EA
100,000000000063,0001,,20230110,24.567,EA
100,000000000063,0002,,20240915,52.558,EA
100,000000000063,0003,,20240517,94.669,EA
100,000000000063,0004,,20240318,51.014,EA
100,000000000063,0005,,20230928,21.579,EA
100,000000000064,0001,,20240221,13.972,EA
100,000000000064,0002,,20240608,45.903,EA
100,000000000064,0003,,20240327,89.63,EA
100,000000000064,0004,,20220222,1.952,EA
100,000000000064,0005,,20230829,3.378,EA
100,000000000065,0001,,20230419,92.377,EA
100,000000000065,0002,,20220613,73.77,EA
100,000000000065,0003,,20220703,85.879,EA
100,000000000065,0004,,20240708,64.33,EA
100,000000000065,0005,,20220623,49.794,EA
100,000000000066,0001,,20230530,41.755,EA
100,000000000066,0002,,20241201,13.606,EA
100,000000000066,0003,,20231020,22.441,EA
100,000000000066,0004,,20230821,78.03,EA
100,000000000066,0005,,20241113,36.197,EA
100,000000000067,0001,,20220518,59.289,EA
100,000000000067,0002,,20231114,30.096,EA
100,000000000067,0003,,20240914,84.972,EA
100,000000000067,0004,,20230815,16.124,EA
100,000000000067,0005,,20231107,21.112,EA
100,000000000068,0001,,20230512,30.483,EA
100,000000000068,0002,,20220127,43.337,EA
100,000000000068,0003,,20241024,18.554,EA
100,000000000068,0004,,20220107,22.434,EA
100,000000000068,0005,,20240615,11.628,EA
100,000000000069,0001,,20230220,46.542,EA
100,000000000069,0002,,20240301,80.54,EA
100,000000000069,0003,,20220908,44.473,EA
100,000000000069,0004,,20230221,41.019,EA
100,000000000069,0005,,20220228,34.13,EA
100,000000000070,0001,,20220320,76.873,EA
100,000000000070,0002,,20220709,52.024,EA
100,000000000070,0003,,20240222,95.871,EA
100,000000000070,0004,,20240129,95.935,EA
100,000000000070,0005,,20240610,39.891,EA
100,000000000071,0001,,20221226,7.706,EA
100,000000000071,0002,,20220909,33.246,EA
100,000000000071,0003,,20240118,15.995,EA
100,000000000071,0004,,20221102,97.948,EA
100,000000000071,0005,,20241201,78.151,EA
100,000000000072,0001,,20220202,79.922,EA
100,000000000072,0002,,20231001,65.407,EA
100,000000000072,0003,,20221228,5.623,EA
100,000000000072,0004,,20230628,69.631,EA
100,000000000072,0005,,20220514,82.683,EA
100,000000000073,0001,,20230318,92.114,EA
100,000000000073,0002,,20240706,47.868,EA
100,000000000073,0003,,20230227,61.905,EA
100,000000000073,0004,,20240702,85.734,EA
100,000000000073,0005,,20221104,20.088,EA
100,000000000074,0001,,20220406,28.979,EA
100,000000000074,0002,,20220408,37.223,EA
100,000000000074,0003,,20240519,72.491,EA
100,000000000074,0004,,20240807,29.091,EA
100,000000000074,0005,,20230621,75.1,EA
100,000000000075,0001,,20220927,71.921,EA
100,000000000075,0002,,20241215,2.013,EA
100,000000000075,0003,,20240118,37.053,EA
100,000000000075,0004,,20220723,99.755,EA
100,000000000075,0005,,20220107,85.367,EA
100,000000000076,0001,,20230407,65.489,EA
100,000000000076,0002,,20240609,97.687,EA
100,000000000076,0003,,20220826,78.901,EA
100,000000000076,0004,,20230724,53.286,EA
100,000000000076,0005,,20240904,59.263,EA
100,000000000077,0001,,20230606,52.433,EA
100,000000000077,0002,,20230408,11.857,EA
100,000000000077,0003,,20240612,36.134,EA
100,000000000077,0004,,20231222,69.283,EA
100,000000000077,0005,,20220628,7.028,EA
100,000000000078,0001,,20220321,44.357,EA
100,000000000078,0002,,20230424,20.092,EA
100,000000000078,0003,,20231130,99.851,EA
100,000000000078,0004,,20230101,43.38,EA
100,000000000078,0005,,20230606,67.392,EA
100,000000000079,0001,,20221231,12.38,EA
100,000000000079,0002,,20240129,99.209,EA
100,000000000079,0003,,20230313,60.795,EA
100,000000000079,0004,,20230516,79.316,EA
100,000000000079,0005,,20220825,42.197,EA
100,000000000080,0001,,20221129,1.532,EA
100,000000000080,0002,,20220309,2.764,EA
100,000000000080,0003,,20230329,95.632,EA
100,000000000080,0004,,20230729,90.198,EA
100,000000000080,0005,,20240316,90.316,EA
100,000000000081,0001,,20221118,43.017,EA
100,000000000081,0002,,20231019,49.753,EA
100,000000000081,0003,,20230227,29.506,EA
100,000000000081,0004,,20221204,28.62,EA
100,000000000081,0005,,20240124,77.571,EA
100,000000000082,0001,,20230403,76.507,EA
100,000000000082,0002,,20240405,36.9,EA
100,000000000082,0003,,20240410,75.653,EA
100,000000000082,0004,,20240420,51.708,EA
100,000000000082,0005,,20230324,9.089,EA
100,000000000083,0001,,20240125,27.62,EA
100,000000000083,0002,,20240807,24.78,EA
100,000000000083,0003,,20220723,47.609,EA
100,000000000083,0004,,20240613,44.602,EA
100,000000000083,0005,,20240727,48.53,EA
100,000000000084,0001,,20240610,87.567,EA
100,000000000084,0002,,20220814,84.55,EA
100,000000000084,0003,,20241111,36.974,EA
100,000000000084,0004,,20240502,46.629,EA
100,000000000084,0005,,20221007,43.837,EA
100,000000000085,0001,,20220724,56.999,EA
100,000000000085,0002,,20240923,97.554,EA
100,000000000085,0003,,20230216,68.897,EA
100,000000000085,0004,,20241214,6.451,EA
100,000000000085,0005,,20230904,20.665,EA
100,000000000086,0001,,20240718,17.175,EA
100,000000000086,0002,,20230205,40.014,EA
100,000000000086,0003,,20240120,81.482,EA
100,000000000086,0004,,20220420,72.301,EA
100,000000000086,0005,,20221122,16.349,EA
100,000000000087,0001,,20240413,45.029,EA
100,000000000087,0002,,20240411,63.701,EA
100,000000000087,0003,,20230831,28.251,EA
100,000000000087,0004,,20230303,39.095,EA
100,000000000087,0005,,20230613,91.887,EA
100,000000000088,0001,,20240609,14.925,EA
100,000000000088,0002,,20220518,25.05,EA
100,000000000088,0003,,20220521,84.731,EA
100,000000000088,0004,,20230113,5.196,EA
100,000000000088,0005,,20220119,9.844,EA
100,000000000089,0001,,20220101,93.338,EA
100,000000000089,0002,,20230424,61.958,EA
100,000000000089,0003,,20220811,60.555,EA
100,000000000089,0004,,20231122,77.489,EA
100,000000000089,0005,,20240625,89.252,EA
100,000000000090,0001,,20240516,45.691,EA
100,000000000090,0002,,20230905,1.575,EA
100,000000000090,0003,,20220201,58.827,EA
100,000000000090,0004,,20240504,55.859,EA
100,000000000090,0005,,20220304,1.305,EA
100,000000000091,0001,,20220804,4.715,EA
100,000000000091,0002,,20240903,3.636,EA
100,000000000091,0003,,20240607,91.982,EA
100,000000000091,0004,,20221007,54.562,EA
100,000000000091,0005,,20220427,22.648,EA
100,000000000092,0001,,20221226,60.878,EA
100,000000000092,0002,,20230301,25.538,EA
100,000000000092,0003,,20230207,40.397,EA
100,000000000092,0004,,20231123,61.645,EA
100,000000000092,0005,,20240124,80.374,EA
100,000000000093,0001,,20240531,37.627,EA
100,000000000093,0002,,20220830,34.764,EA
100,000000000093,0003,,20220917,70.641,EA
100,000000000093,0004,,20220426,79.512,EA
100,000000000093,0005,,20240115,13.083,EA
100,000000000094,0001,,20240212,40.932,EA
100,000000000094,0002,,20231022,25.372,EA
100,000000000094,0003,,20230214,15.136,EA
100,000000000094,0004,,20240224,65.578,EA
100,000000000094,0005,,20240331,57.581,EA
100,000000000095,0001,,20220831,82.284,EA
100,000000000095,0002,,20231208,20.758,EA
100,000000000095,0003,,20241216,18.012,EA
100,000000000095,0004,,20240318,32.659,EA
100,000000000095,0005,,20220913,82.991,EA
100,000000000096,0001,,20220922,1.194,EA
100,000000000096,0002,,20230711,65.175,EA
100,000000000096,0003,,20240324,10.678,EA
100,000000000096,0004,,20230401,17.331,EA
100,000000000096,0005,,20220902,72.946,EA
100,000000000097,0001,,20220119,25.819,EA
100,000000000097,0002,,20231231,58.346,EA
100,000000000097,0003,,20231023,55.99,EA
100,000000000097,0004,,20220410,9.499,EA
100,000000000097,0005,,20230429,54.644,EA
100,000000000098,0001,,20221029,72.989,EA
100,000000000098,0002,,20220227,87.03,EA
100,000000000098,0003,,20240713,8.093,EA
100,000000000098,0004,,20241007,71.416,EA
100,000000000098,0005,,20230215,28.935,EA
100,000000000099,0001,,20220903,25.962,EA
100,000000000099,0002,,20230614,69.527,EA
100,000000000099,0003,,20230527,50.359,EA
100,000000000099,0004,,20220203,63.645,EA
100,000000000099,0005,,20220815,44.973,EA
100,000000000100,0001,,20240307,1.066,EA
100,000000000100,0002,,20240709,86.732,EA
100,000000000100,0003,,20220701,43.636,EA
100,000000000100,0004,,20220725,55.918,EA
100,000000000100,0005,,20240224,40.043,EA
100,000000000101,0001,,20230514,42.567,EA
100,000000000101,0002,,20240313,97.967,EA
100,000000000101,0003,,20230504,1.44,EA
100,000000000101,0004,,20240412,21.755,EA
100,000000000101,0005,,20220412,39.83,EA
100,000000000102,0001,,20230714,34.298,EA
100,000000000102,0002,,20220118,17.992,EA
100,000000000102,0003,,20230504,99.691,EA
100,000000000102,0004,,20240525,66.041,EA
100,000000000102,0005,,20240704,13.236,EA
100,000000000103,0001,,20220327,63.687,EA
100,000000000103,0002,,20220912,36.802,EA
100,000000000103,0003,,20220220,31.692,EA
100,000000000103,0004,,20240613,71.207,EA
100,000000000103,0005,,20241209,70.896,EA
100,000000000104,0001,,20241026,73.014,EA
100,000000000104,0002,,20240521,76.141,EA
100,000000000104,0003,,20240722,85.75,EA
100,000000000104,0004,,20231213,13.133,EA
100,000000000104,0005,,20221230,46.51,EA
100,000000000105,0001,,20221106,45.386,EA
100,000000000105,0002,,20230822,16.75,EA
100,000000000105,0003,,20220213,28.354,EA
100,000000000105,0004,,20220905,45.532,EA
100,000000000105,0005,,20221214,91.877,EA
100,000000000106,0001,,20241225,21.955,EA
100,000000000106,0002,,20220314,36.541,EA
100,000000000106,0003,,20230418,97.389,EA
100,000000000106,0004,,20230824,17.396,EA
100,000000000106,0005,,20220928,92.024,EA
100,000000000107,0001,,20220327,37.487,EA
100,000000000107,0002,,20240719,74.201,EA
100,000000000107,0003,,20240424,54.114,EA
100,000000000107,0004,,20220827,42.61,EA
100,000000000107,0005,,20220302,21.029,EA
100,000000000108,0001,,20230326,88.437,EA
100,000000000108,0002,,20230805,10.359,EA
100,000000000108,0003,,20230405,75.901,EA
100,000000000108,0004,,20240307,9.947,EA
100,000000000108,0005,,20231124,21.248,EA
100,000000000109,0001,,20220628,10.34,EA
100,000000000109,0002,,20230826,95.604,EA
100,000000000109,0003,,20220322,41.288,EA
100,000000000109,0004,,20220122,73.919,EA
100,000000000109,0005,,20230108,76.913,EA
100,000000000110,0001,,20221020,14.79,EA
100,000000000110,0002,,20231222,11.147,EA
100,000000000110,0003,,20240117,17.959,EA
100,000000000110,0004,,20220109,23.974,EA
100,000000000110,0005,,20230208,67.232,EA
100,000000000111,0001,,20231126,83.856,EA
100,000000000111,0002,,20220320,77.958,EA
100,000000000111,0003,,20221017,52.502,EA
100,000000000111,0004,,20230116,52.856,EA
100,000000000111,0005,,20220614,51.674,EA
100,000000000112,0001,,20231208,50.274,EA
100,000000000112,0002,,20240702,71.957,EA
100,000000000112,0003,,20220121,48.824,EA
100,000000000112,0004,,20240530,77.829,EA
100,000000000112,0005,,20220922,30.061,EA
100,000000000113,0001,,20220211,8.296,EA
100,000000000113,0002,,20220908,24.956,EA
100,000000000113,0003,,20240301,73.755,EA
100,000000000113,0004,,20220814,57.39,EA
100,000000000113,0005,,20220930,72.63,EA
100,000000000114,0001,,20230807,57.14,EA
100,000000000114,0002,,20220520,25.192,EA
100,000000000114,0003,,20221023,55.768,EA
100,000000000114,0004,,20220626,27.135,EA
100,000000000114,0005,,20220625,27.978,EA
100,000000000115,0001,,20220413,46.697,EA
100,000000000115,0002,,20240403,15.226,EA
100,000000000115,0003,,20230131,65.284,EA
100,000000000115,0004,,20240805,45.14,EA
100,000000000115,0005,,20241008,91.787,EA
100,000000000116,0001,,20231125,68.471,EA
100,000000000116,0002,,20240917,62.234,EA
100,000000000116,0003,,20221121,39.46,EA
100,000000000116,0004,,20241031,11.548,EA
100,000000000116,0005,,20240609,5.031,EA
100,000000000117,0001,,20220510,55.702,EA
100,000000000117,0002,,20230105,16.898,EA
100,000000000117,0003,,20240513,16.402,EA
100,000000000117,0004,,20220407,17.923,EA
100,000000000117,0005,,20240305,79.457,EA
100,000000000118,0001,,20230222,26.392,EA
100,000000000118,0002,,20231110,30.815,EA
100,000000000118,0003,,20230816,39.057,EA
100,000000000118,0004,,20230507,61.969,EA
100,000000000118,0005,,20220316,30.004,EA
100,000000000119,0001,,20240106,17.035,EA
100,000000000119,0002,,20230419,79.449,EA
100,000000000119,0003,,20220329,22.736,EA
100,000000000119,0004,,20240401,17.287,EA
100,000000000119,0005,,20231214,62.493,EA
100,000000000120,0001,,20220921,25.325,EA
100,000000000120,0002,,20220118,25.123,EA
100,000000000120,0003,,20230330,41.479,EA
100,000000000120,0004,,20240515,40.458,EA
100,000000000120,0005,,20230421,70.699,EA
100,000000000121,0001,,20220807,22.457,EA
100,000000000121,0002,,20220526,29.648,EA
100,000000000121,0003,,20220810,31.829,EA
100,000000000121,0004,,20221117,46.16,EA
100,000000000121,0005,,20230430,89.897,EA
100,000000000122,0001,,20240323,7.834,EA
100,000000000122,0002,,20230108,75.01,EA
100,000000000122,0003,,20230715,50.134,EA
100,000000000122,0004,,20220908,78.17,EA
100,000000000122,0005,,20240422,82.107,EA
100,000000000123,0001,,20230603,28.912,EA
100,000000000123,0002,,20230811,72.072,EA
100,000000000123,0003,,20230825,55.517,EA
100,000000000123,0004,,20220414,36.125,EA
100,000000000123,0005,,20240921,36.481,EA
100,000000000124,0001,,20240901,6.434,EA
100,000000000124,0002,,20230723,51.916,EA
100,000000000124,0003,,20230602,47.463,EA
100,000000000124,0004,,20230103,74.76,EA
100,000000000124,0005,,20240818,29.259,EA
100,000000000125,0001,,20230518,97.593,EA
100,000000000125,0002,,20241231,77.98,EA
100,000000000125,0003,,20220613,17.029,EA
100,000000000125,0004,,20240804,49.628,EA
100,000000000125,0005,,20240405,17.39,EA
100,000000000126,0001,,20230416,8.386,EA
100,000000000126,0002,,20230903,56.568,EA
100,000000000126,0003,,20240419,47.078,EA
100,000000000126,0004,,20240730,58.663,EA
100,000000000126,0005,,20240528,93.396,EA
100,000000000127,0001,,20230605,27.905,EA
100,000000000127,0002,,20220723,62.535,EA
