MANDT,KOKRS,BESSION,GJAHR,BLDAT,BUDAT,BLTXT
100,1000,0060000059,2024,20240523,20230805,CO Doc 60
100,1000,0060000060,2023,20221015,20221201,CO Doc 61
100,1000,0060000061,2024,20220629,20230730,CO Doc 62
100,1000,0060000062,2023,20220316,20230223,CO Doc 63
100,1000,0060000063,2024,20240115,20230331,CO Doc 64
100,1000,0060000064,2023,20230320,20230825,CO Doc 65
100,1000,0060000065,2024,20230821,20241205,CO Doc 66
100,1000,0060000066,2023,20240530,20240813,CO Doc 67
100,1000,0060000067,2024,20220415,20220703,CO Doc 68
100,1000,0060000068,2023,20240924,20230227,CO Doc 69
100,1000,0060000069,2024,20230206,20240804,CO Doc 70
100,1000,0060000070,2023,20220914,20230612,CO Doc 71
100,1000,0060000071,2024,20230215,20220822,CO Doc 72
100,1000,0060000072,2023,20230212,20221223,CO Doc 73
100,1000,0060000073,2024,20220421,20240515,CO Doc 74
100,1000,0060000074,2023,20231118,20220915,CO Doc 75
100,1000,0060000075,2024,20220227,20221126,CO Doc 76
100,1000,0060000076,2023,20221203,20230403,CO Doc 77
100,1000,0060000077,2024,20221128,20230124,CO Doc 78
100,1000,0060000078,2023,20240808,20220525,CO Doc 79
100,1000,0060000079,2024,20240210,20240905,CO Doc 80
100,1000,0060000080,2023,20230506,20240808,CO Doc 81
100,1000,0060000081,2024,20220629,20220203,CO Doc 82
100,1000,0060000082,2023,20240102,20221030,CO Doc 83
100,1000,0060000083,2024,20230331,20220806,CO Doc 84
100,1000,0060000084,2023,20230721,20241226,CO Doc 85
100,1000,0060000085,2024,20240219,20240126,CO Doc 86
100,1000,0060000086,2023,20240226,20240421,CO Doc 87
100,1000,0060000087,2024,20221107,20231215,CO Doc 88
100,1000,0060000088,2023,20230630,20230518,CO Doc 89
100,1000,0060000089,2024,20230627,20230416,CO Doc 90
100,1000,0060000090,2023,20220111,20241115,CO Doc 91
100,1000,0060000091,2024,20230801,20220908,CO Doc 92
100,1000,0060000092,2023,20241219,20220418,CO Doc 93
100,1000,0060000093,2024,20240228,20220522,CO Doc 94
100,1000,0060000094,2023,20230710,20241123,CO Doc 95
100,1000,0060000095,2024,20240420,20220129,CO Doc 96
100,1000,0060000096,2023,20220817,20240418,CO Doc 97
100,1000,0060000097,2024,20220906,20230410,CO Doc 98
100,1000,0060000098,2023,20230124,20240306,CO Doc 99
100,1000,0060000099,2024,20240814,20240804,CO Doc 100
100,1000,0060000100,2023,20220424,20240705,CO Doc 101
100,1000,0060000101,2024,20230903,20240514,CO Doc 102
100,1000,0060000102,2023,20240611,20220705,CO Doc 103
100,1000,0060000103,2024,20230609,20240612,CO Doc 104
100,1000,0060000104,2023,20230510,20230413,CO Doc 105
100,1000,0060000105,2024,20220529,20220427,CO Doc 106
100,1000,0060000106,2023,20240430,20230713,CO Doc 107
100,1000,0060000107,2024,20230612,20221221,CO Doc 108
100,1000,0060000108,2023,20241109,20230929,CO Doc 109
100,1000,0060000109,2024,20241221,20240416,CO Doc 110
100,1000,0060000110,2023,20221021,20230416,CO Doc 111
100,1000,0060000111,2024,20230129,20220405,CO Doc 112
100,1000,0060000112,2023,20220224,20240714,CO Doc 113
100,1000,0060000113,2024,20240129,20240417,CO Doc 114
100,1000,0060000114,2023,20240415,20240503,CO Doc 115
100,1000,0060000115,2024,20230409,20240813,CO Doc 116
100,1000,0060000116,2023,20240607,20230604,CO Doc 117
100,1000,0060000117,2024,20240708,20230106,CO Doc 118
100,1000,0060000118,2023,20230614,20230506,CO Doc 119
100,1000,0060000119,2024,20240331,20230903,CO Doc 120
100,1000,0060000120,2023,20230730,20220617,CO Doc 121
100,1000,0060000121,2024,20241005,20231109,CO Doc 122
100,1000,0060000122,2023,20240307,20231119,CO Doc 123
100,1000,0060000123,2024,20220606,20221123,CO Doc 124
100,1000,0060000124,2023,20240124,20220509,CO Doc 125
100,1000,0060000125,2024,20220223,20240506,CO Doc 126
100,1000,0060000126,2023,20230918,20241104,CO Doc 127
100,1000,0060000127,2024,20230425,20241101,CO Doc 128
100,1000,0060000128,2023,20230917,20231211,CO Doc 129
100,1000,0060000129,2024,20230307,20231107,CO Doc 130
100,1000,0060000130,2023,20220508,20220911,CO Doc 131
100,1000,0060000131,2024,20240405,20220327,CO Doc 132
100,1000,0060000132,2023,20230731,20220215,CO Doc 133
100,1000,0060000133,2024,20221202,20230109,CO Doc 134
100,1000,0060000134,2023,20231202,20221113,CO Doc 135
100,1000,0060000135,2024,20230114,20241203,CO Doc 136
100,1000,0060000136,2023,20240429,20230419,CO Doc 137
100,1000,0060000137,2024,20230829,20241229,CO Doc 138
100,1000,0060000138,2023,20240831,20231128,CO Doc 139
100,1000,0060000139,2024,20220503,20220305,CO Doc 140
100,1000,0060000140,2023,20231211,20240215,CO Doc 141
100,1000,0060000141,2024,20241129,20220413,CO Doc 142
100,1000,0060000142,2023,20220516,20230612,CO Doc 143
100,1000,0060000143,2024,20221029,20230427,CO Doc 144
100,1000,0060000144,2023,20241022,20240403,CO Doc 145
100,1000,0060000145,2024,20230720,20220823,CO Doc 146
100,1000,0060000146,2023,20220119,20240830,CO Doc 147
100,1000,0060000147,2024,20240214,20231031,CO Doc 148
100,1000,0060000148,2023,20230125,20220615,CO Doc 149
100,1000,0060000149,2024,20230801,20220919,CO Doc 150
100,1000,0060000150,2023,20231117,20231202,CO Doc 151
100,1000,0060000151,2024,20220627,20220313,CO Doc 152
100,1000,0060000152,2023,20230318,20240630,CO Doc 153
100,1000,0060000153,2024,20221112,20230625,CO Doc 154
100,1000,0060000154,2023,20221228,20231221,CO Doc 155
100,1000,0060000155,2024,20220525,20240702,CO Doc 156
100,1000,0060000156,2023,20220826,20240720,CO Doc 157
100,1000,0060000157,2024,20240408,20241013,CO Doc 158
100,1000,0060000158,2023,20240604,20230825,CO Doc 159
100,1000,0060000159,2024,20221204,20241201,CO Doc 160
100,1000,0060000160,2023,20230414,20220121,CO Doc 161
100,1000,0060000161,2024,20241122,20241027,CO Doc 162
100,1000,0060000162,2023,20230127,20220725,CO Doc 163
100,1000,0060000163,2024,20220625,20231108,CO Doc 164
100,1000,0060000164,2023,20241114,20230301,CO Doc 165
100,1000,0060000165,2024,20241128,20220807,CO Doc 166
100,1000,0060000166,2023,20240110,20220930,CO Doc 167
100,1000,0060000167,2024,20240701,20241001,CO Doc 168
100,1000,0060000168,2023,20240919,20230430,CO Doc 169
100,1000,0060000169,2024,20240318,20230901,CO Doc 170
100,1000,0060000170,2023,20241215,20240413,CO Doc 171
100,1000,0060000171,2024,20240229,20241027,CO Doc 172
100,1000,0060000172,2023,20230801,20220803,CO Doc 173
100,1000,0060000173,2024,20240803,20221011,CO Doc 174
100,1000,0060000174,2023,20230704,20230621,CO Doc 175
100,1000,0060000175,2024,20220630,20230906,CO Doc 176
100,1000,0060000176,2023,20240126,20241103,CO Doc 177
100,1000,0060000177,2024,20230602,20220619,CO Doc 178
100,1000,0060000178,2023,20221116,20220525,CO Doc 179
100,1000,0060000179,2024,20220904,20240623,CO Doc 180
100,1000,0060000180,2023,20221226,20230601,CO Doc 181
100,1000,0060000181,2024,20220324,20220727,CO Doc 182
100,1000,0060000182,2023,20240331,20241017,CO Doc 183
100,1000,0060000183,2024,20221211,20240522,CO Doc 184
100,1000,0060000184,2023,20241119,20220624,CO Doc 185
100,1000,0060000185,2024,20230514,20230526,CO Doc 186
100,1000,0060000186,2023,20230408,20230413,CO Doc 187
100,1000,0060000187,2024,20240726,20231115,CO Doc 188
100,1000,0060000188,2023,20240204,20241001,CO Doc 189
100,1000,0060000189,2024,20230506,20230915,CO Doc 190
100,1000,0060000190,2023,20230104,20220723,CO Doc 191
100,1000,0060000191,2024,20230501,20240307,CO Doc 192
100,1000,0060000192,2023,20231010,20230609,CO Doc 193
100,1000,0060000193,2024,20230225,20231215,CO Doc 194
100,1000,0060000194,2023,20240711,20240217,CO Doc 195
100,1000,0060000195,2024,20220422,20220419,CO Doc 196
100,1000,0060000196,2023,20240410,20240407,CO Doc 197
100,1000,0060000197,2024,20241008,20230705,CO Doc 198
100,1000,0060000198,2023,20240617,20231031,CO Doc 199
100,1000,0060000199,2024,20220802,20220108,CO Doc 200
100,1000,0060000200,2023,20220313,20230905,CO Doc 201
100,1000,0060000201,2024,20230426,20230910,CO Doc 202
100,1000,0060000202,2023,20220205,20240627,CO Doc 203
100,1000,0060000203,2024,20230629,20241110,CO Doc 204
100,1000,0060000204,2023,20220409,20241101,CO Doc 205
100,1000,0060000205,2024,20240223,20230408,CO Doc 206
100,1000,0060000206,2023,20220820,20240721,CO Doc 207
100,1000,0060000207,2024,20220728,20220822,CO Doc 208
100,1000,0060000208,2023,20240905,20221124,CO Doc 209
100,1000,0060000209,2024,20230717,20240303,CO Doc 210
100,1000,0060000210,2023,20240622,20240415,CO Doc 211
100,1000,0060000211,2024,20240430,20230611,CO Doc 212
100,1000,0060000212,2023,20220915,20240708,CO Doc 213
100,1000,0060000213,2024,20240823,20240615,CO Doc 214
100,1000,0060000214,2023,20241231,20231209,CO Doc 215
100,1000,0060000215,2024,20221124,20220822,CO Doc 216
100,1000,0060000216,2023,20240912,20240221,CO Doc 217
100,1000,0060000217,2024,20220727,20241014,CO Doc 218
100,1000,0060000218,2023,20231016,20240210,CO Doc 219
100,1000,0060000219,2024,20240613,20240408,CO Doc 220
100,1000,0060000220,2023,20240111,20220105,CO Doc 221
100,1000,0060000221,2024,20230602,20231019,CO Doc 222
100,1000,0060000222,2023,20241015,20220425,CO Doc 223
100,1000,0060000223,2024,20241010,20220624,CO Doc 224
100,1000,0060000224,2023,20230911,20240924,CO Doc 225
100,1000,0060000225,2024,20230406,20230227,CO Doc 226
100,1000,0060000226,2023,20220522,20220510,CO Doc 227
100,1000,0060000227,2024,20240119,20240214,CO Doc 228
100,1000,0060000228,2023,20230424,20240830,CO Doc 229
100,1000,0060000229,2024,20230404,20220102,CO Doc 230
100,1000,0060000230,2023,20240124,20241023,CO Doc 231
100,1000,0060000231,2024,20231219,20240603,CO Doc 232
100,1000,0060000232,2023,20240719,20220109,CO Doc 233
100,1000,0060000233,2024,20241019,20230510,CO Doc 234
100,1000,0060000234,2023,20221213,20240510,CO Doc 235
100,1000,0060000235,2024,20221229,20230214,CO Doc 236
100,1000,0060000236,2023,20221130,20231205,CO Doc 237
100,1000,0060000237,2024,20240205,20230223,CO Doc 238
100,1000,0060000238,2023,20231024,20220901,CO Doc 239
100,1000,0060000239,2024,20230629,20221227,CO Doc 240
100,1000,0060000240,2023,20220405,20231119,CO Doc 241
100,1000,0060000241,2024,20220912,20240127,CO Doc 242
100,1000,0060000242,2023,20241208,20220824,CO Doc 243
100,1000,0060000243,2024,20230816,20230609,CO Doc 244
100,1000,0060000244,2023,20220616,20240309,CO Doc 245
100,1000,0060000245,2024,20220204,20230727,CO Doc 246
100,1000,0060000246,2023,20220316,20220211,CO Doc 247
100,1000,0060000247,2024,20240912,20231126,CO Doc 248
100,1000,0060000248,2023,20240302,20241121,CO Doc 249
100,1000,0060000249,2024,20221209,20220209,CO Doc 250
100,1000,0060000250,2023,20220210,20231223,CO Doc 251
100,1000,0060000251,2024,20230912,20231124,CO Doc 252
100,1000,0060000252,2023,20230925,20230128,CO Doc 253
100,1000,0060000253,2024,20240616,20221205,CO Doc 254
100,1000,0060000254,2023,20230806,20240128,CO Doc 255
100,1000,0060000255,2024,20230109,20220920,CO Doc 256
100,1000,0060000256,2023,20241022,20230305,CO Doc 257
100,1000,0060000257,2024,20220930,20230110,CO Doc 258
100,1000,0060000258,2023,20240912,20231010,CO Doc 259
100,1000,0060000259,2024,20240727,20230801,CO Doc 260
100,1000,0060000260,2023,20220328,20231006,CO Doc 261
100,1000,0060000261,2024,20220213,20240909,CO Doc 262
100,1000,0060000262,2023,20241015,20240318,CO Doc 263
100,1000,0060000263,2024,20220328,20241018,CO Doc 264
100,1000,0060000264,2023,20220609,20241229,CO Doc 265
100,1000,0060000265,2024,20230807,20231111,CO Doc 266
100,1000,0060000266,2023,20221107,20241120,CO Doc 267
100,1000,0060000267,2024,20240120,20220125,CO Doc 268
100,1000,0060000268,2023,20231226,20240902,CO Doc 269
100,1000,0060000269,2024,20230719,20230411,CO Doc 270
100,1000,0060000270,2023,20221006,20240904,CO Doc 271
100,1000,0060000271,2024,20231226,20220109,CO Doc 272
100,1000,0060000272,2023,20230922,20240914,CO Doc 273
100,1000,0060000273,2024,20230319,20241002,CO Doc 274
100,1000,0060000274,2023,20220513,20240816,CO Doc 275
100,1000,0060000275,2024,20220905,20240922,CO Doc 276
100,1000,0060000276,2023,20240909,20241223,CO Doc 277
100,1000,0060000277,2024,20240808,20221014,CO Doc 278
100,1000,0060000278,2023,20220420,20221206,CO Doc 279
100,1000,0060000279,2024,20221219,20230413,CO Doc 280
100,1000,0060000280,2023,20230225,20241101,CO Doc 281
100,1000,0060000281,2024,20221028,20220729,CO Doc 282
100,1000,0060000282,2023,20221117,20230526,CO Doc 283
100,1000,0060000283,2024,20220923,20240928,CO Doc 284
100,1000,0060000284,2023,20220922,20240802,CO Doc 285
100,1000,0060000285,2024,20221007,20220125,CO Doc 286
100,1000,0060000286,2023,20240118,20230921,CO Doc 287
100,1000,0060000287,2024,20241112,20240130,CO Doc 288
100,1000,0060000288,2023,20220511,20231227,CO Doc 289
100,1000,0060000289,2024,20220501,20240827,CO Doc 290
100,1000,0060000290,2023,20230324,20240105,CO Doc 291
100,1000,0060000291,2024,20240619,20220309,CO Doc 292
100,1000,0060000292,2023,20230205,20240917,CO Doc 293
100,1000,0060000293,2024,20221211,20231018,CO Doc 294
100,1000,0060000294,2023,20231002,20231004,CO Doc 295
100,1000,0060000295,2024,20220105,20230930,CO Doc 296
100,1000,0060000296,2023,20231112,20230227,CO Doc 297
100,1000,0060000297,2024,20230804,20230805,CO Doc 298
100,1000,0060000298,2023,20220429,20231222,CO Doc 299
100,1000,0060000299,2024,20220816,20231128,CO Doc 300
100,1000,0060000300,2023,20240508,20231125,CO Doc 301
100,1000,0060000301,2024,20230316,20231027,CO Doc 302
100,1000,0060000302,2023,20241008,20220605,CO Doc 303
100,1000,0060000303,2024,20240402,20241002,CO Doc 304
100,1000,0060000304,2023,20241109,20230301,CO Doc 305
100,1000,0060000305,2024,20230215,20241008,CO Doc 306
100,1000,0060000306,2023,20230122,20240828,CO Doc 307
100,1000,0060000307,2024,20230412,20230522,CO Doc 308
100,1000,0060000308,2023,20230412,20220705,CO Doc 309
100,1000,0060000309,2024,20230525,20220528,CO Doc 310
100,1000,0060000310,2023,20220921,20220226,CO Doc 311
100,1000,0060000311,2024,20230322,20221209,CO Doc 312
100,1000,0060000312,2023,20230706,20231222,CO Doc 313
100,1000,0060000313,2024,20240614,20230127,CO Doc 314
100,1000,0060000314,2023,20230919,20221016,CO Doc 315
100,1000,0060000315,2024,20220722,20231225,CO Doc 316
100,1000,0060000316,2023,20220703,20220531,CO Doc 317
100,1000,0060000317,2024,20240701,20230414,CO Doc 318
100,1000,0060000318,2023,20230527,20240826,CO Doc 319
100,1000,0060000319,2024,20230904,20230208,CO Doc 320
100,1000,0060000320,2023,20230506,20240929,CO Doc 321
100,1000,0060000321,2024,20241019,20230628,CO Doc 322
100,1000,0060000322,2023,20240229,20231012,CO Doc 323
100,1000,0060000323,2024,20240803,20220911,CO Doc 324
100,1000,0060000324,2023,20240511,20231014,CO Doc 325
100,1000,0060000325,2024,20221026,20221004,CO Doc 326
100,1000,0060000326,2023,20220614,20240307,CO Doc 327
100,1000,0060000327,2024,20220222,20240706,CO Doc 328
100,1000,0060000328,2023,20231008,20220903,CO Doc 329
100,1000,0060000329,2024,20230427,20230808,CO Doc 330
100,1000,0060000330,2023,20240423,20240825,CO Doc 331
100,1000,0060000331,2024,20230926,20220408,CO Doc 332
100,1000,0060000332,2023,20220424,20220629,CO Doc 333
100,1000,0060000333,2024,20230611,20240512,CO Doc 334
100,1000,0060000334,2023,20230522,20230811,CO Doc 335
100,1000,0060000335,2024,20241006,20220217,CO Doc 336
100,1000,0060000336,2023,20230615,20220415,CO Doc 337
100,1000,0060000337,2024,20240722,20220224,CO Doc 338
100,1000,0060000338,2023,20220425,20241228,CO Doc 339
100,1000,0060000339,2024,20221207,20240909,CO Doc 340
100,1000,0060000340,2023,20240301,20221110,CO Doc 341
100,1000,0060000341,2024,20220114,20220806,CO Doc 342
100,1000,0060000342,2023,20230205,20241111,CO Doc 343
100,1000,0060000343,2024,20240123,20231030,CO Doc 344
100,1000,0060000344,2023,20230525,20241208,CO Doc 345
100,1000,0060000345,2024,20230523,20240612,CO Doc 346
100,1000,0060000346,2023,20231025,20220411,CO Doc 347
100,1000,0060000347,2024,20230814,20230702,CO Doc 348
100,1000,0060000348,2023,20220308,20230103,CO Doc 349
100,1000,0060000349,2024,20231124,20230410,CO Doc 350
100,1000,0060000350,2023,20230508,20230802,CO Doc 351
100,1000,0060000351,2024,20230317,20220808,CO Doc 352
100,1000,0060000352,2023,20230101,20230330,CO Doc 353
100,1000,0060000353,2024,20221013,20220513,CO Doc 354
100,1000,0060000354,2023,20240825,20240908,CO Doc 355
100,1000,0060000355,2024,20221219,20240414,CO Doc 356
100,1000,0060000356,2023,20240916,20220122,CO Doc 357
100,1000,0060000357,2024,20220521,20240518,CO Doc 358
100,1000,0060000358,2023,20230715,20240131,CO Doc 359
100,1000,0060000359,2024,20230331,20240929,CO Doc 360
100,1000,0060000360,2023,20231220,20220722,CO Doc 361
100,1000,0060000361,2024,20220228,20220412,CO Doc 362
100,1000,0060000362,2023,20220907,20240219,CO Doc 363
100,1000,0060000363,2024,20220215,20240228,CO Doc 364
100,1000,0060000364,2023,20240229,20231113,CO Doc 365
100,1000,0060000365,2024,20220309,20221104,CO Doc 366
100,1000,0060000366,2023,20230123,20220912,CO Doc 367
100,1000,0060000367,2024,20240507,20240526,CO Doc 368
100,1000,0060000368,2023,20240301,20240819,CO Doc 369
100,1000,0060000369,2024,20240607,20230101,CO Doc 370
100,1000,0060000370,2023,20220330,20230426,CO Doc 371
100,1000,0060000371,2024,20230401,20220706,CO Doc 372
100,1000,0060000372,2023,20220627,20240427,CO Doc 373
100,1000,0060000373,2024,20231109,20240118,CO Doc 374
100,1000,0060000374,2023,20240718,20240924,CO Doc 375
100,1000,0060000375,2024,20220128,20230930,CO Doc 376
100,1000,0060000376,2023,20230828,20240611,CO Doc 377
100,1000,0060000377,2024,20230214,20220906,CO Doc 378
100,1000,0060000378,2023,20231120,20220726,CO Doc 379
100,1000,0060000379,2024,20240214,20240204,CO Doc 380
100,1000,0060000380,2023,20231129,20231010,CO Doc 381
100,1000,0060000381,2024,20230128,20230305,CO Doc 382
100,1000,0060000382,2023,20220715,20240315,CO Doc 383
100,1000,0060000383,2024,20221002,20220625,CO Doc 384
100,1000,0060000384,2023,20221207,20231220,CO Doc 385
100,1000,0060000385,2024,20220731,20240130,CO Doc 386
100,1000,0060000386,2023,20230714,20241201,CO Doc 387
100,1000,0060000387,2024,20240619,20240426,CO Doc 388
100,1000,0060000388,2023,20240321,20241203,CO Doc 389
100,1000,0060000389,2024,20240419,20230327,CO Doc 390
100,1000,0060000390,2023,20220609,20230205,CO Doc 391
100,1000,0060000391,2024,20220208,20240408,CO Doc 392
100,1000,0060000392,2023,20240118,20241009,CO Doc 393
100,1000,0060000393,2024,20230420,20240510,CO Doc 394
100,1000,0060000394,2023,20220715,20220619,CO Doc 395
100,1000,0060000395,2024,20240911,20240820,CO Doc 396
100,1000,0060000396,2023,20220314,20220816,CO Doc 397
100,1000,0060000397,2024,20220509,20240114,CO Doc 398
100,1000,0060000398,2023,20221106,20240902,CO Doc 399
100,1000,0060000399,2024,20221229,20220103,CO Doc 400
100,1000,0060000400,2023,20231016,20230415,CO Doc 401
100,1000,0060000401,2024,20220808,20230325,CO Doc 402
100,1000,0060000402,2023,20220425,20230201,CO Doc 403
100,1000,0060000403,2024,20240425,20221014,CO Doc 404
100,1000,0060000404,2023,20231219,20220301,CO Doc 405
100,1000,0060000405,2024,20230911,20220207,CO Doc 406
100,1000,0060000406,2023,20230608,20230803,CO Doc 407
100,1000,0060000407,2024,20240913,20230823,CO Doc 408
100,1000,0060000408,2023,20230329,20240513,CO Doc 409
100,1000,0060000409,2024,20220131,20241203,CO Doc 410
100,1000,0060000410,2023,20221218,20231104,CO Doc 411
100,1000,0060000411,2024,20221105,20241111,CO Doc 412
100,1000,0060000412,2023,20221110,20240514,CO Doc 413
100,1000,0060000413,2024,20220111,20240830,CO Doc 414
100,1000,0060000414,2023,20230221,20230501,CO Doc 415
100,1000,0060000415,2024,20240704,20220510,CO Doc 416
100,1000,0060000416,2023,20220126,20221208,CO Doc 417
100,1000,0060000417,2024,20241019,20221123,CO Doc 418
100,1000,0060000418,2023,20220119,20240203,CO Doc 419
100,1000,0060000419,2024,20230320,20220126,CO Doc 420
100,1000,0060000420,2023,20241024,20240914,CO Doc 421
100,1000,0060000421,2024,20220331,20230608,CO Doc 422
100,1000,0060000422,2023,20240603,20240906,CO Doc 423
100,1000,0060000423,2024,20230522,20221112,CO Doc 424
100,1000,0060000424,2023,20230807,20220608,CO Doc 425
100,1000,0060000425,2024,20220618,20221108,CO Doc 426
100,1000,0060000426,2023,20230710,20230819,CO Doc 427
100,1000,0060000427,2024,20231118,20230212,CO Doc 428
100,1000,0060000428,2023,20220508,20220720,CO Doc 429
100,1000,0060000429,2024,20240116,20221223,CO Doc 430
100,1000,0060000430,2023,20240919,20220626,CO Doc 431
100,1000,0060000431,2024,20230111,20221017,CO Doc 432
100,1000,0060000432,2023,20230502,20240113,CO Doc 433
100,1000,0060000433,2024,20231218,20220108,CO Doc 434
100,1000,0060000434,2023,20230128,20231117,CO Doc 435
100,1000,0060000435,2024,20230109,20231221,CO Doc 436
100,1000,0060000436,2023,20230910,20240705,CO Doc 437
100,1000,0060000437,2024,20220720,20220101,CO Doc 438
100,1000,0060000438,2023,20230404,20230421,CO Doc 439
100,1000,0060000439,2024,20221123,20241227,CO Doc 440
100,1000,0060000440,2023,20220123,20240414,CO Doc 441
100,1000,0060000441,2024,20230322,20230617,CO Doc 442
100,1000,0060000442,2023,20220116,20220416,CO Doc 443
100,1000,0060000443,2024,20231119,20240603,CO Doc 444
100,1000,0060000444,2023,20220517,20220511,CO Doc 445
100,1000,0060000445,2024,20220815,20220330,CO Doc 446
100,1000,0060000446,2023,20241123,20230428,CO Doc 447
100,1000,0060000447,2024,20240510,20220220,CO Doc 448
100,1000,0060000448,2023,20230522,20230612,CO Doc 449
100,1000,0060000449,2024,20220116,20220425,CO Doc 450
100,1000,0060000450,2023,20230308,20230904,CO Doc 451
100,1000,0060000451,2024,20231216,20240924,CO Doc 452
100,1000,0060000452,2023,20230312,20220401,CO Doc 453
100,1000,0060000453,2024,20240229,20220409,CO Doc 454
100,1000,0060000454,2023,20240918,20240224,CO Doc 455
100,1000,0060000455,2024,20230515,20220126,CO Doc 456
100,1000,0060000456,2023,20231115,20230420,CO Doc 457
100,1000,0060000457,2024,20221007,20220528,CO Doc 458
100,1000,0060000458,2023,20240531,20231120,CO Doc 459
100,1000,0060000459,2024,20230831,20241201,CO Doc 460
100,1000,0060000460,2023,20240830,20231024,CO Doc 461
100,1000,0060000461,2024,20230127,20230605,CO Doc 462
100,1000,0060000462,2023,20230120,20240122,CO Doc 463
100,1000,0060000463,2024,20220601,20230604,CO Doc 464
100,1000,0060000464,2023,20240423,20221008,CO Doc 465
100,1000,0060000465,2024,20220807,20221115,CO Doc 466
100,1000,0060000466,2023,20241127,20221112,CO Doc 467
100,1000,0060000467,2024,20220708,20230811,CO Doc 468
100,1000,0060000468,2023,20240504,20220313,CO Doc 469
100,1000,0060000469,2024,20240524,20220604,CO Doc 470
100,1000,0060000470,2023,20240312,20241006,CO Doc 471
100,1000,0060000471,2024,20230224,20230901,CO Doc 472
100,1000,0060000472,2023,20220930,20230515,CO Doc 473
100,1000,0060000473,2024,20240217,20241118,CO Doc 474
100,1000,0060000474,2023,20220701,20230627,CO Doc 475
100,1000,0060000475,2024,20221101,20240706,CO Doc 476
100,1000,0060000476,2023,20240616,20241105,CO Doc 477
100,1000,0060000477,2024,20220123,20241228,CO Doc 478
100,1000,0060000478,2023,20221228,20220526,CO Doc 479
100,1000,0060000479,2024,20220723,20220928,CO Doc 480
