MANDT,DOCNUM,COUNTER,SEGNAM,SDATA
100,0000000000000024,000005,E1MARAM,Segment data 120
100,0000000000000025,000001,E1MARAM,Segment data 121
100,0000000000000025,000002,E1MARAM,Segment data 122
100,0000000000000025,000003,E1MARAM,Segment data 123
100,0000000000000025,000004,E1MARAM,Segment data 124
100,0000000000000025,000005,E1MARAM,Segment data 125
100,0000000000000026,000001,E1MARAM,Segment data 126
100,0000000000000026,000002,E1MARAM,Segment data 127
100,0000000000000026,000003,E1MARAM,Segment data 128
100,0000000000000026,000004,E1MARAM,Segment data 129
100,0000000000000026,000005,E1MARAM,Segment data 130
100,0000000000000027,000001,E1MARAM,Segment data 131
100,0000000000000027,000002,E1MARAM,Segment data 132
100,0000000000000027,000003,E1MARAM,Segment data 133
100,0000000000000027,000004,E1MARAM,Segment data 134
100,0000000000000027,000005,E1MARAM,Segment data 135
100,0000000000000028,000001,E1MARAM,Segment data 136
100,0000000000000028,000002,E1MARAM,Segment data 137
100,0000000000000028,000003,E1MARAM,Segment data 138
100,0000000000000028,000004,E1MARAM,Segment data 139
100,0000000000000028,000005,E1MARAM,Segment data 140
100,0000000000000029,000001,E1MARAM,Segment data 141
100,0000000000000029,000002,E1MARAM,Segment data 142
100,0000000000000029,000003,E1MARAM,Segment data 143
100,0000000000000029,000004,E1MARAM,Segment data 144
100,0000000000000029,000005,E1MARAM,Segment data 145
100,0000000000000030,000001,E1MARAM,Segment data 146
100,0000000000000030,000002,E1MARAM,Segment data 147
100,0000000000000030,000003,E1MARAM,Segment data 148
100,0000000000000030,000004,E1MARAM,Segment data 149
100,0000000000000030,000005,E1MARAM,Segment data 150
100,0000000000000031,000001,E1MARAM,Segment data 151
100,0000000000000031,000002,E1MARAM,Segment data 152
100,0000000000000031,000003,E1MARAM,Segment data 153
100,0000000000000031,000004,E1MARAM,Segment data 154
100,0000000000000031,000005,E1MARAM,Segment data 155
100,0000000000000032,000001,E1MARAM,Segment data 156
100,0000000000000032,000002,E1MARAM,Segment data 157
100,0000000000000032,000003,E1MARAM,Segment data 158
100,0000000000000032,000004,E1MARAM,Segment data 159
100,0000000000000032,000005,E1MARAM,Segment data 160
100,0000000000000033,000001,E1MARAM,Segment data 161
100,0000000000000033,000002,E1MARAM,Segment data 162
100,0000000000000033,000003,E1MARAM,Segment data 163
100,0000000000000033,000004,E1MARAM,Segment data 164
100,0000000000000033,000005,E1MARAM,Segment data 165
100,0000000000000034,000001,E1MARAM,Segment data 166
100,0000000000000034,000002,E1MARAM,Segment data 167
100,0000000000000034,000003,E1MARAM,Segment data 168
100,0000000000000034,000004,E1MARAM,Segment data 169
100,0000000000000034,000005,E1MARAM,Segment data 170
100,0000000000000035,000001,E1MARAM,Segment data 171
100,0000000000000035,000002,E1MARAM,Segment data 172
100,0000000000000035,000003,E1MARAM,Segment data 173
100,0000000000000035,000004,E1MARAM,Segment data 174
100,0000000000000035,000005,E1MARAM,Segment data 175
100,0000000000000036,000001,E1MARAM,Segment data 176
100,0000000000000036,000002,E1MARAM,Segment data 177
100,0000000000000036,000003,E1MARAM,Segment data 178
100,0000000000000036,000004,E1MARAM,Segment data 179
100,0000000000000036,000005,E1MARAM,Segment data 180
100,0000000000000037,000001,E1MARAM,Segment data 181
100,0000000000000037,000002,E1MARAM,Segment data 182
100,0000000000000037,000003,E1MARAM,Segment data 183
100,0000000000000037,000004,E1MARAM,Segment data 184
100,0000000000000037,000005,E1MARAM,Segment data 185
100,0000000000000038,000001,E1MARAM,Segment data 186
100,0000000000000038,000002,E1MARAM,Segment data 187
100,0000000000000038,000003,E1MARAM,Segment data 188
100,0000000000000038,000004,E1MARAM,Segment data 189
100,0000000000000038,000005,E1MARAM,Segment data 190
100,0000000000000039,000001,E1MARAM,Segment data 191
100,0000000000000039,000002,E1MARAM,Segment data 192
100,0000000000000039,000003,E1MARAM,Segment data 193
100,0000000000000039,000004,E1MARAM,Segment data 194
100,0000000000000039,000005,E1MARAM,Segment data 195
100,0000000000000040,000001,E1MARAM,Segment data 196
100,0000000000000040,000002,E1MARAM,Segment data 197
100,0000000000000040,000003,E1MARAM,Segment data 198
100,0000000000000040,000004,E1MARAM,Segment data 199
100,0000000000000040,000005,E1MARAM,Segment data 200
100,0000000000000041,000001,E1MARAM,Segment data 201
100,0000000000000041,000002,E1MARAM,Segment data 202
100,0000000000000041,000003,E1MARAM,Segment data 203
100,0000000000000041,000004,E1MARAM,Segment data 204
100,0000000000000041,000005,E1MARAM,Segment data 205
100,0000000000000042,000001,E1MARAM,Segment data 206
100,0000000000000042,000002,E1MARAM,Segment data 207
100,0000000000000042,000003,E1MARAM,Segment data 208
100,0000000000000042,000004,E1MARAM,Segment data 209
100,0000000000000042,000005,E1MARAM,Segment data 210
100,0000000000000043,000001,E1MARAM,Segment data 211
100,0000000000000043,000002,E1MARAM,Segment data 212
100,0000000000000043,000003,E1MARAM,Segment data 213
100,0000000000000043,000004,E1MARAM,Segment data 214
100,0000000000000043,000005,E1MARAM,Segment data 215
100,0000000000000044,000001,E1MARAM,Segment data 216
100,0000000000000044,000002,E1MARAM,Segment data 217
100,0000000000000044,000003,E1MARAM,Segment data 218
100,0000000000000044,000004,E1MARAM,Segment data 219
100,0000000000000044,000005,E1MARAM,Segment data 220
100,0000000000000045,000001,E1MARAM,Segment data 221
100,0000000000000045,000002,E1MARAM,Segment data 222
100,0000000000000045,000003,E1MARAM,Segment data 223
100,0000000000000045,000004,E1MARAM,Segment data 224
100,0000000000000045,000005,E1MARAM,Segment data 225
100,0000000000000046,000001,E1MARAM,Segment data 226
100,0000000000000046,000002,E1MARAM,Segment data 227
100,0000000000000046,000003,E1MARAM,Segment data 228
100,0000000000000046,000004,E1MARAM,Segment data 229
100,0000000000000046,000005,E1MARAM,Segment data 230
100,0000000000000047,000001,E1MARAM,Segment data 231
100,0000000000000047,000002,E1MARAM,Segment data 232
100,0000000000000047,000003,E1MARAM,Segment data 233
100,0000000000000047,000004,E1MARAM,Segment data 234
100,0000000000000047,000005,E1MARAM,Segment data 235
100,0000000000000048,000001,E1MARAM,Segment data 236
100,0000000000000048,000002,E1MARAM,Segment data 237
100,0000000000000048,000003,E1MARAM,Segment data 238
100,0000000000000048,000004,E1MARAM,Segment data 239
100,0000000000000048,000005,E1MARAM,Segment data 240
100,0000000000000049,000001,E1MARAM,Segment data 241
100,0000000000000049,000002,E1MARAM,Segment data 242
100,0000000000000049,000003,E1MARAM,Segment data 243
100,0000000000000049,000004,E1MARAM,Segment data 244
100,0000000000000049,000005,E1MARAM,Segment data 245
100,0000000000000050,000001,E1MARAM,Segment data 246
100,0000000000000050,000002,E1MARAM,Segment data 247
100,0000000000000050,000003,E1MARAM,Segment data 248
100,0000000000000050,000004,E1MARAM,Segment data 249
100,0000000000000050,000005,E1MARAM,Segment data 250
100,0000000000000051,000001,E1MARAM,Segment data 251
100,0000000000000051,000002,E1MARAM,Segment data 252
100,0000000000000051,000003,E1MARAM,Segment data 253
100,0000000000000051,000004,E1MARAM,Segment data 254
100,0000000000000051,000005,E1MARAM,Segment data 255
100,0000000000000052,000001,E1MARAM,Segment data 256
100,0000000000000052,000002,E1MARAM,Segment data 257
100,0000000000000052,000003,E1MARAM,Segment data 258
100,0000000000000052,000004,E1MARAM,Segment data 259
100,0000000000000052,000005,E1MARAM,Segment data 260
100,0000000000000053,000001,E1MARAM,Segment data 261
100,0000000000000053,000002,E1MARAM,Segment data 262
100,0000000000000053,000003,E1MARAM,Segment data 263
100,0000000000000053,000004,E1MARAM,Segment data 264
100,0000000000000053,000005,E1MARAM,Segment data 265
100,0000000000000054,000001,E1MARAM,Segment data 266
100,0000000000000054,000002,E1MARAM,Segment data 267
100,0000000000000054,000003,E1MARAM,Segment data 268
100,0000000000000054,000004,E1MARAM,Segment data 269
100,0000000000000054,000005,E1MARAM,Segment data 270
100,0000000000000055,000001,E1MARAM,Segment data 271
100,0000000000000055,000002,E1MARAM,Segment data 272
100,0000000000000055,000003,E1MARAM,Segment data 273
100,0000000000000055,000004,E1MARAM,Segment data 274
100,0000000000000055,000005,E1MARAM,Segment data 275
100,0000000000000056,000001,E1MARAM,Segment data 276
100,0000000000000056,000002,E1MARAM,Segment data 277
100,0000000000000056,000003,E1MARAM,Segment data 278
100,0000000000000056,000004,E1MARAM,Segment data 279
100,0000000000000056,000005,E1MARAM,Segment data 280
100,0000000000000057,000001,E1MARAM,Segment data 281
100,0000000000000057,000002,E1MARAM,Segment data 282
100,0000000000000057,000003,E1MARAM,Segment data 283
100,0000000000000057,000004,E1MARAM,Segment data 284
100,0000000000000057,000005,E1MARAM,Segment data 285
100,0000000000000058,000001,E1MARAM,Segment data 286
100,0000000000000058,000002,E1MARAM,Segment data 287
100,0000000000000058,000003,E1MARAM,Segment data 288
100,0000000000000058,000004,E1MARAM,Segment data 289
100,0000000000000058,000005,E1MARAM,Segment data 290
100,0000000000000059,000001,E1MARAM,Segment data 291
100,0000000000000059,000002,E1MARAM,Segment data 292
100,0000000000000059,000003,E1MARAM,Segment data 293
100,0000000000000059,000004,E1MARAM,Segment data 294
100,0000000000000059,000005,E1MARAM,Segment data 295
100,0000000000000060,000001,E1MARAM,Segment data 296
100,0000000000000060,000002,E1MARAM,Segment data 297
100,0000000000000060,000003,E1MARAM,Segment data 298
100,0000000000000060,000004,E1MARAM,Segment data 299
100,0000000000000060,000005,E1MARAM,Segment data 300
100,0000000000000061,000001,E1MARAM,Segment data 301
100,0000000000000061,000002,E1MARAM,Segment data 302
100,0000000000000061,000003,E1MARAM,Segment data 303
100,0000000000000061,000004,E1MARAM,Segment data 304
100,0000000000000061,000005,E1MARAM,Segment data 305
100,0000000000000062,000001,E1MARAM,Segment data 306
100,0000000000000062,000002,E1MARAM,Segment data 307
100,0000000000000062,000003,E1MARAM,Segment data 308
100,0000000000000062,000004,E1MARAM,Segment data 309
100,0000000000000062,000005,E1MARAM,Segment data 310
100,0000000000000063,000001,E1MARAM,Segment data 311
100,0000000000000063,000002,E1MARAM,Segment data 312
100,0000000000000063,000003,E1MARAM,Segment data 313
100,0000000000000063,000004,E1MARAM,Segment data 314
100,0000000000000063,000005,E1MARAM,Segment data 315
100,0000000000000064,000001,E1MARAM,Segment data 316
100,0000000000000064,000002,E1MARAM,Segment data 317
100,0000000000000064,000003,E1MARAM,Segment data 318
100,0000000000000064,000004,E1MARAM,Segment data 319
100,0000000000000064,000005,E1MARAM,Segment data 320
100,0000000000000065,000001,E1MARAM,Segment data 321
100,0000000000000065,000002,E1MARAM,Segment data 322
100,0000000000000065,000003,E1MARAM,Segment data 323
100,0000000000000065,000004,E1MARAM,Segment data 324
100,0000000000000065,000005,E1MARAM,Segment data 325
100,0000000000000066,000001,E1MARAM,Segment data 326
100,0000000000000066,000002,E1MARAM,Segment data 327
100,0000000000000066,000003,E1MARAM,Segment data 328
100,0000000000000066,000004,E1MARAM,Segment data 329
100,0000000000000066,000005,E1MARAM,Segment data 330
100,0000000000000067,000001,E1MARAM,Segment data 331
100,0000000000000067,000002,E1MARAM,Segment data 332
100,0000000000000067,000003,E1MARAM,Segment data 333
100,0000000000000067,000004,E1MARAM,Segment data 334
100,0000000000000067,000005,E1MARAM,Segment data 335
100,0000000000000068,000001,E1MARAM,Segment data 336
100,0000000000000068,000002,E1MARAM,Segment data 337
100,0000000000000068,000003,E1MARAM,Segment data 338
100,0000000000000068,000004,E1MARAM,Segment data 339
100,0000000000000068,000005,E1MARAM,Segment data 340
100,0000000000000069,000001,E1MARAM,Segment data 341
100,0000000000000069,000002,E1MARAM,Segment data 342
100,0000000000000069,000003,E1MARAM,Segment data 343
100,0000000000000069,000004,E1MARAM,Segment data 344
100,0000000000000069,000005,E1MARAM,Segment data 345
100,0000000000000070,000001,E1MARAM,Segment data 346
100,0000000000000070,000002,E1MARAM,Segment data 347
100,0000000000000070,000003,E1MARAM,Segment data 348
100,0000000000000070,000004,E1MARAM,Segment data 349
100,0000000000000070,000005,E1MARAM,Segment data 350
100,0000000000000071,000001,E1MARAM,Segment data 351
100,0000000000000071,000002,E1MARAM,Segment data 352
100,0000000000000071,000003,E1MARAM,Segment data 353
100,0000000000000071,000004,E1MARAM,Segment data 354
100,0000000000000071,000005,E1MARAM,Segment data 355
100,0000000000000072,000001,E1MARAM,Segment data 356
100,0000000000000072,000002,E1MARAM,Segment data 357
100,0000000000000072,000003,E1MARAM,Segment data 358
100,0000000000000072,000004,E1MARAM,Segment data 359
100,0000000000000072,000005,E1MARAM,Segment data 360
100,0000000000000073,000001,E1MARAM,Segment data 361
100,0000000000000073,000002,E1MARAM,Segment data 362
100,0000000000000073,000003,E1MARAM,Segment data 363
100,0000000000000073,000004,E1MARAM,Segment data 364
100,0000000000000073,000005,E1MARAM,Segment data 365
100,0000000000000074,000001,E1MARAM,Segment data 366
100,0000000000000074,000002,E1MARAM,Segment data 367
100,0000000000000074,000003,E1MARAM,Segment data 368
100,0000000000000074,000004,E1MARAM,Segment data 369
100,0000000000000074,000005,E1MARAM,Segment data 370
100,0000000000000075,000001,E1MARAM,Segment data 371
100,0000000000000075,000002,E1MARAM,Segment data 372
100,0000000000000075,000003,E1MARAM,Segment data 373
100,0000000000000075,000004,E1MARAM,Segment data 374
100,0000000000000075,000005,E1MARAM,Segment data 375
100,0000000000000076,000001,E1MARAM,Segment data 376
100,0000000000000076,000002,E1MARAM,Segment data 377
100,0000000000000076,000003,E1MARAM,Segment data 378
100,0000000000000076,000004,E1MARAM,Segment data 379
100,0000000000000076,000005,E1MARAM,Segment data 380
100,0000000000000077,000001,E1MARAM,Segment data 381
100,0000000000000077,000002,E1MARAM,Segment data 382
100,0000000000000077,000003,E1MARAM,Segment data 383
100,0000000000000077,000004,E1MARAM,Segment data 384
100,0000000000000077,000005,E1MARAM,Segment data 385
100,0000000000000078,000001,E1MARAM,Segment data 386
100,0000000000000078,000002,E1MARAM,Segment data 387
100,0000000000000078,000003,E1MARAM,Segment data 388
100,0000000000000078,000004,E1MARAM,Segment data 389
100,0000000000000078,000005,E1MARAM,Segment data 390
100,0000000000000079,000001,E1MARAM,Segment data 391
100,0000000000000079,000002,E1MARAM,Segment data 392
100,0000000000000079,000003,E1MARAM,Segment data 393
100,0000000000000079,000004,E1MARAM,Segment data 394
100,0000000000000079,000005,E1MARAM,Segment data 395
100,0000000000000080,000001,E1MARAM,Segment data 396
100,0000000000000080,000002,E1MARAM,Segment data 397
100,0000000000000080,000003,E1MARAM,Segment data 398
100,0000000000000080,000004,E1MARAM,Segment data 399
100,0000000000000080,000005,E1MARAM,Segment data 400
100,0000000000000081,000001,E1MARAM,Segment data 401
100,0000000000000081,000002,E1MARAM,Segment data 402
100,0000000000000081,000003,E1MARAM,Segment data 403
100,0000000000000081,000004,E1MARAM,Segment data 404
100,0000000000000081,000005,E1MARAM,Segment data 405
100,0000000000000082,000001,E1MARAM,Segment data 406
100,0000000000000082,000002,E1MARAM,Segment data 407
100,0000000000000082,000003,E1MARAM,Segment data 408
100,0000000000000082,000004,E1MARAM,Segment data 409
100,0000000000000082,000005,E1MARAM,Segment data 410
100,0000000000000083,000001,E1MARAM,Segment data 411
100,0000000000000083,000002,E1MARAM,Segment data 412
100,0000000000000083,000003,E1MARAM,Segment data 413
100,0000000000000083,000004,E1MARAM,Segment data 414
100,0000000000000083,000005,E1MARAM,Segment data 415
100,0000000000000084,000001,E1MARAM,Segment data 416
100,0000000000000084,000002,E1MARAM,Segment data 417
100,0000000000000084,000003,E1MARAM,Segment data 418
100,0000000000000084,000004,E1MARAM,Segment data 419
100,0000000000000084,000005,E1MARAM,Segment data 420
100,0000000000000085,000001,E1MARAM,Segment data 421
100,0000000000000085,000002,E1MARAM,Segment data 422
100,0000000000000085,000003,E1MARAM,Segment data 423
100,0000000000000085,000004,E1MARAM,Segment data 424
100,0000000000000085,000005,E1MARAM,Segment data 425
100,0000000000000086,000001,E1MARAM,Segment data 426
100,0000000000000086,000002,E1MARAM,Segment data 427
100,0000000000000086,000003,E1MARAM,Segment data 428
100,0000000000000086,000004,E1MARAM,Segment data 429
100,0000000000000086,000005,E1MARAM,Segment data 430
100,0000000000000087,000001,E1MARAM,Segment data 431
100,0000000000000087,000002,E1MARAM,Segment data 432
100,0000000000000087,000003,E1MARAM,Segment data 433
100,0000000000000087,000004,E1MARAM,Segment data 434
100,0000000000000087,000005,E1MARAM,Segment data 435
100,0000000000000088,000001,E1MARAM,Segment data 436
100,0000000000000088,000002,E1MARAM,Segment data 437
100,0000000000000088,000003,E1MARAM,Segment data 438
100,0000000000000088,000004,E1MARAM,Segment data 439
100,0000000000000088,000005,E1MARAM,Segment data 440
100,0000000000000089,000001,E1MARAM,Segment data 441
100,0000000000000089,000002,E1MARAM,Segment data 442
100,0000000000000089,000003,E1MARAM,Segment data 443
100,0000000000000089,000004,E1MARAM,Segment data 444
100,0000000000000089,000005,E1MARAM,Segment data 445
100,0000000000000090,000001,E1MARAM,Segment data 446
100,0000000000000090,000002,E1MARAM,Segment data 447
100,0000000000000090,000003,E1MARAM,Segment data 448
100,0000000000000090,000004,E1MARAM,Segment data 449
100,0000000000000090,000005,E1MARAM,Segment data 450
100,0000000000000091,000001,E1MARAM,Segment data 451
100,0000000000000091,000002,E1MARAM,Segment data 452
100,0000000000000091,000003,E1MARAM,Segment data 453
100,0000000000000091,000004,E1MARAM,Segment data 454
100,0000000000000091,000005,E1MARAM,Segment data 455
100,0000000000000092,000001,E1MARAM,Segment data 456
100,0000000000000092,000002,E1MARAM,Segment data 457
100,0000000000000092,000003,E1MARAM,Segment data 458
100,0000000000000092,000004,E1MARAM,Segment data 459
100,0000000000000092,000005,E1MARAM,Segment data 460
100,0000000000000093,000001,E1MARAM,Segment data 461
100,0000000000000093,000002,E1MARAM,Segment data 462
100,0000000000000093,000003,E1MARAM,Segment data 463
100,0000000000000093,000004,E1MARAM,Segment data 464
100,0000000000000093,000005,E1MARAM,Segment data 465
100,0000000000000094,000001,E1MARAM,Segment data 466
100,0000000000000094,000002,E1MARAM,Segment data 467
100,0000000000000094,000003,E1MARAM,Segment data 468
100,0000000000000094,000004,E1MARAM,Segment data 469
100,0000000000000094,000005,E1MARAM,Segment data 470
100,0000000000000095,000001,E1MARAM,Segment data 471
100,0000000000000095,000002,E1MARAM,Segment data 472
100,0000000000000095,000003,E1MARAM,Segment data 473
100,0000000000000095,000004,E1MARAM,Segment data 474
100,0000000000000095,000005,E1MARAM,Segment data 475
100,0000000000000096,000001,E1MARAM,Segment data 476
100,0000000000000096,000002,E1MARAM,Segment data 477
100,0000000000000096,000003,E1MARAM,Segment data 478
100,0000000000000096,000004,E1MARAM,Segment data 479
100,0000000000000096,000005,E1MARAM,Segment data 480
100,0000000000000097,000001,E1MARAM,Segment data 481
100,0000000000000097,000002,E1MARAM,Segment data 482
100,0000000000000097,000003,E1MARAM,Segment data 483
100,0000000000000097,000004,E1MARAM,Segment data 484
100,0000000000000097,000005,E1MARAM,Segment data 485
100,0000000000000098,000001,E1MARAM,Segment data 486
100,0000000000000098,000002,E1MARAM,Segment data 487
100,0000000000000098,000003,E1MARAM,Segment data 488
100,0000000000000098,000004,E1MARAM,Segment data 489
100,0000000000000098,000005,E1MARAM,Segment data 490
100,0000000000000099,000001,E1MARAM,Segment data 491
100,0000000000000099,000002,E1MARAM,Segment data 492
100,0000000000000099,000003,E1MARAM,Segment data 493
100,0000000000000099,000004,E1MARAM,Segment data 494
100,0000000000000099,000005,E1MARAM,Segment data 495
100,0000000000000100,000001,E1MARAM,Segment data 496
100,0000000000000100,000002,E1MARAM,Segment data 497
100,0000000000000100,000003,E1MARAM,Segment data 498
100,0000000000000100,000004,E1MARAM,Segment data 499
100,0000000000000100,000005,E1MARAM,Segment data 500
100,0000000000000101,000001,E1MARAM,Segment data 501
100,0000000000000101,000002,E1MARAM,Segment data 502
100,0000000000000101,000003,E1MARAM,Segment data 503
100,0000000000000101,000004,E1MARAM,Segment data 504
100,0000000000000101,000005,E1MARAM,Segment data 505
100,0000000000000102,000001,E1MARAM,Segment data 506
100,0000000000000102,000002,E1MARAM,Segment data 507
100,0000000000000102,000003,E1MARAM,Segment data 508
100,0000000000000102,000004,E1MARAM,Segment data 509
100,0000000000000102,000005,E1MARAM,Segment data 510
100,0000000000000103,000001,E1MARAM,Segment data 511
100,0000000000000103,000002,E1MARAM,Segment data 512
100,0000000000000103,000003,E1MARAM,Segment data 513
100,0000000000000103,000004,E1MARAM,Segment data 514
100,0000000000000103,000005,E1MARAM,Segment data 515
100,0000000000000104,000001,E1MARAM,Segment data 516
100,0000000000000104,000002,E1MARAM,Segment data 517
100,0000000000000104,000003,E1MARAM,Segment data 518
100,0000000000000104,000004,E1MARAM,Segment data 519
100,0000000000000104,000005,E1MARAM,Segment data 520
100,0000000000000105,000001,E1MARAM,Segment data 521
100,0000000000000105,000002,E1MARAM,Segment data 522
100,0000000000000105,000003,E1MARAM,Segment data 523
100,0000000000000105,000004,E1MARAM,Segment data 524
100,0000000000000105,000005,E1MARAM,Segment data 525
100,0000000000000106,000001,E1MARAM,Segment data 526
100,0000000000000106,000002,E1MARAM,Segment data 527
100,0000000000000106,000003,E1MARAM,Segment data 528
100,0000000000000106,000004,E1MARAM,Segment data 529
100,0000000000000106,000005,E1MARAM,Segment data 530
100,0000000000000107,000001,E1MARAM,Segment data 531
100,0000000000000107,000002,E1MARAM,Segment data 532
100,0000000000000107,000003,E1MARAM,Segment data 533
100,0000000000000107,000004,E1MARAM,Segment data 534
100,0000000000000107,000005,E1MARAM,Segment data 535
100,0000000000000108,000001,E1MARAM,Segment data 536
