MANDT,LENUM,LGNUM,LGTYP,LGPLA
100,00000000000000000127,001,A,0000000027
100,00000000000000000128,002,B,0000000028
100,00000000000000000129,003,C,0000000029
100,00000000000000000130,001,A,0000000030
100,00000000000000000131,002,B,0000000031
100,00000000000000000132,003,C,0000000032
100,00000000000000000133,001,A,0000000033
100,00000000000000000134,002,B,0000000034
100,00000000000000000135,003,C,0000000035
100,00000000000000000136,001,A,0000000036
100,00000000000000000137,002,B,0000000037
100,00000000000000000138,003,C,0000000038
100,00000000000000000139,001,A,0000000039
100,00000000000000000140,002,B,0000000040
100,00000000000000000141,003,C,0000000041
100,00000000000000000142,001,A,0000000042
100,00000000000000000143,002,B,0000000043
100,00000000000000000144,003,C,0000000044
100,00000000000000000145,001,A,0000000045
100,00000000000000000146,002,B,0000000046
100,00000000000000000147,003,C,0000000047
100,00000000000000000148,001,A,0000000048
100,00000000000000000149,002,B,0000000049
100,00000000000000000150,003,C,0000000050
100,00000000000000000151,001,A,0000000051
100,00000000000000000152,002,B,0000000052
100,00000000000000000153,003,C,0000000053
100,00000000000000000154,001,A,0000000054
100,00000000000000000155,002,B,0000000055
100,00000000000000000156,003,C,0000000056
100,00000000000000000157,001,A,0000000057
100,00000000000000000158,002,B,0000000058
100,00000000000000000159,003,C,0000000059
100,00000000000000000160,001,A,0000000060
100,00000000000000000161,002,B,0000000061
100,00000000000000000162,003,C,0000000062
100,00000000000000000163,001,A,0000000063
100,00000000000000000164,002,B,0000000064
100,00000000000000000165,003,C,0000000065
100,00000000000000000166,001,A,0000000066
100,00000000000000000167,002,B,0000000067
100,00000000000000000168,003,C,0000000068
100,00000000000000000169,001,A,0000000069
100,00000000000000000170,002,B,0000000070
100,00000000000000000171,003,C,0000000071
100,00000000000000000172,001,A,0000000072
100,00000000000000000173,002,B,0000000073
100,00000000000000000174,003,C,0000000074
100,00000000000000000175,001,A,0000000075
100,00000000000000000176,002,B,0000000076
100,00000000000000000177,003,C,0000000077
100,00000000000000000178,001,A,0000000078
100,00000000000000000179,002,B,0000000079
100,00000000000000000180,003,C,0000000080
100,00000000000000000181,001,A,0000000081
100,00000000000000000182,002,B,0000000082
100,00000000000000000183,003,C,0000000083
100,00000000000000000184,001,A,0000000084
100,00000000000000000185,002,B,0000000085
100,00000000000000000186,003,C,0000000086
100,00000000000000000187,001,A,0000000087
100,00000000000000000188,002,B,0000000088
100,00000000000000000189,003,C,0000000089
100,00000000000000000190,001,A,0000000090
100,00000000000000000191,002,B,0000000091
100,00000000000000000192,003,C,0000000092
100,00000000000000000193,001,A,0000000093
100,00000000000000000194,002,B,0000000094
100,00000000000000000195,003,C,0000000095
100,00000000000000000196,001,A,0000000096
100,00000000000000000197,002,B,0000000097
100,00000000000000000198,003,C,0000000098
100,00000000000000000199,001,A,0000000099
100,00000000000000000200,002,B,0000000100
