MANDT,PERNR,ENDDA,BEGDA,SUBTY,ABESSION
100,00000195,20240301,20220919,0003,2.42
100,00000445,20221221,20240130,0002,7.78
100,00000125,20231229,20240514,0001,4.42
100,00000104,20220410,20221127,0004,2.97
100,00000938,20240526,20240927,0001,5.17
100,00000612,20231223,20241126,0001,5.3
100,00000272,20230715,20220820,0001,5.34
100,00001552,20230702,20240130,0003,2.66
100,00001555,20240501,20241121,0005,3.69
100,00001312,20220217,20221214,0001,4.19
100,00000621,20230105,20221022,0001,2.72
100,00001989,20220503,20220812,0005,6.75
100,00000805,20240724,20230905,0002,4.94
100,00001757,20220403,20240723,0002,5.26
100,00000278,20220312,20220529,0003,1.8
100,00000959,20220112,20230221,0001,5.64
100,00001697,20231014,20240419,0004,4.7
100,00000954,20220908,20240130,0005,2.22
100,00001594,20240902,20220501,0003,5.33
100,00000992,20240804,20221223,0002,6.2
100,00001498,20220724,20230114,0004,2.18
100,00001105,20240401,20240618,0001,5.06
100,00001841,20231002,20230111,0002,1.73
100,00000001,20230106,20231203,0005,6.91
100,00001526,20230423,20230704,0001,4.26
100,00000347,20240327,20230605,0003,3.88
100,00000918,20230929,20241227,0004,4.89
100,00001083,20221011,20220507,0001,2.8
100,00001714,20231024,20230424,0002,6.59
100,00000459,20220102,20241104,0003,7.51
100,00000094,20241101,20220118,0002,4.95
100,00000913,20220531,20240901,0002,1.28
100,00000964,20230112,20240105,0005,3.75
100,00001975,20221208,20230825,0001,4.58
100,00001881,20241104,20230813,0004,1.17
100,00001479,20220718,20230826,0003,4.18
100,00001727,20230205,20230323,0005,4.93
100,00000931,20240920,20220413,0005,1.67
100,00000398,20220207,20231228,0001,1.71
100,00001107,20231215,20241018,0005,3.61
100,00001553,20240316,20230930,0001,1.22
100,00001343,20240531,20221214,0003,6.78
100,00000093,20240202,20220601,0002,5.95
100,00000266,20220807,20240630,0002,1.06
100,00001478,20241220,20241031,0004,4.33
100,00000957,20220823,20240715,0005,6.44
100,00001820,20220118,20240322,0004,3.19
100,00001348,20241028,20220802,0001,7.16
100,00001857,20240217,20230531,0001,1.77
100,00001355,20221230,20230929,0005,7.88
100,00001870,20231002,20230730,0005,4.76
100,00000850,20240518,20240427,0003,4.68
100,00001276,20221021,20220907,0004,7.91
100,00000411,20220716,20241219,0001,4.52
100,00000754,20221128,20231023,0004,4.25
100,00001733,20220302,20220203,0003,1.71
100,00000096,20220822,20220821,0003,3.59
100,00001801,20220429,20220720,0001,5.55
100,00001143,20240129,20240105,0005,0.7
100,00001347,20240804,20241005,0004,7.43
100,00000797,20230919,20230601,0001,2.29
100,00001873,20240811,20230508,0004,3.77
100,00000122,20221028,20230526,0001,1.55
100,00001051,20231002,20220416,0004,6.96
100,00001814,20231022,20230624,0004,1.56
100,00001051,20231027,20220421,0001,1.51
100,00000113,20220916,20220706,0005,6.56
100,00000795,20230619,20230225,0003,4.94
100,00000698,20220227,20220415,0001,3.67
100,00001755,20230820,20240808,0002,6.58
100,00001743,20230720,20241028,0004,6.41
100,00001133,20240704,20220308,0005,0.89
100,00000637,20231119,20230622,0003,5.18
100,00000208,20241108,20240327,0003,3.94
100,00000029,20231205,20220620,0005,4.09
100,00000598,20220806,20230217,0001,5.27
100,00001662,20240622,20220220,0001,6.02
100,00000940,20230615,20231119,0003,3.22
100,00001199,20220528,20220502,0005,1.88
100,00000734,20231001,20230318,0004,1.77
100,00000073,20230118,20231025,0003,4.18
100,00001128,20220529,20241229,0001,1.43
100,00000182,20230131,20230617,0005,7.2
100,00001225,20220616,20241130,0004,4.84
100,00001722,20240112,20230306,0002,6.02
100,00001662,20220518,20220512,0004,4.35
100,00001410,20240717,20230607,0003,2.47
100,00000569,20240918,20221028,0002,7.36
100,00001695,20220327,20230803,0004,3.07
100,00001114,20220123,20241128,0001,3.26
100,00000976,20221212,20230907,0002,1.71
100,00000623,20241017,20230714,0002,6.09
100,00001722,20220308,20241224,0005,1.26
100,00000273,20241225,20221202,0003,4.05
100,00001138,20240117,20231212,0004,1.56
100,00001927,20220925,20241125,0004,1.7
100,00001973,20220124,20231028,0002,5.85
100,00001867,20240222,20220303,0003,5.62
100,00000007,20230225,20221014,0004,4.69
100,00001514,20220317,20240612,0002,7.83
100,00001189,20220730,20240530,0001,6.53
100,00000697,20240101,20240109,0003,6.24
100,00001377,20241212,20230419,0001,1.6
100,00000133,20231201,20240831,0004,4.99
100,00001455,20221224,20231210,0001,5.28
100,00000438,20221224,20240717,0001,3.93
100,00000299,20230328,20240229,0001,3.75
100,00000588,20220904,20240109,0005,1.4
100,00000333,20220805,20220328,0005,7.6
100,00001748,20241226,20240927,0001,2.44
100,00000470,20220529,20231002,0004,1.8
100,00001690,20240208,20231015,0005,6.33
100,00001097,20221105,20220528,0004,6.01
100,00000635,20230713,20220522,0003,4.11
100,00000720,20230403,20240710,0005,4.39
100,00001328,20240102,20241004,0004,5.7
100,00001201,20240812,20241003,0002,5.48
100,00000940,20240919,20240901,0001,2.63
100,00000055,20240619,20220527,0004,3.38
100,00000026,20240223,20220111,0003,5.13
100,00001749,20220827,20230907,0003,6.16
100,00001167,20220202,20231116,0002,6.18
100,00000008,20231201,20220410,0001,3.99
100,00000458,20220901,20220401,0005,4.97
100,00001284,20240324,20220330,0002,4.02
100,00001215,20241009,20230708,0003,1.88
100,00000540,20240503,20241230,0002,3.93
100,00000248,20220315,20240618,0004,3.43
100,00000105,20220514,20241008,0003,7.17
100,00000019,20231013,20221209,0001,2.18
100,00000825,20240212,20220311,0001,2.75
100,00000499,20220907,20230219,0004,0.81
100,00001382,20220919,20220220,0003,2.35
100,00000686,20240627,20220808,0004,7.96
100,00000698,20241102,20231201,0002,5.34
100,00001836,20240414,20240717,0002,1.2
100,00001455,20230525,20240908,0002,1.77
100,00000610,20240714,20240509,0003,4.27
100,00001026,20220915,20231107,0003,3.63
100,00001473,20221006,20230318,0005,7.08
100,00000547,20241021,20221201,0001,3.6
100,00001211,20240114,20230508,0003,6.38
100,00000987,20220423,20230424,0002,2.7
100,00001874,20230210,20220106,0001,2.0
100,00001744,20240409,20241218,0005,5.65
100,00000091,20231017,20241224,0003,2.47
100,00000501,20220301,20230513,0004,2.02
100,00001341,20230209,20240502,0001,5.4
100,00000585,20240211,20240531,0004,0.89
100,00001161,20230809,20231016,0004,2.02
100,00000894,20240724,20231005,0004,2.62
100,00000066,20221218,20231022,0001,6.21
100,00000209,20240130,20240531,0004,2.92
100,00000464,20220319,20240609,0001,5.73
100,00000843,20241009,20230411,0001,2.31
100,00001768,20231107,20230527,0003,6.3
100,00001801,20230204,20241007,0002,1.98
100,00000729,20241112,20240529,0002,3.58
100,00001753,20220724,20220323,0004,4.18
100,00001386,20220914,20231024,0001,6.68
100,00001800,20220316,20240725,0004,7.15
100,00001105,20220531,20240223,0002,5.33
100,00001908,20240705,20220804,0005,3.94
100,00001704,20230813,20230420,0001,5.74
100,00001970,20240304,20241028,0002,6.9
100,00001881,20230125,20220502,0005,3.98
100,00001965,20230808,20240910,0004,2.23
100,00000406,20220319,20220417,0003,6.58
100,00001320,20221108,20220120,0001,3.05
100,00001806,20230611,20240222,0002,2.7
100,00000679,20230801,20240925,0001,4.22
100,00000654,20230127,20230124,0005,6.42
100,00000933,20230319,20220423,0004,1.55
100,00000193,20230201,20240407,0001,5.77
100,00001400,20240719,20230531,0005,3.18
100,00001025,20240118,20230727,0002,6.07
100,00000440,20220324,20230317,0003,4.83
100,00001744,20220525,20230404,0005,2.85
100,00001811,20240407,20220322,0004,6.04
100,00000854,20220509,20230812,0005,3.95
100,00001892,20220706,20231013,0002,7.05
100,00000093,20220227,20231116,0001,5.65
100,00000401,20241124,20220909,0002,4.83
100,00001255,20221209,20240904,0005,5.2
100,00000572,20240408,20221221,0002,1.42
100,00000434,20220923,20240130,0003,3.06
100,00001960,20230315,20220723,0004,4.48
100,00000799,20240913,20221029,0004,4.28
100,00001224,20241003,20241121,0002,5.31
100,00001437,20240620,20220408,0004,3.52
100,00000155,20220524,20220808,0005,6.55
100,00001384,20230106,20240609,0002,7.73
100,00001359,20230509,20241208,0004,6.98
100,00001731,20240629,20230331,0002,3.11
100,00000492,20230729,20231111,0005,1.05
100,00001436,20240703,20230817,0004,5.32
100,00000188,20230905,20221123,0003,6.72
100,00000642,20241020,20220220,0005,3.73
100,00000878,20221109,20230208,0002,1.28
100,00001108,20241016,20230427,0003,6.07
100,00000525,20231208,20221202,0002,1.0
100,00000100,20241117,20241221,0001,5.83
100,00001356,20220103,20230315,0002,1.14
100,00000181,20240414,20240420,0005,2.88
100,00000597,20240630,20230629,0003,3.54
100,00000136,20230812,20230610,0001,5.32
100,00000899,20220422,20230627,0005,7.96
100,00001473,20230809,20230403,0003,6.03
100,00001892,20231109,20240126,0004,5.16
100,00000930,20230917,20240816,0004,4.21
100,00001806,20221230,20240131,0002,7.02
100,00001424,20230915,20231017,0003,6.73
100,00000863,20230525,20230204,0001,8.0
100,00001282,20230427,20230212,0004,6.55
100,00000656,20230930,20230321,0001,1.88
100,00001680,20220317,20220326,0005,2.72
100,00000523,20241020,20231207,0002,2.85
100,00000380,20240826,20220805,0003,7.44
100,00000743,20240519,20230924,0002,2.13
100,00000740,20220817,20220122,0001,6.8
100,00000473,20221002,20240727,0005,2.17
100,00000689,20240222,20240706,0001,7.69
100,00000580,20220430,20240313,0004,2.86
100,00001037,20230521,20220116,0003,2.28
100,00001661,20220811,20220417,0003,2.09
100,00000269,20240705,20240309,0003,7.04
100,00001622,20231007,20220618,0002,2.88
100,00000618,20220607,20240612,0004,5.98
100,00000615,20240418,20220809,0004,6.39
100,00001874,20230122,20220915,0002,5.35
100,00000491,20240722,20220626,0001,0.96
100,00000798,20241101,20240327,0005,4.99
100,00001400,20231011,20230711,0003,4.17
100,00000926,20230703,20240428,0003,5.72
100,00001694,20240529,20240420,0004,5.52
100,00001875,20240314,20230503,0005,4.41
100,00001206,20241004,20230513,0003,7.0
100,00001661,20231010,20221114,0002,2.11
100,00001599,20220317,20230212,0002,3.34
100,00001666,20221107,20240513,0002,3.74
100,00000390,20240409,20230611,0004,4.62
100,00001069,20220530,20220824,0005,0.84
100,00000561,20230318,20230402,0004,6.58
100,00001609,20221202,20221022,0005,2.67
100,00000800,20220515,20230128,0004,0.57
100,00001459,20230926,20230801,0001,1.4
100,00001031,20240526,20231028,0001,1.07
100,00000158,20230520,20220510,0005,5.7
100,00001230,20230625,20241024,0003,6.04
100,00000966,20221121,20230707,0002,1.14
100,00000880,20220118,20230710,0002,4.39
100,00001350,20240318,20220605,0003,7.78
100,00001075,20240607,20230612,0001,6.92
100,00001355,20220129,20220617,0004,0.66
100,00000307,20231110,20220712,0001,3.33
100,00000446,20220108,20220805,0005,5.65
100,00000745,20241125,20230604,0003,6.23
100,00001968,20230302,20220422,0003,0.5
100,00000917,20240723,20221012,0001,3.67
100,00001611,20240524,20231120,0001,4.44
100,00001603,20220911,20231228,0001,4.19
100,00000498,20240313,20240802,0003,2.62
100,00000595,20240828,20240601,0001,0.61
100,00001040,20220111,20240530,0003,7.77
100,00000933,20241016,20240604,0005,4.02
100,00000394,20241223,20240103,0001,3.61
100,00001907,20241210,20241103,0004,2.33
100,00000043,20240214,20240327,0005,5.21
100,00001124,20241122,20240826,0001,4.24
100,00001426,20241214,20220819,0003,7.16
100,00000530,20230704,20240515,0004,3.58
100,00000503,20240517,20240617,0001,7.57
100,00001117,20220806,20240406,0001,5.36
100,00001136,20220115,20220522,0004,4.13
100,00001268,20240303,20220405,0003,5.18
100,00001831,20231201,20221119,0001,7.71
100,00000601,20221219,20240301,0002,2.39
100,00000258,20240411,20221017,0002,7.88
100,00000437,20230420,20220429,0001,6.45
100,00001093,20221119,20240429,0004,5.13
100,00000190,20241021,20220729,0003,5.79
100,00000504,20230825,20240127,0005,7.05
100,00001433,20220911,20240817,0002,2.76
100,00001244,20230505,20220520,0003,5.3
100,00001394,20220605,20220316,0005,4.63
100,00000337,20240414,20220826,0002,4.95
100,00000398,20220818,20220212,0004,3.92
100,00000741,20240708,20241025,0005,3.25
100,00000745,20241105,20230429,0003,7.4
100,00001296,20230129,20240324,0005,6.52
100,00000354,20220614,20230115,0004,1.14
100,00000160,20221109,20220427,0002,1.58
100,00001126,20220331,20230530,0004,5.56
100,00001064,20220710,20230117,0001,7.58
100,00001316,20220417,20220430,0001,7.87
100,00000654,20240301,20230725,0002,4.2
100,00000147,20241031,20240801,0004,1.84
100,00000787,20230926,20240515,0004,0.82
100,00000563,20230326,20230914,0005,4.65
100,00001270,20220712,20240329,0001,4.7
100,00000410,20240709,20240129,0001,3.37
100,00001425,20241216,20240202,0005,2.33
100,00000799,20230321,20220709,0003,2.96
100,00001961,20230601,20231216,0003,2.71
100,00001191,20221123,20240113,0005,7.24
100,00000445,20241118,20220427,0001,6.73
100,00001684,20240322,20240101,0002,5.06
100,00001895,20231128,20220607,0004,2.95
100,00001196,20230509,20230417,0001,6.85
100,00001479,20231215,20240716,0002,7.14
100,00000480,20230523,20230923,0005,6.31
100,00001987,20230506,20230209,0003,4.66
100,00000725,20220627,20230422,0005,4.54
100,00001476,20220529,20231016,0002,0.74
100,00000155,20240120,20231011,0001,7.3
100,00000902,20241002,20230308,0004,3.22
100,00000292,20231204,20230904,0001,6.9
100,00001015,20240430,20240309,0005,6.73
100,00000928,20240926,20240408,0001,3.18
100,00001462,20240425,20230811,0004,1.56
100,00001395,20230105,20240503,0003,7.24
100,00000346,20230325,20240914,0001,7.89
100,00000715,20230917,20240218,0003,7.76
100,00000314,20230622,20241120,0002,2.17
100,00000416,20240908,20230720,0005,2.65
100,00000550,20221218,20240531,0002,2.89
100,00001145,20240418,20230501,0004,1.33
100,00001130,20230123,20230924,0002,6.86
100,00001554,20240630,20220401,0005,3.72
100,00001044,20220425,20241031,0002,5.24
100,00001781,20230311,20241102,0005,1.92
100,00000823,20240217,20240525,0004,2.04
100,00000703,20230913,20220624,0003,6.15
100,00000045,20230711,20241214,0005,6.82
100,00000366,20220829,20230623,0001,7.8
100,00000593,20220625,20220105,0005,2.08
100,00000145,20241103,20240907,0005,1.16
100,00001003,20240527,20220409,0005,3.44
100,00001302,20240404,20230302,0002,6.65
100,00000359,20240912,20230326,0004,4.94
100,00000805,20240523,20220303,0004,2.14
100,00001223,20220901,20220616,0003,7.98
100,00000739,20220926,20230813,0001,1.2
100,00000271,20230207,20241121,0002,0.97
100,00000312,20230215,20230101,0002,3.16
100,00001145,20240622,20220421,0003,0.71
100,00000238,20230823,20221117,0002,2.34
100,00001571,20240308,20220422,0004,6.21
100,00000316,20240524,20230410,0004,6.46
100,00001512,20230510,20220726,0003,4.14
100,00001643,20220430,20230402,0001,3.58
100,00000013,20231021,20220927,0001,7.73
100,00000711,20230705,20231030,0004,1.55
100,00001583,20240903,20221207,0004,7.59
100,00001580,20220706,20230705,0003,5.65
100,00001509,20220327,20230904,0001,4.15
100,00000365,20240101,20241001,0003,1.58
100,00000245,20230209,20240529,0005,3.07
100,00000184,20230815,20240402,0002,3.07
100,00000424,20220910,20230101,0004,0.92
100,00001254,20240102,20240913,0004,0.74
100,00000314,20241109,20241030,0005,0.68
100,00001248,20231122,20230202,0005,6.24
100,00000355,20240209,20221025,0001,1.39
100,00001654,20220903,20241207,0005,6.35
100,00000349,20240803,20221130,0004,7.76
100,00001156,20221105,20220820,0002,6.36
100,00001287,20240319,20231014,0001,6.98
100,00000505,20220101,20230702,0003,5.43
100,00001428,20220307,20231001,0004,3.86
100,00001986,20240202,20240819,0001,3.85
100,00000659,20230324,20230319,0005,7.07
100,00000442,20240724,20220624,0004,2.44
100,00000978,20230709,20221120,0005,1.71
100,00001326,20240319,20230528,0003,3.01
100,00000466,20240530,20220615,0001,5.11
100,00000894,20220116,20220530,0005,5.99
100,00000001,20240123,20220916,0002,3.48
100,00000750,20230616,20220119,0002,4.07
100,00000011,20221105,20221222,0005,1.54
100,00001923,20221209,20230902,0005,2.8
100,00000655,20240309,20241008,0005,4.82
100,00000443,20221002,20231231,0004,3.38
100,00001041,20221223,20240801,0005,5.0
100,00001334,20240222,20230210,0001,0.75
100,00000094,20240811,20221208,0003,2.27
100,00001853,20221213,20220309,0002,7.14
100,00001520,20230524,20221003,0002,1.1
100,00000290,20240406,20240504,0001,7.0
100,00001168,20231115,20240524,0004,4.94
100,00000339,20221129,20221222,0004,2.17
100,00001483,20230128,20241016,0004,2.04
100,00000252,20231009,20240125,0002,7.61
100,00000555,20241112,20230120,0002,4.69
100,00000964,20241215,20230808,0001,4.99
100,00000508,20240526,20240612,0004,5.93
100,00000736,20220709,20231225,0005,7.27
100,00001253,20231113,20240402,0005,7.15
100,00001043,20230823,20240429,0001,1.83
100,00001225,20220613,20240309,0004,6.32
100,00001288,20220218,20230414,0002,2.56
100,00000918,20230711,20231127,0003,6.81
100,00001082,20230125,20240629,0005,1.86
100,00001815,20221222,20230316,0004,2.52
100,00000388,20230611,20220403,0005,0.73
100,00001105,20230728,20241216,0002,3.48
100,00000800,20231224,20230321,0004,1.69
100,00000596,20230806,20240507,0003,5.44
100,00001241,20221125,20220615,0003,6.92
100,00000715,20220104,20230525,0003,1.47
100,00001220,20230123,20230720,0001,4.29
100,00000870,20220202,20230603,0002,4.55
100,00000741,20221126,20220517,0004,0.69
100,00001413,20240201,20221006,0003,0.83
100,00000097,20240719,20240625,0004,2.58
100,00000017,20241218,20240204,0001,4.32
100,00000450,20241013,20241222,0002,6.12
100,00000130,20230518,20220205,0002,4.83
100,00001565,20220424,20230927,0002,0.69
100,00000942,20230408,20230922,0005,5.91
100,00001580,20231124,20241016,0003,4.61
100,00000910,20230821,20230516,0003,4.8
100,00001030,20220208,20240812,0005,1.57
100,00001067,20230518,20230522,0003,0.67
100,00000199,20241007,20240215,0001,0.59
100,00000763,20230207,20230621,0001,2.13
100,00000793,20230711,20220611,0005,3.34
100,00000809,20240913,20240513,0003,5.18
100,00001855,20220803,20230429,0001,1.65
100,00001712,20220819,20231124,0003,2.55
100,00001773,20240624,20220312,0003,3.6
100,00001627,20230224,20231130,0003,2.99
100,00000913,20240531,20230526,0004,4.44
100,00000462,20220512,20230419,0004,3.5
100,00000628,20221121,20230807,0004,5.2
100,00001100,20220715,20231220,0001,0.64
100,00000784,20231017,20240316,0004,5.02
100,00000722,20230314,20230225,0002,5.17
100,00001352,20220418,20240910,0001,4.8
100,00000206,20240108,20221012,0004,5.1
100,00000987,20221012,20231027,0004,2.18
100,00001154,20230422,20230729,0005,1.03
100,00000042,20220720,20230530,0003,1.76
100,00000635,20221213,20220718,0005,6.66
100,00000810,20231022,20220513,0001,1.49
100,00001055,20220916,20220716,0005,3.07
100,00000014,20240602,20240218,0001,7.82
100,00000927,20230703,20220708,0003,4.45
100,00001659,20230502,20231108,0002,2.28
100,00001692,20230508,20220425,0002,6.15
100,00000811,20240713,20220707,0001,4.49
100,00000416,20230317,20220905,0002,7.58
100,00000615,20240531,20240715,0004,3.24
100,00000435,20240311,20231001,0004,6.12
100,00001269,20241212,20240718,0001,7.49
100,00000654,20230424,20230403,0005,0.92
100,00001841,20230406,20240512,0002,4.62
100,00001022,20220517,20220208,0003,6.32
100,00001693,20220903,20230529,0002,6.2
100,00001006,20240408,20220702,0002,7.45
100,00001921,20240715,20240504,0001,7.49
100,00001552,20231019,20230613,0003,7.72
100,00001315,20231225,20220622,0004,2.31
100,00000839,20240603,20240707,0003,2.41
100,00000631,20221206,20240423,0003,3.09
100,00001687,20231207,20220110,0003,3.57
100,00001103,20230320,20230706,0002,1.26
100,00001953,20230521,20241020,0004,5.14
100,00000265,20230606,20240122,0004,4.13
100,00000929,20240925,20230307,0005,6.27
100,00001519,20230103,20230711,0003,7.93
100,00001179,20220429,20230808,0004,3.11
100,00000888,20241201,20231031,0003,6.86
100,00000844,20221016,20241121,0005,7.74
100,00001974,20231230,20230209,0004,2.33
100,00000962,20220906,20230907,0003,6.2
100,00000736,20221020,20221230,0004,1.87
100,00001907,20220923,20240120,0003,2.13
100,00001919,20220724,20240126,0001,2.95
100,00000968,20220210,20220719,0005,2.68
100,00000939,20220314,20240801,0001,4.84
100,00000667,20220910,20230102,0005,3.03
100,00000882,20240526,20231102,0002,7.37
100,00001370,20240114,20220804,0001,7.96
100,00001300,20230112,20240923,0001,6.03
100,00000156,20240617,20220624,0002,4.9
100,00001264,20240412,20230302,0003,1.95
100,00001912,20241223,20230527,0004,0.74
100,00001815,20241101,20240401,0005,3.75
100,00001299,20231018,20230403,0005,1.79
100,00000108,20220505,20230331,0002,3.63
100,00001279,20220802,20240404,0005,2.34
100,00001771,20240105,20240210,0005,3.27
100,00001691,20230409,20220321,0004,1.32
100,00001418,20241208,20241226,0004,4.9
100,00001499,20230706,20220321,0002,7.9
100,00001356,20230526,20240706,0004,1.94
100,00001762,20220607,20240429,0004,7.43
100,00000579,20230702,20231202,0004,5.82
100,00000652,20230806,20221109,0005,6.66
100,00000956,20230617,20230114,0003,4.04
100,00001644,20230216,20221004,0005,7.32
100,00000184,20220517,20231020,0001,7.32
100,00000713,20240913,20230520,0005,5.62
100,00001159,20231229,20221108,0003,6.21
100,00001950,20240823,20230208,0002,6.97
100,00000024,20220221,20231014,0005,2.4
100,00001195,20240316,20220329,0004,6.03
100,00001013,20220213,20220321,0002,1.3
100,00001015,20230707,20240820,0005,5.42
100,00001944,20240509,20240620,0003,1.34
100,00001221,20240330,20220807,0004,4.94
100,00000997,20231028,20220628,0002,6.61
100,00000400,20240725,20220528,0002,4.07
100,00001268,20220109,20240928,0003,4.36
100,00000735,20230821,20220120,0001,5.4
100,00001774,20221101,20240920,0004,3.42
100,00000765,20230622,20220907,0001,4.41
