MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,MENGE,MEINS,DMBTR,WAERS
100,0045000035,00010,00001,1,2024,0050000035,001,821.257,KG,11185.52,EUR
100,0045000036,00010,00001,1,2023,0050000036,001,575.332,KG,54800.37,EUR
100,0045000037,00010,00001,1,2024,0050000037,001,856.487,KG,77066.7,EUR
100,0045000038,00010,00001,1,2023,0050000038,001,180.114,KG,6732.66,EUR
100,0045000039,00010,00001,1,2024,0050000039,001,940.159,KG,26033.0,EUR
100,0045000040,00010,00001,1,2023,0050000040,001,647.46,KG,45127.96,EUR
100,0045000041,00010,00001,1,2024,0050000041,001,366.109,KG,33271.99,EUR
100,0045000042,00010,00001,1,2023,0050000042,001,110.367,KG,1513.13,EUR
100,0045000043,00010,00001,1,2024,0050000043,001,803.627,KG,29854.74,EUR
100,0045000044,00010,00001,1,2023,0050000044,001,572.631,KG,23512.23,EUR
100,0045000045,00010,00001,1,2024,0050000045,001,637.002,KG,54540.11,EUR
100,0045000046,00010,00001,1,2023,0050000046,001,770.959,KG,12281.38,EUR
100,0045000047,00010,00001,1,2024,0050000047,001,323.95,KG,25653.6,EUR
100,0045000048,00010,00001,1,2023,0050000048,001,333.355,KG,3500.23,EUR
100,0045000049,00010,00001,1,2024,0050000049,001,394.053,KG,12574.23,EUR
100,0045000050,00010,00001,1,2023,0050000050,001,484.301,KG,22316.59,EUR
100,0045000051,00010,00001,1,2024,0050000051,001,944.658,KG,69385.13,EUR
100,0045000052,00010,00001,1,2023,0050000052,001,658.324,KG,19881.38,EUR
100,0045000053,00010,00001,1,2024,0050000053,001,308.698,KG,7970.58,EUR
100,0045000054,00010,00001,1,2023,0050000054,001,420.773,KG,8722.62,EUR
100,0045000055,00010,00001,1,2024,0050000055,001,410.981,KG,34518.29,EUR
100,0045000056,00010,00001,1,2023,0050000056,001,347.646,KG,29876.7,EUR
100,0045000057,00010,00001,1,2024,0050000057,001,785.453,KG,6857.0,EUR
100,0045000058,00010,00001,1,2023,0050000058,001,781.627,KG,33352.02,EUR
100,0045000059,00010,00001,1,2024,0050000059,001,825.949,KG,11265.94,EUR
100,0045000060,00010,00001,1,2023,0050000060,001,851.433,KG,58595.62,EUR
100,0045000061,00010,00001,1,2024,0050000061,001,484.23,KG,23112.3,EUR
100,0045000062,00010,00001,1,2023,0050000062,001,858.171,KG,55540.83,EUR
100,0045000063,00010,00001,1,2024,0050000063,001,633.75,KG,47125.65,EUR
100,0045000064,00010,00001,1,2023,0050000064,001,935.035,KG,1262.3,EUR
100,0045000065,00010,00001,1,2024,0050000065,001,580.19,KG,41297.92,EUR
100,0045000066,00010,00001,1,2023,0050000066,001,771.254,KG,28582.67,EUR
100,0045000067,00010,00001,1,2024,0050000067,001,138.281,KG,11571.35,EUR
100,0045000068,00010,00001,1,2023,0050000068,001,794.483,KG,8914.1,EUR
100,0045000069,00010,00001,1,2024,0050000069,001,682.293,KG,20693.95,EUR
100,0045000070,00010,00001,1,2023,0050000070,001,531.699,KG,29105.2,EUR
100,0045000071,00010,00001,1,2024,0050000071,001,185.838,KG,8825.45,EUR
100,0045000072,00010,00001,1,2023,0050000072,001,795.178,KG,71104.82,EUR
100,0045000073,00010,00001,1,2024,0050000073,001,148.808,KG,544.64,EUR
100,0045000074,00010,00001,1,2023,0050000074,001,721.266,KG,5258.03,EUR
100,0045000075,00010,00001,1,2024,0050000075,001,804.569,KG,34564.28,EUR
100,0045000076,00010,00001,1,2023,0050000076,001,177.172,KG,16060.64,EUR
100,0045000077,00010,00001,1,2024,0050000077,001,291.264,KG,17170.01,EUR
100,0045000078,00010,00001,1,2023,0050000078,001,729.681,KG,67502.79,EUR
100,0045000079,00010,00001,1,2024,0050000079,001,518.802,KG,41218.82,EUR
100,0045000080,00010,00001,1,2023,0050000080,001,606.622,KG,18902.34,EUR
100,0045000081,00010,00001,1,2024,0050000081,001,699.742,KG,69463.39,EUR
100,0045000082,00010,00001,1,2023,0050000082,001,502.394,KG,26958.46,EUR
100,0045000083,00010,00001,1,2024,0050000083,001,631.599,KG,14255.19,EUR
100,0045000084,00010,00001,1,2023,0050000084,001,891.12,KG,21636.39,EUR
100,0045000085,00010,00001,1,2024,0050000085,001,100.532,KG,2801.83,EUR
100,0045000086,00010,00001,1,2023,0050000086,001,82.979,KG,7190.96,EUR
100,0045000087,00010,00001,1,2024,0050000087,001,771.572,KG,66524.94,EUR
100,0045000088,00010,00001,1,2023,0050000088,001,508.053,KG,46395.4,EUR
100,0045000089,00010,00001,1,2024,0050000089,001,988.744,KG,63467.48,EUR
100,0045000090,00010,00001,1,2023,0050000090,001,672.293,KG,66691.47,EUR
100,0045000091,00010,00001,1,2024,0050000091,001,435.471,KG,17026.92,EUR
100,0045000092,00010,00001,1,2023,0050000092,001,215.419,KG,15620.03,EUR
100,0045000093,00010,00001,1,2024,0050000093,001,366.048,KG,11376.77,EUR
100,0045000094,00010,00001,1,2023,0050000094,001,277.641,KG,12663.21,EUR
100,0045000095,00010,00001,1,2024,0050000095,001,369.482,KG,34594.6,EUR
100,0045000096,00010,00001,1,2023,0050000096,001,681.645,KG,43284.46,EUR
100,0045000097,00010,00001,1,2024,0050000097,001,243.189,KG,19061.15,EUR
100,0045000098,00010,00001,1,2023,0050000098,001,604.489,KG,48800.4,EUR
100,0045000099,00010,00001,1,2024,0050000099,001,954.524,KG,17458.24,EUR
100,0045000100,00010,00001,1,2023,0050000100,001,107.751,KG,2062.35,EUR
100,0045000101,00010,00001,1,2024,0050000101,001,219.013,KG,2095.95,EUR
100,0045000102,00010,00001,1,2023,0050000102,001,491.351,KG,30463.76,EUR
100,0045000103,00010,00001,1,2024,0050000103,001,85.112,KG,7991.17,EUR
100,0045000104,00010,00001,1,2023,0050000104,001,802.229,KG,40873.57,EUR
100,0045000105,00010,00001,1,2024,0050000105,001,981.714,KG,10396.35,EUR
100,0045000106,00010,00001,1,2023,0050000106,001,199.733,KG,6303.57,EUR
100,0045000107,00010,00001,1,2024,0050000107,001,379.32,KG,17900.11,EUR
100,0045000108,00010,00001,1,2023,0050000108,001,755.1,KG,72617.97,EUR
100,0045000109,00010,00001,1,2024,0050000109,001,918.094,KG,69068.21,EUR
100,0045000110,00010,00001,1,2023,0050000110,001,336.135,KG,25549.62,EUR
100,0045000111,00010,00001,1,2024,0050000111,001,664.084,KG,57708.9,EUR
100,0045000112,00010,00001,1,2023,0050000112,001,62.808,KG,5282.15,EUR
100,0045000113,00010,00001,1,2024,0050000113,001,820.218,KG,38984.96,EUR
100,0045000114,00010,00001,1,2023,0050000114,001,185.052,KG,1643.26,EUR
100,0045000115,00010,00001,1,2024,0050000115,001,309.988,KG,26584.57,EUR
100,0045000116,00010,00001,1,2023,0050000116,001,981.451,KG,29109.84,EUR
100,0045000117,00010,00001,1,2024,0050000117,001,785.814,KG,10168.43,EUR
100,0045000118,00010,00001,1,2023,0050000118,001,939.887,KG,15028.79,EUR
100,0045000119,00010,00001,1,2024,0050000119,001,201.13,KG,655.68,EUR
100,0045000120,00010,00001,1,2023,0050000120,001,24.063,KG,985.62,EUR
100,0045000121,00010,00001,1,2024,0050000121,001,632.003,KG,53663.37,EUR
100,0045000122,00010,00001,1,2023,0050000122,001,418.646,KG,29728.05,EUR
100,0045000123,00010,00001,1,2024,0050000123,001,861.003,KG,66357.5,EUR
100,0045000124,00010,00001,1,2023,0050000124,001,541.446,KG,46114.96,EUR
100,0045000125,00010,00001,1,2024,0050000125,001,804.322,KG,77890.54,EUR
100,0045000126,00010,00001,1,2023,0050000126,001,277.804,KG,9739.81,EUR
100,0045000127,00010,00001,1,2024,0050000127,001,360.756,KG,20718.22,EUR
100,0045000128,00010,00001,1,2023,0050000128,001,260.712,KG,13100.78,EUR
100,0045000129,00010,00001,1,2024,0050000129,001,875.153,KG,32765.73,EUR
100,0045000130,00010,00001,1,2023,0050000130,001,704.921,KG,56682.7,EUR
100,0045000131,00010,00001,1,2024,0050000131,001,585.009,KG,57711.14,EUR
100,0045000132,00010,00001,1,2023,0050000132,001,753.056,KG,70824.92,EUR
100,0045000133,00010,00001,1,2024,0050000133,001,437.284,KG,16726.11,EUR
100,0045000134,00010,00001,1,2023,0050000134,001,171.031,KG,9676.93,EUR
100,0045000135,00010,00001,1,2024,0050000135,001,622.897,KG,2379.47,EUR
100,0045000136,00010,00001,1,2023,0050000136,001,48.125,KG,3710.44,EUR
100,0045000137,00010,00001,1,2024,0050000137,001,609.785,KG,59075.97,EUR
100,0045000138,00010,00001,1,2023,0050000138,001,900.482,KG,70345.65,EUR
100,0045000139,00010,00001,1,2024,0050000139,001,919.616,KG,20203.96,EUR
100,0045000140,00010,00001,1,2023,0050000140,001,498.1,KG,33835.93,EUR
100,0045000141,00010,00001,1,2024,0050000141,001,383.479,KG,30877.73,EUR
100,0045000142,00010,00001,1,2023,0050000142,001,593.137,KG,11833.08,EUR
100,0045000143,00010,00001,1,2024,0050000143,001,953.701,KG,5111.84,EUR
100,0045000144,00010,00001,1,2023,0050000144,001,287.612,KG,15551.18,EUR
100,0045000145,00010,00001,1,2024,0050000145,001,673.798,KG,29727.97,EUR
100,0045000146,00010,00001,1,2023,0050000146,001,452.714,KG,1756.53,EUR
100,0045000147,00010,00001,1,2024,0050000147,001,829.52,KG,24139.03,EUR
100,0045000148,00010,00001,1,2023,0050000148,001,761.676,KG,63158.17,EUR
100,0045000149,00010,00001,1,2024,0050000149,001,93.017,KG,7227.42,EUR
100,0045000150,00010,00001,1,2023,0050000150,001,451.597,KG,28211.26,EUR
100,0045000151,00010,00001,1,2024,0050000151,001,835.967,KG,53585.48,EUR
100,0045000152,00010,00001,1,2023,0050000152,001,304.192,KG,5496.75,EUR
100,0045000153,00010,00001,1,2024,0050000153,001,270.941,KG,11609.82,EUR
100,0045000154,00010,00001,1,2023,0050000154,001,683.604,KG,40619.75,EUR
100,0045000155,00010,00001,1,2024,0050000155,001,732.496,KG,30186.16,EUR
100,0045000156,00010,00001,1,2023,0050000156,001,308.934,KG,30371.3,EUR
100,0045000157,00010,00001,1,2024,0050000157,001,241.173,KG,23938.83,EUR
100,0045000158,00010,00001,1,2023,0050000158,001,272.454,KG,12178.69,EUR
100,0045000159,00010,00001,1,2024,0050000159,001,30.252,KG,1358.01,EUR
100,0045000160,00010,00001,1,2023,0050000160,001,133.777,KG,2894.93,EUR
100,0045000161,00010,00001,1,2024,0050000161,001,651.394,KG,56488.89,EUR
100,0045000162,00010,00001,1,2023,0050000162,001,844.51,KG,83868.29,EUR
100,0045000163,00010,00001,1,2024,0050000163,001,508.782,KG,13096.05,EUR
100,0045000164,00010,00001,1,2023,0050000164,001,159.964,KG,14252.79,EUR
100,0045000165,00010,00001,1,2024,0050000165,001,642.423,KG,23737.53,EUR
100,0045000166,00010,00001,1,2023,0050000166,001,535.528,KG,10839.09,EUR
100,0045000167,00010,00001,1,2024,0050000167,001,243.779,KG,19044.02,EUR
100,0045000168,00010,00001,1,2023,0050000168,001,791.434,KG,67295.63,EUR
100,0045000169,00010,00001,1,2024,0050000169,001,759.845,KG,38942.06,EUR
100,0045000170,00010,00001,1,2023,0050000170,001,967.384,KG,7303.75,EUR
100,0045000171,00010,00001,1,2024,0050000171,001,909.915,KG,62374.67,EUR
100,0045000172,00010,00001,1,2023,0050000172,001,379.652,KG,33785.23,EUR
100,0045000173,00010,00001,1,2024,0050000173,001,198.917,KG,15696.54,EUR
100,0045000174,00010,00001,1,2023,0050000174,001,798.326,KG,57774.85,EUR
100,0045000175,00010,00001,1,2024,0050000175,001,514.841,KG,41022.53,EUR
100,0045000176,00010,00001,1,2023,0050000176,001,303.779,KG,3769.9,EUR
100,0045000177,00010,00001,1,2024,0050000177,001,514.565,KG,4944.97,EUR
100,0045000178,00010,00001,1,2023,0050000178,001,938.572,KG,26233.09,EUR
100,0045000179,00010,00001,1,2024,0050000179,001,467.246,KG,23670.68,EUR
100,0045000180,00010,00001,1,2023,0050000180,001,259.044,KG,16690.2,EUR
100,0045000181,00010,00001,1,2024,0050000181,001,43.7,KG,2330.96,EUR
100,0045000182,00010,00001,1,2023,0050000182,001,906.303,KG,29989.57,EUR
100,0045000183,00010,00001,1,2024,0050000183,001,414.438,KG,12549.18,EUR
100,0045000184,00010,00001,1,2023,0050000184,001,10.682,KG,917.16,EUR
100,0045000185,00010,00001,1,2024,0050000185,001,67.61,KG,1260.25,EUR
100,0045000186,00010,00001,1,2023,0050000186,001,854.283,KG,64037.05,EUR
100,0045000187,00010,00001,1,2024,0050000187,001,323.831,KG,24021.78,EUR
100,0045000188,00010,00001,1,2023,0050000188,001,475.288,KG,6511.45,EUR
100,0045000189,00010,00001,1,2024,0050000189,001,966.221,KG,34136.59,EUR
100,0045000190,00010,00001,1,2023,0050000190,001,566.685,KG,21403.69,EUR
100,0045000191,00010,00001,1,2024,0050000191,001,610.028,KG,10376.58,EUR
100,0045000192,00010,00001,1,2023,0050000192,001,743.385,KG,33719.94,EUR
100,0045000193,00010,00001,1,2024,0050000193,001,138.713,KG,5235.03,EUR
100,0045000194,00010,00001,1,2023,0050000194,001,498.958,KG,26584.48,EUR
100,0045000195,00010,00001,1,2024,0050000195,001,494.03,KG,25546.29,EUR
100,0045000196,00010,00001,1,2023,0050000196,001,534.276,KG,26948.88,EUR
100,0045000197,00010,00001,1,2024,0050000197,001,94.264,KG,7936.09,EUR
100,0045000198,00010,00001,1,2023,0050000198,001,339.117,KG,33582.76,EUR
100,0045000199,00010,00001,1,2024,0050000199,001,864.749,KG,59546.62,EUR
100,0045000200,00010,00001,1,2023,0050000200,001,452.762,KG,36130.41,EUR
100,0045000201,00010,00001,1,2024,0050000201,001,248.565,KG,13566.68,EUR
100,0045000202,00010,00001,1,2023,0050000202,001,479.211,KG,38073.31,EUR
100,0045000203,00010,00001,1,2024,0050000203,001,55.117,KG,1544.38,EUR
100,0045000204,00010,00001,1,2023,0050000204,001,231.514,KG,10985.34,EUR
100,0045000205,00010,00001,1,2024,0050000205,001,210.373,KG,9809.69,EUR
100,0045000206,00010,00001,1,2023,0050000206,001,263.014,KG,20612.41,EUR
100,0045000207,00010,00001,1,2024,0050000207,001,988.14,KG,50988.02,EUR
100,0045000208,00010,00001,1,2023,0050000208,001,953.124,KG,33626.21,EUR
100,0045000209,00010,00001,1,2024,0050000209,001,848.889,KG,12207.02,EUR
100,0045000210,00010,00001,1,2023,0050000210,001,587.409,KG,26116.2,EUR
100,0045000211,00010,00001,1,2024,0050000211,001,112.845,KG,4250.87,EUR
100,0045000212,00010,00001,1,2023,0050000212,001,950.899,KG,32007.26,EUR
100,0045000213,00010,00001,1,2024,0050000213,001,200.066,KG,6306.08,EUR
100,0045000214,00010,00001,1,2023,0050000214,001,419.087,KG,17081.99,EUR
100,0045000215,00010,00001,1,2024,0050000215,001,776.091,KG,61536.26,EUR
100,0045000216,00010,00001,1,2023,0050000216,001,723.78,KG,7237.8,EUR
100,0045000217,00010,00001,1,2024,0050000217,001,983.14,KG,51467.38,EUR
100,0045000218,00010,00001,1,2023,0050000218,001,288.519,KG,24336.58,EUR
100,0045000219,00010,00001,1,2024,0050000219,001,140.975,KG,11052.44,EUR
100,0045000220,00010,00001,1,2023,0050000220,001,704.32,KG,66325.81,EUR
100,0045000221,00010,00001,1,2024,0050000221,001,208.365,KG,1737.76,EUR
100,0045000222,00010,00001,1,2023,0050000222,001,942.774,KG,83916.31,EUR
100,0045000223,00010,00001,1,2024,0050000223,001,65.157,KG,6453.8,EUR
100,0045000224,00010,00001,1,2023,0050000224,001,368.36,KG,31240.61,EUR
100,0045000225,00010,00001,1,2024,0050000225,001,110.127,KG,3497.63,EUR
100,0045000226,00010,00001,1,2023,0050000226,001,535.332,KG,42794.44,EUR
100,0045000227,00010,00001,1,2024,0050000227,001,912.615,KG,64275.47,EUR
100,0045000228,00010,00001,1,2023,0050000228,001,456.188,KG,21139.75,EUR
100,0045000229,00010,00001,1,2024,0050000229,001,92.78,KG,334.01,EUR
100,0045000230,00010,00001,1,2023,0050000230,001,513.822,KG,28825.41,EUR
100,0045000231,00010,00001,1,2024,0050000231,001,28.593,KG,41.17,EUR
100,0045000232,00010,00001,1,2023,0050000232,001,510.81,KG,15211.92,EUR
100,0045000233,00010,00001,1,2024,0050000233,001,225.102,KG,17040.22,EUR
100,0045000234,00010,00001,1,2023,0050000234,001,183.292,KG,17156.13,EUR
100,0045000235,00010,00001,1,2024,0050000235,001,971.918,KG,29682.38,EUR
100,0045000236,00010,00001,1,2023,0050000236,001,95.208,KG,5852.44,EUR
100,0045000237,00010,00001,1,2024,0050000237,001,854.95,KG,18902.94,EUR
100,0045000238,00010,00001,1,2023,0050000238,001,24.281,KG,1257.27,EUR
100,0045000239,00010,00001,1,2024,0050000239,001,913.553,KG,89701.77,EUR
100,0045000240,00010,00001,1,2023,0050000240,001,519.463,KG,41333.67,EUR
100,0045000241,00010,00001,1,2024,0050000241,001,65.518,KG,5170.03,EUR
100,0045000242,00010,00001,1,2023,0050000242,001,797.416,KG,7575.45,EUR
100,0045000243,00010,00001,1,2024,0050000243,001,244.783,KG,21866.47,EUR
100,0045000244,00010,00001,1,2023,0050000244,001,726.777,KG,22072.22,EUR
100,0045000245,00010,00001,1,2024,0050000245,001,236.464,KG,17065.61,EUR
100,0045000246,00010,00001,1,2023,0050000246,001,994.62,KG,87029.25,EUR
100,0045000247,00010,00001,1,2024,0050000247,001,201.02,KG,16602.24,EUR
100,0045000248,00010,00001,1,2023,0050000248,001,599.607,KG,29062.95,EUR
100,0045000249,00010,00001,1,2024,0050000249,001,922.996,KG,26360.77,EUR
100,0045000250,00010,00001,1,2023,0050000250,001,699.901,KG,39040.48,EUR
100,0045000251,00010,00001,1,2024,0050000251,001,83.48,KG,2224.74,EUR
100,0045000252,00010,00001,1,2023,0050000252,001,97.148,KG,5793.91,EUR
100,0045000253,00010,00001,1,2024,0050000253,001,693.72,KG,63530.88,EUR
100,0045000254,00010,00001,1,2023,0050000254,001,125.088,KG,8510.99,EUR
100,0045000255,00010,00001,1,2024,0050000255,001,568.737,KG,813.29,EUR
100,0045000256,00010,00001,1,2023,0050000256,001,388.092,KG,5708.83,EUR
100,0045000257,00010,00001,1,2024,0050000257,001,695.791,KG,22000.91,EUR
100,0045000258,00010,00001,1,2023,0050000258,001,42.187,KG,127.83,EUR
100,0045000259,00010,00001,1,2024,0050000259,001,988.216,KG,53245.08,EUR
100,0045000260,00010,00001,1,2023,0050000260,001,888.064,KG,86453.03,EUR
100,0045000261,00010,00001,1,2024,0050000261,001,959.217,KG,40210.38,EUR
100,0045000262,00010,00001,1,2023,0050000262,001,815.297,KG,53238.89,EUR
100,0045000263,00010,00001,1,2024,0050000263,001,604.883,KG,47646.63,EUR
100,0045000264,00010,00001,1,2023,0050000264,001,27.519,KG,118.33,EUR
100,0045000265,00010,00001,1,2024,0050000265,001,568.423,KG,16325.11,EUR
100,0045000266,00010,00001,1,2023,0050000266,001,484.45,KG,23500.67,EUR
100,0045000267,00010,00001,1,2024,0050000267,001,653.526,KG,10175.4,EUR
100,0045000268,00010,00001,1,2023,0050000268,001,762.466,KG,21730.28,EUR
100,0045000269,00010,00001,1,2024,0050000269,001,10.72,KG,934.36,EUR
100,0045000270,00010,00001,1,2023,0050000270,001,922.428,KG,33687.07,EUR
100,0045000271,00010,00001,1,2024,0050000271,001,157.446,KG,13357.72,EUR
100,0045000272,00010,00001,1,2023,0050000272,001,670.625,KG,55065.02,EUR
100,0045000273,00010,00001,1,2024,0050000273,001,955.483,KG,66492.06,EUR
100,0045000274,00010,00001,1,2023,0050000274,001,286.576,KG,15065.3,EUR
100,0045000275,00010,00001,1,2024,0050000275,001,73.633,KG,2860.64,EUR
100,0045000276,00010,00001,1,2023,0050000276,001,659.07,KG,59685.38,EUR
100,0045000277,00010,00001,1,2024,0050000277,001,356.852,KG,14481.05,EUR
100,0045000278,00010,00001,1,2023,0050000278,001,610.07,KG,48769.0,EUR
100,0045000279,00010,00001,1,2024,0050000279,001,280.061,KG,2587.76,EUR
100,0045000280,00010,00001,1,2023,0050000280,001,797.707,KG,40228.36,EUR
100,0045000281,00010,00001,1,2024,0050000281,001,776.236,KG,65335.78,EUR
100,0045000282,00010,00001,1,2023,0050000282,001,689.925,KG,12425.55,EUR
100,0045000283,00010,00001,1,2024,0050000283,001,91.806,KG,141.38,EUR
100,0045000284,00010,00001,1,2023,0050000284,001,398.728,KG,31391.86,EUR
100,0045000285,00010,00001,1,2024,0050000285,001,144.87,KG,5775.97,EUR
100,0045000286,00010,00001,1,2023,0050000286,001,268.906,KG,9382.13,EUR
100,0045000287,00010,00001,1,2024,0050000287,001,792.094,KG,25949.0,EUR
100,0045000288,00010,00001,1,2023,0050000288,001,986.969,KG,91788.12,EUR
100,0045000289,00010,00001,1,2024,0050000289,001,219.29,KG,12725.4,EUR
100,0045000290,00010,00001,1,2023,0050000290,001,903.563,KG,44238.44,EUR
100,0045000291,00010,00001,1,2024,0050000291,001,278.946,KG,12354.52,EUR
100,0045000292,00010,00001,1,2023,0050000292,001,45.809,KG,3644.11,EUR
100,0045000293,00010,00001,1,2024,0050000293,001,502.914,KG,41777.07,EUR
100,0045000294,00010,00001,1,2023,0050000294,001,476.226,KG,30387.98,EUR
100,0045000295,00010,00001,1,2024,0050000295,001,32.301,KG,2277.54,EUR
100,0045000296,00010,00001,1,2023,0050000296,001,692.69,KG,16395.97,EUR
100,0045000297,00010,00001,1,2024,0050000297,001,214.401,KG,1565.13,EUR
100,0045000298,00010,00001,1,2023,0050000298,001,815.121,KG,56993.26,EUR
100,0045000299,00010,00001,1,2024,0050000299,001,798.68,KG,76337.83,EUR
100,0045000300,00010,00001,1,2023,0050000300,001,824.061,KG,39373.63,EUR
100,0045000301,00010,00001,1,2024,0050000301,001,795.966,KG,21101.06,EUR
100,0045000302,00010,00001,1,2023,0050000302,001,245.597,KG,11778.83,EUR
100,0045000303,00010,00001,1,2024,0050000303,001,815.816,KG,9904.01,EUR
100,0045000304,00010,00001,1,2023,0050000304,001,26.228,KG,1565.81,EUR
100,0045000305,00010,00001,1,2024,0050000305,001,88.761,KG,3701.33,EUR
100,0045000306,00010,00001,1,2023,0050000306,001,837.821,KG,25788.13,EUR
100,0045000307,00010,00001,1,2024,0050000307,001,43.495,KG,2437.89,EUR
100,0045000308,00010,00001,1,2023,0050000308,001,966.406,KG,56573.41,EUR
100,0045000309,00010,00001,1,2024,0050000309,001,701.964,KG,8788.59,EUR
100,0045000310,00010,00001,1,2023,0050000310,001,582.29,KG,51526.84,EUR
100,0045000311,00010,00001,1,2024,0050000311,001,957.054,KG,74229.11,EUR
100,0045000312,00010,00001,1,2023,0050000312,001,388.027,KG,11613.65,EUR
100,0045000313,00010,00001,1,2024,0050000313,001,803.11,KG,56338.17,EUR
100,0045000314,00010,00001,1,2023,0050000314,001,947.621,KG,62874.65,EUR
100,0045000315,00010,00001,1,2024,0050000315,001,16.145,KG,977.74,EUR
100,0045000316,00010,00001,1,2023,0050000316,001,712.297,KG,30885.2,EUR
100,0045000317,00010,00001,1,2024,0050000317,001,948.868,KG,54446.05,EUR
100,0045000318,00010,00001,1,2023,0050000318,001,534.855,KG,35289.73,EUR
100,0045000319,00010,00001,1,2024,0050000319,001,166.457,KG,1890.95,EUR
100,0045000320,00010,00001,1,2023,0050000320,001,50.46,KG,3472.15,EUR
100,0045000321,00010,00001,1,2024,0050000321,001,270.602,KG,4140.21,EUR
100,0045000322,00010,00001,1,2023,0050000322,001,993.125,KG,6356.0,EUR
100,0045000323,00010,00001,1,2024,0050000323,001,908.641,KG,22725.11,EUR
100,0045000324,00010,00001,1,2023,0050000324,001,233.424,KG,16395.7,EUR
100,0045000325,00010,00001,1,2024,0050000325,001,373.494,KG,19466.51,EUR
100,0045000326,00010,00001,1,2023,0050000326,001,815.651,KG,36655.36,EUR
100,0045000327,00010,00001,1,2024,0050000327,001,15.181,KG,1205.07,EUR
100,0045000328,00010,00001,1,2023,0050000328,001,983.91,KG,8855.19,EUR
100,0045000329,00010,00001,1,2024,0050000329,001,73.396,KG,381.66,EUR
100,0045000330,00010,00001,1,2023,0050000330,001,377.901,KG,21366.52,EUR
100,0045000331,00010,00001,1,2024,0050000331,001,825.384,KG,17919.09,EUR
100,0045000332,00010,00001,1,2023,0050000332,001,362.697,KG,28975.86,EUR
100,0045000333,00010,00001,1,2024,0050000333,001,183.426,KG,2448.74,EUR
100,0045000334,00010,00001,1,2023,0050000334,001,859.566,KG,45806.27,EUR
100,0045000335,00010,00001,1,2024,0050000335,001,829.836,KG,63009.45,EUR
100,0045000336,00010,00001,1,2023,0050000336,001,220.344,KG,8838.0,EUR
100,0045000337,00010,00001,1,2024,0050000337,001,329.149,KG,21246.57,EUR
